"","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","NFB","IKK","SMO","TWIST1","FUS","FOXC2","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","cateninmemb","KLF4","ZEB2","ZEB1","SNAI2","Ecadherin","RAS","RAF","PI3K","DELTA","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","TrCP","SUFU","LIV1","AXIN2","Patched","Destcompl","RKIP"
"Destcompl",0.0218832549938541,0.0259155130583702,0.0259155130583702,0.0210204081632653,0.0498101898101898,0.0625641025641026,0.0923818880387934,0.0523742923742924,0.0534731934731935,0.00964317733548503,0.0135304840428515,0.0134126984126984,-0.122425714423807,0.042981876880182,0.0523809523809524,0.0487445887445888,-0.113326669998334,-0.0441694521295114,-0.111877394636015,-0.040534976532419,0.0523809523809524,-0.189188145070106,-0.0635819240671292,-0.0590737273458177,-0.0563112964065912,-0.0638246067657832,0.226089643266908,-0.202535778418676,0.190650930813327,0.190650930813327,-0.239128842720359,0.0710687060297588,-0.00228952763477139,-0.00099712052653229,-0.00099712052653229,-0.00099712052653229,-0.0854995611296274,-0.202452763958441,-0.192902370015642,-0.191616921325067,-0.191936186440763,-0.189686419394565,-0.190931882280074,-0.186593635889411,-0.18918430946454,-0.186593635889411,-0.185185185185185,-0.185185185185185,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.244672780260822,0.119085832301999,-0.0234278933514267,-0.119574171029668
"AXIN2",0.0622984758129686,0.0629673721340388,0.0647530864197531,0.0783333333333333,0.111481069291177,0.153333333333333,0.152939821895888,0.117363422232353,0.131382113821138,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.155340760307648,0.100920303349256,0.109178743961353,0.104830917874396,-0.152930402930403,-0.0406262590354307,-0.157692307692308,-0.0389080459770115,0.122222222222222,-0.223682476943346,-0.0559687445195736,-0.0532290184921764,-0.0505263157894737,-0.0778908539436025,0.260545486016756,-0.252988588338008,0.244781823197445,0.244781823197445,-0.282015619233043,0.0827693638859052,0.0633438241459801,0.0672260195944407,0.0672260195944407,0.0672260195944407,-0.167804762354812,-0.259051022220934,-0.245982035339829,-0.243165086045372,-0.244672780260822,-0.240884955752212,-0.242845740065938,-0.24,-0.240884955752212,-0.24,-0.24,-0.24,-0.133333333333333,0.15,-0.233333333333333,0.176734844297033,0.152029502029502,0.156462502529965,-0.177987290487291
"Wnt",0.201212121212121,0.146666666666667,0.1,0.1,0.119607843137255,0.1,0.101298701298701,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.105454545454545,0.136666666666667,0.0666666666666667,0.0866666666666667,0.05,0.218717948717949,0,0.17,0.1,0.146962365591398,0.190683229813665,0.142857142857143,0.1,0.0939393939393939,-0.334485494668981,-0.262745098039216,0.304208512673362,0.304208512673362,0.334215354901014,-0.407561403508772,0.144444444444444,0.115873015873016,0.115873015873016,0.115873015873016,-0.0666666666666667,-0.306262626262626,0.321253214870236,0.276190476190476,0.299267399267399,0.242857142857143,0.276190476190476,0.3,0.242857142857143,0.2,0.2,0.1,-0.1,0,0,0.302857142857143,-0.0954545454545455,-0.030594653573377,-0.12
"Frizzled",0.235865586558656,0.201212121212121,0.146666666666667,0.1,0.163004069552349,0.0666666666666667,0.113493823249921,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.113651266766021,0.159247311827957,0.0866666666666667,0.136666666666667,0.0954545454545455,0.23993006993007,0.05,0.218717948717949,0.0666666666666667,0.158541312959819,0.217213842058563,0.190683229813665,0.142857142857143,0.125189393939394,-0.366444257555579,-0.300840336134454,0.337541846006695,0.337541846006695,0.362643448546499,-0.441066558147947,0.166758494031221,0.144444444444444,0.144444444444444,0.144444444444444,-0.086411889596603,-0.341183261183261,0.341047559343244,0.299267399267399,0.321253214870236,0.276190476190476,0.299267399267399,0.242857142857143,0.276190476190476,0.242857142857143,0.3,0.2,-0.1,0,0.1,0.332857142857143,-0.105454545454545,-0.0151016958268981,-0.138518518518519
"HEY1",0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.2,0.33671420000923,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.26,0.302857142857143,0.266666666666667,0.411925192519252,0.233333333333333,0.382222222222222,0.2,0.353289306267112,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.589008346899129,-0.266666666666667,0.354514963880289,0.354514963880289,0.46360166128718,-0.66933422392474,0.40034188034188,0.375897435897436,0.375897435897436,0.375897435897436,-0.347641773797487,-0.362568172568173,0.392365862788828,0.352626778985768,0.373743413809236,0.326310989512084,0.351974706326243,0.296078431372549,0.326310989512084,0.296078431372549,0.266666666666667,0.266666666666667,-0.1,-0.2,0.233333333333333,0.401824066931232,-0.297916666666667,0.340689360909742,-0.328674500103071
"FOXC2",0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.2,0.33671420000923,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.26,0.302857142857143,0.266666666666667,0.411925192519252,0.233333333333333,0.382222222222222,0.2,0.353289306267112,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.589008346899129,-0.266666666666667,0.354514963880289,0.354514963880289,0.46360166128718,-0.66933422392474,0.40034188034188,0.375897435897436,0.375897435897436,0.375897435897436,-0.347641773797487,-0.362568172568173,0.392365862788828,0.352626778985768,0.373743413809236,0.326310989512084,0.351974706326243,0.296078431372549,0.326310989512084,0.296078431372549,0.266666666666667,0.266666666666667,-0.1,-0.2,0.233333333333333,0.401824066931232,-0.297916666666667,0.340689360909742,-0.328674500103071
"DSH",0.253383834733838,0.235865586558656,0.201212121212121,0.146666666666667,0.188004069552349,0.0666666666666667,0.129409739165837,0.163004069552349,0.119607843137255,0.072285295891119,0.0759321463950892,0.0631908336537765,0.125600952300612,0.172188488298545,0.136666666666667,0.159247311827957,0.105454545454545,0.257402188889178,0.0954545454545455,0.23993006993007,0.0866666666666667,0.17386389360498,0.234002163226446,0.217213842058563,0.190683229813665,0.151771672420407,-0.393085184196505,-0.331533405441384,0.361236625123161,0.361236625123161,0.386524045561424,-0.468111793951605,0.18901368690956,0.166758494031221,0.166758494031221,0.166758494031221,-0.104058948420132,-0.366416906043074,0.35726377555946,0.320945720945721,0.341047559343244,0.299267399267399,0.321253214870236,0.276190476190476,0.299267399267399,0.276190476190476,0.242857142857143,0.242857142857143,-0.0666666666666667,-0.05,0.2,0.357744020685197,-0.113651266766021,-0.00235959592883491,-0.155661375661376
"RAF",0.319075358298659,0.267619047619048,0.22,0.2,0.227666911225238,0.17,0.218551384719621,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.206033898305085,0.156168831168831,0.0857142857142857,0.110714285714286,0.14,0.369794891640867,0.1,0.3218782249742,0.1,0.253253968253968,0.208565656565657,0.156565656565657,0.111111111111111,0.0613968253968254,-0.473521013733028,-0.332663797226208,0.372663797226208,0.372663797226208,0.619815529714129,-0.545279645089772,0.0898809523809524,0.0488095238095238,0.0488095238095238,0.0488095238095238,-0.159703368526898,-0.380952950808151,0.371953468035716,0.313605442176871,0.344977991196479,0.266666666666667,0.311644657863145,0.2,0.264705882352941,0.2,0.1,0.1,-0.1,-0.1,0,0.332756756756757,-0.184,0.0167153963246956,-0.226050420168067
"PI3K",0.269922969187675,0.232107843137255,0.177941176470588,0.125,0.191512605042017,0.0666666666666667,0.168747598377571,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.127492957746479,0.273993808049536,0.2,0.252941176470588,0.1,0.272771499404359,0.05,0.246909430438842,0.166666666666667,0.179036519036519,0.232,0.202,0.15,0.161538461538462,-0.397339973265805,-0.336842105263158,0.374369563996604,0.374369563996604,0.391510210184315,-0.475703187763103,0.210952380952381,0.180952380952381,0.180952380952381,0.180952380952381,-0.179366509194758,-0.375187990391224,0.37567154205628,0.326602086438152,0.352662692498758,0.295454545454545,0.326602086438152,0.25,0.295454545454545,0.25,0.2,0.2,-0.2,0,0.1,0.353449387491941,-0.112,-0.0251722538054777,-0.163253413253413
"ILK",0.269922969187675,0.232107843137255,0.177941176470588,0.125,0.191512605042017,0.0666666666666667,0.168747598377571,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.127492957746479,0.273993808049536,0.2,0.252941176470588,0.1,0.272771499404359,0.05,0.246909430438842,0.166666666666667,0.179036519036519,0.232,0.202,0.15,0.161538461538462,-0.397339973265805,-0.336842105263158,0.374369563996604,0.374369563996604,0.391510210184315,-0.475703187763103,0.210952380952381,0.180952380952381,0.180952380952381,0.180952380952381,-0.179366509194758,-0.375187990391224,0.37567154205628,0.326602086438152,0.352662692498758,0.295454545454545,0.326602086438152,0.25,0.295454545454545,0.25,0.2,0.2,-0.2,0,0.1,0.353449387491941,-0.112,-0.0251722538054777,-0.163253413253413
"SHH",0.44,0.4,0.3,0.2,0.3,0,0.283333333333333,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0,0.1,0.3,0.2,0.2,0.15,0,0.162857142857143,0.233333333333333,0.2,0.1,0.25,-0.295,-0.3,0.375,0.375,0.365555555555556,-0.338636363636364,0.303846153846154,0.25,0.25,0.25,-0.271794871794872,-0.383333333333333,0.235714285714286,0.25,0.192857142857143,0.2,0.15,0.2,0.1,0.1,0.2,0.1,0,-0.2,0,0.276190476190476,-0.333333333333333,0.270802139037433,-0.26
"SNAI2",0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.2,0.37146790711633,0.349019607843137,0.288235294117647,0.116169379144063,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.275,0.326724137931034,0.301176470588235,0.44790275353342,0.26,0.41540275353342,0.2,0.40120049600868,0.41441672362725,0.376754385964912,0.332894736842105,0.323799864773496,-0.634618771398712,-0.286538461538462,0.378588839941263,0.378588839941263,0.709835150610329,-0.80549885506609,0.441726690335076,0.412827607766268,0.412827607766268,0.412827607766268,-0.386190476190476,-0.386587993124707,0.446852546663874,0.402211846014663,0.42609184935801,0.373563197366014,0.401824066931232,0.341168831168831,0.373563197366014,0.341168831168831,0.305454545454545,0.305454545454545,-0.1,-0.2,0.26,0.446651802969354,-0.335870348139256,0.384832925405098,-0.355166666666667
"cateninnuc",0.376964458202099,0.357317659085101,0.331736263736264,0.299428571428571,0.375040614597133,0.297101449275362,0.33662597929171,0.353842457915105,0.327260179434092,0.124481847142868,0.111715903923271,0.103393939393939,0.215927469462397,0.344702099737533,0.304166666666667,0.328166666666667,0.18792349726776,0.322579851315377,0.163333333333333,0.304932792491848,0.270833333333333,0.245527613771655,0.373433951020502,0.355732801595214,0.332203389830509,0.259657831844757,-0.404117893535225,-0.301618152507832,0.382541204190353,0.382541204190353,0.460846924977298,-0.486708809591264,0.38632562293323,0.370842303857097,0.370842303857097,0.370842303857097,-0.336123101558345,-0.389908035503795,0.177626137219742,0.251322636588375,0.264964638511731,0.234655969921708,0.250304144684571,0.215318953347122,0.23356945080702,0.214232434232434,0.191375291375291,0.191375291375291,-0.233333333333333,-0.133333333333333,0.160606060606061,0.392365862788828,-0.203646767708011,0.317248621046302,-0.349578312971825
"RAS",0.36680926916221,0.315294117647059,0.28,0.26,0.315727554179567,0.26,0.305405405405405,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.191701149425287,0.212222222222222,0.166666666666667,0.173333333333333,0.116666666666667,0.371812865497076,0.1,0.320701754385965,0.2,0.254488606253312,0.276315789473684,0.226315789473684,0.2,0.0125541125541125,-0.398426992766429,-0.356428571428571,0.398696612665685,0.398696612665685,0.572590989573087,-0.473565589128918,0.150015948963317,0.204561403508772,0.204561403508772,0.204561403508772,-0.21311339198436,-0.407661538461538,0.405032232350189,0.334090909090909,0.374123141441098,0.275,0.333139534883721,0.2,0.275,0.2,0.1,0.1,-0.2,-0.1,0,0.346577380952381,-0.160666666666667,-0.0399378399378399,-0.392622641509434
"SOSGRB2",0.391181519210716,0.343736263736264,0.301428571428571,0.271428571428571,0.359400959400959,0.276190476190476,0.354883873316345,0.323037323037323,0.30952380952381,0.261647727272727,0.259196932100158,0.252903225806452,0.297039897039897,0.338011695906433,0.288888888888889,0.304678362573099,0.233333333333333,0.400261194029851,0.2,0.3525,0.3,0.352975914775359,0.392479983784332,0.347552447552448,0.309090909090909,-0.0272222222222222,-0.492330428192497,-0.362017543859649,0.400588972431078,0.400588972431078,0.641569813628637,-0.564801607209854,0.329543859649123,0.284210526315789,0.284210526315789,0.284210526315789,-0.312007909172088,-0.410651126415904,0.395070915619616,0.326573426573427,0.364600567971354,0.272727272727273,0.325274725274725,0.2,0.271428571428571,0.2,0.1,0.1,-0.2,-0.2,0,0.342105263157895,-0.268468468468469,-0.041281045751634,-0.381834795321637
"AKT",0.293822340256857,0.269922969187675,0.232107843137255,0.177941176470588,0.218309990662932,0.0952380952380952,0.191228218532609,0.191512605042017,0.148179271708683,0.0875742731867506,0.0919192881276222,0.0798917967186875,0.144697258821748,0.191519581245412,0.252941176470588,0.273993808049536,0.112,0.295848422481283,0.1,0.272771499404359,0.2,0.198346863864105,0.254784810126582,0.232,0.202,0.192572944297082,-0.428236983232583,-0.369016018306636,0.402592560512284,0.402592560512284,0.419715338389443,-0.507987955975023,0.237669938204289,0.210952380952381,0.210952380952381,0.210952380952381,-0.199960989024907,-0.403798344614657,0.394343741226405,0.352350589432164,0.37567154205628,0.326602086438152,0.352662692498758,0.295454545454545,0.326602086438152,0.295454545454545,0.25,0.25,-0.166666666666667,-0.05,0.2,0.383951317993871,-0.127492957746479,-0.0102337652290278,-0.186038223379996
"MEK",0.35998444920775,0.319075358298659,0.267619047619048,0.22,0.173429623089645,0.17,0.242235595245937,0.227666911225238,0.187241379310345,0.163218245169465,0.165950203144554,0.156725110893631,0.223367231638418,0.183879674542325,0.110714285714286,0.156168831168831,0.184,0.401595657924392,0.14,0.369794891640867,0.0857142857142857,0.273592951304816,0.243414141414141,0.208565656565657,0.156565656565657,0.0909422799422799,-0.511053822131978,-0.369918699186992,0.409760571419756,0.409760571419756,0.654519899894078,-0.585717892101724,0.124318038473668,0.0898809523809524,0.0898809523809524,0.0898809523809524,-0.186882855706385,-0.41825702604326,0.39486183456958,0.346938775510204,0.371953468035716,0.313605442176871,0.344977991196479,0.266666666666667,0.311644657863145,0.264705882352941,0.2,0.2,-0.1,-0.1,0.1,0.37438355101513,-0.206033898305085,0.0367596931131785,-0.255780149897797
"CD44",0.372222222222222,0.35,0.3,0.2,0.415,0.3,0.373019670388091,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.2,0.266666666666667,0.15,0.349924585218703,0.1,0.32051282051282,0.2,0.186826923076923,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,-0.136918150577944,-0.277777777777778,0.420634920634921,0.420634920634921,0.4364467730412,-0.274149140968363,0.201960784313725,0.166666666666667,0.166666666666667,0.166666666666667,-0.222391084093212,-0.431699604743083,0.125690866510539,0.0214285714285714,0.0814285714285714,-0.05,0.0214285714285714,-0.1,0.05,0,0,0.1,-0.1,-0.1,0.1,-0.0221052631578947,-0.15,-0.163829787234043,-0.423703703703704
"IKK",0.527869605142332,0.469191919191919,0.405555555555556,0.35,0.252190476190476,0.1,0.291637503645378,0.178857142857143,0.142857142857143,0.181940144478844,0.18578795379538,0.172916666666667,0.253148148148148,0.321042471042471,0.314285714285714,0.264285714285714,0.18,0.530289750902332,0.12,0.477747378020976,0.3,0.283383458646617,0.361457668015045,0.307359307359307,0.245454545454545,0.301890756302521,-0.567144172067249,-0.363369963369963,0.425418546365915,0.425418546365915,0.657394457394457,-0.683989512831326,0.377446333224365,0.332518796992481,0.332518796992481,0.332518796992481,-0.221143213839843,-0.428840579710145,0.434451226861029,0.370634920634921,0.404362731285808,0.327777777777778,0.370634920634921,0.277777777777778,0.327777777777778,0.277777777777778,0.2,0.2,-0.2,-0.1,0.1,0.399367229956078,-0.228148148148148,0.135022583084002,-0.277322404371585
"Csn",0.272997567681112,0.247427947427947,0.204184704184704,0.145454545454545,0.23974691974692,0.106666666666667,0.157485718776041,0.207878787878788,0.161212121212121,0.0753737541528239,0.081734407521514,0.0687370600414079,0.132484266334818,0.200095220984549,0.155,0.181086956521739,0.103430619559652,0.287987099107789,0.0873015873015873,0.263884535005225,0.105,0.180176673567978,0.256500165287904,0.232642297267599,0.198395721925134,0.165843465045593,-0.440247357633034,-0.398231432996534,0.433735596512871,0.433735596512871,0.431970857944583,-0.517000409618875,0.228816063818597,0.200716890264878,0.200716890264878,0.200716890264878,-0.140713303635264,-0.441794542185944,0.411287815888855,0.366741313526048,0.391340656047376,0.339727095516569,0.367263327400627,0.308148148148148,0.339727095516569,0.308148148148148,0.26,0.26,-0.18,-0.0428571428571429,0.2,0.39979583800722,-0.117716333845366,0.0412279328236775,-0.17423915340159
