"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","TWIST1","NFB","SMO","FUS","Jagged","NOTCH","TrCP","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","GSK3","Ecadherin","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","SUFU","LIV1","Csn","Destcompl","Patched","RKIP"
"NFB",0.0724907584668541,0.0681373737373737,0.0681373737373737,0.0737373737373737,0.0555555555555556,0.0467394957983193,-0.00714285714285715,0.0665615934872444,0.0408571428571429,0.0208571428571429,0.0740693645879404,0.075391939751596,0.0698157315731573,0.119566080413608,0.0580823680823681,0.0514157014157014,0.195919701213819,0.0595238095238095,0.108888888888889,0.12,0.115703422266873,0.0550295582553647,0.1,0.0518037518037518,0.0597402597402597,0.111762494471473,0.216483516483517,0.370392258770828,-0.209868752340622,-0.209868752340622,-0.244378982107209,0.0907939787781778,0.0838288046488246,0.0838288046488246,0.0838288046488246,-0.149265244559362,-0.232441328653262,0.217570821839835,0.164930339566608,0.157498319408432,0.162028378782294,0.151880341880342,0.156965087643054,0.151880341880342,0.153418803418803,0.153418803418803,0.161111111111111,0.161111111111111,0.19806990881459,-0.12,0.15,-0.142857142857143,0.267983204631221,-0.112337164750958,-0.0338307412077904
"ZEB2",-0.233894327894328,-0.22272521129664,-0.216376004947434,-0.207532467532468,-0.194805194805195,-0.161174030670697,-0.158333333333333,-0.157767602728664,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.132280646183085,-0.126767912772586,-0.125833333333333,-0.124555254390122,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112321756908,-0.100235393022278,-0.1,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.055409950970417,-0.0495367873568932,-0.0467891193785861,-0.0467891193785861,-0.0420504320696419,-0.0191705831641592,-0.0125324675324675,-0.0125324675324675,-0.0125324675324675,0.00367014495078837,0.00501754564127469,0.0101847247107189,0.0436489698424465,0.0461970445456684,0.0479346841281608,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.111111111111111,0.111964002871828,0.127735191637631,0.17280193236715
"Destcompl",0.0562985323476387,0.0251609318863662,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0516609226009516,0.0625641025641026,0.0942097959589964,0.0529267453857618,0.0534731934731935,0.00964317733548503,0.0137635756056809,0.0134126984126984,-0.11982880823179,0.0449802631010685,0.0496782496782497,-0.0403953808042906,0.0523809523809524,-0.111877394636015,-0.111877394636015,-0.185626117497308,-0.0598730284697872,0.0666666666666667,-0.0560654132393263,-0.0549784567175871,-0.0615627546709182,-0.203149190846705,-0.23371230255266,0.191661050174001,0.191661050174001,0.215009252685094,0.00143057712558173,0.00252947822448283,0.00252947822448283,0.00252947822448283,-0.0881894189646489,0.0517863151498931,-0.203434245489915,-0.18667337368853,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,0.122222222222222,-0.188888888888889,-0.0523809523809524,-0.0197731246772538,0.116540607071248,-0.120927546640674
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.111846180853043,0.153333333333333,0.154153480194687,0.117363422232353,0.131382113821138,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.153439770611902,0.101497584541063,0.104830917874396,-0.0370946197518206,0.109178743961353,-0.152930402930403,-0.157692307692308,-0.220035634166069,-0.0536633814265393,0.133333333333333,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,-0.252988588338008,-0.2770272187641,0.245175501457021,0.245175501457021,0.249359406027404,0.0664997637826834,0.069649370081896,0.069649370081896,0.069649370081896,-0.169672553736627,0.0626921145380067,-0.2593606087525,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,0.15,-0.233333333333333,-0.122222222222222,0.159807840778651,0.151144688644689,-0.178657587931781
"PI3K",0.178118466898955,0.204249163079866,0.164411764705882,0.104411764705882,0.075,0.149584423933508,0.0666666666666667,0.0959581320450886,0.105322128851541,0.0523809523809524,0.0672451484882118,0.063728531412565,0.061328531412565,0.123717948717949,0.247812971342383,0.219607843137255,0.216394573985451,0.166666666666667,0.1,0.05,0.169473684210526,0.211104218362283,0.2,0.178846153846154,0.125,0.137692307692308,-0.253289473684211,0.364744002360167,0.288211613678043,0.288211613678043,-0.360977720482939,0.147818774832473,0.128640692640693,0.128640692640693,0.128640692640693,-0.0978114478114478,-0.420802602507152,-0.289749734831702,0.34818357319098,0.314685990338164,0.331070171129125,0.294685990338164,0.314685990338164,0.294685990338164,0.255555555555556,0.255555555555556,0.2,0.2,0.345238095238095,0,0.1,-0.166666666666667,0.0038394883540941,-0.115384615384615,-0.110148674854557
"ILK",0.178118466898955,0.204249163079866,0.164411764705882,0.104411764705882,0.075,0.149584423933508,0.0666666666666667,0.0959581320450886,0.105322128851541,0.0523809523809524,0.0672451484882118,0.063728531412565,0.061328531412565,0.123717948717949,0.247812971342383,0.219607843137255,0.216394573985451,0.166666666666667,0.1,0.05,0.169473684210526,0.211104218362283,0.2,0.178846153846154,0.125,0.137692307692308,-0.253289473684211,0.364744002360167,0.288211613678043,0.288211613678043,-0.360977720482939,0.147818774832473,0.128640692640693,0.128640692640693,0.128640692640693,-0.0978114478114478,-0.420802602507152,-0.289749734831702,0.34818357319098,0.314685990338164,0.331070171129125,0.294685990338164,0.314685990338164,0.294685990338164,0.255555555555556,0.255555555555556,0.2,0.2,0.345238095238095,0,0.1,-0.166666666666667,0.0038394883540941,-0.115384615384615,-0.110148674854557
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.119607843137255,0.1,0.104658385093168,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.0866666666666667,0.222941176470588,0.0666666666666667,0.05,0,0.153259803921569,0.192857142857143,0.1,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.340258620689655,0.304208512673362,0.304208512673362,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.0695141065830721,-0.402475553557379,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,0,0,-0.1,-0.0233176107971793,-0.0954545454545455,-0.12
"AKT",0.194659820282413,0.221469706886513,0.204249163079866,0.164411764705882,0.104411764705882,0.177432525199331,0.0523809523809524,0.108740086932307,0.149584423933508,0.105322128851541,0.0710045469844524,0.0768598445438782,0.063728531412565,0.132139001349528,0.162964486493898,0.247812971342383,0.230156041875359,0.219607843137255,0.115384615384615,0.1,0.180069710700593,0.22817738909399,0.166666666666667,0.211104218362283,0.178846153846154,0.171025641025641,-0.28320400359874,0.386151037536046,0.309444490390372,0.309444490390372,-0.385952236283143,0.16733684712163,0.147818774832473,0.147818774832473,0.147818774832473,-0.114746931682416,-0.445499572204121,-0.313813905954697,0.363722034729442,0.3308871076566,0.34818357319098,0.314685990338164,0.331070171129125,0.314685990338164,0.294685990338164,0.294685990338164,0.255555555555556,0.255555555555556,0.366537734227265,-0.05,0.2,-0.166666666666667,0.0153365933995862,-0.123717948717949,-0.125676625165116
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.164052287581699,0.0666666666666667,0.115769496204279,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.136666666666667,0.24484593837535,0.0866666666666667,0.0954545454545455,0.05,0.16437091503268,0.222268907563025,0.1,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.368334330468835,0.338861978019897,0.338861978019897,-0.366766881894001,0.17187501681907,0.150615174299385,0.150615174299385,0.150615174299385,-0.0895141065830721,-0.437673688755514,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,0,0.1,-0.0666666666666667,-0.00766774342317397,-0.10974025974026,-0.141428571428571
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.2,0.33671420000923,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.412614379084967,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.376317269274404,0.1,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.4649781869926,0.354514963880289,0.354514963880289,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.347529841291117,-0.673504886266412,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.2,0.233333333333333,-0.2,0.341987979717644,-0.297916666666667,-0.328674500103071
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.2,0.33671420000923,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.412614379084967,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.376317269274404,0.1,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.4649781869926,0.354514963880289,0.354514963880289,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.347529841291117,-0.673504886266412,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.2,0.233333333333333,-0.2,0.341987979717644,-0.297916666666667,-0.328674500103071
"RAS",0.29,0.31798485730926,0.263529411764706,0.24,0.26,0.284148606811146,0.26,0.246037364798427,0.254736842105263,0.26,0.161857707509881,0.154669140383426,0.156709956709957,0.192870056497175,0.198888888888889,0.16,0.335242771412984,0.166666666666667,0.116666666666667,0.1,0.256376897299428,0.266732869910626,0.2,0.215789473684211,0.2,-0.00562770562770564,-0.321428571428571,0.565776602808735,0.357511045655376,0.357511045655376,-0.387971713028009,0.108846153846154,0.160769230769231,0.160769230769231,0.160769230769231,-0.161899224806202,-0.449997460556467,-0.367476923076923,0.396619510496205,0.334803921568627,0.370840473669009,0.276470588235294,0.333917396745932,0.276470588235294,0.2,0.2,0.1,0.1,0.34703557312253,-0.1,0,-0.2,-0.0157240151426198,-0.160666666666667,-0.346396226415094
"DSH",0.229582893646541,0.257404433671666,0.240331262939959,0.203188405797101,0.146666666666667,0.19187183645388,0.0666666666666667,0.131711525189786,0.164052287581699,0.119607843137255,0.072285295891119,0.0763983808235878,0.0631908336537765,0.13107412081289,0.176609195402299,0.161666666666667,0.261157995112939,0.136666666666667,0.10974025974026,0.0954545454545455,0.179099597203222,0.239751425045543,0.0666666666666667,0.222268907563025,0.192857142857143,0.156541019955654,-0.33287917108591,0.392199289723783,0.362484025263991,0.362484025263991,-0.394446504979984,0.194003868359686,0.17187501681907,0.17187501681907,0.17187501681907,-0.107843572940381,-0.46480274933497,-0.367809882360187,0.365986586653811,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.05,0.2,-0.0866666666666667,0.00530935581346725,-0.119417679095098,-0.157512487512488
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.227666911225238,0.17,0.217485592549095,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.110714285714286,0.374004753416518,0.0857142857142857,0.14,0.1,0.258543536260005,0.21041181041181,0.1,0.156565656565657,0.111111111111111,0.0613968253968254,-0.332663797226208,0.624385964912281,0.372663797226208,0.372663797226208,-0.474936280818634,0.0928543678543678,0.050974025974026,0.050974025974026,0.050974025974026,-0.160677698975571,-0.543314330360812,-0.380952950808151,0.377496836898203,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,0,-0.1,0.023291198012306,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0,0.283333333333333,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.1,0.2,0,0.3,0.2,0.162857142857143,0.233333333333333,0,0.2,0.1,0.25,-0.3,0.36727969348659,0.375,0.375,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,-0.271794871794872,-0.341666666666667,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,-0.2,0,0,0.272987012987013,-0.333333333333333,-0.26
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.2,0.37146790711633,0.349019607843137,0.288235294117647,0.116169379144063,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.326724137931034,0.448322008191805,0.275,0.301176470588235,0.26,0.401762028014479,0.41441672362725,0.1,0.376754385964912,0.332894736842105,0.323799864773496,-0.286538461538462,0.710777486540221,0.378588839941263,0.378588839941263,-0.63753975365315,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.386109379554679,-0.808795441395151,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.2,0.26,-0.2,0.385743987724154,-0.335870348139256,-0.355166666666667
"cateninnuc",0.394660972906875,0.378260381590001,0.358173045345459,0.331736263736264,0.299428571428571,0.375402090942628,0.297101449275362,0.336713457497171,0.353842457915105,0.327260179434092,0.124481847142868,0.111715903923271,0.103393939393939,0.217547714104253,0.345354166666667,0.328166666666667,0.324496918914511,0.304166666666667,0.18792349726776,0.163333333333333,0.248185478563194,0.375258358118035,0.233333333333333,0.356621994481671,0.332203389830509,0.260300632619561,-0.301618152507832,0.463909871183732,0.382410758675679,0.382410758675679,-0.410140467636894,0.388092018092018,0.372267102267102,0.372267102267102,0.372267102267102,-0.336797405892845,-0.493374137241054,-0.389800969732381,0.182424681526157,0.255050909979439,0.269251524939579,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.133333333333333,0.160606060606061,-0.270833333333333,0.32023290130176,-0.204693683603163,-0.34940817743051
"SOSGRB2",0.358266178266178,0.382143246824098,0.336043956043956,0.301428571428571,0.271428571428571,0.35031005031005,0.276190476190476,0.339203269367448,0.323037323037323,0.30952380952381,0.261647727272727,0.259196932100158,0.252903225806452,0.298701026608003,0.333845029239766,0.304678362573099,0.395942028985507,0.288888888888889,0.233333333333333,0.2,0.357215265481102,0.391214419383433,0.2,0.347552447552448,0.309090909090909,-0.0272222222222222,-0.355,0.643939006515136,0.390714285714286,0.390714285714286,-0.492721071721072,0.322200492539476,0.274764595103578,0.274764595103578,0.274764595103578,-0.294706129152132,-0.559624014803663,-0.400751784858347,0.398254043955178,0.331521739130435,0.369382151029748,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,0,-0.3,-0.0304824184018815,-0.268468468468469,-0.369334795321637
"MEK",0.335646123577158,0.362495915072489,0.320890075656431,0.267619047619048,0.22,0.174333577891905,0.17,0.24312661819012,0.227666911225238,0.187241379310345,0.163218245169465,0.165950203144554,0.156725110893631,0.227544412300439,0.185580595874714,0.156168831168831,0.405140284552049,0.110714285714286,0.184,0.14,0.279035339538693,0.247638087784073,0.1,0.21041181041181,0.156565656565657,0.0925079365079365,-0.369918699186992,0.659179152260213,0.409171733734144,0.409171733734144,-0.51249725642839,0.128092463092463,0.0928543678543678,0.0928543678543678,0.0928543678543678,-0.1889332272311,-0.584297936918189,-0.417795056071308,0.400359290429801,0.352867132867133,0.377496836898203,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,0.1,-0.0857142857142857,0.0435840850415947,-0.208590163934426,-0.25499778858912
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.415,0.3,0.354837852206273,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.266666666666667,0.351941391941392,0.2,0.15,0.1,0.188531468531469,0.24812030075188,0.1,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.439156399156399,0.420634920634921,0.420634920634921,-0.144450549450549,0.192380952380952,0.166666666666667,0.166666666666667,0.166666666666667,-0.198809523809524,-0.283107697318424,-0.431699604743083,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,0.1,-0.2,-0.155003819709702,-0.15,-0.423703703703704
