"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","cateninmemb","KLF4","ZEB2","ZEB1","Ecadherin","RAS","RAF","PI3K","DELTA","GSK3","miR200","GLI","cateninnuc","TCFLEF","Wnt","Frizzled","CD44","cMet","DSH","SRC","STAT","AXIN2","TrCP","SUFU","LIV1","SNAI2","Destcompl","Patched","RKIP"
"Frizzled",0.211239996233876,0.236521739130435,0.203188405797101,0.146666666666667,0.1,0.164052287581699,0.115769496204279,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.116191872643486,0.161666666666667,0.136666666666667,0.0866666666666667,0.0954545454545455,0.236036414565826,0.05,0.0666666666666667,0.154080510992276,0.218347338935574,0.192857142857143,0.142857142857143,0.127272727272727,-0.332407855797686,-0.300840336134454,0.338861978019897,0.338861978019897,-0.38174289649506,0.164179955974403,0.14606971975393,0.14606971975393,0.14606971975393,-0.0858777429467085,-0.342200126262626,0.290601503759398,0.324300652292984,0.307157795150127,0.276315789473684,0.25,0.290601503759398,0.276315789473684,0.3,0.25,0.2,0.326892177589852,-0.1,0,0.1,0.143983465680409,-0.0198107300146506,-0.10974025974026,-0.141428571428571
"HEY1",0.38894994510542,0.37170140428677,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.334997461811805,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.322647849462366,0.33989417989418,0.302857142857143,0.26,0.266666666666667,0.407006535947713,0.233333333333333,0.2,0.347111898596156,0.374255413604301,0.342296650717703,0.305454545454545,0.28138936535163,-0.563029027205856,-0.266666666666667,0.354514963880289,0.354514963880289,-0.61857910966576,0.396033182503771,0.373974358974359,0.373974358974359,0.373974358974359,-0.344250347065976,-0.362568172568173,0.344073619824835,0.375695070810234,0.36112470966453,0.321659826721386,0.296078431372549,0.343398957156169,0.321659826721386,0.266666666666667,0.296078431372549,0.266666666666667,0.395477478753263,-0.1,-0.2,0.233333333333333,0.30998779074963,0.334757754233563,-0.297916666666667,-0.328674500103071
"FOXC2",0.38894994510542,0.37170140428677,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.334997461811805,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.322647849462366,0.33989417989418,0.302857142857143,0.26,0.266666666666667,0.407006535947713,0.233333333333333,0.2,0.347111898596156,0.374255413604301,0.342296650717703,0.305454545454545,0.28138936535163,-0.563029027205856,-0.266666666666667,0.354514963880289,0.354514963880289,-0.61857910966576,0.396033182503771,0.373974358974359,0.373974358974359,0.373974358974359,-0.344250347065976,-0.362568172568173,0.344073619824835,0.375695070810234,0.36112470966453,0.321659826721386,0.296078431372549,0.343398957156169,0.321659826721386,0.266666666666667,0.296078431372549,0.266666666666667,0.395477478753263,-0.1,-0.2,0.233333333333333,0.30998779074963,0.334757754233563,-0.297916666666667,-0.328674500103071
"TWIST1",0.358937096287059,0.331327789718725,0.316065830721003,0.301065830721003,0.287272727272727,0.334610927058073,0.309000868642765,0.26,0.320183066361556,0.299130434782609,0.212230707145961,0.201652057097602,0.196041496041496,0.286567934558487,0.310768609921152,0.292124542124542,0.273076923076923,0.256444444444444,0.243244524354364,0.244444444444444,0.25,0.181624431484466,0.222533462344783,0.206495726495727,0.191111111111111,0.18502024291498,-0.24477792696526,-0.316927246195539,0.358922079974712,0.358922079974712,-0.257790620282729,0.22273720751115,0.213490632168684,0.213490632168684,0.213490632168684,-0.216500867609836,-0.370674282919331,0.17012865497076,0.185425275268575,0.177892210288702,0.15812865497076,0.144444444444444,0.168856988236634,0.157210401891253,0.133333333333333,0.144444444444444,0.133333333333333,0.211684176039015,-0.2,-0.233333333333333,0.133333333333333,-0.163823316068709,0.193594438813042,-0.274252663622527,-0.31408857495814
"DSH",0.225525710519591,0.250807453416149,0.236521739130435,0.203188405797101,0.146666666666667,0.190368077055384,0.128812974465148,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0763983808235878,0.0631908336537765,0.125394326631216,0.174310344827586,0.161666666666667,0.136666666666667,0.10974025974026,0.250220811728947,0.0954545454545455,0.0866666666666667,0.16648361176747,0.231634052222288,0.218347338935574,0.192857142857143,0.15410199556541,-0.354198197376014,-0.33287917108591,0.362484025263991,0.362484025263991,-0.400619103694358,0.182947462977204,0.164179955974403,0.164179955974403,0.164179955974403,-0.100494912320258,-0.367809882360187,0.306941373040444,0.337924873130028,0.324300652292984,0.290601503759398,0.276315789473684,0.307157795150127,0.290601503759398,0.25,0.276315789473684,0.25,0.345879519362004,-0.0666666666666667,-0.05,0.2,0.153180206076218,-0.00931454680854374,-0.116191872643486,-0.157512487512488
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.227666911225238,0.22073762506942,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.110714285714286,0.0857142857142857,0.14,0.369964349376114,0.1,0.1,0.254242460991188,0.21041181041181,0.156565656565657,0.111111111111111,0.0613968253968254,-0.449213919802155,-0.332663797226208,0.372663797226208,0.372663797226208,-0.499960657948432,0.0911449661449661,0.050974025974026,0.050974025974026,0.050974025974026,-0.161544523246651,-0.380952950808151,0.312307692307692,0.358231369541132,0.336602870813397,0.27,0.2,0.310728744939271,0.268421052631579,0.1,0.2,0.1,0.332208157524613,-0.1,-0.1,0,0.456329777933205,0.0152651304424209,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.1,0,0.3,0.2,0.2,0,0.162857142857143,0.233333333333333,0.2,0.1,0.25,-0.286164874551971,-0.3,0.375,0.375,-0.305555555555556,0.303846153846154,0.25,0.25,0.25,-0.271794871794872,-0.383333333333333,0.25,0.23,0.196666666666667,0.2,0.2,0.15,0.1,0.2,0.1,0.1,0.276190476190476,0,-0.2,0,0.215249042145594,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.251049941927991,0.267274509803922,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.167725442834139,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.126495726495726,0.276018099547511,0.252941176470588,0.2,0.1,0.261563090429805,0.05,0.166666666666667,0.166228070175439,0.229652605459057,0.203846153846154,0.15,0.163461538461538,-0.338297615855775,-0.336842105263158,0.375508463573364,0.375508463573364,-0.381040119078075,0.200134258435628,0.17821645021645,0.17821645021645,0.17821645021645,-0.172402597402597,-0.376039526859199,0.302913415087328,0.339495627213835,0.321557482883938,0.285990338164251,0.255555555555556,0.302913415087328,0.285990338164251,0.2,0.255555555555556,0.2,0.335523809523809,-0.2,0,0.1,0.0728830465820046,-0.0395608337778336,-0.115384615384615,-0.165481577246283
"ILK",0.251049941927991,0.267274509803922,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.167725442834139,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.126495726495726,0.276018099547511,0.252941176470588,0.2,0.1,0.261563090429805,0.05,0.166666666666667,0.166228070175439,0.229652605459057,0.203846153846154,0.15,0.163461538461538,-0.338297615855775,-0.336842105263158,0.375508463573364,0.375508463573364,-0.381040119078075,0.200134258435628,0.17821645021645,0.17821645021645,0.17821645021645,-0.172402597402597,-0.376039526859199,0.302913415087328,0.339495627213835,0.321557482883938,0.285990338164251,0.255555555555556,0.302913415087328,0.285990338164251,0.2,0.255555555555556,0.2,0.335523809523809,-0.2,0,0.1,0.0728830465820046,-0.0395608337778336,-0.115384615384615,-0.165481577246283
"SNAI2",0.424698860712761,0.410276395954145,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.370375010941466,0.2,0.349019607843137,0.288235294117647,0.116169379144063,0.112087517128288,0.0934272300469483,0.364039362223763,0.36889281262983,0.326724137931034,0.275,0.301176470588235,0.444142620887878,0.26,0.2,0.396475274504074,0.413118022328549,0.376754385964912,0.332894736842105,0.323799864773496,-0.612569538489203,-0.286538461538462,0.378588839941263,0.378588839941263,-0.7596083810816,0.438563427758566,0.41162278848916,0.41162278848916,0.41162278848916,-0.3836991526585,-0.386587993124707,0.395879985797136,0.432660036222687,0.415889849887283,0.370746295957564,0.341168831168831,0.395477478753263,0.370746295957564,0.305454545454545,0.341168831168831,0.305454545454545,0.442116176665971,-0.1,-0.2,0.26,0.569649062386549,0.380113372018162,-0.335870348139256,-0.355166666666667
"cateninnuc",0.387096564637548,0.368460073480703,0.351647846406467,0.328659340659341,0.299428571428571,0.371383974579836,0.330411973942185,0.297101449275362,0.352576635130295,0.327260179434092,0.124481847142868,0.111170201331184,0.103393939393939,0.2096059042925,0.341010416666667,0.326166666666667,0.304166666666667,0.184644808743169,0.309978482860723,0.163333333333333,0.270833333333333,0.23223227099917,0.364743791880173,0.349743791880173,0.328813559322034,0.255261562674831,-0.364801157347412,-0.300194664963348,0.379590589108521,0.379590589108521,-0.421449072090007,0.37492350992351,0.362465597465597,0.362465597465597,0.362465597465597,-0.327282671535124,-0.387160596628198,0.232096541536685,0.152478189897705,0.242619034968127,0.219448320192811,0.204230928888463,0.231043232130189,0.218344819431776,0.183682983682984,0.203127428127428,0.183682983682984,0.375695070810234,-0.233333333333333,-0.133333333333333,0.160606060606061,0.27524086927518,0.305598480299096,-0.198930523028884,-0.345742612226483
"RAS",0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.315727554179567,0.306489675516224,0.26,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.192870056497175,0.212222222222222,0.173333333333333,0.166666666666667,0.116666666666667,0.370987452264048,0.1,0.2,0.254129706288192,0.277259185700099,0.226315789473684,0.2,0.0125541125541125,-0.365462380728492,-0.356428571428571,0.398696612665685,0.398696612665685,-0.41389137121691,0.149871794871795,0.205641025641026,0.205641025641026,0.205641025641026,-0.213888888888889,-0.407661538461538,0.330637254901961,0.383377484003621,0.360431308366227,0.276470588235294,0.2,0.329662077596996,0.276470588235294,0.1,0.2,0.1,0.344137022397892,-0.2,-0.1,0,0.312653446335439,-0.0438921229618904,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.370573870573871,0.39267243394903,0.343736263736264,0.301428571428571,0.271428571428571,0.359400959400959,0.356393745557925,0.276190476190476,0.323037323037323,0.30952380952381,0.261647727272727,0.259196932100158,0.252903225806452,0.298701026608003,0.338011695906433,0.304678362573099,0.288888888888889,0.233333333333333,0.40104347826087,0.2,0.3,0.354161830366599,0.394031320791884,0.347552447552448,0.309090909090909,-0.0272222222222222,-0.468873873873874,-0.362017543859649,0.400588972431078,0.400588972431078,-0.519893551679547,0.330747501086484,0.285875706214689,0.285875706214689,0.285875706214689,-0.313702544922741,-0.410651126415904,0.325724637681159,0.381169833720555,0.357269260106789,0.275,0.2,0.32463768115942,0.273913043478261,0.1,0.2,0.1,0.34164603960396,-0.2,-0.2,0,0.455299740651678,-0.0422015717317731,-0.268468468468469,-0.381834795321637
"IKK",0.44046176046176,0.45889696969697,0.41969696969697,0.383333333333333,0.35,0.21752380952381,0.239079728583545,0.1,0.170857142857143,0.142857142857143,0.181940144478844,0.181827557755776,0.172916666666667,0.210574712643678,0.288159588159588,0.247619047619048,0.314285714285714,0.16,0.433856209150327,0.12,0.3,0.207677288347391,0.297113997113997,0.260606060606061,0.227272727272727,0.253361344537815,-0.32572241538722,-0.353113553113553,0.400892230576441,0.400892230576441,-0.358475616578236,0.273869959016044,0.248517846339988,0.248517846339988,0.248517846339988,-0.140659340659341,-0.406298773690078,0.237179487179487,0.269597423244709,0.253563667970448,0.214102564102564,0.183333333333333,0.237179487179487,0.214102564102564,0.15,0.183333333333333,0.15,0.26547619047619,-0.2,-0.1,0.1,-0.140353209777062,0.0296353087903849,-0.193333333333333,-0.238706739526412
"AKT",0.268343175010697,0.284495053610568,0.267274509803922,0.233941176470588,0.177941176470588,0.219023845271663,0.185018675916845,0.0952380952380952,0.192441566790651,0.148179271708683,0.0875742731867506,0.0923497091765999,0.0798917967186875,0.139127305443095,0.191169614699026,0.276018099547511,0.252941176470588,0.115384615384615,0.278994283090355,0.1,0.2,0.181459858254909,0.245506263995642,0.229652605459057,0.203846153846154,0.192350427350427,-0.36102952207392,-0.370175438596491,0.402220792340488,0.402220792340488,-0.401949209987166,0.221098113857315,0.200134258435628,0.200134258435628,0.200134258435628,-0.18812840385421,-0.403847013490215,0.321349169277272,0.353495627213835,0.339495627213835,0.302913415087328,0.285990338164251,0.321557482883938,0.302913415087328,0.255555555555556,0.285990338164251,0.255555555555556,0.356823448512979,-0.166666666666667,-0.05,0.2,0.0830338003508489,-0.0285600066479742,-0.126495726495726,-0.184736235631376
"MEK",0.335646123577158,0.361036061057891,0.320890075656431,0.267619047619048,0.22,0.174333577891905,0.243814548146343,0.17,0.227666911225238,0.187241379310345,0.163218245169465,0.165950203144554,0.156725110893631,0.224930033215472,0.185580595874714,0.156168831168831,0.110714285714286,0.184,0.398902078313843,0.14,0.0857142857142857,0.270635903614138,0.244718379754876,0.21041181041181,0.156565656565657,0.0925079365079365,-0.480189529558253,-0.369918699186992,0.410759035321446,0.410759035321446,-0.532018945744425,0.121938616938617,0.0911449661449661,0.0911449661449661,0.0911449661449661,-0.185868847570975,-0.419033446164188,0.338181818181818,0.377190477347824,0.358231369541132,0.312307692307692,0.27,0.336602870813397,0.310728744939271,0.2,0.268421052631579,0.2,0.368244193560649,-0.1,-0.1,0.1,0.468251919052426,0.032001532116061,-0.208590163934426,-0.257629367536488
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.415,0.373019670388091,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.266666666666667,0.2,0.15,0.351941391941392,0.1,0.2,0.188531468531469,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,-0.131043956043956,-0.277777777777778,0.420634920634921,0.420634920634921,-0.252675605254587,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.223809523809524,-0.431699604743083,0.0233333333333333,0.121472868217054,0.0814728682170543,-0.05,-0.1,0.0233333333333333,0.05,0,0,0.1,-0.02,-0.1,-0.1,0.1,0.282699522699523,-0.161126268689294,-0.15,-0.423703703703704
