"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","TWIST1","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"cfos",0.404645893403537,0.425145442792502,0.378991596638655,0.314285714285714,0.242857142857143,0.389064112011791,0.32,0.320279343298211,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.120833333333333,0.0833333333333333,0.362761904761905,0.10952380952381,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.535891553701773,0.5613144108218,0.5613144108218,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.611382005597785,-0.572638399128465,-0.310213744588745,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.321284462663773
"CDC42",0.404645893403537,0.425145442792502,0.378991596638655,0.314285714285714,0.342857142857143,0.389064112011791,0.22,0.320279343298211,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.120833333333333,0.0833333333333333,0.362761904761905,0.10952380952381,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.535891553701773,0.5613144108218,0.5613144108218,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.611382005597785,-0.572638399128465,-0.310213744588745,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.321284462663773
"TCFLEF",0.610115072572899,0.598952007429353,0.571306956234814,0.540174880763116,0.501351351351351,0.523329718527087,0.429323308270677,0.428230750786787,0.496246385193754,0.469323308270677,0.202530980006436,0.184927581284089,0.175300862227114,0.283561145977378,0.311735326126388,0.291064935064935,0.271064935064935,0.426653996410094,0.241666666666667,0.216666666666667,0.283227041963884,0.235064935064935,0.395827860591667,0.371082097879802,0.345082097879802,0.19689898989899,-0.433699153699154,0.482718863404818,0.569267226748133,0.569267226748133,-0.434682419266812,0.4086396528041,0.385071077571078,0.385071077571078,0.385071077571078,-0.602593607649824,-0.580699944101208,-0.35806451381649,0.207632007897184,0.268619996459369,0.188295473632671,0.240544286680189,0.264663343248504,0.236867816091954,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.6002026230046,-0.171428571428571,-0.183333333333333,0.133333333333333,0.32095799144718,-0.262675070028011,-0.432043614784087
"ZEB1",0.462393280032893,0.493378572289882,0.457907630406114,0.415639589169001,0.362698412698413,0.363483249802163,0.216666666666667,0.341403544405211,0.320882352941177,0.275,0.185218728639781,0.17898612880408,0.166609891180318,0.271408218879442,0.285182628702905,0.251849295369572,0.220701754385965,0.468910822839272,0.223106060606061,0.195833333333333,0.334126319059363,0.173333333333333,0.361838235294118,0.326838235294118,0.289583333333333,0.293077977963777,-0.549169040835708,0.526236516857471,0.601697694087774,0.601697694087774,-0.642187996685694,0.451618599691673,0.420181000955496,0.420181000955496,0.420181000955496,-0.645519628244707,-0.621261773158334,-0.385543575920934,0.49619699588886,0.450630335462127,0.474778975209391,0.420975163048334,0.44911052601153,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.479981250063862,-0.133333333333333,-0.158333333333333,0.266666666666667,0.39859743135557,-0.249106060606061,-0.327700101317123
"PAK1",0.439857161009171,0.460700998348057,0.425145442792502,0.378991596638655,0.314285714285714,0.439064112011791,0.28,0.348043471062339,0.389064112011791,0.336521739130435,0.100476967398654,0.108384787606799,0.0933521078682369,0.182543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.395179487179487,0.138556067588326,0.10952380952381,0.234377982276755,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.553269841269841,0.571217640658295,0.602298017379177,0.602298017379177,-0.570959582011642,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652845420231931,-0.614089176330538,-0.336759199134199,0.451210921002508,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.355747739499931
"LIV1",0.439857161009171,0.460700998348057,0.425145442792502,0.378991596638655,0.314285714285714,0.439064112011791,0.28,0.348043471062339,0.389064112011791,0.336521739130435,0.100476967398654,0.108384787606799,0.0933521078682369,0.182543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.395179487179487,0.138556067588326,0.10952380952381,0.234377982276755,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.553269841269841,0.571217640658295,0.602298017379177,0.602298017379177,-0.570959582011642,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652845420231931,-0.614089176330538,-0.336759199134199,0.451210921002508,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.355747739499931
"EGR1",0.439857161009171,0.460700998348057,0.425145442792502,0.378991596638655,0.314285714285714,0.439064112011791,0.28,0.348043471062339,0.389064112011791,0.336521739130435,0.100476967398654,0.108384787606799,0.0933521078682369,0.182543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.395179487179487,0.138556067588326,0.10952380952381,0.234377982276755,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.553269841269841,0.571217640658295,0.602298017379177,0.602298017379177,-0.570959582011642,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652845420231931,-0.614089176330538,-0.336759199134199,0.451210921002508,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.355747739499931
"TGFR",0.575652680652681,0.595921122864211,0.546462639109698,0.589705882352941,0.524705882352941,0.51408319649699,0.376190476190476,0.471566887549949,0.470634920634921,0.420634920634921,0.248602302090674,0.238733766233766,0.226233766233766,0.295695648049944,0.375125313283208,0.341791979949875,0.315476190476191,0.505655714655715,0.234367816091954,0.203333333333333,0.352346839320523,0.258333333333333,0.432686466985485,0.38816091954023,0.343333333333333,0.223319473319473,-0.552159206746363,0.557109363358531,0.602593472694232,0.602593472694232,-0.563691174578515,0.442913165266106,0.397619047619048,0.397619047619048,0.397619047619048,-0.649343425134496,-0.610554112554113,-0.410508663541932,0.456915747062718,0.387718696397942,0.425974043026843,0.342264150943396,0.387959515181807,0.342264150943396,0.28,0.28,0.2,0.2,0.410395000912242,-0.233333333333333,-0.153333333333333,0.1,0.20750405415541,-0.266625880608083,-0.445643858628933
"SMAD",0.492950977563814,0.512909021103717,0.475332019050329,0.427903447621757,0.367340067340067,0.467552451890723,0.309523809523809,0.380746698698321,0.417303695671817,0.364362519201229,0.228521838165891,0.118457005443687,0.203751123090746,0.302491497178782,0.312358276643991,0.277664399092971,0.238888888888889,0.429964950046917,0.252412280701754,0.220833333333333,0.353802962303574,0.205555555555556,0.366486401012018,0.330196078431373,0.286666666666667,0.257539315448659,-0.568919182083739,0.573723348091637,0.621137366627563,0.621137366627563,-0.577666299034978,0.461733337147434,0.426733337147434,0.426733337147434,0.426733337147434,-0.671949416763454,-0.630968716447443,-0.371840170493319,0.446310884352951,0.392869291434241,0.422094946049609,0.359292649098474,0.393621768608068,0.36004243281471,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.427652871223824,-0.15,-0.183333333333333,0.2,0.279659253131516,-0.278827375041377,-0.374520581005937
"SNAI1",0.469818250503334,0.491233785233303,0.460700998348057,0.425145442792502,0.378991596638655,0.475715695722198,0.336521739130435,0.273820436327421,0.439064112011791,0.389064112011791,0.11854925655528,0.119774024152481,0.108384787606799,0.204657224844734,0.217166179337232,0.187305068226121,0.157675438596491,0.423528396836808,0.159543721909313,0.138556067588326,0.25801864421529,0.120833333333333,0.27603872318158,0.245018315018315,0.212051282051282,0.24740182668457,-0.590412698412698,0.601032766708715,0.636724246887374,0.636724246887374,-0.603668565709179,0.408647625134787,0.380240400175838,0.380240400175838,0.380240400175838,-0.688278491098073,-0.649782391669771,-0.358871410355321,0.47099341711851,0.426375191209496,0.451210921002508,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0833333333333333,-0.10952380952381,0.28,0.400641720052516,-0.182543721909313,-0.386649027053579
