"","FOXC2","TGF","TGFR","PAK1","CDC42","cateninmemb","EGR1","cfos","ILK","SMAD","ERK","SNAI1","MEK","Ecadherin","NFB","Csn","SHH","IKK","SMO","AKT","FUS","Jagged","TWIST1","KLF4","Csl","NOTCHic","NOTCH","GSK3","SOSGRB2","ZEB2","ZEB1","miR200","SNAI2","RAF","PI3K","DELTA","RAS","TrCP","SUFU","Patched","HEY1","Wnt","GLI","Frizzled","cateninnuc","TCFLEF","cMet","CD44","DSH","SRC","RKIP","STAT","LIV1","AXIN2","Destcompl"
"Destcompl",0.0567905372676879,0.0255550205563169,0.0288062520834105,0.0210204081632653,0.0272273047149894,0.21621199687132,0.0625641025641026,0.0534731934731935,0.0134126984126984,0.0137635756056809,0.0529267453857618,0.0951209576902037,0.0516609226009516,0.0530064129177915,0.0523809523809524,0.0523809523809524,-0.11982880823179,0.0496782496782497,-0.111877394636015,0.0449802631010685,-0.111877394636015,-0.18586113512363,-0.0401931563351298,-0.203149190846705,-0.0549784567175871,-0.0560654132393263,-0.0598730284697872,-0.0885813368463914,-0.0615627546709182,0.192133863412772,0.192133863412772,-0.203803589903581,-0.234157014716802,0.00295231120545534,0.00295231120545534,0.00295231120545534,0.00169642423528266,-0.0666666666666667,0.122222222222222,0.116540607071248,-0.0177562608331839,-0.183346465762036,-0.186129397116396,-0.180376168732333,-0.187457466920998,-0.186845534233594,-0.182863730921388,-0.185475671219895,-0.181746031746032,-0.180376168732333,-0.121719625848595,-0.181746031746032,-0.188888888888889,-0.238889618915709,-0.0203217440652744
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0783333333333333,0.0647530864197531,0.250155639721706,0.153333333333333,0.131382113821138,0.0220841959972395,0.0181159420289855,0.117363422232353,0.1547184519461,0.111846180853043,0.0642452455773618,0.109178743961353,0.122222222222222,-0.153439770611902,0.104830917874396,-0.152930402930403,0.101497584541063,-0.157692307692308,-0.220035634166069,-0.0370946197518206,-0.252988588338008,-0.0505263157894737,-0.052312030075188,-0.0536633814265393,-0.170421160202625,-0.0772774023545412,0.245175501457021,0.245175501457021,-0.2593606087525,-0.277140533211692,0.069649370081896,0.069649370081896,0.069649370081896,0.0667622309742845,-0.133333333333333,0.15,0.151144688644689,-0.0243920681040356,-0.235950280673617,-0.237208142308837,-0.237674418604651,-0.240489273044546,-0.238889618915709,-0.235950280673617,-0.236896652913364,-0.24,-0.237674418604651,-0.178657587931781,-0.24,-0.233333333333333,0.182032686545068,0.15963092790824
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,-0.333008474576271,0.1,0.0666666666666667,0.058974358974359,0.0566487775790101,0.0666666666666667,0.104658385093168,0.119607843137255,-0.3955912105204,0.0666666666666667,0.1,0.10974025974026,0.0866666666666667,0.05,0.136666666666667,0,0.153259803921569,0.222941176470588,-0.262745098039216,0.1,0.142857142857143,0.192857142857143,-0.0729623824451411,0.0939393939393939,0.304208512673362,0.304208512673362,-0.306262626262626,0.340258620689655,0.118796992481203,0.118796992481203,0.118796992481203,0.150615174299385,-0.1,0,-0.0954545454545455,-0.0456410256410256,0.25,0.286842105263158,0.3,0.327475974704974,0.308270676691729,0.25,0.286842105263158,0.2,0.2,-0.12,0.1,0,0.31030303030303,-0.0233176107971793
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.1,0.146666666666667,-0.362532284100081,0.0666666666666667,0.0666666666666667,0.0566487775790101,0.0631908336537765,0.119607843137255,0.118944099378882,0.164052287581699,-0.430789345718535,0.0866666666666667,0.0666666666666667,0.119417679095098,0.136666666666667,0.0954545454545455,0.161666666666667,0.05,0.16437091503268,0.24484593837535,-0.300840336134454,0.142857142857143,0.192857142857143,0.222268907563025,-0.0929623824451411,0.127272727272727,0.338861978019897,0.338861978019897,-0.342200126262626,0.367703415642337,0.150615174299385,0.150615174299385,0.150615174299385,0.173449819968676,-0.1,0,-0.10974025974026,-0.0435133660665576,0.286842105263158,0.308270676691729,0.25,0.345571212800212,0.327475974704974,0.286842105263158,0.308270676691729,0.3,0.25,-0.141428571428571,0.2,0.1,0.340535588442565,-0.00872875138073365
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.263636363636364,0.307636363636364,-0.592081001654172,0.2,0.281818181818182,0.0906666666666667,0.105159420289855,0.328877005347594,0.33671420000923,0.364959479574398,-0.670729336848855,0.26,0.2,0.324798387096774,0.302857142857143,0.266666666666667,0.33989417989418,0.233333333333333,0.354196538094589,0.412614379084967,-0.266666666666667,0.305454545454545,0.342296650717703,0.376317269274404,-0.348106210167198,0.28138936535163,0.354514963880289,0.354514963880289,-0.362568172568173,0.4649781869926,0.375897435897436,0.375897435897436,0.375897435897436,0.400897435897436,-0.1,-0.2,-0.297916666666667,-0.0482964094728801,0.326310989512084,0.353897196408636,0.296078431372549,0.395148917516182,0.376344434328137,0.326310989512084,0.353267511251214,0.266666666666667,0.296078431372549,-0.328674500103071,0.266666666666667,0.233333333333333,0.40259545543053,0.341987979717644
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.263636363636364,0.307636363636364,-0.592081001654172,0.2,0.281818181818182,0.0906666666666667,0.105159420289855,0.328877005347594,0.33671420000923,0.364959479574398,-0.670729336848855,0.26,0.2,0.324798387096774,0.302857142857143,0.266666666666667,0.33989417989418,0.233333333333333,0.354196538094589,0.412614379084967,-0.266666666666667,0.305454545454545,0.342296650717703,0.376317269274404,-0.348106210167198,0.28138936535163,0.354514963880289,0.354514963880289,-0.362568172568173,0.4649781869926,0.375897435897436,0.375897435897436,0.375897435897436,0.400897435897436,-0.1,-0.2,-0.297916666666667,-0.0482964094728801,0.326310989512084,0.353897196408636,0.296078431372549,0.395148917516182,0.376344434328137,0.326310989512084,0.353267511251214,0.266666666666667,0.296078431372549,-0.328674500103071,0.266666666666667,0.233333333333333,0.40259545543053,0.341987979717644
"DSH",0.231314495378143,0.258798161894662,0.240331262939959,0.146666666666667,0.203188405797101,-0.389269622144839,0.0666666666666667,0.119607843137255,0.0631908336537765,0.0763983808235878,0.164052287581699,0.134886128364389,0.19187183645388,-0.457567221047772,0.136666666666667,0.0866666666666667,0.13107412081289,0.161666666666667,0.10974025974026,0.176609195402299,0.0954545454545455,0.178324403404773,0.261867214971095,-0.33287917108591,0.192857142857143,0.222268907563025,0.239751425045543,-0.10989973743354,0.156541019955654,0.364058828413597,0.364058828413597,-0.369029394555309,0.390404230543384,0.173449819968676,0.173449819968676,0.173449819968676,0.195018447419657,-0.0666666666666667,-0.05,-0.119417679095098,-0.0470221379963821,0.308270676691729,0.327224925057742,0.286842105263158,0.362401132657737,0.345571212800212,0.308270676691729,0.327475974704974,0.25,0.286842105263158,-0.16030969030969,0.25,0.2,0.363742339497418,0.00310330968796864
"RAF",0.283554376657825,0.303889630618603,0.258095238095238,0.2,0.22,-0.407458046281576,0.17,0.17,0.153754813863928,0.156725110893631,0.187241379310345,0.20734893799106,0.223411592076302,-0.461755914915672,0.0857142857142857,0.1,0.197311475409836,0.110714285714286,0.14,0.150108225108225,0.1,0.236844126445145,0.351179441473559,-0.332663797226208,0.111111111111111,0.147474747474747,0.193628593628594,-0.14160756501182,0.0533968253968254,0.368663797226208,0.368663797226208,-0.377852175614352,0.58843154397622,0.0275974025974026,0.0275974025974026,0.0275974025974026,0.0660589410589411,-0.1,-0.1,-0.176,-0.137359659310879,0.226666666666667,0.272820512820513,0.166666666666667,0.323431490165118,0.300785179732548,0.224561403508772,0.270715249662618,0.1,0.166666666666667,-0.218207282913165,0.1,0,0.289861697140178,-0.0092911729151591
"SHH",0.35,0.44,0.4,0.2,0.3,-0.299068100358423,0,0.1,0.0666666666666667,0.1,0.2,0.283333333333333,0.3,-0.336111111111111,0,0,0.253333333333333,0.1,0.3,0.15,0.2,0.162857142857143,0.2,-0.3,0.1,0.2,0.233333333333333,-0.271794871794872,0.25,0.375,0.375,-0.383333333333333,0.36727969348659,0.25,0.25,0.25,0.303846153846154,0,-0.2,-0.333333333333333,-0.0666666666666667,0.2,0.25,0.2,0.241111111111111,0.196666666666667,0.1,0.15,0.2,0.1,-0.26,0.1,0,0.276190476190476,0.272987012987013
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.125,0.177941176470588,-0.392701351174406,0.0666666666666667,0.0952380952380952,0.0694917967186875,0.0798917967186875,0.148179271708683,0.173280998389694,0.192441566790651,-0.465127718212899,0.2,0.166666666666667,0.132051282051282,0.252941176470588,0.1,0.276018099547511,0.05,0.183245614035088,0.276816119652898,-0.336842105263158,0.15,0.203846153846154,0.236104218362283,-0.18481240981241,0.163461538461538,0.375508463573364,0.375508463573364,-0.376039526859199,0.394824563167988,0.18621645021645,0.18621645021645,0.18621645021645,0.21635343651782,-0.2,0,-0.115384615384615,-0.0566105001177143,0.303381642512077,0.332612411742847,0.255555555555556,0.378143310455643,0.356906197053581,0.303381642512077,0.332612411742847,0.2,0.255555555555556,-0.165481577246283,0.2,0.1,0.358952380952381,-0.0197171932686978
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.125,0.177941176470588,-0.392701351174406,0.0666666666666667,0.0952380952380952,0.0694917967186875,0.0798917967186875,0.148179271708683,0.173280998389694,0.192441566790651,-0.465127718212899,0.2,0.166666666666667,0.132051282051282,0.252941176470588,0.1,0.276018099547511,0.05,0.183245614035088,0.276816119652898,-0.336842105263158,0.15,0.203846153846154,0.236104218362283,-0.18481240981241,0.163461538461538,0.375508463573364,0.375508463573364,-0.376039526859199,0.394824563167988,0.18621645021645,0.18621645021645,0.18621645021645,0.21635343651782,-0.2,0,-0.115384615384615,-0.0566105001177143,0.303381642512077,0.332612411742847,0.255555555555556,0.378143310455643,0.356906197053581,0.303381642512077,0.332612411742847,0.2,0.255555555555556,-0.165481577246283,0.2,0.1,0.358952380952381,-0.0197171932686978
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.276470588235294,0.333613445378151,-0.637105914173758,0.2,0.288235294117647,0.0934272300469483,0.112087517128288,0.349019607843137,0.37146790711633,0.393614202437732,-0.806707580274138,0.275,0.2,0.365447812927988,0.326724137931034,0.301176470588235,0.36889281262983,0.26,0.401762028014479,0.448322008191805,-0.286538461538462,0.332894736842105,0.376754385964912,0.41441672362725,-0.386470390385003,0.323799864773496,0.378588839941263,0.378588839941263,-0.386587993124707,0.710777486540221,0.412827607766268,0.412827607766268,0.412827607766268,0.442051352058506,-0.1,-0.2,-0.335870348139256,-0.0474080771549126,0.373563197366014,0.402974962071897,0.341168831168831,0.449229572098264,0.427956280172798,0.373563197366014,0.40259545543053,0.305454545454545,0.341168831168831,-0.355166666666667,0.305454545454545,0.26,0.447100565604419,0.385743987724154
"cateninnuc",0.395207420994306,0.378697062812708,0.358173045345459,0.299428571428571,0.331736263736264,-0.406944229635859,0.297101449275362,0.327260179434092,0.103393939393939,0.111715903923271,0.353842457915105,0.338090145240852,0.375402090942628,-0.487688652645528,0.304166666666667,0.270833333333333,0.217547714104253,0.328166666666667,0.18792349726776,0.345354166666667,0.163333333333333,0.247671999744195,0.324496918914511,-0.301618152507832,0.332203389830509,0.356621994481671,0.375258358118035,-0.33780824342555,0.260300632619561,0.382946233909949,0.382946233909949,-0.390226954822903,0.463021302499774,0.372717552717553,0.372717552717553,0.372717552717553,0.388374118374118,-0.233333333333333,-0.133333333333333,-0.204693683603163,-0.0604316766271039,0.238054862548609,0.254260396145447,0.217402688635565,0.180276637772512,0.267711048156384,0.237027465288335,0.253297306558176,0.191375291375291,0.216375291375291,-0.350273978296311,0.191375291375291,0.160606060606061,0.395148917516182,0.319274317478747
"SOSGRB2",0.361001221001221,0.379306367391474,0.336043956043956,0.271428571428571,0.301428571428571,-0.428297804297804,0.276190476190476,0.30952380952381,0.252903225806452,0.259196932100158,0.323037323037323,0.346852167732765,0.356370656370656,-0.482504960435724,0.288888888888889,0.3,0.290970039807249,0.304678362573099,0.233333333333333,0.333845029239766,0.2,0.338623539578585,0.384144927536232,-0.362017543859649,0.309090909090909,0.33986013986014,0.380705210282675,-0.29806259814675,-0.0327777777777778,0.397731829573935,0.397731829573935,-0.408441181664522,0.615554240819846,0.267984934086629,0.267984934086629,0.267984934086629,0.310292626394321,-0.2,-0.2,-0.263063063063063,-0.137215909090909,0.238095238095238,0.288819875776398,0.171428571428571,0.351172552713565,0.324212705677237,0.236645962732919,0.287370600414079,0.1,0.171428571428571,-0.376571637426901,0.1,0,0.302963421342134,-0.0626742385131647
"RAS",0.343015873015873,0.363808969132207,0.315294117647059,0.26,0.28,-0.374148099937141,0.26,0.26,0.156709956709957,0.158750773036487,0.286315789473684,0.302949852507375,0.315727554179567,-0.437271287961825,0.166666666666667,0.2,0.189480225988701,0.173333333333333,0.116666666666667,0.212222222222222,0.1,0.251113739404692,0.367986906710311,-0.356428571428571,0.2,0.226315789473684,0.273485600794439,-0.209444444444444,0.0125541125541125,0.398696612665685,0.398696612665685,-0.407661538461538,0.563584026779151,0.200512820512821,0.200512820512821,0.200512820512821,0.14474358974359,-0.2,-0.1,-0.160666666666667,-0.0444664031620553,0.264705882352941,0.323039215686275,0.2,0.390764588880577,0.362152690863579,0.264705882352941,0.32215269086358,0.1,0.2,-0.392622641509434,0.1,0,0.335046113306983,-0.0453108174038407
"MEK",0.319590412693861,0.341845834998165,0.303889630618603,0.22,0.258095238095238,-0.439409265793771,0.17,0.187241379310345,0.156725110893631,0.164474188384406,0.223411592076302,0.230425861067983,0.161744925409636,-0.498003638048641,0.110714285714286,0.0857142857142857,0.214958534233365,0.150108225108225,0.176,0.174814107461166,0.14,0.255696585461539,0.380117170411288,-0.365997130559541,0.147474747474747,0.193628593628594,0.226475308957061,-0.166423289827545,0.0778412698412699,0.402790781353192,0.402790781353192,-0.411598305645312,0.619088478282789,0.0660589410589411,0.0660589410589411,0.0660589410589411,0.0968525918525918,-0.1,-0.1,-0.197311475409836,-0.139177841129061,0.272820512820513,0.302890442890443,0.226666666666667,0.342762345183706,0.323431490165118,0.270715249662618,0.300785179732548,0.166666666666667,0.224561403508772,-0.245838861860534,0.166666666666667,0.1,0.327699534978016,0.00828204884216308
"AKT",0.278358212604682,0.298249873938228,0.273778574844572,0.177941176470588,0.233941176470588,-0.423384327728942,0.0952380952380952,0.148179271708683,0.0798917967186875,0.0923497091765999,0.192441566790651,0.195586762800722,0.221555490841284,-0.496491354576535,0.252941176470588,0.2,0.14889338731444,0.276018099547511,0.115384615384615,0.195210018739431,0.1,0.201788660392704,0.299751899469412,-0.370175438596491,0.203846153846154,0.236104218362283,0.2592749500696,-0.20497370013499,0.196794871794872,0.404960518367885,0.404960518367885,-0.40598605092337,0.421859739047384,0.21635343651782,0.21635343651782,0.21635343651782,0.242618496758784,-0.166666666666667,-0.05,-0.132051282051282,-0.0633774174109474,0.332612411742847,0.356634758111562,0.303381642512077,0.39706638737872,0.378143310455643,0.332612411742847,0.356906197053581,0.255555555555556,0.303381642512077,-0.189705179730755,0.255555555555556,0.2,0.388194258208699,-0.00557327267316428
"CD44",0.37875,0.372222222222222,0.35,0.2,0.3,-0.114377289377289,0.3,0.325,0.183333333333333,0.197619047619048,0.385,0.373019670388091,0.415,-0.244298121810878,0.2,0.2,0.177272727272727,0.266666666666667,0.15,0.26,0.1,0.182470862470862,0.346227106227106,-0.277777777777778,0.2,0.242857142857143,0.24812030075188,-0.219642857142857,-0.00238095238095239,0.420634920634921,0.420634920634921,-0.431699604743083,0.429401709401709,0.166666666666667,0.166666666666667,0.166666666666667,0.198095238095238,-0.1,-0.1,-0.15,-0.126900584795322,-0.05,0.01,-0.1,0.109677996422182,0.0681395348837209,0.05,0.01,0,0,-0.423703703703704,0.1,0.1,-0.03,-0.169049437957001
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.35,0.405555555555556,-0.561660090375174,0.1,0.142857142857143,0.172916666666667,0.18578795379538,0.178857142857143,0.293560927339553,0.252190476190476,-0.668474004914889,0.314285714285714,0.3,0.2557343550447,0.264285714285714,0.18,0.321042471042471,0.12,0.28535145267104,0.531274509803922,-0.363369963369963,0.245454545454545,0.307359307359307,0.362914862914863,-0.223406593406593,0.301890756302521,0.425418546365915,0.425418546365915,-0.428840579710145,0.657780613006238,0.334119782214156,0.334119782214156,0.334119782214156,0.379190204749367,-0.2,-0.1,-0.228148148148148,-0.159649122807018,0.331623931623932,0.373162393162393,0.277777777777778,0.434057766115264,0.405365782992902,0.331623931623932,0.373162393162393,0.2,0.277777777777778,-0.277322404371585,0.2,0.1,0.401190476190476,0.137120321184984
"ERK",0.345402378505827,0.368494186646516,0.341845834998165,0.258095238095238,0.303889630618603,-0.467284150798371,0.187241379310345,0.223411592076302,0.164474188384406,0.174504583521184,0.161744925409636,0.251027712919835,0.192107042401279,-0.527629453359317,0.150108225108225,0.110714285714286,0.230417471431433,0.174814107461166,0.197311475409836,0.19683245608502,0.176,0.272262850521779,0.403002052519471,-0.397780076295975,0.193628593628594,0.226475308957061,0.251683065189748,-0.18540603278849,0.105025735860687,0.431294718361066,0.431294718361066,-0.441500266429626,0.644156106776928,0.0968525918525918,0.0968525918525918,0.0968525918525918,0.121385045097916,-0.0857142857142857,-0.14,-0.214958534233365,-0.14361470119732,0.302890442890443,0.32519620730147,0.272820512820513,0.359845678517039,0.342762345183706,0.300785179732548,0.323431490165118,0.226666666666667,0.270715249662618,-0.270629948211509,0.224561403508772,0.166666666666667,0.355829616278829,0.0217732175757219
