"","EGR1","SNAI1","MEK","cfos","ERK","HEY1","SMAD","ILK","FOXC2","NFB","SHH","IKK","AKT","SMO","Csn","FUS","TGF","TGFR","CDC42","Jagged","cateninmemb","PAK1","NOTCH","NOTCHic","Csl","KLF4","Ecadherin","ZEB2","ZEB1","GSK3","RAS","RAF","PI3K","DELTA","miR200","SOSGRB2","TWIST1","GLI","Wnt","cateninnuc","Frizzled","TCFLEF","CD44","DSH","cMet","SRC","STAT","TrCP","SUFU","LIV1","SNAI2","AXIN2","Patched","Destcompl","RKIP"
"Destcompl",0.0573333333333333,0.0879804241551966,0.042557981753346,0.0465641025641026,0.0454277389277389,0.00498219415650608,0.00841795405249878,0.00841795405249878,0.00346911772563245,0.0501587301587302,-0.127820442871153,0.0446031746031746,0.0383531746031746,-0.118020541549953,0.0523809523809524,-0.115079365079365,-0.0264971045167644,-0.0203089857048832,-0.0166786226685796,-0.195242057713454,0.236650377829623,-0.0225609756097561,-0.0686482581241782,-0.0627659051830017,-0.0576811594202899,-0.200788539397439,0.0882907631197548,0.187954286831559,0.187954286831559,-0.0820957626978757,-0.00744513753908761,-0.00553006676473291,-0.00553006676473291,-0.00553006676473291,-0.19990226764986,-0.0860952791948585,-0.194902048908233,-0.197958327513089,-0.195353117092248,-0.199451952827803,-0.189533011272142,-0.198242388833429,-0.197271515047022,-0.185185185185185,-0.194852160208312,-0.189533011272142,-0.185185185185185,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.271516927420595,-0.25019518287771,0.123966487495899,-0.0268387551390033,-0.115614415979158
"AXIN2",0.153333333333333,0.149862681559861,0.105381291306558,0.128333333333333,0.112142857142857,0.0125901875901876,0.0120766921241105,0.0155674518777039,0.0646784696784697,0.109178743961353,-0.160252347147786,0.103296391020176,0.097614572838358,-0.155253283302064,0.122222222222222,-0.157692307692308,0.0165335192841831,0.0187830080367394,0.0187830080367394,-0.228870329893345,0.270276955966754,0.0292307692307692,-0.058692296150576,-0.0541626794258373,-0.0505263157894737,-0.25248097412481,0.0993001639743683,0.243456077480141,0.243456077480141,-0.166035514223913,0.0595522013610598,0.0647434581916609,0.0647434581916609,0.0647434581916609,-0.257853747444445,-0.105129434324065,-0.243974259115018,-0.247369369369369,-0.242702702702703,-0.25197587641098,-0.24,-0.25019518287771,-0.247050528789659,-0.24,-0.242702702702703,-0.24,-0.24,-0.133333333333333,0.15,-0.233333333333333,-0.31786314567855,0.173640415687093,0.156170714494724,0.153822786050257,-0.175750799412324
"Wnt",0.1,0.0975968992248062,0.108496732026144,0.0666666666666667,0.0555555555555556,0.058974358974359,0.0506410256410256,0.0506410256410256,0.117142857142857,0.0666666666666667,0.1,0.0866666666666667,0.133333333333333,0.05,0.1,0,0.140952380952381,0.0866666666666667,0.02,0.137011494252874,-0.321813538819945,0,0.188311688311688,0.142857142857143,0.1,-0.262745098039216,-0.399487179487179,0.302745098039216,0.302745098039216,-0.0636243386243386,0.137605042016807,0.112605042016807,0.112605042016807,0.112605042016807,-0.305185185185185,0.04,0.275,0.267857142857143,0.242857142857143,0.308361894376071,0.3,0.286224489795918,0.267857142857143,0.2,0.242857142857143,0.2,0.1,-0.1,0,0,0.347288195675292,0.298461538461538,-0.09,-0.0375111111111111,-0.117826086956522
"Frizzled",0.0666666666666667,0.10776639075023,0.152496732026144,0.0555555555555556,0.108496732026144,0.058974358974359,0.0575717187103326,0.0506410256410256,0.139176755447942,0.0866666666666667,0.106896551724138,0.133333333333333,0.153333333333333,0.09,0.0666666666666667,0.05,0.163619047619048,0.140952380952381,0.0866666666666667,0.146901604142983,-0.354144365887614,0.02,0.210050818746471,0.188311688311688,0.142857142857143,-0.299330463892874,-0.430719271177724,0.334703860925814,0.334703860925814,-0.0796243386243386,0.157605042016807,0.137605042016807,0.137605042016807,0.137605042016807,-0.338518518518519,0.0828571428571429,0.290384615384615,0.286224489795918,0.267857142857143,0.32858350102427,0.242857142857143,0.308361894376071,0.286224489795918,0.3,0.267857142857143,0.242857142857143,0.2,-0.1,0,0.1,0.371174835351406,0.323794871794872,-0.1,-0.0232253968253968,-0.133210702341137
"HEY1",0.2,0.336089931573803,0.363613847452857,0.281818181818182,0.328877005347594,0.108561915332171,0.100092592592593,0.0875,0.370324427480916,0.26,0.323191391941392,0.302857142857143,0.33989417989418,0.266666666666667,0.2,0.233333333333333,0.356410792272861,0.324226884226884,0.291919191919192,0.352359534518455,-0.586297323205979,0.255555555555556,0.376317269274404,0.342296650717703,0.305454545454545,-0.266666666666667,-0.6645225786892,0.354514963880289,0.354514963880289,-0.347641773797487,0.399778032912361,0.375897435897436,0.375897435897436,0.375897435897436,-0.362568172568173,0.268,0.354853134929861,0.352626778985768,0.326310989512084,0.390021874452025,0.296078431372549,0.372664361498657,0.351974706326243,0.266666666666667,0.326310989512084,0.296078431372549,0.266666666666667,-0.1,-0.2,0.233333333333333,0.452859783401001,0.401824066931232,-0.297916666666667,0.340252949891611,-0.328674500103071
"FOXC2",0.2,0.336089931573803,0.363613847452857,0.281818181818182,0.328877005347594,0.108561915332171,0.100092592592593,0.0875,0.370324427480916,0.26,0.323191391941392,0.302857142857143,0.33989417989418,0.266666666666667,0.2,0.233333333333333,0.356410792272861,0.324226884226884,0.291919191919192,0.352359534518455,-0.586297323205979,0.255555555555556,0.376317269274404,0.342296650717703,0.305454545454545,-0.266666666666667,-0.6645225786892,0.354514963880289,0.354514963880289,-0.347641773797487,0.399778032912361,0.375897435897436,0.375897435897436,0.375897435897436,-0.362568172568173,0.268,0.354853134929861,0.352626778985768,0.326310989512084,0.390021874452025,0.296078431372549,0.372664361498657,0.351974706326243,0.266666666666667,0.326310989512084,0.296078431372549,0.266666666666667,-0.1,-0.2,0.233333333333333,0.452859783401001,0.401824066931232,-0.297916666666667,0.340252949891611,-0.328674500103071
"DSH",0.0555555555555556,0.121690441383141,0.177496732026144,0.108496732026144,0.152496732026144,0.0682336182336182,0.0689538325314708,0.0575717187103326,0.150941461330295,0.133333333333333,0.117563218390805,0.153333333333333,0.165528455284553,0.1,0.0866666666666667,0.09,0.176861056751468,0.163619047619048,0.140952380952381,0.162418845522294,-0.379778168704516,0.0866666666666667,0.224554635540364,0.210050818746471,0.188311688311688,-0.328623393185803,-0.45490933597254,0.356695562170627,0.356695562170627,-0.0961191839851634,0.179124029358579,0.157605042016807,0.157605042016807,0.157605042016807,-0.362236467236467,0.10344537815126,0.312443438914027,0.308029001074114,0.286224489795918,0.344008474791322,0.267857142857143,0.32858350102427,0.308361894376071,0.242857142857143,0.286224489795918,0.267857142857143,0.242857142857143,-0.0666666666666667,-0.05,0.2,0.393183697980653,0.347095842668658,-0.106896551724138,-0.0106440519230107,-0.148766257896693
"RAF",0.17,0.214543254688445,0.22024154589372,0.17,0.181111111111111,0.149122807017544,0.146647058823529,0.142647058823529,0.220512820512821,0.0857142857142857,0.199820089955022,0.110714285714286,0.152649769585253,0.14,0.1,0.1,0.244729965156794,0.191071428571429,0.128571428571429,0.245672268907563,-0.46480117820324,0.1,0.206565656565657,0.156565656565657,0.111111111111111,-0.332663797226208,-0.53847140272614,0.371439307430289,0.371439307430289,-0.157653457653458,0.0847463284379172,0.0464285714285714,0.0464285714285714,0.0464285714285714,-0.380025159805282,0.0216666666666667,0.300116959064327,0.308888888888889,0.266666666666667,0.362073523536522,0.2,0.33606196284288,0.306928104575163,0.1,0.264705882352941,0.2,0.1,-0.1,-0.1,0,0.609529211330529,0.330285714285714,-0.179130434782609,0.0115180148938111,-0.223809523809524
"PI3K",0.0666666666666667,0.163761140819964,0.186544415336985,0.0897435897435898,0.142684766214178,0.0712971342383107,0.0743526897938663,0.0649509803921569,0.274932606391034,0.2,0.122160427807487,0.25,0.268918918918919,0.0954545454545455,0.166666666666667,0.05,0.293040293040293,0.263369963369963,0.20952380952381,0.170409854915959,-0.389116031027796,0.142857142857143,0.226315789473684,0.2,0.15,-0.335600970511385,-0.469761571920161,0.37198703279939,0.37198703279939,-0.174013262186111,0.203554896325824,0.1751966873706,0.1751966873706,0.1751966873706,-0.372937062937063,0.143939393939394,0.420145719489982,0.317586206896552,0.29,0.36689496265692,0.25,0.344037819799778,0.317586206896552,0.2,0.29,0.25,0.2,-0.2,0,0.1,0.399933270828249,0.346854921084714,-0.107454545454545,-0.0315319204604919,-0.158732142857143
"ILK",0.0666666666666667,0.163761140819964,0.186544415336985,0.0897435897435898,0.142684766214178,0.0712971342383107,0.0743526897938663,0.0649509803921569,0.274932606391034,0.2,0.122160427807487,0.25,0.268918918918919,0.0954545454545455,0.166666666666667,0.05,0.293040293040293,0.263369963369963,0.20952380952381,0.170409854915959,-0.389116031027796,0.142857142857143,0.226315789473684,0.2,0.15,-0.335600970511385,-0.469761571920161,0.37198703279939,0.37198703279939,-0.174013262186111,0.203554896325824,0.1751966873706,0.1751966873706,0.1751966873706,-0.372937062937063,0.143939393939394,0.420145719489982,0.317586206896552,0.29,0.36689496265692,0.25,0.344037819799778,0.317586206896552,0.2,0.29,0.25,0.2,-0.2,0,0.1,0.399933270828249,0.346854921084714,-0.107454545454545,-0.0315319204604919,-0.158732142857143
"SHH",0,0.283333333333333,0.3,0.1,0.2,0.0666666666666667,0.0939393939393939,0.0666666666666667,0.333333333333333,0,0.253333333333333,0.1,0.15,0.3,0,0.2,0.425,0.4,0.3,0.162857142857143,-0.292142857142857,0.2,0.233333333333333,0.2,0.1,-0.3,-0.333928571428571,0.375,0.375,-0.271794871794872,0.303846153846154,0.25,0.25,0.25,-0.383333333333333,0.233333333333333,0.15,0.25,0.2,0.232251082251082,0.2,0.192857142857143,0.15,0.2,0.1,0.1,0.1,0,-0.2,0,0.344,0.276190476190476,-0.333333333333333,0.270802139037433,-0.26
"SNAI2",0.2,0.371089596901954,0.392855224281493,0.288235294117647,0.349019607843137,0.114393939393939,0.107971014492754,0.091304347826087,0.409996450484255,0.275,0.364441776710684,0.326724137931034,0.36889281262983,0.301176470588235,0.2,0.26,0.398682979654847,0.363900370959194,0.324684684684685,0.400630086026506,-0.632772956401613,0.273333333333333,0.41441672362725,0.376754385964912,0.332894736842105,-0.286538461538462,-0.801824353896416,0.378588839941263,0.378588839941263,-0.386190476190476,0.441399036337697,0.412827607766268,0.412827607766268,0.412827607766268,-0.386587993124707,0.314989837398374,0.403913929208047,0.402211846014663,0.373563197366014,0.445195937084499,0.341168831168831,0.425452758914354,0.401824066931232,0.305454545454545,0.373563197366014,0.341168831168831,0.305454545454545,-0.1,-0.2,0.26,0.701238591151193,0.446651802969354,-0.335870348139256,0.384570606613324,-0.355166666666667
"cateninnuc",0.297101449275362,0.334212777615033,0.371652327302432,0.324970301734379,0.351084951415907,0.119031737353225,0.104692284490325,0.0973268453968403,0.358316901530337,0.304166666666667,0.212017779213443,0.326615646258503,0.342153494864081,0.185367231638418,0.270833333333333,0.163333333333333,0.346685783384666,0.329195796735801,0.305419572959577,0.241489291709623,-0.3982001534187,0.273309481216458,0.371177577636472,0.354822437449556,0.332203389830509,-0.301102839812517,-0.478225569816166,0.381509118705613,0.381509118705613,-0.334539792407353,0.38353126534579,0.368922569693616,0.368922569693616,0.368922569693616,-0.388947988611536,0.239384057971015,0.251725090717115,0.248122333839255,0.232833077640908,0.17302814877835,0.215318953347122,0.261113507403128,0.247099255621655,0.191375291375291,0.23174655852622,0.214232434232434,0.191375291375291,-0.233333333333333,-0.133333333333333,0.160606060606061,0.444240059489539,0.390021874452025,-0.20055710505614,0.315099231991044,-0.347798566080827
"RAS",0.26,0.301903143585387,0.307222222222222,0.26,0.282222222222222,0.152771618625277,0.14886655011655,0.146783216783217,0.302457757296467,0.166666666666667,0.185606060606061,0.173333333333333,0.21047619047619,0.116666666666667,0.2,0.1,0.326831501831502,0.267857142857143,0.225,0.249166666666667,-0.391451457722686,0.2,0.275335397316821,0.226315789473684,0.2,-0.356428571428571,-0.467688409809295,0.398095238095238,0.398095238095238,-0.212029309488326,0.145976614912785,0.203423423423423,0.203423423423423,0.203423423423423,-0.407171215880893,-0.0283333333333333,0.431266149870801,0.332142857142857,0.275,0.396183335813081,0.2,0.367380746816318,0.33109756097561,0.1,0.275,0.2,0.1,-0.2,-0.1,0,0.572324628776242,0.345468509984639,-0.158333333333333,-0.0439566802041029,-0.391461538461538
"AKT",0.0897435897435898,0.184413314733008,0.212418541211111,0.142684766214178,0.186544415336985,0.0832971342383107,0.0851440567003411,0.0743526897938663,0.294729560705755,0.25,0.137588999236058,0.268918918918919,0.185940195514664,0.107454545454545,0.2,0.0954545454545455,0.314608920491273,0.293040293040293,0.263369963369963,0.189527501974783,-0.418995549100085,0.20952380952381,0.247368421052632,0.226315789473684,0.2,-0.366574421838818,-0.499899820768087,0.398868753229497,0.398868753229497,-0.193747186798085,0.22950084227177,0.203554896325824,0.203554896325824,0.203554896325824,-0.400311364613041,0.170255183413078,0.446853794024143,0.34370085657808,0.317586206896552,0.384636898140791,0.29,0.36689496265692,0.344037819799778,0.25,0.317586206896552,0.29,0.25,-0.166666666666667,-0.05,0.2,0.42679329604893,0.376363117806026,-0.122160427807487,-0.0169272692977012,-0.180300770308123
"SOSGRB2",0.276190476190476,0.351461538461538,0.352470238095238,0.30952380952381,0.318095238095238,0.253509286412512,0.249321685508736,0.244285714285714,0.365194805194805,0.288888888888889,0.291591173054588,0.304678362573099,0.335113145181795,0.233333333333333,0.3,0.2,0.390909090909091,0.34,0.285,0.347295199071364,-0.485206552706553,0.26,0.390836029642,0.347552447552448,0.309090909090909,-0.362017543859649,-0.558976471948674,0.399698703279939,0.399698703279939,-0.310518010182189,0.325479797979798,0.282424242424242,0.282424242424242,0.282424242424242,-0.40998443917247,-0.0607142857142857,0.4175983436853,0.32354694485842,0.272727272727273,0.386502834284898,0.2,0.357962529274005,0.322248243559719,0.1,0.271428571428571,0.2,0.1,-0.2,-0.2,0,0.633153936649384,0.34043956043956,-0.264761904761905,-0.0454184359341844,-0.380198948948949
"MEK",0.17,0.236311962171438,0.165374289256552,0.181111111111111,0.22024154589372,0.153709962980847,0.155666666666667,0.146647058823529,0.25467431119605,0.110714285714286,0.21568215892054,0.152649769585253,0.177649769585253,0.179130434782609,0.0857142857142857,0.14,0.280652295253882,0.244729965156794,0.191071428571429,0.263733942916374,-0.501748396462869,0.128571428571429,0.237765656565657,0.206565656565657,0.156565656565657,-0.368663797226208,-0.577220030607589,0.407241776566092,0.407241776566092,-0.181717628776452,0.116926259233765,0.0847463284379172,0.0847463284379172,0.0847463284379172,-0.415922595702718,0.0585087719298246,0.326982630706118,0.338022747156605,0.308888888888889,0.384640368456308,0.266666666666667,0.362073523536522,0.33606196284288,0.2,0.306928104575163,0.264705882352941,0.2,-0.1,-0.1,0.1,0.641547420738724,0.368356780275562,-0.199820089955022,0.0300794998126046,-0.251082251082251
"CD44",0.3,0.371222630218958,0.411315789473684,0.325,0.385,0.2,0.189396467806981,0.178758169934641,0.354347826086957,0.2,0.173809523809524,0.266666666666667,0.26,0.15,0.2,0.1,0.34957264957265,0.338461538461538,0.3,0.185012406947891,-0.132525252525253,0.2,0.24812030075188,0.242857142857143,0.2,-0.277777777777778,-0.264569092324998,0.420634920634921,0.420634920634921,-0.222391084093212,0.2,0.166666666666667,0.166666666666667,0.166666666666667,-0.431699604743083,-0.0333333333333333,0.156666666666667,0.0214285714285714,-0.05,0.120192873488068,-0.1,0.0793233082706767,0.0214285714285714,0,0.05,0,0.1,-0.1,-0.1,0.1,0.400989010989011,-0.0221052631578947,-0.15,-0.165217391304348,-0.423703703703704
"IKK",0.1,0.289205128205128,0.246625258799172,0.142857142857143,0.173291925465839,0.174509803921569,0.177714646464646,0.164583333333333,0.412145262145262,0.314285714285714,0.249,0.264285714285714,0.318571428571429,0.18,0.3,0.12,0.441157865786579,0.384722222222222,0.3125,0.277472527472527,-0.561280193236715,0.25,0.359901680240663,0.307359307359307,0.245454545454545,-0.363369963369963,-0.681681990895503,0.424561403508772,0.424561403508772,-0.219567597153804,0.374082802362457,0.330799220272905,0.330799220272905,0.330799220272905,-0.428215579710145,0.25875,0.469777777777778,0.366760828625235,0.327777777777778,0.427678801813147,0.277777777777778,0.398049172183518,0.366760828625235,0.2,0.327777777777778,0.277777777777778,0.2,-0.2,-0.1,0.1,0.655627933621614,0.397325788698551,-0.224,0.131326694504635,-0.275988700564972
"Csn",0.0923076923076923,0.146406212236671,0.22430395951354,0.146853146853147,0.192567432567433,0.0679089026915114,0.0717000727113087,0.0599023199023199,0.166767437265363,0.150454545454545,0.120841354819224,0.173181818181818,0.190423197492163,0.0964861751152074,0.105,0.0803571428571429,0.191959111739175,0.171701877012487,0.138991596638655,0.165147623100682,-0.424607865048942,0.0789915966386555,0.244242861936651,0.223812754409769,0.195454545454545,-0.394617558812019,-0.501527761645694,0.42777693129887,0.42777693129887,-0.129987759586334,0.215238519529014,0.188496946495306,0.188496946495306,0.188496946495306,-0.436388372927077,0.101992481203008,0.352337018385131,0.351269590963216,0.324844720496894,0.394685990338164,0.299130434782609,0.375767071419245,0.351828847481021,0.26,0.324844720496894,0.299130434782609,0.26,-0.18,-0.0428571428571429,0.2,0.434618399786238,0.387089091761989,-0.108114082091952,0.0296436531027677,-0.164867914335999
