"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI2","SNAI1","ERK","cfos","TWIST1","EGR1","HEY1","AKT","NOTCH","SMAD","Jagged","SHH","ILK","NFB","IKK","NOTCHic","RAS","Csl","SMO","Csn","RAF","PI3K","DELTA","FUS","SOSGRB2","ZEB2","ZEB1","KLF4","GLI","cateninnuc","Wnt","TCFLEF","CD44","cMet","cateninmemb","Frizzled","miR200","SRC","AXIN2","DSH","Ecadherin","STAT","Destcompl","TrCP","LIV1","GSK3","SUFU","Patched","RKIP"
"Destcompl",0.0636944545713526,0.0347172041355514,0.037566593552105,0.0337603651784026,0.0248172757475083,0.0562161962563749,-0.219332598198854,0.100277961568147,0.0564680854251406,0.0546275946275946,-0.0303346066688461,0.0625641025641026,0.0103543564742303,0.0479821243274823,-0.0521136629038536,0.0146436896436896,-0.169638083792089,-0.114514005864371,0.0138744588744589,0.0547065337763012,0.0527065337763012,-0.0485714285714286,0.0104119616007448,-0.0485714285714286,-0.106837606837607,0.0523809523809524,0.00991444916293385,0.00991444916293385,0.00991444916293385,-0.106837606837607,-0.0533516101080981,0.195570789658365,0.195570789658365,-0.205420417508518,-0.154995855781185,-0.155808215333321,-0.153421052631579,-0.155421118559128,-0.153746841542385,-0.152551622418879,0.201011105789392,-0.151666666666667,-0.207079468334487,-0.151666666666667,-0.219906156156156,-0.156666666666667,0.0437892348767252,-0.156666666666667,-0.0101059327637044,-0.0666666666666667,-0.166666666666667,-0.0959439290513523,0.122222222222222,0.111837606837607,-0.124738191763307
"AXIN2",0.114806037336158,0.0700128388608881,0.0673434343434343,0.0663333333333333,0.0783333333333333,0.113800725172334,-0.26826546837065,0.158484730046205,0.1179205753596,0.131382113821138,-0.0299016156478305,0.153333333333333,0.0187481889307447,0.103738802376833,-0.0485714285714286,0.0183804922935358,-0.209320444618163,-0.148945411782558,0.0220841959972395,0.109178743961353,0.10614844093105,-0.0485714285714286,0.0712564497358312,-0.0485714285714286,-0.15,0.122222222222222,0.0730421640215455,0.0730421640215455,0.0730421640215455,-0.157692307692308,-0.0742811713703387,0.247239335287959,0.247239335287959,-0.254051654753082,-0.220452508960574,-0.220912560547739,-0.221527777777778,-0.219906156156156,-0.219906156156156,-0.221527777777778,0.240436536631807,-0.227083333333333,-0.261292576174781,-0.227083333333333,0.19130949674358,-0.233333333333333,0.0571821894432428,-0.233333333333333,0.166051876582034,-0.133333333333333,-0.233333333333333,-0.17478058548492,0.15,0.147029702970297,-0.181182855788119
"HEY1",0.317016317016317,0.293790849673203,0.272222222222222,0.255555555555556,0.2,0.307428571428571,0.366487414187643,0.280979284369115,0.271428571428571,0.2,0.199938556067588,0.1,0.0828571428571429,0.283333333333333,0.295925925925926,0.0886178861788618,0.0698412698412698,0.171428571428571,0.0666666666666667,0.2,0.25,0.27,0.32469696969697,0.25,0.133333333333333,0.1,0.308333333333333,0.308333333333333,0.308333333333333,0.1,0.233333333333333,0.296536796536797,0.296536796536797,-0.207142857142857,0.05,0.0759018332347723,0.05,0.0657894736842105,0.05,0.05,-0.412887717121588,0.0333333333333333,-0.303478260869565,0.0333333333333333,0.297991886409736,0.133333333333333,-0.603540835657218,0.133333333333333,0.262389416769786,0,0.1,-0.283101604278075,-0.1,-0.147619047619048,-0.276363636363636
"FOXC2",0.317016317016317,0.293790849673203,0.272222222222222,0.255555555555556,0.2,0.307428571428571,0.366487414187643,0.280979284369115,0.271428571428571,0.2,0.199938556067588,0.1,0.0828571428571429,0.283333333333333,0.295925925925926,0.0886178861788618,0.0698412698412698,0.171428571428571,0.0666666666666667,0.2,0.25,0.27,0.32469696969697,0.25,0.133333333333333,0.1,0.308333333333333,0.308333333333333,0.308333333333333,0.1,0.233333333333333,0.296536796536797,0.296536796536797,-0.207142857142857,0.05,0.0759018332347723,0.05,0.0657894736842105,0.05,0.05,-0.412887717121588,0.0333333333333333,-0.303478260869565,0.0333333333333333,0.297991886409736,0.133333333333333,-0.603540835657218,0.133333333333333,0.262389416769786,0,0.1,-0.283101604278075,-0.1,-0.147619047619048,-0.276363636363636
"Wnt",0.164848484848485,0.18582995951417,0.138461538461538,0.1,0.1,0.116666666666667,0.300857142857143,0.0873819163292848,0.0666666666666667,0.0666666666666667,0.185714285714286,0.1,0.0656410256410257,0.133333333333333,0.173333333333333,0.0566487775790101,0.111904761904762,0.09,0.058974358974359,0.0666666666666667,0.0866666666666667,0.133333333333333,0.113333333333333,0.1,0.05,0.1,0.1,0.1,0.1,0,0.0866666666666667,0.301206636500754,0.301206636500754,-0.262745098039216,0.231111111111111,0.256872235232891,0.22,0.245396825396825,0.231111111111111,0.22,-0.309246850710265,0.3,-0.304067085953878,0.2,0.267857142857143,0.2,-0.379526583634659,0.1,-0.0766596194503172,-0.1,0,-0.0373015873015873,0,-0.09,-0.115454545454545
"SNAI2",0.359981167608286,0.342178137651822,0.313230769230769,0.269230769230769,0.2,0.334684684684685,0.728478269478269,0.311423220973783,0.283333333333333,0.2,0.371034482758621,0.1,0.0840336134453781,0.309523809523809,0.343700159489633,0.0916666666666667,0.309920948616601,0.302272727272727,0.0666666666666667,0.2,0.266666666666667,0.312121212121212,0.370070921985816,0.266666666666667,0.25,0.1,0.346666666666667,0.346666666666667,0.346666666666667,0.2,0.277294685990338,0.318421052631579,0.318421052631579,-0.226666666666667,0.297991886409736,0.323945374781829,0.287647058823529,0.311945374781829,0.297991886409736,0.287647058823529,-0.678044168760753,0.27,-0.325668449197861,0.27,0.359990886306676,0.25,-0.844497690968279,0.25,0.312130040695524,0,0.2,-0.323359408952629,-0.1,-0.277272727272727,-0.296703296703297
"Frizzled",0.190221619176843,0.209514170040486,0.18582995951417,0.138461538461538,0.1,0.152836879432624,0.321567202028741,0.0893819163292848,0.116666666666667,0.0666666666666667,0.197142857142857,0.0666666666666667,0.0635133660665576,0.147619047619048,0.186846846846847,0.0615992726285151,0.116130114017438,0.09,0.0566487775790101,0.0866666666666667,0.133333333333333,0.173333333333333,0.124444444444444,0.133333333333333,0.09,0.0666666666666667,0.113333333333333,0.113333333333333,0.113333333333333,0.05,0.108095238095238,0.329467506065972,0.329467506065972,-0.297745098039216,0.245396825396825,0.266396044756701,0.231111111111111,0.256872235232891,0.245396825396825,0.231111111111111,-0.336330184043599,0.22,-0.333981615868408,0.22,0.286038961038961,0.3,-0.40787549329198,0.2,-0.0693425462795854,-0.1,0.1,-0.0498015873015873,0,-0.09,-0.125658627087199
"DSH",0.19610397211802,0.216584877111193,0.209514170040486,0.18582995951417,0.138461538461538,0.166855571021409,0.337406445527558,0.0991095427884287,0.152836879432624,0.116666666666667,0.203166953528399,0.0666666666666667,0.0700554221413239,0.151728636660144,0.193777539916154,0.0725236423764142,0.123537521424845,0.0969767441860465,0.0615992726285151,0.133333333333333,0.147619047619048,0.186846846846847,0.138036677454153,0.173333333333333,0.09,0.0866666666666667,0.124444444444444,0.124444444444444,0.124444444444444,0.09,0.125555555555556,0.346518197310211,0.346518197310211,-0.324626818469323,0.256507936507937,0.275669227714094,0.245396825396825,0.266396044756701,0.256872235232891,0.245396825396825,-0.358211574636646,0.231111111111111,-0.352995700375451,0.231111111111111,0.300324675324675,0.22,-0.4275666129831,0.22,-0.0646166483589805,-0.0666666666666667,0.2,-0.0604735240604806,-0.05,-0.09,-0.134279316742371
"cateninnuc",0.339166266230881,0.30815386957625,0.295542857142857,0.277142857142857,0.257142857142857,0.333458961936644,0.375443682902069,0.291222414249772,0.322417952472922,0.307457322551662,0.226741056937682,0.29047619047619,0.114879923689822,0.309460496707926,0.29955971185087,0.101082832915004,0.073243108837738,0.169946486553757,0.0964196204797708,0.286042692939245,0.302092075655294,0.290945479641132,0.31530175970516,0.275072463768116,0.153899240855763,0.261904761904762,0.307955432868578,0.307955432868578,0.307955432868578,0.136507936507937,0.202546674333908,0.353966653704531,0.353966653704531,-0.283270685692396,0.059281636238158,-0.0298158755589096,0.049281636238158,0.0640076538528551,0.0575299210593328,0.0474458874458874,-0.341733891035254,0.0375933245498463,-0.362606145787809,0.0357575757575758,0.285668719743132,0.0202020202020202,-0.442244270991419,0.0202020202020202,0.240274069528209,-0.233333333333333,0.0111111111111111,-0.277236543915967,-0.114285714285714,-0.163735306429533,-0.316984931519815
"RAF",0.262051282051282,0.276780145530146,0.238942307692308,0.207692307692308,0.2,0.212490842490842,0.575742893580532,0.187530465713721,0.184285714285714,0.17,0.294341290893015,0.17,0.159581881533101,0.141428571428571,0.168300653594771,0.154807445442875,0.202373145979703,0.178666666666667,0.153754813863928,0.0857142857142857,0.105714285714286,0.129411764705882,0.0317094017094017,0.1,0.133333333333333,0.1,0.00555555555555555,0.00555555555555555,0.00555555555555555,0.1,0.0300751879699248,0.361996034368804,0.361996034368804,-0.329411764705882,0.295555555555556,0.333926886792453,0.255555555555556,0.318301886792453,0.29,0.25,-0.45878736609349,0.2,-0.37168673111878,0.2,0.312023460410557,0.1,-0.511916024688021,0.1,-0.0638835203440813,-0.1,0,-0.100683760683761,-0.1,-0.166666666666667,-0.208225108225108
"PI3K",0.23038961038961,0.241666666666667,0.216666666666667,0.171666666666667,0.125,0.181087151841869,0.351794871794872,0.141456665261975,0.145238095238095,0.0952380952380952,0.233864526823388,0.0666666666666667,0.0747923182995325,0.261764705882353,0.201269841269841,0.0787354941976791,0.133809523809524,0.102121212121212,0.0694917967186875,0.2,0.25,0.185714285714286,0.163244598538716,0.142857142857143,0.0954545454545455,0.166666666666667,0.144563279857398,0.144563279857398,0.144563279857398,0.05,0.145098039215686,0.366243814664867,0.366243814664867,-0.3343058733791,0.269853372434018,0.297048457840071,0.247272727272727,0.285346330180496,0.269853372434018,0.247272727272727,-0.370680016687526,0.22,-0.368164127147178,0.22,0.302721088435374,0.2,-0.445007823844328,0.2,-0.0895244851697211,-0.2,0.1,-0.135901455767077,0,-0.0954545454545455,-0.149778046811945
"ILK",0.23038961038961,0.241666666666667,0.216666666666667,0.171666666666667,0.125,0.181087151841869,0.351794871794872,0.141456665261975,0.145238095238095,0.0952380952380952,0.233864526823388,0.0666666666666667,0.0747923182995325,0.261764705882353,0.201269841269841,0.0787354941976791,0.133809523809524,0.102121212121212,0.0694917967186875,0.2,0.25,0.185714285714286,0.163244598538716,0.142857142857143,0.0954545454545455,0.166666666666667,0.144563279857398,0.144563279857398,0.144563279857398,0.05,0.145098039215686,0.366243814664867,0.366243814664867,-0.3343058733791,0.269853372434018,0.297048457840071,0.247272727272727,0.285346330180496,0.269853372434018,0.247272727272727,-0.370680016687526,0.22,-0.368164127147178,0.22,0.302721088435374,0.2,-0.445007823844328,0.2,-0.0895244851697211,-0.2,0.1,-0.135901455767077,0,-0.0954545454545455,-0.149778046811945
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.326666666666667,0.283333333333333,0.2,0.1,0.17,0,0.0666666666666667,0.15,0.233333333333333,0.1,0.12,0.253333333333333,0.0666666666666667,0,0.1,0.2,0.29,0.1,0.3,0,0.25,0.25,0.25,0.2,0.25,0.375,0.375,-0.3,0.1,0.0485714285714286,0.2,0.02,0,0.1,-0.280512820512821,0.2,-0.383333333333333,0.1,0.233333333333333,0.2,-0.335,0.1,0.223703703703704,0,0,-0.253333333333333,-0.2,-0.333333333333333,-0.26
"AKT",0.240806277056277,0.253774289985052,0.241666666666667,0.216666666666667,0.171666666666667,0.195372866127583,0.371460143761399,0.15778319587422,0.181087151841869,0.145238095238095,0.245443474191809,0.0952380952380952,0.0859034294106436,0.169081779053085,0.212774266048602,0.0885839790461639,0.145388471177945,0.114121212121212,0.0787354941976791,0.25,0.261764705882353,0.201269841269841,0.180691407049354,0.185714285714286,0.0954545454545455,0.2,0.163244598538716,0.163244598538716,0.163244598538716,0.0954545454545455,0.164501024290313,0.387211556600351,0.387211556600351,-0.361924920998148,0.284921865584703,0.308061673699102,0.269853372434018,0.297048457840071,0.285346330180496,0.269853372434018,-0.39617730421013,0.247272727272727,-0.389659454249982,0.247272727272727,0.322721088435374,0.22,-0.46919230078471,0.22,-0.0837812419264778,-0.166666666666667,0.2,-0.148577512105105,-0.05,-0.102121212121212,-0.162956341385589
"MEK",0.28968286099865,0.305849912972006,0.276780145530146,0.238942307692308,0.207692307692308,0.142827921142528,0.602205289123708,0.199794616657117,0.212490842490842,0.184285714285714,0.316419212970937,0.17,0.160552755319509,0.157370600414079,0.189648968201513,0.160689798384052,0.213183956790514,0.186492753623188,0.154807445442875,0.105714285714286,0.141428571428571,0.168300653594771,0.0550860250860251,0.129411764705882,0.166666666666667,0.0857142857142857,0.0317094017094017,0.0317094017094017,0.0317094017094017,0.133333333333333,0.044781070322866,0.390567462940232,0.390567462940232,-0.360522875816993,0.323857442348008,0.346352922295411,0.295555555555556,0.333926886792453,0.318301886792453,0.29,-0.489485040512094,0.255555555555556,-0.400363201707015,0.25,0.347737746124843,0.2,-0.543747010603514,0.2,-0.0523257313993576,-0.1,0.1,-0.120128205128205,-0.1,-0.178666666666667,-0.227897239372649
"SOSGRB2",0.343335349027949,0.356837606837607,0.322222222222222,0.293650793650794,0.271428571428571,0.348221127531472,0.606982747402083,0.330181020600811,0.320634920634921,0.30952380952381,0.352060755336617,0.276190476190476,0.261647727272727,0.325581395348837,0.355884995507637,0.258012714857547,0.304095567353994,0.275093399750934,0.252903225806452,0.288888888888889,0.3,0.323809523809524,0.272148353590559,0.3,0.227272727272727,0.3,0.241713570981864,0.241713570981864,0.241713570981864,0.2,-0.0466666666666667,0.393181818181818,0.393181818181818,-0.359848484848485,0.304377104377104,0.354052294052294,0.263636363636364,0.333173173173173,0.300740740740741,0.26,-0.482430662020906,0.2,-0.404258886653253,0.2,0.322648083623693,0.1,-0.540712350001336,0.1,-0.126597446670976,-0.2,0,-0.260217927879116,-0.2,-0.254545454545455,-0.369121061359867
"RAS",0.32968253968254,0.344329004329004,0.306666666666667,0.28,0.26,0.312846401718582,0.535750603942824,0.286738139908872,0.286315789473684,0.26,0.329992816091954,0.26,0.161857707509881,0.208627450980392,0.254232424677188,0.158750773036487,0.215934065934066,0.174164448388051,0.156709956709957,0.166666666666667,0.173333333333333,0.217647058823529,0.106475006475006,0.2,0.116666666666667,0.2,0.179202279202279,0.179202279202279,0.179202279202279,0.1,0.00528138528138527,0.396213517665131,0.396213517665131,-0.356428571428571,0.288311688311688,0.342928216062544,0.242857142857143,0.319047619047619,0.285714285714286,0.242857142857143,-0.383376549968033,0.2,-0.405651621106167,0.2,0.308387096774194,0.1,-0.451138865665855,0.1,-0.109072834246297,-0.2,0,-0.168581705650671,-0.1,-0.155797101449275,-0.38769387755102
"IKK",0.422831594634873,0.440262910798122,0.385333333333333,0.333333333333333,0.3,0.212085769980507,0.656893106893107,0.243035343035343,0.149122807017544,0.133333333333333,0.385057471264368,0.1,0.173879142300195,0.283333333333333,0.322368421052632,0.174166666666667,0.237646652864044,0.203968253968254,0.166666666666667,0.3,0.233333333333333,0.275,0.291494252873563,0.225,0.15,0.3,0.25816091954023,0.25816091954023,0.25816091954023,0.1,0.240476190476191,0.399738448125545,0.399738448125545,-0.348387096774194,0.27,0.313321403006442,0.24,0.293636363636364,0.27,0.24,-0.571368512974052,0.2,-0.405187005187005,0.2,0.302857142857143,0.1,-0.658993506493507,0.1,-0.0112996515679443,-0.2,0,-0.0926349844520526,-0.1,-0.192857142857143,-0.251985688729875
"ERK",0.306076303621601,0.323749674308522,0.305849912972006,0.276780145530146,0.238942307692308,0.162827921142528,0.622654727325955,0.214185760568556,0.142827921142528,0.212490842490842,0.330222029872346,0.184285714285714,0.168003735711666,0.168620600414079,0.205141925947992,0.168006871554784,0.222473574276853,0.19645838936202,0.160689798384052,0.141428571428571,0.157370600414079,0.189648968201513,0.0731812631812632,0.168300653594771,0.178666666666667,0.105714285714286,0.0550860250860251,0.0550860250860251,0.0550860250860251,0.166666666666667,0.063578062804069,0.412055066246017,0.412055066246017,-0.387881366383031,0.338782815482337,0.356664672894932,0.323857442348008,0.346352922295411,0.333926886792453,0.318301886792453,-0.515057559596064,0.295555555555556,-0.4234644675298,0.29,0.37132265178522,0.255555555555556,-0.568191455047958,0.25,-0.0449898240634503,-0.0857142857142857,0.2,-0.133526263380632,-0.133333333333333,-0.186492753623188,-0.242638275229223
"Csn",0.208952645894361,0.22719061301034,0.213122171945701,0.182352941176471,0.133333333333333,0.210657120657121,0.382817688640473,0.119434178921582,0.193174603174603,0.156666666666667,0.223549586373252,0.106666666666667,0.0724005424954792,0.173454545454545,0.208013838013838,0.077050509675973,0.12354260004915,0.0980196566294964,0.0666027484819431,0.150454545454545,0.165454545454545,0.195421245421245,0.166983464951687,0.176190476190476,0.0840608465608466,0.105,0.148492898913952,0.148492898913952,0.148492898913952,0.0803571428571429,0.128532591906086,0.415542603192331,0.415542603192331,-0.389775416376665,0.309047619047619,0.334630987587261,0.292380952380952,0.322843915343915,0.309880952380952,0.292380952380952,-0.409743858967942,0.266666666666667,-0.425209229592279,0.266666666666667,0.343872053872054,0.233333333333333,-0.474657066158501,0.233333333333333,-0.0387234944255786,-0.18,0.2,-0.0856892161253216,-0.0428571428571429,-0.0893240044555834,-0.147095911678454
"CD44",0.392857142857143,0.391428571428571,0.371428571428571,0.3,0.2,0.421842105263158,0.499573070607553,0.37938662644545,0.385,0.325,0.375889328063241,0.3,0.204093567251462,0.266666666666667,0.266666666666667,0.197619047619048,0.198221343873518,0.181111111111111,0.183333333333333,0.2,0.266666666666667,0.266666666666667,0.198181818181818,0.2,0.15,0.2,0.170909090909091,0.170909090909091,0.170909090909091,0.1,0.0064102564102564,0.427777777777778,0.427777777777778,-0.277777777777778,0.1,0.203174603174603,0,0.155555555555556,0.1,0.1,-0.22986301369863,0,-0.437325676784249,0.1,0.0714285714285714,0,-0.314545454545455,0.1,-0.207287449392713,-0.1,0.1,-0.21958041958042,-0.1,-0.161111111111111,-0.432
