"","FOXC2","SNAI1","HEY1","TWIST1","SHH","ILK","SMAD","SMO","EGR1","IKK","Jagged","AKT","FUS","NFB","Csn","NOTCH","KLF4","NOTCHic","MEK","Csl","cfos","ERK","cateninmemb","SNAI2","ZEB2","ZEB1","miR200","Ecadherin","GSK3","TGF","RAS","TGFR","CDC42","RAF","PI3K","DELTA","PAK1","GLI","cateninnuc","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","SUFU","STAT","AXIN2","Patched","TrCP","LIV1","Destcompl","SOSGRB2","RKIP"
"Destcompl",0.0469948761815356,0.0828358067496746,-0.0259434582511506,-0.046159469210977,-0.139737640978351,-0.0214285714285714,-0.0220133667502089,-0.13528188286809,0.0348717948717949,0.0284986850204242,-0.198966096327941,0.0271564031412295,-0.140996168582375,0.0293995859213251,0.0380952380952381,-0.0708831215113345,-0.192149966260577,-0.0690795142969056,0.0271712157248576,-0.0690795142969056,0.0257808857808858,0.0263273338683175,0.21875277795725,-0.236865120820161,0.18035325169229,0.18035325169229,-0.191994916867136,0.0581327247436459,-0.0860576243164404,-0.12235897625838,-0.0055357300987808,-0.122457498425868,-0.122983814215341,-0.00412285725733653,-0.00412285725733653,-0.00412285725733653,-0.123673469387755,-0.186500454630311,-0.189382437396695,-0.187903600068801,-0.183346465762036,-0.185848805548254,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,0.144444444444444,-0.181746031746032,-0.23912408550422,0.136836287013167,-0.0666666666666667,-0.188888888888889,-0.0202321796866507,-0.132913387719897,-0.107215436968169
"AXIN2",0.101097676718286,0.142226190627641,-0.0206751666183715,-0.0429509565885496,-0.176380982405573,-0.0181274442144007,-0.0205083965953531,-0.177838827838828,0.14,0.08743961352657,-0.233655058220276,0.0818840579710145,-0.173076923076923,0.10048309178744,0.122222222222222,-0.0656350335297704,-0.246187948605027,-0.0629323308270677,0.0843287770293107,-0.0557894736842105,0.108292682926829,0.0905356735810349,0.25118869994058,-0.278662433407813,0.235441073538869,0.235441073538869,-0.249942860464943,0.0675043773005436,-0.168308562655245,-0.173887077006619,0.0591841241835793,-0.17454714301322,-0.175432098765432,0.0612838617163877,0.0612838617163877,0.0612838617163877,-0.176666666666667,-0.237208142308837,-0.241242546377545,-0.23912408550422,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,0.15,-0.24,0.182032686545068,0.176053113553114,-0.133333333333333,-0.233333333333333,0.159719384343445,-0.195895844843951,-0.16447743117098
"Wnt",0.150445344129555,0.0744824016563147,0.0143589743589744,0.206176470588235,0.0692640692640693,0.00769230769230769,0.00536672629695886,0,0.1,0.0466666666666667,0.119509803921569,0.0841666666666667,0,0.0666666666666667,0.1,0.155952380952381,-0.250980392156863,0.114285714285714,0.0411764705882353,0.1,0,0,-0.331313559322034,0.336810344827586,0.282687709230033,0.282687709230033,-0.285353535353535,-0.391145891873665,-0.0660658307210031,0.14,0.126589200273411,0.14,0.133333333333333,0.0902255639097744,0.0902255639097744,0.0902255639097744,0.1,0.286842105263158,0.326151471393716,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0,0.1,0.31030303030303,-0.0454545454545455,-0.1,0,-0.0233176107971793,0.0303030303030303,-0.0783333333333333
"Frizzled",0.187654646455136,0.0871808143547274,0.0122313147845063,0.229985994397759,0.078941488618908,0.00536672629695886,0.00630130573621119,0.0454545454545455,0,0.0841666666666667,0.13062091503268,0.115416666666667,0,0.0466666666666667,0.0666666666666667,0.189285714285714,-0.279551820728291,0.155952380952381,0.0856209150326797,0.114285714285714,0,0.0411764705882353,-0.359567527576002,0.361731480474274,0.313380778536964,0.313380778536964,-0.316603535353535,-0.422614423342197,-0.0848537095088819,0.15047619047619,0.149423845942702,0.14,0.14,0.126589200273411,0.126589200273411,0.126589200273411,0.133333333333333,0.308270676691729,0.343294328536573,0.326151471393716,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0,0.2,0.340535588442565,-0.0692640692640693,-0.1,0.1,-0.00819824740195381,0.0454545454545455,-0.103333333333333
"DSH",0.205403564204054,0.100224292615597,0.0139857007494186,0.244879611419036,0.0869169487416074,0.00630130573621119,0.00894281517017346,0.0692640692640693,0,0.115416666666667,0.141473628210974,0.132658045977012,0.0454545454545455,0.0841666666666667,0.0466666666666667,0.208166833166833,-0.307707160534117,0.189285714285714,0.111936704506364,0.155952380952381,0.0411764705882353,0.0856209150326797,-0.383949153017698,0.383035322150642,0.335428022631452,0.335428022631452,-0.340384023158413,-0.447460779795226,-0.102255101620251,0.157793263646922,0.168191352945503,0.15047619047619,0.14,0.149423845942702,0.149423845942702,0.149423845942702,0.14,0.325917735515259,0.358165210103804,0.343294328536573,0.308270676691729,0.326151471393716,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0,0.25,0.362898457640877,-0.078941488618908,-0.0666666666666667,0.2,0.00363381366674848,0.0454545454545455,-0.119417249417249
"HEY1",0.387715377204185,0.327824653366242,0.0768678380443086,0.410653594771242,0.305846774193548,0.052,0.060695652173913,0.266666666666667,0.2,0.302857142857143,0.343663622734088,0.332486772486772,0.233333333333333,0.26,0.2,0.372193557934198,-0.266666666666667,0.342296650717703,0.347009206681736,0.305454545454545,0.281818181818182,0.317112299465241,-0.592777865765671,0.4649781869926,0.351883384932921,0.351883384932921,-0.36045177045177,-0.672448083096003,-0.348106210167198,0.131432372505543,0.394845399698341,0.125090909090909,0.121090909090909,0.372051282051282,0.372051282051282,0.372051282051282,0.109090909090909,0.353897196408636,0.395647049521164,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,-0.2,0.266666666666667,0.40259545543053,-0.285416666666667,-0.1,0.233333333333333,0.341987979717644,0.189022298456261,-0.32459286745001
"FOXC2",0.387715377204185,0.327824653366242,0.0768678380443086,0.410653594771242,0.305846774193548,0.052,0.060695652173913,0.266666666666667,0.2,0.302857142857143,0.343663622734088,0.332486772486772,0.233333333333333,0.26,0.2,0.372193557934198,-0.266666666666667,0.342296650717703,0.347009206681736,0.305454545454545,0.281818181818182,0.317112299465241,-0.592777865765671,0.4649781869926,0.351883384932921,0.351883384932921,-0.36045177045177,-0.672448083096003,-0.348106210167198,0.131432372505543,0.394845399698341,0.125090909090909,0.121090909090909,0.372051282051282,0.372051282051282,0.372051282051282,0.109090909090909,0.353897196408636,0.395647049521164,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,-0.2,0.266666666666667,0.40259545543053,-0.285416666666667,-0.1,0.233333333333333,0.341987979717644,0.189022298456261,-0.32459286745001
"RAF",0.273401119952844,0.186919036043664,0.110491676345335,0.357944147355912,0.163868852459016,0.0981065468549422,0.0971164478450412,0.1,0.17,0.0857142857142857,0.226859487428248,0.112987012987013,0.1,0.0857142857142857,0.1,0.180691530691531,-0.322907699665232,0.138383838383838,0.108004402054292,0.111111111111111,0.07,0.0803448275862069,-0.472321901733667,0.621728157603311,0.352907699665232,0.352907699665232,-0.362553067818535,-0.533722514151275,-0.158707643814027,0.0892923898531375,0.0631562881562882,0.0771428571428571,0.0533333333333333,0.0178571428571429,0.0178571428571429,0.0178571428571429,0.0333333333333333,0.32,0.375461213488534,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,-0.1,0.1,0.337271448663854,-0.136,-0.1,0,0.0227081076332972,-0.128952380952381,-0.189775910364146
"PI3K",0.231960511033682,0.139122383252818,0.012343187703898,0.262996526717125,0.0841880341880342,0.00642657062825131,0.0120265706282513,0.05,0,0.207843137254902,0.144736842105263,0.23604826546003,0,0.166666666666667,0.166666666666667,0.206637717121588,-0.317982456140351,0.171153846153846,0.107452817192451,0.125,0.0285714285714286,0.0697478991596639,-0.390707116684021,0.389683154309316,0.352993248616453,0.352993248616453,-0.353816073898041,-0.459162185733888,-0.177693602693603,0.135468197034912,0.189042281918994,0.121647058823529,0.117647058823529,0.161645021645022,0.161645021645022,0.161645021645022,0.1,0.332612411742847,0.376600995818797,0.355776253550756,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0,0.2,0.358952380952381,-0.0730769230769231,-0.2,0.1,-0.0192574231537553,0.0484615384615385,-0.128038138332256
"ILK",0.231960511033682,0.139122383252818,0.012343187703898,0.262996526717125,0.0841880341880342,0.00642657062825131,0.0120265706282513,0.05,0,0.207843137254902,0.144736842105263,0.23604826546003,0,0.166666666666667,0.166666666666667,0.206637717121588,-0.317982456140351,0.171153846153846,0.107452817192451,0.125,0.0285714285714286,0.0697478991596639,-0.390707116684021,0.389683154309316,0.352993248616453,0.352993248616453,-0.353816073898041,-0.459162185733888,-0.177693602693603,0.135468197034912,0.189042281918994,0.121647058823529,0.117647058823529,0.161645021645022,0.161645021645022,0.161645021645022,0.1,0.332612411742847,0.376600995818797,0.355776253550756,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0,0.2,0.358952380952381,-0.0730769230769231,-0.2,0.1,-0.0192574231537553,0.0484615384615385,-0.128038138332256
"cateninnuc",0.386358783293209,0.323215922445117,0.0711307647730006,0.319594341918911,0.189105220927367,0.0444170274170274,0.0481005199136168,0.164644808743169,0.279710144927536,0.310045454545455,0.231841799452976,0.325670454545455,0.143333333333333,0.292045454545455,0.270833333333333,0.364081234098972,-0.294213279800468,0.346353961371699,0.343461197936515,0.325423728813559,0.306694271911663,0.326947436468625,-0.408267312060319,0.462276826034837,0.372872495612424,0.372872495612424,-0.380422249322412,-0.488804358596776,-0.336112740999941,0.0465157063485628,0.379400894400894,0.042585575344196,0.0362637362637363,0.36492277992278,0.36492277992278,0.36492277992278,0.0285714285714286,0.255050909979439,0.181109187042172,0.268654064147943,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,-0.133333333333333,0.191375291375291,0.395647049521164,-0.180172759053728,-0.233333333333333,0.160606060606061,0.319969982474823,0.13814154061263,-0.33660650433107
"SHH",0.35,0.266666666666667,0,0.2,0.213333333333333,0,0.0333333333333333,0.3,0,0.1,0.134285714285714,0.15,0.2,0,0,0.233333333333333,-0.3,0.2,0.26,0.1,0.1,0.2,-0.299068100358423,0.36727969348659,0.375,0.375,-0.383333333333333,-0.341666666666667,-0.271794871794872,0,0.288461538461538,0,0.1,0.25,0.25,0.25,0,0.25,0.241111111111111,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,-0.2,0.1,0.276190476190476,-0.333333333333333,0,0,0.272987012987013,0.15,-0.26
"SNAI2",0.423902047963757,0.364635251707315,0.0868444846292948,0.44707977216696,0.350242294100739,0.0602951039570758,0.0703429508470279,0.301176470588235,0.2,0.326724137931034,0.393523151343865,0.364073535521396,0.26,0.275,0.2,0.411819321029847,-0.286538461538462,0.376754385964912,0.379014308426073,0.332894736842105,0.288235294117647,0.341176470588235,-0.63753975365315,0.710777486540221,0.376826725403818,0.376826725403818,-0.385174565562869,-0.808125424644733,-0.386470390385003,0.179790712271531,0.437358608481458,0.172958414134885,0.165266106442577,0.410417969212052,0.410417969212052,0.410417969212052,0.150980392156863,0.402974962071897,0.449540131104475,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,-0.2,0.305454545454545,0.447100565604419,-0.327707082833133,-0.1,0.26,0.385743987724154,0.240365111561866,-0.3525
"AKT",0.253765022311877,0.157919375734021,0.0191101049971311,0.282874202558104,0.09787224471435,0.0120265706282513,0.0150568736585543,0.0730769230769231,0.0285714285714286,0.23604826546003,0.160630881840363,0.153219982631747,0.05,0.207843137254902,0.166666666666667,0.228588936633783,-0.347896986054881,0.206637717121588,0.135300918458274,0.171153846153846,0.0697478991596639,0.107452817192451,-0.419555230853237,0.415713305063085,0.378335714369878,0.378335714369878,-0.380019282454191,-0.488707640279343,-0.198258118822635,0.144229526340047,0.212897703605741,0.135468197034912,0.121647058823529,0.189042281918994,0.189042281918994,0.189042281918994,0.117647058823529,0.355517439675807,0.393985611203413,0.376600995818797,0.332612411742847,0.355776253550756,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0,0.255555555555556,0.387472236548049,-0.0841880341880342,-0.166666666666667,0.2,-0.00494807658634417,0.0551282051282051,-0.147292796717349
"RAS",0.326825396825397,0.273402163225172,0.117588932806324,0.361603927986907,0.152203389830508,0.10995670995671,0.10995670995671,0.1,0.26,0.16,0.22950128129312,0.176666666666667,0.1,0.166666666666667,0.2,0.251638530287984,-0.351428571428571,0.215789473684211,0.251305469556244,0.2,0.235,0.229736842105263,-0.398966458711964,0.574881877848241,0.383387334315169,0.383387334315169,-0.394215384615385,-0.463358553786029,-0.213888888888889,-0.00552125800815375,0.125,-0.0223529411764706,-0.04,0.176923076923077,0.176923076923077,0.176923076923077,-0.06,0.338970588235294,0.408889647688288,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,-0.1,0.1,0.349934123847167,-0.12,-0.2,0,-0.0340659026705538,-0.130735930735931,-0.365754716981132
"SOSGRB2",0.351428571428571,0.323691542288557,0.206534090909091,0.390144927536232,0.249905719673162,0.193118279569892,0.196614783066396,0.2,0.276190476190476,0.283625730994152,0.323085248790572,0.300292397660819,0.2,0.288888888888889,0.3,0.367379099773466,-0.355,0.332167832167832,0.285963885963886,0.309090909090909,0.265079365079365,0.267782067782068,-0.492229671229671,0.643436493952322,0.385,0.385,-0.396331895355584,-0.555690104496818,-0.311552007288333,-0.0191621853323981,0.301745617847313,-0.0326373626373626,-0.0557142857142857,0.256873822975518,0.256873822975518,0.256873822975518,-0.0857142857142857,0.331521739130435,0.398924266356306,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,-0.2,0.1,0.345606435643564,-0.224324324324324,-0.2,0,-0.0356106235300866,-0.281111111111111,-0.353545321637427
"MEK",0.312139858691583,0.209354933479561,0.110491676345335,0.390544879956645,0.180208721740062,0.0971164478450412,0.101913495815521,0.136,0.07,0.112987012987013,0.245711946444641,0.142398777692895,0.1,0.0857142857142857,0.0857142857142857,0.217917808063793,-0.350358680057389,0.180691530691531,0.048004402054292,0.138383838383838,0.0803448275862069,0.108004402054292,-0.506468243197081,0.653601636922045,0.385447382204914,0.385447382204914,-0.394441612710176,-0.571063133459107,-0.184506169612553,0.098781440948028,0.0971245421245421,0.0892923898531375,0.0771428571428571,0.0631562881562882,0.0631562881562882,0.0631562881562882,0.0533333333333333,0.352867132867133,0.395907310142809,0.375461213488534,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,-0.1,0.2,0.379613791006196,-0.163868852459016,-0.1,0.1,0.0427917896416654,-0.106730158730159,-0.220039068258883
"STAT",0.173550102249489,0.0850047990804609,-0.012,0.0508648273265964,0.0117112574603828,-0.00676328502415459,-0.00906213559886723,-0.005,0,-0.0357142857142857,0.024697340369762,-0.0306295399515738,-0.025,-0.05,-0.05,-0.0140156718683275,-0.284907902554961,-0.0246952835188129,-0.0336875395319418,-0.0490196078431372,-0.06,-0.0541176470588235,-0.048406799995367,0.0923937331705415,0.391993903532365,0.391993903532365,-0.408110020483183,-0.179226466912058,0.055636404094348,-0.000369975498694036,-0.0836585527696505,-0.00858253588516747,-0.0164772727272727,-0.0963451199338296,-0.0963451199338296,-0.0963451199338296,-0.0227272727272727,0.00778265851795264,0.0215132350455215,0.0151961909454023,-0.00146103896103896,0.00794067044067044,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,0.05,-0.0571428571428571,-0.0452684570331629,-0.00197674418604651,0,0,-0.0646783621174836,-0.165147783251232,-0.0922522522522522
"Csn",0.214670153371977,0.11071731987795,0.00955980066445183,0.268086333177497,0.0837050340223265,0.00474249482401656,0.0070561195026798,0.0574314574314574,0.00666666666666667,0.121666666666667,0.141413289783386,0.143266666666667,0.0301587301587302,0.0883333333333333,0.055,0.218795093795094,-0.365261797026503,0.193795093795094,0.113768939393939,0.153535353535354,0.0339393939393939,0.0793939393939394,-0.428057984508615,0.425628368787706,0.396345740281224,0.396345740281224,-0.40450622816822,-0.492014134876107,-0.136885732068224,0.170265145806591,0.19157668960237,0.16047994294263,0.147659430122117,0.166816612826938,0.166816612826938,0.166816612826938,0.143181818181818,0.370782028883491,0.40881342002941,0.391435187918767,0.348511286525412,0.371177953192079,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.0142857142857143,0.266666666666667,0.404803470254958,-0.0714099520551133,-0.18,0.2,0.0491204288833788,0.0726184711172605,-0.11643862025275
"IKK",0.478297258297258,0.263931297709924,0.115273477812178,0.520718954248366,0.2157343550447,0.10625,0.111200495049505,0.14,0.1,0.230952380952381,0.260746641674477,0.276898326898327,0.12,0.314285714285714,0.3,0.337518037518037,-0.353113553113553,0.288311688311688,0.177269841269841,0.245454545454545,0.0857142857142857,0.121714285714286,-0.567021395736479,0.658155310830573,0.406892230576441,0.406892230576441,-0.410914158305463,-0.675061340231506,-0.22010989010989,0.207115151515152,0.359546023874645,0.201515151515152,0.183333333333333,0.313067150635209,0.313067150635209,0.313067150635209,0.15,0.376239316239316,0.437842691766742,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,-0.1,0.2,0.403095238095238,-0.188148148148148,-0.2,0.1,0.139265491747074,0.101890756302521,-0.241985428051002
