"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ERK",0.366215048666631,0.393432353109126,0.363955769087088,0.320890075656431,0.267619047619048,0.20970962246015,0.269348488297452,0.187241379310345,0.174333577891905,0.227666911225238,0.175163637660932,0.177500355120237,0.165950203144554,0.244735695593417,0.210351238076548,0.432293894315596,0.185580595874714,0.156168831168831,0.208590163934426,0.184,0.297985253747238,0.110714285714286,0.275415865561851,0.247638087784073,0.21041181041181,0.123575897672985,-0.404802420117224,0.442727539258453,0.442727539258453,0.68781620816083,-0.544571028648365,0.157789449296646,0.129595616697528,0.129595616697528,0.129595616697528,-0.618598490368034,-0.213785791394009,-0.452366779497521,0.419934196340075,0.378208902538035,0.400115317900506,0.352394366197183,0.377024070228253,0.32,0.350815418828762,0.318421052631579,0.27,0.268421052631579,0.411274720731889,-0.0857142857142857,-0.14,0.2,0.0583065378741317,-0.227544412300439,-0.285205969207797
"STAT",0.218786639400136,0.21176467189053,0.194856459330144,0.165909090909091,0.140909090909091,0.207893738140417,0.148182485181735,0.2,0.191764705882353,0.18,0.0586666666666667,0.0649619634627131,0.0615136876006441,0.0628225972422309,0.0427602905569007,0.0802251471666764,0.0342857142857143,0.02,0.045,0.025,0.0675142417782127,0,0.0330241149201743,0.0204027556968733,-0.00392156862745098,-0.0069376026272578,-0.326728064963359,0.442935269858347,0.442935269858347,0.104995176821802,-0.0628629869659736,-0.0307617464785255,-0.044194582299421,-0.044194582299421,-0.044194582299421,-0.20560603104461,0.0427236315086783,-0.458532927961468,0.0325557999301258,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.0196428571428571,-0.00146103896103896,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0634173280695643,-0.0566279069767442,-0.171240347490347
"cMet",0.405332278481013,0.406264775413712,0.372222222222222,0.35,0.3,0.420454545454546,0.4052230602186,0.325,0.415,0.385,0.21781905744754,0.21034632034632,0.197619047619048,0.205397727272727,0.2725,0.393514425649257,0.26,0.266666666666667,0.15,0.15,0.225487990270599,0.2,0.280035194368901,0.24812030075188,0.242857142857143,0.0109523809523809,-0.320634920634921,0.458008658008658,0.458008658008658,0.48879143565275,-0.196763716710336,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,-0.332217112076693,-0.259293394777266,-0.467637104743083,0.165988925320238,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0.0419047619047619,-0.2,-0.1,0.1,-0.127328695606007,-0.177272727272727,-0.453333333333333
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.1,0.2,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.1,0.2,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"NFB",0.543623370874367,0.574761539445084,0.529191919191919,0.469191919191919,0.405555555555556,0.306438842203548,0.323971886243663,0.142857142857143,0.252190476190476,0.178857142857143,0.198011573050273,0.199542600635528,0.18578795379538,0.281035559863977,0.358820248820249,0.568179271708683,0.321042471042471,0.264285714285714,0.228148148148148,0.18,0.313312588916683,0.314285714285714,0.403560024205185,0.362914862914863,0.307359307359307,0.336627598407784,-0.41529304029304,0.474843833722237,0.474843833722237,0.698964977831352,-0.61265624380123,0.415424526100359,0.380598655453593,0.380598655453593,0.380598655453593,-0.730857473036303,-0.252348631760396,-0.479293751915583,0.465904081853449,0.409947181407856,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.2,0.159531272477971,-0.2557343550447,-0.315783942833123
"SRC",0.40859943977591,0.400551948051948,0.369642857142857,0.345833333333333,0.333333333333333,0.333142748237088,0.308263226544133,0.3,0.316161616161616,0.327272727272727,0.126804038397881,0.113934329065908,0.109429824561404,0.0953812636165577,0.168803418803419,0.258834154351396,0.157692307692308,0.15,0.0533333333333333,0.0333333333333333,0.110475770406963,0.15,0.168809523809524,0.143809523809524,0.12,0.00857142857142857,-0.354328165374677,0.481079664570231,0.481079664570231,0.207151486620042,-0.109673701541685,0.219246027231008,0.191973299958281,0.191973299958281,0.191973299958281,-0.273239538239538,-0.152380952380952,-0.493078612209047,0.0811660123422667,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,-0.05,0,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.079581541646759,-0.0718518518518519,-0.405408927989573
"SMO",0.357309941520468,0.468333333333333,0.393333333333333,0.333333333333333,0.3,0.402857142857143,0.303333333333333,0.2,0.342857142857143,0.3,0.109090909090909,0.116233766233766,0.109090909090909,0.247023809523809,0.138888888888889,0.297777777777778,0.0833333333333333,0.0333333333333333,0.166666666666667,0.233333333333333,0.186190476190476,0,0.162564102564103,0.0933333333333333,0.0333333333333333,0.12,-0.426666666666667,0.486666666666667,0.486666666666667,0.449560117302053,-0.440705882352941,0.336904761904762,0.275,0.275,0.275,-0.51640529896169,-0.318333333333333,-0.496134453781513,0.377235772357724,0.38,0.333333333333333,0.3,0.28,0.2,0.2,0.1,0.1,0,0.286666666666667,0,-0.2,0,0.265186403508772,-0.20952380952381,-0.28030303030303
"TWIST1",0.536864045556844,0.523935454616862,0.485438871473354,0.440438871473354,0.381818181818182,0.477104295456357,0.47968413689195,0.28,0.431830663615561,0.371304347826087,0.243465573974049,0.237967084996788,0.21981526981527,0.458591118009162,0.460917613459986,0.465609313137917,0.416849816849817,0.369230769230769,0.391555555555556,0.355555555555556,0.410423425501433,0.3,0.419711336881148,0.379145299145299,0.335555555555555,0.315754268614681,-0.404315196998124,0.488073160880178,0.488073160880178,0.731186619470955,-0.658595032204739,0.452050268226609,0.42054341891154,0.42054341891154,0.42054341891154,-0.827519665813628,-0.402797009911764,-0.496082171680117,0.470379409986726,0.418854803675856,0.446443851873952,0.385254803675856,0.417916244511989,0.348412698412698,0.384582911178656,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.2,-0.3,0.266666666666667,0.39684665708351,-0.428541856925419,-0.461840770536423
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.350952380952381,0.299871794871795,0.2,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.151206636500754,0.133333333333333,0.342152542372881,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.0333333333333333,0.196123136123136,0,0.186267281105991,0.231428571428571,0.16,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.572694963214488,-0.277307558342041,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"FUS",0.415643274853801,0.530402298850575,0.468333333333333,0.393333333333333,0.333333333333333,0.461190476190476,0.342727272727273,0.3,0.402857142857143,0.342857142857143,0.118768328445748,0.129666602054662,0.116233766233766,0.273339598997494,0.175730994152047,0.348597449908925,0.138888888888889,0.0833333333333333,0.20952380952381,0.166666666666667,0.217224958949097,0.0333333333333333,0.214288240495137,0.162564102564103,0.0933333333333333,0.153333333333333,-0.486666666666667,0.544731182795699,0.544731182795699,0.505115672857608,-0.498483660130719,0.390238095238095,0.336904761904762,0.336904761904762,0.336904761904762,-0.578037952022914,-0.360833333333333,-0.552544710191769,0.41462707670555,0.433333333333333,0.377235772357724,0.38,0.333333333333333,0.3,0.28,0.2,0.2,0.1,0.351111111111111,0,-0.233333333333333,0,0.298159376481745,-0.247023809523809,-0.328874458874459
"TGF",0.534673913043478,0.55047619047619,0.593333333333333,0.526666666666667,0.46,0.474670008354219,0.442803560076287,0.333333333333333,0.423558897243108,0.376190476190476,0.231850419084462,0.22603128054741,0.211515151515151,0.265617816091954,0.341791979949875,0.464735202492212,0.315476190476191,0.258333333333333,0.203333333333333,0.153333333333333,0.319047619047619,0.233333333333333,0.38816091954023,0.343333333333333,0.273333333333333,0.181578947368421,-0.507068395626748,0.559795668354021,0.559795668354021,0.510479457649269,-0.514009734810339,0.397232947232947,0.34047619047619,0.34047619047619,0.34047619047619,-0.59781064237705,-0.375005082492767,-0.567284583232859,0.426533400809717,0.341538461538462,0.387591093117409,0.28,0.341538461538462,0.2,0.28,0.2,0.1,0.1,0.355714285714286,-0.2,-0.133333333333333,0,0.179859960206781,-0.234367816091954,-0.411688311688312
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.389064112011791,0.319178037152721,0.32,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.310213744588745,-0.571971819030643,0.427283788628704,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.28,0.328148148148148,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.389064112011791,0.319178037152721,0.22,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.310213744588745,-0.571971819030643,0.427283788628704,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.28,0.328148148148148,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.408095238095238,0.332146927146927,0.22,0.350952380952381,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,0.173787281662044,0.172868217054264,0.380517322247095,0.133333333333333,0.0888888888888889,0.121794871794872,0.0833333333333333,0.221950950692673,0.0333333333333333,0.228372544263885,0.186267281105991,0.231428571428571,0.221913875598086,-0.515648723257419,0.570966183574879,0.570966183574879,0.528976296340436,-0.529869037189696,0.344338609915821,0.303451910408432,0.303451910408432,0.303451910408432,-0.622465254179266,-0.308712517019727,-0.581865225333433,0.411524729918954,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.35217916982403,-0.151206636500754,-0.331283545659456
"TCFLEF",0.617388107293155,0.605975289652751,0.578068312908565,0.547227191413238,0.507692307692308,0.527721918035507,0.436016761016761,0.431428571428571,0.500511033681765,0.472891986062718,0.202196974022267,0.185159955337675,0.175408521303258,0.282674701642444,0.311071947687656,0.431843473271903,0.290419773774612,0.271064935064935,0.24047619047619,0.216666666666667,0.283206344572568,0.235064935064935,0.3952389606249,0.370572293958234,0.345082097879802,0.200614156302779,-0.440433218742042,0.576925793017898,0.576925793017898,0.485472336197242,-0.438393508045676,0.409550378590424,0.385339852274635,0.385339852274635,0.385339852274635,-0.607686384877938,-0.35878329127571,-0.587983970514091,0.210345033047879,0.26973683326404,0.190482904654945,0.240544286680189,0.265798633702017,0.209509803921569,0.236867816091954,0.205833333333333,0.174509803921569,0.170833333333333,0.600908488176239,-0.171428571428571,-0.183333333333333,0.133333333333333,0.322075616285305,-0.261443932411674,-0.437425724388116
"PAK1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.348056318775632,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.234377982276755,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.601332188733215,0.601332188733215,0.571217640658295,-0.570959582011642,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652517701354814,-0.336759199134199,-0.613088570299678,0.451264438248607,0.397673180240574,0.427283788628704,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384708462277024,-0.159543721909313,-0.354596839624464
"LIV1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.348056318775632,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.234377982276755,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.601332188733215,0.601332188733215,0.571217640658295,-0.570959582011642,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652517701354814,-0.336759199134199,-0.613088570299678,0.451264438248607,0.397673180240574,0.427283788628704,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384708462277024,-0.159543721909313,-0.354596839624464
"EGR1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.348056318775632,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.234377982276755,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.601332188733215,0.601332188733215,0.571217640658295,-0.570959582011642,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652517701354814,-0.336759199134199,-0.613088570299678,0.451264438248607,0.397673180240574,0.427283788628704,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384708462277024,-0.159543721909313,-0.354596839624464
"ZEB1",0.464959215632427,0.495109278924605,0.459931413311956,0.417799433616525,0.364176245210728,0.365280297140883,0.347052095304521,0.216666666666667,0.322549019607843,0.276666666666667,0.185035508532918,0.179052084573757,0.166552084573757,0.270739113827349,0.284706438226714,0.470473121101057,0.251849295369572,0.220701754385965,0.223106060606061,0.195833333333333,0.333563218442555,0.173333333333333,0.361278069319014,0.326838235294118,0.289583333333333,0.293879142300195,-0.552877562600551,0.605258973615972,0.605258973615972,0.526646800001556,-0.642981584584161,0.451460351870472,0.419914610545551,0.419914610545551,0.419914610545551,-0.646626238043674,-0.385393878064933,-0.624325691268721,0.49662481168816,0.450255938823454,0.474936882345667,0.42035903160696,0.448733673789518,0.384436701509872,0.418872562678407,0.38223889931207,0.338095238095238,0.335897435897436,0.479637093248061,-0.133333333333333,-0.158333333333333,0.266666666666667,0.398535098534636,-0.248596256684492,-0.333068736550361
"TGFR",0.580287948131197,0.599047619047619,0.55047619047619,0.593333333333333,0.526666666666667,0.518505624792575,0.479895548206851,0.376190476190476,0.474670008354219,0.423558897243108,0.248268329532223,0.239198540333886,0.22603128054741,0.294026907001045,0.374350119484758,0.507795700712853,0.341791979949875,0.315476190476191,0.234367816091954,0.203333333333333,0.350931677018634,0.258333333333333,0.431639180409795,0.38816091954023,0.343333333333333,0.224788823911631,-0.557068395626748,0.607720196655907,0.607720196655907,0.557921318114385,-0.565053818337021,0.442687492687493,0.397232947232947,0.397232947232947,0.397232947232947,-0.651052963196163,-0.410299200139826,-0.615671680007053,0.458145155039458,0.387344913151365,0.426533400809717,0.341538461538462,0.387591093117409,0.28,0.341538461538462,0.28,0.2,0.2,0.410024630541872,-0.233333333333333,-0.153333333333333,0.1,0.207519534674866,-0.265617816091954,-0.453116883116883
"Csl",0.45634121056654,0.476442006814369,0.441294614524119,0.396071684587814,0.331555555555555,0.457008281573499,0.361791195921631,0.286666666666667,0.408095238095238,0.350952380952381,0.206429274050757,0.114086445129611,0.0979753340184995,0.197925212696527,0.204651162790698,0.413248699222265,0.172868217054264,0.133333333333333,0.151206636500754,0.121794871794872,0.248513450692673,0.0888888888888889,0.262008907900249,0.228372544263885,0.186267281105991,0.251995176411094,-0.559934437543133,0.612955133851122,0.612955133851122,0.56400243525007,-0.568919573177445,0.378897433445233,0.344338609915821,0.344338609915821,0.344338609915821,-0.66409316115601,-0.33478026370603,-0.624348885464152,0.435350617662368,0.382427250169186,0.411524729918954,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.371032128945445,-0.173787281662044,-0.367689075613373
"SMAD",0.497308593720751,0.515354663574668,0.477754663574668,0.431991951710262,0.371428571428571,0.471405066587558,0.396816831298126,0.314285714285714,0.422612796056157,0.369124423963134,0.229016604874041,0.118864696946889,0.204578982661174,0.300922828032493,0.310371978769136,0.432203898069032,0.276143790849673,0.238888888888889,0.250833333333333,0.220833333333333,0.352990688703467,0.205555555555556,0.364782111862627,0.328527131782946,0.286666666666667,0.257407269477134,-0.575333164186459,0.627399811928114,0.627399811928114,0.575180412857854,-0.57984057008239,0.461910395824271,0.426373205741627,0.426373205741627,0.426373205741627,-0.674116317120885,-0.37196609267893,-0.637517198248906,0.447738989669008,0.393244147157191,0.42324919375064,0.358461538461538,0.394014221073045,0.32,0.35921568627451,0.32,0.271428571428571,0.271428571428571,0.427713246595593,-0.15,-0.183333333333333,0.2,0.280024914195693,-0.276759259259259,-0.389795021502339
"SNAI1",0.469571761532323,0.491013654873035,0.459965267776261,0.424446142093201,0.378991596638655,0.475168745793555,0.274390838348586,0.336521739130435,0.438397445345124,0.389064112011791,0.118334110255796,0.119383929476776,0.108190817545656,0.204485469482129,0.217166179337232,0.423644293148203,0.187305068226121,0.157675438596491,0.159543721909313,0.138556067588326,0.257962887937133,0.120833333333333,0.27603872318158,0.245018315018315,0.212051282051282,0.247238256844552,-0.589631109846523,0.636141536826696,0.636141536826696,0.601036310906783,-0.603601352412749,0.408694347544259,0.380240400175838,0.380240400175838,0.380240400175838,-0.688038534688147,-0.3589006399802,-0.649111625054721,0.471015926729063,0.426480519690116,0.451264438248607,0.397673180240574,0.427283788628704,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.464868347560356,-0.0833333333333333,-0.10952380952381,0.28,0.400656856457645,-0.182543721909313,-0.38639600280438
"GLI",0.498394987102788,0.615906206335781,0.576899114137199,0.530402298850575,0.468333333333333,0.555909090909091,0.408853046594982,0.402857142857143,0.509242424242424,0.461190476190476,0.15473324072645,0.158369988985897,0.144856475472383,0.324215675532219,0.238626703616935,0.427173301302114,0.206343239050006,0.175730994152047,0.273339598997494,0.247023809523809,0.275776816694894,0.138888888888889,0.290370852087409,0.253528746824251,0.214288240495137,0.23271645021645,-0.586816816816817,0.636427400289789,0.636427400289789,0.590252828956878,-0.590802639397067,0.471402208837175,0.433553603259486,0.433553603259486,0.433553603259486,-0.675288834480646,-0.424313081998486,-0.647161632243734,0.47253041567135,0.414201800892031,0.446430355394074,0.476862745098039,0.41462707670555,0.433333333333333,0.377235772357724,0.333333333333333,0.38,0.28,0.444589132240823,-0.0833333333333333,-0.20952380952381,0.2,0.346194803212824,-0.299112794873782,-0.408122579175211
