"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","HEY1","ERK","SMAD","ILK","EGR1","cfos","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0567741168315429,0.0255421571279209,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0955500996220436,0.0504241372662425,0.010330209191614,0.0531713900134953,0.0149984588189711,0.0141661163695062,0.0570175438596491,0.0531713900134953,-0.119334534560048,0.04494851994852,-0.040004481931923,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.111877394636015,-0.185322380202156,0.0523809523809524,-0.0598883508650808,-0.0560654132393263,-0.0549784567175871,-0.065520163020163,-0.203149190846705,0.192122632694511,0.192122632694511,-0.233243164699977,0.215009893010284,0.00182136571144147,0.00293247682255258,0.00293247682255258,0.00293247682255258,0.0516140514488642,-0.0894035296982363,-0.203795716945736,-0.186622951976113,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0200491500098147,0.116589436520832,-0.123831941572353
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.154702401612253,0.120494059775033,0.0186899478125152,0.124033882783883,0.0185989231002019,0.0220332665345453,0.152307692307692,0.133557692307692,-0.153454919667791,0.101497584541063,-0.0370946197518206,0.104830917874396,0.109178743961353,-0.152930402930403,-0.157692307692308,-0.220045045045045,0.122222222222222,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.0796655518394649,-0.252988588338008,0.245175501457021,0.245175501457021,-0.276873604667311,0.249359406027404,0.0667469954117113,0.069649370081896,0.069649370081896,0.069649370081896,0.0626933072129053,-0.170696803186393,-0.2593606087525,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159718796983318,0.151144688644689,-0.179542948625355
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.104658385093168,0.0742857142857143,0.0656410256410257,0.0142857142857143,0.0542124542124542,0.058974358974359,0.1,0,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.106666666666667,-0.262745098039216,0.304208512673362,0.304208512673362,0.339673913043478,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.0715709728867624,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.117826086956522
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.117561610899619,0.121904761904762,0.0612931995540691,0.0742857142857143,0.0619047619047619,0.0542124542124542,0,0.0142857142857143,0.117936981051735,0.161666666666667,0.24484593837535,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.163463885554222,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.14,-0.300840336134454,0.338861978019897,0.338861978019897,0.368108417835811,-0.366766881894001,0.173815174299385,0.150615174299385,0.150615174299385,0.150615174299385,-0.437522282529341,-0.09255862720775,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00789207888228566,-0.10974025974026,-0.142354388843314
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.336089931573803,0.361694386694387,0.109959539371304,0.321153846153846,0.101708238851096,0.0891156462585034,0.2,0.275,0.324003623188406,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.353745688131544,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.293809523809524,-0.266666666666667,0.354514963880289,0.354514963880289,0.464235764235764,-0.592777865765671,0.401082621082621,0.375897435897436,0.375897435897436,0.375897435897436,-0.673421362470867,-0.346814022702104,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342128375572915,-0.297916666666667,-0.325153793574846
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.336089931573803,0.361694386694387,0.109959539371304,0.321153846153846,0.101708238851096,0.0891156462585034,0.2,0.275,0.324003623188406,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.353745688131544,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.293809523809524,-0.266666666666667,0.354514963880289,0.354514963880289,0.464235764235764,-0.592777865765671,0.401082621082621,0.375897435897436,0.375897435897436,0.375897435897436,-0.673421362470867,-0.346814022702104,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342128375572915,-0.297916666666667,-0.325153793574846
"DSH",0.230596145314815,0.258225999782064,0.240331262939959,0.203188405797101,0.146666666666667,0.134129658236897,0.149739813451154,0.071203109463979,0.121904761904762,0.0752127466956364,0.0619047619047619,0.0142857142857143,0.0742857142857143,0.130436981051735,0.17562015503876,0.261988795518207,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.17875800320128,0.0866666666666667,0.239170316013729,0.222268907563025,0.192857142857143,0.17,-0.33287917108591,0.363465152623071,0.363465152623071,0.392141243158202,-0.394361221516642,0.196322296806507,0.173815174299385,0.173815174299385,0.173815174299385,-0.464907441539942,-0.110315636553544,-0.368580494360786,0.366017248756643,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00494317015985993,-0.117936981051735,-0.160340000354106
"SOSGRB2",0.306825396825397,0.32375,0.28,0.26,0.2,0.283333333333333,0.376666666666667,0.159130434782609,0.36,0.167619047619048,0.153333333333333,0.3,0.36,0.171272727272727,0.180952380952381,0.33009009009009,0.166666666666667,0.2,0.1,0.1,0.228822055137845,0.2,0.233333333333333,0.2,0.2,-0.048051948051948,-0.321428571428571,0.363533834586466,0.363533834586466,0.549019607843137,-0.352615384615385,0.212820512820513,0.153846153846154,0.153846153846154,0.153846153846154,-0.425333157408629,-0.197099567099567,-0.374,0.381922715894869,0.276470588235294,0.338172715894869,0.2,0.276470588235294,0.2,0.1,0.1,0,0,0.281818181818182,-0.1,-0.1,0,-0.0683534372854761,-0.127272727272727,-0.397463768115942
"SHH",0.35,0.44,0.4,0.3,0.2,0.283333333333333,0.3,0.0666666666666667,0.2,0.1,0.0666666666666667,0,0.1,0.253333333333333,0.15,0.2,0.1,0,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.172165974915516,0.14468085106383,0.0729055258467023,0.1,0.0781947820450494,0.0674509803921569,0,0.04,0.130877573131094,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.182515913678,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.177777777777778,-0.336842105263158,0.375508463573364,0.375508463573364,0.39510918690168,-0.396875422177051,0.216772005772006,0.18621645021645,0.18621645021645,0.18621645021645,-0.471956595515355,-0.184276969276969,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0189830442141928,-0.115384615384615,-0.164982142857143
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.172165974915516,0.14468085106383,0.0729055258467023,0.1,0.0781947820450494,0.0674509803921569,0,0.04,0.130877573131094,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.182515913678,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.177777777777778,-0.336842105263158,0.375508463573364,0.375508463573364,0.39510918690168,-0.396875422177051,0.216772005772006,0.18621645021645,0.18621645021645,0.18621645021645,-0.471956595515355,-0.184276969276969,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0189830442141928,-0.115384615384615,-0.164982142857143
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.371089596901954,0.390492398457,0.11529304029304,0.343589743589744,0.10945412311266,0.0923809523809524,0.2,0.284615384615385,0.364948362323653,0.36889281262983,0.448322008191805,0.326724137931034,0.275,0.301176470588235,0.26,0.401482358753778,0.2,0.41441672362725,0.376754385964912,0.332894736842105,0.3337714494341,-0.286538461538462,0.378588839941263,0.378588839941263,0.710274080782595,-0.63753975365315,0.442185405931406,0.412827607766268,0.412827607766268,0.412827607766268,-0.808746439750999,-0.385556760391712,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385832009342356,-0.335870348139256,-0.352615498254096
"cateninnuc",0.393901627108524,0.377659815629025,0.357747824429905,0.331736263736264,0.299428571428571,0.335912240607672,0.37360406504065,0.120236023714285,0.350433333333333,0.107101238428188,0.09869787708365,0.283333333333333,0.320833333333333,0.215165267503394,0.344065656565657,0.324016395603106,0.32739898989899,0.304166666666667,0.186666666666667,0.163333333333333,0.246806565637322,0.270833333333333,0.374528621870854,0.356179998017643,0.332203389830509,0.278754963598397,-0.301102839812517,0.381714934277283,0.381714934277283,0.462505620337595,-0.409826351924912,0.389371320980937,0.373143623444828,0.373143623444828,0.373143623444828,-0.49265123591776,-0.336683260396086,-0.389110205889993,0.182112706735152,0.255050909979439,0.269124614793861,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.320501626637343,-0.202389937106918,-0.344600860287135
"AKT",0.277777214655263,0.297790732899283,0.273778574844572,0.233941176470588,0.177941176470588,0.194730077479618,0.176259798432251,0.0860838204203457,0.14468085106383,0.0907371549264054,0.0781947820450494,0.04,0.1,0.148081874206363,0.194385446486287,0.299893042729821,0.276018099547511,0.252941176470588,0.115384615384615,0.1,0.201979000926322,0.2,0.25880360486535,0.236104218362283,0.203846153846154,0.211868686868687,-0.370175438596491,0.404473980814744,0.404473980814744,0.42344926787334,-0.428508075238276,0.244044733044733,0.216772005772006,0.216772005772006,0.216772005772006,-0.504273668686087,-0.205169464205975,-0.405609419332317,0.400749593449834,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00370065218761471,-0.130877573131094,-0.188549021838035
"RAF",0.329376114081996,0.351721611721612,0.297435897435897,0.238461538461538,0.2,0.257811071941507,0.342156862745098,0.183025210084034,0.283333333333333,0.180494845711564,0.177198142414861,0.35,0.25,0.23362962962963,0.174025974025974,0.399262820512821,0.128571428571429,0.1,0.16,0.12,0.283082706766917,0.1,0.228846153846154,0.175,0.125,-0.0238095238095238,-0.360701754385965,0.407510265024263,0.407510265024263,0.687805692403088,-0.495500077828466,0.107782987135302,0.058250276854928,0.058250276854928,0.058250276854928,-0.579987109664529,-0.203388723910617,-0.414802888368462,0.394123226799189,0.326,0.36310718401844,0.27,0.324421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.341414141414141,-0.1,-0.1,0,0.024593767844033,-0.204,-0.325
"RAS",0.359911816578483,0.380892857142857,0.32375,0.28,0.26,0.322619047619048,0.421111111111111,0.172766798418972,0.376666666666667,0.16984126984127,0.167619047619048,0.36,0.36,0.203476117103236,0.222128851540616,0.384928799767509,0.180952380952381,0.166666666666667,0.127272727272727,0.1,0.268147897834474,0.2,0.286274509803922,0.233333333333333,0.2,-0.0147186147186147,-0.363533834586466,0.410342345224764,0.410342345224764,0.602227155012949,-0.405382912290661,0.160393328354493,0.212820512820513,0.212820512820513,0.212820512820513,-0.482401220235854,-0.235310949213388,-0.419,0.414487557393428,0.338970588235294,0.381922715894869,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0350201039521428,-0.171272727272727,-0.443297101449275
"IKK",0.497015218458517,0.528541512687854,0.469191919191919,0.405555555555556,0.35,0.291666666666667,0.245914149443561,0.17843137254902,0.172941176470588,0.180106209150327,0.168995098039216,0.1,0.12,0.253740053050398,0.31984126984127,0.532150216018611,0.264285714285714,0.314285714285714,0.18,0.12,0.286144809398226,0.3,0.362198017036727,0.307359307359307,0.245454545454545,0.325,-0.363369963369963,0.424561403508772,0.424561403508772,0.659007146414631,-0.569112064406182,0.382569098803346,0.33609022556391,0.33609022556391,0.33609022556391,-0.682293477666612,-0.223412398871471,-0.428215579710145,0.439233666521802,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.140361599407318,-0.226153846153846,-0.270015948963317
"CD44",0.395546558704453,0.380952380952381,0.357142857142857,0.3,0.2,0.275888888888889,0.442857142857143,0.12,0.4,0.117619047619048,0.103333333333333,0.2,0.3,0.0666666666666667,0.166666666666667,0.242222222222222,0.166666666666667,0.1,0.05,0,0.0768421052631579,0.1,0.142857142857143,0.142857142857143,0.1,0.08,-0.283333333333333,0.435333333333333,0.435333333333333,0.193609022556391,-0.0546236559139785,0.160952380952381,0.146666666666667,0.146666666666667,0.146666666666667,-0.233315997503641,-0.108571428571429,-0.445075757575758,0.0574786324786325,-0.0444444444444444,0.0138888888888889,-0.1,-0.0444444444444444,0,-0.1,0,0,0.1,-0.1,-0.1,0,0.1,-0.131604010025063,-0.05,-0.386868686868687
"Csn",0.2527394855605,0.279067481700102,0.252802421459138,0.206648575305292,0.145454545454545,0.16336210976331,0.171014492753623,0.0733098928194032,0.133333333333333,0.0800663535847332,0.0663712631454567,0.02,0.08,0.13828059434754,0.204491869918699,0.294225019669552,0.184166666666667,0.155,0.108513708513709,0.0873015873015873,0.186200943272895,0.105,0.262944283332633,0.238672438672439,0.201010101010101,0.192756209307933,-0.399880772821949,0.436477901247887,0.436477901247887,0.438105709467599,-0.442264614981725,0.23856614153348,0.209799018245809,0.209799018245809,0.209799018245809,-0.516415309279719,-0.148981925714165,-0.444467420294654,0.41964492441081,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0510097676205823,-0.122799422799423,-0.17931032588393
"STAT",0.217750172532781,0.210954020305753,0.194856459330144,0.165909090909091,0.140909090909091,0.145895663476309,0.131368797040439,0.0549519760667611,0.111965811965812,0.0615280644354926,0.0574818216609261,0.1,0.0888888888888889,0.0608301158301158,0.0411822660098522,0.0793767908570263,0.0342857142857143,0.02,0.045,0.025,0.0663083293518076,0,0.0321674615792263,0.0204027556968733,-0.00392156862745098,0.00207336523125997,-0.326728064963359,0.441957344053152,0.441957344053152,0.104019814824091,-0.0627303327681265,-0.030250999000999,-0.0438873626373626,-0.0438873626373626,-0.0438873626373626,-0.205004623459824,0.0438614181454626,-0.45779388616738,0.0323168513040804,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0628719365083472,-0.0545238095238095,-0.166087675765095
"MEK",0.37526983388876,0.3995815339006,0.351721611721612,0.297435897435897,0.238461538461538,0.286977738608173,0.289409609997845,0.188075715134539,0.342156862745098,0.192331580405442,0.180494845711564,0.25,0.283333333333333,0.255615445232466,0.206493506493506,0.437845497678175,0.174025974025974,0.128571428571429,0.204,0.16,0.307644110275689,0.1,0.270578437310721,0.228846153846154,0.175,0.0156641604010025,-0.404451754385965,0.451716273607954,0.451716273607954,0.728220200175109,-0.53938682171521,0.148523727876043,0.107782987135302,0.107782987135302,0.107782987135302,-0.627518571426388,-0.235147254094344,-0.459284493719633,0.421129097640676,0.364686131386861,0.394123226799189,0.326,0.36310718401844,0.324421052631579,0.27,0.268421052631579,0.2,0.2,0.389077692816011,-0.1,-0.12,0.1,0.0480586801247347,-0.23362962962963,-0.36453488372093
