"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","TWIST1","SHH","ILK","AKT","IKK","SMO","NFB","Jagged","NOTCH","FUS","Csn","NOTCHic","Csl","SOSGRB2","SNAI2","ZEB2","ZEB1","KLF4","RAS","RAF","PI3K","DELTA","cateninmemb","miR200","Ecadherin","GSK3","cateninnuc","Wnt","GLI","TCFLEF","Frizzled","cMet","CD44","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0755618877098317,0.0475191673765695,0.0499822215637616,0.0436664320900774,0.0291836734693878,0.0667338347479455,0.10987885553921,0.0625144254652451,0.0625641025641026,0.0565034965034965,0.0114183252644791,0.0166708437761069,-0.0149764608198558,-0.106568548558672,0.0146825396825397,0.0574180583518197,0.0594314811706116,-0.0992665571975917,0.0567287784679089,-0.163607133574626,-0.0383206404976031,-0.104980842911877,0.0523809523809524,-0.0349138268703486,-0.038174696435566,-0.0444422071387749,-0.202323811859529,0.203124715504456,0.203124715504456,-0.210000374941823,0.0246321944232508,0.0251031520370655,0.0251031520370655,0.0251031520370655,0.152895587613863,-0.2143156114173,-0.0470006810306812,-0.106144606231596,-0.147811756727439,-0.147069100256405,-0.150965204152509,-0.149647554789653,-0.141128506196999,-0.14660114301292,-0.150332486296502,-0.141128506196999,-0.145238095238095,-0.145238095238095,-0.204544263836669,-0.0666666666666667,0.122222222222222,-0.166666666666667,-0.000865793673875957,0.102893500202773,-0.13461054395595
"AXIN2",0.124341287128172,0.0821566753528843,0.0758860482901781,0.0696913580246914,0.0783333333333333,0.118542925938444,0.167234312048568,0.119232581110858,0.153333333333333,0.131382113821138,0.0187481889307447,0.0189095928226363,-0.0146717207366295,-0.140697772173182,0.0220841959972395,0.108840579710145,0.107729468599034,-0.148168498168498,0.109178743961353,-0.197653715262411,-0.0358519609835399,-0.157692307692308,0.122222222222222,-0.039906015037594,-0.0452631578947368,-0.0679909898423222,-0.247757181928249,0.250778514224542,0.250778514224542,-0.2550190451908,0.0871548142309388,0.0871548142309388,0.0871548142309388,0.0871548142309388,0.185942604069692,-0.264379369297437,-0.0596486827296109,-0.185884595826243,-0.205019836685782,-0.201766907244052,-0.202395838061662,-0.204544263836669,-0.210387596899225,-0.201766907244052,-0.202082364657302,-0.210387596899225,-0.226666666666667,-0.226666666666667,0.214085858972592,-0.133333333333333,0.15,-0.233333333333333,0.177293597287604,0.141025641025641,-0.186592520382843
"HEY1",0.274760816472855,0.244345898004435,0.227272727272727,0.223272727272727,0.227272727272727,0.282617564364077,0.23720538318685,0.275401069518717,0.2,0.263636363636364,0.100397249809015,0.0870144927536232,0.266148148148148,0.20369623655914,0.0826666666666667,0.252804232804233,0.234285714285714,0.166666666666667,0.22,0.185666257780201,0.241023035564544,0.166666666666667,0.2,0.221435406698565,0.210909090909091,0.193610634648371,0.292863744583031,0.282481940144479,0.282481940144479,-0.222222222222222,0.26250754147813,0.252948717948718,0.252948717948718,0.252948717948718,-0.252928501038257,-0.292653642653643,-0.151235482547148,-0.242847338841709,0.182731207278569,0.160145918832649,0.17566316021196,0.180614146257399,0.13921568627451,0.160145918832649,0.174928527528302,0.13921568627451,0.133333333333333,0.133333333333333,0.237563641870775,-0.1,-0.2,0.166666666666667,0.225886051221,-0.185416666666667,-0.248206555349412
"FOXC2",0.274760816472855,0.244345898004435,0.227272727272727,0.223272727272727,0.227272727272727,0.282617564364077,0.23720538318685,0.275401069518717,0.2,0.263636363636364,0.100397249809015,0.0870144927536232,0.266148148148148,0.20369623655914,0.0826666666666667,0.252804232804233,0.234285714285714,0.166666666666667,0.22,0.185666257780201,0.241023035564544,0.166666666666667,0.2,0.221435406698565,0.210909090909091,0.193610634648371,0.292863744583031,0.282481940144479,0.282481940144479,-0.222222222222222,0.26250754147813,0.252948717948718,0.252948717948718,0.252948717948718,-0.252928501038257,-0.292653642653643,-0.151235482547148,-0.242847338841709,0.182731207278569,0.160145918832649,0.17566316021196,0.180614146257399,0.13921568627451,0.160145918832649,0.174928527528302,0.13921568627451,0.133333333333333,0.133333333333333,0.237563641870775,-0.1,-0.2,0.166666666666667,0.225886051221,-0.185416666666667,-0.248206555349412
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.119607843137255,0.104658385093168,0.0666666666666667,0.1,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.212941176470588,0.10974025974026,0.058974358974359,0.136666666666667,0.0866666666666667,0.05,0.0666666666666667,0.140759803921569,0.192857142857143,0,0.1,0.142857142857143,0.1,0.0939393939393939,0.314741379310345,0.304208512673362,0.304208512673362,-0.262745098039216,0.141524265208476,0.118796992481203,0.118796992481203,0.118796992481203,-0.249279661016949,-0.306262626262626,-0.265635420179087,-0.0660658307210031,0.265529303390928,0.25,0.265789473684211,0.262218045112782,0.3,0.25,0.265789473684211,0.2,0.2,0.1,0.296969696969697,-0.1,0,0,-0.0445243543641713,-0.0954545454545455,-0.12
"SNAI2",0.322799511149554,0.295676219205631,0.281390504919917,0.271988795518207,0.252941176470588,0.326020137784844,0.278559727901364,0.309803921568627,0.2,0.276470588235294,0.108574442435202,0.0978412741199991,0.308572322178344,0.257069475677595,0.0877934272300469,0.294619858745326,0.274137931034483,0.225882352941176,0.25,0.25013605559109,0.294953292321713,0.22,0.2,0.278070175438596,0.265789473684211,0.250135226504395,0.553411730057801,0.315895741556535,0.315895741556535,-0.251153846153846,0.313741519132304,0.302325994018148,0.302325994018148,0.302325994018148,-0.335390239617183,-0.326775793367883,-0.339831626580958,-0.285400528072008,0.251088006345386,0.223585147247119,0.238023649920916,0.246429621252218,0.210909090909091,0.223585147247119,0.237563641870775,0.210909090909091,0.210909090909091,0.210909090909091,0.294841943933039,-0.1,-0.2,0.22,0.272232413228392,-0.240168067226891,-0.28324358974359
"Frizzled",0.208914414838527,0.232712215320911,0.203188405797101,0.146666666666667,0.1,0.164052287581699,0.112594893029676,0.119607843137255,0.0666666666666667,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.221512605042017,0.112966066191873,0.0566487775790101,0.161666666666667,0.136666666666667,0.0954545454545455,0.0866666666666667,0.137729500891266,0.214425770308123,0.05,0.0666666666666667,0.192857142857143,0.142857142857143,0.127272727272727,0.327675133253563,0.338861978019897,0.338861978019897,-0.300840336134454,0.15018568253131,0.141524265208476,0.141524265208476,0.141524265208476,-0.266105057842346,-0.342200126262626,-0.284982739526406,-0.0751567398119122,0.27743406529569,0.265789473684211,0.262218045112782,0.265529303390928,0.25,0.265789473684211,0.262218045112782,0.25,0.3,0.2,0.306272022551092,-0.1,0,0.1,-0.0410760785021023,-0.10974025974026,-0.141428571428571
"cateninnuc",0.334906301348924,0.30693317403873,0.295361121636984,0.276395604395604,0.254857142857143,0.331642852694793,0.288100505180966,0.317881384804885,0.288405797101449,0.302691511387164,0.11346310683006,0.100259870188929,0.222180619075943,0.168428215825809,0.0952121212121212,0.306920454545455,0.297545454545455,0.152422586520947,0.279545454545455,0.13838212845634,0.299963974258416,0.131111111111111,0.258333333333333,0.291327610622053,0.273885750156937,0.214805686637701,0.355958985746537,0.345903474117787,0.345903474117787,-0.275697295981993,0.312828202828203,0.306935946935947,0.306935946935947,0.306935946935947,-0.212657271423489,-0.354547027257742,-0.229070663363694,-0.277703572344407,0.0367428395456907,0.124251413664755,0.128203982834715,0.131633753657814,0.116642718012581,0.123109861153339,0.127078115121593,0.115501165501166,0.0988344988344988,0.0988344988344988,0.289653533536048,-0.233333333333333,-0.111111111111111,0.0757575757575758,0.250303203969186,-0.162981592732127,-0.310887191385951
"DSH",0.217139523063636,0.238635560268646,0.232712215320911,0.203188405797101,0.146666666666667,0.188864317656887,0.119261559696342,0.164052287581699,0.0666666666666667,0.119607843137255,0.072285295891119,0.0763983808235878,0.227186363907265,0.116033550854449,0.0631908336537765,0.172011494252874,0.161666666666667,0.10974025974026,0.136666666666667,0.142380663681963,0.219320875203228,0.0954545454545455,0.0866666666666667,0.214425770308123,0.192857142857143,0.151662971175166,0.340364306711071,0.360909222114385,0.360909222114385,-0.33287917108591,0.159989604099938,0.15018568253131,0.15018568253131,0.15018568253131,-0.281770546652711,-0.366590370165065,-0.29244542609357,-0.0823493152179447,0.288386870282333,0.262218045112782,0.265486018968991,0.27743406529569,0.265789473684211,0.262218045112782,0.265529303390928,0.265789473684211,0.25,0.25,0.311757254618603,-0.0666666666666667,-0.05,0.2,-0.0357325670517206,-0.112966066191873,-0.154715284715285
"RAF",0.293707633362806,0.317151757899422,0.267619047619048,0.22,0.2,0.227666911225238,0.217485592549095,0.187241379310345,0.17,0.17,0.159581881533101,0.156725110893631,0.354863339275104,0.205311475409836,0.153754813863928,0.156168831168831,0.110714285714286,0.14,0.0857142857142857,0.238226614924408,0.206565656565657,0.1,0.1,0.156565656565657,0.111111111111111,0.0613968253968254,0.586081774202949,0.372663797226208,0.372663797226208,-0.332663797226208,0.0763431013431013,0.0464285714285714,0.0464285714285714,0.0464285714285714,-0.360366416837005,-0.380952950808151,-0.366607907813539,-0.149330181245075,0.29222808796935,0.26,0.283076923076923,0.285866764814133,0.2,0.257894736842105,0.280971659919028,0.2,0.1,0.1,0.309610876699484,-0.1,-0.1,0,-0.011941849910696,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0.2,0,0.1,0.0666666666666667,0.1,0.175,0.253333333333333,0.0666666666666667,0.15,0.1,0.3,0,0.134285714285714,0.233333333333333,0.2,0,0.2,0.1,0.25,0.331264367816092,0.375,0.375,-0.3,0.288461538461538,0.25,0.25,0.25,-0.217491039426523,-0.383333333333333,-0.211111111111111,-0.256410256410256,0.166666666666667,0.2,0.2,0.133333333333333,0.2,0.1,0.1,0.1,0.2,0.1,0.247619047619048,0,-0.2,0,0.243376623376623,-0.333333333333333,-0.26
"PI3K",0.251049941927991,0.267274509803922,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.167725442834139,0.148179271708683,0.0666666666666667,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.255005713380624,0.126495726495726,0.0694917967186875,0.276018099547511,0.252941176470588,0.1,0.2,0.159210526315789,0.229652605459057,0.05,0.166666666666667,0.203846153846154,0.15,0.163461538461538,0.356471517077684,0.375508463573364,0.375508463573364,-0.336842105263158,0.194654806380834,0.17821645021645,0.17821645021645,0.17821645021645,-0.295879655898424,-0.376039526859199,-0.315235551317534,-0.168169793169793,0.308985360498781,0.285990338164251,0.290605722779636,0.296820412045173,0.255555555555556,0.285990338164251,0.290605722779636,0.255555555555556,0.2,0.2,0.327523809523809,-0.2,0,0.1,-0.0515529269032454,-0.115384615384615,-0.165481577246283
"ILK",0.251049941927991,0.267274509803922,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.167725442834139,0.148179271708683,0.0666666666666667,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.255005713380624,0.126495726495726,0.0694917967186875,0.276018099547511,0.252941176470588,0.1,0.2,0.159210526315789,0.229652605459057,0.05,0.166666666666667,0.203846153846154,0.15,0.163461538461538,0.356471517077684,0.375508463573364,0.375508463573364,-0.336842105263158,0.194654806380834,0.17821645021645,0.17821645021645,0.17821645021645,-0.295879655898424,-0.376039526859199,-0.315235551317534,-0.168169793169793,0.308985360498781,0.285990338164251,0.290605722779636,0.296820412045173,0.255555555555556,0.285990338164251,0.290605722779636,0.255555555555556,0.2,0.2,0.327523809523809,-0.2,0,0.1,-0.0515529269032454,-0.115384615384615,-0.165481577246283
"RAS",0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.315727554179567,0.306489675516224,0.286315789473684,0.26,0.26,0.161857707509881,0.158750773036487,0.36885979268958,0.192870056497175,0.156709956709957,0.212222222222222,0.173333333333333,0.116666666666667,0.166666666666667,0.251882515276956,0.277259185700099,0.1,0.2,0.226315789473684,0.2,0.0125541125541125,0.555557624706545,0.398696612665685,0.398696612665685,-0.356428571428571,0.147948717948718,0.205641025641026,0.205641025641026,0.205641025641026,-0.317427502261473,-0.407661538461538,-0.324143851655726,-0.21233850129199,0.346173810093299,0.276470588235294,0.326470588235294,0.340791373832675,0.2,0.276470588235294,0.32540675844806,0.2,0.1,0.1,0.341238471673254,-0.2,-0.1,0,-0.0531241699846351,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.368864468864469,0.389835554516406,0.343736263736264,0.301428571428571,0.271428571428571,0.359400959400959,0.354012793176972,0.323037323037323,0.276190476190476,0.30952380952381,0.261647727272727,0.259196932100158,0.389797101449275,0.296375445212655,0.252903225806452,0.338011695906433,0.304678362573099,0.233333333333333,0.288888888888889,0.342754657674679,0.391214419383433,0.2,0.3,0.347552447552448,0.309090909090909,-0.0272222222222222,0.61485430225431,0.400588972431078,0.400588972431078,-0.362017543859649,0.319665362885702,0.282485875706215,0.282485875706215,0.282485875706215,-0.395125931125931,-0.410651126415904,-0.402644670071893,-0.304352381294878,0.325842955547485,0.266666666666667,0.302898550724638,0.317238749046529,0.2,0.265217391304348,0.301449275362319,0.2,0.1,0.1,0.323514851485149,-0.2,-0.2,0,-0.0635834337176619,-0.268468468468469,-0.381834795321637
"AKT",0.265335656213705,0.279661216752562,0.267274509803922,0.233941176470588,0.177941176470588,0.219023845271663,0.181008650854189,0.192441566790651,0.0952380952380952,0.148179271708683,0.0875742731867506,0.0923497091765999,0.265709077294997,0.134916779127305,0.0798917967186875,0.191169614699026,0.276018099547511,0.115384615384615,0.252941176470588,0.167157546183339,0.240628215215155,0.1,0.2,0.229652605459057,0.203846153846154,0.192350427350427,0.371848401499795,0.402220792340488,0.402220792340488,-0.370175438596491,0.20838974613987,0.194654806380834,0.194654806380834,0.194654806380834,-0.31208760696876,-0.403847013490215,-0.325387066469049,-0.177847212524632,0.319754591268012,0.290605722779636,0.296750974176284,0.308985360498781,0.285990338164251,0.290605722779636,0.296820412045173,0.285990338164251,0.255555555555556,0.255555555555556,0.337993123603232,-0.166666666666667,-0.05,0.2,-0.045349452957836,-0.126495726495726,-0.184736235631376
"MEK",0.327040966696139,0.34853861921329,0.317151757899422,0.267619047619048,0.22,0.172666911225238,0.233511233574736,0.227666911225238,0.17,0.187241379310345,0.163218245169465,0.165950203144554,0.37134685575862,0.215115396978464,0.156725110893631,0.183227654698243,0.156168831168831,0.184,0.110714285714286,0.242324975580145,0.232113101821131,0.14,0.0857142857142857,0.206565656565657,0.156565656565657,0.0902857142857143,0.602626786368399,0.409171733734144,0.409171733734144,-0.369918699186992,0.0938034188034188,0.0763431013431013,0.0763431013431013,0.0763431013431013,-0.376463977812615,-0.417795056071308,-0.384822844061262,-0.163335095249989,0.302822883508383,0.283076923076923,0.287972027972028,0.29222808796935,0.26,0.280971659919028,0.285866764814133,0.257894736842105,0.2,0.2,0.326727993816601,-0.1,-0.1,0.1,-0.00587490430400143,-0.205311475409836,-0.25499778858912
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.415,0.373019670388091,0.385,0.3,0.325,0.204093567251462,0.197619047619048,0.357655677655678,0.177272727272727,0.183333333333333,0.26,0.266666666666667,0.15,0.2,0.194592074592075,0.24812030075188,0.1,0.2,0.242857142857143,0.2,-0.00238095238095239,0.446890886890887,0.420634920634921,0.420634920634921,-0.277777777777778,0.20952380952381,0.166666666666667,0.166666666666667,0.166666666666667,-0.143809523809524,-0.431699604743083,-0.234162414504397,-0.22797619047619,0.130226595110316,-0.05,0.0366666666666667,0.0994573643410853,-0.1,0.05,0.0366666666666667,0,0,0.1,-0.01,-0.1,-0.1,0.1,-0.151162283095056,-0.15,-0.423703703703704
"IKK",0.47997113997114,0.50410101010101,0.46010101010101,0.405555555555556,0.35,0.247746031746032,0.272413061916879,0.178857142857143,0.1,0.142857142857143,0.181940144478844,0.18578795379538,0.483398692810457,0.234533844189017,0.172916666666667,0.315637065637066,0.264285714285714,0.18,0.314285714285714,0.235279600124961,0.337518037518037,0.12,0.3,0.297835497835498,0.245454545454545,0.296008403361345,0.584722296833497,0.421418546365915,0.421418546365915,-0.363369963369963,0.331704199790394,0.306352087114338,0.306352087114338,0.306352087114338,-0.393901954656145,-0.425763656633222,-0.411942436797699,-0.184304029304029,0.313897498244205,0.278632478632479,0.292478632478632,0.302083152252644,0.255555555555556,0.278632478632479,0.292478632478632,0.255555555555556,0.2,0.2,0.335238095238095,-0.2,-0.1,0.1,0.0766114346041562,-0.220740740740741,-0.270765027322404
"Csn",0.238190061768595,0.257759278444634,0.24511011376683,0.206648575305292,0.145454545454545,0.241555735930736,0.1472344907016,0.209264069264069,0.106666666666667,0.161212121212121,0.0753737541528239,0.0823617387046469,0.254500545426212,0.123109160655432,0.0687370600414079,0.200966666666667,0.184166666666667,0.108513708513709,0.155,0.145565322962806,0.241457153957154,0.0873015873015873,0.105,0.230880230880231,0.201010101010101,0.166897267381529,0.378041471440857,0.433988420181969,0.433988420181969,-0.399880772821949,0.195536574750205,0.182676689913353,0.182676689913353,0.182676689913353,-0.312132658949986,-0.442523531558313,-0.321151015322263,-0.116122865362852,0.327331473301259,0.298905968702396,0.302836099706763,0.315124618220081,0.297701149425287,0.298905968702396,0.302905968702396,0.297701149425287,0.266666666666667,0.266666666666667,0.347636036355052,-0.18,-0.0428571428571429,0.2,0.0013435206009571,-0.118191127868547,-0.174205596758162
