"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0567905372676879,0.0255550205563169,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0516609226009516,0.0951209576902037,0.0625641025641026,0.0529267453857618,0.0534731934731935,0.00964317733548503,0.0137635756056809,0.0134126984126984,-0.11982880823179,0.0449802631010685,-0.0402003274155965,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.111877394636015,-0.185868055548433,0.0523809523809524,-0.0598730284697872,-0.0560654132393263,-0.0549784567175871,-0.0615627546709182,-0.203149190846705,0.192133863412772,0.192133863412772,0.216228224073246,-0.238378093854334,0.00169444957023522,0.00295231120545534,0.00295231120545534,0.00295231120545534,0.0533824850573242,-0.0885798450210056,-0.203803589903581,-0.18746044426402,-0.186139761851422,-0.186793093134657,-0.183346465762036,-0.18548545376783,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238894302737101,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.020297521790617,0.116540607071248,-0.121719625848595
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.111846180853043,0.1547184519461,0.153333333333333,0.117363422232353,0.131382113821138,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.153439770611902,0.101497584541063,-0.0370946197518206,0.104830917874396,0.109178743961353,-0.152930402930403,-0.157692307692308,-0.220035634166069,0.122222222222222,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,-0.252988588338008,0.245175501457021,0.245175501457021,0.250119559728888,-0.282350142242139,0.0667622309742845,0.069649370081896,0.069649370081896,0.069649370081896,0.0642910682081088,-0.170421160202625,-0.2593606087525,-0.240456802737101,-0.237208142308837,-0.238894302737101,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159630262233429,0.151144688644689,-0.178657587931781
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.119607843137255,0.104658385093168,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,-0.333534482758621,0.332581453634085,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.399832451499118,-0.0729623824451411,-0.306262626262626,0.327733763940051,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.164052287581699,0.118944099378882,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.24484593837535,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.16437091503268,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,-0.364724193369553,0.361248120300752,0.173449819968676,0.150615174299385,0.150615174299385,0.150615174299385,-0.434903541546512,-0.0929623824451411,-0.342200126262626,0.346964533170821,0.308270676691729,0.327733763940051,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00865094413051261,-0.10974025974026,-0.141428571428571
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,-0.592660505579354,0.460873586148506,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.672793373147922,-0.348106210167198,-0.362568172568173,0.395546429340606,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,-0.592660505579354,0.460873586148506,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.672793373147922,-0.348106210167198,-0.362568172568173,0.395546429340606,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"DSH",0.231314495378143,0.258798161894662,0.240331262939959,0.203188405797101,0.146666666666667,0.19187183645388,0.134886128364389,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0763983808235878,0.0631908336537765,0.13107412081289,0.176609195402299,0.261988795518207,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.17843341503268,0.0866666666666667,0.239751425045543,0.222268907563025,0.192857142857143,0.156541019955654,-0.33287917108591,0.364058828413597,0.364058828413597,-0.391931830601057,0.384268826756294,0.195139960813747,0.173449819968676,0.173449819968676,0.173449819968676,-0.462273845661002,-0.109978699461458,-0.369029394555309,0.364081650287938,0.327475974704974,0.346964533170821,0.308270676691729,0.327733763940051,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.363939843761714,-0.0666666666666667,-0.05,0.2,0.00363312496737606,-0.119417679095098,-0.16030969030969
"RAF",0.27525,0.295470085470085,0.246581196581197,0.207692307692308,0.2,0.215993031358885,0.203750389044507,0.17,0.184285714285714,0.17,0.159581881533101,0.154807445442875,0.153754813863928,0.193892339544513,0.145714285714286,0.326936026936027,0.105714285714286,0.0857142857142857,0.133333333333333,0.1,0.23724025974026,0.1,0.186842105263158,0.136842105263158,0.1,0.0380952380952381,-0.329411764705882,0.364895635673624,0.364895635673624,-0.376816910126648,0.3746534996535,0.0692264257481649,0.0279220779220779,0.0279220779220779,0.0279220779220779,-0.437005954747436,-0.136363636363636,-0.373870639164757,0.383932733932734,0.327179487179487,0.358608058608059,0.273333333333333,0.325274725274725,0.271428571428571,0.2,0.2,0.1,0.1,0.341016333938294,-0.1,-0.1,0,-0.00853209514499837,-0.172463768115942,-0.214022209674384
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.2,0.1,0,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,-0.299068100358423,0.365555555555556,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.173280998389694,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,-0.395317017629148,0.390044898647022,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.47010924547415,-0.18481240981241,-0.376039526859199,0.379844962975398,0.332612411742847,0.357183840314275,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0196311854642859,-0.115384615384615,-0.165481577246283
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.173280998389694,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,-0.395317017629148,0.390044898647022,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.47010924547415,-0.18481240981241,-0.376039526859199,0.379844962975398,0.332612411742847,0.357183840314275,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0196311854642859,-0.115384615384615,-0.165481577246283
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.37146790711633,0.2,0.349019607843137,0.288235294117647,0.116169379144063,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.448322008191805,0.326724137931034,0.275,0.301176470588235,0.26,0.401762028014479,0.2,0.41441672362725,0.376754385964912,0.332894736842105,0.323799864773496,-0.286538461538462,0.378588839941263,0.378588839941263,-0.637471215494354,0.707766747499982,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.80833522987685,-0.386470390385003,-0.386587993124707,0.44947920169572,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.355166666666667
"cateninnuc",0.395207420994306,0.378697062812708,0.358173045345459,0.331736263736264,0.299428571428571,0.375402090942628,0.338090145240852,0.297101449275362,0.353842457915105,0.327260179434092,0.124481847142868,0.111715903923271,0.103393939393939,0.217547714104253,0.345354166666667,0.324843037291738,0.328166666666667,0.304166666666667,0.18792349726776,0.163333333333333,0.248074598818217,0.270833333333333,0.375258358118035,0.356621994481671,0.332203389830509,0.260300632619561,-0.301618152507832,0.382946233909949,0.382946233909949,-0.409020756121062,0.456873513776362,0.388640046399103,0.372717552717553,0.372717552717553,0.372717552717553,-0.491534052503979,-0.338014655578426,-0.390226954822903,0.181586500682809,0.254886545716926,0.268704768311904,0.238054862548609,0.253926073638235,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395546429340606,-0.233333333333333,-0.133333333333333,0.160606060606061,0.319722999785733,-0.204693683603163,-0.350273978296311
"SOSGRB2",0.354366437006322,0.372695697428413,0.328433402346446,0.293650793650794,0.271428571428571,0.350634920634921,0.342322339150869,0.276190476190476,0.320634920634921,0.30952380952381,0.261647727272727,0.258012714857547,0.252903225806452,0.286201298701299,0.328888888888889,0.38364810330912,0.3,0.288888888888889,0.227272727272727,0.2,0.335860671487964,0.3,0.372370266479663,0.330434782608696,0.3,-0.04125,-0.359848484848485,0.395186830713146,0.395186830713146,-0.397136774318012,0.39238961038961,0.306645833333333,0.261333333333333,0.261333333333333,0.261333333333333,-0.459732845512039,-0.291701992141184,-0.405753903264549,0.406788671023965,0.337037037037037,0.376906318082789,0.277777777777778,0.335729847494553,0.276470588235294,0.2,0.2,0.1,0.1,0.34884246188594,-0.2,-0.2,0,-0.0714479280673146,-0.258701298701299,-0.372989045383412
"RAS",0.340249042145594,0.360723684210526,0.31125,0.28,0.26,0.314315789473684,0.301223083548665,0.26,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.188157894736842,0.21047619047619,0.364336750543647,0.173333333333333,0.166666666666667,0.116666666666667,0.1,0.25,0.2,0.270222222222222,0.222222222222222,0.2,0.00909090909090908,-0.356428571428571,0.397481203007519,0.397481203007519,-0.397730980838551,0.391880341880342,0.144246031746032,0.198412698412698,0.198412698412698,0.198412698412698,-0.466250069875342,-0.207072829131653,-0.40667292057536,0.40689900138176,0.336124031007752,0.377118437118437,0.273333333333333,0.335238095238095,0.273333333333333,0.2,0.2,0.1,0.1,0.346160483175151,-0.2,-0.1,0,-0.0467803504380476,-0.158333333333333,-0.390254901960784
"MEK",0.313874338624339,0.336698155645524,0.295470085470085,0.246581196581197,0.207692307692308,0.155798856601603,0.226651152403285,0.17,0.215993031358885,0.184285714285714,0.160552755319509,0.162007445442875,0.154807445442875,0.210310249992275,0.17038961038961,0.357909478263461,0.145714285714286,0.105714285714286,0.172463768115942,0.133333333333333,0.255686861682007,0.0857142857142857,0.221324863883848,0.186842105263158,0.136842105263158,0.0637362637362637,-0.363454317897372,0.399106161989414,0.399106161989414,-0.412585555484335,0.409514383450554,0.102829664614562,0.0692264257481649,0.0692264257481649,0.0692264257481649,-0.475962669508812,-0.16329862088376,-0.407884244606934,0.406037997090629,0.360512820512821,0.383932733932734,0.327179487179487,0.358608058608059,0.325274725274725,0.273333333333333,0.271428571428571,0.2,0.2,0.384211600210483,-0.1,-0.1,0.1,0.0113059615351636,-0.193892339544513,-0.241963386144972
"AKT",0.278358212604682,0.298249873938228,0.273778574844572,0.233941176470588,0.177941176470588,0.221555490841284,0.195586762800722,0.0952380952380952,0.192441566790651,0.148179271708683,0.0875742731867506,0.0923497091765999,0.0798917967186875,0.14889338731444,0.195210018739431,0.299893042729821,0.276018099547511,0.252941176470588,0.115384615384615,0.1,0.201912280701754,0.2,0.2592749500696,0.236104218362283,0.203846153846154,0.196794871794872,-0.370175438596491,0.404960518367885,0.404960518367885,-0.426657223814715,0.417432096968113,0.242745688333801,0.21635343651782,0.21635343651782,0.21635343651782,-0.502310017674922,-0.205055324792167,-0.40598605092337,0.399192282322717,0.356906197053581,0.379844962975398,0.332612411742847,0.357183840314275,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388406926406926,-0.166666666666667,-0.05,0.2,-0.00491796850667992,-0.132051282051282,-0.189705179730755
"CD44",0.376129032258064,0.367647058823529,0.35,0.3,0.2,0.415,0.369340016708438,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.173809523809524,0.26,0.343939393939394,0.266666666666667,0.2,0.15,0.1,0.178602150537634,0.2,0.242857142857143,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.420634920634921,0.420634920634921,-0.0987059279349089,0.163855063855064,0.190224358974359,0.158974358974359,0.158974358974359,0.158974358974359,-0.270313966257362,-0.212698412698413,-0.431699604743083,0.108807957038046,0.00256410256410255,0.0636752136752137,-0.0666666666666667,0.00256410256410255,0.0333333333333333,-0.1,0,0,0.1,-0.0470588235294118,-0.1,-0.1,0.1,-0.182535633908477,-0.15,-0.423703703703704
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.252190476190476,0.293560927339553,0.1,0.178857142857143,0.142857142857143,0.181940144478844,0.18578795379538,0.172916666666667,0.2557343550447,0.321042471042471,0.532941176470588,0.264285714285714,0.314285714285714,0.18,0.12,0.287413308341143,0.3,0.362914862914863,0.307359307359307,0.245454545454545,0.301890756302521,-0.363369963369963,0.425418546365915,0.425418546365915,-0.568675279522737,0.656067111795925,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,-0.681672008740058,-0.224505494505495,-0.428840579710145,0.438934351700309,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139265491747074,-0.228148148148148,-0.277322404371585
"ERK",0.340513682886634,0.364577955311634,0.336698155645524,0.295470085470085,0.246581196581197,0.187171405621211,0.247594286938653,0.184285714285714,0.155798856601603,0.215993031358885,0.169846435616907,0.171717837265703,0.162007445442875,0.225545707055987,0.191245225362872,0.382012042366025,0.17038961038961,0.145714285714286,0.193892339544513,0.172463768115942,0.272891162757276,0.105714285714286,0.246828219588546,0.221324863883848,0.186842105263158,0.0943244990303814,-0.39535086962151,0.42788314040668,0.42788314040668,-0.443337263912581,0.437410364538024,0.129800618971408,0.102829664614562,0.102829664614562,0.102829664614562,-0.50811456824299,-0.184218161113645,-0.437967810066544,0.425083550235965,0.385353584844031,0.406037997090629,0.360512820512821,0.383932733932734,0.358608058608059,0.327179487179487,0.325274725274725,0.273333333333333,0.271428571428571,0.415867784696857,-0.0857142857142857,-0.133333333333333,0.2,0.0267274174738609,-0.210310249992275,-0.266055795385896
