"","SNAI2","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","TWIST1","AKT","IKK","NFB","SMO","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","RAS","cateninmemb","RAF","PI3K","DELTA","miR200","GSK3","Ecadherin","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","AXIN2","STAT","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",-0.000214292905322806,0.0721421870812115,0.0445872804747116,0.0445872804747116,0.0374239566924767,0.0250151975683891,0.108007605573683,0.0616365904788723,0.0625641025641026,0.0582808857808858,0.0548717948717949,0.0104744399608448,0.0154414159078575,0.0139921405455386,-0.107535612599022,-0.0170770328230527,0.0537709695901301,0.055537754042427,0.0546031746031746,-0.103458895996209,-0.162648977191371,-0.107936507936508,0.0523809523809524,-0.0415048486797976,-0.0406198929275852,-0.0447619047619048,-0.0485776128633271,-0.20725251191863,0.199669963285018,0.199669963285018,0.0232153802137949,0.150054844239804,0.0217713368924953,0.0217713368924953,0.0217713368924953,-0.210864917253538,-0.105318699148752,-0.0464993041774172,-0.145806596358751,-0.146917113674774,-0.146364522187435,-0.145322580645161,-0.146107011457821,-0.14473086466883,-0.145322580645161,-0.145322580645161,-0.155,-0.204327428602525,-0.155,-0.0666666666666667,0.122222222222222,-0.175,-0.000332376980325901,0.105656698194012,-0.130933479887757
"AXIN2",-0.00155080659960296,0.119513217641505,0.0764853399383476,0.0706446319737459,0.0669409282700422,0.0783333333333333,0.163439074881698,0.115337687218703,0.153333333333333,0.118174566651327,0.131382113821138,0.0187481889307447,0.0184697381659142,0.0220841959972395,-0.144130023793607,-0.0192658881734512,0.105666138919336,0.106237567490764,0.109178743961353,-0.150375234521576,-0.20040446481623,-0.157692307692308,0.122222222222222,-0.041681181384554,-0.0453043697903511,-0.0481081081081081,-0.0720988716900442,-0.254019435663271,0.248406583015191,0.248406583015191,0.082383406481862,0.190674672680286,0.0810809462792571,0.0810809462792571,0.0810809462792571,-0.262208508495857,-0.182642985178677,-0.0479468817383593,-0.204167086539457,-0.205562690813504,-0.204327428602525,-0.20962173140391,-0.205177286959465,-0.20962173140391,-0.220512820512821,-0.220512820512821,-0.233333333333333,0.207767662008417,-0.233333333333333,-0.133333333333333,0.15,-0.233333333333333,0.175866616884219,0.14481967896602,-0.183275434541865
"Wnt",0.34,0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.104658385093168,0.119607843137255,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.221659125188537,0.136666666666667,0.0866666666666667,0.0666666666666667,0.05,0.150638836179633,0,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,0.149029550620738,-0.318823529411765,0.118796992481203,0.118796992481203,0.118796992481203,-0.306262626262626,-0.0715709728867624,-0.380761904761905,0.313643321852277,0.283333333333333,0.298717948717949,0.25,0.283333333333333,0.25,0.3,0.2,0.2,0.30846394984326,0.1,-0.1,0,0,-0.0280388471177945,-0.0954545454545455,-0.12
"Frizzled",0.379240506329114,0.212826863538938,0.239110735894189,0.203188405797101,0.146666666666667,0.1,0.117561610899619,0.164052287581699,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.117936981051735,0.240471006376656,0.161666666666667,0.136666666666667,0.0866666666666667,0.0954545454545455,0.158007257232265,0.05,0.0666666666666667,0.220857142857143,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,0.168701681768279,-0.346096256684492,0.149029550620738,0.149029550620738,0.149029550620738,-0.342200126262626,-0.0890709728867624,-0.415117732982764,0.329807705413921,0.298717948717949,0.313643321852277,0.283333333333333,0.298717948717949,0.283333333333333,0.25,0.25,0.3,0.334389875769186,0.2,-0.1,0,0.1,-0.0164241162396075,-0.10974025974026,-0.141428571428571
"HEY1",0.420091036414566,0.375019058509625,0.354276296383694,0.328139932747331,0.302766798418972,0.263636363636364,0.322205980343162,0.358383838383838,0.2,0.327272727272727,0.281818181818182,0.111306340718105,0.10430303030303,0.0906666666666667,0.307635557905604,0.387866479925303,0.332,0.3,0.26,0.260606060606061,0.321521739130435,0.233333333333333,0.2,0.357122608079376,0.329411764705882,0.3,0.268452380952381,-0.264529914529915,0.348707594926082,0.348707594926082,0.378553947276414,-0.54937588570443,0.358730158730159,0.358730158730159,0.358730158730159,-0.35740859639736,-0.328524312184098,-0.686313263681949,0.350432247491071,0.312426674449146,0.332825409884233,0.288831168831169,0.311558441558442,0.288831168831169,0.267619047619048,0.267619047619048,0.253333333333333,0.370565638233515,0.253333333333333,-0.1,-0.2,0.233333333333333,0.314968652473396,-0.284743991640543,-0.320696950108715
"FOXC2",0.420091036414566,0.375019058509625,0.354276296383694,0.328139932747331,0.302766798418972,0.263636363636364,0.322205980343162,0.358383838383838,0.2,0.327272727272727,0.281818181818182,0.111306340718105,0.10430303030303,0.0906666666666667,0.307635557905604,0.387866479925303,0.332,0.3,0.26,0.260606060606061,0.321521739130435,0.233333333333333,0.2,0.357122608079376,0.329411764705882,0.3,0.268452380952381,-0.264529914529915,0.348707594926082,0.348707594926082,0.378553947276414,-0.54937588570443,0.358730158730159,0.358730158730159,0.358730158730159,-0.35740859639736,-0.328524312184098,-0.686313263681949,0.350432247491071,0.312426674449146,0.332825409884233,0.288831168831169,0.311558441558442,0.288831168831169,0.267619047619048,0.267619047619048,0.253333333333333,0.370565638233515,0.253333333333333,-0.1,-0.2,0.233333333333333,0.314968652473396,-0.284743991640543,-0.320696950108715
"DSH",0.409189744907794,0.228382419094493,0.25463420159816,0.239110735894189,0.203188405797101,0.146666666666667,0.131252087090096,0.191325014854427,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0763983808235878,0.0631908336537765,0.127370943315886,0.254539447441295,0.17562015503876,0.161666666666667,0.136666666666667,0.10974025974026,0.169210576734339,0.0954545454545455,0.0866666666666667,0.235349896480331,0.220857142857143,0.192857142857143,0.155667789001122,-0.33287917108591,0.363465152623071,0.363465152623071,0.187507651917533,-0.370843000533985,0.168701681768279,0.168701681768279,0.168701681768279,-0.368580494360786,-0.103567287383077,-0.441096380669596,0.344939980546196,0.31342383107089,0.329807705413921,0.298717948717949,0.313643321852277,0.298717948717949,0.283333333333333,0.283333333333333,0.25,0.353459643211047,0.25,-0.0666666666666667,-0.05,0.2,-0.00672651457120292,-0.117936981051735,-0.159159067882472
"cateninnuc",0.441968747373903,0.368016014992759,0.346398863937166,0.327759408154853,0.304311132292784,0.277705627705628,0.315876414519374,0.35315200399038,0.293939393939394,0.336170871914908,0.316746411483254,0.119149996051901,0.105957089322559,0.0994955508610204,0.194531513313111,0.28634064278473,0.326575342465753,0.313333333333333,0.293333333333333,0.169444444444444,0.197469348844377,0.147222222222222,0.266666666666667,0.34215234683215,0.326243255923059,0.304863945578231,0.229961454667337,-0.291643719240684,0.367573712835057,0.367573712835057,0.355712147969172,-0.350955933150129,0.342364226743789,0.342364226743789,0.342364226743789,-0.375409721194373,-0.31035668141626,-0.50398130734973,0.121191106363185,0.198028198912582,0.209875632552709,0.182727652464495,0.196748631485474,0.181364016100858,0.162426900584795,0.161063264221159,0.137426900584795,0.350432247491071,0.137426900584795,-0.233333333333333,-0.125,0.111111111111111,0.285384994152453,-0.183937198067633,-0.333274364364546
"RAF",0.567673760838318,0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.22073762506942,0.227666911225238,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.372963412168991,0.156168831168831,0.110714285714286,0.0857142857142857,0.14,0.256983805668016,0.1,0.1,0.21041181041181,0.156565656565657,0.111111111111111,0.0613968253968254,-0.332663797226208,0.372663797226208,0.372663797226208,0.0935827216261999,-0.463322764860756,0.050974025974026,0.050974025974026,0.050974025974026,-0.380952950808151,-0.163442579269917,-0.525441733701341,0.364695146958305,0.318,0.344240601503759,0.27,0.316421052631579,0.268421052631579,0.2,0.2,0.1,0.336219336219336,0.1,-0.1,-0.1,0,0.0189815755765207,-0.184,-0.226050420168067
"SNAI2",0.853293845964003,0.414950776557558,0.397954522055181,0.367919186366135,0.331470588235294,0.276470588235294,0.360055372947879,0.389663865546218,0.2,0.348235294117647,0.288235294117647,0.116169379144063,0.11165383103217,0.0934272300469483,0.351388888888889,0.429203835380306,0.363461538461538,0.325,0.275,0.2975,0.376381766381766,0.26,0.2,0.400868945868946,0.369017094017094,0.330555555555556,0.316049382716049,-0.28525641025641,0.374682902080162,0.374682902080162,0.424572747759391,-0.605693504986669,0.400508576636396,0.400508576636396,0.400508576636396,-0.383191182186684,-0.370591627692821,-0.822398694575566,0.411666463938984,0.371094688776736,0.392423561730783,0.34780701754386,0.370565638233515,0.34780701754386,0.325,0.325,0.3,0.423353559009297,0.3,-0.1,-0.2,0.26,0.362863147651995,-0.326388888888889,-0.349507092198582
"SHH",0.271428571428571,0.35,0.44,0.4,0.3,0.2,0.283333333333333,0.3,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.192857142857143,0.15,0.1,0,0.3,0.153333333333333,0.2,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,0.3,-0.281428571428571,0.25,0.25,0.25,-0.383333333333333,-0.266666666666667,-0.353703703703704,0.216622458001768,0.233333333333333,0.171794871794872,0.2,0.133333333333333,0.1,0.2,0.1,0.2,0.266666666666667,0.1,0,-0.2,0,0.25875,-0.333333333333333,-0.26
"PI3K",0.413808203182017,0.254423679301728,0.2727841516772,0.233941176470588,0.177941176470588,0.125,0.172165974915516,0.192441566790651,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.130877573131094,0.273252623083132,0.276018099547511,0.252941176470588,0.2,0.1,0.178324132008343,0.05,0.166666666666667,0.23499369482976,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.212569902235556,-0.381206789300631,0.184910327767471,0.184910327767471,0.184910327767471,-0.376039526859199,-0.181709401709402,-0.455543196072997,0.365694604567169,0.325600264944527,0.346354981925659,0.301010101010101,0.325600264944527,0.301010101010101,0.255555555555556,0.255555555555556,0.2,0.354344685242518,0.2,-0.2,0,0.1,-0.0260532706489061,-0.115384615384615,-0.165481577246283
"ILK",0.413808203182017,0.254423679301728,0.2727841516772,0.233941176470588,0.177941176470588,0.125,0.172165974915516,0.192441566790651,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.130877573131094,0.273252623083132,0.276018099547511,0.252941176470588,0.2,0.1,0.178324132008343,0.05,0.166666666666667,0.23499369482976,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.212569902235556,-0.381206789300631,0.184910327767471,0.184910327767471,0.184910327767471,-0.376039526859199,-0.181709401709402,-0.455543196072997,0.365694604567169,0.325600264944527,0.346354981925659,0.301010101010101,0.325600264944527,0.301010101010101,0.255555555555556,0.255555555555556,0.2,0.354344685242518,0.2,-0.2,0,0.1,-0.0260532706489061,-0.115384615384615,-0.165481577246283
"RAS",0.548040293040293,0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.306489675516224,0.315727554179567,0.26,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.192870056497175,0.374739454094293,0.212222222222222,0.173333333333333,0.166666666666667,0.116666666666667,0.257934609250399,0.1,0.2,0.277259185700099,0.226315789473684,0.2,0.0125541125541125,-0.356428571428571,0.398696612665685,0.398696612665685,0.153213841175006,-0.39358234295416,0.205641025641026,0.205641025641026,0.205641025641026,-0.407661538461538,-0.216493055555556,-0.458803121085102,0.401746425299285,0.338172715894869,0.37604983087204,0.276470588235294,0.337340153452685,0.276470588235294,0.2,0.2,0.1,0.349465240641711,0.1,-0.2,-0.1,0,-0.0362396908860154,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.604012757751075,0.370573870573871,0.39267243394903,0.343736263736264,0.301428571428571,0.271428571428571,0.356393745557925,0.359400959400959,0.276190476190476,0.323037323037323,0.30952380952381,0.261647727272727,0.259196932100158,0.252903225806452,0.298701026608003,0.403196078431373,0.338011695906433,0.304678362573099,0.288888888888889,0.233333333333333,0.356221123815915,0.2,0.3,0.394031320791884,0.347552447552448,0.309090909090909,-0.0272222222222222,-0.362017543859649,0.400588972431078,0.400588972431078,0.332628952967936,-0.485945092912778,0.285875706214689,0.285875706214689,0.285875706214689,-0.410651126415904,-0.315163507989595,-0.549878573450758,0.3906598572709,0.330223880597015,0.365449773237287,0.275,0.329136924075276,0.273913043478261,0.2,0.2,0.1,0.344886363636364,0.1,-0.2,-0.2,0,-0.0384839175161756,-0.268468468468469,-0.381834795321637
"AKT",0.448895922480263,0.27596214084019,0.294902531739505,0.2727841516772,0.233941176470588,0.177941176470588,0.192678795428336,0.221103987172816,0.0952380952380952,0.192441566790651,0.148179271708683,0.0875742731867506,0.0923497091765999,0.0798917967186875,0.145931336571954,0.293773795721568,0.194385446486287,0.276018099547511,0.252941176470588,0.115384615384615,0.194521315106934,0.1,0.2,0.255748411810892,0.23499369482976,0.203846153846154,0.19604580812446,-0.370175438596491,0.404473980814744,0.404473980814744,0.23654949407229,-0.409635716981429,0.212569902235556,0.212569902235556,0.212569902235556,-0.405609419332317,-0.199756110838913,-0.486422541676269,0.382421877294441,0.346097159354465,0.365694604567169,0.325600264944527,0.346354981925659,0.325600264944527,0.301010101010101,0.301010101010101,0.255555555555556,0.380328937211022,0.255555555555556,-0.166666666666667,-0.05,0.2,-0.0139238905949977,-0.130877573131094,-0.188752017497855
"MEK",0.610112785228562,0.336915574846609,0.363112297878653,0.320890075656431,0.267619047619048,0.22,0.245412949744744,0.174333577891905,0.17,0.227666911225238,0.187241379310345,0.163218245169465,0.165950203144554,0.156725110893631,0.226470958636413,0.40300143498268,0.185580595874714,0.156168831168831,0.110714285714286,0.184,0.274077822762033,0.14,0.0857142857142857,0.246708106708107,0.21041181041181,0.156565656565657,0.0925079365079365,-0.369918699186992,0.410759035321446,0.410759035321446,0.126255988952933,-0.49520682283177,0.0935827216261999,0.0935827216261999,0.0935827216261999,-0.419033446164188,-0.189012199523082,-0.564363889389963,0.382857540120698,0.34581954887218,0.364695146958305,0.318,0.344240601503759,0.316421052631579,0.27,0.268421052631579,0.2,0.375266955266955,0.2,-0.1,-0.1,0.1,0.0355555466554973,-0.208590163934426,-0.257629367536488
"CD44",0.503888888888889,0.37875,0.372222222222222,0.35,0.3,0.2,0.373019670388091,0.415,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.351941391941392,0.26,0.266666666666667,0.2,0.15,0.188531468531469,0.1,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.420634920634921,0.420634920634921,0.203809523809524,-0.153781512605042,0.166666666666667,0.166666666666667,0.166666666666667,-0.431699604743083,-0.223809523809524,-0.297935222672065,0.138387096774194,0.0233333333333333,0.09,-0.05,0.0233333333333333,0.05,-0.1,0,0,-0.02,0.1,-0.1,-0.1,0.1,-0.157654776999835,-0.15,-0.423703703703704
"IKK",0.714431830954254,0.497414965986395,0.528541512687854,0.469191919191919,0.405555555555556,0.35,0.292614125753661,0.252190476190476,0.1,0.178857142857143,0.142857142857143,0.181940144478844,0.18578795379538,0.172916666666667,0.254463937621832,0.52957594521062,0.321042471042471,0.264285714285714,0.314285714285714,0.18,0.281658573984155,0.12,0.3,0.362198017036727,0.307359307359307,0.245454545454545,0.301890756302521,-0.363369963369963,0.425418546365915,0.425418546365915,0.377037037037037,-0.553148873642837,0.333333333333333,0.333333333333333,0.333333333333333,-0.428840579710145,-0.220910714285714,-0.673411651504137,0.419712441528461,0.368760828625235,0.395212441528461,0.329777777777778,0.368760828625235,0.329777777777778,0.277777777777778,0.277777777777778,0.2,0.398796441653585,0.2,-0.2,-0.1,0.1,0.130884913077044,-0.228148148148148,-0.277322404371585
"Csn",0.451657257381889,0.251620896212162,0.276918845575562,0.252103120759837,0.206648575305292,0.145454545454545,0.161966626798263,0.244342603295483,0.106666666666667,0.209264069264069,0.161212121212121,0.0753737541528239,0.0823617387046469,0.0687370600414079,0.136701811115127,0.288602297648614,0.205134408602151,0.184166666666667,0.155,0.108513708513709,0.178919373955043,0.0873015873015873,0.105,0.260624483500982,0.237852206273259,0.201010101010101,0.171446014303157,-0.399880772821949,0.436848054009344,0.436848054009344,0.231012775842044,-0.42275200849888,0.205809523809524,0.205809523809524,0.205809523809524,-0.444744027306992,-0.143724190554092,-0.497521826037373,0.400482792905987,0.362696041822255,0.38258506563326,0.342307692307692,0.363099771515613,0.342307692307692,0.316666666666667,0.316666666666667,0.266666666666667,0.398956320950856,0.266666666666667,-0.18,-0.0428571428571429,0.2,0.0404240684201636,-0.123731099818056,-0.179381686751545
