"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","HEY1","SMAD","ILK","SHH","TWIST1","SMO","FUS","NFB","Csn","Jagged","AKT","IKK","NOTCH","NOTCHic","Csl","EGR1","MEK","ERK","KLF4","cfos","ZEB2","ZEB1","SNAI2","cateninmemb","Ecadherin","GSK3","miR200","RAS","RAF","PI3K","DELTA","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP","SOSGRB2"
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.33671420000923,0.111306340718105,0.102260869565217,0.0906666666666667,0.324798387096774,0.412614379084967,0.266666666666667,0.233333333333333,0.26,0.2,0.354196538094589,0.332486772486772,0.302857142857143,0.372193557934198,0.342296650717703,0.305454545454545,0.2,0.286509730415128,0.268983957219251,-0.266666666666667,0.245454545454545,0.354514963880289,0.354514963880289,0.464333025702278,-0.592777865765671,-0.673504886266412,-0.346953472415037,-0.362568172568173,0.377801659125189,0.357948717948718,0.357948717948718,0.357948717948718,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.32459286745001,-0.0495425957690109
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.33671420000923,0.111306340718105,0.102260869565217,0.0906666666666667,0.324798387096774,0.412614379084967,0.266666666666667,0.233333333333333,0.26,0.2,0.354196538094589,0.332486772486772,0.302857142857143,0.372193557934198,0.342296650717703,0.305454545454545,0.2,0.286509730415128,0.268983957219251,-0.266666666666667,0.245454545454545,0.354514963880289,0.354514963880289,0.464333025702278,-0.592777865765671,-0.673504886266412,-0.346953472415037,-0.362568172568173,0.377801659125189,0.357948717948718,0.357948717948718,0.357948717948718,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.32459286745001,-0.0495425957690109
"DSH",0.229582893646541,0.257404433671666,0.240331262939959,0.203188405797101,0.146666666666667,0.129392684610076,0.0662755907772705,0.0698780591543855,0.0566705119845741,0.126621320496246,0.261157995112939,0.10974025974026,0.0954545454545455,0.124166666666667,0.0866666666666667,0.176304201384571,0.157859195402299,0.142916666666667,0.227496523084758,0.210014005602241,0.18452380952381,-0.02,0.092478909692532,0.073681917211329,-0.33287917108591,0.0329411764705882,0.362484025263991,0.362484025263991,0.388747664398191,-0.394210933719678,-0.46380977099344,-0.104491256270199,-0.367809882360187,0.156544588976758,0.138897530153228,0.138897530153228,0.138897530153228,0.365808492263784,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00569103520278023,-0.116191872643486,-0.145607725607726,-0.0917220990391722
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.22073762506942,0.159581881533101,0.152764714854027,0.153754813863928,0.208590163934426,0.374004753416518,0.14,0.1,0.0857142857142857,0.1,0.258543536260005,0.144047619047619,0.110714285714286,0.202719502719503,0.156565656565657,0.111111111111111,0.17,0.0984666177549523,0.066551724137931,-0.332663797226208,0.07,0.372663797226208,0.372663797226208,0.623057061257796,-0.474936280818634,-0.543314330360812,-0.161544523246651,-0.380952950808151,0.0523559773559774,0.00876623376623377,0.00876623376623377,0.00876623376623377,0.377496836898203,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.218207282913165,-0.23231746031746
"SHH",0.35,0.44,0.4,0.3,0.2,0.283333333333333,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.2,0.3,0.2,0,0,0.162857142857143,0.15,0.1,0.233333333333333,0.2,0.1,0,0.16,0.1,-0.3,0.1,0.375,0.375,0.36727969348659,-0.299068100358423,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.238461538461538,0.2,0.2,0.2,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26,-0.2
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.170503220611916,0.0710187333938721,0.0726101640656262,0.0654101640656262,0.129273504273504,0.276816119652898,0.1,0.05,0.2,0.166666666666667,0.181491228070175,0.253996983408748,0.241176470588235,0.221960297766749,0.196153846153846,0.15,0,0.0840887174541948,0.0529411764705882,-0.336842105263158,0,0.375508463573364,0.375508463573364,0.392253858738652,-0.396875422177051,-0.471674744749634,-0.178607503607504,-0.376039526859199,0.170860463737176,0.143463203463203,0.143463203463203,0.143463203463203,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0187976530388127,-0.115384615384615,-0.151906916612799,-0.0869230769230769
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.170503220611916,0.0710187333938721,0.0726101640656262,0.0654101640656262,0.129273504273504,0.276816119652898,0.1,0.05,0.2,0.166666666666667,0.181491228070175,0.253996983408748,0.241176470588235,0.221960297766749,0.196153846153846,0.15,0,0.0840887174541948,0.0529411764705882,-0.336842105263158,0,0.375508463573364,0.375508463573364,0.392253858738652,-0.396875422177051,-0.471674744749634,-0.178607503607504,-0.376039526859199,0.170860463737176,0.143463203463203,0.143463203463203,0.143463203463203,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0187976530388127,-0.115384615384615,-0.151906916612799,-0.0869230769230769
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.37146790711633,0.116169379144063,0.110173641530202,0.0934272300469483,0.365447812927988,0.448322008191805,0.301176470588235,0.26,0.275,0.2,0.401762028014479,0.364073535521396,0.326724137931034,0.411819321029847,0.376754385964912,0.332894736842105,0.2,0.32628510863805,0.301960784313725,-0.286538461538462,0.264705882352941,0.378588839941263,0.378588839941263,0.710377886140621,-0.63753975365315,-0.808795441395151,-0.385748368724354,-0.386587993124707,0.422434750433269,0.399147079200392,0.399147079200392,0.399147079200392,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.3525,-0.00324543610547666
"cateninnuc",0.394114524819443,0.377823700367293,0.358173045345459,0.331736263736264,0.299428571428571,0.334588406797457,0.118902024682673,0.104351647443053,0.0973939393939394,0.214191782359574,0.32406166320178,0.18792349726776,0.163333333333333,0.292045454545455,0.270833333333333,0.246201411508901,0.325326704545455,0.312045454545455,0.36388038843301,0.347516752069373,0.325423728813559,0.21304347826087,0.260078002208644,0.246316534318736,-0.301618152507832,0.227329192546584,0.381875283441408,0.381875283441408,0.461454003324406,-0.409988664980347,-0.492608743909765,-0.334145690908077,-0.389374984641859,0.357823472823473,0.34452380952381,0.34452380952381,0.34452380952381,0.182258981443307,0.255050909979439,0.269251524939579,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.320609038356832,-0.202209211553474,-0.337559397591656,-0.127626688588344
"RAS",0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.306489675516224,0.161857707509881,0.156709956709957,0.156709956709957,0.192870056497175,0.375242771412984,0.116666666666667,0.1,0.166666666666667,0.2,0.258624088310664,0.206666666666667,0.173333333333333,0.273485600794439,0.226315789473684,0.2,0.26,0.222409700722394,0.208684210526316,-0.356428571428571,0.235,0.398696612665685,0.398696612665685,0.57561180485554,-0.400410502033264,-0.47119473173547,-0.215439276485788,-0.407661538461538,0.108974358974359,0.166666666666667,0.166666666666667,0.166666666666667,0.410022792164208,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0340659026705538,-0.160666666666667,-0.388849056603774,-0.260606060606061
"SOSGRB2",0.370573870573871,0.39267243394903,0.343736263736264,0.301428571428571,0.271428571428571,0.356393745557925,0.261647727272727,0.256399729302955,0.252903225806452,0.298701026608003,0.403942028985507,0.233333333333333,0.2,0.288888888888889,0.3,0.357215265481102,0.329678362573099,0.304678362573099,0.388397517974983,0.347552447552448,0.309090909090909,0.276190476190476,0.272122772122772,0.256971256971257,-0.362017543859649,0.265079365079365,0.400588972431078,0.400588972431078,0.64444151907795,-0.494195273195273,-0.563557925110508,-0.313702544922741,-0.410651126415904,0.29111980298421,0.250094161958569,0.250094161958569,0.250094161958569,0.400453903067587,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,-0.2,0,-0.0356106235300866,-0.268468468468469,-0.376571637426901,-0.391944444444444
"AKT",0.276854453206186,0.297041414723726,0.273778574844572,0.233941176470588,0.177941176470588,0.189801466225951,0.0807931694840977,0.0850680765235387,0.0726101640656262,0.144010346378767,0.299140278674305,0.115384615384615,0.1,0.241176470588235,0.2,0.199372022772162,0.173188902600667,0.253996983408748,0.245131029474066,0.221960297766749,0.196153846153846,0,0.103076059226347,0.0840887174541948,-0.370175438596491,0.0529411764705882,0.403590655354186,0.403590655354186,0.419892049693426,-0.428373893125064,-0.503189896264785,-0.198768793930084,-0.404916532206793,0.19278817458055,0.170860463737176,0.170860463737176,0.170860463737176,0.40056587885934,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00299947272450338,-0.129273504273504,-0.173646047047582,-0.115811965811966
"MEK",0.33744792537896,0.363955769087088,0.320890075656431,0.267619047619048,0.22,0.243814548146343,0.159581881533101,0.159775784964728,0.152764714854027,0.224930033215472,0.406605486017251,0.184,0.14,0.110714285714286,0.0857142857142857,0.277395995276398,0.16640056022409,0.144047619047619,0.23556621804797,0.202719502719503,0.156565656565657,0.07,0.035133284421619,0.0984666177549523,-0.369918699186992,0.066551724137931,0.410759035321446,0.410759035321446,0.656633703593562,-0.51249725642839,-0.584297936918189,-0.186851648553776,-0.419033446164188,0.0856893106893107,0.0523559773559774,0.0523559773559774,0.0523559773559774,0.400545164035749,0.352867132867133,0.377496836898203,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0432101996835064,-0.208590163934426,-0.245838861860534,-0.238984126984127
"TGF",0.367406832298137,0.391507936507936,0.445079365079365,0.402222222222222,0.38,0.277927527018436,0.111798839458414,0.112825024437928,0.111212121212121,0.166659482758621,0.34037037037037,0.12,0.0866666666666667,-0.00833333333333333,-0.0333333333333333,0.210382916053019,0.0270050125313283,0.00595238095238095,0.0811494252873563,0.0466666666666667,0.00666666666666667,-0.166666666666667,-0.152882205513784,-0.186215538847118,-0.385736079328757,-0.180952380952381,0.420281533874211,0.420281533874211,0.256403626888827,-0.417530599874049,-0.456223627998686,-0.0577734290063057,-0.428062119872465,0.0595238095238095,0.0184523809523809,0.0184523809523809,0.0184523809523809,0.339628960909994,0.295849056603774,0.319533267130089,0.26,0.295849056603774,0.26,0.2,0.2,0.1,0.1,0.31957671957672,0,-0.0666666666666667,0,0.238905189471789,-0.151034482758621,-0.148917748917749,-0.139473684210526
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.373019670388091,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.351941391941392,0.15,0.1,0.2,0.2,0.188531468531469,0.26,0.266666666666667,0.24812030075188,0.242857142857143,0.2,0.3,0.365,0.365,-0.277777777777778,0.325,0.420634920634921,0.420634920634921,0.439156399156399,-0.144450549450549,-0.283107697318424,-0.223809523809524,-0.431699604743083,0.172380952380952,0.152380952380952,0.152380952380952,0.152380952380952,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.423703703703704,-0.29047619047619
"IKK",0.493766233766234,0.525991919191919,0.469191919191919,0.405555555555556,0.35,0.283100084817642,0.17141382868937,0.168736248624862,0.161805555555556,0.248326947637292,0.529607843137255,0.18,0.12,0.285714285714286,0.3,0.282867853795689,0.276254826254826,0.235714285714286,0.335209235209235,0.289177489177489,0.227272727272727,0.05,0.0826984126984127,0.0271428571428571,-0.363369963369963,0.00714285714285715,0.421418546365915,0.421418546365915,0.652981018891575,-0.568697373390111,-0.680067589282468,-0.210897435897436,-0.425763656633222,0.281757453371165,0.239503932244404,0.239503932244404,0.239503932244404,0.438686573623282,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.141410662309165,-0.220740740740741,-0.244262295081967,-0.217857142857143
