"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","ERK","EGR1","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","SMO","NFB","FUS","Jagged","NOTCH","Csn","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","Ecadherin","GSK3","miR200","cateninnuc","GLI","RAS","TCFLEF","Wnt","RAF","PI3K","DELTA","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0469476127623019,0.0176340931369902,0.0206953176267861,0.0209677971908188,0.0188095238095238,0.0847836736779379,0.0150974890787142,0.0170258637343616,0.0308270676691729,0.0206229860365199,-0.00204685051044182,0.00684093851827489,0.00708969473718036,-0.123996810996243,-0.129625427323883,-0.0476990520523182,-0.124259573665346,-0.116528640441684,-0.118996415770609,-0.115079365079365,-0.188987694336056,-0.204300811094881,-0.122222222222222,-0.200103280230683,-0.198089857411891,-0.0553596413669009,-0.194064982459861,0.181874419409483,0.181874419409483,-0.23988806129176,0.219002181677058,0.0582598260200857,-0.0774315062559465,-0.193563512010756,-0.190150800358571,-0.187229542313864,-0.209771370321829,-0.188666811813921,-0.18385875579701,-0.207936507936508,-0.207936507936508,-0.207936507936508,-0.18657767532367,-0.183376168732333,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.239695442301402,0.133333333333333,0.122222222222222,-0.188888888888889,-0.0184931484424044,0.12078395959062,-0.0970351138960672
"AXIN2",0.10176499032882,0.0575172596505992,0.0592237442922374,0.0633333333333333,0.0783333333333333,0.143361908974463,0.0659766855317467,0.0738107869142352,0.113333333333333,0.0891954022988506,0.00498346560846561,0.0110243820928394,0.0149909791700836,-0.157937847060453,-0.161025641025641,-0.0445368743351224,-0.157692307692308,-0.155253283302064,-0.157692307692308,-0.157692307692308,-0.222916970805531,-0.246840889482619,-0.15,-0.245993431855501,-0.247142857142857,-0.0637218045112782,-0.248493310063991,0.237603105189312,0.237603105189312,-0.281773170887588,0.251081481257524,0.0670452521800284,-0.159605405112964,-0.25218013325839,-0.241929345060929,-0.237527567739863,-0.256694108804593,-0.239695442301402,-0.235950280673617,-0.253601325299439,-0.253601325299439,-0.253601325299439,-0.237216103458427,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.181830690537084,0.1,0.15,-0.233333333333333,0.162031848608414,0.155253283302064,-0.155374273209984
"Wnt",0.164848484848485,0.194076655052265,0.142857142857143,0.1,0.1,0.0953119232189,0.164285714285714,0.114285714285714,0.1,0.1,0.0506410256410256,0.0506410256410256,0.0506410256410256,0.104285714285714,0.0954545454545455,0.212612612612613,0.05,0.05,0,0,0.149583333333333,0.147368421052632,0,0.1,0.0333333333333333,0.12,-0.258333333333333,0.293468468468468,0.293468468468468,0.335121275121275,-0.332934782608696,-0.396818181818182,-0.0730637915543576,-0.296233918128655,0.325209452201933,0.286842105263158,0.276363636363636,0.306842105263158,0.25,0.24,0.24,0.24,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,0,0,0,-0.0106027480047637,-0.09,-0.0928571428571429
"Frizzled",0.202348484848485,0.231450392426002,0.194076655052265,0.142857142857143,0.1,0.114277440460279,0.204285714285714,0.164285714285714,0.1,0.114285714285714,0.0529666070363745,0.0580094466936572,0.0506410256410256,0.116150121065375,0.108498023715415,0.236612612612613,0.0954545454545455,0.09,0.05,0.05,0.161162280701754,0.171177944862155,0,0.147368421052632,0.1,0.151034482758621,-0.289912280701754,0.326801801801802,0.326801801801802,0.361611341346441,-0.361838437093745,-0.429657687991021,-0.0928006336596207,-0.329567251461988,0.343119899963127,0.306842105263158,0.298751696065129,0.325209452201933,0.286842105263158,0.276363636363636,0.276363636363636,0.276363636363636,0.306842105263158,0.286842105263158,0.25,0.25,0.3,0.2,0.339714795008913,0,0,0.1,0.002895874584768,-0.104285714285714,-0.120857142857143
"DSH",0.223644781144781,0.252483602758106,0.231450392426002,0.194076655052265,0.142857142857143,0.130996683362487,0.234978783592645,0.204285714285714,0.114285714285714,0.164285714285714,0.0638576961452854,0.0693065178233643,0.0580094466936572,0.128150121065375,0.121401249521867,0.255713736208118,0.108498023715415,0.104285714285714,0.0954545454545455,0.09,0.175211867478614,0.187417261101472,0.05,0.171177944862155,0.147368421052632,0.181590038314176,-0.320438596491228,0.352982059312531,0.352982059312531,0.383915262915068,-0.387241163239966,-0.456405125083286,-0.107726006793949,-0.357381820998412,0.359086286517749,0.324962910632285,0.320490826499912,0.343119899963127,0.306842105263158,0.298751696065129,0.298751696065129,0.298751696065129,0.325209452201933,0.306842105263158,0.286842105263158,0.286842105263158,0.25,0.25,0.362128588112361,0,-0.05,0.2,0.0144727208921532,-0.116150121065375,-0.142732142857143
"HEY1",0.389770434331706,0.373322638146168,0.340969696969697,0.307636363636364,0.263636363636364,0.33435779997631,0.363588263588264,0.325925925925926,0.2,0.277777777777778,0.108561915332171,0.10235094037615,0.0891156462585034,0.324003623188406,0.315079365079365,0.411925192519252,0.276190476190476,0.266666666666667,0.233333333333333,0.233333333333333,0.353745688131544,0.352994419490949,0.2,0.318817204301075,0.283333333333333,0.291456582633053,-0.266666666666667,0.354122841189456,0.354122841189456,0.464351005558461,-0.592777865765671,-0.673337617420235,-0.34423114448549,-0.362258592471358,0.395546429340606,0.353897196408636,0.386284372904091,0.376344434328137,0.326310989512084,0.35952380952381,0.35952380952381,0.35952380952381,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342925058648016,-0.297916666666667,-0.325153793574846
"FOXC2",0.389770434331706,0.373322638146168,0.340969696969697,0.307636363636364,0.263636363636364,0.33435779997631,0.363588263588264,0.325925925925926,0.2,0.277777777777778,0.108561915332171,0.10235094037615,0.0891156462585034,0.324003623188406,0.315079365079365,0.411925192519252,0.276190476190476,0.266666666666667,0.233333333333333,0.233333333333333,0.353745688131544,0.352994419490949,0.2,0.318817204301075,0.283333333333333,0.291456582633053,-0.266666666666667,0.354122841189456,0.354122841189456,0.464351005558461,-0.592777865765671,-0.673337617420235,-0.34423114448549,-0.362258592471358,0.395546429340606,0.353897196408636,0.386284372904091,0.376344434328137,0.326310989512084,0.35952380952381,0.35952380952381,0.35952380952381,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342925058648016,-0.297916666666667,-0.325153793574846
"PI3K",0.245440729483283,0.266282051282051,0.226111111111111,0.175,0.125,0.167080937638213,0.233478260869565,0.19,0.1,0.14,0.066906762705082,0.0758464255267324,0.0651321398124467,0.129679740549306,0.217241379310345,0.269899480364597,0.2,0.0954545454545455,0.15,0.05,0.180959595959596,0.183150183150183,0.1,0.152380952380952,0.1,0.192380952380952,-0.328030303030303,0.365780989639933,0.365780989639933,0.390390001914447,-0.393091076763359,-0.466098034534893,-0.179887445887446,-0.366092980858135,0.376833473470971,0.331506642512077,0.326923076923077,0.355206064477395,0.303381642512077,0.296153846153846,0.296153846153846,0.296153846153846,0.331506642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358326118326118,-0.1,0,0.1,-0.0086967418546366,-0.110839160839161,-0.152792562628628
"ILK",0.245440729483283,0.266282051282051,0.226111111111111,0.175,0.125,0.167080937638213,0.233478260869565,0.19,0.1,0.14,0.066906762705082,0.0758464255267324,0.0651321398124467,0.129679740549306,0.217241379310345,0.269899480364597,0.2,0.0954545454545455,0.15,0.05,0.180959595959596,0.183150183150183,0.1,0.152380952380952,0.1,0.192380952380952,-0.328030303030303,0.365780989639933,0.365780989639933,0.390390001914447,-0.393091076763359,-0.466098034534893,-0.179887445887446,-0.366092980858135,0.376833473470971,0.331506642512077,0.326923076923077,0.355206064477395,0.303381642512077,0.296153846153846,0.296153846153846,0.296153846153846,0.331506642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358326118326118,-0.1,0,0.1,-0.0086967418546366,-0.110839160839161,-0.152792562628628
"RAF",0.291176628249799,0.317321855571497,0.266341463414634,0.22,0.2,0.215454545454545,0.248405797101449,0.208405797101449,0.153333333333333,0.186666666666667,0.151561831407788,0.153742879265527,0.149661246612466,0.206256830601093,0.0794871794871795,0.369794891640867,0.0333333333333333,0.14,0,0.1,0.257121061153319,0.136111111111111,0,0.0805555555555556,0.025,0.0777777777777778,-0.331078431372549,0.368578431372549,0.368578431372549,0.62292349482615,-0.474379754577774,-0.541488350534437,-0.157440887286089,-0.377271115980793,0.376265290294058,0.32,0.156031746031746,0.350815418828762,0.27,0.11,0.11,0.11,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,0,-0.1,0,0.0289410162487086,-0.181666666666667,-0.216141274698166
"SHH",0.35,0.44,0.4,0.3,0.2,0.283333333333333,0.3,0.2,0,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.133333333333333,0.2,0.1,0.3,0,0.2,0.162857142857143,0.22,0,0.2,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.204761904761905,0.196666666666667,0.2,0.133333333333333,0.133333333333333,0.133333333333333,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"SNAI2",0.42524388063308,0.411319332429833,0.375493787258493,0.333613445378151,0.276470588235294,0.369841897233202,0.39245260733479,0.346689895470383,0.2,0.285714285714286,0.114393939393939,0.109856680536292,0.0923809523809524,0.364948362323653,0.349186602870813,0.44790275353342,0.307368421052632,0.301176470588235,0.26,0.26,0.401482358753778,0.398362039851402,0.2,0.361854103343465,0.321428571428571,0.332251082251082,-0.286538461538462,0.378351032448378,0.378351032448378,0.710342156495678,-0.63753975365315,-0.808697355889322,-0.383284901560764,-0.386402543409146,0.44947920169572,0.402974962071897,0.430845688838016,0.427956280172798,0.373563197366014,0.399541341011929,0.399541341011929,0.399541341011929,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.386421623765634,-0.335870348139256,-0.352615498254096
"cateninnuc",0.392089025592865,0.376224530645803,0.356357715995415,0.331211517165006,0.299428571428571,0.334097886511962,0.373800028526601,0.352162601626016,0.293333333333333,0.325333333333333,0.117874634111516,0.10786188131145,0.0998223890688545,0.215748525073746,0.219634812948246,0.322285531452641,0.204206241519674,0.186666666666667,0.181818181818182,0.163333333333333,0.247039021996211,0.331543826473387,0.145454545454545,0.313437976891214,0.28969696969697,0.275178391724971,-0.299681065616059,0.380172882843352,0.380172882843352,0.462224276144483,-0.409404234582677,-0.491908094074217,-0.333691157191471,-0.387546232488312,0.181592018134694,0.254886545716926,0.285957525620447,0.26876865234888,0.238054862548609,0.268461538461538,0.268461538461538,0.268461538461538,0.253926073638235,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395546429340606,-0.1,-0.133333333333333,0.160606060606061,0.321652313880643,-0.202916666666667,-0.343567767653759
"RAS",0.338838785735337,0.36280701754386,0.313333333333333,0.28,0.26,0.297439804206207,0.337142857142857,0.307142857142857,0.25,0.264285714285714,0.151948051948052,0.154443925778971,0.151286031042129,0.189367816091954,0.157407407407407,0.369841077032088,0.116666666666667,0.116666666666667,0.1,0.1,0.256654381654382,0.225378787878788,0.1,0.170833333333333,0.133333333333333,0.0438095238095238,-0.354761904761905,0.393892339544513,0.393892339544513,0.574550230509752,-0.399857127767802,-0.469120422065559,-0.209181727363546,-0.403389355742297,0.408568332040284,0.338970588235294,0.200514028699936,0.379257987212698,0.276470588235294,0.245341614906832,0.245341614906832,0.245341614906832,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0246774677467747,-0.158333333333333,-0.373524844720497
"AKT",0.271840729483283,0.293033643638739,0.266282051282051,0.226111111111111,0.175,0.189907024594735,0.266265146115467,0.233478260869565,0.14,0.19,0.0804660847389803,0.0865475325378025,0.0758464255267324,0.14672519509476,0.136685823754789,0.294415609396855,0.217241379310345,0.110839160839161,0.2,0.0954545454545455,0.199556087187666,0.206679594914889,0.15,0.183150183150183,0.152380952380952,0.227380952380952,-0.360140394773422,0.396151360010304,0.396151360010304,0.417414186982796,-0.423016529372518,-0.49804691632403,-0.199027230833682,-0.396928715728452,0.395197547248036,0.354935213940649,0.352268699042893,0.376833473470971,0.331506642512077,0.326923076923077,0.326923076923077,0.326923076923077,0.355206064477395,0.331506642512077,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.387002588914354,-0.1,-0.05,0.2,0.00568740973881733,-0.129679740549306,-0.179689114352766
"SOSGRB2",0.366009516009516,0.389271708683473,0.342605042016807,0.301428571428571,0.271428571428571,0.349396135265701,0.356931216931217,0.316190476190476,0.253333333333333,0.296190476190476,0.253509286412512,0.255191609290295,0.24871678914641,0.296078431372549,0.251127819548872,0.399868421052632,0.214285714285714,0.233333333333333,0.185714285714286,0.2,0.355633484162896,0.314311735623211,0.2,0.263492063492063,0.211111111111111,-0.00392156862745099,-0.360952380952381,0.397248677248677,0.397248677248677,0.643975572391722,-0.493819424799623,-0.562099645056968,-0.30685347985348,-0.407730158730159,0.399460951634865,0.331521739130435,0.165988372093023,0.370117322291235,0.275,0.1125,0.1125,0.1125,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.1,-0.2,0,-0.0289234296603987,-0.266666666666667,-0.3696918767507
"MEK",0.332843294916466,0.360605437661049,0.317321855571497,0.266341463414634,0.22,0.24321374277896,0.194239130434783,0.248405797101449,0.186666666666667,0.208405797101449,0.157222208766278,0.163117879265527,0.153742879265527,0.226256830601093,0.103729603729604,0.403376981193106,0.0794871794871795,0.181666666666667,0.0333333333333333,0.14,0.277954394486653,0.171704331450094,0,0.136111111111111,0.0805555555555556,0.110307898259705,-0.365772308923569,0.406283349405336,0.406283349405336,0.657251853035105,-0.510856181376782,-0.582084253700173,-0.185461452838788,-0.414450603160281,0.398571528479313,0.352394366197183,0.190915466961979,0.376265290294058,0.32,0.156031746031746,0.156031746031746,0.156031746031746,0.350815418828762,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379352896627655,0,-0.1,0.1,0.0486428266853433,-0.206256830601093,-0.250407008963901
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.371222630218958,0.393697478991597,0.364285714285714,0.3,0.314285714285714,0.204093567251462,0.195833333333333,0.183333333333333,0.177272727272727,0.133333333333333,0.351941391941392,0.15,0.15,0.1,0.1,0.188531468531469,0.12,0.2,0.12,0.1,0.0064102564102564,-0.277777777777778,0.420634920634921,0.420634920634921,0.438744113029827,-0.144450549450549,-0.283107697318424,-0.212698412698413,-0.431699604743083,0.132277877161598,0.0233333333333333,0.0112781954887218,0.0861240310077519,-0.05,-0.0571428571428571,-0.0571428571428571,-0.0571428571428571,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.157654776999835,-0.15,-0.42
"IKK",0.494588473687347,0.526679586563307,0.468346253229974,0.405555555555556,0.35,0.291115196078431,0.281746031746032,0.20952380952381,0.1,0.166666666666667,0.174509803921569,0.18328081232493,0.168995098039216,0.253740053050398,0.243333333333333,0.529884130157728,0.193333333333333,0.18,0.233333333333333,0.12,0.286144809398226,0.280272904483431,0.2,0.228421052631579,0.16,0.314393939393939,-0.362155388471178,0.422530566280566,0.422530566280566,0.659255765199162,-0.568821694737188,-0.68152496249716,-0.226600633665851,-0.426177777777778,0.438555563821521,0.376239316239316,0.377922077922078,0.409193861693862,0.331623931623932,0.327272727272727,0.327272727272727,0.327272727272727,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.1,-0.1,0.1,0.143494430052904,-0.226153846153846,-0.271563936579416
"Csn",0.249474127118987,0.276620583717358,0.247588325652842,0.200921658986175,0.142857142857143,0.162642857142857,0.28445837351334,0.247203471552555,0.15,0.202941176470588,0.0708649840725312,0.0785614459555987,0.0661647517407227,0.138175027586792,0.127424052721166,0.291745955798587,0.109144482828693,0.105245734657499,0.0902255639097744,0.0840336134453781,0.185029757029757,0.191600614439324,0.0428571428571429,0.168172043010753,0.134838709677419,0.186507936507936,-0.392914085330216,0.431557714100696,0.431557714100696,0.434246629776135,-0.438203984658725,-0.512169791864732,-0.145223223223223,-0.438974358974359,0.415567462317894,0.372103541725072,0.357350483249764,0.395393657227888,0.347659097280628,0.329292929292929,0.329292929292929,0.329292929292929,0.372545975108682,0.347659097280628,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.405617250429903,-0.1,-0.0428571428571429,0.2,0.0595277081706051,-0.123023512435277,-0.172058354534242
"ERK",0.363354758761263,0.391494013119441,0.360605437661049,0.317321855571497,0.266341463414634,0.266850106415324,0.230571310365578,0.194239130434783,0.208405797101449,0.248405797101449,0.169630967890366,0.173911530059178,0.163117879265527,0.243844770299585,0.124226498139542,0.429948409764534,0.103729603729604,0.206256830601093,0.0794871794871795,0.181666666666667,0.297024161928513,0.19777693871082,0.0333333333333333,0.171704331450094,0.136111111111111,0.142266661146303,-0.400172308923569,0.438852907506809,0.438852907506809,0.685731115707916,-0.542375881189165,-0.616051166758955,-0.206558898439545,-0.448376905574512,0.417863563877543,0.377457657336424,0.219225039263404,0.398571528479313,0.352394366197183,0.190915466961979,0.190915466961979,0.190915466961979,0.376265290294058,0.350815418828762,0.32,0.318421052631579,0.27,0.268421052631579,0.41082830646372,0,-0.14,0.2,0.0641779244989221,-0.226256830601093,-0.27961054878691
