"","FOXC2","TGF","TGFR","CDC42","PAK1","SOSGRB2","SNAI1","HEY1","TWIST1","SHH","SMAD","ILK","AKT","IKK","NFB","Csn","SMO","Jagged","FUS","NOTCH","NOTCHic","Csl","KLF4","cateninmemb","ZEB2","ZEB1","SNAI2","RAS","RAF","PI3K","DELTA","GSK3","Ecadherin","miR200","EGR1","ERK","cfos","GLI","MEK","cateninnuc","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","RKIP","Patched"
"AXIN2",0.105497445567703,0.0604480541466143,0.0620982191631159,0.0647530864197531,0.0783333333333333,-0.0425123606329777,0.146796925323984,0.00644623180120138,-0.0405852467718593,-0.161773103945235,0.00649873475960432,0.00887968714055671,0.0963768115942029,0.101932367149758,0.109178743961353,0.122222222222222,-0.157692307692308,-0.225054939185374,-0.157692307692308,-0.056800447063605,-0.0540977443609023,-0.0505263157894737,-0.250958131485216,0.250629292770848,0.240352215785017,0.240352215785017,-0.283120735174286,0.0670246981658855,0.069649370081896,0.069649370081896,0.069649370081896,-0.165908857986661,0.0662781615526853,-0.254956287531679,-0.0266666666666667,-0.0319094293746676,-0.0291056910569106,-0.237208142308837,-0.0353577052367366,-0.241242546377545,-0.23912408550422,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.161031939717992,-0.152569813698846,0.159478021978022
"Wnt",0.16582995951417,0.194492753623188,0.146666666666667,0.1,0.1,0.142424242424242,0.0812629399585921,0.0456410256410256,0.212941176470588,0.0915584415584415,0.0390777181474856,0.0367521367521367,0.124166666666667,0.0866666666666667,0.0666666666666667,0.1,0.05,0.141495098039216,0,0.18452380952381,0.142857142857143,0.1,-0.262745098039216,-0.333008474576271,0.294452415112386,0.294452415112386,0.322758620689655,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.054858934169279,-0.394371698325278,-0.298989898989899,0,0.0533333333333333,0.0333333333333333,0.286842105263158,0.0592156862745098,0.326151471393716,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0177867027817992,-0.0716666666666667,-0.0772727272727273
"RKIP",0.23937518420277,0.272461059190031,0.226666666666667,0.193333333333333,0.2,0.17231746031746,0.157445351833138,0.112078977932636,0.335374331550802,0.162535519125683,0.105236996742036,0.104246897732135,0.11547619047619,0.0821428571428571,0.0571428571428571,0.1,0.106666666666667,0.220866682836123,0.0666666666666667,0.180497280497281,0.134343434343434,0.0888888888888889,-0.294500239120038,-0.448252454134807,0.318500239120038,0.318500239120038,0.548029084338754,0.0956904206904207,0.0555194805194805,0.0555194805194805,0.0555194805194805,-0.10839243498818,-0.495384437689186,-0.329949719725937,0.01,0.104827586206897,0.06,0.312307692307692,0.106955245781365,0.352761521323193,0.335204269414796,0.27,0.310728744939271,0.268421052631579,0.2,0.2,0.1,0.1,0.332208157524613,-0.1,-0.1,0,0.0377902380464381,-0.0943977591036415,-0.134666666666667
"RAF",0.23937518420277,0.272461059190031,0.226666666666667,0.193333333333333,0.2,0.17231746031746,0.157445351833138,0.112078977932636,0.335374331550802,0.162535519125683,0.105236996742036,0.104246897732135,0.11547619047619,0.0821428571428571,0.0571428571428571,0.1,0.106666666666667,0.220866682836123,0.0666666666666667,0.180497280497281,0.134343434343434,0.0888888888888889,-0.294500239120038,-0.448252454134807,0.318500239120038,0.318500239120038,0.548029084338754,0.0956904206904207,0.0555194805194805,0.0555194805194805,0.0555194805194805,-0.10839243498818,-0.495384437689186,-0.329949719725937,0.01,0.104827586206897,0.06,0.312307692307692,0.106955245781365,0.352761521323193,0.335204269414796,0.27,0.310728744939271,0.268421052631579,0.2,0.2,0.1,0.1,0.332208157524613,-0.1,-0.1,0,0.0377902380464381,-0.0943977591036415,-0.134666666666667
"Frizzled",0.196062517653705,0.22592132505176,0.194492753623188,0.146666666666667,0.1,0.16969696969697,0.100310559006211,0.0477686852154937,0.232941176470588,0.104461667364893,0.0474889331007566,0.0390777181474856,0.149166666666667,0.124166666666667,0.0866666666666667,0.0666666666666667,0.0772727272727273,0.154626411170529,0.05,0.213935574229692,0.18452380952381,0.142857142857143,-0.291316526610644,-0.361262442830239,0.323165286399515,0.323165286399515,0.34894158598934,0.175024623118282,0.150615174299385,0.150615174299385,0.150615174299385,-0.0760710553814002,-0.42584022979381,-0.327114898989899,0.0333333333333333,0.0592156862745098,0.0533333333333333,0.308270676691729,0.0592156862745098,0.343294328536573,0.326151471393716,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00425885132291327,-0.0930952380952381,-0.0915584415584415
"DSH",0.215543037134224,0.24578195222946,0.22592132505176,0.194492753623188,0.146666666666667,0.203843311160384,0.117991718426501,0.0582950010049674,0.251380892782645,0.117345102947715,0.0561681783837755,0.0474889331007566,0.166408045977012,0.149166666666667,0.124166666666667,0.0866666666666667,0.0915584415584415,0.168579899542622,0.0772727272727273,0.232816693110811,0.213935574229692,0.18452380952381,-0.317530118843654,-0.385644068271936,0.34678733364361,0.34678733364361,0.369546941053368,0.196033026479627,0.175024623118282,0.175024623118282,0.175024623118282,-0.0902241876319803,-0.450862178871948,-0.352114898989899,0.0533333333333333,0.0592156862745098,0.0592156862745098,0.325917735515259,0.0674863629662391,0.358699493273884,0.343294328536573,0.308270676691729,0.326151471393716,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.362898457640877,-0.0666666666666667,-0.05,0.2,0.00661901127250658,-0.110577755577756,-0.104461667364893
"MEK",0.276312121139707,0.310417263569593,0.272461059190031,0.226666666666667,0.193333333333333,0.187873015873016,0.181804326192112,0.112078977932636,0.36284685902333,0.177568198864245,0.115200096373033,0.105236996742036,0.149593837535014,0.11547619047619,0.0821428571428571,0.0571428571428571,0.134666666666667,0.235620781196778,0.106666666666667,0.217723557869543,0.180497280497281,0.134343434343434,-0.316068866571019,-0.475325624866514,0.349452620072419,0.349452620072419,0.575523001613693,0.125849150849151,0.0956904206904207,0.0956904206904207,0.0956904206904207,-0.133699560295305,-0.52798917357261,-0.358123094338941,0.06,0.106955245781365,0.104827586206897,0.336783216783217,0.015288579114698,0.369118398646613,0.352761521323193,0.312307692307692,0.335204269414796,0.310728744939271,0.27,0.268421052631579,0.2,0.2,0.367343292659748,-0.1,-0.0666666666666667,0.1,0.0522253844899527,-0.131239864366799,-0.162535519125683
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.310891938250429,0.33328072361438,0.104033613445378,0.412614379084967,0.320497311827957,0.0928115942028986,0.0826666666666667,0.33989417989418,0.302857142857143,0.26,0.2,0.266666666666667,0.351772295670347,0.233333333333333,0.376317269274404,0.342296650717703,0.305454545454545,-0.266666666666667,-0.592777865765671,0.354514963880289,0.354514963880289,0.461663156107219,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.343276328345158,-0.672976484681208,-0.362568172568173,0.12,0.164919786096257,0.147272727272727,0.353897196408636,0.176259992281824,0.395647049521164,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342481806878138,-0.311440940012369,-0.297916666666667
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.310891938250429,0.33328072361438,0.104033613445378,0.412614379084967,0.320497311827957,0.0928115942028986,0.0826666666666667,0.33989417989418,0.302857142857143,0.26,0.2,0.266666666666667,0.351772295670347,0.233333333333333,0.376317269274404,0.342296650717703,0.305454545454545,-0.266666666666667,-0.592777865765671,0.354514963880289,0.354514963880289,0.461663156107219,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.343276328345158,-0.672976484681208,-0.362568172568173,0.12,0.164919786096257,0.147272727272727,0.353897196408636,0.176259992281824,0.395647049521164,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342481806878138,-0.311440940012369,-0.297916666666667
"SOSGRB2",0.324761904761905,0.352623334112696,0.312197802197802,0.281428571428571,0.271428571428571,0.132777777777778,0.296563610518834,0.209564393939394,0.369797101449275,0.249151477058454,0.200269193172419,0.199569892473118,0.303289473684211,0.282456140350877,0.266666666666667,0.3,0.2,0.317841075649617,0.166666666666667,0.367398798384714,0.329370629370629,0.290909090909091,-0.334824561403509,-0.473778635778636,0.359110275689223,0.359110275689223,0.574960124868429,0.334137331594959,0.289265536723164,0.289265536723164,0.289265536723164,-0.25939319835533,-0.525759474277701,-0.372297800146321,0.0761904761904762,0.111025311025311,0.0650793650793651,0.325724637681159,0.12011622011622,0.381075237766042,0.358321891685736,0.275,0.32463768115942,0.273913043478261,0.2,0.2,0.1,0.1,0.34164603960396,-0.2,-0.2,0,-0.0216084437560948,-0.251608187134503,-0.218918918918919
"PI3K",0.239293844367015,0.260900526064084,0.225941176470588,0.177941176470588,0.125,0.203076923076923,0.156352657004831,0.0603840850233747,0.26648112321669,0.118162393162393,0.0623734293717487,0.0535734293717487,0.264253393665158,0.241176470588235,0.2,0.166666666666667,0.0833333333333333,0.174473684210526,0.05,0.228411910669975,0.196153846153846,0.15,-0.328508771929825,-0.39215639204634,0.361780433971144,0.361780433971144,0.377390451158404,0.217723299531519,0.18621645021645,0.18621645021645,0.18621645021645,-0.167592592592593,-0.461901911761286,-0.362725393053262,0.0333333333333333,0.0535014005602241,0.0476190476190476,0.332612411742847,0.0584194333471093,0.376600995818797,0.355776253550756,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0157914195768358,-0.12333548804137,-0.0987179487179487
"ILK",0.239293844367015,0.260900526064084,0.225941176470588,0.177941176470588,0.125,0.203076923076923,0.156352657004831,0.0603840850233747,0.26648112321669,0.118162393162393,0.0623734293717487,0.0535734293717487,0.264253393665158,0.241176470588235,0.2,0.166666666666667,0.0833333333333333,0.174473684210526,0.05,0.228411910669975,0.196153846153846,0.15,-0.328508771929825,-0.39215639204634,0.361780433971144,0.361780433971144,0.377390451158404,0.217723299531519,0.18621645021645,0.18621645021645,0.18621645021645,-0.167592592592593,-0.461901911761286,-0.362725393053262,0.0333333333333333,0.0535014005602241,0.0476190476190476,0.332612411742847,0.0584194333471093,0.376600995818797,0.355776253550756,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0157914195768358,-0.12333548804137,-0.0987179487179487
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0.0666666666666667,0.2,0.253333333333333,0.0833333333333333,0.0666666666666667,0.15,0.1,0,0,0.3,0.162857142857143,0.2,0.233333333333333,0.2,0.1,-0.3,-0.299068100358423,0.375,0.375,0.360383141762452,0.303846153846154,0.25,0.25,0.25,-0.256410256410256,-0.341666666666667,-0.383333333333333,0,0,-0.1,0.25,0.02,0.241111111111111,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.22,-0.333333333333333
"ERK",0.302124086951673,0.335966714119044,0.310417263569593,0.272461059190031,0.226666666666667,0.221853598397288,0.202406178043964,0.124706964280759,0.383512601048295,0.192544044274873,0.122798880567561,0.115200096373033,0.171612186158867,0.149593837535014,0.11547619047619,0.0821428571428571,0.162535519125683,0.25007861252208,0.134666666666667,0.240715247620236,0.217723557869543,0.180497280497281,-0.343975843315205,-0.499888642345815,0.375751832670844,0.375751832670844,0.597073948412611,0.147741340068073,0.125849150849151,0.125849150849151,0.125849150849151,-0.149230895445169,-0.554800021495713,-0.38655446688796,0.104827586206897,0.015288579114698,0.106955245781365,0.353575196733091,0.0166813367748651,0.384396176424391,0.369118398646613,0.336783216783217,0.352761521323193,0.335204269414796,0.312307692307692,0.310728744939271,0.27,0.268421052631579,0.391245731684139,-0.0571428571428571,-0.106666666666667,0.2,0.0630859632197536,-0.152688332333373,-0.177568198864245
"cateninnuc",0.390112537735489,0.374651487347166,0.355874194770746,0.331736263736264,0.299428571428571,0.304647097002544,0.330044408437704,0.110503368467668,0.321659260799378,0.208876641335238,0.0946501006951211,0.0882380952380952,0.340572916666667,0.324166666666667,0.304166666666667,0.270833333333333,0.181366120218579,0.243198387869538,0.163333333333333,0.372478231268141,0.354296413086322,0.332203389830509,-0.298771177418864,-0.408748481878967,0.377841370009904,0.377841370009904,0.457228804206247,0.389047519047519,0.372717552717553,0.372717552717553,0.372717552717553,-0.331298770267476,-0.489901024773322,-0.385372193705059,0.146376811594203,0.155579142315521,0.154313319530711,0.255050909979439,0.161083729471484,0.181109187042172,0.268654064147943,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.321164078363576,-0.319185675366817,-0.196894070529138
"RAS",0.32015873015873,0.346103669190448,0.303529411764706,0.28,0.26,0.144155844155844,0.262536873156342,0.121343873517787,0.35860338243317,0.158033898305085,0.120841063698207,0.114718614718615,0.193333333333333,0.16,0.166666666666667,0.2,0.1,0.233286024048886,0.1,0.262959285004965,0.215789473684211,0.2,-0.346428571428571,-0.393376152388913,0.378387334315169,0.378387334315169,0.534109777648042,0.155641025641026,0.205641025641026,0.205641025641026,0.205641025641026,-0.174418604651163,-0.452504163720824,-0.388769230769231,-0.06,0.0163157894736842,-0.01,0.338970588235294,0.0496491228070175,0.402413291183603,0.376634254356407,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0234854397645095,-0.273849056603774,-0.136
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.347058823529412,0.369282114766603,0.111106088004822,0.448322008191805,0.362630911519537,0.101669025316171,0.0877934272300469,0.36889281262983,0.326724137931034,0.275,0.2,0.301176470588235,0.400205607781016,0.26,0.41441672362725,0.376754385964912,0.332894736842105,-0.286538461538462,-0.63753975365315,0.378588839941263,0.378588839941263,0.708329016375216,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.38273296908362,-0.808460433019942,-0.386587993124707,0.133333333333333,0.184313725490196,0.162745098039216,0.402974962071897,0.199178590355061,0.449540131104475,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.386048865772934,-0.340807692307692,-0.335870348139256
"AKT",0.264105874442203,0.286580284372241,0.260900526064084,0.225941176470588,0.177941176470588,0.240854700854701,0.178157168283026,0.0716622805120965,0.290640144623418,0.133951866846604,0.0707909377892571,0.0623734293717487,0.18546551487728,0.264253393665158,0.241176470588235,0.2,0.0987179487179487,0.191692227256884,0.0833333333333333,0.252802154572414,0.228411910669975,0.196153846153846,-0.356713900134953,-0.421004506215555,0.389862625751966,0.389862625751966,0.402415576786545,0.243506432061639,0.217723299531519,0.217723299531519,0.217723299531519,-0.185334528076464,-0.491901911761286,-0.391067639042567,0.0476190476190476,0.0584194333471093,0.0535014005602241,0.355517439675807,0.0685460156255903,0.394447149664951,0.376600995818797,0.332612411742847,0.355776253550756,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.387472236548049,-0.166666666666667,-0.05,0.2,-0.00197835092505747,-0.146316854500998,-0.118162393162393
"CD44",0.36625,0.361111111111111,0.35,0.3,0.2,0.171428571428571,0.33833067517278,0.171345029239766,0.340512820512821,0.148181818181818,0.147959183673469,0.15,0.246666666666667,0.266666666666667,0.2,0.2,0.15,0.167086247086247,0.1,0.237593984962406,0.242857142857143,0.2,-0.277777777777778,-0.142527472527472,0.411111111111111,0.411111111111111,0.400222000222,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.170238095238095,-0.273206492237542,-0.424426877470356,0,-0.035,-0.075,0.0233333333333333,-0.045,0.129200954084675,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.149121466768526,-0.319259259259259,-0.13
"Csn",0.230824959679083,0.261093442944332,0.233169815259367,0.194708276797829,0.145454545454545,0.232180329759022,0.139231271643561,0.0555564784053156,0.279046283309958,0.12096449880691,0.0566772947303432,0.0476798654244306,0.1907,0.1675,0.138333333333333,0.105,0.0862914862914863,0.172354681423519,0.0650793650793651,0.253522866022866,0.227561327561328,0.18989898989899,-0.379339222868635,-0.430463654125239,0.413085194375517,0.413085194375517,0.406038094423435,0.237976748445841,0.211297285873864,0.211297285873864,0.211297285873864,-0.115221769088817,-0.497010254036367,-0.421582172321363,0.05,0.062987012987013,0.0590909090909091,0.370782028883491,0.0713203463203463,0.409535007521894,0.391435187918767,0.348511286525412,0.371177953192079,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.404803470254958,-0.18,-0.0428571428571429,0.2,0.0541305272148358,-0.111988847989689,-0.104571056183959
