"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","SUFU","LIV1","Destcompl","Patched","RKIP"
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.111846180853043,0.15442716339438,0.153333333333333,0.117363422232353,0.131382113821138,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.153439770611902,0.101497584541063,-0.0370946197518206,0.104830917874396,0.109178743961353,-0.152930402930403,-0.157692307692308,-0.220035634166069,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,-0.252988588338008,-0.2770272187641,0.245175501457021,0.245175501457021,0.249359406027404,0.0666270310543008,0.069649370081896,0.069649370081896,0.069649370081896,0.0626921145380067,-0.170031747970862,-0.2593606087525,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,0.15,-0.233333333333333,0.159763338580939,0.151144688644689,-0.178657587931781
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.119607843137255,0.104658385093168,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,0,0.153259803921569,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.340258620689655,0.304208512673362,0.304208512673362,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.0715709728867624,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.164052287581699,0.117561610899619,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.24484593837535,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.16437091503268,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.368334330468835,0.338861978019897,0.338861978019897,-0.366766881894001,0.172837396521607,0.150615174299385,0.150615174299385,0.150615174299385,-0.437673688755514,-0.0915709728867623,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,0,0.1,-0.00789207888228566,-0.10974025974026,-0.141428571428571
"PI3K",0.220397022332506,0.248459035788228,0.205850340136054,0.146666666666667,0.1,0.176067173280796,0.128472527109386,0.0666666666666667,0.128698752228164,0.0757575757575758,0.068967911521103,0.0705881715184041,0.0633154442456768,0.132027972027972,0.269019607843137,0.256416799574694,0.239607843137255,0.186666666666667,0.1,0.05,0.180701754385965,0.232417582417582,0.196703296703297,0.142857142857143,0.158701298701299,-0.302279981760146,0.386886973180077,0.342745098039216,0.342745098039216,-0.386609547123623,0.187780112044818,0.161309523809524,0.161309523809524,0.161309523809524,-0.45994843800121,-0.104047292911837,-0.345647451963241,0.370732023117422,0.326816552623004,0.349240795047247,0.301010101010101,0.326816552623004,0.301010101010101,0.255555555555556,0.255555555555556,0.2,0.2,0.355024509803922,0,0.1,0.00719619573554226,-0.118181818181818,-0.148666666666667
"ILK",0.220397022332506,0.248459035788228,0.205850340136054,0.146666666666667,0.1,0.176067173280796,0.128472527109386,0.0666666666666667,0.128698752228164,0.0757575757575758,0.068967911521103,0.0705881715184041,0.0633154442456768,0.132027972027972,0.269019607843137,0.256416799574694,0.239607843137255,0.186666666666667,0.1,0.05,0.180701754385965,0.232417582417582,0.196703296703297,0.142857142857143,0.158701298701299,-0.302279981760146,0.386886973180077,0.342745098039216,0.342745098039216,-0.386609547123623,0.187780112044818,0.161309523809524,0.161309523809524,0.161309523809524,-0.45994843800121,-0.104047292911837,-0.345647451963241,0.370732023117422,0.326816552623004,0.349240795047247,0.301010101010101,0.326816552623004,0.301010101010101,0.255555555555556,0.255555555555556,0.2,0.2,0.355024509803922,0,0.1,0.00719619573554226,-0.118181818181818,-0.148666666666667
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.4649781869926,0.354514963880289,0.354514963880289,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673504886266412,-0.347874663133166,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.4649781869926,0.354514963880289,0.354514963880289,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673504886266412,-0.347874663133166,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"DSH",0.230596145314815,0.258225999782064,0.240331262939959,0.203188405797101,0.146666666666667,0.19187183645388,0.133503639885127,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0763983808235878,0.0631908336537765,0.13107412081289,0.176609195402299,0.261988795518207,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.179099597203222,0.239751425045543,0.222268907563025,0.192857142857143,0.156541019955654,-0.33287917108591,0.392199289723783,0.363465152623071,0.363465152623071,-0.394446504979984,0.194966248062223,0.172837396521607,0.172837396521607,0.172837396521607,-0.465026371253315,-0.109603759772008,-0.368580494360786,0.366091030600903,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.05,0.2,0.00500190392573726,-0.119417679095098,-0.159159067882472
"AKT",0.242029675393731,0.270934605820802,0.248459035788228,0.205850340136054,0.146666666666667,0.207535704749327,0.147494266239821,0.0757575757575758,0.176067173280796,0.128698752228164,0.0783696209228124,0.0843562874604331,0.0705881715184041,0.145981460400065,0.187700926524456,0.276682580305591,0.269019607843137,0.239607843137255,0.118181818181818,0.1,0.197065390749601,0.253986209868563,0.232417582417582,0.196703296703297,0.192792207792208,-0.336859421012482,0.413304085479542,0.370775401069519,0.370775401069519,-0.416892771524494,0.212522380086055,0.187780112044818,0.187780112044818,0.187780112044818,-0.490774276104236,-0.12413368600039,-0.375266220291687,0.389482023117422,0.348972241245759,0.370732023117422,0.326816552623004,0.349240795047247,0.326816552623004,0.301010101010101,0.301010101010101,0.255555555555556,0.255555555555556,0.382227574938021,-0.05,0.2,0.021306625183395,-0.132027972027972,-0.170288288288288
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.227666911225238,0.219662572996585,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.374004753416518,0.110714285714286,0.0857142857142857,0.14,0.1,0.258543536260005,0.21041181041181,0.156565656565657,0.111111111111111,0.0613968253968254,-0.332663797226208,0.624385964912281,0.372663797226208,0.372663797226208,-0.474936280818634,0.094077474249888,0.050974025974026,0.050974025974026,0.050974025974026,-0.543314330360812,-0.163763328959474,-0.380952950808151,0.377496836898203,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,0,0.0230780801837209,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.2,0.1,0,0.3,0.2,0.162857142857143,0.233333333333333,0.2,0.1,0.25,-0.3,0.36727969348659,0.375,0.375,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.37146790711633,0.2,0.349019607843137,0.288235294117647,0.116169379144063,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.448322008191805,0.326724137931034,0.275,0.301176470588235,0.26,0.401762028014479,0.41441672362725,0.376754385964912,0.332894736842105,0.323799864773496,-0.286538461538462,0.710777486540221,0.378588839941263,0.378588839941263,-0.63753975365315,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.808795441395151,-0.386330686374715,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.355166666666667
"IKK",0.451136363636364,0.440438871473354,0.381818181818182,0.3,0.2,0.371304347826087,0.408967391304348,0.1,0.28,0.2,0.171794871794872,0.195741195741196,0.160606060606061,0.391555555555556,0.369230769230769,0.48968253968254,0.3,0.3,0.3,0.2,0.344013350020859,0.335555555555555,0.28,0.2,0.257894736842105,-0.284615384615385,0.653761107124312,0.378947368421053,0.378947368421053,-0.570062948323818,0.382986857825567,0.334838709677419,0.334838709677419,0.334838709677419,-0.728908688211014,-0.349206349206349,-0.382978723404255,0.417916244511989,0.348412698412698,0.384582911178656,0.309523809523809,0.348412698412698,0.309523809523809,0.266666666666667,0.266666666666667,0.2,0.2,0.385,-0.1,0.1,0.358889808497181,-0.355555555555556,-0.369230769230769
"cateninnuc",0.394989590318357,0.378523154754649,0.358173045345459,0.331736263736264,0.299428571428571,0.375402090942628,0.337521500155933,0.297101449275362,0.353842457915105,0.327260179434092,0.124481847142868,0.111715903923271,0.103393939393939,0.217547714104253,0.345354166666667,0.324753705545468,0.328166666666667,0.304166666666667,0.18792349726776,0.163333333333333,0.248185478563194,0.375258358118035,0.356621994481671,0.332203389830509,0.260300632619561,-0.301618152507832,0.463909871183732,0.382744262714204,0.382744262714204,-0.410140467636894,0.388456002309867,0.372533508628317,0.372533508628317,0.372533508628317,-0.493444750400558,-0.33757163621139,-0.390067835525483,0.182455944829082,0.255050909979439,0.269251524939579,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.133333333333333,0.160606060606061,0.320114686093044,-0.204693683603163,-0.34992765794999
"RAS",0.316540447504303,0.34525,0.29125,0.26,0.26,0.301911764705882,0.262592592592593,0.26,0.2725,0.26,0.163221343873518,0.158213716108453,0.158213716108453,0.195212121212121,0.205555555555556,0.361399108138239,0.166666666666667,0.166666666666667,0.116666666666667,0.1,0.259774436090226,0.273165618448637,0.222222222222222,0.2,0.00528138528138527,-0.345864661654135,0.574095491678851,0.387169009480222,0.387169009480222,-0.397682701094215,0.125510835913313,0.176491228070175,0.176491228070175,0.176491228070175,-0.467130741598827,-0.162556752190899,-0.396111111111111,0.406529891832162,0.338172715894869,0.377497633767646,0.276470588235294,0.337340153452685,0.276470588235294,0.2,0.2,0.1,0.1,0.349465240641711,-0.1,0,-0.0161332255674547,-0.160666666666667,-0.370307692307692
"SOSGRB2",0.366492047442503,0.389630010277492,0.341428571428571,0.301428571428571,0.271428571428571,0.356370656370656,0.350219456079287,0.276190476190476,0.323037323037323,0.30952380952381,0.261647727272727,0.259378045950337,0.252903225806452,0.298701026608003,0.336593256190121,0.401775362318841,0.304678362573099,0.288888888888889,0.233333333333333,0.2,0.357215265481102,0.393266733266733,0.347552447552448,0.309090909090909,-0.0272222222222222,-0.359848484848485,0.64505343943925,0.397529644268775,0.397529644268775,-0.493819424799623,0.33131327518167,0.283261327129722,0.283261327129722,0.283261327129722,-0.562637212096214,-0.307142346276185,-0.407527651786425,0.39973270690662,0.331521739130435,0.370117322291235,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,0,-0.0314951771625906,-0.268468468468469,-0.377251461988304
"MEK",0.336915574846609,0.36353713447996,0.320890075656431,0.267619047619048,0.22,0.174333577891905,0.245636598970611,0.17,0.227666911225238,0.187241379310345,0.163218245169465,0.165950203144554,0.156725110893631,0.227544412300439,0.185580595874714,0.406108074449728,0.156168831168831,0.110714285714286,0.184,0.14,0.279035339538693,0.247638087784073,0.21041181041181,0.156565656565657,0.0925079365079365,-0.369918699186992,0.659179152260213,0.410263797226207,0.410263797226207,-0.51249725642839,0.129540733035831,0.094077474249888,0.094077474249888,0.094077474249888,-0.584555206273221,-0.191842146693464,-0.418647654857995,0.400473581084249,0.352867132867133,0.377496836898203,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,0.1,0.0433299164901217,-0.208590163934426,-0.256717086834734
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.415,0.365292397660819,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.351941391941392,0.266666666666667,0.2,0.15,0.1,0.188531468531469,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.439156399156399,0.420634920634921,0.420634920634921,-0.144450549450549,0.2,0.166666666666667,0.166666666666667,0.166666666666667,-0.283107697318424,-0.20952380952381,-0.431699604743083,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,0.1,-0.156194295900178,-0.15,-0.423703703703704
"NFB",0.497910557184751,0.485438871473354,0.440438871473354,0.381818181818182,0.3,0.431830663615561,0.447010869565217,0.2,0.371304347826087,0.28,0.214652014652015,0.21981526981527,0.195741195741196,0.428541856925419,0.416849816849817,0.52968253968254,0.369230769230769,0.3,0.355555555555556,0.3,0.379891212616279,0.379145299145299,0.335555555555555,0.28,0.292677345537757,-0.35046904315197,0.69528157496057,0.439307728781413,0.439307728781413,-0.618054491664198,0.42054341891154,0.382986857825567,0.382986857825567,0.382986857825567,-0.782374034745667,-0.377673502491021,-0.445835866261398,0.446553304236338,0.385254803675856,0.417916244511989,0.348412698412698,0.384582911178656,0.348412698412698,0.309523809523809,0.309523809523809,0.266666666666667,0.266666666666667,0.42525974025974,-0.2,0.2,0.379375392715693,-0.391555555555556,-0.417879417879418
"ERK",0.365758407316385,0.393177023676636,0.36353713447996,0.320890075656431,0.267619047619048,0.209165038566062,0.268927444857054,0.187241379310345,0.174333577891905,0.227666911225238,0.175163637660932,0.177570998251587,0.165950203144554,0.244935716648265,0.210004559008354,0.432188967057818,0.185580595874714,0.156168831168831,0.208590163934426,0.184,0.298312447972428,0.275415865561851,0.247638087784073,0.21041181041181,0.123575897672985,-0.404293699186992,0.688027910725224,0.442219282122869,0.442219282122869,-0.544694400601582,0.15795482995213,0.129540733035831,0.129540733035831,0.129540733035831,-0.618554517330748,-0.214115290598139,-0.451815971689678,0.420195320214684,0.378681669207985,0.400473581084249,0.352867132867133,0.377496836898203,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.411646311331399,-0.14,0.2,0.0591431695021699,-0.227544412300439,-0.284604410778396
"STAT",0.218786639400136,0.21176467189053,0.194856459330144,0.165909090909091,0.140909090909091,0.207893738140417,0.148182485181735,0.2,0.191764705882353,0.18,0.0586666666666667,0.0649619634627131,0.0615136876006441,0.0628225972422309,0.0427602905569007,0.0802251471666764,0.0342857142857143,0.02,0.045,0.025,0.0675142417782127,0.0330241149201743,0.0204027556968733,-0.00392156862745098,-0.0069376026272578,-0.326728064963359,0.104995176821802,0.442935269858347,0.442935269858347,-0.0628629869659736,-0.0307617464785255,-0.044194582299421,-0.044194582299421,-0.044194582299421,-0.20560603104461,0.0426630840423944,-0.458532927961468,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,-0.0634173280695643,-0.0566279069767442,-0.171240347490347
"cMet",0.401416666666667,0.403333333333333,0.372222222222222,0.35,0.3,0.420454545454546,0.397495787491327,0.325,0.415,0.385,0.21781905744754,0.21034632034632,0.197619047619048,0.205397727272727,0.2725,0.390764921353157,0.26,0.266666666666667,0.15,0.15,0.225487990270599,0.280035194368901,0.24812030075188,0.242857142857143,0.0109523809523809,-0.320634920634921,0.48879143565275,0.455371762740184,0.455371762740184,-0.196763716710336,0.241509433962264,0.2,0.2,0.2,-0.331693815570352,-0.246713892168438,-0.465570572485019,0.165800604434325,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.1,0.1,-0.123541234675688,-0.177272727272727,-0.447703703703704
