"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","AXIN2","SRC","DSH","STAT","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ERK",0.365653053584088,0.393076648207967,0.363955769087088,0.320890075656431,0.267619047619048,0.26639289572469,0.20970962246015,0.187241379310345,0.174333577891905,0.227666911225238,0.175163637660932,0.177500355120237,0.165950203144554,0.244935716648265,0.210351238076548,0.432541685739858,0.185580595874714,0.156168831168831,0.208590163934426,0.184,0.298914857610983,0.110714285714286,0.275615927119253,0.247638087784073,0.21041181041181,0.123575897672985,-0.404802420117224,0.442097617998611,0.442097617998611,0.689512479011697,-0.546011740239281,0.15548471880155,0.128532023532024,0.128532023532024,0.128532023532024,-0.618888119611561,-0.203815230912454,-0.45187658341909,0.424299964588168,0.379684175473649,0.403049964588168,0.352867132867133,0.378514648603038,0.351288185498712,0.32,0.230886159391871,0.318421052631579,0.27,0.268421052631579,-0.0857142857142857,-0.14,0.2,0.0439813565502773,-0.227544412300439,-0.284091763079664
"STAT",0.220013633265167,0.212730855465409,0.194856459330144,0.165909090909091,0.140909090909091,0.151324393107696,0.207893738140417,0.2,0.191764705882353,0.18,0.0586666666666667,0.0649619634627131,0.0615136876006441,0.0628225972422309,0.0427602905569007,0.0802251471666764,0.0342857142857143,0.02,0.045,0.025,0.0664389729610084,0,0.0330241149201743,0.0204027556968733,-0.00392156862745098,-0.0069376026272578,-0.326728064963359,0.444118701811009,0.444118701811009,0.103549535494371,-0.0617082018584442,-0.0286112088441169,-0.0420440446650124,-0.0420440446650124,-0.0420440446650124,-0.205364193076049,0.0379261237205162,-0.459450359154128,0.0306680332950435,0.0094633307868602,0.0200601667872961,-0.00146103896103896,0.00965007215007215,-0.00146103896103896,-0.0196428571428571,-0.0207549313431666,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,0,0,0,-0.0606334717857875,-0.0566279069767442,-0.173323680823681
"cMet",0.405332278481013,0.406264775413712,0.372222222222222,0.35,0.3,0.4052230602186,0.420454545454546,0.325,0.415,0.385,0.21781905744754,0.21034632034632,0.197619047619048,0.205397727272727,0.2725,0.393514425649257,0.26,0.266666666666667,0.15,0.15,0.225487990270599,0.2,0.280035194368901,0.24812030075188,0.242857142857143,0.0109523809523809,-0.320634920634921,0.458008658008658,0.458008658008658,0.48879143565275,-0.196763716710336,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,-0.332217112076693,-0.260906298003072,-0.467637104743083,0.165611210494931,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.0301587301587302,0.05,-0.1,0,-0.2,-0.1,0.1,-0.125963554955152,-0.177272727272727,-0.453333333333333
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.172857142857143,0.1,0,0,0,0,0,0.295135135135135,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.172857142857143,0.1,0,0,0,0,0,0.295135135135135,-0.0833333333333333,-0.235897435897436
"NFB",0.542826558125363,0.574128628052679,0.529191919191919,0.469191919191919,0.405555555555556,0.319705442659014,0.306438842203548,0.142857142857143,0.252190476190476,0.178857142857143,0.198011573050273,0.199542600635528,0.18578795379538,0.281035559863977,0.358820248820249,0.568179271708683,0.321042471042471,0.264285714285714,0.228148148148148,0.18,0.314032013377115,0.314285714285714,0.403560024205185,0.362914862914863,0.307359307359307,0.336627598407784,-0.41529304029304,0.474077550197332,0.474077550197332,0.700732435231954,-0.614270869228188,0.41202602564489,0.379190204749367,0.379190204749367,0.379190204749367,-0.731017986679962,-0.239463477698772,-0.478689522308332,0.471083829114194,0.411070776913473,0.442770103623998,0.376239316239316,0.410702593075474,0.376239316239316,0.331623931623932,0.246560283687943,0.331623931623932,0.277777777777778,0.277777777777778,-0.3,-0.12,0.2,0.141749530357424,-0.2557343550447,-0.314501891551072
"SMO",0.427931034482759,0.522207207207207,0.481666666666667,0.44,0.4,0.354531490015361,0.393240093240093,0.2,0.353846153846154,0.3,0.128937728937729,0.134285714285714,0.12,0.324166666666667,0.236857142857143,0.284858387799564,0.192857142857143,0.15,0.253333333333333,0.333333333333333,0.242883597883598,0.1,0.323787878787879,0.278787878787879,0.233333333333333,0.255263157894737,-0.413888888888889,0.47909604519774,0.47909604519774,0.463089217296114,-0.403032501652921,0.376229874776386,0.341346153846154,0.341346153846154,0.341346153846154,-0.446821970646891,-0.315078772360326,-0.489843279083785,0.311160425335183,0.35,0.282588996763754,0.3,0.246666666666667,0.196666666666667,0.25,0.0955814300641887,0.15,0.2,0.1,0,-0.3,0.1,0.295295866923774,-0.290833333333333,-0.347301587301587
"SRC",0.40859943977591,0.400551948051948,0.369642857142857,0.345833333333333,0.333333333333333,0.309789944101385,0.333142748237088,0.3,0.316161616161616,0.327272727272727,0.126804038397881,0.113934329065908,0.109429824561404,0.0953812636165577,0.168803418803419,0.258834154351396,0.157692307692308,0.15,0.0533333333333333,0.0333333333333333,0.110475770406963,0.15,0.168809523809524,0.143809523809524,0.12,0.00857142857142857,-0.354328165374677,0.481079664570231,0.481079664570231,0.206561516118567,-0.109085466247568,0.22076117874616,0.191973299958281,0.191973299958281,0.191973299958281,-0.273239538239538,-0.157229437229437,-0.493078612209047,0.0794990728540798,0.0344262295081967,0.0600359856057577,0,0.0344262295081967,0,-0.05,-0.00159590292830125,-0.05,-0.1,0,-0.1,-0.0333333333333333,0,-0.0758564261825131,-0.0718518518518519,-0.405408927989573
"TWIST1",0.532925560935688,0.521318712020051,0.484188871473354,0.440438871473354,0.381818181818182,0.469835073181231,0.475114245705113,0.28,0.431830663615561,0.371304347826087,0.243465573974049,0.237967084996788,0.21981526981527,0.459576339684039,0.459222698205749,0.465609313137917,0.416849816849817,0.369230769230769,0.391555555555556,0.355555555555556,0.414191039417229,0.3,0.419711336881148,0.379145299145299,0.335555555555555,0.315754268614681,-0.402605795288722,0.48318493932529,0.48318493932529,0.736141731579631,-0.662874408885062,0.445838803037169,0.415359350982374,0.415359350982374,0.415359350982374,-0.828213776486832,-0.382121615660671,-0.491697935226915,0.479818455506258,0.424160066833751,0.454344044925464,0.387360066833751,0.42325675549208,0.386710570753124,0.348412698412698,0.236345482474515,0.348412698412698,0.309523809523809,0.309523809523809,-0.2,-0.3,0.266666666666667,0.373164344940972,-0.428541856925419,-0.455273333534203
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.299871794871795,0.350952380952381,0.2,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.151206636500754,0.133333333333333,0.342152542372881,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.0333333333333333,0.196123136123136,0,0.186267281105991,0.231428571428571,0.16,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.572694963214488,-0.272762103796587,-0.529264069264069,0.384826601969459,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.189838274932615,0.2,0.1,0.1,0,0,0,0.317565041677191,-0.121794871794872,-0.28762157382847
"FUS",0.467404718693285,0.563696568909335,0.522207207207207,0.481666666666667,0.44,0.384720169260644,0.426573426573427,0.3,0.393240093240093,0.353846153846154,0.144879757923236,0.145253456221198,0.134285714285714,0.351439393939394,0.267626373626374,0.320984042249826,0.236857142857143,0.192857142857143,0.290833333333333,0.253333333333333,0.270594441257092,0.15,0.362424242424242,0.323787878787879,0.278787878787879,0.274493927125506,-0.458151183970856,0.521427333541298,0.521427333541298,0.499893526093241,-0.44232486664361,0.407234241588614,0.376229874776386,0.376229874776386,0.376229874776386,-0.489835669277028,-0.339493488079389,-0.531427437499627,0.335073468813443,0.386538461538462,0.311160425335183,0.35,0.282588996763754,0.246666666666667,0.3,0.111109380374748,0.196666666666667,0.25,0.15,-0.1,-0.333333333333333,0.1,0.311500246485818,-0.324166666666667,-0.385445917198495
"TCFLEF",0.603994316076981,0.602743661453473,0.572942336950161,0.53649373881932,0.492307692307692,0.411738182784208,0.511415297826448,0.411428571428571,0.479442508710801,0.44801393728223,0.198276524883433,0.181247536536457,0.17111369332422,0.299784569279919,0.298289849000929,0.440178462970121,0.275463762044407,0.252883116883117,0.258571428571429,0.23,0.312527832302507,0.216883116883117,0.405617758542252,0.379371911366172,0.34996014666029,0.213404575464456,-0.403576203208556,0.541300505050505,0.541300505050505,0.527102782871138,-0.469737901180396,0.394916846447981,0.37060672818254,0.37060672818254,0.37060672818254,-0.615665983056944,-0.274467132403883,-0.552440497922426,0.263213332734827,0.319803203332615,0.241907490810428,0.291231774761186,0.316592485083051,0.288290598290598,0.259607843137255,0.130675457875458,0.256666666666667,0.219607843137255,0.216666666666667,-0.171428571428571,-0.183333333333333,0.166666666666667,0.198889998307963,-0.279539170506912,-0.414524039123846
"TGF",0.534673913043478,0.55047619047619,0.593333333333333,0.526666666666667,0.46,0.442803560076287,0.474670008354219,0.333333333333333,0.423558897243108,0.376190476190476,0.231850419084462,0.22603128054741,0.211515151515151,0.265617816091954,0.341791979949875,0.465185185185185,0.315476190476191,0.258333333333333,0.203333333333333,0.153333333333333,0.319691948944526,0.233333333333333,0.38816091954023,0.343333333333333,0.273333333333333,0.181578947368421,-0.507068395626748,0.559795668354021,0.559795668354021,0.51086636890726,-0.514243894589953,0.397619047619048,0.34047619047619,0.34047619047619,0.34047619047619,-0.597978803812028,-0.372633802379399,-0.567284583232859,0.428029701182631,0.342264150943396,0.388316782522344,0.28,0.342264150943396,0.28,0.2,0.218783068783069,0.2,0.1,0.1,-0.2,-0.133333333333333,0,0.172509315526949,-0.234367816091954,-0.411688311688312
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.317912214367911,0.389064112011791,0.32,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.536378171706639,-0.532361274705514,0.34356634252617,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.302148268398268,-0.571971819030643,0.43001972269299,0.364990253411306,0.39964935232262,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.229622331691297,0.28,0.2,0.2,0,-0.0333333333333333,0.1,0.350689743029774,-0.138556067588326,-0.31979020979021
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.317912214367911,0.389064112011791,0.22,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.536378171706639,-0.532361274705514,0.34356634252617,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.302148268398268,-0.571971819030643,0.43001972269299,0.364990253411306,0.39964935232262,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.229622331691297,0.28,0.2,0.2,0,-0.0333333333333333,0.1,0.350689743029774,-0.138556067588326,-0.31979020979021
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.330030525030525,0.408095238095238,0.22,0.350952380952381,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,0.173787281662044,0.172868217054264,0.380517322247095,0.133333333333333,0.0888888888888889,0.121794871794872,0.0833333333333333,0.221950950692673,0.0333333333333333,0.228372544263885,0.186267281105991,0.231428571428571,0.221913875598086,-0.515648723257419,0.570966183574879,0.570966183574879,0.529777899546849,-0.530680396216065,0.342368166566068,0.303451910408432,0.303451910408432,0.303451910408432,-0.622465254179266,-0.29838193850733,-0.581865225333433,0.415208281358772,0.350169185653057,0.384826601969459,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.206504941599281,0.269230769230769,0.2,0.2,0,-0.0333333333333333,0.1,0.335565041677191,-0.151206636500754,-0.331283545659456
"PAK1",0.438259488824967,0.459418819688829,0.424446142093201,0.378991596638655,0.314285714285714,0.344403861145953,0.438397445345124,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.234991479209271,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.600689101916495,0.600689101916495,0.57272536881333,-0.572288014632253,0.377202706162534,0.34356634252617,0.34356634252617,0.34356634252617,-0.652656109659312,-0.324330086580087,-0.61258095608648,0.455812826141266,0.398648789996672,0.43001972269299,0.364990253411306,0.39964935232262,0.365985985985986,0.328148148148148,0.244716671313939,0.328148148148148,0.28,0.28,-0.0333333333333333,-0.0761904761904762,0.2,0.367381472353082,-0.159543721909313,-0.353491867248773
"LIV1",0.438259488824967,0.459418819688829,0.424446142093201,0.378991596638655,0.314285714285714,0.344403861145953,0.438397445345124,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.234991479209271,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.600689101916495,0.600689101916495,0.57272536881333,-0.572288014632253,0.377202706162534,0.34356634252617,0.34356634252617,0.34356634252617,-0.652656109659312,-0.324330086580087,-0.61258095608648,0.455812826141266,0.398648789996672,0.43001972269299,0.364990253411306,0.39964935232262,0.365985985985986,0.328148148148148,0.244716671313939,0.328148148148148,0.28,0.28,-0.0333333333333333,-0.0761904761904762,0.2,0.367381472353082,-0.159543721909313,-0.353491867248773
"EGR1",0.438259488824967,0.459418819688829,0.424446142093201,0.378991596638655,0.314285714285714,0.344403861145953,0.438397445345124,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.234991479209271,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.600689101916495,0.600689101916495,0.57272536881333,-0.572288014632253,0.377202706162534,0.34356634252617,0.34356634252617,0.34356634252617,-0.652656109659312,-0.324330086580087,-0.61258095608648,0.455812826141266,0.398648789996672,0.43001972269299,0.364990253411306,0.39964935232262,0.365985985985986,0.328148148148148,0.244716671313939,0.328148148148148,0.28,0.28,-0.0333333333333333,-0.0761904761904762,0.2,0.367381472353082,-0.159543721909313,-0.353491867248773
"ZEB1",0.462847987139851,0.493955554964301,0.458916184885561,0.417799433616525,0.364176245210728,0.341663787404908,0.363518182603438,0.216666666666667,0.322549019607843,0.276666666666667,0.185035508532918,0.179052084573757,0.166552084573757,0.271727929282357,0.283277866798143,0.470806626937409,0.251849295369572,0.220701754385965,0.223106060606061,0.195833333333333,0.336097295497379,0.173333333333333,0.361548979095771,0.326838235294118,0.289583333333333,0.293879142300195,-0.551679957810132,0.602637427246299,0.602637427246299,0.530147154504434,-0.645743275900009,0.447499647704486,0.416790986287163,0.416790986287163,0.416790986287163,-0.64719007782126,-0.36938012577489,-0.621924030020402,0.503456136571299,0.454169717634641,0.480364160054665,0.422898239971411,0.45270458558658,0.42145458558658,0.384436701509872,0.226403119542798,0.38223889931207,0.338095238095238,0.335897435897436,-0.133333333333333,-0.158333333333333,0.266666666666667,0.377766801388586,-0.248596256684492,-0.32928818441391
"TGFR",0.580525441427758,0.599412360688956,0.55047619047619,0.593333333333333,0.526666666666667,0.479086745916995,0.518505624792575,0.376190476190476,0.474670008354219,0.423558897243108,0.248268329532223,0.239198540333886,0.22603128054741,0.294431375413988,0.374350119484758,0.508245683405826,0.341791979949875,0.315476190476191,0.234367816091954,0.203333333333333,0.351576006915541,0.258333333333333,0.432045811626561,0.38816091954023,0.343333333333333,0.224788823911631,-0.557068395626748,0.607720196655907,0.607720196655907,0.558783035573927,-0.565745049324365,0.442063492063492,0.397619047619048,0.397619047619048,0.397619047619048,-0.651300779961942,-0.404174144677688,-0.615671680007053,0.461067787985111,0.388070602556299,0.428029701182631,0.342264150943396,0.388316782522344,0.342264150943396,0.28,0.239813111701524,0.28,0.2,0.2,-0.233333333333333,-0.153333333333333,0.1,0.195694799397916,-0.265617816091954,-0.453116883116883
"Csl",0.455191785279184,0.475534977335911,0.441294614524119,0.396071684587814,0.331555555555555,0.356907995386256,0.457008281573499,0.286666666666667,0.408095238095238,0.350952380952381,0.206429274050757,0.114086445129611,0.0979753340184995,0.197925212696527,0.204651162790698,0.413248699222265,0.172868217054264,0.133333333333333,0.151206636500754,0.121794871794872,0.249555117359339,0.0888888888888889,0.262008907900249,0.228372544263885,0.186267281105991,0.251995176411094,-0.559934437543133,0.611850161475432,0.611850161475432,0.566094081500615,-0.570741558295576,0.375088754801362,0.342368166566068,0.342368166566068,0.342368166566068,-0.664325719295545,-0.320325973853428,-0.623477425769163,0.440880093823037,0.384040153394992,0.415208281358772,0.350169185653057,0.384826601969459,0.350949050949051,0.314685314685315,0.221672036714962,0.314685314685315,0.269230769230769,0.269230769230769,-0.0333333333333333,-0.0833333333333333,0.2,0.351957485309123,-0.173787281662044,-0.365845757641023
"SMAD",0.497002396351775,0.515412459622746,0.47836066679406,0.431991951710262,0.371428571428571,0.393264484619323,0.471651257594618,0.314285714285714,0.422612796056157,0.369124423963134,0.229016604874041,0.118864696946889,0.204578982661174,0.301602406693723,0.31081045751634,0.43306824043748,0.276143790849673,0.238888888888889,0.250833333333333,0.220833333333333,0.354885770143835,0.205555555555556,0.365703338806787,0.329195402298851,0.286666666666667,0.25790446613428,-0.575333164186459,0.626722763857701,0.626722763857701,0.577814410141149,-0.581976918645028,0.459376049542276,0.425494470594907,0.425494470594907,0.425494470594907,-0.674850937814246,-0.359549034924975,-0.636982752070511,0.45395730561632,0.395861332911693,0.427716170864547,0.35989010989011,0.396644257703081,0.360644257703081,0.321428571428571,0.229856747773268,0.321428571428571,0.271428571428571,0.271428571428571,-0.15,-0.183333333333333,0.2,0.263122480219449,-0.277438837920489,-0.388686970099244
"SNAI1",0.467611458329414,0.4896607551727,0.459418819688829,0.424446142093201,0.378991596638655,0.268781085345242,0.474271884807007,0.336521739130435,0.438397445345124,0.389064112011791,0.118334110255796,0.119383929476776,0.108190817545656,0.204873818996692,0.216471734892788,0.423585052628531,0.187305068226121,0.157675438596491,0.159543721909313,0.138556067588326,0.259697361562212,0.120833333333333,0.27603872318158,0.245018315018315,0.212051282051282,0.247238256844552,-0.589008056887021,0.634022435249828,0.634022435249828,0.603801466701362,-0.605897686480267,0.404460505834127,0.377202706162534,0.377202706162534,0.377202706162534,-0.688348097172319,-0.343934046976126,-0.647259150130668,0.476876326399397,0.429178954530493,0.455812826141266,0.398648789996672,0.43001972269299,0.39964935232262,0.364990253411306,0.258236484833752,0.365985985985986,0.328148148148148,0.328148148148148,-0.0833333333333333,-0.10952380952381,0.28,0.381690682879398,-0.182543721909313,-0.383198980219485
"GLI",0.498602833677331,0.616395639583094,0.577572110171329,0.530402298850575,0.468333333333333,0.406608535596181,0.556203750209275,0.402857142857143,0.509242424242424,0.461190476190476,0.15473324072645,0.158369988985897,0.144856475472383,0.324973091900828,0.239155739050006,0.428092680758216,0.206343239050006,0.175730994152047,0.273339598997494,0.247023809523809,0.277313157020813,0.138888888888889,0.291431097637994,0.254288240495137,0.214288240495137,0.233301153124162,-0.586816816816817,0.636199436763953,0.636199436763953,0.592430121798732,-0.592572980753959,0.469793937812238,0.433556314049861,0.433556314049861,0.433556314049861,-0.675986073187773,-0.414388574521956,-0.646980800417333,0.477788577250753,0.416240461867657,0.450113741626127,0.478368121442125,0.416672183184568,0.37874114870181,0.434838709677419,0.25594806763285,0.334838709677419,0.38,0.28,-0.0833333333333333,-0.20952380952381,0.2,0.331515058854933,-0.299870211242392,-0.407772174862542
