"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","DSH","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","CD44","cMet","SRC","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0573610762399114,0.026014053237495,0.0290742704141979,0.0272273047149894,0.0210204081632653,0.0520792877586431,0.0958393068257154,0.0625641025641026,0.0529267453857618,0.0534731934731935,0.00964317733548503,0.0137643982954651,0.0134126984126984,-0.11982880823179,0.0453011453011453,-0.0396307326916396,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.111877394636015,-0.185626117497308,0.0523809523809524,-0.0596798710706516,-0.0560654132393263,-0.0549784567175871,-0.0615627546709182,-0.203449474651521,0.192674819717496,0.192674819717496,-0.233647002325177,0.214940998762954,0.00252949119307952,0.00371152429000624,0.00371152429000624,0.00371152429000624,0,0.0515133091797166,-0.0899147134152408,-0.204321168676007,-0.186478375694466,-0.185758339602481,-0.185993558138967,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.020302713653703,0.116540607071248,-0.122404761904762
"AXIN2",0.110745714441782,0.0646945769485324,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.111846180853043,0.155365482844236,0.153333333333333,0.117363422232353,0.131382113821138,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.153439770611902,0.101497584541063,-0.0369276842907675,0.104830917874396,0.109178743961353,-0.152930402930403,-0.157692307692308,-0.220035634166069,0.122222222222222,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,-0.252988588338008,0.245369671778658,0.245369671778658,-0.2770272187641,0.249359406027404,0.0673517972860078,0.0699833762333762,0.0699833762333762,0.0699833762333762,0,0.0626488509647817,-0.171720365288488,-0.259513745937895,-0.239866224991558,-0.237208142308837,-0.238655152327198,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159467589834489,0.151144688644689,-0.178970773024171
"HEY1",0.389770434331706,0.373322638146168,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.335628217399177,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412271483305966,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354122841189456,0.354122841189456,0.4649781869926,-0.592777865765671,0.399948539739318,0.375225292506846,0.375225292506846,0.375225292506846,0,-0.673421362470867,-0.346275206511176,-0.362258592471358,0.395546429340606,0.353897196408636,0.376344434328137,0.353267511251214,0.326310989512084,0.296078431372549,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342642524191096,-0.297916666666667,-0.328043319795897
"FOXC2",0.389770434331706,0.373322638146168,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.335628217399177,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412271483305966,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354122841189456,0.354122841189456,0.4649781869926,-0.592777865765671,0.399948539739318,0.375225292506846,0.375225292506846,0.375225292506846,0,-0.673421362470867,-0.346275206511176,-0.362258592471358,0.395546429340606,0.353897196408636,0.376344434328137,0.353267511251214,0.326310989512084,0.296078431372549,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342642524191096,-0.297916666666667,-0.328043319795897
"DSH",0.231314495378143,0.258798161894662,0.240331262939959,0.203188405797101,0.146666666666667,0.19187183645388,0.134641773797487,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0763983808235878,0.0631908336537765,0.13107412081289,0.176609195402299,0.262576434829251,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.179099597203222,0.0866666666666667,0.239751425045543,0.222268907563025,0.192857142857143,0.156541019955654,-0.33287917108591,0.364058828413597,0.364058828413597,0.392199289723783,-0.394446504979984,0.195359932328227,0.173449819968676,0.173449819968676,0.173449819968676,0,-0.465153934585189,-0.109490894583409,-0.369029394555309,0.366164681043837,0.328532114600226,0.348800478016233,0.328800478016233,0.308270676691729,0.286842105263158,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00469573540606911,-0.119417679095098,-0.16030969030969
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.227666911225238,0.22073762506942,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.374004753416518,0.110714285714286,0.0857142857142857,0.14,0.1,0.258543536260005,0.1,0.21041181041181,0.156565656565657,0.111111111111111,0.0613968253968254,-0.332663797226208,0.372663797226208,0.372663797226208,0.624385964912281,-0.474936280818634,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,0,-0.543314330360812,-0.164381402679275,-0.380952950808151,0.377496836898203,0.32,0.351288185498712,0.318421052631579,0.268421052631579,0.2,0.1,0.337271448663854,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.277272727272727,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.2,0.1,0,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.3,0.25,0.25,0.25,0,-0.341666666666667,-0.258461538461538,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.15,0.1,0.1,0.1,0.276190476190476,0,-0.2,0,0.27668449197861,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.173280998389694,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,0,-0.472077970556085,-0.184424027509134,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.255555555555556,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.173280998389694,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,0,-0.472077970556085,-0.184424027509134,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.255555555555556,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"SNAI2",0.42524388063308,0.411319332429833,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.370611128002432,0.2,0.349019607843137,0.288235294117647,0.116169379144063,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.448113033907251,0.326724137931034,0.275,0.301176470588235,0.26,0.401762028014479,0.2,0.41441672362725,0.376754385964912,0.332894736842105,0.323799864773496,-0.286538461538462,0.378351032448378,0.378351032448378,0.710777486540221,-0.63753975365315,0.441339687779399,0.412440605210591,0.412440605210591,0.412440605210591,0,-0.808746439750999,-0.384781680843636,-0.386402543409146,0.44947920169572,0.402974962071897,0.427956280172798,0.40259545543053,0.373563197366014,0.341168831168831,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.386244637063601,-0.335870348139256,-0.354781879194631
"cateninnuc",0.394507368590577,0.378137286787904,0.357436301026677,0.331211517165006,0.299428571428571,0.374460838102641,0.337335258946878,0.297101449275362,0.352901205075118,0.327260179434092,0.124548072308431,0.111669061532075,0.103449883449883,0.217603968067058,0.34458648989899,0.324454444198297,0.32739898989899,0.304166666666667,0.18792349726776,0.163333333333333,0.248109713969411,0.270833333333333,0.374816361654007,0.356179998017643,0.332203389830509,0.259980449657869,-0.300726614270304,0.382085838417572,0.382085838417572,0.463643712716868,-0.409839606726669,0.387892431134189,0.371916099773243,0.371916099773243,0.371916099773243,0,-0.493080734204538,-0.336272264655175,-0.389349413469608,0.182113981980298,0.254886545716926,0.26895973108027,0.253926073638235,0.237027465288335,0.216375291375291,0.191375291375291,0.395546429340606,-0.233333333333333,-0.133333333333333,0.160606060606061,0.320697344642844,-0.204693683603163,-0.349567184246437
"RAS",0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.315727554179567,0.306489675516224,0.26,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.192870056497175,0.212222222222222,0.375242771412984,0.173333333333333,0.166666666666667,0.116666666666667,0.1,0.258624088310664,0.2,0.277259185700099,0.226315789473684,0.2,0.0125541125541125,-0.356428571428571,0.398696612665685,0.398696612665685,0.57634173186284,-0.400410502033264,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,0,-0.47119473173547,-0.216989664082687,-0.407661538461538,0.410022792164208,0.338970588235294,0.37971117743333,0.338172715894869,0.276470588235294,0.2,0.1,0.349934123847167,-0.2,-0.1,0,-0.0340659026705538,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.370573870573871,0.39267243394903,0.343736263736264,0.301428571428571,0.271428571428571,0.359400959400959,0.356393745557925,0.276190476190476,0.323037323037323,0.30952380952381,0.261647727272727,0.259196932100158,0.252903225806452,0.298701026608003,0.338011695906433,0.403942028985507,0.304678362573099,0.288888888888889,0.233333333333333,0.2,0.357215265481102,0.3,0.394031320791884,0.347552447552448,0.309090909090909,-0.0272222222222222,-0.362017543859649,0.400588972431078,0.400588972431078,0.645446544203578,-0.494195273195273,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,0,-0.563557925110508,-0.31585308255715,-0.410651126415904,0.400453903067587,0.331521739130435,0.370434782608696,0.330434782608696,0.273913043478261,0.2,0.1,0.345606435643564,-0.2,-0.2,0,-0.0356106235300866,-0.268468468468469,-0.381834795321637
"AKT",0.278358212604682,0.298249873938228,0.273778574844572,0.233941176470588,0.177941176470588,0.221555490841284,0.195391551153513,0.0952380952380952,0.192441566790651,0.148179271708683,0.0875742731867506,0.0923497091765999,0.0798917967186875,0.14889338731444,0.195210018739431,0.300363520264519,0.276018099547511,0.252941176470588,0.115384615384615,0.1,0.202450912048333,0.2,0.2592749500696,0.236104218362283,0.203846153846154,0.196794871794872,-0.370175438596491,0.404960518367885,0.404960518367885,0.42360485275609,-0.428577766723433,0.242923484826999,0.21635343651782,0.21635343651782,0.21635343651782,0,-0.504502212980328,-0.204666942488891,-0.40598605092337,0.400873571167032,0.357752076547316,0.381335109628571,0.358036140556406,0.332612411742847,0.303381642512077,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00402563507428506,-0.132051282051282,-0.189705179730755
"MEK",0.33744792537896,0.363955769087088,0.320890075656431,0.267619047619048,0.22,0.174333577891905,0.246378650710445,0.17,0.227666911225238,0.187241379310345,0.163218245169465,0.165950203144554,0.156725110893631,0.227544412300439,0.185580595874714,0.406605486017251,0.156168831168831,0.110714285714286,0.184,0.14,0.279035339538693,0.0857142857142857,0.247638087784073,0.21041181041181,0.156565656565657,0.0925079365079365,-0.369918699186992,0.410759035321446,0.410759035321446,0.659179152260213,-0.51249725642839,0.129801864801865,0.0945637695637696,0.0945637695637696,0.0945637695637696,0,-0.584662235643144,-0.191788810086682,-0.419033446164188,0.400545164035749,0.352867132867133,0.377496836898203,0.351288185498712,0.318421052631579,0.268421052631579,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0427917896416654,-0.208590163934426,-0.257629367536488
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.415,0.373019670388091,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.351941391941392,0.266666666666667,0.2,0.15,0.1,0.188531468531469,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.420634920634921,0.420634920634921,0.439156399156399,-0.144450549450549,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,0,-0.283107697318424,-0.223809523809524,-0.431699604743083,0.132277877161598,0.0233333333333333,0.0861240310077519,0.0233333333333333,0.05,0,0.1,-0.02,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.423703703703704
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.252190476190476,0.293560927339553,0.1,0.178857142857143,0.142857142857143,0.181940144478844,0.18578795379538,0.172916666666667,0.2557343550447,0.321042471042471,0.532941176470588,0.264285714285714,0.314285714285714,0.18,0.12,0.287413308341143,0.3,0.362914862914863,0.307359307359307,0.245454545454545,0.301890756302521,-0.363369963369963,0.425418546365915,0.425418546365915,0.660347091652491,-0.569256032607988,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,0,-0.682863893582049,-0.224135146621334,-0.428840579710145,0.439530455479823,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.277777777777778,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139265491747074,-0.228148148148148,-0.277322404371585
"Csn",0.253628756931699,0.279771395206155,0.252802421459138,0.206648575305292,0.145454545454545,0.244680735930736,0.164442291419907,0.106666666666667,0.209264069264069,0.161212121212121,0.0753737541528239,0.0823617387046469,0.0687370600414079,0.139396839132429,0.205766666666667,0.294960261804582,0.184166666666667,0.155,0.108513708513709,0.0873015873015873,0.186845221450699,0.105,0.263672438672439,0.238672438672439,0.201010101010101,0.171982013144241,-0.399880772821949,0.437214226633582,0.437214226633582,0.438332543420922,-0.442370015831975,0.237164264199406,0.209087341122483,0.209087341122483,0.209087341122483,0,-0.516743725919167,-0.148539664204292,-0.445018334053115,0.419835433947705,0.37427547866515,0.398849264374644,0.374733508747634,0.348511286525412,0.318390804597701,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0505036217942907,-0.124642740771773,-0.180116926807423
"ERK",0.366336814267849,0.393626098757417,0.363955769087088,0.320890075656431,0.267619047619048,0.20970962246015,0.269348488297452,0.187241379310345,0.174333577891905,0.227666911225238,0.175163637660932,0.177500355120237,0.165950203144554,0.244935716648265,0.210351238076548,0.432541685739858,0.185580595874714,0.156168831168831,0.208590163934426,0.184,0.298312447972428,0.110714285714286,0.275615927119253,0.247638087784073,0.21041181041181,0.123575897672985,-0.404802420117224,0.442727539258453,0.442727539258453,0.688124147751646,-0.544787964800055,0.157916528528436,0.129801864801865,0.129801864801865,0.129801864801865,0,-0.618750804129241,-0.213249997301294,-0.452366779497521,0.420336830702416,0.378681669207985,0.400545164035749,0.377496836898203,0.351288185498712,0.318421052631579,0.268421052631579,0.411646311331399,-0.0857142857142857,-0.14,0.2,0.0587000258206801,-0.227544412300439,-0.285205969207797
"STAT",0.218786639400136,0.21176467189053,0.194856459330144,0.165909090909091,0.140909090909091,0.207893738140417,0.148627450052929,0.2,0.191764705882353,0.18,0.0586666666666667,0.0649619634627131,0.0615136876006441,0.0628225972422309,0.0427602905569007,0.0802251471666764,0.0342857142857143,0.02,0.045,0.025,0.0675142417782127,0,0.0330241149201743,0.0204027556968733,-0.00392156862745098,-0.0069376026272578,-0.326728064963359,0.442935269858347,0.442935269858347,0.104995176821802,-0.0628629869659736,-0.0303369043967993,-0.044194582299421,-0.044194582299421,-0.044194582299421,0,-0.20560603104461,0.0417107030900134,-0.458532927961468,0.0325315917856516,0.0111440030557678,0.0224004833231963,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0635332413002316,-0.0566279069767442,-0.171240347490347
"cMet",0.405332278481013,0.406264775413712,0.372222222222222,0.35,0.3,0.420454545454546,0.4052230602186,0.325,0.415,0.385,0.21781905744754,0.21034632034632,0.197619047619048,0.205397727272727,0.2725,0.393514425649257,0.26,0.266666666666667,0.15,0.15,0.225487990270599,0.2,0.280035194368901,0.24812030075188,0.242857142857143,0.0109523809523809,-0.320634920634921,0.458008658008658,0.458008658008658,0.48879143565275,-0.196763716710336,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,0,-0.332217112076693,-0.259293394777266,-0.467637104743083,0.166176182246344,0.086969696969697,0.132277877161598,0.0861240310077519,0.0233333333333333,0.05,0,0.0419047619047619,-0.2,-0.1,0.1,-0.127328695606007,-0.177272727272727,-0.453333333333333
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,0,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.1,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
