"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","ERK","cfos","SNAI1","TWIST1","HEY1","AKT","SHH","IKK","ILK","SMAD","NFB","Csn","Jagged","SMO","NOTCH","FUS","KLF4","NOTCHic","Csl","SOSGRB2","cateninmemb","SNAI2","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","miR200","Ecadherin","GSK3","GLI","cateninnuc","Wnt","TCFLEF","CD44","cMet","Frizzled","SRC","DSH","SUFU","STAT","AXIN2","Patched","TrCP","LIV1","Destcompl","RKIP"
"TGF",-0.0160248447204969,-0.0363492063492063,0.0850793650793651,0.108888888888889,0.12,0.0333333333333333,0.0141520467836257,0.0385964912280702,0.0333333333333333,-0.00882072472981564,-0.0646296296296296,-0.0597034171502257,0.00325814536340852,-0.0899497126436782,0.019047619047619,-0.0512121212121212,-0.0495992179863148,0.0333333333333333,0.0333333333333333,-0.120630829651448,-0.0633333333333333,-0.0339080459770115,-0.0466666666666667,0.116959064327485,-0.0166666666666667,0.0133333333333333,-0.115789473684211,0.238018893965749,-0.103554056562906,-0.129686337054758,-0.129686337054758,-0.0589285714285714,-0.0446428571428571,-0.0446428571428571,-0.0446428571428571,0.138821236235029,0.218927550349749,7.45503680924325e-05,-0.197088948787062,-0.200580632541904,-0.191428571428571,-0.19627441244621,-0.192327044025157,-0.186666666666667,-0.171428571428571,-0.166666666666667,-0.1,0.0666666666666667,-0.1,-0.226763668430335,0.0805747126436782,0,0,-0.159181402943919,0.000432900432900435
"ZEB2",-0.216735042735043,-0.208780320208892,-0.201372912801484,-0.191168831168831,-0.185714285714286,-0.158333333333333,-0.149860932819855,-0.142543859649123,-0.142543859649123,-0.134201937272252,-0.112307119515343,-0.102463343108504,-0.0957840083073728,-0.0945248653785239,-0.0911111111111111,-0.0909688902646649,-0.089139621971982,-0.0888888888888889,-0.0888888888888889,-0.0840264610725505,-0.0835714285714286,-0.079344262295082,-0.075,-0.0734780219111276,-0.0733333333333333,-0.0666666666666667,-0.061996336996337,-0.0498603936436484,-0.0448845169808679,-0.027350044771894,-0.027350044771894,-0.0194751429869203,-0.014978354978355,-0.014978354978355,-0.014978354978355,-0.00843217853020067,-0.00747610761856322,0.00746493259059959,0.0480319069309895,0.0491719393090779,0.0517016317016317,0.0518992120363507,0.0550682261208577,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.075,0.08,0.0874933309354674,0.0908885017421603,0.1,0.1,0.114757038315751,0.150080515297907
"TWIST1",0.37908474683606,0.409358666985621,0.384073928944619,0.350323928944619,0.295151515151515,0.213333333333333,0.38787709051994,0.348573607932876,0.295942028985507,0.231843790357297,0.38083433220733,-0.0808157943751164,0.224598000869187,0.186069085483351,0.202564102564103,-0.103935753935754,-0.108226182978658,0.169230769230769,0.1,0.254815111037106,0.175555555555556,0.289909691985164,0.155555555555556,-0.095236606212216,0.266324786324786,0.235555555555556,0.279002131862544,-0.599231906796684,0.691229672108006,0.159721124633405,0.159721124633405,0.426034488478797,0.400349556971948,0.400349556971948,0.400349556971948,-0.140010830451036,-0.730369169220496,-0.374034337033373,0.387112113617377,0.430407686063714,0.361512113617377,0.411258749893501,0.388134707014481,0.362833502195204,0.337301587301587,0.337301587301587,0.309523809523809,-0.1,0.309523809523809,0.437045588819782,-0.179665144596651,0,0.266666666666667,0.381166047447546,-0.222889109845632
"Destcompl",0.0540035526326198,0.0232493796066521,0.0249242564539427,0.0217663617171006,0.0169387755102041,0.0625641025641026,0.0494745014271887,0.0498964423554587,0.0504428904428904,0.0928032093381361,-0.041828358698935,-0.00601757217141833,0.0401267998583435,-0.125714596520842,0.0407979407979408,0.000238095238095237,-0.00151629072681704,0.0380952380952381,0.0380952380952381,-0.190486087469021,-0.125528188286809,-0.0629030014592444,-0.134099616858238,-0.197792691141193,-0.0615001958480219,-0.0636741088915002,-0.0635045022437337,0.217296497134373,-0.235132690596047,0.188062310030395,0.188062310030395,0.000959619511766972,0.00252947822448283,0.00252947822448283,0.00252947822448283,-0.199370687045158,0.0543858247318733,-0.0879389493340916,-0.186500454630311,-0.188257557023947,-0.183346465762036,-0.187492641164692,-0.185848805548254,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,0.144444444444444,-0.181746031746032,-0.23912408550422,0.123973784141731,-0.0666666666666667,-0.188888888888889,-0.0204273128169239,-0.118720284862285
"AXIN2",0.105732448659849,0.0606191823705478,0.0596290833606468,0.0622839506172839,0.0783333333333333,0.153333333333333,0.109287366802124,0.115494263353849,0.131382113821138,0.150816652204496,-0.0397964640222923,-0.00347124870451442,0.0921256038647343,-0.164768960547649,0.0932367149758454,0.000368069933287325,0.00116172072693812,0.10048309178744,0.122222222222222,-0.22665946861599,-0.173076923076923,-0.0593609022556391,-0.173076923076923,-0.248218405457819,-0.0593609022556391,-0.0557894736842105,-0.0784895235666624,0.250833460153724,-0.277788168862161,0.239874495663116,0.239874495663116,0.0664997637826834,0.069649370081896,0.069649370081896,0.069649370081896,-0.254039962023705,0.0656468230086922,-0.169672553736627,-0.237208142308837,-0.240983143005301,-0.235950280673617,-0.23912408550422,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,0.15,-0.24,0.182032686545068,0.16771978021978,-0.133333333333333,-0.233333333333333,0.15963092790824,-0.17347660404112
"Wnt",0.150445344129555,0.181159420289855,0.133333333333333,0.1,0.1,0.1,0.107843137254902,0.0666666666666667,0.0666666666666667,0.0744824016563147,0.206176470588235,-0.00564102564102564,0.0841666666666667,0.0510822510822511,0.0466666666666667,-0.0145299145299145,-0.0168554959252634,0.0666666666666667,0.1,0.107745098039216,0,0.155952380952381,0,-0.250980392156863,0.114285714285714,0.1,0.0939393939393939,-0.331313559322034,0.338534482758621,0.282687709230033,0.282687709230033,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.285353535353535,-0.389926379678543,-0.0695141065830721,0.286842105263158,0.326151471393716,0.25,0.308270676691729,0.286842105263158,0.25,0.3,0.2,0.2,0,0.1,0.31030303030303,-0.0272727272727273,-0.1,0,-0.0233176107971793,-0.0866666666666667
"Frizzled",0.187654646455136,0.218302277432712,0.181159420289855,0.133333333333333,0.1,0.0666666666666667,0.148583877995643,0.107843137254902,0.0666666666666667,0.0871808143547274,0.229985994397759,-0.00776868521549372,0.115416666666667,0.0607596704370898,0.0841666666666667,-0.0168554959252634,-0.021528393121525,0.0466666666666667,0.0666666666666667,0.118856209150327,0.0272727272727273,0.189285714285714,0,-0.279551820728291,0.155952380952381,0.114285714285714,0.121212121212121,-0.358932606941082,0.364086533231807,0.313380778536964,0.313380778536964,0.17187501681907,0.150615174299385,0.150615174299385,0.150615174299385,-0.316603535353535,-0.421861111613275,-0.0883019853709509,0.308270676691729,0.342818138060383,0.286842105263158,0.326151471393716,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0,0.2,0.340535588442565,-0.0510822510822511,-0.1,0.1,-0.00872875138073365,-0.111666666666667
"DSH",0.205403564204054,0.236769176387416,0.218302277432712,0.181159420289855,0.133333333333333,0.0666666666666667,0.176403426867823,0.148583877995643,0.107843137254902,0.0984851621808144,0.244879611419036,-0.0112774571453183,0.130359195402299,0.0650541489646972,0.115416666666667,-0.021528393121525,-0.0271887704800156,0.0841666666666667,0.0466666666666667,0.127383340933273,0.0510822510822511,0.206768231768232,0.0272727272727273,-0.307707160534117,0.189285714285714,0.155952380952381,0.148041389504804,-0.383314232382778,0.385390374908175,0.335428022631452,0.335428022631452,0.191762972001143,0.17187501681907,0.17187501681907,0.17187501681907,-0.340384023158413,-0.446707468066304,-0.10523934035935,0.325917735515259,0.35786711401764,0.308270676691729,0.342818138060383,0.326151471393716,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0,0.25,0.362898457640877,-0.0607596704370898,-0.0666666666666667,0.2,0.00272163029865566,-0.127750582750583
"HEY1",0.375880553875109,0.362465631929047,0.335636363636364,0.307636363636364,0.263636363636364,0.2,0.360835768234192,0.328877005347594,0.281818181818182,0.30860698821294,0.403359477124183,-0.0183498854087089,0.306031746031746,0.251411290322581,0.283809523809524,-0.0573333333333333,-0.0587826086956522,0.26,0.2,0.314527281813639,0.233333333333333,0.357543530804518,0.233333333333333,-0.259259259259259,0.33177033492823,0.305454545454545,0.28138936535163,-0.591384137542674,0.464333025702278,0.338777089783282,0.338777089783282,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.347948717948718,-0.666896984260888,-0.346953472415037,0.353897196408636,0.394650785511201,0.326310989512084,0.376344434328137,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,-0.2,0.266666666666667,0.40259545543053,-0.239583333333333,-0.1,0.233333333333333,0.341987979717644,-0.309400123685838
"FOXC2",0.375880553875109,0.362465631929047,0.335636363636364,0.307636363636364,0.263636363636364,0.2,0.360835768234192,0.328877005347594,0.281818181818182,0.30860698821294,0.403359477124183,-0.0183498854087089,0.306031746031746,0.251411290322581,0.283809523809524,-0.0573333333333333,-0.0587826086956522,0.26,0.2,0.314527281813639,0.233333333333333,0.357543530804518,0.233333333333333,-0.259259259259259,0.33177033492823,0.305454545454545,0.28138936535163,-0.591384137542674,0.464333025702278,0.338777089783282,0.338777089783282,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.347948717948718,-0.666896984260888,-0.346953472415037,0.353897196408636,0.394650785511201,0.326310989512084,0.376344434328137,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,-0.2,0.266666666666667,0.40259545543053,-0.239583333333333,-0.1,0.233333333333333,0.341987979717644,-0.309400123685838
"IKK",0.395324675324675,0.450989898989899,0.398989898989899,0.344444444444444,0.3,0.1,0.210285714285714,0.150285714285714,0.114285714285714,0.157174158891716,0.480718954248366,-0.117543859649123,0.0768983268983269,-0.00252873563218392,0.030952380952381,-0.122222222222222,-0.129152915291529,0.114285714285714,0.1,0.145470165573258,-0.06,0.237518037518038,-0.08,-0.295238095238095,0.188311688311688,0.145454545454545,0.276890756302521,-0.545608079071766,0.646204225982631,0.34274686716792,0.34274686716792,0.372925027478848,0.330671506352087,0.330671506352087,0.330671506352087,-0.341192865105909,-0.638172004978535,-0.211776556776557,0.37008547008547,0.421819718816072,0.331623931623932,0.397769085904679,0.37008547008547,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.1,0.2,0.399285714285714,0.0266666666666667,-0.2,0.1,0.135314452110492,-0.141985428051002
"PI3K",0.225082462253194,0.248387852702056,0.210176470588235,0.166176470588235,0.125,0.0666666666666667,0.174119483859117,0.136414565826331,0.0952380952380952,0.130426731078905,0.258648700630169,-0.0240204486597383,0.224283559577677,0.0508547008547009,0.196078431372549,-0.0335734293717487,-0.0359734293717487,0.166666666666667,0.166666666666667,0.123684210526316,0.0166666666666667,0.19894540942928,0,-0.313815789473684,0.163461538461538,0.125,0.158461538461538,-0.389072239299825,0.391175691622749,0.346998799032734,0.346998799032734,0.214983573504121,0.18621645021645,0.18621645021645,0.18621645021645,-0.347834682670748,-0.455197839384143,-0.179665704665705,0.332612411742847,0.375363882416735,0.303381642512077,0.355776253550756,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0,0.2,0.358952380952381,-0.0397435897435897,-0.2,0.1,-0.0197171932686978,-0.128038138332256
"ILK",0.225082462253194,0.248387852702056,0.210176470588235,0.166176470588235,0.125,0.0666666666666667,0.174119483859117,0.136414565826331,0.0952380952380952,0.130426731078905,0.258648700630169,-0.0240204486597383,0.224283559577677,0.0508547008547009,0.196078431372549,-0.0335734293717487,-0.0359734293717487,0.166666666666667,0.166666666666667,0.123684210526316,0.0166666666666667,0.19894540942928,0,-0.313815789473684,0.163461538461538,0.125,0.158461538461538,-0.389072239299825,0.391175691622749,0.346998799032734,0.346998799032734,0.214983573504121,0.18621645021645,0.18621645021645,0.18621645021645,-0.347834682670748,-0.455197839384143,-0.179665704665705,0.332612411742847,0.375363882416735,0.303381642512077,0.355776253550756,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0,0.2,0.358952380952381,-0.0397435897435897,-0.2,0.1,-0.0197171932686978,-0.128038138332256
"SHH",0.325,0.42,0.4,0.3,0.2,0,0.3,0.2,0.1,0.216666666666667,0.175,-0.0666666666666667,0.1,0.146666666666667,0.1,-0.0666666666666667,-0.0833333333333333,0,0,0.0942857142857143,0.3,0.2,0.2,-0.3,0.2,0.1,0.25,-0.299068100358423,0.36727969348659,0.35,0.35,0.303846153846154,0.25,0.25,0.25,-0.366666666666667,-0.330555555555556,-0.271794871794872,0.25,0.241111111111111,0.2,0.196666666666667,0.15,0.1,0.2,0.1,0.2,-0.2,0.1,0.276190476190476,-0.266666666666667,0,0,0.272987012987013,-0.22
"cateninnuc",0.371163323015782,0.359704587938288,0.341145635973222,0.317582417582418,0.291428571428571,0.297101449275362,0.36422766104215,0.344961605996279,0.320910973084886,0.301789109388153,0.309084730021922,-0.00623264516088022,0.299107954545455,0.133069501816724,0.285045454545455,-0.0426782106782107,-0.0452702979906254,0.267045454545455,0.245833333333333,0.200571011711824,0.113642987249545,0.348357328375066,0.0988888888888889,-0.276409039754235,0.331539146556884,0.310608913998745,0.254750794616893,-0.402178441371343,0.45938868151845,0.352042529790423,0.352042529790423,0.386463116463117,0.371816651816652,0.371816651816652,0.371816651816652,-0.360226986412453,-0.477993579436844,-0.334596879001251,0.253469882311455,0.176813099534881,0.238054862548609,0.265573110581553,0.252503655764525,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,-0.0888888888888889,0.191375291375291,0.394650785511201,-0.125444229485569,-0.233333333333333,0.160606060606061,0.318878053680275,-0.320808866071893
"RAF",0.273401119952844,0.302020471740098,0.258095238095238,0.22,0.2,0.17,0.219156272927366,0.187241379310345,0.17,0.186919036043664,0.357944147355912,0.086566008517228,0.112987012987013,0.144590163934426,0.0857142857142857,0.0721758664955071,0.0692055694658041,0.0857142857142857,0.1,0.214182634004366,0.1,0.180691530691531,0.1,-0.322907699665232,0.138383838383838,0.111111111111111,0.0613968253968254,-0.472321901733667,0.623057061257796,0.352907699665232,0.352907699665232,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.362553067818535,-0.532785746001392,-0.161544523246651,0.32,0.375461213488534,0.27,0.351288185498712,0.318421052631579,0.268421052631579,0.2,0.2,0.1,-0.1,0.1,0.337271448663854,-0.12,-0.1,0,0.0227081076332972,-0.197619047619048
"SNAI2",0.414626789447261,0.403130884460808,0.37207498383969,0.333613445378151,0.276470588235294,0.2,0.390911499735029,0.349019607843137,0.288235294117647,0.346645873414827,0.441205469608796,-0.0238848704038577,0.340641877856253,0.299118746089985,0.312931034482759,-0.0670020120724346,-0.0713082321681284,0.275,0.2,0.366837112353746,0.277647058823529,0.399606971975393,0.26,-0.281538461538462,0.369736842105263,0.332894736842105,0.323799864773496,-0.636672074694365,0.710377886140621,0.36620704845815,0.36620704845815,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.375265536166583,-0.803949702402706,-0.385748368724354,0.402974962071897,0.448919013092053,0.373563197366014,0.427956280172798,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,-0.2,0.305454545454545,0.447100565604419,-0.287851140456182,-0.1,0.26,0.385743987724154,-0.339474358974359
"AKT",0.246886973531389,0.27165069258121,0.248387852702056,0.210176470588235,0.166176470588235,0.0952380952380952,0.20323340790975,0.174119483859117,0.136414565826331,0.14721871102878,0.278526376471148,-0.0247723283589865,0.139435074729192,0.0592757534862798,0.224283559577677,-0.0359734293717487,-0.0410239344222538,0.196078431372549,0.166666666666667,0.136266991983269,0.0397435897435897,0.219677116746354,0.0166666666666667,-0.342020917678812,0.19894540942928,0.163461538461538,0.187350427350427,-0.416900985477195,0.416602827301141,0.37097140177246,0.37097140177246,0.239320922901712,0.214983573504121,0.214983573504121,0.214983573504121,-0.372968372510321,-0.483834203020507,-0.199826994988285,0.355517439675807,0.392133113185966,0.332612411742847,0.375363882416735,0.355776253550756,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0,0.255555555555556,0.387472236548049,-0.0508547008547009,-0.166666666666667,0.2,-0.00590412461691945,-0.147292796717349
"RAS",0.324444444444444,0.350005824111823,0.309411764705882,0.28,0.26,0.26,0.311805985552116,0.286315789473684,0.26,0.268957718780728,0.359476268412439,0.0865612648221344,0.171111111111111,0.126033898305085,0.16,0.0766233766233766,0.074582560296846,0.166666666666667,0.2,0.212233392469939,0.1,0.247864945382324,0.1,-0.351428571428571,0.215789473684211,0.2,0.0125541125541125,-0.398966458711964,0.57561180485554,0.381325478645066,0.381325478645066,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,-0.392615384615385,-0.461824026931809,-0.215439276485788,0.338970588235294,0.408889647688288,0.276470588235294,0.37971117743333,0.338172715894869,0.276470588235294,0.2,0.2,0.1,-0.1,0.1,0.349934123847167,-0.104,-0.2,0,-0.0340659026705538,-0.365754716981132
"NFB",0.434766906400372,0.490230405319013,0.450989898989899,0.398989898989899,0.344444444444444,0.114285714285714,0.257998132586368,0.210285714285714,0.150285714285714,0.178270049302675,0.511512605042017,-0.119329573934837,0.11023166023166,0.00831463786179199,0.0768983268983269,-0.129152915291529,-0.134729123469968,0.030952380952381,0.114285714285714,0.160578079242323,-0.0266666666666667,0.273001908485779,-0.06,-0.333699633699634,0.237518037518038,0.188311688311688,0.307417072091995,-0.581405333559623,0.678521299153362,0.382210468700487,0.382210468700487,0.403273286185315,0.372925027478848,0.372925027478848,0.372925027478848,-0.381978363595335,-0.677818874962484,-0.236090282266753,0.397051762220302,0.443231483521954,0.37008547008547,0.421819718816072,0.397769085904679,0.37008547008547,0.331623931623932,0.331623931623932,0.277777777777778,0.08,0.277777777777778,0.434746707193516,0.00252873563218392,-0.1,0.2,0.152590199618797,-0.177882863948438
