"","Ecadherin","KLF4","miR200","cateninmemb","Patched","RKIP","GSK3","SUFU","TrCP","LIV1","EGR1","Csn","STAT","DSH","SOSGRB2","PAK1","NFB","FUS","cfos","SRC","Frizzled","cMet","Wnt","Csl","CDC42","SMO","ERK","IKK","Destcompl","RAF","PI3K","DELTA","CD44","GLI","RAS","AXIN2","TCFLEF","TGFR","NOTCHic","MEK","AKT","TWIST1","cateninnuc","SNAI1","TGF","SNAI2","NOTCH","FOXC2","SHH","Jagged","ILK","HEY1","SMAD","ZEB2","ZEB1"
"AXIN2",0.0530814069889472,-0.268125497690715,-0.27754224589202,0.244706236004908,0.0887009803921569,-0.196921814784588,-0.172493591032026,0.133333333333333,-0.133333333333333,-0.233333333333333,0.153333333333333,0.133333333333333,-0.24,-0.24,-0.0739935257780946,0.080752688172043,0.133333333333333,-0.113333333333333,0.133333333333333,-0.237674418604651,-0.237674418604651,-0.235950280673617,-0.235950280673617,-0.0371428571428571,0.0716617790811339,-0.0945833333333333,0.121794871794872,0.135028248587571,0.160229374307807,0.0699833762333762,0.0699833762333762,0.0699833762333762,-0.236267740991077,-0.236583192066022,0.0678669741169741,0.182429488132275,-0.2367428003735,0.0740091969215095,-0.0351820728291317,0.117852219465123,0.133067464273845,-0.0272802354782792,-0.23656612192827,0.174722535321388,0.0761218729778475,-0.274461539927007,-0.0355538200410276,0.124887911202163,-0.0900110240602791,-0.182767308072619,0.246275501350983,0.23771327296294,0.243886422852689,0.263806792395817,0.263806792395817
"Wnt",-0.441643117861769,-0.3,-0.357843137254902,-0.350408961593172,-0.275,-0.183333333333333,-0.081140350877193,0,-0.1,0,0.1,0.1,0.1,0.2,0.106666666666667,0.1,0.1,0.1,0.0666666666666667,0.2,0.3,0.25,0.25,0.133333333333333,0.12,0.2,0.0777777777777778,0.15,-0.0221903966264868,0.118796992481203,0.118796992481203,0.118796992481203,0.286842105263158,0.286842105263158,0.153680713411436,0.31030303030303,0.312768031189084,0.189230769230769,0.2,0.140277777777778,0.219230769230769,0.269256756756757,0.339156920077973,0.186048454469507,0.255897435897436,0.348717948717949,0.261904761904762,0.234224598930481,0.303571428571429,0.285142857142857,0.266666666666667,0.271428571428571,0.297101449275362,0.36,0.36
"HEY1",-0.678574668427048,-0.272222222222222,-0.374444444444444,-0.593709463051568,-0.348888888888889,-0.344632281064919,-0.348801194087342,-0.2,-0.1,0.233333333333333,0.2,0.2,0.266666666666667,0.266666666666667,0.28138936535163,0.263636363636364,0.26,0.233333333333333,0.281818181818182,0.296078431372549,0.296078431372549,0.326310989512084,0.326310989512084,0.305454545454545,0.307636363636364,0.293333333333333,0.328877005347594,0.317894736842105,0.341987979717644,0.375897435897436,0.375897435897436,0.375897435897436,0.353267511251214,0.353897196408636,0.400897435897436,0.40259545543053,0.376344434328137,0.344622665006227,0.34989898989899,0.367824373768646,0.368915145005371,0.419543531967295,0.396244309171692,0.361476186026228,0.381996402379964,0.465396811066094,0.391203337725077,0.401008974048023,0.39625730994152,0.38940652242539,0.26969696969697,0.268421052631579,0.324991087344029,0.367394130065819,0.367394130065819
"FOXC2",-0.678574668427048,-0.272222222222222,-0.374444444444444,-0.593709463051568,-0.348888888888889,-0.344632281064919,-0.348801194087342,-0.2,-0.1,0.233333333333333,0.2,0.2,0.266666666666667,0.266666666666667,0.28138936535163,0.263636363636364,0.26,0.233333333333333,0.281818181818182,0.296078431372549,0.296078431372549,0.326310989512084,0.326310989512084,0.305454545454545,0.307636363636364,0.293333333333333,0.328877005347594,0.317894736842105,0.341987979717644,0.375897435897436,0.375897435897436,0.375897435897436,0.353267511251214,0.353897196408636,0.400897435897436,0.40259545543053,0.376344434328137,0.344622665006227,0.34989898989899,0.367824373768646,0.368915145005371,0.419543531967295,0.396244309171692,0.361476186026228,0.381996402379964,0.465396811066094,0.391203337725077,0.401008974048023,0.39625730994152,0.38940652242539,0.26969696969697,0.268421052631579,0.324991087344029,0.367394130065819,0.367394130065819
"SNAI2",-0.812589213096725,-0.290384615384615,-0.396030293676691,-0.638136164789309,-0.377142857142857,-0.36815034965035,-0.386915113871636,-0.2,-0.1,0.26,0.2,0.2,0.305454545454545,0.305454545454545,0.323799864773496,0.276470588235294,0.275,0.26,0.288235294117647,0.341168831168831,0.341168831168831,0.373563197366014,0.373563197366014,0.332894736842105,0.333613445378151,0.32,0.349019607843137,0.337962962962963,0.385743987724154,0.412827607766268,0.412827607766268,0.412827607766268,0.40259545543053,0.402974962071897,0.442051352058506,0.447100565604419,0.427956280172798,0.377961271465108,0.381985645933014,0.395594950308891,0.3932261208577,0.453642806227008,0.449918896995228,0.393040935672515,0.41789737370153,0.711042686805421,0.426203333007844,0.433898853026166,0.427990314769976,0.431789751210668,0.278723404255319,0.278181818181818,0.342359767891683,0.38893741359809,0.38893741359809
"SHH",-0.351470588235294,-0.3,-0.4,-0.299068100358423,-0.4,-0.3,-0.271794871794872,-0.2,0,0,0,0,0.1,0.2,0.25,0.2,0,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.3,0.3,0.2,0.1,0.272987012987013,0.25,0.25,0.25,0.15,0.25,0.303846153846154,0.276190476190476,0.196666666666667,0.4,0.2,0.3,0.2,0.221428571428571,0.241111111111111,0.345454545454545,0.455555555555556,0.36727969348659,0.26,0.371428571428571,0.35,0.216666666666667,0.2,0.2,0.3,0.4,0.4
"Frizzled",-0.486488478686511,-0.355555555555556,-0.409694989106754,-0.391023296064162,-0.303571428571429,-0.215248226950355,-0.103925161003775,-0.1,-0.1,0.1,0.0666666666666667,0.1,0.2,0.3,0.146666666666667,0.12,0.15,0.2,0.0777777777777778,0.25,0.25,0.286842105263158,0.286842105263158,0.2,0.189230769230769,0.275,0.140277777777778,0.219230769230769,-0.00470405782867264,0.153680713411436,0.153680713411436,0.153680713411436,0.312768031189084,0.312768031189084,0.180509981704118,0.343636363636364,0.339156920077973,0.255897435897436,0.261904761904762,0.192277777777778,0.255230769230769,0.29904399079931,0.364726540331137,0.212971531392584,0.300578286961266,0.382492783155035,0.298268398268398,0.280891265597148,0.336904761904762,0.312415584415584,0.297101449275362,0.302197802197802,0.351487414187643,0.408837209302326,0.408837209302326
"cateninnuc",-0.507616961412293,-0.323587468760347,-0.419425399205361,-0.416081483722488,-0.301626890756303,-0.382119029578648,-0.340613056380113,-0.171428571428571,-0.233333333333333,0.160606060606061,0.297101449275362,0.29047619047619,0.191375291375291,0.191375291375291,0.264257456116606,0.304761904761905,0.337142857142857,0.22436974789916,0.331527678783559,0.216375291375291,0.217402688635565,0.237027465288335,0.238054862548609,0.349952380952381,0.342361904761905,0.267226890756303,0.360559936848075,0.371233766233766,0.320661993807207,0.373253609135962,0.373253609135962,0.373253609135962,0.255027465288335,0.255983149401198,0.390132319907803,0.396244309171692,0.271580753270194,0.372692235092235,0.379952380952381,0.384730552961819,0.398506493506494,0.340160905039247,0.186380978368675,0.380139155458787,0.397172604607247,0.467116803846028,0.404209806694955,0.418853459821202,0.330971620101032,0.305891146197642,0.341597740972904,0.338257073386384,0.378897512139952,0.413476334835331,0.413476334835331
"RAF",-0.578471563412712,-0.368888888888889,-0.43289451987028,-0.488662277672913,-0.328947368421053,-0.279047619047619,-0.172723894463025,-0.1,-0.1,0,0.17,0.1,0.1,0.1,0.0732229123533471,0.2,0.12,0.15,0.17,0.2,0.2,0.268421052631579,0.27,0.142857142857143,0.238461538461538,0.25,0.195925925925926,0.173846153846154,0.0237739345575387,0.050974025974026,0.050974025974026,0.050974025974026,0.318421052631579,0.32,0.0970609824957651,0.337271448663854,0.355111700113593,0.306029106029106,0.211278195488722,0.245925925925926,0.244216524216524,0.412484742807323,0.386676686850994,0.304334050693448,0.371335228478086,0.631545988258317,0.280843412880026,0.352665613955936,0.381328320802005,0.381362612612613,0.355594405594406,0.346363636363636,0.40276421691516,0.427509578544061,0.427509578544061
"PI3K",-0.51687123244169,-0.386274509803922,-0.438941798941799,-0.41854164119226,-0.318954248366013,-0.234967854418655,-0.19489143706535,-0.1,-0.2,0.1,0.0666666666666667,0.2,0.2,0.2,0.17972972972973,0.142857142857143,0.26,0.2,0.105128205128205,0.255555555555556,0.255555555555556,0.303381642512077,0.303381642512077,0.204761904761905,0.216190476190476,0.277777777777778,0.167628205128205,0.331428571428571,-0.0160030221350976,0.188991960420532,0.188991960420532,0.188991960420532,0.336714975845411,0.336714975845411,0.22279477732194,0.361768707482993,0.367303211139528,0.281407867494824,0.269979296066253,0.218505398110661,0.371428571428571,0.32529190041709,0.395564080704746,0.267337662337662,0.330498776585733,0.408054702489319,0.313375522481347,0.319556957487992,0.362954248366013,0.339991039426523,0.337169312169312,0.34,0.396589602024385,0.441127670580427,0.441127670580427
"ILK",-0.51687123244169,-0.386274509803922,-0.438941798941799,-0.41854164119226,-0.318954248366013,-0.234967854418655,-0.19489143706535,-0.1,-0.2,0.1,0.0666666666666667,0.2,0.2,0.2,0.17972972972973,0.142857142857143,0.26,0.2,0.105128205128205,0.255555555555556,0.255555555555556,0.303381642512077,0.303381642512077,0.204761904761905,0.216190476190476,0.277777777777778,0.167628205128205,0.331428571428571,-0.0160030221350976,0.188991960420532,0.188991960420532,0.188991960420532,0.336714975845411,0.336714975845411,0.22279477732194,0.361768707482993,0.367303211139528,0.281407867494824,0.269979296066253,0.218505398110661,0.371428571428571,0.32529190041709,0.395564080704746,0.267337662337662,0.330498776585733,0.408054702489319,0.313375522481347,0.319556957487992,0.362954248366013,0.339991039426523,0.337169312169312,0.34,0.396589602024385,0.441127670580427,0.441127670580427
"CD44",-0.298876820243495,-0.288235294117647,-0.454909090909091,-0.147731092436975,-0.242857142857143,-0.454444444444445,-0.226646403242148,-0.1,-0.1,0.1,0.3,0.2,0.1,0,-0.00238095238095239,0.2,0.2,0.1,0.325,0,-0.1,0.05,-0.05,0.2,0.3,0.2,0.385,0.3,-0.159085452362763,0.166666666666667,0.166666666666667,0.166666666666667,0.0233333333333333,0.0233333333333333,0.203809523809524,-0.02,0.0861240310077519,0.36,0.266666666666667,0.421842105263158,0.316666666666667,0.377083333333333,0.134561531007752,0.433445945945946,0.3975,0.440784929356358,0.291666666666667,0.407142857142857,0.329523809523809,0.294615384615385,0.366666666666667,0.366666666666667,0.44,0.446130030959752,0.446130030959752
"RAS",-0.502966527982913,-0.385714285714286,-0.453675735231799,-0.411130536130536,-0.363888888888889,-0.45175983436853,-0.224587878787879,-0.1,-0.2,0,0.26,0.2,0.1,0.1,0.0186147186147186,0.26,0.2,0.2,0.26,0.2,0.2,0.276470588235294,0.276470588235294,0.233333333333333,0.293333333333333,0.275,0.293333333333333,0.245454545454545,-0.0334059102515478,0.205641025641026,0.205641025641026,0.205641025641026,0.338172715894869,0.338970588235294,0.155155588747822,0.349934123847167,0.381922715894869,0.351954022988506,0.293333333333333,0.333758865248227,0.310971786833856,0.417821565407772,0.417216833541927,0.396315789473684,0.420842911877395,0.581982960859365,0.362898550724638,0.404123287671233,0.430555555555556,0.423574454219615,0.417142857142857,0.414484126984127,0.45945054945055,0.447619047619048,0.447619047619048
"DSH",-0.524086903883361,-0.401010101010101,-0.450274699251681,-0.426144624288938,-0.336904761904762,-0.246914893617021,-0.124606426210588,-0.2,-0.1,0.2,0.0777777777777778,0.15,0.25,0.25,0.179134199134199,0.189230769230769,0.219230769230769,0.275,0.140277777777778,0.286842105263158,0.286842105263158,0.312768031189084,0.312768031189084,0.261904761904762,0.255897435897436,0.303571428571429,0.192277777777778,0.255230769230769,0.0109489830486953,0.180509981704118,0.180509981704118,0.180509981704118,0.339156920077973,0.339664582913222,0.206980569939413,0.372583732057416,0.364726540331137,0.300578286961266,0.298268398268398,0.227277777777778,0.288564102564103,0.326028117783437,0.386673105216633,0.243253221533429,0.328356064739043,0.412356475844006,0.328268398268398,0.309174093879976,0.377445302445302,0.34674394262454,0.351487414187643,0.357753357753358,0.407042969743199,0.44845985081176,0.44845985081176
"SOSGRB2",-0.594861863358936,-0.391408199643494,-0.455670053217223,-0.505564345328229,-0.427777777777778,-0.432575757575758,-0.323094053541815,-0.2,-0.2,0,0.276190476190476,0.3,0.1,0.1,-0.0197058823529412,0.271428571428571,0.314285714285714,0.25,0.30952380952381,0.2,0.2,0.273913043478261,0.275,0.333333333333333,0.315873015873016,0.35,0.32952380952381,0.360952380952381,-0.0347462061747776,0.285875706214689,0.285875706214689,0.285875706214689,0.330434782608696,0.331521739130435,0.335226355565339,0.345606435643564,0.373445535296868,0.376742581090407,0.396969696969697,0.37468509984639,0.424110275689223,0.442466787439614,0.408099000643402,0.439498746867168,0.440522108649462,0.651440412124131,0.464182811723795,0.423939773818415,0.491111111111111,0.494950166112957,0.475555555555556,0.471531100478469,0.526837606837607,0.448785248823822,0.448785248823822
"MEK",-0.630671563412712,-0.42394506866417,-0.488691621319555,-0.53444697287395,-0.381328320802005,-0.324784053156146,-0.203512698534272,-0.15,-0.1,0.1,0.17,0.12,0.2,0.2,0.110572309943709,0.238461538461538,0.173846153846154,0.25,0.195925925925926,0.268421052631579,0.27,0.318421052631579,0.32,0.211278195488722,0.306029106029106,0.328947368421053,0.245925925925926,0.244216524216524,0.0460080913781617,0.0970609824957651,0.0970609824957651,0.0970609824957651,0.355111700113593,0.356690647482014,0.136276668770275,0.382225577104221,0.386676686850994,0.371335228478086,0.280843412880026,0.201283068783069,0.292701372701373,0.454761165571551,0.415178155998888,0.345646792006189,0.424371665725049,0.671723428055529,0.329995955252908,0.40651176780209,0.429899749373434,0.420945945945946,0.40276421691516,0.393030303030303,0.457731104332379,0.482858415753364,0.482858415753364
"AKT",-0.559583953587435,-0.434274509803921,-0.483878507802558,-0.457509808041876,-0.362954248366013,-0.273203148536302,-0.218942069976743,-0.2,-0.2,0.2,0.105128205128205,0.26,0.255555555555556,0.255555555555556,0.216200317965024,0.216190476190476,0.331428571428571,0.277777777777778,0.167628205128205,0.303381642512077,0.303381642512077,0.336714975845411,0.336714975845411,0.269979296066253,0.281407867494824,0.318954248366013,0.218505398110661,0.371428571428571,0.00169457236662059,0.22279477732194,0.22279477732194,0.22279477732194,0.367303211139528,0.367709127892194,0.253448043653599,0.396097065691948,0.395564080704746,0.330498776585733,0.313375522481347,0.255568335173598,0.310902255639098,0.358173256349294,0.41956080470147,0.304687059928024,0.365430283435048,0.441954808759244,0.350066169963361,0.354928136527293,0.40992394533571,0.378903173317737,0.396589602024385,0.400526315789474,0.452839602024385,0.485843117734899,0.485843117734899
"IKK",-0.712950910586648,-0.404761904761905,-0.485919540229885,-0.580228085867621,-0.380952380952381,-0.342045454545455,-0.23047619047619,-0.1,-0.2,0.1,0.1,0.3,0.2,0.2,0.310714285714286,0.35,0.36,0.2,0.142857142857143,0.277777777777778,0.277777777777778,0.331623931623932,0.331623931623932,0.277777777777778,0.425,0.3,0.190683229813665,0.34,0.140054784637756,0.334119782214156,0.334119782214156,0.334119782214156,0.376239316239316,0.376239316239316,0.382691210785585,0.403095238095238,0.412655501210414,0.505,0.35672514619883,0.272078578650874,0.420645161290323,0.567090983272134,0.446568544688675,0.387315634218289,0.574230769230769,0.665927598236641,0.425146198830409,0.554271534916696,0.438095238095238,0.395921427500375,0.445833333333333,0.451282051282051,0.517763157894737,0.487076648841355,0.487076648841355
"cMet",-0.359865831232506,-0.346130030959752,-0.508891391794047,-0.206249610955493,-0.329523809523809,-0.503380614657211,-0.265489378448759,-0.1,-0.2,0.1,0.325,0.2,0,-0.1,0.0148604269293924,0.3,0.3,0.2,0.385,0.05,-0.05,0.0233333333333333,0.0233333333333333,0.266666666666667,0.36,0.242857142857143,0.421842105263158,0.316666666666667,-0.126662244171637,0.203809523809524,0.203809523809524,0.203809523809524,0.0861240310077519,0.086969696969697,0.246666666666667,0.0419047619047619,0.134561531007752,0.3975,0.291666666666667,0.433380566801619,0.360666666666667,0.430741869918699,0.172753950832825,0.488547986762273,0.4475,0.493770003983224,0.346666666666667,0.452070393374741,0.402857142857143,0.361738672286617,0.44,0.435416666666667,0.498730158730159,0.502451870040212,0.502451870040212
"TWIST1",-0.835632730188883,-0.41532967032967,-0.51595994213714,-0.660737480499817,-0.50083918813427,-0.48596336996337,-0.403952880047771,-0.3,-0.2,0.266666666666667,0.28,0.3,0.309523809523809,0.309523809523809,0.31681527657224,0.381818181818182,0.383333333333333,0.375,0.371304347826087,0.348412698412698,0.348412698412698,0.384582911178656,0.385254803675856,0.341538461538462,0.443221690590112,0.436904761904762,0.433971014492754,0.446491228070175,0.396981836904416,0.42054341891154,0.42054341891154,0.42054341891154,0.417916244511989,0.418854803675856,0.452275837436412,0.461239889143115,0.446948502576505,0.49289910994495,0.392889812889813,0.482194364746561,0.506868586560741,0.475579362035992,0.471861596435138,0.516100616063107,0.536634334531239,0.732219681081093,0.441889812889813,0.553614744252778,0.55693674910988,0.45910886513447,0.482608695652174,0.482278481012658,0.551425899953249,0.509224651954952,0.509224651954952
"ERK",-0.675717295120029,-0.475076290383627,-0.538764190260049,-0.574674582967963,-0.429899749373434,-0.367358310581889,-0.228987983705374,-0.25,-0.12,0.2,0.195925925925926,0.173846153846154,0.268421052631579,0.27,0.145623856335461,0.306029106029106,0.244216524216524,0.328947368421053,0.245925925925926,0.318421052631579,0.32,0.355111700113593,0.356690647482014,0.280843412880026,0.371335228478086,0.381328320802005,0.201283068783069,0.292701372701373,0.0645410605549077,0.136276668770275,0.136276668770275,0.136276668770275,0.386676686850994,0.388449177665741,0.168845476109724,0.418696165339515,0.415178155998888,0.424371665725049,0.329995955252908,0.245013955633222,0.339129944129944,0.490662552320395,0.439937949051364,0.383788262186495,0.465054895538714,0.706675809007909,0.372015499226849,0.448293946019912,0.476106645925158,0.459203521703522,0.457731104332379,0.449500891265597,0.515154073520054,0.531643462482336,0.531643462482336
