"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0567905372676879,0.0255550205563169,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0516609226009516,0.0951209576902037,0.0625641025641026,0.0529267453857618,0.0534731934731935,0.00964317733548503,0.0137635756056809,0.0134126984126984,-0.11982880823179,0.0449802631010685,-0.0403953808042906,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.111877394636015,-0.186096152749952,0.0523809523809524,-0.0598730284697872,-0.0560654132393263,-0.0549784567175871,-0.0615627546709182,-0.203149190846705,0.192133863412772,0.192133863412772,0.217365343950208,-0.242459299596267,0.00153943836401107,0.00295231120545534,0.00295231120545534,0.00295231120545534,0.0548850577786397,-0.0884561020311128,-0.203803589903581,-0.188257557023947,-0.186500454630311,-0.187492641164692,-0.183346465762036,-0.185848805548254,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.23912408550422,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0206224459471971,0.116540607071248,-0.121719625848595
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.111846180853043,0.1547184519461,0.153333333333333,0.117363422232353,0.131382113821138,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.153439770611902,0.101497584541063,-0.0370946197518206,0.104830917874396,0.109178743961353,-0.152930402930403,-0.157692307692308,-0.220035634166069,0.122222222222222,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,-0.252988588338008,0.245175501457021,0.245175501457021,0.250833460153724,-0.286735155084219,0.0667622309742845,0.069649370081896,0.069649370081896,0.069649370081896,0.0657345038504283,-0.170421160202625,-0.2593606087525,-0.240983143005301,-0.237208142308837,-0.23912408550422,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159542471473034,0.151144688644689,-0.178657587931781
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.119607843137255,0.104658385093168,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,-0.331313559322034,0.303534482758621,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.393584916263909,-0.0729623824451411,-0.306262626262626,0.326151471393716,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.164052287581699,0.118944099378882,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.24484593837535,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.16437091503268,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,-0.360837368845843,0.329717448058305,0.173449819968676,0.150615174299385,0.150615174299385,0.150615174299385,-0.427384450063443,-0.0929623824451411,-0.342200126262626,0.344246709488954,0.308270676691729,0.326151471393716,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.0092592553595135,-0.10974025974026,-0.141428571428571
"RAF",0.235411140583554,0.241352914997775,0.212380952380952,0.193333333333333,0.2,0.195238444607483,0.163774251404328,0.17,0.180344827586207,0.17,0.159581881533101,0.152764714854027,0.153754813863928,0.162754098360656,0.125487012987013,0.238606654783125,0.0982142857142857,0.0857142857142857,0.12,0.1,0.178429945832323,0.1,0.137839937839938,0.107070707070707,0.0888888888888889,0.00717460317460318,-0.322907699665232,0.348907699665232,0.348907699665232,-0.0754626895803366,-0.193405607040858,-0.0227883227883228,-0.0441558441558442,-0.0441558441558442,-0.0441558441558442,-0.13410250201658,-0.0584712371946414,-0.359452292624737,0.133311793335899,0.104102564102564,0.119825788246841,0.0733333333333333,0.100944669365722,0.0701754385964912,0.0333333333333333,0.0333333333333333,0,0,0.0899789029535865,-0.1,-0.1,0,-0.130149620823939,-0.148,-0.189775910364146
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,-0.592429433709922,0.45276036706373,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.671192408783525,-0.348106210167198,-0.362568172568173,0.395397983518673,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,-0.592429433709922,0.45276036706373,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.671192408783525,-0.348106210167198,-0.362568172568173,0.395397983518673,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"DSH",0.231314495378143,0.258798161894662,0.240331262939959,0.203188405797101,0.146666666666667,0.19187183645388,0.134886128364389,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0763983808235878,0.0631908336537765,0.13107412081289,0.176609195402299,0.261157995112939,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.177549209606323,0.0866666666666667,0.239751425045543,0.222268907563025,0.192857142857143,0.156541019955654,-0.33287917108591,0.364058828413597,0.364058828413597,-0.386867993109683,0.349857145380773,0.194458223330021,0.173449819968676,0.173449819968676,0.173449819968676,-0.45363554751735,-0.10943570031057,-0.369029394555309,0.360720440566425,0.325917735515259,0.344246709488954,0.308270676691729,0.326151471393716,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.362898457640877,-0.0666666666666667,-0.05,0.2,0.00238196601453231,-0.119417679095098,-0.16030969030969
"MEK",0.259735464907879,0.266900360253249,0.241352914997775,0.212380952380952,0.193333333333333,0.11690511127415,0.176594764224841,0.17,0.195238444607483,0.180344827586207,0.157763699714919,0.156823755444433,0.152764714854027,0.172558019929283,0.140781130634072,0.257287973464444,0.125487012987013,0.0982142857142857,0.148,0.12,0.189085683537241,0.0857142857142857,0.159007821051617,0.137839937839938,0.107070707070707,0.0205079365079365,-0.348397895743663,0.372717223474756,0.372717223474756,-0.0952187871413122,-0.176130667868109,-0.00532800532800533,-0.0227883227883228,-0.0227883227883228,-0.0227883227883228,-0.156689022963757,-0.0734589521823564,-0.383291301912662,0.145393577722517,0.122983682983683,0.133311793335899,0.104102564102564,0.119825788246841,0.100944669365722,0.0733333333333333,0.0701754385964912,0.0333333333333333,0.0333333333333333,0.11340232637701,-0.1,-0.1,0,-0.119480164756994,-0.162754098360656,-0.208196962995725
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.2,0.1,0,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,-0.299068100358423,0.360383141762452,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.173280998389694,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,-0.391797034940152,0.35954196895129,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.463283577924041,-0.18481240981241,-0.376039526859199,0.377425738086839,0.332612411742847,0.355776253550756,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0201769633836403,-0.115384615384615,-0.165481577246283
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.173280998389694,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,-0.391797034940152,0.35954196895129,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.463283577924041,-0.18481240981241,-0.376039526859199,0.377425738086839,0.332612411742847,0.355776253550756,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0201769633836403,-0.115384615384615,-0.165481577246283
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.37146790711633,0.2,0.349019607843137,0.288235294117647,0.116169379144063,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.448322008191805,0.326724137931034,0.275,0.301176470588235,0.26,0.401762028014479,0.2,0.41441672362725,0.376754385964912,0.332894736842105,0.323799864773496,-0.286538461538462,0.378588839941263,0.378588839941263,-0.637322833913454,0.701337478448503,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.807165246178028,-0.386470390385003,-0.386587993124707,0.44938485160137,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.355166666666667
"cateninnuc",0.395207420994306,0.378697062812708,0.358173045345459,0.331736263736264,0.299428571428571,0.375402090942628,0.338090145240852,0.297101449275362,0.353842457915105,0.327260179434092,0.124481847142868,0.111715903923271,0.103393939393939,0.217547714104253,0.345354166666667,0.324714546770877,0.328166666666667,0.304166666666667,0.18792349726776,0.163333333333333,0.247928739153694,0.270833333333333,0.375258358118035,0.356621994481671,0.332203389830509,0.260300632619561,-0.301618152507832,0.382946233909949,0.382946233909949,-0.407150016823761,0.442366213617097,0.388542468542469,0.372717552717553,0.372717552717553,0.372717552717553,-0.487405492316159,-0.337940431132093,-0.390226954822903,0.180358397888578,0.254655653062443,0.2679585083553,0.238054862548609,0.253694131955002,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395397983518673,-0.233333333333333,-0.133333333333333,0.160606060606061,0.319424018077549,-0.204693683603163,-0.350273978296311
"SOSGRB2",0.322881562881563,0.328318915127426,0.300659340659341,0.281428571428571,0.271428571428571,0.335813735813736,0.312373134328358,0.276190476190476,0.317631917631918,0.30952380952381,0.261647727272727,0.256399729302955,0.252903225806452,0.26192122354913,0.314985380116959,0.309217391304348,0.294152046783626,0.288888888888889,0.216666666666667,0.2,0.282904491192992,0.3,0.333054269673988,0.306293706293706,0.290909090909091,-0.0619444444444444,-0.355,0.383571428571429,0.383571428571429,-0.0966655746655747,-0.18572237321002,0.233514414022889,0.206591337099812,0.206591337099812,0.206591337099812,-0.157028321505111,-0.234135049927476,-0.395226922979894,0.16308209629569,0.120755693581781,0.144535251171407,0.0845238095238095,0.118219461697723,0.0819875776397515,0.0428571428571429,0.0428571428571429,0,0,0.10746699669967,-0.2,-0.2,0,-0.1592296219813,-0.240990990990991,-0.356176900584795
"ERK",0.275291020463434,0.28310915146204,0.266900360253249,0.241352914997775,0.212380952380952,0.135010960856323,0.188400319780397,0.180344827586207,0.11690511127415,0.195238444607483,0.162883153639834,0.162598831432275,0.156823755444433,0.181736763890636,0.151790304945998,0.27046411770855,0.140781130634072,0.125487012987013,0.162754098360656,0.148,0.198724237754108,0.0982142857142857,0.173135244874331,0.159007821051617,0.137839937839938,0.0399254122360918,-0.370878515898702,0.391142420325149,0.391142420325149,-0.112606091649132,-0.161883598436188,0.0093034578183093,-0.00532800532800533,-0.00532800532800533,-0.00532800532800533,-0.174986310982981,-0.084630614307697,-0.402899145049917,0.156088022166961,0.136266891003733,0.145393577722517,0.122983682983683,0.133311793335899,0.119825788246841,0.104102564102564,0.100944669365722,0.0733333333333333,0.0701754385964912,0.130475497108717,-0.0857142857142857,-0.12,0.0333333333333333,-0.111099856602165,-0.172558019929283,-0.221288885001296
"RAS",0.329206349206349,0.344123471170647,0.303529411764706,0.28,0.26,0.311805985552116,0.288751229105211,0.26,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.178090395480226,0.206666666666667,0.334348063284234,0.173333333333333,0.166666666666667,0.116666666666667,0.1,0.228022866154149,0.2,0.255412115193644,0.215789473684211,0.2,0.00346320346320345,-0.356428571428571,0.394572901325479,0.394572901325479,-0.259245853573337,0.0198841229505689,0.113461538461538,0.176923076923077,0.176923076923077,0.176923076923077,-0.290444388559113,-0.181020671834625,-0.404461538461538,0.309236248404862,0.252941176470588,0.285723500529508,0.202941176470588,0.251877346683354,0.202941176470588,0.15,0.15,0.1,0.1,0.265270092226614,-0.2,-0.1,0,-0.0873113687067175,-0.152666666666667,-0.385075471698113
"AKT",0.278358212604682,0.298249873938228,0.273778574844572,0.233941176470588,0.177941176470588,0.221555490841284,0.195586762800722,0.0952380952380952,0.192441566790651,0.148179271708683,0.0875742731867506,0.0923497091765999,0.0798917967186875,0.14889338731444,0.195210018739431,0.299140278674305,0.276018099547511,0.252941176470588,0.115384615384615,0.1,0.201126408737074,0.2,0.2592749500696,0.236104218362283,0.203846153846154,0.196794871794872,-0.370175438596491,0.404960518367885,0.404960518367885,-0.42207226429795,0.383763074478929,0.242136569047941,0.21635343651782,0.21635343651782,0.21635343651782,-0.494041153681617,-0.204570474328539,-0.40598605092337,0.396194968856069,0.355517439675807,0.377425738086839,0.332612411742847,0.355776253550756,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.387472236548049,-0.166666666666667,-0.05,0.2,-0.00603304278810681,-0.132051282051282,-0.189705179730755
"CD44",0.3725,0.361111111111111,0.35,0.3,0.2,0.415,0.363928761297182,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.168181818181818,0.26,0.325128205128205,0.266666666666667,0.2,0.15,0.1,0.161025641025641,0.2,0.237593984962406,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.420634920634921,0.420634920634921,0.010989010989011,-0.212685092685093,0.172380952380952,0.152380952380952,0.152380952380952,0.152380952380952,-0.0798925198132668,-0.198809523809524,-0.431699604743083,0.0185092426952892,-0.0533333333333333,-0.0137984496124031,-0.1,-0.0533333333333333,0,-0.1,0,0,0.1,-0.09,-0.1,-0.1,0.1,-0.211240859980356,-0.15,-0.423703703703704
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.252190476190476,0.293560927339553,0.1,0.178857142857143,0.142857142857143,0.181940144478844,0.18578795379538,0.172916666666667,0.2557343550447,0.321042471042471,0.532941176470588,0.264285714285714,0.314285714285714,0.18,0.12,0.287413308341143,0.3,0.362914862914863,0.307359307359307,0.245454545454545,0.301890756302521,-0.363369963369963,0.425418546365915,0.425418546365915,-0.567021395736479,0.635814307458143,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,-0.676752672155396,-0.224505494505495,-0.428840579710145,0.437842691766742,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139265491747074,-0.228148148148148,-0.277322404371585
