"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","cfos","SNAI1","MEK","ERK","SMAD","ILK","SHH","NFB","IKK","AKT","SMO","Csn","cateninmemb","FUS","TWIST1","Jagged","NOTCH","NOTCHic","Csl","HEY1","KLF4","Ecadherin","SOSGRB2","ZEB2","ZEB1","GSK3","SNAI2","miR200","RAS","RAF","PI3K","DELTA","GLI","cateninnuc","Wnt","TCFLEF","TrCP","SUFU","CD44","Frizzled","cMet","SRC","DSH","Patched","STAT","LIV1","AXIN2","Destcompl","RKIP"
"Destcompl",0.0567823472967623,0.0255421571279209,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0625641025641026,0.0534731934731935,0.0951097729461945,0.0516609226009516,0.0529267453857618,0.0137635756056809,0.0134126984126984,-0.119841577945035,0.0523809523809524,0.0496782496782497,0.0449802631010685,-0.111877394636015,0.0523809523809524,0.215790111151585,-0.111877394636015,-0.0401280501183306,-0.185796313851445,-0.0598883508650808,-0.0560654132393263,-0.0549784567175871,-0.0576811594202899,-0.203149190846705,0.0528252647563515,-0.0615627546709182,0.192133863412772,0.192133863412772,-0.0886315756177,-0.233983796103535,-0.203803589903581,0.00175666537423217,0.00294243612522032,0.00294243612522032,0.00294243612522032,-0.186007747679702,-0.187135893750636,-0.183376168732333,-0.186535841572186,-0.0666666666666667,0.122222222222222,-0.185346198465118,-0.180376168732333,-0.182888731546403,-0.180376168732333,-0.181746031746032,0.116540607071248,-0.181746031746032,-0.188888888888889,-0.238798396223154,-0.0201560954230319,-0.121719625848595
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.153333333333333,0.131382113821138,0.1547184519461,0.111846180853043,0.117363422232353,0.0181159420289855,0.0220841959972395,-0.153439770611902,0.109178743961353,0.104830917874396,0.101497584541063,-0.152930402930403,0.122222222222222,0.249873374687529,-0.157692307692308,-0.0370974539377715,-0.220045045045045,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.04,-0.252988588338008,0.0638610213659174,-0.0772774023545412,0.245175501457021,0.245175501457021,-0.170416732975176,-0.277101654838349,-0.2593606087525,0.0667546332397908,0.069649370081896,0.069649370081896,0.069649370081896,-0.237216103458427,-0.24025022200406,-0.235950280673617,-0.238798396223154,-0.133333333333333,0.15,-0.236902661625998,-0.237674418604651,-0.235950280673617,-0.237674418604651,-0.24,0.151144688644689,-0.24,-0.233333333333333,0.182028686529068,0.159669507785746,-0.178657587931781
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.1,0.0666666666666667,0.104658385093168,0.119607843137255,0.0666666666666667,0.0566487775790101,0.058974358974359,0.10974025974026,0.0666666666666667,0.0866666666666667,0.136666666666667,0.05,0.1,-0.337348625989753,0,0.222941176470588,0.153259803921569,0.192857142857143,0.142857142857143,0.1,0.1,-0.262745098039216,-0.408532152081766,0.0939393939393939,0.304208512673362,0.304208512673362,-0.0729623824451411,0.340833333333333,-0.306262626262626,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,0.286842105263158,0.32961227269086,0.25,0.30906432748538,-0.1,0,0.286842105263158,0.3,0.25,0.2,0.2,-0.0954545454545455,0.1,0,0.31030303030303,-0.023061856321476,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.0666666666666667,0.0666666666666667,0.118944099378882,0.164052287581699,0.119607843137255,0.0631908336537765,0.0566487775790101,0.119417679095098,0.0866666666666667,0.136666666666667,0.161666666666667,0.0954545454545455,0.0666666666666667,-0.369790097561659,0.05,0.245271273557967,0.164600010107136,0.222268907563025,0.192857142857143,0.142857142857143,0.1,-0.300840336134454,-0.445451467485189,0.127272727272727,0.338861978019897,0.338861978019897,-0.0932077812181472,0.369220430107527,-0.342200126262626,0.173815174299385,0.150615174299385,0.150615174299385,0.150615174299385,0.30906432748538,0.349512770203297,0.286842105263158,0.32961227269086,-0.1,0,0.30906432748538,0.25,0.286842105263158,0.25,0.3,-0.10974025974026,0.2,0.1,0.341255411255411,-0.00792672118634082,-0.141428571428571
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.2,0.281818181818182,0.33671420000923,0.364959479574398,0.328877005347594,0.105159420289855,0.0906666666666667,0.324798387096774,0.26,0.302857142857143,0.33989417989418,0.266666666666667,0.2,-0.592771731398492,0.233333333333333,0.412614379084967,0.354196538094589,0.376317269274404,0.342296650717703,0.305454545454545,0.26,-0.266666666666667,-0.673797795937152,0.28138936535163,0.354514963880289,0.354514963880289,-0.348106210167198,0.4649781869926,-0.362568172568173,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,0.353897196408636,0.395541423035791,0.326310989512084,0.376344434328137,-0.1,-0.2,0.353267511251214,0.296078431372549,0.326310989512084,0.296078431372549,0.266666666666667,-0.297916666666667,0.266666666666667,0.233333333333333,0.40259545543053,0.341987979717644,-0.328674500103071
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.2,0.281818181818182,0.33671420000923,0.364959479574398,0.328877005347594,0.105159420289855,0.0906666666666667,0.324798387096774,0.26,0.302857142857143,0.33989417989418,0.266666666666667,0.2,-0.592771731398492,0.233333333333333,0.412614379084967,0.354196538094589,0.376317269274404,0.342296650717703,0.305454545454545,0.26,-0.266666666666667,-0.673797795937152,0.28138936535163,0.354514963880289,0.354514963880289,-0.348106210167198,0.4649781869926,-0.362568172568173,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,0.353897196408636,0.395541423035791,0.326310989512084,0.376344434328137,-0.1,-0.2,0.353267511251214,0.296078431372549,0.326310989512084,0.296078431372549,0.266666666666667,-0.297916666666667,0.266666666666667,0.233333333333333,0.40259545543053,0.341987979717644,-0.328674500103071
"DSH",0.231469507760229,0.259059178134305,0.240331262939959,0.203188405797101,0.146666666666667,0.0666666666666667,0.119607843137255,0.135073131636947,0.19187183645388,0.164052287581699,0.0763983808235878,0.0631908336537765,0.131218921331123,0.136666666666667,0.161666666666667,0.176609195402299,0.10974025974026,0.0866666666666667,-0.398273451445753,0.0954545454545455,0.262960804243887,0.179224516035989,0.239999404016926,0.222268907563025,0.192857142857143,0.142857142857143,-0.33287917108591,-0.474303008101436,0.156541019955654,0.364058828413597,0.364058828413597,-0.110660611406826,0.393258891645988,-0.369029394555309,0.196100888585099,0.173815174299385,0.173815174299385,0.173815174299385,0.32933459775565,0.367290547981075,0.30906432748538,0.349512770203297,-0.0666666666666667,-0.05,0.32961227269086,0.286842105263158,0.30906432748538,0.286842105263158,0.25,-0.119417679095098,0.25,0.2,0.365603237342368,0.00473274888235398,-0.16030969030969
"RAF",0.292454212454212,0.316456310679612,0.265,0.22,0.2,0.17,0.17,0.216842105263158,0.226371814092954,0.187241379310345,0.156725110893631,0.153754813863928,0.205,0.0857142857142857,0.110714285714286,0.154464285714286,0.14,0.1,-0.477483985765125,0.1,0.368487452264048,0.253680988680989,0.205968253968254,0.153968253968254,0.111111111111111,0.1,-0.332663797226208,-0.548694606806782,0.0587301587301587,0.371439307430289,0.371439307430289,-0.159064406474415,0.621431123726756,-0.380025159805282,0.0894688644688645,0.0466117216117216,0.0466117216117216,0.0466117216117216,0.319441460794844,0.378557556884674,0.268421052631579,0.3520382198681,-0.1,-0.1,0.317687074829932,0.2,0.266666666666667,0.2,0.1,-0.181666666666667,0.1,0,0.335459459459459,0.0169391025641026,-0.223809523809524
"SHH",0.35,0.44,0.4,0.3,0.2,0,0.1,0.283333333333333,0.3,0.2,0.1,0.0666666666666667,0.253333333333333,0,0.1,0.15,0.3,0,-0.299068100358423,0.2,0.2,0.162857142857143,0.233333333333333,0.2,0.1,0,-0.3,-0.34469696969697,0.25,0.375,0.375,-0.271794871794872,0.36727969348659,-0.383333333333333,0.303846153846154,0.25,0.25,0.25,0.25,0.241111111111111,0.2,0.196666666666667,0,-0.2,0.15,0.2,0.1,0.1,0.2,-0.333333333333333,0.1,0,0.276190476190476,0.272987012987013,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.0666666666666667,0.0952380952380952,0.173280998389694,0.192441566790651,0.148179271708683,0.0798917967186875,0.0694917967186875,0.132051282051282,0.2,0.252941176470588,0.276018099547511,0.1,0.166666666666667,-0.400234063419418,0.05,0.277253278122843,0.183558897243108,0.236104218362283,0.203846153846154,0.15,0.1,-0.336842105263158,-0.480461260854188,0.163461538461538,0.375508463573364,0.375508463573364,-0.18510101010101,0.396357808857809,-0.376039526859199,0.216772005772006,0.18621645021645,0.18621645021645,0.18621645021645,0.333540372670807,0.382297733684881,0.303381642512077,0.359121768019645,-0.2,0,0.333540372670807,0.255555555555556,0.303381642512077,0.255555555555556,0.2,-0.115384615384615,0.2,0.1,0.359727891156463,-0.0188749156581535,-0.165481577246283
