"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","TWIST1","AKT","SMO","IKK","NFB","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"DSH",0.231314495378143,0.258798161894662,0.240331262939959,0.203188405797101,0.146666666666667,0.134641773797487,0.193930549318964,0.0666666666666667,0.165686274509804,0.116666666666667,0.072285295891119,0.0760696215325644,0.0631908336537765,0.13107412081289,0.262576434829251,0.179661933739013,0.10974025974026,0.164367816091954,0.133333333333333,0.0954545454545455,0.179099597203222,0.0866666666666667,0.241747059600899,0.224016563146998,0.190683229813665,0.158136924803591,-0.33287917108591,0.364058828413597,0.364058828413597,0.392110554245059,-0.394446504979984,0.205656827159176,0.184913793103448,0.184913793103448,0.184913793103448,-0.465153934585189,-0.110038980377397,-0.369029394555309,0.366164681043837,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00469573540606911,-0.119417679095098,-0.159738430583501
"SHH",0.35,0.44,0.4,0.3,0.2,0.283333333333333,0.3,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.2,0.15,0.3,0.1,0,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.278787878787879,0.233333333333333,0.233333333333333,0.233333333333333,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.173280998389694,0.192606516290727,0.0666666666666667,0.145238095238095,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276816119652898,0.275714285714286,0.1,0.25,0.2,0.05,0.183245614035088,0.166666666666667,0.23648275862069,0.202,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.222378863826232,0.193055555555556,0.193055555555556,0.193055555555556,-0.472077970556085,-0.184424027509134,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.173280998389694,0.192606516290727,0.0666666666666667,0.145238095238095,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276816119652898,0.275714285714286,0.1,0.25,0.2,0.05,0.183245614035088,0.166666666666667,0.23648275862069,0.202,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.222378863826232,0.193055555555556,0.193055555555556,0.193055555555556,-0.472077970556085,-0.184424027509134,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.37146790711633,0.391290849673203,0.2,0.348235294117647,0.288235294117647,0.116169379144063,0.112087517128288,0.0934272300469483,0.365447812927988,0.448322008191805,0.364240506329114,0.301176470588235,0.325,0.275,0.26,0.401762028014479,0.2,0.411751879699248,0.375751879699248,0.332894736842105,0.323799864773496,-0.286538461538462,0.378588839941263,0.378588839941263,0.710777486540221,-0.63753975365315,0.433403869943645,0.404690998656516,0.404690998656516,0.404690998656516,-0.808795441395151,-0.386330686374715,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.355166666666667
"SOSGRB2",0.309086035915304,0.332003825920612,0.271219512195122,0.22,0.2,0.239072543617998,0.284186046511628,0.22,0.24,0.22,0.172614462986735,0.16380266075388,0.160772357723577,0.214590163934426,0.386571207430341,0.266009852216749,0.14,0.214285714285714,0.185714285714286,0.1,0.262526466558725,0.2,0.319444444444444,0.261111111111111,0.211111111111111,0.0471111111111111,-0.336078431372549,0.381911764705882,0.381911764705882,0.632035188672357,-0.476359952597576,0.227612574341546,0.181818181818182,0.181818181818182,0.181818181818182,-0.548768985653671,-0.199622641509434,-0.38918178595598,0.379730296268206,0.32,0.352223869532987,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.2,-0.1,0,0.020738651712103,-0.19,-0.249707357859532
"RAF",0.309086035915304,0.332003825920612,0.271219512195122,0.22,0.2,0.239072543617998,0.284186046511628,0.22,0.24,0.22,0.172614462986735,0.16380266075388,0.160772357723577,0.214590163934426,0.386571207430341,0.266009852216749,0.14,0.214285714285714,0.185714285714286,0.1,0.262526466558725,0.2,0.319444444444444,0.261111111111111,0.211111111111111,0.0471111111111111,-0.336078431372549,0.381911764705882,0.381911764705882,0.632035188672357,-0.476359952597576,0.227612574341546,0.181818181818182,0.181818181818182,0.181818181818182,-0.548768985653671,-0.199622641509434,-0.38918178595598,0.379730296268206,0.32,0.352223869532987,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.2,-0.1,0,0.020738651712103,-0.19,-0.249707357859532
"cateninnuc",0.395098654651322,0.378610203815404,0.358173045345459,0.331736263736264,0.299428571428571,0.337486088043127,0.370986584400278,0.293939393939394,0.348605632019325,0.32180824639841,0.123881405641764,0.111127981261485,0.103056845830568,0.217357439061679,0.324753705545468,0.33809126922879,0.18792349726776,0.319909451046972,0.295698924731183,0.163333333333333,0.248074598818217,0.266666666666667,0.371060183334079,0.351811357042999,0.327260458839406,0.262353759853015,-0.301618152507832,0.382845383681511,0.382845383681511,0.46374770784692,-0.410140467636894,0.378752660202534,0.362914722817635,0.362914722817635,0.362914722817635,-0.493444750400558,-0.337163541641143,-0.390147479992581,0.182455944829082,0.255050909979439,0.269251524939579,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.320176704090301,-0.204693683603163,-0.349309579028744
"RAS",0.347175368139224,0.369294117647059,0.315294117647059,0.28,0.26,0.313636363636364,0.35675057208238,0.3,0.326315789473684,0.3,0.167268962921137,0.16153822948248,0.15949741315595,0.195149425287356,0.378573021181717,0.312727272727273,0.116666666666667,0.273333333333333,0.266666666666667,0.1,0.260207336523126,0.3,0.378315789473684,0.326315789473684,0.3,0.00346320346320345,-0.356428571428571,0.400178571428571,0.400178571428571,0.578608058608059,-0.400410502033264,0.272089761570827,0.317741935483871,0.317741935483871,0.317741935483871,-0.471983691557691,-0.230201569264069,-0.4087841191067,0.410392995615148,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0350793605331385,-0.160666666666667,-0.400641025641026
"AKT",0.278358212604682,0.298249873938228,0.273778574844572,0.233941176470588,0.177941176470588,0.195391551153513,0.222093695777906,0.0952380952380952,0.192606516290727,0.145238095238095,0.0875742731867506,0.0920539588808496,0.0798917967186875,0.14889338731444,0.300363520264519,0.195301914580265,0.115384615384615,0.275714285714286,0.25,0.1,0.202450912048333,0.2,0.259939548744146,0.23648275862069,0.202,0.198292999135696,-0.370175438596491,0.404960518367885,0.404960518367885,0.423532660810446,-0.428577766723433,0.249116831740671,0.222378863826232,0.222378863826232,0.222378863826232,-0.504502212980328,-0.204994292274918,-0.40598605092337,0.400873571167032,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00402563507428506,-0.132051282051282,-0.189231577246283
"CD44",0.351111111111111,0.343401759530792,0.327272727272727,0.3,0.2,0.357180710121887,0.438571428571429,0.3,0.41,0.36,0.190522875816993,0.188363363363363,0.169444444444444,0.163333333333333,0.32125,0.35,0.133333333333333,0.35,0.3,0.1,0.16974358974359,0.2,0.3325,0.32,0.3,-0.0166666666666667,-0.271428571428571,0.408571428571429,0.408571428571429,0.418937381404175,-0.137222222222222,0.312820512820513,0.266666666666667,0.266666666666667,0.266666666666667,-0.269421644626843,-0.221794871794872,-0.42,0.121995850756913,0.0214285714285714,0.0804029304029304,-0.05,0.0214285714285714,0.05,-0.1,0,0,0.1,-0.0221052631578947,-0.1,-0.1,0.1,-0.140568475452196,-0.133333333333333,-0.401948051948052
"MEK",0.352864837758622,0.376985238560017,0.332003825920612,0.271219512195122,0.22,0.265388333091682,0.2383144868786,0.22,0.284186046511628,0.24,0.176318166690439,0.173880180133725,0.16380266075388,0.233795461947671,0.419904540763674,0.298477384684281,0.19,0.266009852216749,0.214285714285714,0.14,0.283688292284866,0.185714285714286,0.358979328165375,0.319444444444444,0.261111111111111,0.0812287581699346,-0.378935574229692,0.423136254501801,0.423136254501801,0.668838162650052,-0.516310324806013,0.263528067299293,0.227612574341546,0.227612574341546,0.227612574341546,-0.592821030263336,-0.228230236446143,-0.43103482109975,0.404376188619481,0.353802816901408,0.379730296268206,0.32,0.352223869532987,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.38025787400322,-0.2,-0.1,0.1,0.0416294258372356,-0.214590163934426,-0.282584070188299
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.293091168091168,0.241426356589147,0.1,0.169333333333333,0.133333333333333,0.181940144478844,0.184916666666667,0.172916666666667,0.2557343550447,0.532941176470588,0.304285714285714,0.18,0.25,0.3,0.12,0.287413308341143,0.3,0.3560031225605,0.301904761904762,0.24,0.306168831168831,-0.363369963369963,0.425418546365915,0.425418546365915,0.660196557255381,-0.569256032607988,0.352204039510541,0.307843137254902,0.307843137254902,0.307843137254902,-0.682863893582049,-0.223221685082873,-0.428840579710145,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139546382016014,-0.228148148148148,-0.276666666666667
"Csn",0.253628756931699,0.279771395206155,0.252802421459138,0.206648575305292,0.145454545454545,0.164284042181332,0.245233918128655,0.106666666666667,0.209444444444444,0.156666666666667,0.0753737541528239,0.0819153546150513,0.0687370600414079,0.139396839132429,0.294960261804582,0.207289485896973,0.108513708513709,0.185338266384778,0.150454545454545,0.0873015873015873,0.186845221450699,0.105,0.265305107038402,0.2400623885918,0.198395721925134,0.174349049964814,-0.399880772821949,0.437214226633582,0.437214226633582,0.438221512347125,-0.442370015831975,0.24968271905537,0.222448676502179,0.222448676502179,0.222448676502179,-0.516743725919167,-0.14868921407141,-0.445018334053115,0.419835433947705,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0505797246435677,-0.124642740771773,-0.179381686751545
"STAT",0.218786639400136,0.21176467189053,0.194856459330144,0.165909090909091,0.140909090909091,0.147807777921782,0.196557971014493,0.2,0.179166666666667,0.166666666666667,0.0586666666666667,0.0644038610110488,0.0615136876006441,0.0628225972422309,0.0802251471666764,0.0372454123815285,0.045,0.0269005847953216,0.0111111111111111,0.025,0.0675142417782127,0,0.0311064425770308,0.0173809523809524,-0.00833333333333333,-0.00469924812030075,-0.326728064963359,0.442935269858347,0.442935269858347,0.104862217885474,-0.0628629869659736,-0.0512950628229448,-0.064875309736525,-0.064875309736525,-0.064875309736525,-0.20560603104461,0.0436752814333281,-0.458532927961468,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0632807160477063,-0.0566279069767442,-0.170297365034207
