"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","ILK","AKT","SHH","TWIST1","IKK","NFB","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","SNAI2","KLF4","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","TCFLEF","GLI","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","Destcompl","AXIN2","TrCP","SUFU","LIV1","Patched","RKIP"
"DSH",0.2801443001443,0.308814173024699,0.282498383551015,0.24039312039312,0.183636363636364,0.228347763347763,0.195012778386272,0.203095238095238,0.0916666666666667,0.163095238095238,0.0778787878787879,0.0831110741976956,0.0684191310697335,0.205182072829132,0.138443209304719,0.311482975732013,0.19047619047619,0.173809523809524,0.101111111111111,0.09,0.116666666666667,0.197334775767113,0.270730373230373,0.247516087516088,0.212380952380952,0.162019230769231,0.415769230769231,0.415769230769231,0.439938861008719,-0.378787878787879,-0.440514621067616,0.343808146131155,0.309294871794872,0.309294871794872,0.309294871794872,-0.501220324990843,-0.418858849937281,-0.301478233913467,0.442908816452506,0.413513212056901,0.381784881784882,0.348451548451548,0.38243213097582,0.312087912087912,0.348451548451548,0.312087912087912,0.242857142857143,0.242857142857143,0.230617956111758,0.403108003108003,-0.0666666666666667,-0.05,0.2,-0.118758169934641,-0.212048992856953
"SOSGRB2",0.388457596922446,0.408000497698146,0.357206846904495,0.308270676691729,0.271428571428571,0.373786104605777,0.374811921823979,0.32952380952381,0.276190476190476,0.30952380952381,0.262151759530792,0.260686274509804,0.253333333333333,0.348888888888889,0.295934959349594,0.418285024154589,0.311111111111111,0.288888888888889,0.233333333333333,0.2,0.3,0.356176470588235,0.399242424242424,0.350757575757576,0.309090909090909,-0.0255882352941177,0.419281321718843,0.419281321718843,0.656053676239145,-0.37597423510467,-0.506236989906131,0.370502040816327,0.320102040816327,0.320102040816327,0.320102040816327,-0.572142441544258,-0.428882711772757,-0.373713345961265,0.432102942475321,0.390242477359042,0.339393939393939,0.272727272727273,0.338095238095238,0.2,0.271428571428571,0.2,0.1,0.1,0.038928026985826,0.350096861681519,-0.2,-0.2,0,-0.266666666666667,-0.397945566286216
"PI3K",0.297049441786284,0.314422032203307,0.268185473063522,0.212087912087912,0.142857142857143,0.228520770010132,0.22473049825991,0.188095238095238,0.0666666666666667,0.116666666666667,0.0762878787878788,0.0860636063606361,0.0712121212121212,0.302795698924731,0.133088187649841,0.317102789569436,0.286666666666667,0.226666666666667,0.0954545454545455,0.05,0.166666666666667,0.190277777777778,0.260688405797101,0.223188405797101,0.166666666666667,0.166666666666667,0.419397640210583,0.419397640210583,0.430732361109684,-0.377849601379013,-0.431900806548694,0.326190476190476,0.280357142857143,0.280357142857143,0.280357142857143,-0.499632406596313,-0.419333428286569,-0.347619047619048,0.443543293890677,0.407360957708341,0.368778280542986,0.326470588235294,0.368778280542986,0.25,0.326470588235294,0.25,0.2,0.2,0.136210330109348,0.382269104547586,-0.2,0,0.1,-0.108498023715415,-0.204021164021164
"ILK",0.297049441786284,0.314422032203307,0.268185473063522,0.212087912087912,0.142857142857143,0.228520770010132,0.22473049825991,0.188095238095238,0.0666666666666667,0.116666666666667,0.0762878787878788,0.0860636063606361,0.0712121212121212,0.302795698924731,0.133088187649841,0.317102789569436,0.286666666666667,0.226666666666667,0.0954545454545455,0.05,0.166666666666667,0.190277777777778,0.260688405797101,0.223188405797101,0.166666666666667,0.166666666666667,0.419397640210583,0.419397640210583,0.430732361109684,-0.377849601379013,-0.431900806548694,0.326190476190476,0.280357142857143,0.280357142857143,0.280357142857143,-0.499632406596313,-0.419333428286569,-0.347619047619048,0.443543293890677,0.407360957708341,0.368778280542986,0.326470588235294,0.368778280542986,0.25,0.326470588235294,0.25,0.2,0.2,0.136210330109348,0.382269104547586,-0.2,0,0.1,-0.108498023715415,-0.204021164021164
"cateninnuc",0.437919705120933,0.43504196988782,0.403563709018255,0.366373626373626,0.316923076923077,0.400021191189355,0.300921826141338,0.369707602339181,0.28,0.331111111111111,0.140854978354978,0.131351174078447,0.117301587301587,0.353971929022342,0.263909356967911,0.434874355861794,0.330045548654244,0.299378881987578,0.220343137254902,0.191176470588235,0.242857142857143,0.361488357895335,0.438372561584165,0.409043939676038,0.376219512195122,0.291550324675325,0.422002657714802,0.422002657714802,0.568669915774462,-0.308113653699466,-0.523128468942627,0.442272809527536,0.413143680398407,0.413143680398407,0.413143680398407,-0.564063485182309,-0.421908248540677,-0.351422413793103,0.339048012601283,0.413852250279772,0.386398964174855,0.357953216374269,0.385438966146931,0.321286549707602,0.356825396825397,0.32015873015873,0.284444444444444,0.284444444444444,0.340421278363953,0.494696219534544,-0.2,-0.15,0.24,-0.243420060331825,-0.300030156778002
"CD44",0.38258064516129,0.375714285714286,0.35,0.3,0.2,0.415,0.390555555555556,0.385,0.3,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.26,0.177272727272727,0.353846153846154,0.266666666666667,0.2,0.15,0.1,0.2,0.186826923076923,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,0.424119241192412,0.424119241192412,0.435998844709733,-0.277777777777778,-0.142470588235294,0.227692307692308,0.174358974358974,0.174358974358974,0.174358974358974,-0.283599911386797,-0.434460547504026,-0.281904761904762,0.13040293040293,0.0804029304029304,0.0214285714285714,-0.05,0.0214285714285714,-0.1,0.05,0,0,0.1,-0.0976190476190476,-0.0221052631578947,-0.1,-0.1,0.1,-0.15,-0.427692307692308
"RAS",0.374146469968388,0.392706374085684,0.33816091954023,0.293333333333333,0.26,0.340306905370844,0.336871967151922,0.301176470588235,0.26,0.26,0.162507058159232,0.160720945720946,0.157424242424242,0.226406926406926,0.189242424242424,0.397619047619048,0.180952380952381,0.166666666666667,0.116666666666667,0.1,0.2,0.256904761904762,0.283578431372549,0.229411764705882,0.2,0.0152813852813853,0.426211726676843,0.426211726676843,0.588921568627451,-0.377374517374517,-0.41513373464593,0.212509834775767,0.261290322580645,0.261290322580645,0.261290322580645,-0.483752228163993,-0.434323308270677,-0.298412698412698,0.445939286099429,0.402878787878788,0.348943089430894,0.273333333333333,0.348333333333333,0.2,0.273333333333333,0.2,0.1,0.1,0.0919611206403659,0.355218554861731,-0.2,-0.1,0,-0.158333333333333,-0.42111801242236
"MEK",0.352638102638103,0.379934173260272,0.333780327106426,0.281203007518797,0.228571428571429,0.185611240611241,0.26001331091495,0.241380471380471,0.17,0.195925925925926,0.164468864468864,0.169066966867719,0.158046558704453,0.193750505295497,0.229208853020298,0.424677833346564,0.167434715821813,0.119047619047619,0.181666666666667,0.14,0.0857142857142857,0.287447024775792,0.256709019696033,0.216213151927438,0.161111111111111,0.0946477421071449,0.42781647031647,0.42781647031647,0.681694023104086,-0.386886845039019,-0.535056691593405,0.168418134790295,0.124350338180125,0.124350338180125,0.124350338180125,-0.598570560125693,-0.436381679909968,-0.251048100883486,0.446893809727571,0.413326558265583,0.377580944230495,0.332865497076023,0.375826558265583,0.268421052631579,0.331111111111111,0.266666666666667,0.2,0.2,0.202208333333333,0.397939304219097,-0.1,-0.1,0.1,-0.205804597701149,-0.266220774468368
"IKK",0.517274363839829,0.545404541491967,0.48393665158371,0.414705882352941,0.35,0.270683229813665,0.313486513486514,0.190683229813665,0.1,0.142857142857143,0.182675438596491,0.18822695035461,0.173333333333333,0.336745607333843,0.255783475783476,0.554520325203252,0.277922077922078,0.314285714285714,0.18,0.12,0.3,0.298291316526611,0.372496287741297,0.313875598086124,0.245454545454545,0.304464285714286,0.446692222506176,0.446692222506176,0.684959166888337,-0.381623931623932,-0.592161600756455,0.428153263062008,0.374024822695035,0.374024822695035,0.374024822695035,-0.696956993517538,-0.449624060150376,-0.352297734627832,0.488169090777881,0.444620703681106,0.396969696969697,0.333333333333333,0.396969696969697,0.275,0.333333333333333,0.275,0.2,0.2,0.275276444122354,0.4174003434873,-0.2,-0.1,0.1,-0.226153846153846,-0.295499108734403
"STAT",0.226957604211125,0.217216914937698,0.201369920402178,0.169941348973607,0.140909090909091,0.217354651162791,0.157291555025294,0.19875,0.2,0.18,0.0586301369863014,0.0657128498919544,0.0614704256495301,0.0490909090909091,0.0600793650793651,0.085251054348691,0.04,0.02,0.045,0.025,0,0.0657500365723856,0.0342927170868347,0.0217927170868347,-0.00392156862745098,-0.00595238095238095,0.453768072585566,0.453768072585566,0.106851664067806,-0.336166958041958,-0.0657967962548918,-0.0205608360523951,-0.0347117794486216,-0.0347117794486216,-0.0347117794486216,-0.208414607291115,-0.469411764705882,0.00284909927501142,0.040709584743405,0.0264662613012685,0.0105713392298758,-0.00673635307781649,0.0109107057457129,-0.0238095238095238,-0.00673635307781649,-0.0238095238095238,-0.0571428571428571,-0.0571428571428571,-0.0171708139143726,-0.0450735930735931,0,0,0,-0.0545238095238095,-0.181497123065751
"AKT",0.327661686684243,0.347486548332339,0.314422032203307,0.268185473063522,0.212087912087912,0.258028966731443,0.256366861896274,0.228520770010132,0.116666666666667,0.188095238095238,0.0940448881336732,0.0997565524187274,0.0860636063606361,0.224314686266503,0.157271194185789,0.353033525500172,0.302795698924731,0.286666666666667,0.108498023715415,0.0954545454545455,0.226666666666667,0.218347953216374,0.290459398163514,0.260688405797101,0.223188405797101,0.202777777777778,0.4558031701645,0.4558031701645,0.471054941754846,-0.414019814144971,-0.474228848876736,0.363919413919414,0.326190476190476,0.326190476190476,0.326190476190476,-0.541282701291794,-0.454772024777797,-0.37612968591692,0.476040443263539,0.443543293890677,0.406762776667017,0.368778280542986,0.407360957708341,0.326470588235294,0.368778280542986,0.326470588235294,0.25,0.25,0.159574816090657,0.425958424935935,-0.166666666666667,-0.05,0.2,-0.133088187649841,-0.240304349861872
"ERK",0.385274085901701,0.415042326338475,0.379934173260272,0.333780327106426,0.281203007518797,0.220676175676176,0.288147867489874,0.185611240611241,0.195925925925926,0.241380471380471,0.178431128619808,0.181203719004471,0.169066966867719,0.219013663190234,0.25149146171595,0.458356589823248,0.193750505295497,0.167434715821813,0.205804597701149,0.181666666666667,0.119047619047619,0.313464723890836,0.289616367938844,0.256709019696033,0.216213151927438,0.126905806623274,0.461528591528591,0.461528591528591,0.720155561565624,-0.421688607153556,-0.575361702486652,0.204849918898241,0.168418134790295,0.168418134790295,0.168418134790295,-0.638578569737227,-0.470974703165782,-0.280207903189911,0.476668315019794,0.446893809727571,0.414390760181415,0.377580944230495,0.413326558265583,0.332865497076023,0.375826558265583,0.331111111111111,0.268421052631579,0.266666666666667,0.22570137815559,0.441409089794146,-0.0857142857142857,-0.14,0.2,-0.229208853020298,-0.297470774468368
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.254545454545455,0.22,0.1,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0888888888888889,0.121794871794872,0.293,0.0333333333333333,0,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,0.46207729468599,0.46207729468599,0.443589743589744,-0.405555555555556,-0.436645962732919,0.25,0.18,0.18,0.18,-0.513017543859649,-0.472121212121212,-0.216883116883117,0.371688526527236,0.324069478908189,0.269230769230769,0.2,0.269230769230769,0.1,0.2,0.1,0,0,0.286666666666667,0.28,0,0,0,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.254545454545455,0.22,0.1,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0888888888888889,0.121794871794872,0.293,0.0333333333333333,0,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,0.46207729468599,0.46207729468599,0.443589743589744,-0.405555555555556,-0.436645962732919,0.25,0.18,0.18,0.18,-0.513017543859649,-0.472121212121212,-0.216883116883117,0.371688526527236,0.324069478908189,0.269230769230769,0.2,0.269230769230769,0.1,0.2,0.1,0,0,0.286666666666667,0.28,0,0,0,-0.0833333333333333,-0.235897435897436
"cMet",0.416827220503756,0.415944170771757,0.375714285714286,0.35,0.3,0.424433962264151,0.427094017094017,0.415,0.325,0.385,0.21781905744754,0.210582010582011,0.197619047619048,0.276129032258064,0.204256854256854,0.399525166191833,0.26,0.266666666666667,0.15,0.15,0.2,0.220917832167832,0.281453634085213,0.24812030075188,0.242857142857143,0.0109523809523809,0.468800092256242,0.468800092256242,0.486986987002223,-0.324119241192412,-0.197016042780749,0.273759723422645,0.227692307692308,0.227692307692308,0.227692307692308,-0.334131826280414,-0.477083498323698,-0.313612078977933,0.17400948777998,0.13040293040293,0.0814285714285714,0.0214285714285714,0.0804029304029304,-0.05,0.0214285714285714,0.05,-0.1,0,-0.06703081232493,0.0365154264972777,-0.2,-0.1,0.1,-0.177272727272727,-0.467692307692308
"Csn",0.288131674708192,0.316037219485495,0.282703886152162,0.231910235358511,0.16984126984127,0.272145106355633,0.202809667449256,0.237529721740248,0.123076923076923,0.191497975708502,0.0794374041003457,0.0873021898357723,0.0725874751210576,0.224307359307359,0.146757779817477,0.332097902097902,0.202402597402597,0.177402597402597,0.104033613445378,0.0840336134453781,0.122857142857143,0.204493684234032,0.28627417027417,0.255988455988456,0.213131313131313,0.176410256410256,0.472518651328456,0.472518651328456,0.481107997337304,-0.431481481481481,-0.481166424553954,0.381024676323775,0.342394539337474,0.342394539337474,0.342394539337474,-0.545790584517637,-0.479271150373027,-0.332775444534988,0.487978076513063,0.455371203084731,0.419042913608131,0.380406549971767,0.419941433692698,0.337549407114625,0.380406549971767,0.337549407114625,0.263636363636364,0.263636363636364,0.270527694052912,0.44247543982244,-0.18,-0.0428571428571429,0.2,-0.125984832957573,-0.213946605865577
"SMO",0.438200280112045,0.538888888888889,0.483333333333333,0.433333333333333,0.4,0.385454545454545,0.37288227543982,0.345454545454545,0.2,0.3,0.131443994601889,0.136015325670498,0.122222222222222,0.231159420289855,0.339393939393939,0.322205128205128,0.183333333333333,0.15,0.253333333333333,0.333333333333333,0.1,0.276298773690078,0.34024024024024,0.288888888888889,0.233333333333333,0.255882352941176,0.484307359307359,0.484307359307359,0.511823032130295,-0.404545454545454,-0.446365969266069,0.408251748251748,0.363636363636364,0.363636363636364,0.363636363636364,-0.468516196447231,-0.492027137042062,-0.306004056795132,0.401328903654485,0.358471760797342,0.417142857142857,0.36,0.314285714285714,0.3,0.257142857142857,0.2,0.2,0.1,0.298771043771044,0.418333333333333,0,-0.3,0.1,-0.3,-0.35989010989011
"TWIST1",0.552675748777885,0.545987205347609,0.495120153324488,0.441736694677871,0.380952380952381,0.479287555338625,0.499466280713891,0.428685145700071,0.28,0.37047619047619,0.247635993290199,0.243363383466476,0.223522113625206,0.463633020775878,0.481343986283273,0.50348389828266,0.412612612612613,0.366666666666667,0.397222222222222,0.355555555555556,0.3,0.452939637088964,0.44213706705969,0.390724637681159,0.34,0.323104527051895,0.494155096784579,0.494155096784579,0.786919079778243,-0.398611111111111,-0.709514742783036,0.486536747512357,0.441573602549212,0.441573602549212,0.441573602549212,-0.85688769581318,-0.50092809106407,-0.43312908613696,0.555811229576553,0.518171676147525,0.47652650210486,0.42926282051282,0.475661554690036,0.376762820512821,0.428661554690036,0.376762820512821,0.32051282051282,0.32051282051282,0.425007449636358,0.510740673098968,-0.2,-0.3,0.266666666666667,-0.44349087893864,-0.471592749256573
