"","KLF4","miR200","Ecadherin","cateninmemb","Patched","RKIP","GSK3","SUFU","TrCP","LIV1","EGR1","STAT","DSH","SRC","Frizzled","SOSGRB2","cfos","Destcompl","Csn","RAF","PI3K","DELTA","cMet","Wnt","RAS","ERK","CD44","GLI","AXIN2","Csl","PAK1","NFB","FUS","TCFLEF","MEK","cateninnuc","SNAI2","NOTCHic","IKK","CDC42","SMO","TWIST1","NOTCH","TGFR","AKT","Jagged","SNAI1","TGF","FOXC2","SHH","ILK","HEY1","ZEB2","ZEB1","SMAD"
"Frizzled",-0.376750700280112,-0.429791666666667,-0.497919985862551,-0.400059860102233,-0.296969696969697,-0.229047619047619,-0.109137931034483,-0.1,-0.1,0.1,0.0666666666666667,0.2,0.3,0.25,0.25,0.151515151515152,0.0866666666666667,-0.00303544418817609,0.133333333333333,0.155160628844839,0.155160628844839,0.155160628844839,0.286842105263158,0.286842105263158,0.184294487112556,0.151372549019608,0.315413533834586,0.315413533834586,0.345186751233263,0.221428571428571,0.133333333333333,0.193333333333333,0.2,0.345214858337898,0.20322440087146,0.373310096433136,0.388432774937452,0.279761904761905,0.255833333333333,0.206666666666667,0.263636363636364,0.313039215686275,0.317016806722689,0.271884057971015,0.293333333333333,0.319544711824124,0.252225672877847,0.316645962732919,0.304163449769325,0.338905180840665,0.322818525144107,0.327757774140753,0.431078502398303,0.431078502398303,0.381697029817004
"RAF",-0.380583452893352,-0.44725528968618,-0.585180716948381,-0.49260100436571,-0.342666666666667,-0.2953081232493,-0.176044129235619,-0.1,-0.1,0,0.17,0.1,0.1,0.2,0.2,0.0773968253968254,0.17,0.0238742883913147,0.1,0.050974025974026,0.050974025974026,0.050974025974026,0.268421052631579,0.27,0.097982572982573,0.201034482758621,0.318421052631579,0.32,0.337271448663854,0.155555555555556,0.2,0.142857142857143,0.166666666666667,0.356882591093117,0.254225972120323,0.391233736131285,0.633874803287288,0.228282828282828,0.205357142857143,0.246666666666667,0.266666666666667,0.420614973262032,0.297513597513598,0.318095238095238,0.275054112554113,0.391808149405772,0.327224027895374,0.384450378282154,0.370645446507515,0.396765027322404,0.38142918271288,0.374912891986063,0.442583452893352,0.442583452893352,0.437864826277236
"CD44",-0.288888888888889,-0.458577075098814,-0.301585604168928,-0.148296703296703,-0.26,-0.465925925925926,-0.22797619047619,-0.1,-0.1,0.1,0.3,0.1,0,0,-0.1,-0.00238095238095239,0.325,-0.159085452362763,0.2,0.166666666666667,0.166666666666667,0.166666666666667,0.05,-0.05,0.203809523809524,0.385,0.0233333333333333,0.0233333333333333,-0.02,0.2,0.2,0.2,0.1,0.0861240310077519,0.425,0.135354800238521,0.441176601176601,0.271428571428571,0.3,0.3,0.2,0.384468864468864,0.308270676691729,0.3625,0.333333333333333,0.317109557109557,0.458639021796917,0.406944444444444,0.417083333333333,0.350909090909091,0.377777777777778,0.377777777777778,0.450793650793651,0.450793650793651,0.457369614512472
"PI3K",-0.399561403508772,-0.453182355231536,-0.525049096448589,-0.425162947351794,-0.312820512820513,-0.244392372333549,-0.199350649350649,-0.1,-0.2,0.1,0.0666666666666667,0.2,0.2,0.255555555555556,0.255555555555556,0.183846153846154,0.10952380952381,-0.0147651469988391,0.233333333333333,0.19021645021645,0.19021645021645,0.19021645021645,0.303381642512077,0.303381642512077,0.225832888572615,0.174229691876751,0.338766257896693,0.338766257896693,0.362952380952381,0.225,0.15,0.3,0.2,0.372099591230026,0.225049364007898,0.402408869580542,0.412508548899706,0.286538461538462,0.364705882352941,0.226470588235294,0.266666666666667,0.333961239520755,0.331699751861042,0.290470588235294,0.408295625942685,0.345,0.28493961352657,0.340064084170253,0.332044134727062,0.362820512820513,0.352196878751501,0.355756230451014,0.455973676095883,0.455973676095883,0.413796878751501
"ILK",-0.399561403508772,-0.453182355231536,-0.525049096448589,-0.425162947351794,-0.312820512820513,-0.244392372333549,-0.199350649350649,-0.1,-0.2,0.1,0.0666666666666667,0.2,0.2,0.255555555555556,0.255555555555556,0.183846153846154,0.10952380952381,-0.0147651469988391,0.233333333333333,0.19021645021645,0.19021645021645,0.19021645021645,0.303381642512077,0.303381642512077,0.225832888572615,0.174229691876751,0.338766257896693,0.338766257896693,0.362952380952381,0.225,0.15,0.3,0.2,0.372099591230026,0.225049364007898,0.402408869580542,0.412508548899706,0.286538461538462,0.364705882352941,0.226470588235294,0.266666666666667,0.333961239520755,0.331699751861042,0.290470588235294,0.408295625942685,0.345,0.28493961352657,0.340064084170253,0.332044134727062,0.362820512820513,0.352196878751501,0.355756230451014,0.455973676095883,0.455973676095883,0.413796878751501
"RAS",-0.393928571428571,-0.464738461538461,-0.507890376176821,-0.413757179661315,-0.367333333333333,-0.468490566037736,-0.227635658914729,-0.1,-0.2,0,0.26,0.1,0.1,0.2,0.2,0.0216450216450216,0.26,-0.0334014508433113,0.2,0.205641025641026,0.205641025641026,0.205641025641026,0.276470588235294,0.276470588235294,0.155641025641026,0.296842105263158,0.338172715894869,0.338970588235294,0.349934123847167,0.25,0.26,0.233333333333333,0.2,0.382788100510253,0.341940144478844,0.420465154334616,0.583513076584038,0.318421052631579,0.293333333333333,0.3,0.283333333333333,0.426393889798145,0.388232373386296,0.364705882352941,0.36,0.427411787896708,0.421514257620452,0.435002912055911,0.422380952380952,0.433435028248588,0.424675324675325,0.423517786561265,0.458877025036819,0.458877025036819,0.477736549165121
"SOSGRB2",-0.399736842105263,-0.467168382148894,-0.600274976356802,-0.508373815373815,-0.445045045045045,-0.450109649122807,-0.325951259275242,-0.2,-0.2,0,0.276190476190476,0.1,0.1,0.2,0.2,-0.0161111111111111,0.30952380952381,-0.0347157689439569,0.3,0.285875706214689,0.285875706214689,0.285875706214689,0.273913043478261,0.275,0.335875706214689,0.333848133848134,0.330434782608696,0.331521739130435,0.345606435643564,0.345454545454545,0.271428571428571,0.333333333333333,0.266666666666667,0.374645308924485,0.382332982332982,0.411547794584141,0.653156233590108,0.414685314685315,0.391228070175439,0.321428571428571,0.366666666666667,0.451536231884058,0.483699399192357,0.386813186813187,0.457894736842105,0.505836814057324,0.464655294953802,0.452770633621697,0.43997557997558,0.507835742719464,0.498064516129032,0.494791666666667,0.461165413533835,0.461165413533835,0.55610647417099
"DSH",-0.424323515814093,-0.473694105691057,-0.538745271200567,-0.437633476121079,-0.338905180840665,-0.266110556110556,-0.13164373149852,-0.2,-0.133333333333333,0.2,0.0866666666666667,0.25,0.25,0.286842105263158,0.286842105263158,0.183222468588322,0.151372549019608,0.0141401283309079,0.193333333333333,0.184294487112556,0.184294487112556,0.184294487112556,0.315413533834586,0.315413533834586,0.212585803639167,0.20322440087146,0.345214858337898,0.346132488082952,0.376832320853516,0.279761904761905,0.206666666666667,0.255833333333333,0.263636363636364,0.373310096433136,0.240066506134618,0.397263791891729,0.420912402411259,0.317016806722689,0.293333333333333,0.271884057971015,0.296969696969697,0.344954109303296,0.352681142387025,0.316645962732919,0.333563218390805,0.361405176940403,0.288457556935818,0.349050143917588,0.337496783102658,0.387371438509376,0.381697029817004,0.38740689694777,0.474385589012476,0.474385589012476,0.435659293967947
"IKK",-0.412454212454212,-0.493389074693422,-0.716847573351703,-0.583137867718873,-0.377777777777778,-0.345992714025501,-0.232857142857143,-0.1,-0.2,0.1,0.1,0.2,0.2,0.277777777777778,0.277777777777778,0.313655462184874,0.142857142857143,0.14016842628432,0.3,0.334119782214156,0.334119782214156,0.334119782214156,0.331623931623932,0.331623931623932,0.383415556862043,0.194857142857143,0.376239316239316,0.376239316239316,0.403095238095238,0.281818181818182,0.35,0.371428571428571,0.2,0.414092423583949,0.277079365079365,0.449957402486903,0.667671829766914,0.362770562770563,0.354761904761905,0.427777777777778,0.3,0.57202614379085,0.431024531024531,0.50959595959596,0.433140283140283,0.402880349890659,0.398918575063613,0.57919595959596,0.561356421356421,0.439846743295019,0.446527777777778,0.44953560371517,0.495042606516291,0.495042606516291,0.522765401540154
"MEK",-0.439406982305117,-0.505769221574725,-0.639643376329073,-0.541137589731564,-0.396765027322404,-0.343992333775616,-0.20773946093095,-0.166666666666667,-0.1,0.1,0.17,0.2,0.2,0.268421052631579,0.27,0.115174603174603,0.201034482758621,0.0470960457134904,0.142857142857143,0.097982572982573,0.097982572982573,0.097982572982573,0.318421052631579,0.32,0.138934953934954,0.254225972120323,0.356882591093117,0.358461538461538,0.3832173946098,0.228282828282828,0.246666666666667,0.205357142857143,0.266666666666667,0.391233736131285,0.210892638786989,0.422274628324594,0.676210569710646,0.297513597513598,0.275054112554113,0.318095238095238,0.342666666666667,0.465669918316977,0.347878561017247,0.384450378282154,0.32564234784823,0.437709788750035,0.37337787404922,0.4384649768223,0.42560040146247,0.451013393335476,0.437864826277236,0.431276528349699,0.50051996082986,0.50051996082986,0.498012427753251
"AKT",-0.449988753936122,-0.501310697477525,-0.570503641903135,-0.46624347742315,-0.362820512820513,-0.287249515190692,-0.225157100963553,-0.2,-0.233333333333333,0.2,0.10952380952381,0.255555555555556,0.255555555555556,0.303381642512077,0.303381642512077,0.219401709401709,0.174229691876751,0.00417612678114438,0.3,0.225832888572615,0.225832888572615,0.225832888572615,0.338766257896693,0.338766257896693,0.257881081343699,0.225049364007898,0.372099591230026,0.372844470187195,0.399414474815197,0.286538461538462,0.226470588235294,0.364705882352941,0.266666666666667,0.402408869580542,0.264289870337012,0.428255023426695,0.448588950909757,0.331699751861042,0.408295625942685,0.290470588235294,0.312820512820513,0.37096429762473,0.373163166495189,0.340064084170253,0.35375017139723,0.390033112582782,0.326794250118049,0.379036893837927,0.371893758787212,0.415452091767881,0.413796878751501,0.418162245488608,0.503918881575335,0.503918881575335,0.469352434307056
"cMet",-0.350793650793651,-0.517952075098814,-0.3654532886473,-0.208439052051152,-0.350909090909091,-0.521481481481482,-0.268298771121352,-0.1,-0.2,0.1,0.325,0,-0.1,0.05,-0.05,0.0176190476190476,0.385,-0.126653019930331,0.2,0.203809523809524,0.203809523809524,0.203809523809524,0.0233333333333333,0.0233333333333333,0.247205750224618,0.425,0.0861240310077519,0.086969696969697,0.0419047619047619,0.271428571428571,0.3,0.3,0.2,0.135354800238521,0.441363636363636,0.175467794588804,0.495191199716747,0.308270676691729,0.333333333333333,0.3625,0.26,0.441772235255381,0.369972804351304,0.406944444444444,0.389583333333333,0.38884868754434,0.519655970949459,0.462263593380615,0.468982067510549,0.429034090909091,0.457369614512472,0.454248366013072,0.512409812409812,0.512409812409812,0.519187796330653
"TWIST1",-0.41774025432562,-0.519746357824127,-0.838032830514287,-0.661553056752434,-0.515640791476408,-0.491938091938092,-0.4046171788139,-0.3,-0.2,0.266666666666667,0.28,0.309523809523809,0.309523809523809,0.348412698412698,0.348412698412698,0.317463670324082,0.371304347826087,0.397008936655958,0.3,0.42054341891154,0.42054341891154,0.42054341891154,0.384582911178656,0.385254803675856,0.452392733980033,0.434462242562929,0.417916244511989,0.418854803675856,0.461239889143115,0.342962962962963,0.381818181818182,0.384615384615385,0.377777777777778,0.447165861663597,0.483715973906213,0.472640272244391,0.732661801740352,0.396809116809117,0.451282051282051,0.443887147335423,0.445777777777778,0.479434637317932,0.448695909261947,0.495137147335423,0.515688830943068,0.475457189534901,0.526992574257426,0.54092302432859,0.558776341812726,0.577217146156211,0.483333333333333,0.483050847457627,0.513456438895035,0.513456438895035,0.552970297029703
"SMO",-0.452777777777778,-0.550723327305606,-0.47944993770326,-0.411635522149146,-0.4475,-0.429365079365079,-0.341928944841566,-0.3,0,0.1,0.2,0.1,0.2,0.15,0.25,0.265789473684211,0.3,0.319967164618327,0.1,0.347596153846154,0.347596153846154,0.347596153846154,0.196666666666667,0.3,0.384805456171735,0.369230769230769,0.241111111111111,0.344444444444444,0.366472607851918,0.266666666666667,0.4,0.2,0.4,0.278975188781014,0.414685314685315,0.312057895547931,0.464993979200876,0.33030303030303,0.271428571428571,0.46,0.36,0.329030501089325,0.39530303030303,0.518333333333333,0.347428571428571,0.366084656084656,0.47726574500768,0.57509009009009,0.493620689655172,0.525277777777778,0.4,0.4,0.547881355932203,0.547881355932203,0.474603174603175
