"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","ILK","AKT","IKK","SHH","TWIST1","NFB","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","KLF4","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","CD44","Wnt","Frizzled","cMet","DSH","SRC","STAT","Destcompl","AXIN2","TrCP","SUFU","LIV1","Patched","RKIP"
"HEY1",0.35810647307925,0.361779748706578,0.328121212121212,0.289454545454545,0.245454545454545,0.326837201609791,0.246751230504089,0.286631016042781,0.2,0.245454545454545,0.107669977081742,0.0982608695652174,0.0866666666666667,0.303597883597884,0.262857142857143,0.347715053763441,0.420888888888889,0.22,0.283333333333333,0.233333333333333,0.2,0.404522284312389,0.385704138509347,0.34755980861244,0.305454545454545,0.292710120068611,0.27656346749226,0.27656346749226,-0.203703703703704,-0.629975202078861,0.510256775939686,0.362179487179487,0.337179487179487,0.337179487179487,0.337179487179487,-0.683006845052387,-0.288416768416768,-0.193045136129648,0.462261101983821,0.412267088070192,0.439471562755926,0.411712365431511,0.376060191518468,0.341176470588235,0.376060191518468,0.3,0.341176470588235,0.3,0.180977135810698,0.452115842661049,-0.1,-0.2,0.233333333333333,-0.320833333333333,-0.24121830550402
"FOXC2",0.35810647307925,0.361779748706578,0.328121212121212,0.289454545454545,0.245454545454545,0.326837201609791,0.246751230504089,0.286631016042781,0.2,0.245454545454545,0.107669977081742,0.0982608695652174,0.0866666666666667,0.303597883597884,0.262857142857143,0.347715053763441,0.420888888888889,0.22,0.283333333333333,0.233333333333333,0.2,0.404522284312389,0.385704138509347,0.34755980861244,0.305454545454545,0.292710120068611,0.27656346749226,0.27656346749226,-0.203703703703704,-0.629975202078861,0.510256775939686,0.362179487179487,0.337179487179487,0.337179487179487,0.337179487179487,-0.683006845052387,-0.288416768416768,-0.193045136129648,0.462261101983821,0.412267088070192,0.439471562755926,0.411712365431511,0.376060191518468,0.341176470588235,0.376060191518468,0.3,0.341176470588235,0.3,0.180977135810698,0.452115842661049,-0.1,-0.2,0.233333333333333,-0.320833333333333,-0.24121830550402
"cateninnuc",0.360266039970958,0.371010918409503,0.350923582164961,0.323912087912088,0.293142857142857,0.320625772049633,0.138571865996475,0.29906613902211,0.239130434782609,0.278812974465148,0.119740036296179,0.106456411710163,0.0975887445887446,0.290029356060606,0.272060606060606,0.242396605113892,0.334537488750233,0.256060606060606,0.206867030965392,0.185555555555556,0.216666666666667,0.323762310078015,0.387419232397553,0.367419232397553,0.343000627746391,0.281675673349441,0.285542007543537,0.285542007543537,-0.222276971743164,-0.466636404027271,0.5222450129626,0.343081768081768,0.328435303435303,0.328435303435303,0.328435303435303,-0.506708069651779,-0.305676999760557,-0.117599255193767,0.272325205864067,0.337617192218145,0.356611314673788,0.336820425950861,0.317854346368343,0.295028259411821,0.316979156109591,0.258041958041958,0.294153069153069,0.258041958041958,0.0966551485281891,0.462261101983821,-0.166666666666667,-0.155555555555556,0.227272727272727,-0.22736392537533,-0.147460451046059
"SNAI2",0.392881777228407,0.397943659068979,0.360676578323637,0.317086834733894,0.264705882352941,0.356968733439322,0.291024103380333,0.313725490196078,0.2,0.264705882352941,0.113637733574442,0.106399802322708,0.0906103286384976,0.336996260905692,0.294827586206897,0.388192685524914,0.454817428762391,0.25,0.312941176470588,0.26,0.2,0.443677762026205,0.421821599453178,0.380263157894737,0.332894736842105,0.330696416497634,0.302873505349276,0.302873505349276,-0.225961538461538,-0.670369636513701,0.751180431541568,0.405032819321243,0.376722317038139,0.376722317038139,0.376722317038139,-0.816859249971507,-0.312698667832713,-0.23484926068194,0.509749190935366,0.452449348497402,0.483662234413627,0.452115842661049,0.414481434058899,0.373636363636364,0.414481434058899,0.323636363636364,0.373636363636364,0.323636363636364,0.22676488550189,0.489772856681914,-0.1,-0.2,0.26,-0.355798319327731,-0.279653846153846
"Wnt",0.195303643724696,0.205797101449275,0.166666666666667,0.133333333333333,0.1,0.147843137254902,0.12888198757764,0.106666666666667,0.1,0.0666666666666667,0.0656410256410257,0.0612999403697078,0.058974358974359,0.164166666666667,0.126666666666667,0.0915584415584415,0.212941176470588,0.0666666666666667,0.05,0,0.1,0.125759803921569,0.18452380952381,0.142857142857143,0.1,0.0939393939393939,0.339550454328073,0.339550454328073,-0.307843137254902,-0.301398305084746,0.28448275862069,0.19501025290499,0.158646616541353,0.158646616541353,0.158646616541353,-0.396177550485182,-0.341212121212121,-0.185423197492163,0.255151122840213,0.207894736842105,0.229323308270677,0.207894736842105,0.15,0.2,0.15,0.2,0.1,0.1,0.044949329846355,0.232121212121212,-0.1,0,0,-0.0772727272727273,-0.126666666666667
"SHH",0.325,0.42,0.4,0.3,0.2,0.3,0.233333333333333,0.2,0,0.1,0.0666666666666667,0.1,0.0666666666666667,0.15,0.1,0.253333333333333,0.2,0,0.3,0.2,0,0.191428571428571,0.233333333333333,0.2,0.1,0.25,0.35,0.35,-0.3,-0.321290322580645,0.39639846743295,0.269230769230769,0.2,0.2,0.2,-0.347222222222222,-0.366666666666667,-0.0871794871794872,0.291111111111111,0.3,0.246666666666667,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.0683116883116883,0.304761904761905,0,-0.2,0,-0.333333333333333,-0.22
"Frizzled",0.225536201864231,0.241035196687371,0.205797101449275,0.166666666666667,0.133333333333333,0.16636165577342,0.146342305037957,0.147843137254902,0.0666666666666667,0.106666666666667,0.0677686852154937,0.0697111553229788,0.0612999403697078,0.170416666666667,0.164166666666667,0.110913280268119,0.232941176470588,0.126666666666667,0.0772727272727273,0.05,0.0666666666666667,0.138891117052882,0.210014005602241,0.18452380952381,0.142857142857143,0.109090909090909,0.368263325615201,0.368263325615201,-0.336414565826331,-0.33600147968792,0.315713042532362,0.214695292275069,0.19501025290499,0.19501025290499,0.19501025290499,-0.428578482886115,-0.369337121212121,-0.195726227795193,0.279913027602118,0.229323308270677,0.255151122840213,0.229323308270677,0.207894736842105,0.15,0.207894736842105,0.2,0.15,0.1,0.0552941574325619,0.264679351656096,-0.1,0,0.1,-0.0915584415584415,-0.151666666666667
"RAF",0.299896846448571,0.320115709835336,0.276190476190476,0.233333333333333,0.2,0.237204695524578,0.212956964284089,0.201034482758621,0.17,0.17,0.159581881533101,0.158705308913433,0.153754813863928,0.162608225108225,0.123214285714286,0.200590163934426,0.369964349376114,0.0857142857142857,0.14,0.1,0.1,0.250709434877516,0.206565656565657,0.156565656565657,0.111111111111111,0.0613968253968254,0.383306551889048,0.383306551889048,-0.349306551889048,-0.467820930173871,0.611931281692604,0.0853868353868354,0.0435064935064935,0.0435064935064935,0.0435064935064935,-0.54161987779231,-0.392939866919683,-0.140937746256895,0.367022451232978,0.298205128205128,0.333689117899644,0.296626180836707,0.236666666666667,0.166666666666667,0.235087719298246,0.1,0.166666666666667,0.1,0.111239129798261,0.309927332395687,-0.1,-0.1,0,-0.176,-0.220728291316527
"DSH",0.24415092047895,0.260198959753573,0.241035196687371,0.205797101449275,0.166666666666667,0.192677445247105,0.158806073153899,0.16636165577342,0.106666666666667,0.147843137254902,0.0782950010049674,0.0791451175871298,0.0697111553229788,0.189956896551724,0.170416666666667,0.123796715850941,0.255636211931581,0.164166666666667,0.0915584415584415,0.0772727272727273,0.126666666666667,0.157495768215672,0.230293725881961,0.210014005602241,0.18452380952381,0.135920177383592,0.391097971284493,0.391097971284493,-0.364569905632156,-0.364623387815129,0.342604777107449,0.232902575188234,0.214695292275069,0.214695292275069,0.214695292275069,-0.456585506591119,-0.39372736511456,-0.206631100184984,0.29852389135991,0.254813504349108,0.279913027602118,0.255151122840213,0.229323308270677,0.207894736842105,0.229323308270677,0.15,0.207894736842105,0.15,0.0625460658295085,0.292949393850189,-0.0666666666666667,-0.05,0.1,-0.110913280268119,-0.171946386946387
"PI3K",0.260109175377468,0.271013868962219,0.231176470588235,0.191176470588235,0.15,0.186297469807595,0.179887278582931,0.164985994397759,0.0666666666666667,0.123809523809524,0.0785659032051929,0.0855734293717487,0.0735734293717487,0.282202111613876,0.274509803921569,0.123717948717949,0.26648112321669,0.233333333333333,0.0833333333333333,0.05,0.166666666666667,0.153245614035088,0.225186104218362,0.196153846153846,0.15,0.148461538461538,0.399045880195401,0.399045880195401,-0.364035087719298,-0.370433551150712,0.351114620071252,0.229696495285536,0.205038961038961,0.205038961038961,0.205038961038961,-0.463995115938321,-0.398925229253098,-0.197270322270322,0.307484775423907,0.24692679301375,0.278000239341433,0.24692679301375,0.220772946859903,0.155555555555556,0.220772946859903,0.1,0.155555555555556,0.1,0.0587689435537009,0.281333333333333,-0.2,0,0.1,-0.0987179487179487,-0.169166127989657
"ILK",0.260109175377468,0.271013868962219,0.231176470588235,0.191176470588235,0.15,0.186297469807595,0.179887278582931,0.164985994397759,0.0666666666666667,0.123809523809524,0.0785659032051929,0.0855734293717487,0.0735734293717487,0.282202111613876,0.274509803921569,0.123717948717949,0.26648112321669,0.233333333333333,0.0833333333333333,0.05,0.166666666666667,0.153245614035088,0.225186104218362,0.196153846153846,0.15,0.148461538461538,0.399045880195401,0.399045880195401,-0.364035087719298,-0.370433551150712,0.351114620071252,0.229696495285536,0.205038961038961,0.205038961038961,0.205038961038961,-0.463995115938321,-0.398925229253098,-0.197270322270322,0.307484775423907,0.24692679301375,0.278000239341433,0.24692679301375,0.220772946859903,0.155555555555556,0.220772946859903,0.1,0.155555555555556,0.1,0.0587689435537009,0.281333333333333,-0.2,0,0.1,-0.0987179487179487,-0.169166127989657
"SOSGRB2",0.379291819291819,0.395580235367469,0.353736263736264,0.311428571428571,0.271428571428571,0.373242073242073,0.359596304193319,0.333848133848134,0.276190476190476,0.30952380952381,0.261647727272727,0.260595533498759,0.252903225806452,0.348538011695906,0.315204678362573,0.290970039807249,0.40104347826087,0.288888888888889,0.233333333333333,0.2,0.3,0.344730409807593,0.391214419383433,0.347552447552448,0.309090909090909,-0.0272222222222222,0.414511278195489,0.414511278195489,-0.377368421052632,-0.483303069303069,0.629300826095217,0.335564247428654,0.294538606403013,0.294538606403013,0.294538606403013,-0.561437221363788,-0.425120304498095,-0.319654763189125,0.380365628511382,0.300414078674948,0.344227961207366,0.298964803312629,0.238095238095238,0.171428571428571,0.236645962732919,0.1,0.171428571428571,0.1,0.00168072047266678,0.310884213421342,-0.2,-0.2,0,-0.263063063063063,-0.388669590643275
"MEK",0.335932882484607,0.360991622244095,0.320115709835336,0.276190476190476,0.233333333333333,0.168871362191245,0.23475183607896,0.237204695524578,0.17,0.201034482758621,0.165036426987646,0.168668408544429,0.158705308913433,0.182608225108225,0.162608225108225,0.224773170470374,0.401832481244246,0.123214285714286,0.176,0.14,0.0857142857142857,0.274479926680795,0.242332079923321,0.206565656565657,0.156565656565657,0.0858412698412698,0.415846234428731,0.415846234428731,-0.380679100908656,-0.509040442368993,0.651347340086764,0.115545565545566,0.0853868353868354,0.0853868353868354,0.0853868353868354,-0.582239185624732,-0.424828411811324,-0.15543406075321,0.396204607366807,0.335268065268065,0.367022451232978,0.333689117899644,0.298205128205128,0.236666666666667,0.296626180836707,0.166666666666667,0.235087719298246,0.166666666666667,0.12358222603257,0.356774179242534,-0.1,-0.1,0.1,-0.200590163934426,-0.249675659737579
"RAS",0.364761904761905,0.377868375072801,0.335294117647059,0.3,0.26,0.340701754385965,0.323195673549656,0.307368421052632,0.26,0.26,0.161857707509881,0.160791589363018,0.156709956709957,0.225555555555556,0.186666666666667,0.181480225988701,0.370987452264048,0.166666666666667,0.116666666666667,0.1,0.2,0.244521979105066,0.273485600794439,0.226315789473684,0.2,0.0125541125541125,0.419134756995582,0.419134756995582,-0.378928571428571,-0.384420823960446,0.550988399064251,0.179358974358974,0.235128205128205,0.235128205128205,0.235128205128205,-0.468002536983173,-0.4292,-0.238475452196382,0.365511370036254,0.285539215686274,0.329534032925773,0.284918648310388,0.214705882352941,0.15,0.214705882352941,0.1,0.15,0.1,0.00186132221015942,0.291752305665349,-0.2,-0.1,0,-0.152666666666667,-0.410528301886792
"CD44",0.385,0.377777777777778,0.35,0.3,0.2,0.415,0.397182349813929,0.385,0.3,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.26,0.266666666666667,0.177272727272727,0.351941391941392,0.2,0.15,0.1,0.2,0.182470862470862,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,0.425396825396825,0.425396825396825,-0.277777777777778,-0.132967032967033,0.425361305361305,0.22952380952381,0.180952380952381,0.180952380952381,0.180952380952381,-0.281783194007165,-0.435335968379447,-0.281547619047619,0.106529516994633,0.01,0.0588372093023256,0.01,-0.05,-0.1,0.05,0,0,0.1,-0.0948761322710902,-0.03,-0.1,-0.1,0.1,-0.15,-0.431111111111111
"AKT",0.28341744605416,0.294880938448624,0.271013868962219,0.231176470588235,0.191176470588235,0.216677216643038,0.195676752267141,0.186297469807595,0.123809523809524,0.164985994397759,0.0928516174909072,0.0946643384626578,0.0855734293717487,0.207454636866402,0.282202111613876,0.140560053981107,0.29430986939406,0.274509803921569,0.0987179487179487,0.0833333333333333,0.233333333333333,0.176424421982108,0.250795860315923,0.225186104218362,0.196153846153846,0.17957264957265,0.426443140469373,0.426443140469373,-0.39565901934323,-0.403766884484045,0.382973916553664,0.250660350707223,0.229696495285536,0.229696495285536,0.229696495285536,-0.497176934120139,-0.427267475242403,-0.210173548076774,0.328869390808523,0.27765304999699,0.307484775423907,0.278000239341433,0.24692679301375,0.220772946859903,0.24692679301375,0.155555555555556,0.220772946859903,0.155555555555556,0.0672883811053965,0.31490734055355,-0.166666666666667,-0.05,0.1,-0.123717948717949,-0.193389730474129
"IKK",0.492236652236652,0.521612121212121,0.471212121212121,0.416666666666667,0.35,0.254857142857143,0.275417020073509,0.194857142857143,0.1,0.142857142857143,0.181940144478844,0.187768151815181,0.172916666666667,0.326898326898327,0.280952380952381,0.251775223499361,0.529607843137255,0.314285714285714,0.18,0.12,0.3,0.28893470790378,0.35974025974026,0.307359307359307,0.245454545454545,0.301890756302521,0.427704260651629,0.427704260651629,-0.377655677655678,-0.573073407039888,0.662068373772644,0.375637977897634,0.329159104658197,0.329159104658197,0.329159104658197,-0.682934429668509,-0.432419175027871,-0.223131868131868,0.453207869629238,0.377094017094017,0.416077067941475,0.377094017094017,0.317094017094017,0.255555555555556,0.317094017094017,0.2,0.255555555555556,0.2,0.103989109333722,0.398333333333333,-0.2,-0.1,0.1,-0.220740740740741,-0.259927140255009
"TWIST1",0.507501875468867,0.51102031726423,0.470701410658307,0.424451410658307,0.372727272727273,0.444565046620445,0.41224540311174,0.401281464530892,0.28,0.353913043478261,0.241770658719811,0.233474969118533,0.217963417963418,0.436009188551561,0.391941391941392,0.477765961115985,0.471312974465148,0.353846153846154,0.399555555555556,0.355555555555556,0.3,0.445542751776689,0.426049024350911,0.381709401709402,0.335555555555555,0.320882473742886,0.430333842614544,0.430333842614544,-0.357452574525745,-0.688605731069135,0.768572708943571,0.416872202030893,0.386735215729523,0.386735215729523,0.386735215729523,-0.834441448854107,-0.439304754917374,-0.264817515282318,0.528065465520738,0.465428237259816,0.49937081342183,0.464608179424893,0.424628237259816,0.379365079365079,0.424045930428909,0.323809523809524,0.379365079365079,0.323809523809524,0.242348749285412,0.501732890765149,-0.2,-0.3,0.266666666666667,-0.44476103500761,-0.400922279183149
