"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","ERK","SNAI1","cfos","EGR1","HEY1","TWIST1","SMAD","IKK","AKT","SHH","ILK","SMO","NFB","FUS","Jagged","NOTCH","NOTCHic","Csl","Csn","SOSGRB2","SNAI2","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","KLF4","GLI","DSH","Wnt","cateninnuc","TCFLEF","miR200","CD44","Ecadherin","Frizzled","STAT","cMet","cateninmemb","GSK3","SRC","AXIN2","LIV1","Destcompl","TrCP","SUFU","Patched","RKIP"
"HEY1",0.142374134570142,0.104274944567627,0.0989090909090909,0.0949090909090909,0.0909090909090909,0.160187441424555,0.150909090909091,0.0745652537153824,0.150909090909091,0.16,0.0505576776165011,0.0342352941176471,0.044,0.103809523809524,0.107513227513228,0.0010752688172043,0.044,0,0.08,-0.0333333333333333,0.00859025032938076,0.100648152715434,0.0996172248803828,0.0890909090909091,0.1,0.101129216695254,0.117736385097401,0.148818369453044,0.148818369453044,0.10211161387632,0.100641025641026,0.100641025641026,0.100641025641026,-0.125925925925926,-0.00303552054342186,0,-0.00820793433652531,-0.00357189140387725,-0.0041945564101039,-0.166756206756207,-0.00386010824956879,-0.135531566838001,-0.00588235294117647,0,-0.00820793433652531,0.0581800290946632,-0.101491125217149,-0.00588235294117647,0.0898329960210923,-0.0333333333333333,0.090223266809585,-0.1,0,0,-0.0894351680065966
"FOXC2",0.142374134570142,0.104274944567627,0.0989090909090909,0.0949090909090909,0.0909090909090909,0.160187441424555,0.150909090909091,0.0745652537153824,0.150909090909091,0.16,0.0505576776165011,0.0342352941176471,0.044,0.103809523809524,0.107513227513228,0.0010752688172043,0.044,0,0.08,-0.0333333333333333,0.00859025032938076,0.100648152715434,0.0996172248803828,0.0890909090909091,0.1,0.101129216695254,0.117736385097401,0.148818369453044,0.148818369453044,0.10211161387632,0.100641025641026,0.100641025641026,0.100641025641026,-0.125925925925926,-0.00303552054342186,0,-0.00820793433652531,-0.00357189140387725,-0.0041945564101039,-0.166756206756207,-0.00386010824956879,-0.135531566838001,-0.00588235294117647,0,-0.00820793433652531,0.0581800290946632,-0.101491125217149,-0.00588235294117647,0.0898329960210923,-0.0333333333333333,0.090223266809585,-0.1,0,0,-0.0894351680065966
"SNAI2",0.182283359012903,0.153220039409298,0.148251095309919,0.143977591036415,0.13921568627451,0.198304186539481,0.190196078431373,0.137379728723091,0.184313725490196,0.166666666666667,0.0658529234478602,0.134513822752456,0.057053645637782,0.150574712643678,0.159008447583437,0.106586409211572,0.0546613011401744,0.0976470588235294,0.133333333333333,0.08,0.100649120600856,0.151264524948735,0.147368421052632,0.13859649122807,0.133333333333333,0.142968221771467,0.39995919501442,0.185203692049507,0.185203692049507,0.155403106788236,0.154033243774537,0.154033243774537,0.154033243774537,-0.155384615384615,0.0903562551781276,0.0890909090909091,0.0876824583866837,0.0910726707345456,0.0904515527221233,-0.199351329272336,0.0898329960210923,-0.316309844886704,0.0890909090909091,0.0890909090909091,0.0876824583866837,0.156048829869609,-0.148497714288014,0.0890909090909091,0.142039940276222,0.08,0.137883339841312,-0.1,-0.1,-0.103769507803121,-0.148564102564103
"Destcompl",0.0616843486713494,0.0314041260787437,0.0336701359309604,0.0299859254046446,0.0210204081632653,0.0548635234171652,0.0540196415606252,0.0992210332828994,0.0534731934731935,0.0625641025641026,0.00964317733548503,-0.0318266676522193,0.0142314118629908,0.0514800514800515,0.0481243467820649,-0.115935395944595,0.0134126984126984,-0.109020251778872,0.0523809523809524,-0.111877394636015,-0.178310214637927,-0.0541948095171934,-0.0511887974931453,-0.0522757540148844,0.0523809523809524,-0.0575083310417647,-0.222631982686739,0.194558132534543,0.194558132534543,0.00941467651708877,0.00894371890327401,0.00894371890327401,0.00894371890327401,-0.204357650061207,-0.173649411348739,-0.174603174603175,-0.173463882591782,-0.172465196286616,-0.172159229942914,-0.206079096334212,-0.172981147751133,0.036027652144737,-0.170493585562079,-0.174603174603175,-0.172981147751133,0.170433077620909,-0.0945772284428009,-0.170493585562079,-0.227418151313345,-0.188888888888889,-0.0123472475947185,-0.0666666666666667,0.122222222222222,0.112647194784054,-0.12498028352058
"AXIN2",0.113265930010661,0.0682783061983681,0.0656380421719655,0.0647530864197531,0.0783333333333333,0.112535836025457,0.117363422232353,0.157617870172215,0.131382113821138,0.153333333333333,0.0187481889307447,-0.0314709913830942,0.0181159420289855,0.104830917874396,0.102608695652174,-0.150342580916351,0.0220841959972395,-0.152930402930403,0.109178743961353,-0.157692307692308,-0.214225815312772,-0.049850640113798,-0.0505263157894737,-0.0505263157894737,0.122222222222222,-0.07606528114242,-0.26853753761214,0.245955228552537,0.245955228552537,0.0719524933015656,0.0735272964511719,0.0735272964511719,0.0735272964511719,-0.252988588338008,-0.22785084202085,-0.24,-0.22785084202085,-0.226856110673484,-0.227418151313345,-0.259975048076617,-0.227535384607601,0.048516765304432,-0.233023255813954,-0.24,-0.22785084202085,0.201157801911305,-0.174466124899763,-0.233023255813954,0.190230740564906,-0.233333333333333,0.165422792282405,-0.133333333333333,0.15,0.149358974358974,-0.179947910512427
"Wnt",0.171093117408907,0.194492753623188,0.146666666666667,0.1,0.1,0.119607843137255,0.0666666666666667,0.0959627329192547,0.0666666666666667,0.1,0.0656410256410257,0.191176470588235,0.0566487775790101,0.0866666666666667,0.136666666666667,0.10021645021645,0.058974358974359,0.05,0.0666666666666667,0,0.116495098039216,0.18452380952381,0.142857142857143,0.1,0.1,0.0939393939393939,0.278620689655172,0.304208512673362,0.304208512673362,0.117361585782638,0.108270676691729,0.108270676691729,0.108270676691729,-0.262745098039216,0.219736842105263,0.2,0.225,0.21722974655181,0.212593984962406,-0.306262626262626,0.219736842105263,-0.306811284702709,0.3,0.1,0.225,0.0560593220338983,-0.0466300940438871,0.2,0.258787878787879,0,-0.073092669562104,-0.1,0,-0.0954545454545455,-0.12
"Frizzled",0.194348931362395,0.212587991718426,0.194492753623188,0.146666666666667,0.1,0.160348583877996,0.119607843137255,0.0959627329192547,0.0666666666666667,0.0666666666666667,0.0635133660665576,0.194033613445378,0.0631908336537765,0.136666666666667,0.155416666666667,0.0969906437648373,0.0566487775790101,0.0954545454545455,0.0866666666666667,0.05,0.111444592988711,0.194327731092437,0.18452380952381,0.142857142857143,0.0666666666666667,0.121212121212121,0.2877689546394,0.334901581980293,0.334901581980293,0.119723790507048,0.117361585782638,0.117361585782638,0.117361585782638,-0.300840336134454,0.212593984962406,0.3,0.219736842105263,0.222944032266096,0.21722974655181,-0.339075126262626,0.212593984962406,-0.319631797523222,0.225,0.2,0.219736842105263,0.0659005918751681,-0.0508725182863114,0.225,0.258787878787879,0.1,-0.0712359056363746,-0.1,0,-0.10021645021645,-0.134285714285714
"TWIST1",0.327856314728033,0.296121287694318,0.287237460815047,0.275987460815047,0.269090909090909,0.311408859592199,0.300961098398169,0.280664934505873,0.290434782608696,0.26,0.20714596138325,0.200113644618793,0.195968155374096,0.271978021978022,0.288927174520395,0.25646393893725,0.192337792337792,0.234222222222222,0.257692307692308,0.222222222222222,0.131847879642356,0.185958178788367,0.176524216524217,0.163703703703704,0.25,0.164088873242191,0.426138528353627,0.339286655076129,0.339286655076129,0.178479881603447,0.176425087082899,0.176425087082899,0.176425087082899,-0.30375234521576,0.115363742690058,0.1,0.112163742690058,0.11784832435182,0.116525725156881,-0.351572511616532,0.113922356091031,-0.336019998234431,0.111111111111111,0.1,0.111111111111111,0.184289640994876,-0.183142926718626,0.111111111111111,0.161993597800049,0.1,0.15344446858748,-0.2,-0.233333333333333,-0.252030441400304,-0.294068889721064
"DSH",0.195647632661097,0.212239559662677,0.212587991718426,0.194492753623188,0.146666666666667,0.176138057562206,0.160348583877996,0.0997308488612837,0.119607843137255,0.0666666666666667,0.072285295891119,0.196870492878002,0.0748889468613236,0.155416666666667,0.158864942528736,0.0988311345623833,0.0631908336537765,0.10021645021645,0.136666666666667,0.0954545454545455,0.116870949577858,0.193628430393136,0.194327731092437,0.18452380952381,0.0866666666666667,0.135846267553585,0.295335892939749,0.351437015051159,0.351437015051159,0.126726591627496,0.119723790507048,0.119723790507048,0.119723790507048,-0.328995675940279,0.217169148361099,0.225,0.212593984962406,0.224457834581323,0.222944032266096,-0.357977565287017,0.21722974655181,-0.325514150464398,0.219736842105263,0.225,0.212593984962406,0.0695519464099149,-0.0562089452004645,0.219736842105263,0.261741465285769,0.2,-0.0689458293004967,-0.0666666666666667,-0.05,-0.0969906437648373,-0.140579420579421
"cateninnuc",0.341178913982193,0.313733089978836,0.307619552860932,0.297274725274725,0.283428571428571,0.339642827689462,0.332303378148177,0.28941656603803,0.320910973084886,0.297101449275362,0.120508337209093,0.239767417542805,0.104986894869569,0.304045454545455,0.311076704545455,0.166151251187099,0.100484848484848,0.154808743169399,0.292045454545455,0.143333333333333,0.164953201884691,0.310897372091696,0.306351917546242,0.297049591964846,0.270833333333333,0.218405601972248,0.353006112128936,0.354481042009233,0.354481042009233,0.308535943535944,0.306347391347391,0.306347391347391,0.306347391347391,-0.285384919548621,0.134550237334633,0.124242424242424,0.132178695832657,0.0380677261277289,0.136327875257803,-0.363206872160946,0.133265888700671,-0.324045480708165,0.131091739310917,0.124242424242424,0.130884936319719,0.0244559158354481,-0.276338700952642,0.12979797979798,0.283929691237556,0.124242424242424,0.245112679583343,-0.233333333333333,-0.133333333333333,-0.16288327733089,-0.316012623439422
"RAF",0.274358974358974,0.288936359590565,0.258095238095238,0.22,0.2,0.223411592076302,0.187241379310345,0.194340807909759,0.17,0.17,0.159581881533101,0.308957219251337,0.156725110893631,0.110714285714286,0.150108225108225,0.184196721311475,0.153754813863928,0.14,0.0857142857142857,0.1,0.192135580887703,0.178243978243978,0.147474747474747,0.111111111111111,0.1,0.0533968253968254,0.514873229585592,0.368663797226208,0.368663797226208,0.0222360972360972,0.00941558441558441,0.00941558441558441,0.00941558441558441,-0.332663797226208,0.190512820512821,0.1,0.186666666666667,0.188401975686026,0.18560299349773,-0.377852175614352,0.186302294197031,-0.389305779206111,0.166666666666667,0.1,0.182456140350877,0.195203775203775,-0.105516154452325,0.166666666666667,0.222257383966245,0,-0.0755877960940474,-0.1,-0.1,-0.176,-0.218207282913165
"PI3K",0.236171893147503,0.246266379722621,0.225941176470588,0.177941176470588,0.125,0.189162878266061,0.148179271708683,0.150595813204509,0.0952380952380952,0.0666666666666667,0.0747923182995325,0.222654402697168,0.0798917967186875,0.252941176470588,0.270889894419306,0.110470085470085,0.0694917967186875,0.1,0.2,0.05,0.128421052631579,0.209057071960298,0.196153846153846,0.15,0.166666666666667,0.158461538461538,0.310823521654978,0.372030202703799,0.372030202703799,0.159974856194034,0.153125541125541,0.153125541125541,0.153125541125541,-0.336842105263158,0.233065774804905,0.2,0.23768115942029,0.24484747437972,0.239280464070442,-0.373336824156496,0.233065774804905,-0.34710549573226,0.233333333333333,0.2,0.23768115942029,0.084569831461725,-0.14030784030784,0.233333333333333,0.274,0.1,-0.0874980389695962,-0.2,0,-0.107692307692308,-0.159599224305107
"ILK",0.236171893147503,0.246266379722621,0.225941176470588,0.177941176470588,0.125,0.189162878266061,0.148179271708683,0.150595813204509,0.0952380952380952,0.0666666666666667,0.0747923182995325,0.222654402697168,0.0798917967186875,0.252941176470588,0.270889894419306,0.110470085470085,0.0694917967186875,0.1,0.2,0.05,0.128421052631579,0.209057071960298,0.196153846153846,0.15,0.166666666666667,0.158461538461538,0.310823521654978,0.372030202703799,0.372030202703799,0.159974856194034,0.153125541125541,0.153125541125541,0.153125541125541,-0.336842105263158,0.233065774804905,0.2,0.23768115942029,0.24484747437972,0.239280464070442,-0.373336824156496,0.233065774804905,-0.34710549573226,0.233333333333333,0.2,0.23768115942029,0.084569831461725,-0.14030784030784,0.233333333333333,0.274,0.1,-0.0874980389695962,-0.2,0,-0.107692307692308,-0.159599224305107
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.2,0.283333333333333,0.1,0,0.0666666666666667,0.2,0.1,0.1,0.15,0.253333333333333,0.0666666666666667,0.3,0,0.2,0.162857142857143,0.233333333333333,0.2,0.1,0,0.25,0.346590038314176,0.375,0.375,0.303846153846154,0.25,0.25,0.25,-0.3,0.25,0.2,0.2,0.156666666666667,0.156666666666667,-0.383333333333333,0.15,-0.276388888888889,0.2,0.1,0.1,0.00946236559139784,-0.271794871794872,0.1,0.276190476190476,0,0.255844155844156,0,-0.2,-0.333333333333333,-0.26
"AKT",0.24143505104224,0.2495896425625,0.246266379722621,0.225941176470588,0.177941176470588,0.206884397253402,0.189162878266061,0.158866489896238,0.148179271708683,0.0952380952380952,0.0875742731867506,0.229076421045792,0.0910029078297986,0.270889894419306,0.177960601490013,0.115733243364822,0.0798917967186875,0.107692307692308,0.252941176470588,0.1,0.136368072499129,0.211496096350542,0.209057071960298,0.196153846153846,0.2,0.176239316239316,0.319768245273068,0.392578147909279,0.392578147909279,0.16937244655548,0.159974856194034,0.159974856194034,0.159974856194034,-0.366756635177688,0.239211026201553,0.233333333333333,0.233065774804905,0.245770551302797,0.24484747437972,-0.395261957846336,0.239280464070442,-0.354832768459533,0.23768115942029,0.233333333333333,0.233065774804905,0.0887492402282898,-0.146759453211066,0.23768115942029,0.279415162454874,0.2,-0.0850993623773712,-0.166666666666667,-0.05,-0.110470085470085,-0.170158230516287
"MEK",0.293277893277893,0.304994753751149,0.288936359590565,0.258095238095238,0.22,0.155078258742969,0.223411592076302,0.200751064320015,0.187241379310345,0.17,0.163218245169465,0.315916926211044,0.164474188384406,0.150108225108225,0.165402342755284,0.187464695167685,0.156725110893631,0.176,0.110714285714286,0.14,0.192955253018851,0.189192883353467,0.178243978243978,0.147474747474747,0.0857142857142857,0.068952380952381,0.52338904467075,0.396441575003985,0.396441575003985,0.0295376845376845,0.0222360972360972,0.0222360972360972,0.0222360972360972,-0.365997130559541,0.18981351981352,0.166666666666667,0.190512820512821,0.191747700593089,0.188401975686026,-0.406644745273795,0.18560299349773,-0.400416890317222,0.186666666666667,0.166666666666667,0.186302294197031,0.20325255569158,-0.112150061086231,0.182456140350877,0.226761888470749,0.1,-0.0739141559266834,-0.1,-0.1,-0.184196721311475,-0.23531254607106
"IKK",0.426666666666667,0.440206060606061,0.410606060606061,0.383333333333333,0.35,0.213079365079365,0.170857142857143,0.224038733389878,0.142857142857143,0.1,0.181940144478844,0.399869281045752,0.181827557755776,0.247619047619048,0.282754182754183,0.196270753512133,0.172916666666667,0.16,0.314285714285714,0.12,0.17288191190253,0.278066378066378,0.251082251082251,0.227272727272727,0.3,0.247478991596639,0.480013877697198,0.396892230576441,0.396892230576441,0.240322759302335,0.227646702964307,0.227646702964307,0.227646702964307,-0.353113553113553,0.181111111111111,0.15,0.176495726495726,0.182505661636749,0.178286252354049,-0.403221850613155,0.181111111111111,-0.425038586785007,0.161111111111111,0.15,0.176495726495726,0.201313044497402,-0.113205128205128,0.161111111111111,0.219047619047619,0.1,-0.0141541077930968,-0.2,-0.1,-0.185925925925926,-0.232149362477231
"SOSGRB2",0.354163614163614,0.367958849660977,0.336043956043956,0.301428571428571,0.271428571428571,0.356370656370656,0.323037323037323,0.337328358208955,0.30952380952381,0.276190476190476,0.261647727272727,0.350753623188406,0.259196932100158,0.304678362573099,0.333845029239766,0.281667714225854,0.252903225806452,0.233333333333333,0.288888888888889,0.2,0.305208589268921,0.369437604648872,0.33986013986014,0.309090909090909,0.3,-0.0327777777777778,0.552350225300945,0.397731829573935,0.397731829573935,0.276220483847603,0.254425612052731,0.254425612052731,0.254425612052731,-0.362017543859649,0.220703933747412,0.1,0.204761904761905,0.22163148748086,0.219910646180669,-0.408441181664522,0.217805383022774,-0.427437513773732,0.171428571428571,0.1,0.201863354037267,0.2054368004368,-0.26926409417293,0.171428571428571,0.246280253025303,0,-0.12049561177078,-0.2,-0.2,-0.263063063063063,-0.376571637426901
"RAS",0.340634920634921,0.359848573092603,0.315294117647059,0.28,0.26,0.315727554179567,0.286315789473684,0.299410029498525,0.26,0.26,0.161857707509881,0.339454446262957,0.158750773036487,0.173333333333333,0.212222222222222,0.186090395480226,0.156709956709957,0.116666666666667,0.166666666666667,0.1,0.221131480386359,0.269712015888779,0.226315789473684,0.2,0.2,0.0125541125541125,0.503930392731657,0.398696612665685,0.398696612665685,0.116538461538462,0.195384615384615,0.195384615384615,0.195384615384615,-0.356428571428571,0.265441176470588,0.1,0.252941176470588,0.265157160113249,0.262041012804467,-0.407661538461538,0.263579474342929,-0.357399402448727,0.2,0.1,0.252941176470588,0.121811925311228,-0.186395348837209,0.2,0.291172595520422,0,-0.0997067671486276,-0.2,-0.1,-0.160666666666667,-0.392622641509434
"ERK",0.29994455994456,0.310214533970929,0.304994753751149,0.288936359590565,0.258095238095238,0.170398593004807,0.155078258742969,0.20769550876446,0.223411592076302,0.187241379310345,0.173115856090966,0.320771295143083,0.172072972578935,0.165402342755284,0.173659223489229,0.192295613042081,0.164474188384406,0.184196721311475,0.150108225108225,0.176,0.197774530127284,0.193902024627706,0.189192883353467,0.178243978243978,0.110714285714286,0.0776902450300509,0.529791208782562,0.414236850594536,0.414236850594536,0.0355882895981906,0.0295376845376845,0.0295376845376845,0.0295376845376845,-0.391578525908378,0.192570412044096,0.186666666666667,0.18981351981352,0.193136589481978,0.191747700593089,-0.42625258841105,0.188401975686026,-0.407042362339192,0.190512820512821,0.182456140350877,0.18560299349773,0.207208397457909,-0.116600560632099,0.186302294197031,0.230176522617091,0.166666666666667,-0.0725988609248044,-0.0857142857142857,-0.14,-0.187464695167685,-0.245618952756297
