"","TGF","FOXC2","TGFR","CDC42","PAK1","SNAI1","MEK","ERK","EGR1","cfos","HEY1","SHH","SMAD","ILK","SMO","FUS","TWIST1","AKT","IKK","NFB","Jagged","Csn","NOTCH","Wnt","GLI","Frizzled","DSH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","SNAI2","KLF4","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","TCFLEF","CD44","cMet","SRC","STAT","AXIN2","TrCP","LIV1","Destcompl","SUFU","Patched","RKIP"
"Destcompl",0.0842902951222294,0.0842902951222294,0.0862219444535816,0.0831211692597831,0.0761904761904762,0.122996980292636,0.0695679012345679,0.0695679012345679,0.075,0.0683333333333333,0.0214223910953829,0.0271014482779189,0.0275419769122801,0.0271014482779189,0.0376470588235294,0.0376470588235294,-0.0190130414828818,0.0521424312121987,0.0547065337763012,0.0547065337763012,-0.176282505265556,0.0523809523809524,-0.053811980984683,0,0,0,0,-0.0523194436712502,-0.0534558073076138,-0.0386734744215875,0.239193931751309,0.239193931751309,-0.223590164843447,-0.248268992469736,0.20163812233438,0.00886447513727247,0.00853767775165155,0.00853767775165155,0.00853767775165155,0.0305224177562736,-0.0936755412407893,-0.252587643402288,-0.177576130020818,-0.178250893853476,-0.178968253968254,-0.178968253968254,-0.178968253968254,-0.181746031746032,-0.233739210942113,-0.0666666666666667,-0.188888888888889,-0.016434084877895,-0.02,-0.0305763517528223,-0.151555555555556
"AXIN2",0.14051000946294,0.14051000946294,0.138351736081645,0.137722805264035,0.148067632850242,0.195810593575035,0.130929521606213,0.134006444683136,0.16,0.144210526315789,0.0308374384236453,0.0357322551662174,0.0328614417690882,0.0357322551662174,0.030952380952381,0.0142857142857143,-0.0176304770663982,0.104971970342814,0.10614844093105,0.109178743961353,-0.213537313432836,0.122222222222222,-0.0510928697891518,0,0,0,0,-0.0514437469821342,-0.0505263157894737,-0.051972883231876,0.294644414781786,0.294644414781786,-0.270141897285181,-0.298253493013972,0.239588346548434,0.0711165161351183,0.0721946832510213,0.0721946832510213,0.0721946832510213,0.0450219694924509,-0.173381513315379,-0.309129796637526,-0.233154415620476,-0.233739210942113,-0.234101092727397,-0.235065722952477,-0.237674418604651,-0.24,0.183976057270987,-0.133333333333333,-0.233333333333333,0.161653380285535,0,-0.0376190476190476,-0.220855045575542
"Wnt",0.167619047619048,0.167619047619048,0.113333333333333,0.08,0.1,0.0884711779448622,0.116666666666667,0.0666666666666667,0.1,0.0666666666666667,0.0656410256410257,0.058974358974359,0.053974358974359,0.058974358974359,0.0333333333333333,0,0.217368421052632,0.136666666666667,0.0866666666666667,0.0666666666666667,0.153259803921569,0.1,0.192857142857143,0,0,0.1,0.1,0.142857142857143,0.1,0.0866666666666667,0.295175438596491,0.295175438596491,0.339673913043478,-0.258333333333333,-0.334123931623932,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.399721252559174,-0.0729623824451411,-0.297488820089439,0.328270676691729,0.308270676691729,0.286842105263158,0.25,0.2,0.1,0.31030303030303,-0.1,0,-0.0233176107971793,0,-0.0666666666666667,-0.108311688311688
"Frizzled",0.201829573934837,0.201829573934837,0.167619047619048,0.113333333333333,0.08,0.0980865625602468,0.157843137254902,0.116666666666667,0.0666666666666667,0.0666666666666667,0.0610955710955711,0.053974358974359,0.0580559916274202,0.053974358974359,0.0666666666666667,0.0333333333333333,0.236956049918611,0.161666666666667,0.136666666666667,0.0866666666666667,0.163676470588235,0.0666666666666667,0.222268907563025,0,0,0,0.1,0.192857142857143,0.142857142857143,0.113333333333333,0.325512517248177,0.325512517248177,0.366830462564245,-0.291666666666667,-0.364868268193511,0.172837396521607,0.150615174299385,0.150615174299385,0.150615174299385,-0.432891984266491,-0.0924745775670923,-0.32906776745786,0.347111256401874,0.328270676691729,0.308270676691729,0.286842105263158,0.25,0.2,0.340535588442565,-0.1,0.1,-0.00842399377590268,0,-0.058974358974359,-0.124978354978355
"DSH",0.216257434631354,0.216257434631354,0.201829573934837,0.167619047619048,0.113333333333333,0.111755627308448,0.182433301189328,0.157843137254902,0.0666666666666667,0.116666666666667,0.0677622377622378,0.0580559916274202,0.0698463846405206,0.0580559916274202,0.058974358974359,0.0666666666666667,0.252786165748727,0.175952380952381,0.161666666666667,0.136666666666667,0.17738614800759,0.0866666666666667,0.239411764705882,0,0,0,0,0.222268907563025,0.192857142857143,0.139047619047619,0.346613434679369,0.346613434679369,0.389449510183293,-0.319139194139194,-0.390839141979919,0.193860123794334,0.172837396521607,0.172837396521607,0.172837396521607,-0.458382180344922,-0.109102212227514,-0.351762802918853,0.363063854396405,0.347111256401874,0.328270676691729,0.308270676691729,0.286842105263158,0.25,0.364264402001887,-0.0666666666666667,0.2,0.00388369853178963,-0.0333333333333333,-0.053974358974359,-0.139978354978355
"HEY1",0.380399406595915,0.380399406595915,0.348115942028986,0.313333333333333,0.266666666666667,0.33722734673092,0.357605363984674,0.322605363984674,0.2,0.277777777777778,0.125184275184275,0.0916666666666667,0.106560283687943,0.0916666666666667,0.0333333333333333,0,0.393227232537577,0.340614657210402,0.304444444444444,0.26,0.35002209334438,0.2,0.375181672260324,0,0,0,0,0.342597402597403,0.305454545454545,0.258028455284553,0.351830433717226,0.351830433717226,0.455526453838546,-0.242105263157895,-0.580525376119369,0.393989392084863,0.371508771929825,0.371508771929825,0.371508771929825,-0.659037921813151,-0.343015599814223,-0.36013986013986,0.384811046275377,0.36814437960871,0.348286223580341,0.324649859943978,0.296078431372549,0.266666666666667,0.399264069264069,-0.1,0.233333333333333,0.338450900515108,0,-0.0666666666666667,-0.334182015167931
"FOXC2",0.380399406595915,0.380399406595915,0.348115942028986,0.313333333333333,0.266666666666667,0.33722734673092,0.357605363984674,0.322605363984674,0.2,0.277777777777778,0.125184275184275,0.0916666666666667,0.106560283687943,0.0916666666666667,0.0333333333333333,0,0.393227232537577,0.340614657210402,0.304444444444444,0.26,0.35002209334438,0.2,0.375181672260324,0,0,0,0,0.342597402597403,0.305454545454545,0.258028455284553,0.351830433717226,0.351830433717226,0.455526453838546,-0.242105263157895,-0.580525376119369,0.393989392084863,0.371508771929825,0.371508771929825,0.371508771929825,-0.659037921813151,-0.343015599814223,-0.36013986013986,0.384811046275377,0.36814437960871,0.348286223580341,0.324649859943978,0.296078431372549,0.266666666666667,0.399264069264069,-0.1,0.233333333333333,0.338450900515108,0,-0.0666666666666667,-0.334182015167931
"PI3K",0.244605896764383,0.244605896764383,0.209774436090226,0.157142857142857,0.114285714285714,0.150492332526231,0.186617405582923,0.145238095238095,0.0666666666666667,0.0952380952380952,0.0729055258467023,0.0674509803921569,0.0760716700473293,0.0674509803921569,0.0733333333333333,0.0333333333333333,0.269692124637466,0.276018099547511,0.252941176470588,0.2,0.182818871503082,0.166666666666667,0.236104218362283,0,0,0,0,0.203846153846154,0.15,0.152252252252252,0.363948306595365,0.363948306595365,0.394197943769505,-0.329444444444444,-0.395409143296197,0.215871622630243,0.18621645021645,0.18621645021645,0.18621645021645,-0.468343402225755,-0.184424027509134,-0.365226306873904,0.379950616335748,0.357612411742846,0.332612411742847,0.303381642512077,0.255555555555556,0.2,0.358952380952381,-0.2,0.1,-0.0194438737072803,0,-0.0674509803921569,-0.149414850686037
"ILK",0.244605896764383,0.244605896764383,0.209774436090226,0.157142857142857,0.114285714285714,0.150492332526231,0.186617405582923,0.145238095238095,0.0666666666666667,0.0952380952380952,0.0729055258467023,0.0674509803921569,0.0760716700473293,0.0674509803921569,0.0733333333333333,0.0333333333333333,0.269692124637466,0.276018099547511,0.252941176470588,0.2,0.182818871503082,0.166666666666667,0.236104218362283,0,0,0,0,0.203846153846154,0.15,0.152252252252252,0.363948306595365,0.363948306595365,0.394197943769505,-0.329444444444444,-0.395409143296197,0.215871622630243,0.18621645021645,0.18621645021645,0.18621645021645,-0.468343402225755,-0.184424027509134,-0.365226306873904,0.379950616335748,0.357612411742846,0.332612411742847,0.303381642512077,0.255555555555556,0.2,0.358952380952381,-0.2,0.1,-0.0194438737072803,0,-0.0674509803921569,-0.149414850686037
"RAF",0.287986425339367,0.287290222807721,0.242986425339367,0.207692307692308,0.2,0.199721333186183,0.225019157088123,0.187241379310345,0.17,0.17,0.159581881533101,0.156077694235589,0.154807445442875,0.153754813863928,0.125,0.1,0.368114784113985,0.156168831168831,0.110714285714286,0.0857142857142857,0.258543536260005,0.1,0.21041181041181,0.1,0.1,0,0,0.156565656565657,0.111111111111111,0.055831608005521,0.364194373401534,0.364194373401534,0.624003738443098,-0.329411764705882,-0.47456648377701,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.541231784702765,-0.164381402679275,-0.373338426279603,0.377119387544748,0.351288185498712,0.318421052631579,0.268421052631579,0.2,0.1,0.337271448663854,-0.1,0,0.0227081076332972,-0.1,-0.151315789473684,-0.212669552669553
"SHH",0.442857142857143,0.342857142857143,0.4,0.3,0.2,0.29,0.3,0.2,0,0.1,0.0666666666666667,0.166666666666667,0.1,0.0666666666666667,0.2,0.2,0.183333333333333,0.15,0.1,0,0.162857142857143,0,0.233333333333333,0.1,0.1,0.1,0.1,0.2,0.1,0.233333333333333,0.371428571428571,0.371428571428571,0.365555555555556,-0.3,-0.297777777777778,0.303846153846154,0.25,0.25,0.25,-0.336969696969697,-0.271794871794872,-0.38,0.23952380952381,0.196666666666667,0.15,0.1,0.1,0.1,0.276190476190476,0,0,0.272987012987013,-0.2,-0.233333333333333,-0.26
"SNAI2",0.41500886310531,0.41500886310531,0.378968253968254,0.336111111111111,0.277777777777778,0.36942212847477,0.386943251492316,0.343853820598007,0.2,0.285714285714286,0.131282051282051,0.0939393939393939,0.112779973649539,0.0939393939393939,0.0333333333333333,0,0.432523037642123,0.371311907270811,0.328846153846154,0.275,0.399431447781172,0.2,0.414402118349487,0,0,0,0,0.37733918128655,0.332894736842105,0.301737373737374,0.374205128205128,0.374205128205128,0.703563452522922,-0.258395721925134,-0.628064084722518,0.436914498642648,0.409945524895632,0.409945524895632,0.409945524895632,-0.797760234261907,-0.382554545036015,-0.38223404648413,0.440680364411708,0.421774891774892,0.399264069264069,0.372597402597403,0.341168831168831,0.305454545454545,0.444967455297802,-0.1,0.26,0.383128617140998,0,-0.0666666666666667,-0.357580307580308
"cateninnuc",0.384324771363923,0.384324771363923,0.366594274910022,0.343229788928714,0.312365591397849,0.334148253434983,0.362874244658613,0.343654188948307,0.29,0.319411764705882,0.138297850157433,0.105855237181677,0.113577244903684,0.105855237181677,0.0884057971014493,0.0666666666666667,0.29977553126823,0.341545932093599,0.325182295729963,0.302829354553492,0.239872511958205,0.271794871794872,0.368034991774488,0,0,0,0,0.35119825708061,0.32962962962963,0.237157894736842,0.377785889738085,0.377785889738085,0.446804084012629,-0.279717500305736,-0.389828140948614,0.375601736938977,0.361761223648418,0.361761223648418,0.361761223648418,-0.469960325316233,-0.327905506905663,-0.386692913750157,0.165872632710655,0.25453434274783,0.241354771083909,0.226636156365294,0.209194295900178,0.188606060606061,0.384811046275377,-0.233333333333333,0.160606060606061,0.312399055673769,-0.0333333333333333,-0.098083216456288,-0.352520066334992
"AKT",0.264086416244902,0.264086416244902,0.244605896764383,0.209774436090226,0.157142857142857,0.170616171535519,0.212644802843197,0.186617405582923,0.0952380952380952,0.145238095238095,0.0841958484273475,0.0760716700473293,0.0869243832256239,0.0760716700473293,0.0674509803921569,0.0733333333333333,0.291025457970799,0.194768099547511,0.276018099547511,0.252941176470588,0.201312022188014,0.2,0.25908558482191,0,0,0,0,0.236104218362283,0.203846153846154,0.182122382122382,0.389047908188991,0.389047908188991,0.421377430948993,-0.358290598290598,-0.425670923400909,0.241725281166829,0.215871622630243,0.215871622630243,0.215871622630243,-0.498945811864309,-0.204342726696126,-0.390692145383221,0.398253837074162,0.379950616335748,0.357612411742846,0.332612411742847,0.303381642512077,0.255555555555556,0.388662525879917,-0.166666666666667,0.2,-0.00470615513942022,-0.0333333333333333,-0.0674509803921569,-0.168817835760664
"RAS",0.339552839613948,0.339552839613948,0.295249042145594,0.271111111111111,0.26,0.29058622165169,0.314315789473684,0.286315789473684,0.26,0.26,0.161857707509881,0.156709956709957,0.157762588288904,0.156709956709957,0.109090909090909,0.1,0.371812865497076,0.212222222222222,0.173333333333333,0.166666666666667,0.258624088310664,0.2,0.277259185700099,0,0.1,0,0,0.226315789473684,0.2,0.00909090909090908,0.393892339544513,0.393892339544513,0.576157244817039,-0.354761904761905,-0.400227380597592,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,-0.470048011507772,-0.216989664082687,-0.403389355742297,0.409824813796967,0.37971117743333,0.338172715894869,0.276470588235294,0.2,0.1,0.349934123847167,-0.2,0,-0.0340659026705538,-0.1,-0.142424242424242,-0.38469387755102
"SOSGRB2",0.363332893074732,0.362772240679217,0.323883351790329,0.293650793650794,0.271428571428571,0.337486256871564,0.357412323037323,0.323037323037323,0.276190476190476,0.30952380952381,0.261647727272727,0.254285714285714,0.258012714857547,0.252903225806452,0.22,0.2,0.399064885496183,0.338011695906433,0.304678362573099,0.288888888888889,0.357215265481102,0.3,0.394031320791884,0.1,0.1,0,0,0.347552447552448,0.309090909090909,-0.0314705882352941,0.394199629886653,0.394199629886653,0.645185136153225,-0.359848484848485,-0.49394532627866,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,-0.562008932615408,-0.31585308255715,-0.405015189174261,0.400185262455145,0.370434782608696,0.330434782608696,0.273913043478261,0.2,0.1,0.345606435643564,-0.2,0,-0.0356106235300866,-0.2,-0.24,-0.371111111111111
"MEK",0.325042262902818,0.324346060371173,0.287986425339367,0.242986425339367,0.207692307692308,0.220193774131064,0.167876299945265,0.225019157088123,0.17,0.187241379310345,0.161504958456178,0.157130325814536,0.161690036535993,0.154807445442875,0.151315789473684,0.125,0.398036043956505,0.185580595874714,0.156168831168831,0.110714285714286,0.278711603486896,0.0857142857142857,0.247638087784073,0.1,0.1,0.1,0,0.21041181041181,0.156565656565657,0.0802218519079601,0.396929799410503,0.396929799410503,0.657993886226349,-0.361326658322904,-0.511042910576018,0.129388050713929,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.580527693361186,-0.191788810086682,-0.405977315168492,0.399153285849832,0.377119387544748,0.351288185498712,0.318421052631579,0.268421052631579,0.2,0.379613791006196,-0.1,0.1,0.0426242501909492,-0.1,-0.156077694235589,-0.238985342143237
"TCFLEF",0.409678385181899,0.409678385181899,0.38813497682177,0.368868921775899,0.338636363636364,0.340215336034545,0.512949409501134,0.492747389299113,0.435897435897436,0.473828470380194,0.294423558897243,0.286627312081858,0.294574331949407,0.286627312081858,0.247619047619048,0.233333333333333,0.302666987715135,0.325885935769657,0.308056478405316,0.296428571428571,0.249160829504657,0.271428571428571,0.373163731245923,0,0.1,0,0,0.353163731245923,0.338095238095238,0.0385262279603891,0.397647682231656,0.397647682231656,0.406191152927867,-0.263888888888889,-0.353485299518904,0.353385168509546,0.335235702317375,0.335235702317375,0.335235702317375,-0.553921609374896,-0.314127747576621,-0.409163938438944,0.140019402686995,0.124236270156875,0.203854104551779,0.179922480620155,0.156666666666667,0.136666666666667,0.543635400105988,-0.2,0.12,0.283918365598882,-0.2,-0.267619047619048,-0.347726764218911
"IKK",0.483267740011926,0.483267740011926,0.425128205128205,0.371794871794872,0.333333333333333,0.26672268907563,0.246190476190476,0.176190476190476,0.1,0.142857142857143,0.17985285795133,0.170114942528736,0.179417268110131,0.170114942528736,0.133333333333333,0.1,0.524115578993628,0.321042471042471,0.264285714285714,0.314285714285714,0.287369439071567,0.3,0.362914862914863,0,0,0,0,0.307359307359307,0.245454545454545,0.288177339901478,0.409584533113945,0.409584533113945,0.65910450840813,-0.352187028657617,-0.567757402902441,0.380219072994298,0.334119782214156,0.334119782214156,0.334119782214156,-0.678883470922351,-0.224135146621334,-0.413990042674253,0.437949226500729,0.409193861693862,0.376239316239316,0.331623931623932,0.277777777777778,0.2,0.403095238095238,-0.2,0.1,0.139093893328231,-0.1,-0.166666666666667,-0.26028971028971
"Csn",0.238899600936265,0.238899600936265,0.216981792717087,0.175910364145658,0.119047619047619,0.139420708890739,0.236071280317856,0.204253098499674,0.106666666666667,0.159047619047619,0.0720788912579957,0.064963404219648,0.0767977237462752,0.064963404219648,0.0619047619047619,0.0666666666666667,0.285490142601532,0.205478142076503,0.184166666666667,0.155,0.185796643828815,0.105,0.263550487452927,0,0,0,0,0.238672438672439,0.201010101010101,0.155847870501336,0.421721415607985,0.421721415607985,0.436210656044152,-0.388806580259222,-0.439665340343217,0.236085380303111,0.208706739526412,0.208706739526412,0.208706739526412,-0.511215383199803,-0.148285984279456,-0.430070403069769,0.41736151688841,0.397656176188594,0.374404143668269,0.348511286525412,0.318390804597701,0.266666666666667,0.406875,-0.18,0.2,0.0499162481972977,-0.0333333333333333,-0.0602654176424668,-0.159033613445378
"ERK",0.350239113296519,0.349542910764874,0.325042262902818,0.287986425339367,0.242986425339367,0.240540094477385,0.199804010788639,0.167876299945265,0.187241379310345,0.225019157088123,0.171542133177368,0.164012916907654,0.170971998007096,0.161690036535993,0.156077694235589,0.151315789473684,0.421787935030635,0.210108897761506,0.185580595874714,0.156168831168831,0.297206901292538,0.110714285714286,0.275525411727735,0.1,0.1,0.1,0.1,0.247638087784073,0.21041181041181,0.105645580721519,0.423867068783197,0.423867068783197,0.685743541081388,-0.390584300244301,-0.541662882180372,0.156701317157631,0.129388050713929,0.129388050713929,0.129388050713929,-0.612451891611915,-0.212962045650385,-0.434263029454206,0.417506143499815,0.399153285849832,0.377119387544748,0.351288185498712,0.318421052631579,0.268421052631579,0.41142455772724,-0.0857142857142857,0.2,0.0580234178035107,-0.125,-0.157130325814536,-0.26206226522016
