"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","TWIST1","cfos","EGR1","SHH","HEY1","AKT","SMAD","IKK","ILK","SMO","Jagged","NFB","NOTCH","FUS","NOTCHic","SNAI2","Csl","Csn","SOSGRB2","RAS","RAF","PI3K","DELTA","ZEB2","ZEB1","KLF4","cateninnuc","TCFLEF","GLI","CD44","Wnt","cMet","Frizzled","SRC","AXIN2","DSH","STAT","miR200","cateninmemb","LIV1","GSK3","Destcompl","Ecadherin","TrCP","SUFU","Patched","RKIP"
"Destcompl",0.0486257745877384,0.015236119856291,0.0218371050779658,0.0244686840253343,0.0210204081632653,0.047614439928198,0.0875079415598609,0.0518338492108984,-0.0533536008391775,0.0534731934731935,0.0625641025641026,-0.12734214816052,0.00964317733548503,0.0404938975408774,0.0132957393483709,0.0478764478764479,0.0134126984126984,-0.114734537493158,-0.198207440185295,0.0523809523809524,-0.0701299700850977,-0.111877394636015,-0.0631159420289855,-0.251328054070766,-0.0576811594202899,0.0523809523809524,-0.0670256290042971,-0.0109630028148661,-0.00782328538943438,-0.00782328538943438,-0.00782328538943438,0.188763967813459,0.188763967813459,-0.201940731632204,-0.208788736329715,-0.207207910220587,-0.206193943408878,-0.205564074604148,-0.202668897026689,-0.202205865648924,-0.195738203957382,-0.195738203957382,-0.257829317927643,-0.188888888888889,-0.188888888888889,-0.200789394645618,0.251408897624641,-0.188888888888889,-0.0786975603994009,-0.0320410254266492,0.106879480280855,-0.0666666666666667,0.122222222222222,0.122506558218547,-0.116874809760769
"AXIN2",0.106998505007873,0.0594579551367133,0.0620982191631159,0.0647530864197531,0.0783333333333333,0.111156525680629,0.15068909021716,0.117363422232353,-0.0465450095943673,0.131382113821138,0.153333333333333,-0.157848435717288,0.0187481889307447,0.100386473429952,0.0181159420289855,0.104830917874396,0.0220841959972395,-0.152930402930403,-0.230379156683505,0.109178743961353,-0.058827474090632,-0.157692307692308,-0.0540977443609023,-0.291139289909376,-0.0505263157894737,0.122222222222222,-0.0784895235666624,0.0580881480692123,0.0643873606676375,0.0643873606676375,0.0643873606676375,0.244395774361504,0.244395774361504,-0.252988588338008,-0.260466585545456,-0.257829317927643,-0.253787303364553,-0.253491686040187,-0.247497995188452,-0.247497995188452,-0.242325581395349,-0.242325581395349,0.168467106707302,-0.24,-0.24,-0.258746169428383,0.282799047043065,-0.233333333333333,-0.163648213342721,0.149950555148505,0.117047774600177,-0.133333333333333,0.15,0.152930402930403,-0.177367265351136
"Wnt",0.171093117408907,0.194492753623188,0.146666666666667,0.1,0.1,0.119607843137255,0.0959627329192547,0.0666666666666667,0.201176470588235,0.0666666666666667,0.1,0.10021645021645,0.0656410256410257,0.136666666666667,0.0566487775790101,0.0866666666666667,0.058974358974359,0.05,0.128995098039216,0.0666666666666667,0.18452380952381,0,0.142857142857143,0.300689655172414,0.1,0.1,0.0939393939393939,0.126452494873548,0.108270676691729,0.108270676691729,0.108270676691729,0.304208512673362,0.304208512673362,-0.262745098039216,0.266735547477966,0.251503759398496,0.240789473684211,0.240789473684211,0.225,0.225,0.3,0.2,0.272121212121212,0.2,0.1,-0.306262626262626,-0.239533898305085,0,-0.0535266457680251,-0.0547844767197497,-0.266230189951669,-0.1,0,-0.0954545454545455,-0.12
"Frizzled",0.199000094153093,0.220207039337474,0.194492753623188,0.146666666666667,0.1,0.160348583877996,0.102311939268461,0.119607843137255,0.213557422969188,0.0666666666666667,0.0666666666666667,0.103442256668063,0.0635133660665576,0.155416666666667,0.0631908336537765,0.136666666666667,0.0566487775790101,0.0954545454545455,0.134045603089721,0.0866666666666667,0.202170868347339,0.05,0.18452380952381,0.320563472207114,0.142857142857143,0.0666666666666667,0.121212121212121,0.139838321645201,0.126452494873548,0.126452494873548,0.126452494873548,0.334901581980293,0.334901581980293,-0.300840336134454,0.28054507128749,0.266735547477966,0.251503759398496,0.251503759398496,0.240789473684211,0.240789473684211,0.225,0.225,0.288400281888654,0.3,0.2,-0.339075126262626,-0.260803739574926,0.1,-0.0662539184952978,-0.0449701531123226,-0.285111308832788,-0.1,0,-0.10021645021645,-0.134285714285714
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.328877005347594,0.410653594771242,0.281818181818182,0.2,0.324798387096774,0.111306340718105,0.33989417989418,0.105159420289855,0.302857142857143,0.0906666666666667,0.266666666666667,0.351772295670347,0.26,0.376317269274404,0.233333333333333,0.342296650717703,0.460372833526574,0.305454545454545,0.2,0.28138936535163,0.399426847662142,0.375897435897436,0.375897435897436,0.375897435897436,0.354514963880289,0.354514963880289,-0.266666666666667,0.383003326359275,0.368183899211081,0.350448920546567,0.349789250381649,0.326310989512084,0.326310989512084,0.296078431372549,0.296078431372549,0.400444917796122,0.266666666666667,0.266666666666667,-0.362568172568173,-0.574327743169207,0.233333333333333,-0.346953472415037,0.338479583861982,-0.634355712953565,-0.1,-0.2,-0.297916666666667,-0.328674500103071
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.328877005347594,0.410653594771242,0.281818181818182,0.2,0.324798387096774,0.111306340718105,0.33989417989418,0.105159420289855,0.302857142857143,0.0906666666666667,0.266666666666667,0.351772295670347,0.26,0.376317269274404,0.233333333333333,0.342296650717703,0.460372833526574,0.305454545454545,0.2,0.28138936535163,0.399426847662142,0.375897435897436,0.375897435897436,0.375897435897436,0.354514963880289,0.354514963880289,-0.266666666666667,0.383003326359275,0.368183899211081,0.350448920546567,0.349789250381649,0.326310989512084,0.326310989512084,0.296078431372549,0.296078431372549,0.400444917796122,0.266666666666667,0.266666666666667,-0.362568172568173,-0.574327743169207,0.233333333333333,-0.346953472415037,0.338479583861982,-0.634355712953565,-0.1,-0.2,-0.297916666666667,-0.328674500103071
"DSH",0.208091003244002,0.229614704842701,0.220207039337474,0.194492753623188,0.146666666666667,0.179145576359199,0.11303657694962,0.160348583877996,0.224904940699684,0.119607843137255,0.0666666666666667,0.111417716790763,0.072285295891119,0.163462643678161,0.0748889468613236,0.155416666666667,0.0631908336537765,0.10021645021645,0.145673510066465,0.136666666666667,0.211261777438248,0.0954545454545455,0.202170868347339,0.337210736467882,0.18452380952381,0.0866666666666667,0.140724316334072,0.155244484110187,0.139838321645201,0.139838321645201,0.139838321645201,0.354586621350371,0.354586621350371,-0.328995675940279,0.290429309933973,0.28054507128749,0.266536439137058,0.266735547477966,0.251503759398496,0.251503759398496,0.240789473684211,0.240789473684211,0.304012096234646,0.225,0.225,-0.36041658967726,-0.27717594216621,0.2,-0.0785509022539985,-0.0365732065474371,-0.299070922529013,-0.0666666666666667,-0.05,-0.103442256668063,-0.146173826173826
"PI3K",0.242171893147503,0.256022477283596,0.225941176470588,0.177941176470588,0.125,0.189162878266061,0.158929146537842,0.148179271708683,0.248812635056398,0.0952380952380952,0.0666666666666667,0.118803418803419,0.0747923182995325,0.270889894419306,0.0798917967186875,0.252941176470588,0.0694917967186875,0.1,0.157456140350877,0.2,0.218734491315136,0.05,0.196153846153846,0.353218521051526,0.15,0.166666666666667,0.158461538461538,0.187043349344719,0.165125541125541,0.165125541125541,0.165125541125541,0.372030202703799,0.372030202703799,-0.336842105263158,0.318700843532454,0.302412183738639,0.283768115942029,0.283768115942029,0.263768115942029,0.263768115942029,0.233333333333333,0.233333333333333,0.313142857142857,0.2,0.2,-0.373336824156496,-0.30278444601018,0.1,-0.161038961038961,-0.0526560718730717,-0.340057608670372,-0.2,0,-0.107692307692308,-0.159599224305107
"ILK",0.242171893147503,0.256022477283596,0.225941176470588,0.177941176470588,0.125,0.189162878266061,0.158929146537842,0.148179271708683,0.248812635056398,0.0952380952380952,0.0666666666666667,0.118803418803419,0.0747923182995325,0.270889894419306,0.0798917967186875,0.252941176470588,0.0694917967186875,0.1,0.157456140350877,0.2,0.218734491315136,0.05,0.196153846153846,0.353218521051526,0.15,0.166666666666667,0.158461538461538,0.187043349344719,0.165125541125541,0.165125541125541,0.165125541125541,0.372030202703799,0.372030202703799,-0.336842105263158,0.318700843532454,0.302412183738639,0.283768115942029,0.283768115942029,0.263768115942029,0.263768115942029,0.233333333333333,0.233333333333333,0.313142857142857,0.2,0.2,-0.373336824156496,-0.30278444601018,0.1,-0.161038961038961,-0.0526560718730717,-0.340057608670372,-0.2,0,-0.107692307692308,-0.159599224305107
"RAF",0.291408782788093,0.313413440142412,0.267619047619048,0.22,0.2,0.227666911225238,0.214233560028769,0.187241379310345,0.353903743315508,0.17,0.17,0.202032786885246,0.159581881533101,0.156168831168831,0.156725110893631,0.110714285714286,0.153754813863928,0.14,0.237264532298488,0.0857142857142857,0.202719502719503,0.1,0.156565656565657,0.590145130267529,0.111111111111111,0.1,0.0613968253968254,0.0735070485070485,0.0418831168831169,0.0418831168831169,0.0418831168831169,0.372663797226208,0.372663797226208,-0.332663797226208,0.316483529862397,0.298417372101583,0.280769230769231,0.278137651821862,0.25,0.247368421052632,0.2,0.2,0.304735114861697,0.1,0.1,-0.380952950808151,-0.390914780326545,0,-0.147044917257683,-0.00814214187417128,-0.421326577340462,-0.1,-0.1,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0.2,0.2,0.1,0,0.253333333333333,0.0666666666666667,0.15,0.1,0.1,0.0666666666666667,0.3,0.162857142857143,0,0.233333333333333,0.2,0.2,0.360383141762452,0.1,0,0.25,0.303846153846154,0.25,0.25,0.25,0.375,0.375,-0.3,0.216666666666667,0.183333333333333,0.25,0.15,0.2,0.1,0.2,0.1,0.276190476190476,0.2,0.1,-0.383333333333333,-0.263942652329749,0,-0.271794871794872,0.267272727272727,-0.261388888888889,0,-0.2,-0.333333333333333,-0.26
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.37146790711633,0.349019607843137,0.44707977216696,0.288235294117647,0.2,0.365447812927988,0.116169379144063,0.36889281262983,0.112087517128288,0.326724137931034,0.0934272300469483,0.301176470588235,0.400205607781016,0.275,0.41441672362725,0.26,0.376754385964912,0.707529815576015,0.332894736842105,0.2,0.323799864773496,0.441138110049373,0.412827607766268,0.412827607766268,0.412827607766268,0.378588839941263,0.378588839941263,-0.286538461538462,0.43948570668003,0.422094402332204,0.400835924638742,0.400444917796122,0.373563197366014,0.373563197366014,0.341168831168831,0.341168831168831,0.445784776130734,0.305454545454545,0.305454545454545,-0.386587993124707,-0.623046364378551,0.26,-0.385748368724354,0.383270345706857,-0.775397544828872,-0.1,-0.2,-0.335870348139256,-0.355166666666667
"cateninnuc",0.391293859146318,0.373341443679043,0.355874194770746,0.331736263736264,0.299428571428571,0.374484659749967,0.333840043841423,0.353842457915105,0.315563978584957,0.327260179434092,0.297101449275362,0.21288459281709,0.124481847142868,0.343791666666667,0.111715903923271,0.328166666666667,0.103393939393939,0.18792349726776,0.237946556713456,0.304166666666667,0.369750958540868,0.163333333333333,0.354296413086322,0.449963562243598,0.332203389830509,0.270833333333333,0.258791198657297,0.38014641014641,0.367183447183447,0.367183447183447,0.367183447183447,0.381875283441408,0.381875283441408,-0.301618152507832,0.159059601664886,0.249863247066708,0.239788849228992,0.238735539822496,0.227140627885119,0.226037127124084,0.211923236580771,0.210819735819736,0.383003326359275,0.191375291375291,0.191375291375291,-0.389374984641859,-0.374035836023266,0.160606060606061,-0.331353905463622,0.3098498114808,-0.4298821731157,-0.233333333333333,-0.133333333333333,-0.202209211553474,-0.348542376564709
"AKT",0.257961366831713,0.272638791482992,0.256022477283596,0.225941176470588,0.177941176470588,0.210681865607833,0.176723632753381,0.189162878266061,0.265632206921842,0.148179271708683,0.0952380952380952,0.132487629329735,0.0875742731867506,0.184021207550619,0.0910029078297986,0.270889894419306,0.0798917967186875,0.107692307692308,0.172687928430347,0.252941176470588,0.234588149851722,0.1,0.218734491315136,0.374022541152028,0.196153846153846,0.2,0.182905982905983,0.207043349344719,0.187043349344719,0.187043349344719,0.187043349344719,0.396687736950375,0.396687736950375,-0.366756635177688,0.330546997378607,0.318700843532454,0.302203870131973,0.302412183738639,0.283768115942029,0.283768115942029,0.263768115942029,0.263768115942029,0.334442496132027,0.233333333333333,0.233333333333333,-0.398470513996069,-0.322662121851159,0.2,-0.176361541684122,-0.0423169486307226,-0.358997002609766,-0.166666666666667,-0.05,-0.118803418803419,-0.177611646665355
"RAS",0.343015873015873,0.363808969132207,0.315294117647059,0.28,0.26,0.315727554179567,0.302949852507375,0.286315789473684,0.359476268412439,0.26,0.26,0.189480225988701,0.161857707509881,0.212222222222222,0.158750773036487,0.173333333333333,0.156709956709957,0.116666666666667,0.242124975359748,0.166666666666667,0.273485600794439,0.1,0.226315789473684,0.545847553003848,0.2,0.2,0.0125541125541125,0.137051282051282,0.200512820512821,0.200512820512821,0.200512820512821,0.398696612665685,0.398696612665685,-0.356428571428571,0.350832002631313,0.331285260421681,0.306372549019608,0.305131414267835,0.264705882352941,0.264705882352941,0.2,0.2,0.323451910408432,0.1,0.1,-0.407661538461538,-0.321373064033106,0,-0.203242894056848,-0.0616409988503012,-0.357192967656979,-0.2,-0.1,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.367155067155067,0.386998675083781,0.343736263736264,0.301428571428571,0.271428571428571,0.359400959400959,0.35163184079602,0.323037323037323,0.387246376811594,0.30952380952381,0.276190476190476,0.294049863817306,0.261647727272727,0.338011695906433,0.259196932100158,0.304678362573099,0.252903225806452,0.233333333333333,0.34050779032627,0.288888888888889,0.388397517974983,0.2,0.347552447552448,0.615100817851163,0.309090909090909,0.3,-0.0272222222222222,0.316275532377227,0.27909604519774,0.27909604519774,0.27909604519774,0.400588972431078,0.400588972431078,-0.362017543859649,0.340991813643344,0.32091533180778,0.297463768115942,0.295652173913043,0.258333333333333,0.256521739130435,0.2,0.2,0.317264851485148,0.1,0.1,-0.410651126415904,-0.413486330486331,0,-0.30145383057024,-0.0634027419262319,-0.444597473996897,-0.2,-0.2,-0.268468468468469,-0.381834795321637
"MEK",0.324742116121426,0.346260155470879,0.313413440142412,0.267619047619048,0.22,0.171000244558572,0.232182277977487,0.227666911225238,0.376980666392431,0.187241379310345,0.17,0.214451087538841,0.163218245169465,0.180874713521772,0.165950203144554,0.156168831168831,0.156725110893631,0.184,0.250379286396849,0.110714285714286,0.229726801989576,0.14,0.202719502719503,0.615449266520571,0.156565656565657,0.0857142857142857,0.0880634920634921,0.0985864135864136,0.0735070485070485,0.0735070485070485,0.0735070485070485,0.407584432146842,0.407584432146842,-0.369918699186992,0.332096912762025,0.316483529862397,0.301048951048951,0.298417372101583,0.280769230769231,0.278137651821862,0.25,0.247368421052632,0.332663042789625,0.2,0.2,-0.416556665978429,-0.416036731546057,0.1,-0.166946637159403,0.00524697946474085,-0.446281039999843,-0.1,-0.1,-0.202032786885246,-0.252366209641751
"ZEB1",0.134681576853338,0.112727894016939,0.117058602678356,0.117566216891554,0.113218390804598,0.0543672799516282,0.0649400667330276,0.0574509803921569,-0.0404731495422529,0.0633333333333333,0.0833333333333333,0.0727539948363687,0.126662379071705,0.056590246107071,0.120525330347156,0.0637331032499281,0.121006099577925,0.0791666666666667,0.042753589721496,0.0719298245614035,0.0112491897585481,0.0791666666666667,0.0170343137254902,-0.167801953070351,0.0229166666666667,0.0666666666666667,-0.000233918128654961,-0.170065858060282,-0.167703653335873,-0.167703653335873,-0.167703653335873,0.416215539612224,0.416215539612224,-0.419397579423094,-0.204476352990421,-0.203204337334843,-0.195779532679206,-0.202140507547609,-0.191999463950683,-0.198668285325387,-0.18815331010453,-0.194746716697936,-0.240186070807733,-0.185714285714286,-0.192307692307692,-0.437348086981032,0.245650635652372,-0.2,0.130303204909245,-0.243199354876602,0.14532918942529,-0.0666666666666667,-0.0666666666666667,-0.0752450980392157,-0.0842005576628401
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.415,0.373019670388091,0.385,0.346227106227106,0.325,0.3,0.177272727272727,0.204093567251462,0.26,0.197619047619048,0.266666666666667,0.183333333333333,0.15,0.182470862470862,0.2,0.24812030075188,0.1,0.242857142857143,0.423341103341103,0.2,0.2,-0.00238095238095239,0.198095238095238,0.166666666666667,0.166666666666667,0.166666666666667,0.420634920634921,0.420634920634921,-0.277777777777778,0.0834168157423971,0.0541860465116279,0.01,0.01,-0.05,0.05,-0.1,0,-0.03,0,0.1,-0.431699604743083,-0.0818498168498168,0.1,-0.219642857142857,-0.175171886936593,-0.176712626207795,-0.1,-0.1,-0.15,-0.423703703703704
"Csn",0.221257604462122,0.239081326182812,0.22547750756706,0.194708276797829,0.145454545454545,0.226985930735931,0.133657602890182,0.204069264069264,0.240621785881253,0.161212121212121,0.106666666666667,0.112935771555549,0.0753737541528239,0.187833333333333,0.0803051834347241,0.175833333333333,0.0687370600414079,0.0963924963924964,0.14080711524679,0.155,0.224476911976912,0.0873015873015873,0.211976911976912,0.359634903873545,0.18989898989899,0.105,0.15025942580422,0.17770216502471,0.160235754276149,0.160235754276149,0.160235754276149,0.424354011579818,0.424354011579818,-0.394652014652015,0.313084191487473,0.301959717645019,0.286881481656183,0.287168720860453,0.270724276416009,0.270724276416009,0.257471264367816,0.257471264367816,0.321492858829084,0.233333333333333,0.233333333333333,-0.433345444893315,-0.289094030234908,0.2,-0.101026271596622,-0.0132182733600362,-0.311784863803037,-0.18,-0.0428571428571429,-0.103919378112927,-0.160508612497679
