"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","SMAD","ILK","HEY1","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Csn","SOSGRB2","KLF4","SNAI2","cateninmemb","ZEB2","ZEB1","RAS","RAF","PI3K","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"NFB",0.542576256308975,0.573917261869442,0.528869338546758,0.469191919191919,0.405555555555556,0.306137844611529,0.142857142857143,0.321858816558953,0.252190476190476,0.178857142857143,0.199645631698001,0.18578795379538,0.18578795379538,0.281035559863977,0.358820248820249,0.321042471042471,0.264285714285714,0.228148148148148,0.567373300758003,0.18,0.314285714285714,0.336627598407784,-0.414826274049575,0.69890253417538,-0.612536455888411,0.473831513243998,0.473831513243998,0.415424526100359,0.380598655453593,0.380598655453593,-0.730380513599667,-0.478377596991988,-0.252348631760396,0.465846244953507,0.409947181407856,0.439530455479823,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.2,0.159531272477971,-0.2557343550447,-0.314329004329004
"SMO",0.430350877192982,0.524132420091324,0.481666666666667,0.44,0.4,0.393240093240093,0.2,0.360682730923695,0.353846153846154,0.3,0.134285714285714,0.12,0.12,0.324166666666667,0.236857142857143,0.192857142857143,0.15,0.253333333333333,0.284024322830293,0.333333333333333,0.1,0.255263157894737,-0.413888888888889,0.458517788724685,-0.399283850088736,0.481609195402299,0.481609195402299,0.382479874776386,0.347596153846154,0.347596153846154,-0.445705357250274,-0.491758241758242,-0.335225292506846,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319191970819878,-0.290833333333333,-0.351428571428571
"TWIST1",0.534723462921279,0.522242668941709,0.484742668941709,0.440438871473354,0.381818181818182,0.476554281706013,0.28,0.475182896054498,0.431830663615561,0.371304347826087,0.238209918644701,0.21981526981527,0.21981526981527,0.458591118009162,0.460917613459986,0.416849816849817,0.369230769230769,0.391555555555556,0.464108231196839,0.355555555555556,0.3,0.315754268614681,-0.40351252141284,0.731139035985068,-0.658452898038701,0.486214465344619,0.486214465344619,0.452050268226609,0.42054341891154,0.42054341891154,-0.826672677527671,-0.494415951893285,-0.402797009911764,0.470357338818471,0.418854803675856,0.446553304236338,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.2,-0.3,0.266666666666667,0.396894060148204,-0.428541856925419,-0.459027248878734
"FUS",0.470350877192983,0.564992635145088,0.524132420091324,0.481666666666667,0.44,0.430449395565675,0.3,0.389808944515928,0.393240093240093,0.353846153846154,0.145396825396825,0.134285714285714,0.134285714285714,0.349419191919192,0.271472527472527,0.236857142857143,0.192857142857143,0.290833333333333,0.319813796514503,0.253333333333333,0.15,0.274493927125506,-0.460555555555555,0.494129299516052,-0.437601607098081,0.525708574284286,0.525708574284286,0.412610879143199,0.382479874776386,0.382479874776386,-0.488326046905446,-0.535476834723066,-0.359640008225909,0.326072005450343,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.33714817519944,-0.324166666666667,-0.391011904761905
"TGF",0.529224109224109,0.546462639109698,0.589705882352941,0.524705882352941,0.46,0.470634920634921,0.333333333333333,0.433912566562294,0.420634920634921,0.376190476190476,0.226233766233766,0.211948051948052,0.211948051948052,0.266625880608083,0.341791979949875,0.315476190476191,0.258333333333333,0.203333333333333,0.462382987382987,0.153333333333333,0.233333333333333,0.17972972972973,-0.503535353535354,0.51007215007215,-0.512910052910053,0.554937222694232,0.554937222694232,0.397619047619048,0.34047619047619,0.34047619047619,-0.595783453893265,-0.562675324675325,-0.375373528406796,0.425310379653858,0.342264150943396,0.38759748427673,0.28,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.2,-0.133333333333333,0,0.180135874933222,-0.234367816091954,-0.403852813852814
"cfos",0.404645893403537,0.425145442792502,0.378991596638655,0.314285714285714,0.242857142857143,0.389064112011791,0.32,0.320279343298211,0.336521739130435,0.28,0.0933521078682369,0.0788359788359788,0.0788359788359788,0.159543721909313,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.362761904761905,0.0761904761904762,0.0333333333333333,0.193055555555556,-0.509936507936508,0.535891553701773,-0.531877013204303,0.5613144108218,0.5613144108218,0.344785854721292,0.303322440087146,0.303322440087146,-0.61156249663959,-0.572638399128465,-0.310213744588745,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.321284462663773
"CDC42",0.404645893403537,0.425145442792502,0.378991596638655,0.314285714285714,0.342857142857143,0.389064112011791,0.22,0.320279343298211,0.336521739130435,0.28,0.0933521078682369,0.0788359788359788,0.0788359788359788,0.159543721909313,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.362761904761905,0.0761904761904762,0.0333333333333333,0.193055555555556,-0.509936507936508,0.535891553701773,-0.531877013204303,0.5613144108218,0.5613144108218,0.344785854721292,0.303322440087146,0.303322440087146,-0.61156249663959,-0.572638399128465,-0.310213744588745,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.321284462663773
"TCFLEF",0.609959013960188,0.598704216508787,0.571306956234814,0.540174880763116,0.501351351351351,0.523329718527087,0.429323308270677,0.428001254085802,0.496246385193754,0.469323308270677,0.184927581284089,0.175300862227114,0.175300862227114,0.283309990662932,0.311735326126388,0.291064935064935,0.271064935064935,0.241666666666667,0.426081452793782,0.216666666666667,0.235064935064935,0.19689898989899,-0.433699153699154,0.481945997049573,-0.433088410688558,0.569267226748133,0.569267226748133,0.408062373093932,0.38480034100837,0.38480034100837,-0.600543721718844,-0.580699944101208,-0.357567493400157,0.206389409747232,0.267563634149312,0.187108077582464,0.239944586530264,0.26359930565264,0.236268115942029,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.59939774052605,-0.171428571428571,-0.183333333333333,0.133333333333333,0.320202071796866,-0.262675070028011,-0.432043614784087
"ZEB1",0.462393280032893,0.493378572289882,0.457907630406114,0.415639589169001,0.362698412698413,0.363483249802163,0.216666666666667,0.341403544405211,0.320882352941177,0.275,0.17898612880408,0.166609891180318,0.166609891180318,0.271408218879442,0.285182628702905,0.251849295369572,0.220701754385965,0.223106060606061,0.468774930062555,0.195833333333333,0.173333333333333,0.293077977963777,-0.549169040835708,0.526042766250885,-0.641774337101404,0.601697694087774,0.601697694087774,0.451510114879547,0.420181000955496,0.420181000955496,-0.645080718549797,-0.621261773158334,-0.385447256037532,0.495816089129279,0.450386927754216,0.474433373079896,0.420975163048334,0.448864430643484,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.479836386797048,-0.133333333333333,-0.158333333333333,0.266666666666667,0.39839733298564,-0.249106060606061,-0.327700101317123
"PAK1",0.439857161009171,0.460700998348057,0.425145442792502,0.378991596638655,0.314285714285714,0.439064112011791,0.28,0.348043471062339,0.389064112011791,0.336521739130435,0.108384787606799,0.0933521078682369,0.0933521078682369,0.182543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.138556067588326,0.395179487179487,0.10952380952381,0.0833333333333333,0.225728822882288,-0.553269841269841,0.571217640658295,-0.571031424969009,0.602298017379177,0.602298017379177,0.380240400175838,0.344785854721292,0.344785854721292,-0.653002049399897,-0.614089176330538,-0.336759199134199,0.451244161872731,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.355747739499931
"LIV1",0.439857161009171,0.460700998348057,0.425145442792502,0.378991596638655,0.314285714285714,0.439064112011791,0.28,0.348043471062339,0.389064112011791,0.336521739130435,0.108384787606799,0.0933521078682369,0.0933521078682369,0.182543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.138556067588326,0.395179487179487,0.10952380952381,0.0833333333333333,0.225728822882288,-0.553269841269841,0.571217640658295,-0.571031424969009,0.602298017379177,0.602298017379177,0.380240400175838,0.344785854721292,0.344785854721292,-0.653002049399897,-0.614089176330538,-0.336759199134199,0.451244161872731,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.355747739499931
"EGR1",0.439857161009171,0.460700998348057,0.425145442792502,0.378991596638655,0.314285714285714,0.439064112011791,0.28,0.348043471062339,0.389064112011791,0.336521739130435,0.108384787606799,0.0933521078682369,0.0933521078682369,0.182543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.138556067588326,0.395179487179487,0.10952380952381,0.0833333333333333,0.225728822882288,-0.553269841269841,0.571217640658295,-0.571031424969009,0.602298017379177,0.602298017379177,0.380240400175838,0.344785854721292,0.344785854721292,-0.653002049399897,-0.614089176330538,-0.336759199134199,0.451244161872731,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.355747739499931
"TGFR",0.575652680652681,0.595921122864211,0.546462639109698,0.589705882352941,0.524705882352941,0.51408319649699,0.376190476190476,0.471566887549949,0.470634920634921,0.420634920634921,0.238733766233766,0.226233766233766,0.226233766233766,0.295695648049944,0.375125313283208,0.341791979949875,0.315476190476191,0.234367816091954,0.505448680813644,0.203333333333333,0.258333333333333,0.223319473319473,-0.552159206746363,0.556785765095624,-0.563027699968876,0.602593472694232,0.602593472694232,0.442751790981879,0.397619047619048,0.397619047619048,-0.648704116491347,-0.610554112554113,-0.410348897864925,0.456183466962589,0.387362190159083,0.425310379653858,0.342264150943396,0.38759748427673,0.342264150943396,0.28,0.28,0.2,0.2,0.41019721019721,-0.233333333333333,-0.153333333333333,0.1,0.207094165879305,-0.266625880608083,-0.445643858628933
"SMAD",0.492787792185224,0.512651606679195,0.475332019050329,0.427903447621757,0.367340067340067,0.467552451890723,0.309523809523809,0.380487146656161,0.417303695671817,0.364362519201229,0.118457005443687,0.203751123090746,0.203751123090746,0.302199022550956,0.312358276643991,0.277664399092971,0.238888888888889,0.252412280701754,0.429492639309888,0.220833333333333,0.205555555555556,0.257539315448659,-0.568919182083739,0.573155582866188,-0.576779384181176,0.621137366627563,0.621137366627563,0.461258645932751,0.426476037237099,0.426476037237099,-0.671027397649276,-0.630968716447443,-0.371387097469923,0.445427643487564,0.392016806722689,0.421214943435938,0.358683473389356,0.392761904761905,0.359428571428571,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.427026007118663,-0.15,-0.183333333333333,0.2,0.279039796167099,-0.278827375041377,-0.374520581005937
"SNAI1",0.469818250503334,0.491233785233303,0.460700998348057,0.425145442792502,0.378991596638655,0.475715695722198,0.336521739130435,0.273820436327421,0.439064112011791,0.389064112011791,0.119774024152481,0.108384787606799,0.108384787606799,0.204657224844734,0.217166179337232,0.187305068226121,0.157675438596491,0.159543721909313,0.423528396836808,0.138556067588326,0.120833333333333,0.24740182668457,-0.590412698412698,0.60105282397481,-0.6037391065818,0.636724246887374,0.636724246887374,0.408647625134787,0.380240400175838,0.380240400175838,-0.68835505256112,-0.649782391669771,-0.358871410355321,0.471005572661113,0.426375191209496,0.451244161872731,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0833333333333333,-0.10952380952381,0.28,0.400650481138602,-0.182543721909313,-0.386649027053579
"GLI",0.499195082082717,0.616926925303259,0.577838196286472,0.530402298850575,0.468333333333333,0.556433435478379,0.402857142857143,0.408290963807714,0.509242424242424,0.461190476190476,0.158592739208647,0.144856475472383,0.144856475472383,0.324973091900828,0.239155739050006,0.206343239050006,0.175730994152047,0.273339598997494,0.427993314915196,0.247023809523809,0.138888888888889,0.233301153124162,-0.587049808429119,0.59107692297129,-0.591406708515393,0.636910596251708,0.636910596251708,0.472441926015313,0.434620143837095,0.434620143837095,-0.676021487189527,-0.647642174397393,-0.425251671566259,0.473723077081024,0.41538939803787,0.447628296037233,0.478368121442125,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.0833333333333333,-0.20952380952381,0.2,0.347422393620632,-0.299870211242392,-0.408538279931967
