"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","NFB","IKK","AKT","SHH","TWIST1","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0541204688348977,0.0233659307302317,0.0261999388273977,0.023774062816616,0.0188095238095238,0.0492894606248432,0.092364071118691,0.0625641025641026,0.0495054433462255,0.0500641025641026,0.00912174997711251,0.0127470781273633,0.0128674150708049,0.03,0.0252380952380952,0.0167635189669088,-0.120322245951087,-0.0424591952165482,-0.111877394636015,-0.111877394636015,0.02,-0.186377202234462,-0.060872519297753,-0.0574101975054923,-0.0563112964065912,-0.0623549253680443,-0.200289130384457,0.189444913446511,0.189444913446511,-0.235151608279635,0.216438658193278,-0.000825728603611543,0.000635310357427418,0.000635310357427418,0.0535045362351486,-0.0841232322509721,-0.200999976022703,-0.187858726704594,-0.186662494114767,-0.187185848857803,-0.18385875579701,-0.186007747679702,-0.183376168732333,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.239338744967861,0,0.122222222222222,-0.188888888888889,-0.0196029728994882,0.116589436520832,-0.119044903426124
"AXIN2",0.107049381550373,0.061746565570095,0.0610708898944193,0.0633333333333333,0.0783333333333333,0.108853609461648,0.151795764227706,0.153333333333333,0.115191637630662,0.131382113821138,0.0186899478125152,0.0177908422921211,0.0220332665345453,0.0142857142857143,0.0253968253968254,0.0268461007591442,-0.153454919667791,-0.0402901783370183,-0.152930402930403,-0.157692307692308,0,-0.220248585705842,-0.0549355031338146,-0.0532290184921764,-0.0505263157894737,-0.0778908539436025,-0.250592976396085,0.242430886760299,0.242430886760299,-0.277971288245746,0.250183449327662,0.0639317615009829,0.0663641939334153,0.0663641939334153,0.06416690554028,-0.166088080412794,-0.256612526825618,-0.240866462121942,-0.237527567739863,-0.239338744967861,-0.235950280673617,-0.237216103458427,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.181830690537084,0,0.15,-0.233333333333333,0.160520891787932,0.151144688644689,-0.175779534241839
"Wnt",0.168888888888889,0.197402597402597,0.142857142857143,0.1,0.1,0.113333333333333,0.103246753246753,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0565353345841151,0.058974358974359,0,0.0333333333333333,0.0666666666666667,0.10974025974026,0.216666666666667,0.05,0,0,0.153259803921569,0.190683229813665,0.142857142857143,0.1,0.0939393939393939,-0.258333333333333,0.298333333333333,0.298333333333333,0.338473451327434,-0.333534482758621,0.152130325814536,0.114035087719298,0.114035087719298,-0.40009074941452,-0.0705555555555556,-0.299856559638089,0.32630519251148,0.286842105263158,0.306842105263158,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,0,0,0,-0.0141376451077944,-0.0954545454545455,-0.112857142857143
"Frizzled",0.209365079365079,0.237208422645316,0.197402597402597,0.142857142857143,0.1,0.157777777777778,0.117532467532468,0.0666666666666667,0.113333333333333,0.0666666666666667,0.0634188034188034,0.0623045653533458,0.0565353345841151,0.0333333333333333,0.0666666666666667,0.058974358974359,0.11974025974026,0.241419141914191,0.0954545454545455,0.05,0,0.163676470588235,0.220094994519547,0.190683229813665,0.142857142857143,0.125189393939394,-0.294918699186992,0.334415807560137,0.334415807560137,0.365396528250511,-0.3642788193282,0.175081145486667,0.152130325814536,0.152130325814536,-0.43454051018007,-0.0874386724386724,-0.336953333831637,0.345817387633431,0.306842105263158,0.32630519251148,0.286842105263158,0.306842105263158,0.286842105263158,0.25,0.25,0.3,0.2,0.339714795008913,0,0,0.1,0.000303771785938606,-0.10974025974026,-0.138783068783069
"RAS",0.248130081300813,0.268667466986795,0.217647058823529,0.2,0.2,0.217647058823529,0.192542372881356,0.16,0.2,0.18,0.159259259259259,0.157313543599258,0.155272727272727,0.1,0.1,0.127272727272727,0.183916083916084,0.335281385281385,0.1,0.1,0.1,0.228915145005371,0.257239057239057,0.209090909090909,0.2,0.0222222222222222,-0.308333333333333,0.35,0.35,0.597316926770708,-0.439405456766662,0.0709259259259259,0.111666666666667,0.111666666666667,-0.506158003437504,-0.161904761904762,-0.356118791602663,0.3644783377542,0.276,0.328846153846154,0.2,0.275,0.2,0.1,0.1,0,0,0.282352941176471,-0.1,-0.1,0,0.0156230863441519,-0.138461538461538,-0.186980392156863
"HEY1",0.387347324006218,0.371412079650886,0.340068796068796,0.307636363636364,0.263636363636364,0.363613847452857,0.332851343180444,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105372549019608,0.0906666666666667,0,0.0333333333333333,0.0666666666666667,0.324798387096774,0.409395738203957,0.266666666666667,0.233333333333333,0,0.354196538094589,0.375629984051037,0.342296650717703,0.305454545454545,0.28138936535163,-0.265618448637317,0.352303197789183,0.352303197789183,0.464634693501723,-0.592542735042735,0.397732566710895,0.372920536635707,0.372920536635707,-0.672793373147922,-0.340358338457334,-0.360540540540541,0.394984926476622,0.353897196408636,0.376086303197523,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,0,-0.2,0.233333333333333,0.344799274539044,-0.297916666666667,-0.325811688311688
"FOXC2",0.387347324006218,0.371412079650886,0.340068796068796,0.307636363636364,0.263636363636364,0.363613847452857,0.332851343180444,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105372549019608,0.0906666666666667,0,0.0333333333333333,0.0666666666666667,0.324798387096774,0.409395738203957,0.266666666666667,0.233333333333333,0,0.354196538094589,0.375629984051037,0.342296650717703,0.305454545454545,0.28138936535163,-0.265618448637317,0.352303197789183,0.352303197789183,0.464634693501723,-0.592542735042735,0.397732566710895,0.372920536635707,0.372920536635707,-0.672793373147922,-0.340358338457334,-0.360540540540541,0.394984926476622,0.353897196408636,0.376086303197523,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,0,-0.2,0.233333333333333,0.344799274539044,-0.297916666666667,-0.325811688311688
"DSH",0.228455988455988,0.256481149918043,0.237208422645316,0.197402597402597,0.142857142857143,0.189027777777778,0.131471861471861,0.0666666666666667,0.157777777777778,0.113333333333333,0.0715269115269115,0.0745575297802233,0.0623045653533458,0.0666666666666667,0.058974358974359,0.0565353345841151,0.130432083639631,0.258762315345926,0.10974025974026,0.0954545454545455,0.0333333333333333,0.177510462683097,0.238935574229692,0.220094994519547,0.190683229813665,0.155958624708625,-0.328252032520325,0.360341733486063,0.360341733486063,0.388785549730224,-0.391331959424818,0.195197763562469,0.175081145486667,0.175081145486667,-0.461977333284763,-0.102726892990051,-0.364748860988187,0.362788190553139,0.326047403276403,0.345817387633431,0.306842105263158,0.32630519251148,0.306842105263158,0.286842105263158,0.286842105263158,0.25,0.25,0.362791718085836,0,-0.05,0.2,0.0132958977701906,-0.11974025974026,-0.156693516544263
"ILK",0.251805337519623,0.271315426997245,0.229166666666667,0.175,0.125,0.186167056986729,0.170736348050926,0.0666666666666667,0.141904761904762,0.0952380952380952,0.0748663101604278,0.0794147055403955,0.069578639966625,0.133333333333333,0.173333333333333,0.167450980392157,0.132527472527473,0.273844615222655,0.1,0.05,0.1,0.182818871503082,0.234258064516129,0.202,0.15,0.161538461538462,-0.33209219858156,0.372081864473169,0.372081864473169,0.39309796437659,-0.394969040247678,0.217121212121212,0.187121212121212,0.187121212121212,-0.469768540073163,-0.177840478835137,-0.372302613459577,0.379025439504558,0.331506642512077,0.356078071083506,0.303381642512077,0.331506642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358326118326118,-0.1,0,0.1,-0.011156691378667,-0.115384615384615,-0.162171162171162
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0,0,0.0333333333333333,0.253333333333333,0.2,0.3,0.2,0,0.162857142857143,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.303846153846154,0.25,0.25,-0.341666666666667,-0.266666666666667,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"RAF",0.300676007196206,0.325339805825243,0.27,0.22,0.2,0.231427425821973,0.226779307467668,0.17,0.187241379310345,0.17,0.159581881533101,0.156847597369083,0.153754813863928,0.1,0.125,0.151315789473684,0.208590163934426,0.379560308972074,0.14,0.1,0.1,0.258543536260005,0.212565656565657,0.156565656565657,0.111111111111111,0.0613968253968254,-0.334539969834087,0.3753562963647,0.3753562963647,0.62525763561446,-0.475516292072583,0.108492822966507,0.0628787878787879,0.0628787878787879,-0.544894010951033,-0.187087703298374,-0.383525541125541,0.378232535065169,0.32,0.351754385964912,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0262362637362637,-0.184,-0.22908072319837
"SNAI2",0.423577831819374,0.410008528593641,0.374992755722979,0.333613445378151,0.276470588235294,0.392855224281493,0.368139050491992,0.2,0.349019607843137,0.288235294117647,0.116169379144063,0.112267809757093,0.0934272300469483,0,0.0333333333333333,0.0666666666666667,0.365447812927988,0.445967084112177,0.301176470588235,0.26,0,0.401762028014479,0.414009287925697,0.376754385964912,0.332894736842105,0.323799864773496,-0.285905550146056,0.377048236577385,0.377048236577385,0.710574483130805,-0.63740252833956,0.439424688037105,0.410753359365776,0.410753359365776,-0.80833522987685,-0.379723265609197,-0.38521271970188,0.44908032109275,0.402974962071897,0.427802067000778,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,0,-0.2,0.26,0.388121603716709,-0.335870348139256,-0.353016206482593
"cateninnuc",0.391014621148799,0.375297888212063,0.354983634564476,0.328667845090792,0.297959183673469,0.372391186860182,0.333453708917529,0.297101449275362,0.350611327375404,0.324970301734379,0.124543649417791,0.111219536910371,0.103376399655469,0.0666666666666667,0.0866666666666667,0.095968992248062,0.217487410800185,0.320205688298207,0.18792349726776,0.163333333333333,0.0333333333333333,0.247626053654969,0.37371778840534,0.355011090945755,0.331034482758621,0.259347749025168,-0.298213416753563,0.379266825361993,0.379266825361993,0.462227316772926,-0.408580297670035,0.384310259226834,0.368858870337945,0.368858870337945,-0.491343959916498,-0.328003460885024,-0.38666142467805,0.180668090246021,0.254122261906323,0.267877718009805,0.237621267870538,0.253160736877729,0.236593870610264,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.394984926476622,0,-0.133333333333333,0.160606060606061,0.323633063282603,-0.204904629343231,-0.346973322055289
"AKT",0.276214786338521,0.296472659701648,0.271315426997245,0.229166666666667,0.175,0.218193200777579,0.191569681384259,0.0952380952380952,0.186167056986729,0.141904761904762,0.0871740024681201,0.0909936529088165,0.0794147055403955,0.173333333333333,0.167450980392157,0.069578639966625,0.148656504785537,0.296774551528387,0.115384615384615,0.1,0.133333333333333,0.201337390021601,0.258786366402922,0.234258064516129,0.202,0.196422182468694,-0.366605472917844,0.402081864473169,0.402081864473169,0.421024042405338,-0.426219040247678,0.242308244540165,0.217121212121212,0.217121212121212,-0.502221956222231,-0.196970913617746,-0.403028870442818,0.398207829441665,0.355800427822812,0.379025439504558,0.331506642512077,0.356078071083506,0.331506642512077,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.387523198618089,-0.1,-0.05,0.2,0.00431949909752351,-0.132527472527473,-0.185349970118182
"SOSGRB2",0.373198612778445,0.394461152882206,0.344461152882206,0.296842105263158,0.26,0.345980392156863,0.368550150414557,0.253333333333333,0.304313725490196,0.286666666666667,0.260008674907829,0.259407547522302,0.251210826210826,0.2,0.225,0.243518518518519,0.30036036036036,0.413290598290598,0.24,0.2,0.2,0.357738095238095,0.402086438152012,0.354545454545455,0.309090909090909,-0.0261437908496732,-0.36531577169875,0.404811570018078,0.404811570018078,0.639534439907687,-0.49169121599828,0.261285032796661,0.210897435897436,0.210897435897436,-0.562264226976034,-0.250909090909091,-0.414207798061753,0.397885653260103,0.329393939393939,0.367489177489177,0.272727272727273,0.328095238095238,0.271428571428571,0.2,0.2,0.1,0.1,0.343355288647811,-0.1,-0.2,0,-0.00760152542564254,-0.273333333333333,-0.369650468883205
"MEK",0.343141760620863,0.369251244939634,0.325339805825243,0.27,0.22,0.178094092488639,0.253309919712566,0.17,0.231427425821973,0.187241379310345,0.163355466438761,0.166281559633234,0.156847597369083,0.125,0.151315789473684,0.153754813863928,0.228053251182748,0.413642705975819,0.184,0.14,0.1,0.279551939621349,0.249791933937919,0.212565656565657,0.156565656565657,0.0932150072150072,-0.372539969834087,0.414948133099394,0.414948133099394,0.660479310491307,-0.513635103953772,0.144705447551225,0.108492822966507,0.108492822966507,-0.587140993309436,-0.213512573764695,-0.422766047454655,0.401789772529692,0.353333333333333,0.378232535065169,0.32,0.351754385964912,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379998721391126,-0.1,-0.1,0.1,0.046922223007432,-0.208590163934426,-0.261966629238639
"CD44",0.372121212121212,0.362745098039216,0.333333333333333,0.3,0.2,0.388333333333333,0.386437908496732,0.3,0.358333333333333,0.325,0.211111111111111,0.201310446659284,0.18968253968254,0.1,0.15,0.161111111111111,0.183333333333333,0.289330024813896,0.15,0.1,0.1,0.191225071225071,0.225263157894737,0.22,0.2,-0.0166666666666667,-0.275,0.419444444444444,0.419444444444444,0.427523023276607,-0.137237026647966,0.124074074074074,0.0833333333333333,0.0833333333333333,-0.273013986909277,-0.143333333333333,-0.429967776584318,0.122847985347985,0.0192307692307692,0.0782051282051282,-0.05,0.0192307692307692,0.05,-0.1,0,0,0.1,-0.0244444444444444,0,-0.1,0.1,-0.14351529229578,-0.15,-0.405333333333333
"IKK",0.495838747870282,0.527695846725909,0.468346253229974,0.405555555555556,0.35,0.250950166112957,0.292826325630865,0.1,0.178857142857143,0.142857142857143,0.181940144478844,0.18604797979798,0.172916666666667,0.2,0.133333333333333,0.166666666666667,0.2557343550447,0.531080711354309,0.18,0.12,0.2,0.287413308341143,0.362198017036727,0.307359307359307,0.245454545454545,0.301890756302521,-0.362155388471178,0.423856323856324,0.423856323856324,0.659892993415905,-0.568967287394254,0.380776278527403,0.332950191570881,0.332950191570881,-0.682293477666612,-0.222874774556516,-0.427152777777778,0.438854878643014,0.376239316239316,0.409193861693862,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.1,-0.1,0.1,0.142953170970906,-0.228148148148148,-0.275361620057859
"Csn",0.25212280046997,0.278673218673219,0.250909090909091,0.202857142857143,0.142857142857143,0.242686529157117,0.162081930575318,0.106666666666667,0.204718614718615,0.156666666666667,0.074947168216399,0.0812312233089186,0.0682338758288125,0.0666666666666667,0.0619047619047619,0.0619047619047619,0.139163891663892,0.29322820916177,0.108513708513709,0.0873015873015873,0.0333333333333333,0.185955672207641,0.263510971786834,0.237402597402597,0.19974025974026,0.171929824561404,-0.397532799307209,0.435692037426292,0.435692037426292,0.436393832114893,-0.44060384453938,0.238258953013945,0.211526279746619,0.211526279746619,-0.515155271839595,-0.140084942756244,-0.443118134697702,0.417858240635566,0.372769229439218,0.397075844547547,0.347659097280628,0.37321963539722,0.347659097280628,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.406014623172103,-0.1,-0.0428571428571429,0.2,0.0584583184301588,-0.124997224997225,-0.177558910162003
"STAT",0.219506172839506,0.212332187485483,0.194856459330144,0.165909090909091,0.140909090909091,0.207893738140417,0.14966537883133,0.2,0.191764705882353,0.18,0.0586666666666667,0.0649619634627131,0.0615136876006441,0.0666666666666667,0.0666666666666667,0.062962962962963,0.0628225972422309,0.0813280103692215,0.045,0.025,0.0333333333333333,0.0675142417782127,0.0330241149201743,0.0204027556968733,-0.00392156862745098,-0.0069376026272578,-0.326728064963359,0.443639693639694,0.443639693639694,0.104995176821802,-0.0628629869659736,-0.0293193219823655,-0.0429556856187291,-0.0429556856187291,-0.205749494246299,0.0400494709154711,-0.459086768911876,0.0326630131561318,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0638062938628914,-0.0566279069767442,-0.172402628192102
"ERK",0.373266537804464,0.400020475708865,0.369251244939634,0.325339805825243,0.27,0.214846229240776,0.275944650251488,0.187241379310345,0.178094092488639,0.231427425821973,0.175550588389981,0.178231245167825,0.166281559633234,0.151315789473684,0.153754813863928,0.156847597369083,0.245787241330532,0.440126063428786,0.208590163934426,0.184,0.125,0.299123805064774,0.278769206665192,0.249791933937919,0.212565656565657,0.12553823953824,-0.408794949913769,0.448062887197754,0.448062887197754,0.690080044773088,-0.546624794675421,0.17259660401381,0.144705447551225,0.144705447551225,-0.622041028384849,-0.234795372598514,-0.457459925005676,0.421973908507029,0.379409282700422,0.401789772529692,0.353333333333333,0.378232535065169,0.351754385964912,0.32,0.318421052631579,0.27,0.268421052631579,0.412346833049583,-0.1,-0.14,0.2,0.0636402507424089,-0.228053251182748,-0.290750012027956
