"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","cfos","SNAI1","MEK","HEY1","ERK","SMAD","ILK","SHH","NFB","IKK","AKT","SMO","Csn","cateninmemb","FUS","TWIST1","Jagged","NOTCH","NOTCHic","Csl","Ecadherin","KLF4","SOSGRB2","ZEB2","ZEB1","GSK3","SNAI2","miR200","RAS","RAF","PI3K","DELTA","GLI","cateninnuc","Wnt","TCFLEF","TrCP","SUFU","Frizzled","CD44","cMet","SRC","DSH","Patched","STAT","LIV1","AXIN2","Destcompl","RKIP"
"Destcompl",0.047471877237369,0.0146868388752092,0.0183827206069938,0.0186628326518117,0.0165045592705167,0.0625641025641026,0.0517948717948718,0.0878565528036172,0.0438753118257337,0.00866175113909253,0.0478400695349848,0.0122180258567072,0.0126976421636616,-0.126150712537267,0.0501587301587302,0.0446031746031746,0.0386798296554394,-0.118020541549953,0.0523809523809524,0.251459559198168,-0.115079365079365,-0.0537877709618668,-0.19610368827873,-0.0707913890228124,-0.0667228665388724,-0.0638326931284678,0.136656198838517,-0.199629813286308,-0.0695722069621502,0.186645420880216,0.186645420880216,-0.0797287154709932,-0.250520257662453,-0.198528040797256,-0.0103691700654083,-0.0085603845356925,-0.0085603845356925,-0.0085603845356925,-0.202867411401396,-0.20549141997041,-0.200118997025074,-0.204179553542264,-0.0666666666666667,0.122222222222222,-0.198461538461538,-0.202125841062011,-0.19957264957265,-0.198461538461538,-0.2,0.122885406414818,-0.2,-0.2,-0.256610815117263,-0.0297475015876077,-0.115179187688914
"AXIN2",0.10337795840306,0.0553774376892381,0.0572904811674989,0.0618776371308017,0.0783333333333333,0.153333333333333,0.131382113821138,0.148449858094672,0.108160565717931,0.0187481889307447,0.116287774198497,0.0176665253145086,0.0220841959972395,-0.159572075038942,0.109178743961353,0.103296391020176,0.097614572838358,-0.155253283302064,0.122222222222222,0.290342906241389,-0.157692307692308,-0.0489073576303792,-0.230801013018092,-0.0629836598164,-0.0590690690690691,-0.0535135135135135,0.166332627473279,-0.251968153611989,-0.0822722143026847,0.242315603019828,0.242315603019828,-0.162470399264292,-0.293214704371279,-0.256800717814752,0.0557646751596522,0.0601247314184426,0.0601247314184426,0.0601247314184426,-0.25497002997003,-0.258639513781291,-0.253571428571429,-0.256610815117263,-0.133333333333333,0.15,-0.252619047619048,-0.254624060150376,-0.253571428571429,-0.252619047619048,-0.247619047619048,0.156170714494724,-0.247619047619048,-0.233333333333333,0.16453138440685,0.150526312774129,-0.174518838529816
"Wnt",0.167619047619048,0.190842490842491,0.138461538461538,0.1,0.1,0.1,0.0666666666666667,0.0954916360669115,0.116666666666667,0.0656410256410257,0.0666666666666667,0.0566487775790101,0.058974358974359,0.1,0.0666666666666667,0.0866666666666667,0.133333333333333,0.05,0.1,-0.349532759621984,0,0.202941176470588,0.142261904761905,0.178787878787879,0.133333333333333,0.1,-0.3283,-0.262745098039216,0.0866666666666667,0.301206636500754,0.301206636500754,-0.0614285714285714,0.337291280148423,-0.304067085953878,0.139422084623323,0.107843137254902,0.107843137254902,0.107843137254902,0.28952380952381,0.335610766045549,0.242857142857143,0.315610766045549,-0.1,0,0.3,0.28952380952381,0.242857142857143,0.2,0.2,-0.09,0.1,0,0.305555555555556,-0.0363381652072099,-0.115454545454545
"Frizzled",0.202683982683983,0.227799012581621,0.190842490842491,0.138461538461538,0.1,0.0666666666666667,0.0666666666666667,0.10952672378621,0.155442176870748,0.0635133660665576,0.116666666666667,0.0615992726285151,0.0566487775790101,0.110344827586207,0.0866666666666667,0.133333333333333,0.153333333333333,0.09,0.0666666666666667,-0.380145004519943,0.05,0.224680306905371,0.154621455323703,0.207676767676768,0.178787878787879,0.133333333333333,-0.364663636363636,-0.297745098039216,0.113333333333333,0.332456636500754,0.332456636500754,-0.0825553319919517,0.366298913736209,-0.336298490912556,0.162786570604631,0.139422084623323,0.139422084623323,0.139422084623323,0.315610766045549,0.353222706344056,0.28952380952381,0.335610766045549,-0.1,0,0.242857142857143,0.315610766045549,0.28952380952381,0.242857142857143,0.3,-0.1,0.2,0.1,0.33984126984127,-0.020854294239468,-0.132435677530017
"HEY1",0.389351179673321,0.372312980551787,0.340969696969697,0.307636363636364,0.263636363636364,0.2,0.281818181818182,0.335454758886228,0.364959479574398,0.111306340718105,0.328877005347594,0.105159420289855,0.0906666666666667,0.323191391941392,0.26,0.302857142857143,0.33989417989418,0.266666666666667,0.2,-0.582127646614763,0.233333333333333,0.409038954284359,0.349422877846791,0.374928229665072,0.342296650717703,0.305454545454545,-0.665075959817315,-0.266666666666667,0.28138936535163,0.354514963880289,0.354514963880289,-0.345260415977415,0.459860915766668,-0.362568172568173,0.397558837758616,0.374539969834087,0.374539969834087,0.374539969834087,0.347232023989556,0.385921352678885,0.322907699665232,0.367972634730167,-0.1,-0.2,0.296078431372549,0.346544063301596,0.322907699665232,0.296078431372549,0.266666666666667,-0.297916666666667,0.266666666666667,0.233333333333333,0.39786059701775,0.337116488833119,-0.328674500103071
"FOXC2",0.389351179673321,0.372312980551787,0.340969696969697,0.307636363636364,0.263636363636364,0.2,0.281818181818182,0.335454758886228,0.364959479574398,0.111306340718105,0.328877005347594,0.105159420289855,0.0906666666666667,0.323191391941392,0.26,0.302857142857143,0.33989417989418,0.266666666666667,0.2,-0.582127646614763,0.233333333333333,0.409038954284359,0.349422877846791,0.374928229665072,0.342296650717703,0.305454545454545,-0.665075959817315,-0.266666666666667,0.28138936535163,0.354514963880289,0.354514963880289,-0.345260415977415,0.459860915766668,-0.362568172568173,0.397558837758616,0.374539969834087,0.374539969834087,0.374539969834087,0.347232023989556,0.385921352678885,0.322907699665232,0.367972634730167,-0.1,-0.2,0.296078431372549,0.346544063301596,0.322907699665232,0.296078431372549,0.266666666666667,-0.297916666666667,0.266666666666667,0.233333333333333,0.39786059701775,0.337116488833119,-0.328674500103071
"DSH",0.220159710839322,0.24684663162924,0.227799012581621,0.190842490842491,0.138461538461538,0.0666666666666667,0.116666666666667,0.125592297556702,0.179409119019509,0.0700554221413239,0.155442176870748,0.0735992726285151,0.0615992726285151,0.121909453436547,0.133333333333333,0.153333333333333,0.166913580246914,0.1,0.0866666666666667,-0.407062297753026,0.09,0.241835118620852,0.167743627269404,0.22578700389724,0.207676767676768,0.178787878787879,-0.392719515292624,-0.327642005255711,0.142100456621005,0.355860891819903,0.355860891819903,-0.0997775542141739,0.389419481112096,-0.361135092219746,0.184525701039414,0.162786570604631,0.162786570604631,0.162786570604631,0.33528289719309,0.369795423367731,0.315610766045549,0.353222706344056,-0.0666666666666667,-0.05,0.28952380952381,0.335610766045549,0.315610766045549,0.28952380952381,0.242857142857143,-0.110344827586207,0.242857142857143,0.2,0.365104427736007,-0.00906899668987636,-0.150897215991556
"PI3K",0.246038172353962,0.263840579710145,0.223840579710145,0.171666666666667,0.125,0.0666666666666667,0.0952380952380952,0.165161701044054,0.18452380952381,0.0747923182995325,0.145238095238095,0.0787354941976791,0.0694917967186875,0.125101604278075,0.2,0.25,0.268918918918919,0.0954545454545455,0.166666666666667,-0.410285230001725,0.05,0.266508154663735,0.173202614379085,0.225,0.192857142857143,0.142857142857143,-0.396186143692197,-0.3343058733791,0.152252252252252,0.370124933545986,0.370124933545986,-0.173816805566175,0.395959234389915,-0.371064048344972,0.207008797653959,0.176363636363636,0.176363636363636,0.176363636363636,0.339970208540218,0.386908984050423,0.307894736842105,0.364970208540218,-0.2,0,0.25,0.339970208540218,0.307894736842105,0.25,0.2,-0.107454545454545,0.2,0.1,0.360084104289319,-0.0338080778870253,-0.157600732600733
"ILK",0.246038172353962,0.263840579710145,0.223840579710145,0.171666666666667,0.125,0.0666666666666667,0.0952380952380952,0.165161701044054,0.18452380952381,0.0747923182995325,0.145238095238095,0.0787354941976791,0.0694917967186875,0.125101604278075,0.2,0.25,0.268918918918919,0.0954545454545455,0.166666666666667,-0.410285230001725,0.05,0.266508154663735,0.173202614379085,0.225,0.192857142857143,0.142857142857143,-0.396186143692197,-0.3343058733791,0.152252252252252,0.370124933545986,0.370124933545986,-0.173816805566175,0.395959234389915,-0.371064048344972,0.207008797653959,0.176363636363636,0.176363636363636,0.176363636363636,0.339970208540218,0.386908984050423,0.307894736842105,0.364970208540218,-0.2,0,0.25,0.339970208540218,0.307894736842105,0.25,0.2,-0.107454545454545,0.2,0.1,0.360084104289319,-0.0338080778870253,-0.157600732600733
"RAF",0.287986425339367,0.310558871405317,0.262105263157895,0.22,0.2,0.17,0.17,0.211462934383481,0.225019157088123,0.159581881533101,0.187241379310345,0.156725110893631,0.153754813863928,0.199820089955022,0.0857142857142857,0.110714285714286,0.152649769585253,0.14,0.1,-0.484302704463995,0.1,0.362037899968935,0.247268907563025,0.200047281323877,0.151111111111111,0.111111111111111,-0.558628054619175,-0.332663797226208,0.055831608005521,0.370163797226208,0.370163797226208,-0.151898178626289,0.617980415606875,-0.379067679490321,0.0826923076923077,0.0403846153846154,0.0403846153846154,0.0403846153846154,0.319251336898396,0.380277342076408,0.264705882352941,0.353797591297591,-0.1,-0.1,0.2,0.317045454545455,0.2625,0.2,0.1,-0.179130434782609,0.1,0,0.333333333333333,0.00928555330178048,-0.221377912867275
"SHH",0.35,0.44,0.4,0.3,0.2,0,0.1,0.283333333333333,0.3,0.0666666666666667,0.2,0.1,0.0666666666666667,0.253333333333333,0,0.1,0.15,0.3,0,-0.280555555555556,0.2,0.192857142857143,0.153333333333333,0.233333333333333,0.2,0.1,-0.335897435897436,-0.3,0.25,0.375,0.375,-0.266666666666667,0.358148148148148,-0.383333333333333,0.3,0.25,0.25,0.25,0.233333333333333,0.218125960061444,0.2,0.176190476190476,0,-0.2,0.2,0.133333333333333,0.1,0.1,0.2,-0.333333333333333,0.1,0,0.266666666666667,0.261212121212121,-0.26
"SNAI2",0.424990065372035,0.410713913044657,0.375493787258493,0.333613445378151,0.276470588235294,0.2,0.288235294117647,0.370707106464215,0.393614202437732,0.116169379144063,0.349019607843137,0.112087517128288,0.0934272300469483,0.364441776710684,0.275,0.326724137931034,0.36889281262983,0.301176470588235,0.2,-0.629013091410872,0.26,0.445750085920495,0.398259774212715,0.41359649122807,0.376754385964912,0.332894736842105,-0.803202153673358,-0.286538461538462,0.323799864773496,0.378588839941263,0.378588839941263,-0.384487634391416,0.706931453237821,-0.386587993124707,0.43978781085048,0.412048883111552,0.412048883111552,0.412048883111552,0.398270280444193,0.441172143858709,0.371603613777527,0.421172143858709,-0.1,-0.2,0.341168831168831,0.39786059701775,0.371603613777527,0.341168831168831,0.305454545454545,-0.335870348139256,0.305454545454545,0.26,0.443951975983083,0.381940848912252,-0.355166666666667
"cateninnuc",0.390457440140776,0.373025738808668,0.353847656616887,0.329587301587302,0.299428571428571,0.297101449275362,0.327260179434092,0.333579952723339,0.372430616839824,0.124481847142868,0.352901205075118,0.111299625940403,0.103393939393939,0.212916655617937,0.304166666666667,0.326615646258503,0.342153494864081,0.185367231638418,0.270833333333333,-0.395039234095236,0.163333333333333,0.317731249582582,0.240222480363666,0.369319917484696,0.351980250026263,0.329824561403509,-0.48099055699264,-0.300580085778642,0.256257775784152,0.380670857191235,0.380670857191235,-0.332037925338043,0.455048258448797,-0.388139450445855,0.381340117850755,0.366671065972401,0.366671065972401,0.366671065972401,0.244229942124111,0.169018416683015,0.228463203463203,0.256918883246001,-0.233333333333333,-0.133333333333333,0.208463203463203,0.243180332038674,0.227345191040843,0.207345191040843,0.185606060606061,-0.20055710505614,0.185606060606061,0.160606060606061,0.385921352678885,0.311788429294459,-0.347062965881639
"RAS",0.338838785735337,0.358502747252747,0.31125,0.28,0.26,0.26,0.26,0.298801431127013,0.314315789473684,0.161857707509881,0.286315789473684,0.158750773036487,0.156709956709957,0.185606060606061,0.166666666666667,0.173333333333333,0.21047619047619,0.116666666666667,0.2,-0.411172883787661,0.1,0.361904761904762,0.247235190372445,0.268055555555556,0.222222222222222,0.2,-0.489640062100282,-0.356428571428571,0.00909090909090908,0.397481203007519,0.397481203007519,-0.202857142857143,0.570736680628092,-0.40667292057536,0.140853264382676,0.195798319327731,0.195798319327731,0.195798319327731,0.334230769230769,0.41129555802453,0.269230769230769,0.379127725856698,-0.2,-0.1,0.2,0.333333333333333,0.269230769230769,0.2,0.1,-0.158333333333333,0.1,0,0.344327731092437,-0.0503678331926989,-0.390254901960784
"AKT",0.269050724655217,0.28849811395672,0.263840579710145,0.223840579710145,0.171666666666667,0.0952380952380952,0.145238095238095,0.187415222170815,0.210551206784084,0.0859034294106436,0.18452380952381,0.0900830119281755,0.0787354941976791,0.141380674045517,0.25,0.268918918918919,0.187198488811392,0.107454545454545,0.2,-0.442074161790657,0.0954545454545455,0.289912409982884,0.191073336812545,0.248287671232877,0.225,0.192857142857143,-0.42925545062289,-0.365837404910631,0.185585585585586,0.398330061751114,0.398330061751114,-0.194006829319144,0.423891519758718,-0.399473139254063,0.233354406719115,0.207008797653959,0.207008797653959,0.207008797653959,0.364627742786794,0.406102842015874,0.339970208540218,0.386908984050423,-0.166666666666667,-0.05,0.307894736842105,0.364970208540218,0.339970208540218,0.307894736842105,0.25,-0.125101604278075,0.25,0.2,0.391057555616752,-0.0194368204019953,-0.181925056925057
"SOSGRB2",0.363332893074732,0.383114617940199,0.338928571428571,0.301428571428571,0.271428571428571,0.276190476190476,0.30952380952381,0.34868515169781,0.357412323037323,0.261647727272727,0.323037323037323,0.259196932100158,0.252903225806452,0.291591173054588,0.288888888888889,0.304678362573099,0.335113145181795,0.233333333333333,0.3,-0.502457180500659,0.2,0.391019244476123,0.344895958383353,0.383962703962704,0.342424242424242,0.309090909090909,-0.57976711324062,-0.362017543859649,-0.0314705882352941,0.398782249742002,0.398782249742002,-0.303432055749129,0.639675830252932,-0.409302685550654,0.319875125330417,0.274947589098533,0.274947589098533,0.274947589098533,0.327894736842105,0.401213944278381,0.27,0.369905533063428,-0.2,-0.2,0.2,0.326315789473684,0.268421052631579,0.2,0.1,-0.264761904761905,0.1,0,0.340778498609824,-0.0513652983790466,-0.378472222222222
"MEK",0.326600286725505,0.352022286039464,0.310558871405317,0.262105263157895,0.22,0.17,0.187241379310345,0.23620161034167,0.166303560757847,0.163218245169465,0.225019157088123,0.164833219001739,0.156725110893631,0.218440779610195,0.110714285714286,0.152649769585253,0.177649769585253,0.179130434782609,0.0857142857142857,-0.521688722701077,0.14,0.394255473190692,0.268369824994218,0.235531152291619,0.200047281323877,0.151111111111111,-0.600510407560352,-0.367357674777228,0.0811328128247982,0.405163797226207,0.405163797226207,-0.18030726953538,0.653427101485837,-0.413921099685761,0.118513203214696,0.0826923076923077,0.0826923076923077,0.0826923076923077,0.356003473650532,0.40233448493355,0.319251336898396,0.380277342076408,-0.1,-0.1,0.264705882352941,0.353797591297591,0.317045454545455,0.2625,0.2,-0.199820089955022,0.2,0.1,0.378688524590164,0.0296351163479727,-0.249155690645052
"CD44",0.376129032258064,0.367647058823529,0.35,0.3,0.2,0.3,0.325,0.369340016708438,0.415,0.204093567251462,0.385,0.197619047619048,0.183333333333333,0.173809523809524,0.2,0.266666666666667,0.26,0.15,0.2,-0.0932491872250908,0.1,0.341666666666667,0.176666666666667,0.242857142857143,0.242857142857143,0.2,-0.275833333333333,-0.277777777777778,-0.00238095238095239,0.420634920634921,0.420634920634921,-0.211082251082251,0.427104276069017,-0.431699604743083,0.188006617038875,0.158974358974359,0.158974358974359,0.158974358974359,-1.11022302462516e-17,0.105283018867925,-0.0666666666666667,0.06,-0.1,-0.1,-0.1,-1.11022302462516e-17,0.0333333333333333,0,0,-0.15,0.1,0.1,-0.05,-0.186666666666667,-0.423703703703704
"IKK",0.49290601871247,0.522820512820513,0.465555555555556,0.405555555555556,0.35,0.1,0.142857142857143,0.287666666666667,0.250950166112957,0.181940144478844,0.178857142857143,0.18578795379538,0.172916666666667,0.249,0.314285714285714,0.264285714285714,0.318571428571429,0.18,0.3,-0.571228636382089,0.12,0.525176571920758,0.279287566366218,0.355891655178007,0.303349282296651,0.245454545454545,-0.69256530471319,-0.363369963369963,0.298214285714286,0.423668546365915,0.423668546365915,-0.217962311241987,0.656803454153507,-0.427570738440304,0.374476286240992,0.328322440087146,0.328322440087146,0.328322440087146,0.368796992481203,0.431912109495751,0.321428571428571,0.4029905408683,-0.2,-0.1,0.271428571428571,0.368796992481203,0.321428571428571,0.271428571428571,0.2,-0.224,0.2,0.1,0.397132616487455,0.130459837968792,-0.274561403508772
"STAT",0.182664401326373,0.16751245009672,0.154029304029304,0.130952380952381,0.116666666666667,0.2,0.166666666666667,0.118664843928002,0.170535463975329,0.0541176470588235,0.163218390804598,0.0588299890186682,0.0582010582010582,0.0416017316017316,0.0111111111111111,0.016374269005848,0.0200779727095517,0.0285714285714286,0,0.0732525759416516,0.0142857142857143,0.0268917498686285,0.0368742368742369,-0.00569444444444444,-0.0145833333333333,-0.0333333333333333,-0.0704919068250166,-0.316627565982405,-0.0474285714285714,0.425130075561482,0.425130075561482,0.101311589174185,0.037999037999038,-0.441896699791437,-0.0952365762892079,-0.105236576289208,-0.105236576289208,-0.105236576289208,-0.0999595141700405,-0.0833815616245266,-0.111538461538462,-0.0909803458190555,0,0,-0.128205128205128,-0.0997105045492142,-0.111538461538462,-0.128205128205128,-0.166666666666667,-0.0385714285714286,-0.166666666666667,-0.1,-0.142225563909774,-0.157843614718615,-0.147647058823529
