"","FOXC2","SNAI1","EGR1","MEK","ERK","cfos","HEY1","TWIST1","SHH","SMAD","ILK","AKT","NFB","Csn","IKK","SMO","Jagged","FUS","NOTCH","NOTCHic","Csl","KLF4","SNAI2","cateninmemb","ZEB2","ZEB1","RAS","TGF","TGFR","RAF","PI3K","DELTA","CDC42","PAK1","Ecadherin","miR200","GSK3","SOSGRB2","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TWIST1",0.321308005572822,0.145689930406084,-0.0733333333333333,0.0694066281862996,0.0400533943554539,0.000579710144927537,-0.114552678959459,0.34511477970288,0.184657984119486,-0.122339801547722,-0.128610428610429,0.112603215993046,0.0538461538461538,0,0.0871794871794872,0.153333333333333,0.250431678274688,0.133333333333333,0.243445680804171,0.218917378917379,0.188148148148148,-8.3385449239104e-05,0.665430450876407,-0.57887533757315,0.0562527439720422,0.0562527439720422,0.314271695706066,-0.0706675693784915,-0.0763623301985371,0.292696353240313,0.292696353240313,0.292696353240313,-0.0826123301985371,-0.0860606060606061,-0.695394135071434,-0.037111064528526,-0.351553226158819,0.0789454125838565,0.415416309906963,0.380206850459482,0.399717632506158,0.359406850459482,0.38118777033158,0.360705842620736,0.337301587301587,0.337301587301587,0.309523809523809,0.309523809523809,0.432272942111652,0.1,-0.1,0.266666666666667,0.380285177796981,-0.168401826484018,-0.0926702622354796
"Destcompl",0.0572825421877371,0.0968774279590272,0.0625641025641026,0.0551125377354885,0.0551125377354885,0.0534731934731935,0.0144952483414022,-0.0395864829276475,-0.116595727785613,0.0185338345864662,0.0186507936507937,0.0463225449802631,0.0523809523809524,0.0523809523809524,0.0496782496782497,-0.111877394636015,-0.183674958699339,-0.111877394636015,-0.0590714252633744,-0.0560654132393263,-0.0549784567175871,-0.203149190846705,-0.23371230255266,0.215009252685094,0.192606676651543,0.192606676651543,0.00317003368231403,0.053853846438757,0.0551346346160969,0.00379797716740037,0.00379797716740037,0.00379797716740037,0.0567135819845179,0.053265306122449,0.0514770367993777,-0.204172934317247,-0.0887065716616701,-0.0468895524002867,-0.186622379297913,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.019968257807527,0.114468068211145,-0.122511705056516
"AXIN2",0.110540380774573,0.155283423697512,0.153333333333333,0.11322549119787,0.117363422232353,0.131382113821138,0.0207089732444702,-0.0370946197518206,-0.152128295202066,0.0222164711295146,0.0242005981136416,0.101497584541063,0.109178743961353,0.122222222222222,0.104830917874396,-0.152930402930403,-0.219245120332077,-0.157692307692308,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.252988588338008,-0.2770272187641,0.249359406027404,0.245175501457021,0.245175501457021,0.0672871653574866,0.0910386439332232,0.0913686769365235,0.069649370081896,0.069649370081896,0.069649370081896,0.0895987654320987,0.0908333333333333,0.0626921145380067,-0.2593606087525,-0.170421160202625,-0.0647651833907093,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.151144688644689,-0.178657587931781
"Wnt",0.171093117408907,0.0907867494824016,0.1,0.0996078431372549,0.0466666666666667,0.0666666666666667,0.0456410256410256,0.217941176470588,0.0915584415584415,0.0344265553567879,0.0367521367521367,0.124166666666667,0.0666666666666667,0.1,0.0866666666666667,0.05,0.141495098039216,0,0.18452380952381,0.142857142857143,0.1,-0.262745098039216,0.340258620689655,-0.334703389830508,0.299330463892874,0.299330463892874,0.140088858509911,-0.0536231884057971,-0.0666666666666667,0.108270676691729,0.108270676691729,0.108270676691729,-0.1,-0.1,-0.400036529167135,-0.302626262626263,-0.0729623824451411,0.0272727272727273,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0772727272727273,-0.111666666666667
"IKK",0.386753246753247,0.139355385920271,0.05,0.11215873015873,0.0477142857142857,0.0357142857142857,-0.0672858617131063,0.474509803921569,0.0266155810983397,-0.0719265676567657,-0.0729166666666667,0.0762548262548263,0.0857142857142857,0.1,0.0357142857142857,-0.02,0.165529522024367,-0.08,0.235209235209235,0.189177489177489,0.127272727272727,-0.286080586080586,0.63846345539738,-0.543534268338738,0.329724310776942,0.329724310776942,0.296544907679592,-0.102816161616162,-0.111616161616162,0.257108287961282,0.257108287961282,0.257108287961282,-0.138888888888889,-0.15,-0.633918431408752,-0.331192865105909,-0.202564102564103,0.0115546218487395,0.419845893456707,0.37008547008547,0.396639142401854,0.331623931623932,0.37008547008547,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.399285714285714,-0.2,0.1,0.1,0.137008155403959,-0.00592592592592592,-0.12103825136612
"Frizzled",0.203651256943791,0.105072463768116,0.0666666666666667,0.136644880174292,0.0996078431372549,0.0466666666666667,0.0435133660665576,0.237941176470588,0.10123586091328,0.0372302936745449,0.0344265553567879,0.142916666666667,0.0866666666666667,0.0666666666666667,0.124166666666667,0.0772727272727273,0.152606209150327,0.05,0.210014005602241,0.18452380952381,0.142857142857143,-0.296078431372549,0.367072500815838,-0.365497040624159,0.330023533199805,0.330023533199805,0.162923504179202,-0.0545755693581781,-0.0536231884057971,0.140088858509911,0.140088858509911,0.140088858509911,-0.0666666666666667,-0.1,-0.433369862500468,-0.333876262626263,-0.0905381400208986,0.0606060606060606,0.347848097063852,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.0915584415584415,-0.125952380952381
"HEY1",0.383032533440882,0.322231409561729,0.2,0.330586030100888,0.304812834224599,0.263636363636364,0.060061115355233,0.407986928104575,0.295430107526882,0.0377971014492754,0.032,0.322962962962963,0.26,0.2,0.293333333333333,0.25,0.338416246422243,0.233333333333333,0.366930400039461,0.337033492822967,0.305454545454545,-0.262962962962963,0.464333025702278,-0.592081001654172,0.346646026831785,0.346646026831785,0.391640271493213,0.0770746489283075,0.0697575757575758,0.368846153846154,0.368846153846154,0.368846153846154,0.0630909090909091,0.0590909090909091,-0.670465136056253,-0.355258445258445,-0.346953472415037,0.147355631789594,0.395148917516182,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.275,-0.316996495567924
"FOXC2",0.383032533440882,0.322231409561729,0.2,0.330586030100888,0.304812834224599,0.263636363636364,0.060061115355233,0.407986928104575,0.295430107526882,0.0377971014492754,0.032,0.322962962962963,0.26,0.2,0.293333333333333,0.25,0.338416246422243,0.233333333333333,0.366930400039461,0.337033492822967,0.305454545454545,-0.262962962962963,0.464333025702278,-0.592081001654172,0.346646026831785,0.346646026831785,0.391640271493213,0.0770746489283075,0.0697575757575758,0.368846153846154,0.368846153846154,0.368846153846154,0.0630909090909091,0.0590909090909091,-0.670465136056253,-0.355258445258445,-0.346953472415037,0.147355631789594,0.395148917516182,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.275,-0.316996495567924
"DSH",0.220534373826908,0.118695652173913,0.0466666666666667,0.16145691024948,0.136644880174292,0.0996078431372549,0.0487765239612944,0.255671672924489,0.11043831490101,0.0428906710330355,0.0372302936745449,0.157859195402299,0.124166666666667,0.0866666666666667,0.142916666666667,0.0915584415584415,0.16578450372397,0.0772727272727273,0.227496523084758,0.210014005602241,0.18452380952381,-0.324233771178374,0.389773315716886,-0.391763236148305,0.352858178869096,0.352858178869096,0.183931907540547,-0.0514396808564359,-0.0545755693581781,0.162923504179202,0.162923504179202,0.162923504179202,-0.0536231884057971,-0.0666666666666667,-0.459094182079046,-0.358266506528702,-0.107475495009298,0.0654841093865484,0.364143733751296,0.328532114600226,0.347848097063852,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00458801214003092,-0.10123586091328,-0.1448334998335
"PI3K",0.237293844367015,0.148482286634461,0.0666666666666667,0.150755384120861,0.119607843137255,0.0666666666666667,0.0384286819358961,0.264841778954395,0.0987179487179487,0.0318917967186875,0.0294917967186875,0.242232277526395,0.2,0.166666666666667,0.229411764705882,0.0666666666666667,0.16219298245614,0.05,0.214267990074442,0.188461538461538,0.15,-0.328508771929825,0.393207312494133,-0.39469558566479,0.360041303536362,0.360041303536362,0.198171618336002,-0.0485399330463893,-0.0493529411764706,0.168034632034632,0.168034632034632,0.168034632034632,-0.0573529411764706,-0.075,-0.464641637788683,-0.361374041701911,-0.180579605579606,0.0584615384615385,0.379685625092488,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.0820512820512821,-0.138332255979315
"ILK",0.237293844367015,0.148482286634461,0.0666666666666667,0.150755384120861,0.119607843137255,0.0666666666666667,0.0384286819358961,0.264841778954395,0.0987179487179487,0.0318917967186875,0.0294917967186875,0.242232277526395,0.2,0.166666666666667,0.229411764705882,0.0666666666666667,0.16219298245614,0.05,0.214267990074442,0.188461538461538,0.15,-0.328508771929825,0.393207312494133,-0.39469558566479,0.360041303536362,0.360041303536362,0.198171618336002,-0.0485399330463893,-0.0493529411764706,0.168034632034632,0.168034632034632,0.168034632034632,-0.0573529411764706,-0.075,-0.464641637788683,-0.361374041701911,-0.180579605579606,0.0584615384615385,0.379685625092488,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.0820512820512821,-0.138332255979315
"NFB",0.420617788585916,0.162643057153148,0.0357142857142857,0.150720821661998,0.11215873015873,0.0477142857142857,-0.0637144331416777,0.500859010270775,0.0422782317007494,-0.066350359478327,-0.0719265676567657,0.102921492921493,0.0357142857142857,0.0857142857142857,0.0762548262548263,0.00592592592592592,0.182795709074727,-0.02,0.266822138435042,0.235209235209235,0.189177489177489,-0.320695970695971,0.668951260275428,-0.578275556617513,0.365356494684988,0.365356494684988,0.326395653948249,-0.0983857818693262,-0.102816161616162,0.296544907679592,0.296544907679592,0.296544907679592,-0.111616161616162,-0.138888888888889,-0.671639137668784,-0.366540297130078,-0.225701357466063,0.035765148164529,0.440473344437099,0.395928166714684,0.419845893456707,0.37008547008547,0.396639142401854,0.37008547008547,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.43403748733536,-0.1,0.08,0.2,0.153785564041833,-0.0266155810983397,-0.146679277007146
"cateninnuc",0.381592227444686,0.316875501798308,0.263768115942029,0.321444436189479,0.304013243528929,0.281228433402346,0.0750276141247864,0.315837640598819,0.182862757520843,0.0510424277859476,0.0481774891774892,0.318887310606061,0.285606060606061,0.258333333333333,0.305606060606061,0.159143897996357,0.228679396704395,0.141111111111111,0.359862811534077,0.34349917517044,0.321406151914627,-0.288657724244913,0.460685511489631,-0.406286187421033,0.365919192202707,0.365919192202707,0.37529838029838,0.109061063114971,0.106004294556019,0.360651915651916,0.360651915651916,0.360651915651916,0.101406593406593,0.0937142857142857,-0.485475278481352,-0.373874651569534,-0.335086848460925,0.106119977270312,0.179685405687003,0.254260396145447,0.267561682958475,0.238054862548609,0.253297306558176,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395148917516182,-0.233333333333333,-0.111111111111111,0.160606060606061,0.319686936904486,-0.172187376257227,-0.328693596725855
"RAF",0.291408782788093,0.20734893799106,0.17,0.209618488628026,0.173448275862069,0.17,0.135656213704994,0.369964349376114,0.189311475409836,0.128814232514394,0.127824133504493,0.144047619047619,0.0857142857142857,0.1,0.110714285714286,0.14,0.245866682836123,0.1,0.202719502719503,0.156565656565657,0.111111111111111,-0.332663797226208,0.624385964912281,-0.474936280818634,0.368663797226208,0.368663797226208,0.0837634587634588,-0.000231419670672002,-0.0123809523809524,0.0418831168831169,0.0418831168831169,0.0418831168831169,-0.0266666666666667,-0.0333333333333333,-0.541440794061046,-0.377852175614352,-0.164381402679275,-0.025968253968254,0.377496836898203,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0227081076332972,-0.168,-0.218207282913165
"SNAI2",0.420061231454513,0.358783666221863,0.2,0.364546899841017,0.329411764705882,0.276470588235294,0.0582730560578662,0.4447637389003,0.338477588218386,0.0350957419156085,0.0269617706237425,0.354767345243041,0.275,0.2,0.319827586206897,0.289411764705882,0.387640798402688,0.26,0.407011847801321,0.373245614035088,0.332894736842105,-0.284038461538462,0.710377886140621,-0.637105914173758,0.372397944199706,0.372397944199706,0.434132802029845,0.0756499255220483,0.06819650937298,0.407192162760439,0.407192162760439,0.407192162760439,0.0605042016806723,0.0509803921568627,-0.806540076086534,-0.380926764645645,-0.385748368724354,0.190365111561866,0.449229572098264,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.31594237695078,-0.345987179487179
"SHH",0.35,0.283333333333333,0,0.3,0.2,0.1,0.0666666666666667,0.2,0.253333333333333,0.0666666666666667,0.0666666666666667,0.15,0,0,0.1,0.3,0.162857142857143,0.2,0.233333333333333,0.2,0.1,-0.3,0.36727969348659,-0.299068100358423,0.375,0.375,0.303846153846154,0.266666666666667,0.266666666666667,0.25,0.25,0.25,0.166666666666667,0.2,-0.341666666666667,-0.383333333333333,-0.271794871794872,0.15,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"AKT",0.259098355645211,0.166276772849999,0.0666666666666667,0.173540194247444,0.150755384120861,0.119607843137255,0.043691839830633,0.288389179566016,0.11029689608637,0.0362689010957919,0.0318917967186875,0.161424196718314,0.229411764705882,0.2,0.242232277526395,0.0820512820512821,0.17808702219124,0.0666666666666667,0.237438721781759,0.214267990074442,0.188461538461538,-0.355004498425551,0.419438468273028,-0.423951447030743,0.385383769289786,0.385383769289786,0.222508967733592,-0.0421955221702563,-0.0485399330463893,0.198171618336002,0.198171618336002,0.198171618336002,-0.0493529411764706,-0.0573529411764706,-0.494035577182622,-0.387042490899772,-0.200337670095735,0.0651282051282051,0.397377932784796,0.357752076547316,0.379685625092488,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00412094672695625,-0.0987179487179487,-0.162555858463787
"RAS",0.340634920634921,0.288751229105211,0.26,0.282910216718266,0.265263157894737,0.26,0.130830039525692,0.370987452264048,0.166700564971751,0.123376623376623,0.123376623376623,0.201111111111111,0.166666666666667,0.2,0.173333333333333,0.116666666666667,0.241356199487483,0.1,0.269712015888779,0.226315789473684,0.2,-0.356428571428571,0.57634173186284,-0.400410502033264,0.394572901325479,0.394572901325479,0.137692307692308,0.0826557949912638,0.0717647058823529,0.195384615384615,0.195384615384615,0.195384615384615,0.06,0.06,-0.469148695929843,-0.404461538461538,-0.216989664082687,-0.108225108225108,0.410022792164208,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0340659026705538,-0.144666666666667,-0.385075471698113
"SOSGRB2",0.367155067155067,0.344471215351812,0.276190476190476,0.33949923949924,0.312226512226512,0.30952380952381,0.239772727272727,0.40104347826087,0.280913471611146,0.23059177381758,0.22989247311828,0.329678362573099,0.288888888888889,0.3,0.304678362573099,0.233333333333333,0.345087942998026,0.2,0.388397517974983,0.347552447552448,0.309090909090909,-0.362017543859649,0.645446544203578,-0.494195273195273,0.397731829573935,0.397731829573935,0.322685788787484,0.0993094848413997,0.0872527472527473,0.27909604519774,0.27909604519774,0.27909604519774,0.0757142857142857,0.0857142857142857,-0.562164196887512,-0.408441181664522,-0.31585308255715,-0.126944444444444,0.400453903067587,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,-0.2,0,-0.0356106235300866,-0.257657657657658,-0.376571637426901
"MEK",0.32834571972503,0.231707912350034,0.17,0.14795182196136,0.209618488628026,0.173448275862069,0.137474395523176,0.400367279779045,0.206958534233365,0.131397258344652,0.128814232514394,0.16640056022409,0.110714285714286,0.0857142857142857,0.144047619047619,0.168,0.265538813983664,0.14,0.23556621804797,0.202719502719503,0.156565656565657,-0.365997130559541,0.65820591625048,-0.511521646672292,0.402790781353192,0.402790781353192,0.118366633366633,0.00633792339502143,-0.000231419670672002,0.0837634587634588,0.0837634587634588,0.0837634587634588,-0.0123809523809524,-0.0266666666666667,-0.580967205718606,-0.411598305645312,-0.190179928477801,-0.00596825396825396,0.399801669611958,0.352867132867133,0.377496836898203,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0427917896416654,-0.189311475409836,-0.243207282913165
