"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","cfos","EGR1","RKIP"
"Destcompl",0.0547495982915229,0.0239112559724434,0.0277536205044631,0.0272273047149894,0.0210204081632653,0.0508170407444116,0.0929464140738547,0.0529267453857618,0.00964317733548503,0.0137635756056809,0.0134126984126984,-0.11982880823179,0.0449802631010685,-0.0412626750517074,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.111877394636015,-0.185626117497308,0.0523809523809524,-0.0598730284697872,-0.0560654132393263,-0.0549784567175871,-0.0615627546709182,-0.201940731632204,-0.233844972536076,0.190182407529771,0.190182407529771,0.215146946316763,0.00185341010655424,0.00295231120545534,0.00295231120545534,0.00295231120545534,0.0523208637176526,-0.0887065716616701,-0.201897427886616,-0.186724368079148,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.019968257807527,0.116540607071248,-0.0534731934731935,-0.0625641025641026,-0.119251047384531
"RAF",0.124742116121426,0.14861593235425,0.100952380952381,0.0533333333333333,0.0333333333333333,0.176515040352164,0.00347417583918281,0.140344827586207,0.140301974448316,0.136442697543182,0.133472400513479,0.190754098360656,0.150108225108225,0.158903743315508,0.110714285714286,0.0857142857142857,0.14,0.1,0.23511399466408,0.1,0.202719502719503,0.156565656565657,0.111111111111111,0.0328253968253968,-0.199378287900526,0.5771883196363,0.229378287900526,0.229378287900526,-0.415228001110354,0.0752164502164502,0.0418831168831169,0.0418831168831169,0.0418831168831169,-0.456240220565548,-0.149881796690307,-0.242781997876338,0.333781318453878,0.294615384615385,0.314188443135812,0.26,0.29251012145749,0.257894736842105,0.2,0.2,0.1,0.1,0.317205813408345,-0.1,-0.1,0,0.00242961296016664,-0.176,-0.13,-0.13,-0.147128851540616
"AXIN2",0.109724054243961,0.0638681306675407,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.111846180853043,0.152384005471398,0.117363422232353,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.153439770611902,0.101497584541063,-0.0377668886593836,0.104830917874396,0.109178743961353,-0.152930402930403,-0.157692307692308,-0.220035634166069,0.122222222222222,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,-0.252988588338008,-0.2770272187641,0.244395774361504,0.244395774361504,0.249359406027404,0.0667622309742845,0.069649370081896,0.069649370081896,0.069649370081896,0.0628674762214789,-0.170421160202625,-0.258746169428383,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.151144688644689,-0.131382113821138,-0.153333333333333,-0.177367265351136
"MEK",0.154471845851156,0.179272866660819,0.14861593235425,0.100952380952381,0.0533333333333333,0.118181707018831,0.022704945069952,0.176515040352164,0.14393833808468,0.14492978241403,0.136442697543182,0.204479588556734,0.170108225108225,0.179782864194629,0.150108225108225,0.110714285714286,0.176,0.14,0.249048420893588,0.0857142857142857,0.228266947974977,0.202719502719503,0.156565656565657,0.0639365079365079,-0.226829268292683,0.603465691899074,0.257156065678304,0.257156065678304,-0.444008488915232,0.102200577200577,0.0752164502164502,0.0752164502164502,0.0752164502164502,-0.487205612186678,-0.170766317574828,-0.269716982396461,0.351625184624881,0.316293706293706,0.333781318453878,0.294615384615385,0.314188443135812,0.29251012145749,0.26,0.257894736842105,0.2,0.2,0.347836444038976,-0.1,-0.1,0.1,0.0172831694455223,-0.190754098360656,-0.140344827586207,-0.13,-0.166865693645879
"ERK",0.174471845851156,0.19960253699049,0.179272866660819,0.14861593235425,0.100952380952381,0.145201205626073,0.0405290191440261,0.118181707018831,0.155201136719492,0.15526412891859,0.14492978241403,0.217523066817604,0.189374280154097,0.199339036177985,0.170108225108225,0.150108225108225,0.190754098360656,0.176,0.264108661857443,0.110714285714286,0.248488554623177,0.228266947974977,0.202719502719503,0.0891792263831099,-0.251635469843071,0.625196981349029,0.280305671977516,0.280305671977516,-0.468479510074386,0.124312788421699,0.102200577200577,0.102200577200577,0.102200577200577,-0.512505989804254,-0.187205917938134,-0.29422678631803,0.366694629069326,0.335591951907741,0.351625184624881,0.316293706293706,0.333781318453878,0.314188443135812,0.294615384615385,0.29251012145749,0.26,0.257894736842105,0.371413679811333,-0.0857142857142857,-0.14,0.2,0.0291959841768263,-0.204479588556734,-0.176515040352164,-0.140344827586207,-0.188314161612453
"SOSGRB2",0.273028083028083,0.295999532382511,0.251318681318681,0.212857142857143,0.192857142857143,0.316988416988417,0.227218194740583,0.283655083655084,0.249147727272727,0.244680051131664,0.239784946236559,0.286318877016551,0.333845029239766,0.316028985507246,0.304678362573099,0.288888888888889,0.233333333333333,0.2,0.34050779032627,0.3,0.388397517974983,0.347552447552448,0.309090909090909,-0.0527777777777778,-0.256491228070175,0.607004782116936,0.285062656641604,0.285062656641604,-0.445145704145704,0.31883963494133,0.27909604519774,0.27909604519774,0.27909604519774,-0.49156346853698,-0.304679637021853,-0.301061296955019,0.364189407761652,0.311594202898551,0.340671243325706,0.266666666666667,0.310144927536232,0.265217391304348,0.2,0.2,0.1,0.1,0.329455445544554,-0.2,-0.2,0,-0.0516835885963403,-0.263063063063063,-0.280952380952381,-0.247619047619048,-0.311842105263158
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.119607843137255,0.0959627329192547,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.340258620689655,0.304208512673362,0.304208512673362,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.0729623824451411,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.0666666666666667,-0.1,-0.12
"Frizzled",0.208914414838527,0.236521739130435,0.203188405797101,0.146666666666667,0.1,0.164052287581699,0.110248447204969,0.119607843137255,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.241036414565826,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.16437091503268,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.368334330468835,0.334901581980293,0.334901581980293,-0.366766881894001,0.173449819968676,0.150615174299385,0.150615174299385,0.150615174299385,-0.436741287823113,-0.0929623824451411,-0.339075126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.0666666666666667,-0.0666666666666667,-0.134285714285714
"RAS",0.283174603174603,0.307769365171811,0.255294117647059,0.22,0.22,0.286805985552116,0.20117994100295,0.261315789473684,0.157312252964427,0.149907235621521,0.151948051948052,0.189480225988701,0.212222222222222,0.306448445171849,0.173333333333333,0.166666666666667,0.116666666666667,0.1,0.254129706288192,0.2,0.277259185700099,0.226315789473684,0.2,-0.00562770562770564,-0.305357142857143,0.561394245757253,0.34350147275405,0.34350147275405,-0.380863309880002,0.149871794871795,0.205641025641026,0.205641025641026,0.205641025641026,-0.439586409882354,-0.213888888888889,-0.353569230769231,0.395081048957743,0.334803921568627,0.369302012130548,0.276470588235294,0.333917396745932,0.276470588235294,0.2,0.2,0.1,0.1,0.34703557312253,-0.2,-0.1,0,-0.0393112387298434,-0.160666666666667,-0.235,-0.26,-0.338849056603774
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.335855830910517,0.328877005347594,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.4649781869926,0.354514963880289,0.354514963880289,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673504886266412,-0.348106210167198,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.281818181818182,-0.2,-0.328674500103071
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.335855830910517,0.328877005347594,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.4649781869926,0.354514963880289,0.354514963880289,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673504886266412,-0.348106210167198,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.281818181818182,-0.2,-0.328674500103071
"DSH",0.224931730855843,0.253594909862142,0.236521739130435,0.203188405797101,0.146666666666667,0.188864317656887,0.126770186335404,0.164052287581699,0.072285295891119,0.0763983808235878,0.0631908336537765,0.13107412081289,0.176609195402299,0.258766911019727,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.179099597203222,0.0866666666666667,0.239751425045543,0.222268907563025,0.192857142857143,0.156541019955654,-0.328995675940279,0.391733631982223,0.358523629224387,0.358523629224387,-0.393975362459372,0.195578671509292,0.173449819968676,0.173449819968676,0.173449819968676,-0.46316797790213,-0.11036377455651,-0.363465370165065,0.365808492263784,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00458801214003092,-0.119417679095098,-0.119607843137255,-0.0666666666666667,-0.153166833166833
"CD44",0.312916666666667,0.308611111111111,0.2975,0.26,0.2,0.395,0.285300372142477,0.365,0.204093567251462,0.193537414965986,0.183333333333333,0.177272727272727,0.26,0.307179487179487,0.266666666666667,0.2,0.15,0.1,0.188531468531469,0.2,0.24812030075188,0.242857142857143,0.2,-0.0166666666666667,-0.238095238095238,0.429401709401709,0.361904761904762,0.361904761904762,-0.131043956043956,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.254000108565845,-0.223809523809524,-0.37754062362758,0.121472868217054,0.0233333333333333,0.0814728682170543,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.161126268689294,-0.15,-0.325,-0.3,-0.368888888888889
"PI3K",0.251049941927991,0.270526542324247,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.165873590982287,0.148179271708683,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.273537431128308,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.395363646725939,0.372030202703799,0.372030202703799,-0.396875422177051,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.471271518943182,-0.18481240981241,-0.373336824156496,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.0952380952380952,-0.0666666666666667,-0.159599224305107
"ILK",0.251049941927991,0.270526542324247,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.165873590982287,0.148179271708683,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.273537431128308,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.395363646725939,0.372030202703799,0.372030202703799,-0.396875422177051,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.471271518943182,-0.18481240981241,-0.373336824156496,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.0952380952380952,-0.0666666666666667,-0.159599224305107
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0.2,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.2,0.1,0,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.36727969348659,0.375,0.375,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.1,0,-0.26
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.370921459028898,0.349019607843137,0.116169379144063,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.448322008191805,0.326724137931034,0.275,0.301176470588235,0.26,0.401762028014479,0.2,0.41441672362725,0.376754385964912,0.332894736842105,0.323799864773496,-0.286538461538462,0.710777486540221,0.378588839941263,0.378588839941263,-0.63753975365315,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.808795441395151,-0.386470390385003,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.288235294117647,-0.2,-0.355166666666667
"cateninnuc",0.393114028048454,0.377030647112261,0.357598332701781,0.331736263736264,0.299428571428571,0.374943375346298,0.333966906739792,0.353842457915105,0.124481847142868,0.111715903923271,0.103393939393939,0.217547714104253,0.345354166666667,0.32346106260118,0.328166666666667,0.304166666666667,0.18792349726776,0.163333333333333,0.248185478563194,0.270833333333333,0.375258358118035,0.356621994481671,0.332203389830509,0.260300632619561,-0.30090640873559,0.463837825074222,0.380866805083532,0.380866805083532,-0.41006456630862,0.388710818710819,0.372717552717553,0.372717552717553,0.372717552717553,-0.492934346655912,-0.338072618838637,-0.388374286907659,0.182424681526157,0.255050909979439,0.269251524939579,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.319969982474823,-0.204693683603163,-0.327260179434092,-0.297101449275362,-0.347358944612046
"cMet",0.334435654008439,0.338398345153664,0.308611111111111,0.2975,0.26,0.389545454545455,0.314113931464511,0.395,0.213897488820089,0.202628324056895,0.193537414965986,0.202272727272727,0.2725,0.346505329876116,0.26,0.266666666666667,0.15,0.15,0.221140164183642,0.2,0.280035194368901,0.24812030075188,0.242857142857143,-0.00333333333333334,-0.261904761904762,0.472467402832366,0.391197691197691,0.391197691197691,-0.175527941809081,0.241545372866128,0.203809523809524,0.203809523809524,0.203809523809524,-0.295475935537855,-0.256067588325653,-0.40097812362758,0.149721455787676,0.0824242424242424,0.121472868217054,0.0233333333333333,0.0814728682170543,0.0233333333333333,-0.05,0.05,-0.1,0,0.0387301587301587,-0.2,-0.1,0.1,-0.132747890310915,-0.177272727272727,-0.365,-0.325,-0.394814814814815
"AKT",0.272854453206186,0.293789382203401,0.270526542324247,0.233941176470588,0.177941176470588,0.219023845271663,0.188680608526146,0.192441566790651,0.0875742731867506,0.0923497091765999,0.0798917967186875,0.14889338731444,0.195210018739431,0.297084831739929,0.276018099547511,0.252941176470588,0.115384615384615,0.1,0.202450912048333,0.2,0.2592749500696,0.236104218362283,0.203846153846154,0.196794871794872,-0.366756635177688,0.423202842705838,0.400112394484621,0.400112394484621,-0.428170019526695,0.243100424469627,0.21635343651782,0.21635343651782,0.21635343651782,-0.502786670458334,-0.205376925941442,-0.401144310787512,0.40056587885934,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00412094672695625,-0.132051282051282,-0.148179271708683,-0.0952380952380952,-0.183822826789579
