"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","TWIST1","ILK","SHH","AKT","IKK","SMO","NFB","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","SNAI2","ZEB2","ZEB1","KLF4","RAS","RAF","PI3K","DELTA","cateninmemb","miR200","GSK3","Ecadherin","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0841447440643209,0.0581066642562986,0.0608160238622099,0.0564135081389395,0.0418973791066814,0.0753531092067677,0.118812755612756,0.0653333333333333,0.072650406504065,0.0653333333333333,0.0144702265783515,0.0191916133783756,-0.00385406680634006,0.016860007160759,-0.0952829959710694,0.0642384994676038,0.0669412021703065,-0.0882275132275132,0.0659511031604055,-0.142567551410808,-0.0898148148148148,0.058974358974359,-0.0274242831541219,-0.0244242831541219,-0.0250694444444444,-0.0351928705795196,-0.181658267451697,0.210404012551236,0.210404012551236,-0.216565808360233,0.0360030567727881,0.0348512243120551,0.0348512243120551,0.0348512243120551,-0.0272781687626521,-0.22168326358908,-0.115185546659362,-0.0283992449958359,-0.109348579500942,-0.114571079444705,-0.111414193109691,-0.113749161636486,-0.113622395002435,-0.10952380952381,-0.11306990881459,-0.10952380952381,-0.10952380952381,-0.10952380952381,-0.182773674795884,-0.0666666666666667,0.108333333333333,-0.123809523809524,0.00879773495974904,0.092989417989418,-0.142182152111393
"AXIN2",0.133508316299648,0.092469025451372,0.086837957490207,0.0792237442922374,0.0833333333333333,0.126848484848485,0.174428688285499,0.153333333333333,0.125333333333333,0.133333333333333,0.0200620139531395,0.0207148844825521,-0.0033250303358999,0.0230209641471224,-0.132037874979051,0.115874593946883,0.114669774669775,-0.137179487179487,0.113131313131313,-0.183019916439048,-0.15,0.122222222222222,-0.0253964668871501,-0.0281632653061224,-0.0342857142857143,-0.0590199034323043,-0.233344203830994,0.2577388681225,0.2577388681225,-0.260149297448386,0.0958055013900384,0.0956418352689255,0.0956418352689255,0.0956418352689255,-0.0239329496647144,-0.271224897550489,-0.192479786352691,-0.0275649109237943,-0.181540709189135,-0.182871372967744,-0.182773674795884,-0.182434691745037,-0.182434691745037,-0.188181818181818,-0.182434691745037,-0.188181818181818,-0.203333333333333,-0.203333333333333,0.228134172425817,-0.133333333333333,0.15,-0.22,0.18400956231187,0.131297134238311,-0.194014616125924
"Wnt",0.175218295218295,0.201212121212121,0.146666666666667,0.1,0.1,0.119607843137255,0.101298701298701,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.215945945945946,0.058974358974359,0.105454545454545,0.136666666666667,0.0866666666666667,0.05,0.0666666666666667,0.14117816091954,0,0.1,0.190683229813665,0.142857142857143,0.1,0.0939393939393939,0.326161616161616,0.304208512673362,0.304208512673362,-0.262745098039216,0.140873015873016,0.115873015873016,0.115873015873016,0.115873015873016,-0.346732215153268,-0.306262626262626,-0.0636243386243386,-0.387311925298195,0.298734885803851,0.267857142857143,0.281493506493506,0.242857142857143,0.267857142857143,0.3,0.242857142857143,0.2,0.2,0.1,0.298461538461538,-0.1,0,0,-0.0394444444444444,-0.0954545454545455,-0.12
"HEY1",0.360406349206349,0.338897488820089,0.30687134502924,0.28187134502924,0.255555555555556,0.342296564195298,0.307595382145944,0.2,0.315714285714286,0.28,0.109033613445378,0.10050505050505,0.381550554708449,0.0893939393939394,0.278547008547009,0.316666666666667,0.283333333333333,0.22,0.25,0.291252007375245,0.2,0.2,0.340281058101086,0.306034482758621,0.275,0.242857142857143,0.437791335393763,0.337417027417027,0.337417027417027,-0.255797101449275,0.368365357839042,0.345614035087719,0.345614035087719,0.345614035087719,-0.644070054945055,-0.346232670283303,-0.318026110068793,-0.680686757300515,0.331078463789731,0.293542568542569,0.314155386866654,0.262987012987013,0.292564477775745,0.227272727272727,0.262987012987013,0.227272727272727,0.2,0.2,0.363739157666977,-0.1,-0.2,0.2,0.304212923214752,-0.250769230769231,-0.306317204301075
"FOXC2",0.360406349206349,0.338897488820089,0.30687134502924,0.28187134502924,0.255555555555556,0.342296564195298,0.307595382145944,0.2,0.315714285714286,0.28,0.109033613445378,0.10050505050505,0.381550554708449,0.0893939393939394,0.278547008547009,0.316666666666667,0.283333333333333,0.22,0.25,0.291252007375245,0.2,0.2,0.340281058101086,0.306034482758621,0.275,0.242857142857143,0.437791335393763,0.337417027417027,0.337417027417027,-0.255797101449275,0.368365357839042,0.345614035087719,0.345614035087719,0.345614035087719,-0.644070054945055,-0.346232670283303,-0.318026110068793,-0.680686757300515,0.331078463789731,0.293542568542569,0.314155386866654,0.262987012987013,0.292564477775745,0.227272727272727,0.262987012987013,0.227272727272727,0.2,0.2,0.363739157666977,-0.1,-0.2,0.2,0.304212923214752,-0.250769230769231,-0.306317204301075
"Frizzled",0.208551628551629,0.233170884098719,0.201212121212121,0.146666666666667,0.1,0.163004069552349,0.110542398777693,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.232429462429462,0.0566487775790101,0.110539291217257,0.159247311827957,0.136666666666667,0.0954545454545455,0.0866666666666667,0.146925287356322,0.05,0.0666666666666667,0.214087485132814,0.190683229813665,0.142857142857143,0.125189393939394,0.350589097077647,0.337541846006695,0.337541846006695,-0.300840336134454,0.157990132990133,0.140873015873016,0.140873015873016,0.140873015873016,-0.387311925298195,-0.341183261183261,-0.07927059712774,-0.421429572357019,0.318734885803851,0.281493506493506,0.298734885803851,0.267857142857143,0.281493506493506,0.242857142857143,0.267857142857143,0.242857142857143,0.3,0.2,0.321318681318681,-0.1,0,0.1,-0.0280520393811533,-0.105454545454545,-0.138518518518519
"cateninnuc",0.351478873239437,0.326348105306389,0.308740131884462,0.280406798551128,0.244324324324324,0.340075786601226,0.291347498103546,0.271111111111111,0.319175465057818,0.292679738562092,0.110382279011311,0.101139057617631,0.284545515825597,0.0930404660683357,0.110049444650894,0.29747465437788,0.284571428571429,0.0885869565217391,0.261904761904762,0.120421414844049,0.0625,0.228571428571429,0.30751513033533,0.293425783256292,0.26969696969697,0.21049632450156,0.423630088704829,0.357809326886639,0.357809326886639,-0.283855606758833,0.332510923840188,0.318497318398011,0.318497318398011,0.318497318398011,-0.472962555078596,-0.3651808030291,-0.296907286596008,-0.496613588865787,0.0682200668917095,0.14106824548001,0.154465420051561,0.127496816908582,0.139783979608347,0.111306340718105,0.125805484984692,0.109615008794215,0.0840336134453781,0.0840336134453781,0.331078463789731,-0.2,-0.025,0.0428571428571429,0.271071064547643,-0.101407469342252,-0.315465186893758
"DSH",0.220932580932581,0.24576930929557,0.233170884098719,0.201212121212121,0.146666666666667,0.186813593361873,0.122923351158645,0.0666666666666667,0.163004069552349,0.119607843137255,0.072285295891119,0.0759321463950892,0.245762795762796,0.0631908336537765,0.119148562740436,0.170090685321933,0.159247311827957,0.105454545454545,0.136666666666667,0.159032910674707,0.0954545454545455,0.0866666666666667,0.225898508754861,0.214087485132814,0.190683229813665,0.149864718614719,0.372647920607058,0.359990825598532,0.359990825598532,-0.331533405441384,0.176533179347749,0.157990132990133,0.157990132990133,0.157990132990133,-0.421429572357019,-0.36547348200345,-0.0936337407591763,-0.446571779410489,0.33582031293953,0.298442659035879,0.318734885803851,0.281493506493506,0.298734885803851,0.267857142857143,0.281493506493506,0.267857142857143,0.242857142857143,0.242857142857143,0.340673520028359,-0.0666666666666667,-0.05,0.2,-0.0172572588354831,-0.110539291217257,-0.15322440087146
"SNAI2",0.403528664494459,0.386235778261922,0.353725490196078,0.320392156862745,0.273333333333333,0.378630820399113,0.348906303661282,0.2,0.342045454545455,0.2875,0.115079365079365,0.109304029304029,0.423520066889632,0.0928205128205128,0.337142857142857,0.352571428571429,0.315428571428571,0.278571428571429,0.271428571428571,0.36431468981035,0.25,0.2,0.38950160950161,0.354458874458874,0.318095238095238,0.297919222207078,0.691766988337247,0.365909090909091,0.365909090909091,-0.279047619047619,0.417124095041973,0.390372502685285,0.390372502685285,0.390372502685285,-0.777241692664987,-0.374733234459276,-0.361388972080796,-0.818763722037484,0.409069439312345,0.364323120065495,0.388909225694188,0.333230683090705,0.363739157666977,0.301315789473684,0.333230683090705,0.301315789473684,0.275,0.275,0.418380980532917,-0.1,-0.2,0.25,0.353938854079268,-0.308571428571429,-0.338565079365079
"RAF",0.294816490698844,0.319075358298659,0.267619047619048,0.22,0.2,0.227666911225238,0.218551384719621,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.366933170029145,0.153754813863928,0.206033898305085,0.156168831168831,0.110714285714286,0.14,0.0857142857142857,0.248940242763772,0.1,0.1,0.208565656565657,0.156565656565657,0.111111111111111,0.0613968253968254,0.613256217466744,0.372663797226208,0.372663797226208,-0.332663797226208,0.0871272808188696,0.0488095238095238,0.0488095238095238,0.0488095238095238,-0.485669362084456,-0.380952950808151,-0.15712141971684,-0.530767401300143,0.351368429750936,0.307575757575758,0.330176376770804,0.266666666666667,0.305614973262032,0.2,0.264705882352941,0.2,0.1,0.1,0.329623188405797,-0.1,-0.1,0,0.00863756427059179,-0.184,-0.226050420168067
"PI3K",0.250689223057644,0.267760017050298,0.232107843137255,0.177941176470588,0.125,0.191512605042017,0.166386983375241,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.26613085573286,0.0694917967186875,0.12504347826087,0.273993808049536,0.252941176470588,0.1,0.2,0.16956798382541,0.05,0.166666666666667,0.229586206896552,0.202,0.15,0.161538461538462,0.381880520840149,0.374369563996604,0.374369563996604,-0.336842105263158,0.20363522557658,0.178053830227743,0.178053830227743,0.178053830227743,-0.421490961508493,-0.375187990391224,-0.173404742916334,-0.460379850397382,0.356467028510824,0.313076923076923,0.334244806288602,0.29,0.313076923076923,0.25,0.29,0.25,0.2,0.2,0.344553580892485,-0.2,0,0.1,-0.036674629718108,-0.112,-0.163253413253413
"ILK",0.250689223057644,0.267760017050298,0.232107843137255,0.177941176470588,0.125,0.191512605042017,0.166386983375241,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.26613085573286,0.0694917967186875,0.12504347826087,0.273993808049536,0.252941176470588,0.1,0.2,0.16956798382541,0.05,0.166666666666667,0.229586206896552,0.202,0.15,0.161538461538462,0.381880520840149,0.374369563996604,0.374369563996604,-0.336842105263158,0.20363522557658,0.178053830227743,0.178053830227743,0.178053830227743,-0.421490961508493,-0.375187990391224,-0.173404742916334,-0.460379850397382,0.356467028510824,0.313076923076923,0.334244806288602,0.29,0.313076923076923,0.25,0.29,0.25,0.2,0.2,0.344553580892485,-0.2,0,0.1,-0.036674629718108,-0.112,-0.163253413253413
"SHH",0.342857142857143,0.425,0.4,0.3,0.2,0.3,0.27,0,0.2,0.1,0.0666666666666667,0.1,0.176190476190476,0.0666666666666667,0.233333333333333,0.15,0.1,0.3,0,0.133333333333333,0.2,0,0.22,0.2,0.1,0.25,0.347402597402597,0.375,0.375,-0.3,0.278787878787879,0.233333333333333,0.233333333333333,0.233333333333333,-0.283333333333333,-0.383333333333333,-0.247272727272727,-0.348850574712644,0.150815850815851,0.133333333333333,0.096969696969697,0.1,0.0333333333333333,0.2,0,0.1,0.2,0.1,0.22,0,-0.2,0,0.237037037037037,-0.333333333333333,-0.26
"RAS",0.344765729585007,0.36680926916221,0.315294117647059,0.28,0.26,0.315727554179567,0.305405405405405,0.26,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.371263552138774,0.156709956709957,0.191701149425287,0.212222222222222,0.173333333333333,0.116666666666667,0.166666666666667,0.253732303732304,0.1,0.2,0.276315789473684,0.226315789473684,0.2,0.0125541125541125,0.569624974832304,0.398696612665685,0.398696612665685,-0.356428571428571,0.149459362692445,0.204561403508772,0.204561403508772,0.204561403508772,-0.41160119047619,-0.407661538461538,-0.212575757575758,-0.462351941226941,0.390188000366313,0.333139534883721,0.366722296395194,0.275,0.332142857142857,0.2,0.275,0.2,0.1,0.1,0.346031746031746,-0.2,-0.1,0,-0.0439180924895211,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.369592822636301,0.391181519210716,0.343736263736264,0.301428571428571,0.271428571428571,0.359400959400959,0.354883873316345,0.276190476190476,0.323037323037323,0.30952380952381,0.261647727272727,0.259196932100158,0.398236434108527,0.252903225806452,0.297039897039897,0.338011695906433,0.304678362573099,0.233333333333333,0.288888888888889,0.35026518804243,0.2,0.3,0.392479983784332,0.347552447552448,0.309090909090909,-0.0272222222222222,0.637119191786711,0.400588972431078,0.400588972431078,-0.362017543859649,0.327658802177858,0.284210526315789,0.284210526315789,0.284210526315789,-0.506698481163676,-0.410651126415904,-0.310134893299072,-0.553914976009037,0.379456281290022,0.322727272727273,0.354761904761905,0.272727272727273,0.321428571428571,0.2,0.271428571428571,0.2,0.1,0.1,0.34,-0.2,-0.2,0,-0.0472575136217486,-0.268468468468469,-0.381834795321637
"AKT",0.269541682074038,0.287354611644893,0.267760017050298,0.232107843137255,0.177941176470588,0.217340419611553,0.185733032421563,0.0952380952380952,0.191512605042017,0.148179271708683,0.0875742731867506,0.0919192881276222,0.285416570018575,0.0798917967186875,0.13916777204618,0.189783281733746,0.273993808049536,0.112,0.252941176470588,0.185598518176555,0.1,0.2,0.247953553835327,0.229586206896552,0.202,0.190950226244344,0.408076994391786,0.401578044561975,0.401578044561975,-0.369016018306636,0.22679906738449,0.20363522557658,0.20363522557658,0.20363522557658,-0.460379850397382,-0.403011681851279,-0.190694462542503,-0.490780632411067,0.375257525271083,0.333940232429441,0.356467028510824,0.313076923076923,0.334244806288602,0.29,0.313076923076923,0.29,0.25,0.25,0.37000812634703,-0.166666666666667,-0.05,0.2,-0.0241364034184138,-0.12504347826087,-0.184032634032634
"MEK",0.332911728794082,0.357658035464014,0.319075358298659,0.267619047619048,0.22,0.173429623089645,0.239639820093771,0.17,0.227666911225238,0.187241379310345,0.163218245169465,0.165950203144554,0.394433170029145,0.156725110893631,0.220516656925774,0.183879674542325,0.156168831168831,0.184,0.110714285714286,0.263358847414935,0.14,0.0857142857142857,0.240849121132586,0.208565656565657,0.156565656565657,0.0909422799422799,0.643754751191084,0.409760571419756,0.409760571419756,-0.369918699186992,0.116837425746406,0.0871272808188696,0.0871272808188696,0.0871272808188696,-0.530767401300143,-0.41825702604326,-0.180198342793763,-0.570106055804134,0.372572946689456,0.33213716108453,0.351368429750936,0.307575757575758,0.330176376770804,0.266666666666667,0.305614973262032,0.264705882352941,0.2,0.2,0.365142314088857,-0.1,-0.1,0.1,0.0240989109040083,-0.206033898305085,-0.255780149897797
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.415,0.373019670388091,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.355806938159879,0.183333333333333,0.177272727272727,0.26,0.266666666666667,0.15,0.2,0.193076923076923,0.1,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,0.447875249355325,0.420634920634921,0.420634920634921,-0.277777777777778,0.207843137254902,0.166666666666667,0.166666666666667,0.166666666666667,-0.23640350877193,-0.431699604743083,-0.226646403242148,-0.29461246399581,0.147254604400911,0.0357142857142857,0.104135338345865,-0.05,0.0357142857142857,-0.1,0.05,0,0,0.1,-0.0115789473684211,-0.1,-0.1,0.1,-0.152635046113307,-0.15,-0.423703703703704
"IKK",0.493709657776154,0.523212529849698,0.467460317460317,0.405555555555556,0.35,0.251584415584416,0.286538461538462,0.1,0.178857142857143,0.142857142857143,0.181940144478844,0.18578795379538,0.521181229773463,0.172916666666667,0.246908563134978,0.31984126984127,0.264285714285714,0.18,0.314285714285714,0.269994639506835,0.12,0.3,0.356331738437002,0.305454545454545,0.245454545454545,0.300108225108225,0.647359909780516,0.424561403508772,0.424561403508772,-0.363369963369963,0.368273645546373,0.327777777777778,0.327777777777778,0.327777777777778,-0.621266233766234,-0.428215579710145,-0.211550288974477,-0.677124544392937,0.411490278951817,0.353857142857143,0.383087912087912,0.317857142857143,0.353857142857143,0.275,0.317857142857143,0.275,0.2,0.2,0.388677009265245,-0.2,-0.1,0.1,0.11885875576108,-0.226153846153846,-0.275988700564972
"Csn",0.245392981995853,0.269310673210754,0.247920298879203,0.205454545454545,0.145454545454545,0.241189237916927,0.15454032838879,0.106666666666667,0.208580542264753,0.161212121212121,0.0753737541528239,0.0820529869343583,0.279867179001298,0.0687370600414079,0.129424353722416,0.200992907801418,0.182659574468085,0.106051587301587,0.155,0.168247613659684,0.0873015873015873,0.105,0.25242843178327,0.233073593073593,0.19974025974026,0.167261904761905,0.42180902812729,0.434357275141834,0.434357275141834,-0.399067025689542,0.220569683305532,0.196695809431658,0.196695809431658,0.196695809431658,-0.46964620821789,-0.442572916424452,-0.134052481942233,-0.502218506543613,0.393355361915874,0.349073203949608,0.372648291208804,0.328848484848485,0.349538140020899,0.307636363636364,0.328848484848485,0.307636363636364,0.263636363636364,0.263636363636364,0.388009883198562,-0.18,-0.0428571428571429,0.2,0.0295229834755191,-0.118411137863385,-0.174920672111394
"ERK",0.356881766247265,0.381732109538088,0.357658035464014,0.319075358298659,0.267619047619048,0.205791139124631,0.25883173928569,0.187241379310345,0.173429623089645,0.227666911225238,0.175163637660932,0.177095713980467,0.415675000094505,0.165950203144554,0.234282890692008,0.205033520696171,0.183879674542325,0.206033898305085,0.156168831168831,0.278891133627849,0.184,0.110714285714286,0.263209369579791,0.240849121132586,0.208565656565657,0.11774640365362,0.669915566593122,0.439287488222366,0.439287488222366,-0.403776966903527,0.140832237678961,0.116837425746406,0.116837425746406,0.116837425746406,-0.570106055804134,-0.449396266549589,-0.198293580889001,-0.601804673726559,0.391280096542541,0.35291638186375,0.372572946689456,0.33213716108453,0.351368429750936,0.307575757575758,0.330176376770804,0.305614973262032,0.266666666666667,0.264705882352941,0.391740252233187,-0.0857142857142857,-0.14,0.2,0.0368668512581555,-0.220516656925774,-0.279533815586947
