"","FOXC2","TGF","TGFR","CDC42","PAK1","SOSGRB2","SNAI1","HEY1","SMAD","ILK","SHH","TWIST1","AKT","IKK","NFB","SMO","Csn","FUS","Jagged","NOTCH","NOTCHic","Csl","KLF4","cateninmemb","ZEB2","ZEB1","SNAI2","RAS","PI3K","DELTA","GSK3","EGR1","Ecadherin","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched"
"AXIN2",0.105751242605072,0.0606944515136606,0.0620503837170504,0.0647530864197531,0.0783333333333333,-0.0637213888071815,0.147499885101832,0.00782148608235565,0.00814543071870658,0.010563013136289,-0.160695852648801,-0.0403024247998748,0.0964528994994516,0.101716057394188,0.109178743961353,-0.157692307692308,0.122222222222222,-0.157692307692308,-0.224299149394992,-0.0566017038160812,-0.0541626794258373,-0.0505263157894737,-0.250926569979732,0.250609420745065,0.240591951544727,0.240591951544727,-0.282710583939479,0.066537470329992,0.0692771963573893,0.0692771963573893,-0.166239178052128,0,0.0660939889331341,-0.255130016874358,-0.241186085778897,-0.237208142308837,-0.239134579886274,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.160808697563112,0.15862688713156
"Wnt",0.171402714932127,0.199047619047619,0.146666666666667,0.1,0.1,0.225,0.0923351158645276,0.0506410256410256,0.0399267399267399,0.0399267399267399,0.0976190476190476,0.217385620915033,0.12952380952381,0.0866666666666667,0.0666666666666667,0.05,0.1,0,0.145416666666667,0.188311688311688,0.142857142857143,0.1,-0.262745098039216,-0.333534482758621,0.297880233174351,0.297880233174351,0.332581453634085,0.163246753246753,0.131428571428571,0.131428571428571,-0.0722412807318468,0,-0.397600732600733,-0.301699346405229,0.326638023630505,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0163806732099335,-0.0833333333333333
"Frizzled",0.203902714932127,0.232380952380952,0.199047619047619,0.146666666666667,0.1,0.272826086956522,0.110979183661138,0.0506410256410256,0.0477919084660658,0.0399267399267399,0.109483454398709,0.237773970429596,0.158095238095238,0.12952380952381,0.0866666666666667,0.0833333333333333,0.0666666666666667,0.05,0.157916666666667,0.22022658192871,0.188311688311688,0.142857142857143,-0.294324045407637,-0.36290742005235,0.328406548963824,0.328406548963824,0.359792337987827,0.18929717341482,0.163246753246753,0.163246753246753,-0.0940955853676084,0,-0.430443869855635,-0.3322078209815,0.344285082454034,0.308270676691729,0.326638023630505,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00217302293670942,-0.0976190476190476
"SOSGRB2",0.25546218487395,0.272368421052632,0.225,0.2,0.2,0.233333333333333,0.205454545454545,0.153333333333333,0.0472727272727273,0.0472727272727273,0.0717948717948718,0.297402597402597,0.191666666666667,0.166666666666667,0.2,0,0.2,0,0.121645021645022,0.24,0.2,0.2,-0.29,-0.334322033898305,0.329130434782609,0.329130434782609,0.327680311890838,0.266666666666667,0.204761904761905,0.204761904761905,-0.123626373626374,0,-0.399394079289053,-0.338461538461538,0.356676656676657,0.263636363636364,0.320779220779221,0.2,0.263636363636364,0.2,0.1,0.1,0,0,0.271428571428571,-0.1,0,0,-0.0436954824695381,-0.0333333333333333
"DSH",0.223359728506787,0.252236548048822,0.232380952380952,0.199047619047619,0.146666666666667,0.320367070563079,0.12904369979017,0.0610576923076923,0.0572746670867554,0.0477919084660658,0.122586902674571,0.256292488948114,0.174761904761905,0.158095238095238,0.12952380952381,0.0976190476190476,0.0866666666666667,0.0833333333333333,0.172323446327684,0.238798010500138,0.22022658192871,0.188311688311688,-0.322159096954029,-0.388152518091566,0.352982820150265,0.352982820150265,0.38128302121764,0.212093525998407,0.18929717341482,0.18929717341482,-0.109383805918987,0,-0.456397358227728,-0.358181846955526,0.360133089868307,0.326391482060857,0.344285082454034,0.308270676691729,0.326638023630505,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.363282369558445,-0.0666666666666667,-0.05,0.2,0.00939967736002648,-0.109483454398709
"HEY1",0.389351179673321,0.372989401403195,0.340969696969697,0.307636363636364,0.263636363636364,0.362464985994398,0.331572901174419,0.100357142857143,0.0861217347831521,0.0774603174603175,0.318426197458456,0.411925192519252,0.338706199460916,0.302857142857143,0.26,0.266666666666667,0.2,0.233333333333333,0.350676010678871,0.375629984051037,0.342296650717703,0.305454545454545,-0.266666666666667,-0.592660505579354,0.353725490196078,0.353725490196078,0.460873586148506,0.402454952621095,0.376500754147813,0.376500754147813,-0.341897785594739,0,-0.672538098540802,-0.361945701357466,0.395445557923643,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.343208998749,-0.295698924731183
"FOXC2",0.389351179673321,0.372989401403195,0.340969696969697,0.307636363636364,0.263636363636364,0.362464985994398,0.331572901174419,0.100357142857143,0.0861217347831521,0.0774603174603175,0.318426197458456,0.411925192519252,0.338706199460916,0.302857142857143,0.26,0.266666666666667,0.2,0.233333333333333,0.350676010678871,0.375629984051037,0.342296650717703,0.305454545454545,-0.266666666666667,-0.592660505579354,0.353725490196078,0.353725490196078,0.460873586148506,0.402454952621095,0.376500754147813,0.376500754147813,-0.341897785594739,0,-0.672538098540802,-0.361945701357466,0.395445557923643,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.343208998749,-0.295698924731183
"PI3K",0.246346285495222,0.266867226266203,0.230115089514067,0.177941176470588,0.125,0.293846153846154,0.165445344129555,0.0647843137254902,0.0655366705567833,0.0567988064791134,0.12422519509476,0.271031746031746,0.272380952380952,0.246666666666667,0.2,0.09,0.166666666666667,0.05,0.178428722840488,0.23448275862069,0.2,0.15,-0.331539074960128,-0.393901582871844,0.366820414060541,0.366820414060541,0.388898719245029,0.229650793650794,0.19631746031746,0.19631746031746,-0.179768752482299,0,-0.466653785058529,-0.36762360446571,0.377664899247276,0.332612411742847,0.356311833708164,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0135853404051822,-0.105384615384615
"ILK",0.246346285495222,0.266867226266203,0.230115089514067,0.177941176470588,0.125,0.293846153846154,0.165445344129555,0.0647843137254902,0.0655366705567833,0.0567988064791134,0.12422519509476,0.271031746031746,0.272380952380952,0.246666666666667,0.2,0.09,0.166666666666667,0.05,0.178428722840488,0.23448275862069,0.2,0.15,-0.331539074960128,-0.393901582871844,0.366820414060541,0.366820414060541,0.388898719245029,0.229650793650794,0.19631746031746,0.19631746031746,-0.179768752482299,0,-0.466653785058529,-0.36762360446571,0.377664899247276,0.332612411742847,0.356311833708164,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0135853404051822,-0.105384615384615
"RAS",0.30546218487395,0.325095693779904,0.272368421052632,0.225,0.2,0.273333333333333,0.234486803519062,0.153333333333333,0.050976430976431,0.0472727272727273,0.093006993006993,0.349402597402597,0.236111111111111,0.191666666666667,0.166666666666667,0.0333333333333333,0.2,0,0.153645021645022,0.291724137931034,0.24,0.2,-0.329130434782609,-0.379443985117817,0.371438127090301,0.371438127090301,0.374433558644085,0.211494252873563,0.266666666666667,0.266666666666667,-0.163626373626374,0,-0.450992252805035,-0.379638009049774,0.383861122696074,0.320779220779221,0.356676656676657,0.263636363636364,0.320779220779221,0.263636363636364,0.2,0.2,0.1,0.1,0.333333333333333,-0.2,0,0,-0.0129692254862978,-0.0717948717948718
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0.0666666666666667,0.0939393939393939,0.0666666666666667,0.253333333333333,0.2,0.15,0.1,0,0.3,0,0.2,0.162857142857143,0.233333333333333,0.2,0.1,-0.3,-0.299068100358423,0.375,0.375,0.365555555555556,0.303846153846154,0.25,0.25,-0.266666666666667,0,-0.341666666666667,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333
"cateninnuc",0.388748850716023,0.373590584231559,0.354714179737177,0.330678571428571,0.299428571428571,0.375947368421053,0.328109838708401,0.103137000254647,0.0847259132233787,0.0785339627589824,0.205823115135509,0.320596092155147,0.339888854697849,0.323359929078014,0.302083333333333,0.178947368421053,0.270833333333333,0.159649122807018,0.241401352610538,0.372235908178611,0.353926049023681,0.331034482758621,-0.297407407407407,-0.407892124241504,0.376397805600365,0.376397805600365,0.456022217710393,0.392339551185259,0.375408334254042,0.375408334254042,-0.330379476512657,0,-0.488844537884569,-0.383978062608354,0.180195183119536,0.254721529215275,0.268024683960815,0.238054862548609,0.253760533017419,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395445557923643,-0.233333333333333,-0.133333333333333,0.160606060606061,0.32227417220426,-0.193786078098472
"SNAI2",0.424990065372035,0.411118787258493,0.375493787258493,0.333613445378151,0.276470588235294,0.394675324675325,0.367968021481982,0.108014974900026,0.0958333333333333,0.0833333333333333,0.360980392156863,0.44790275353342,0.368187552565181,0.326724137931034,0.275,0.301176470588235,0.2,0.26,0.39931002206137,0.414009287925697,0.376754385964912,0.332894736842105,-0.286538461538462,-0.637471215494354,0.378111111111111,0.378111111111111,0.707766747499982,0.443315343663481,0.413268395306674,0.413268395306674,-0.381593332041093,0,-0.808186233998073,-0.386215773766785,0.449418177528942,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.386599152955643,-0.334509803921569
"AKT",0.271346285495222,0.292723924085518,0.266867226266203,0.230115089514067,0.177941176470588,0.344570791527313,0.188479051994723,0.0764960254372019,0.0746275796476924,0.0655366705567833,0.140891861761427,0.295476190476191,0.193214285714286,0.272380952380952,0.246666666666667,0.105384615384615,0.2,0.09,0.196544664869473,0.258706361105162,0.23448275862069,0.2,-0.361268804689857,-0.423648418314882,0.396017494352512,0.396017494352512,0.415045997793588,0.257882983624408,0.229650793650794,0.229650793650794,-0.198734269723678,0,-0.497803944802938,-0.397002135539156,0.395977001158104,0.356040983171418,0.377664899247276,0.332612411742847,0.356311833708164,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.38789010989011,-0.166666666666667,-0.05,0.2,0.000969454115365764,-0.12422519509476
"CD44",0.347863247863248,0.333333333333333,0.34,0.3,0.2,0.333333333333333,0.221428571428571,0.0944444444444444,0.0555555555555556,0.0444444444444444,0.00909090909090909,0.205833333333333,0.15,0.15,0.1,0,0.1,0,0.02,0.12,0.12,0.1,-0.275,-0.0408888888888889,0.411842105263158,0.411842105263158,0.0898989898989899,0.096078431372549,0.0666666666666667,0.0666666666666667,-0.012987012987013,0,-0.204094368340944,-0.422463768115942,0.0388888888888889,-0.0444444444444444,0.00555555555555556,-0.1,-0.0444444444444444,0,-0.1,0,0,0.1,-0.1,-0.1,0,0.1,-0.108611111111111,0
"IKK",0.494432234432234,0.526456876456876,0.469191919191919,0.405555555555556,0.35,0.437962962962963,0.285196279812849,0.165098039215686,0.164507345491388,0.153869047619048,0.24671664167916,0.529607843137255,0.315800865800866,0.264285714285714,0.314285714285714,0.18,0.3,0.12,0.281958762886598,0.359901680240663,0.307359307359307,0.245454545454545,-0.363369963369963,-0.568675279522737,0.421766372452871,0.421766372452871,0.656067111795925,0.389426241660489,0.342947368421053,0.342947368421053,-0.222210976158345,0,-0.680529860774043,-0.426217628890473,0.438328014379517,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.143719910091489,-0.219130434782609
"Csn",0.245665590442049,0.273589972059917,0.245688737492016,0.202831594634873,0.145454545454545,0.335769459298871,0.157425035868006,0.0619931792345585,0.0629048634379125,0.0527007818052594,0.130385562244932,0.289069581314046,0.203504525777253,0.181190476190476,0.147857142857143,0.0974025974025974,0.105,0.0761904761904762,0.18055176520049,0.263304963470664,0.237814767392232,0.196969696969697,-0.390025865946919,-0.436600737209884,0.426549778061892,0.426549778061892,0.42903255851627,0.258199087613872,0.228762761935375,0.228762761935375,-0.148610272954774,0,-0.508793552088841,-0.434772211326593,0.413965753464509,0.37227810266891,0.394566504403183,0.348511286525412,0.372712199767421,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.405884365994236,-0.18,-0.0428571428571429,0.2,0.0571951748162659,-0.114256529986867
"STAT",0.207129321800536,0.203192645804833,0.186936488169365,0.160909090909091,0.140909090909091,0.103864734299517,0.131193478661226,0.0414500442086649,0.0477922642329422,0.0439461103867883,0.0506056403143782,0.0728948333429834,0.0337971365194596,0.0269005847953216,0.0111111111111111,0.0342857142857143,0,0.0142857142857143,0.0604679802955665,0.0291456582633053,0.0173809523809524,-0.00833333333333333,-0.317272727272727,-0.0577383193961307,0.430102264884874,0.430102264884874,0.0917709901495399,-0.0249296536796537,-0.0384217171717172,-0.0384217171717172,0.0731829573934837,0,-0.19671672666393,-0.446607778186726,0.0277255249202057,0.00965007215007215,0.0191680677074917,-0.00146103896103896,0.009843308865048,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.044031284031284,0,0,0,-0.0596371556429684,-0.0438095238095238
"cMet",0.361376761376761,0.355072463768116,0.333333333333333,0.34,0.3,0.366666666666667,0.249428571428571,0.105555555555556,0.0638888888888889,0.0555555555555556,0.035016835016835,0.237540650406504,0.143333333333333,0.15,0.15,0,0.1,0,0.0515789473684211,0.136666666666667,0.12,0.12,-0.311842105263158,-0.0804572342126299,0.439114832535885,0.439114832535885,0.124819624819625,0.130861040068201,0.096078431372549,0.096078431372549,-0.0399100899100899,0,-0.239649923896499,-0.451277327437976,0.0652046783625731,0.00555555555555556,0.0388888888888889,-0.0444444444444444,0.00555555555555556,-0.0444444444444444,-0.1,0,-0.1,0,-0.05625,-0.1,0,0.1,-0.0856381381381381,-0.00909090909090909
"SRC",0.364602784602785,0.35808082078105,0.327646038172354,0.306593406593407,0.314285714285714,0.225396825396825,0.2575,0.0910837130349325,0.0567794901128234,0.058014058014058,0.0512842712842713,0.223561424569828,0.151851851851852,0.133333333333333,0.133333333333333,0.0111111111111111,0.133333333333333,0,0.0664235624123422,0.148888888888889,0.12,0.1,-0.325714285714286,-0.0837068549873791,0.449110807113543,0.449110807113543,0.123795288537257,0.161100881100881,0.136776556776557,0.136776556776557,-0.0440579710144927,0,-0.235854263244078,-0.461272141706924,0.0566498482950925,0.0217171717171717,0.041996891996892,-0.00555555555555556,0.0217171717171717,-0.00555555555555556,-0.05,-0.05,-0.1,0,-0.0371771906254665,-0.1,0,0,-0.0673812580231065,-0.0349206349206349
"Jagged",0.309523809523809,0.329468599033816,0.255555555555556,0.2,0.2,0.25,0.249855072463768,0.153333333333333,0.0533333333333333,0.0533333333333333,0.114652014652015,0.290217391304348,0.0833333333333333,0.0333333333333333,0,0.0333333333333333,0,0,0.162857142857143,0.229230769230769,0.16,0.1,-0.405555555555556,-0.431428571428571,0.457936507936508,0.457936507936508,0.436606060606061,0.272727272727273,0.2,0.2,-0.240740740740741,0,-0.51088963963964,-0.469264069264069,0.349516775359472,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.309132420091324,-0.0761904761904762
"DELTA",0.309523809523809,0.329468599033816,0.255555555555556,0.2,0.2,0.25,0.249855072463768,0.153333333333333,0.0533333333333333,0.0533333333333333,0.114652014652015,0.290217391304348,0.0833333333333333,0.0333333333333333,0,0.0333333333333333,0,0,0.162857142857143,0.229230769230769,0.16,0.1,-0.405555555555556,-0.431428571428571,0.457936507936508,0.457936507936508,0.436606060606061,0.272727272727273,0.2,0.2,-0.240740740740741,0,-0.51088963963964,-0.469264069264069,0.349516775359472,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.309132420091324,-0.0761904761904762
"NFB",0.537528468741858,0.569877929088455,0.526456876456876,0.469191919191919,0.405555555555556,0.497962962962963,0.316608383559247,0.179383753501401,0.176788047245774,0.164507345491388,0.271244943565953,0.564012987831789,0.357264280435012,0.315800865800866,0.264285714285714,0.219130434782609,0.314285714285714,0.18,0.307420017499144,0.402758823097806,0.359901680240663,0.307359307359307,-0.41128663003663,-0.610603773563907,0.4687543242601,0.4687543242601,0.693406167589917,0.426926241660489,0.389426241660489,0.389426241660489,-0.250093575739057,0,-0.726997026193827,-0.473484509919412,0.463347998392306,0.409947181407856,0.438328014379517,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.2,0.163956997305714,-0.24671664167916
"SMO",0.429285714285714,0.523333333333333,0.481666666666667,0.44,0.4,0.392857142857143,0.355441583005965,0.115789473684211,0.111947056774643,0.105050505050505,0.316078431372549,0.283164983164983,0.23452380952381,0.192857142857143,0.15,0.253333333333333,0.1,0.333333333333333,0.234652014652015,0.322377622377622,0.278787878787879,0.233333333333333,-0.413888888888889,-0.399013899816417,0.480701754385965,0.480701754385965,0.452381738173817,0.387098186366479,0.350512820512821,0.350512820512821,-0.324501718213058,0,-0.444493155752867,-0.491125541125541,0.30236442090811,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.32200662083015,-0.286666666666667
"TWIST1",0.532954545454545,0.520729109069068,0.482910083547026,0.438961038961039,0.381818181818182,0.504166666666667,0.472157337511276,0.201923076923077,0.187598134031175,0.175833428148822,0.448328042328042,0.462627772232902,0.45927536231884,0.416666666666667,0.366666666666667,0.386,0.3,0.35,0.40374413749714,0.418295914611704,0.378582995951417,0.333846153846154,-0.401349527665317,-0.656864023206447,0.484472934472934,0.484472934472934,0.724677438244249,0.458521174251919,0.426021174251919,0.426021174251919,-0.396467329761192,0,-0.824436225920558,-0.492813118461973,0.468572240681123,0.418319319804889,0.445351703924997,0.385254803675856,0.417376433445862,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.460920588140039,-0.2,-0.3,0.266666666666667,0.399569648649771,-0.420285714285714
