"","FOXC2","TGF","TGFR","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","TWIST1","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0560043984011198,0.0249212492433893,0.0279092970521542,0.0510976966296115,0.0947425960158425,0.0625641025641026,0.0523742923742924,0.0534731934731935,0.00962204462204462,0.0136273517326013,0.0133903849079568,-0.119841577945035,0.0449802631010685,0.0496782496782497,-0.0404209346540801,0.0523809523809524,-0.111877394636015,-0.111877394636015,-0.185632484288127,0.0523809523809524,-0.0598730284697872,-0.0560654132393263,-0.0549784567175871,-0.0618962041309292,-0.202015533262469,-0.233873467788389,0.1910514268799,0.1910514268799,0.215244839958367,0.00185341010655424,0.00295231120545534,0.00295231120545534,0.00295231120545534,0.0521486698051858,-0.202707560975002,-0.0887065716616701,-0.186794920395263,-0.185758339602481,-0.186130638330879,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0199947475378445,0.116540607071248,-0.120820424555364
"AXIN2",0.10957375957376,0.0637530864197531,0.0634197530864198,0.111481069291177,0.153581176251029,0.153333333333333,0.117363422232353,0.131382113821138,0.0187481889307447,0.0181001322522196,0.0220841959972395,-0.153439770611902,0.101497584541063,0.104830917874396,-0.0377196079241667,0.109178743961353,-0.152930402930403,-0.157692307692308,-0.220035634166069,0.122222222222222,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,-0.25248097412481,-0.277084968020554,0.244245032115249,0.244245032115249,0.249419805209174,0.0667622309742845,0.069649370081896,0.069649370081896,0.069649370081896,0.0629952157672203,-0.258474865456867,-0.170421160202625,-0.239952730181869,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.151144688644689,-0.177407399930012
"Wnt",0.175218295218295,0.202222222222222,0.146666666666667,0.119607843137255,0.101111111111111,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.0866666666666667,0.221659125188537,0.0666666666666667,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.340258620689655,0.302745098039216,0.302745098039216,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402123915071669,-0.305185185185185,-0.0729623824451411,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.117826086956522
"Frizzled",0.210932580932581,0.23814455231931,0.202222222222222,0.163004069552349,0.116311111111111,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0633154442456768,0.0566487775790101,0.119417679095098,0.161666666666667,0.136666666666667,0.242812971342383,0.0866666666666667,0.0954545454545455,0.05,0.16437091503268,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,-0.299330463892874,0.368106721955478,0.336078431372549,0.336078431372549,-0.36655052358847,0.173449819968676,0.150615174299385,0.150615174299385,0.150615174299385,-0.436712150365786,-0.339585185185185,-0.0929623824451411,0.348609547228643,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.137826086956522
"HEY1",0.389351179673321,0.372989401403195,0.340969696969697,0.364959479574398,0.333886131435248,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.411925192519252,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.4649781869926,0.353725490196078,0.353725490196078,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673337617420235,-0.361945701357466,-0.348106210167198,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.32739898989899
"FOXC2",0.389351179673321,0.372989401403195,0.340969696969697,0.364959479574398,0.333886131435248,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.411925192519252,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.4649781869926,0.353725490196078,0.353725490196078,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673337617420235,-0.361945701357466,-0.348106210167198,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.32739898989899
"DSH",0.228836511063585,0.25674104354738,0.23814455231931,0.190276796825077,0.132631585888559,0.0666666666666667,0.163004069552349,0.119607843137255,0.072441937495129,0.0763923673225999,0.0633154442456768,0.131218921331123,0.176609195402299,0.161666666666667,0.260962437534554,0.136666666666667,0.10974025974026,0.0954545454545455,0.17921466503268,0.0866666666666667,0.239751425045543,0.222268907563025,0.192857142857143,0.155667789001122,-0.330023533199805,0.3917048527966,0.360878431372549,0.360878431372549,-0.393801708422593,0.195578671509292,0.173449819968676,0.173449819968676,0.173449819968676,-0.463791796383486,-0.365900974658869,-0.11036377455651,0.365604180502346,0.328532114600226,0.348609547228643,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00450471343854284,-0.119417679095098,-0.157544396815677
"RAF",0.294816490698844,0.32,0.267619047619048,0.227666911225238,0.216842105263158,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.110714285714286,0.372963412168991,0.0857142857142857,0.14,0.1,0.258543536260005,0.1,0.21041181041181,0.156565656565657,0.111111111111111,0.0613968253968254,-0.332663797226208,0.624385964912281,0.371439307430289,0.371439307430289,-0.474936280818634,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.543069668561666,-0.380025159805282,-0.164381402679275,0.377496836898203,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.223809523809524
"PI3K",0.252034855179185,0.271376550620248,0.233043217286915,0.191512605042017,0.169300699300699,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0800609024097444,0.0694917967186875,0.132051282051282,0.276018099547511,0.252941176470588,0.27452380952381,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.335600970511385,0.395185894850074,0.372582270894628,0.372582270894628,-0.396705680809293,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.471198816354746,-0.373383838383838,-0.18481240981241,0.381176636424174,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.161099567099567
"ILK",0.252034855179185,0.271376550620248,0.233043217286915,0.191512605042017,0.169300699300699,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0800609024097444,0.0694917967186875,0.132051282051282,0.276018099547511,0.252941176470588,0.27452380952381,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.335600970511385,0.395185894850074,0.372582270894628,0.372582270894628,-0.396705680809293,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.471198816354746,-0.373383838383838,-0.18481240981241,0.381176636424174,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.161099567099567
"SHH",0.35,0.44,0.4,0.3,0.277272727272727,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.1,0.2,0,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.36727969348659,0.375,0.375,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.383333333333333,-0.271794871794872,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"SNAI2",0.424990065372035,0.411118787258493,0.375493787258493,0.393614202437732,0.369356123464985,0.2,0.349019607843137,0.288235294117647,0.116169379144063,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.326724137931034,0.44790275353342,0.275,0.301176470588235,0.26,0.401762028014479,0.2,0.41441672362725,0.376754385964912,0.332894736842105,0.323799864773496,-0.286538461538462,0.710777486540221,0.378111111111111,0.378111111111111,-0.63753975365315,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.808697355889322,-0.386215773766785,-0.386470390385003,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.354391891891892
"cateninnuc",0.392366984144588,0.376436372510595,0.356259966777409,0.374099361757146,0.333974994480296,0.297101449275362,0.352901205075118,0.327260179434092,0.12461518640239,0.111667095848627,0.103506653248351,0.217660716570196,0.345354166666667,0.328166666666667,0.323151447478669,0.304166666666667,0.18792349726776,0.163333333333333,0.248256371767881,0.270833333333333,0.375258358118035,0.356621994481671,0.332203389830509,0.259657831844757,-0.29929803449659,0.463585211250424,0.379831515847325,0.379831515847325,-0.409690412448197,0.388710818710819,0.372717552717553,0.372717552717553,0.372717552717553,-0.492379100446454,-0.387218631239339,-0.338072618838637,0.182112706735152,0.255050909979439,0.269124614793861,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.319918647900129,-0.204693683603163,-0.346884231536926
"RAS",0.344765729585007,0.367294117647059,0.315294117647059,0.315727554179567,0.302491582491582,0.26,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.192870056497175,0.212222222222222,0.173333333333333,0.374739454094293,0.166666666666667,0.116666666666667,0.1,0.258624088310664,0.2,0.277259185700099,0.226315789473684,0.2,0.0125541125541125,-0.356428571428571,0.57634173186284,0.398095238095238,0.398095238095238,-0.400410502033264,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,-0.471075379646808,-0.407171215880893,-0.216989664082687,0.410022792164208,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0340659026705538,-0.160666666666667,-0.391461538461538
"SOSGRB2",0.369592822636301,0.391937702585185,0.343736263736264,0.359400959400959,0.353046904315197,0.276190476190476,0.323037323037323,0.30952380952381,0.261647727272727,0.259196932100158,0.252903225806452,0.298701026608003,0.338011695906433,0.304678362573099,0.403196078431373,0.288888888888889,0.233333333333333,0.2,0.357215265481102,0.3,0.394031320791884,0.347552447552448,0.309090909090909,-0.0272222222222222,-0.362017543859649,0.645446544203578,0.399698703279939,0.399698703279939,-0.494195273195273,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,-0.563383709082634,-0.40998443917247,-0.31585308255715,0.400453903067587,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,-0.2,0,-0.0356106235300866,-0.268468468468469,-0.380198948948949
"AKT",0.275228771528995,0.295766794522687,0.271376550620248,0.219717733247145,0.191665737861111,0.0952380952380952,0.191512605042017,0.148179271708683,0.0877694175361737,0.0924746955131927,0.0800609024097444,0.149072558647027,0.195210018739431,0.276018099547511,0.298450189891908,0.252941176470588,0.115384615384615,0.1,0.202578947368421,0.2,0.2592749500696,0.236104218362283,0.203846153846154,0.19604580812446,-0.367179917879806,0.423137458926764,0.401502131521806,0.401502131521806,-0.427987732091345,0.243100424469627,0.21635343651782,0.21635343651782,0.21635343651782,-0.503156002899089,-0.402539151735337,-0.205376925941442,0.400342015094963,0.357752076547316,0.381176636424174,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00419119798819234,-0.132051282051282,-0.186099567099567
"MEK",0.334908656597461,0.362007434944238,0.32,0.173429623089645,0.242648556876061,0.17,0.227666911225238,0.187241379310345,0.163218245169465,0.166088406773781,0.156725110893631,0.227544412300439,0.185580595874714,0.156168831168831,0.404815264020843,0.110714285714286,0.184,0.14,0.279035339538693,0.0857142857142857,0.247638087784073,0.21041181041181,0.156565656565657,0.0925079365079365,-0.368663797226208,0.659020111253744,0.408281412693447,0.408281412693447,-0.512344593777069,0.129801864801865,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.58393284578848,-0.416734020564775,-0.192145530443403,0.400401864831164,0.352867132867133,0.377496836898203,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0427917896416654,-0.208590163934426,-0.254010866091403
"IKK",0.491443143474678,0.525081467640942,0.465731874145007,0.24952380952381,0.281073519656197,0.1,0.176190476190476,0.142857142857143,0.182675438596491,0.185578231292517,0.173333333333333,0.256719576719577,0.321042471042471,0.264285714285714,0.529209039548023,0.314285714285714,0.18,0.12,0.288086124401914,0.3,0.362914862914863,0.307359307359307,0.245454545454545,0.300108225108225,-0.357759784075574,0.659718396082033,0.418134961884962,0.418134961884962,-0.568351430343926,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,-0.681149186284934,-0.422765246449457,-0.224505494505495,0.438555563821521,0.376239316239316,0.409193861693862,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139093893328231,-0.228148148148148,-0.271443246019517
"CD44",0.37875,0.372222222222222,0.35,0.415,0.371222630218958,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.266666666666667,0.351941391941392,0.2,0.15,0.1,0.188531468531469,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.439156399156399,0.420634920634921,0.420634920634921,-0.144450549450549,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.283107697318424,-0.431699604743083,-0.223809523809524,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.423703703703704
"Csn",0.250262514035615,0.277114464482886,0.250191387559809,0.242615629984051,0.161101189467648,0.106666666666667,0.207878787878788,0.161212121212121,0.0755952380952381,0.0823675957114607,0.0689111313315135,0.139642740771773,0.205766666666667,0.184166666666667,0.292856979144668,0.155,0.108513708513709,0.0873015873015873,0.187035113754635,0.105,0.263672438672439,0.238672438672439,0.201010101010101,0.170900774102745,-0.396357896696768,0.437723157196968,0.433027748507201,0.433027748507201,-0.441580400774473,0.237302312331696,0.209087341122483,0.209087341122483,0.209087341122483,-0.515071866111003,-0.440978639474174,-0.149229914302437,0.419112643458717,0.37427547866515,0.39860447648957,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0503179445388557,-0.124642740771773,-0.176202370237024
"STAT",0.212409535972754,0.20702161746634,0.190516763097408,0.204308300395257,0.140243586001103,0.2,0.189090909090909,0.18,0.0586301369863014,0.0644290055311869,0.0614704256495301,0.0629342132830505,0.0427602905569007,0.0342857142857143,0.0767026261305438,0.02,0.045,0.025,0.0675960557099565,0,0.0330241149201743,0.0204027556968733,-0.00392156862745098,-0.00820802005012531,-0.321561771561772,0.104255564808084,0.436015197152245,0.436015197152245,-0.0618544073147654,-0.0307617464785255,-0.044194582299421,-0.044194582299421,-0.044194582299421,-0.203179396361215,-0.451964590293342,0.0427236315086783,0.0317112936694487,0.0111440030557678,0.0221189675303599,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0635332413002316,-0.0566279069767442,-0.16349358974359
