"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","TWIST1","ILK","SHH","AKT","IKK","NFB","SMO","Csn","FUS","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0545100777425857,0.0237215010823223,0.0267155130583702,0.0259155130583702,0.0210204081632653,0.050329535334286,0.0928309908721151,0.0625641025641026,0.0518157349096576,0.0534731934731935,0.00251082251082251,0.00670141617510039,-0.0412904365965124,0.00580051527419949,-0.124591345550424,0.0406595719095719,0.0441317941317941,0.0478354978354978,-0.120011055831951,0.0523809523809524,-0.118518518518519,-0.188516191599889,-0.0624061026464025,-0.0593386179838258,-0.0576811594202899,-0.0622320184807274,-0.20057570019774,-0.234133114941306,0.18931367280158,0.18931367280158,0.215810625766367,0.00169444957023522,0.00295231120545534,0.00295231120545534,0.00295231120545534,0.0532115825617646,-0.0883052637348872,-0.2010055630736,-0.187209256336966,-0.185758339602481,-0.186338800627801,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0200216700704551,0.12274329626911,-0.11912455484914
"AXIN2",0.108388012819913,0.0628004272258585,0.0629673721340388,0.0647530864197531,0.0783333333333333,0.111113422232353,0.151658203658204,0.153333333333333,0.117363422232353,0.131382113821138,0.00782148608235565,0.00816649897506895,-0.0385110608795388,0.010563013136289,-0.160695852648801,0.0965732002513313,0.101716057394188,0.109178743961353,-0.157692307692308,0.122222222222222,-0.157692307692308,-0.224299149394992,-0.0565681777076243,-0.0541626794258373,-0.0505263157894737,-0.0772774023545412,-0.251968153611989,-0.277142782789495,0.243115527732797,0.243115527732797,0.249601432897024,0.0667622309742845,0.069649370081896,0.069649370081896,0.069649370081896,0.0637226369586182,-0.170211183129338,-0.257430585415998,-0.240084342452793,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.15862688713156,-0.175867104503954
"Wnt",0.174017094017094,0.201212121212121,0.146666666666667,0.1,0.1,0.119607843137255,0.100648360030511,0.1,0.0666666666666667,0.0666666666666667,0.0506410256410256,0.0399267399267399,0.22030959752322,0.0399267399267399,0.0976190476190476,0.12952380952381,0.0866666666666667,0.0666666666666667,0.05,0.1,0,0.145416666666667,0.188311688311688,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.340258620689655,0.301206636500754,0.301206636500754,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.401042626728111,-0.0729623824451411,-0.304067085953878,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0833333333333333,-0.115454545454545
"Frizzled",0.20973137973138,0.237134451309209,0.201212121212121,0.146666666666667,0.1,0.161915535444947,0.116095514502056,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0506410256410256,0.04745362164717,0.242214359427982,0.0399267399267399,0.109483454398709,0.15452380952381,0.12952380952381,0.0866666666666667,0.0833333333333333,0.0666666666666667,0.05,0.157916666666667,0.217723453017571,0.188311688311688,0.142857142857143,0.127272727272727,-0.297745098039216,0.367877668308703,0.334539969834088,0.334539969834088,-0.365893100441441,0.173449819968676,0.150615174299385,0.150615174299385,0.150615174299385,-0.435321586538985,-0.0919807873531165,-0.337938053695814,0.348031247247002,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.0976190476190476,-0.136883116883117
"RAF",0.278494623655914,0.310225563909774,0.262857142857143,0.22,0.2,0.165,0.193427747180698,0.153333333333333,0.13,0.12,0.0366666666666667,0.043030303030303,0.353529686769518,0.04,0.107936507936508,0.0261904761904762,-0.0166666666666667,-0.0333333333333333,0.0428571428571429,0,0,0.173888888888889,0.106071428571429,0.0575,0.02,0.0722875816993464,-0.298571428571429,0.593126759236359,0.334935064935065,0.334935064935065,-0.456354249096185,0.0672150072150072,0.0294372294372294,0.0294372294372294,0.0294372294372294,-0.524915169644477,-0.121506000774293,-0.344423392699255,0.3498233889322,0.299248120300752,0.327403460106577,0.257142857142857,0.299248120300752,0.257142857142857,0.2,0.2,0.1,0.1,0.321724137931034,0,0,0,0.0133119821355115,-0.0857142857142857,-0.204509803921569
"HEY1",0.389770434331706,0.373322638146168,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33435779997631,0.2,0.328877005347594,0.281818181818182,0.100357142857143,0.0861217347831521,0.412271483305966,0.0774603174603175,0.318426197458456,0.338706199460916,0.302857142857143,0.26,0.266666666666667,0.2,0.233333333333333,0.350676010678871,0.375629984051037,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.4649781869926,0.354122841189456,0.354122841189456,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673337617420235,-0.348106210167198,-0.362258592471358,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.295698924731183,-0.328043319795897
"FOXC2",0.389770434331706,0.373322638146168,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33435779997631,0.2,0.328877005347594,0.281818181818182,0.100357142857143,0.0861217347831521,0.412271483305966,0.0774603174603175,0.318426197458456,0.338706199460916,0.302857142857143,0.26,0.266666666666667,0.2,0.233333333333333,0.350676010678871,0.375629984051037,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.4649781869926,0.354122841189456,0.354122841189456,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673337617420235,-0.348106210167198,-0.362258592471358,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.295698924731183,-0.328043319795897
"DSH",0.228152432362959,0.256148535816251,0.237134451309209,0.201212121212121,0.146666666666667,0.189735084317128,0.132204936994457,0.0666666666666667,0.161915535444947,0.119607843137255,0.0606410256410256,0.0573709770190709,0.260493929320455,0.04745362164717,0.122235132251058,0.171190476190476,0.15452380952381,0.12952380952381,0.0976190476190476,0.0866666666666667,0.0833333333333333,0.17349043715847,0.236294881588999,0.217723453017571,0.188311688311688,0.154772727272727,-0.328438167346146,0.391207093865561,0.359236326109391,0.359236326109391,-0.392710740489117,0.195139960813747,0.173449819968676,0.173449819968676,0.173449819968676,-0.462351024540769,-0.109382179464485,-0.36441780447463,0.364652990283839,0.328532114600226,0.348031247247002,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00446969885524388,-0.109483454398709,-0.156883116883117
"MEK",0.316242968026775,0.348849902534113,0.310225563909774,0.262857142857143,0.22,0.110238095238095,0.215551640986007,0.12,0.165,0.13,0.0408920187793427,0.050530303030303,0.382253091024838,0.043030303030303,0.1252442002442,0.0570995670995671,0.0261904761904762,-0.0166666666666667,0.0857142857142857,-0.0333333333333333,0.0428571428571429,0.192232084155161,0.141555299539171,0.106071428571429,0.0575,0.101319839763863,-0.330924369747899,0.622957267710935,0.368662875585953,0.368662875585953,-0.489109881678507,0.0973874210081107,0.0672150072150072,0.0672150072150072,0.0672150072150072,-0.561385757879771,-0.144995933660199,-0.379002831951591,0.369510481500648,0.327403460106577,0.3498233889322,0.299248120300752,0.327403460106577,0.299248120300752,0.257142857142857,0.257142857142857,0.2,0.2,0.358370100663954,0,0,0.1,0.0304059992295286,-0.107936507936508,-0.231960784313726
"PI3K",0.251533228676086,0.270950818343866,0.232107843137255,0.177941176470588,0.125,0.190552153064616,0.170292693909715,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0647843137254902,0.0652100214323844,0.27464220660942,0.0567988064791134,0.12422519509476,0.26974358974359,0.246666666666667,0.2,0.09,0.166666666666667,0.05,0.178428722840488,0.232258064516129,0.2,0.15,0.163461538461538,-0.3343058733791,0.395007179549407,0.371910935154997,0.371910935154997,-0.396190845421135,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.470255701750431,-0.184031491384433,-0.372423386406437,0.380697263217528,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.105384615384615,-0.160994397759104
"ILK",0.251533228676086,0.270950818343866,0.232107843137255,0.177941176470588,0.125,0.190552153064616,0.170292693909715,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0647843137254902,0.0652100214323844,0.27464220660942,0.0567988064791134,0.12422519509476,0.26974358974359,0.246666666666667,0.2,0.09,0.166666666666667,0.05,0.178428722840488,0.232258064516129,0.2,0.15,0.163461538461538,-0.3343058733791,0.395007179549407,0.371910935154997,0.371910935154997,-0.396190845421135,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.470255701750431,-0.184031491384433,-0.372423386406437,0.380697263217528,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.105384615384615,-0.160994397759104
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0,0.2,0.1,0.0666666666666667,0.0939393939393939,0.2,0.0666666666666667,0.253333333333333,0.15,0.1,0,0.3,0,0.2,0.162857142857143,0.233333333333333,0.2,0.1,0.25,-0.3,0.36727969348659,0.375,0.375,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"SOSGRB2",0.350835945663532,0.376842105263158,0.332080200501253,0.295238095238095,0.266666666666667,0.315320197044335,0.317524767722396,0.262857142857143,0.284285714285714,0.277142857142857,0.142895700790438,0.0465407215517786,0.38079674796748,0.0424590888987174,0.0982683982683983,0.217916666666667,0.186666666666667,0.18,0.0333333333333333,0.2,0,0.176923076923077,0.288285714285714,0.244285714285714,0.214285714285714,-0.0242307692307692,-0.342261904761905,0.6238262007625,0.37761544011544,0.37761544011544,-0.482202585622558,0.305126646403242,0.262269503546099,0.262269503546099,0.262269503546099,-0.552332652316193,-0.274797592415042,-0.388095007717649,0.381113928088947,0.317610062893082,0.354161787031013,0.266666666666667,0.317610062893082,0.266666666666667,0.2,0.2,0.1,0.1,0.334974358974359,-0.1,0,0,-0.0448132608132608,-0.0696969696969697,-0.347753818508535
"SNAI2",0.42524388063308,0.411319332429833,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.369841897233202,0.2,0.349019607843137,0.288235294117647,0.108014974900026,0.0958333333333333,0.448113033907251,0.0833333333333333,0.360980392156863,0.368187552565181,0.326724137931034,0.275,0.301176470588235,0.2,0.26,0.39931002206137,0.414009287925697,0.376754385964912,0.332894736842105,0.323799864773496,-0.286538461538462,0.710777486540221,0.378351032448378,0.378351032448378,-0.63753975365315,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.808697355889322,-0.386470390385003,-0.386402543409146,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.334509803921569,-0.354781879194631
"cateninnuc",0.392369465642198,0.37644349832076,0.356575948651886,0.331211517165006,0.299428571428571,0.374208162448954,0.333606976396443,0.297101449275362,0.353374829115621,0.327260179434092,0.103076612988484,0.0847103492683564,0.323114333774261,0.0784888014686599,0.205767644918748,0.338916666666667,0.322916666666667,0.302083333333333,0.178947368421053,0.270833333333333,0.159649122807018,0.241597285413368,0.371625880608083,0.353653530377668,0.331034482758621,0.259980449657869,-0.299681065616059,0.463630704868319,0.380042598171344,0.380042598171344,-0.409600622756577,0.388640046399103,0.372717552717553,0.372717552717553,0.372717552717553,-0.492057090708931,-0.337687061418291,-0.387440130066466,0.182040357587653,0.255050909979439,0.269124614793861,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.31994961602302,-0.193786078098472,-0.346799435249823
"RAS",0.334825396825397,0.358519269776876,0.307931034482759,0.27,0.25,0.300793650793651,0.301089743589744,0.25,0.272222222222222,0.25,0.149579831932773,0.0481672932330827,0.371118020468973,0.0455357142857143,0.0926595744680851,0.209090909090909,0.175757575757576,0.166666666666667,0.025,0.2,0,0.162310110697207,0.28,0.233333333333333,0.2,0.00505050505050504,-0.342857142857143,0.566199027310138,0.381881533101045,0.381881533101045,-0.391900266279351,0.144649257552483,0.198412698412698,0.198412698412698,0.198412698412698,-0.462787702450828,-0.203565220873884,-0.391471022517534,0.396841729751281,0.33047619047619,0.368407224958949,0.273333333333333,0.33047619047619,0.273333333333333,0.2,0.2,0.1,0.1,0.344516129032258,-0.2,0,0,-0.0382329680123798,-0.065,-0.387486002239642
"ERK",0.341363740973635,0.374575241025409,0.348849902534113,0.310225563909774,0.262857142857143,0.141734158230221,0.235821911256278,0.13,0.110238095238095,0.165,0.0511192915066154,0.0592259552042161,0.404411087171273,0.050530303030303,0.140833553856368,0.0801764901764902,0.0570995670995671,0.0261904761904762,0.107936507936508,-0.0166666666666667,0.0857142857142857,0.20923888687625,0.166651824635696,0.141555299539171,0.106071428571429,0.125995164439187,-0.361560207898188,0.647878403357623,0.396844693767771,0.396844693767771,-0.517177766796,0.121662230168416,0.0973874210081107,0.0973874210081107,0.0973874210081107,-0.591189679448399,-0.164150162515921,-0.408080846135988,0.386519279154607,0.349664944205517,0.369510481500648,0.327403460106577,0.3498233889322,0.327403460106577,0.299248120300752,0.299248120300752,0.257142857142857,0.257142857142857,0.385971910618705,0.0333333333333333,-0.0428571428571429,0.2,0.0438914764079519,-0.1252442002442,-0.256020934689665
"AKT",0.27548760129966,0.295950818343866,0.270950818343866,0.232107843137255,0.177941176470588,0.219666077115249,0.192192430057472,0.0952380952380952,0.190552153064616,0.148179271708683,0.0760886615515771,0.0746990725272749,0.298716280683494,0.0652100214323844,0.140504264862202,0.190576923076923,0.26974358974359,0.246666666666667,0.105384615384615,0.2,0.09,0.19744280734753,0.256481667000601,0.232258064516129,0.2,0.19527972027972,-0.366479786422578,0.422813044059013,0.40103374217254,0.40103374217254,-0.427189815555017,0.242745688333801,0.21635343651782,0.21635343651782,0.21635343651782,-0.502360156435531,-0.204596007513465,-0.402123658886001,0.399611991899699,0.357752076547316,0.380697263217528,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00421170411801128,-0.12422519509476,-0.186310853455306
"CD44",0.365846153846154,0.360098522167488,0.342857142857143,0.3,0.2,0.391932773109244,0.346520146520147,0.3,0.374285714285714,0.314285714285714,0.0842857142857143,0.0467857142857143,0.338047138047138,0.0342857142857143,0.0222222222222222,0.140909090909091,0.15,0.1,0,0.1,0,0.0407407407407407,0.126666666666667,0.12,0.1,-0.0166666666666667,-0.271428571428571,0.427045454545455,0.410822510822511,0.410822510822511,-0.128464419475655,0.190224358974359,0.158974358974359,0.158974358974359,0.158974358974359,-0.263043137254902,-0.195238095238095,-0.421804511278196,0.118196934644303,0.0192307692307692,0.0771255060728745,-0.05,0.0192307692307692,0.05,-0.1,0,0,0.1,-0.0244444444444444,-0.1,0,0.1,-0.162684913652656,0,-0.405238095238095
"IKK",0.496190476190476,0.527869605142332,0.469191919191919,0.405555555555556,0.35,0.252190476190476,0.29059796437659,0.1,0.178857142857143,0.142857142857143,0.165098039215686,0.164507345491388,0.531331981068289,0.153869047619048,0.24671664167916,0.315800865800866,0.264285714285714,0.314285714285714,0.18,0.3,0.12,0.281958762886598,0.359901680240663,0.307359307359307,0.245454545454545,0.301890756302521,-0.363369963369963,0.660347091652491,0.423668546365915,0.423668546365915,-0.569256032607988,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,-0.68212188989931,-0.224505494505495,-0.427570738440304,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139265491747074,-0.219130434782609,-0.274561403508772
