"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","ERK","SNAI1","cfos","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","HEY1","TWIST1","FUS","Csn","Jagged","KLF4","SOSGRB2","cateninmemb","SNAI2","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","Csl","NOTCHic","NOTCH","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ZEB2",-0.223656565656566,-0.214306328592043,-0.206369820655535,-0.194805194805195,-0.185714285714286,-0.158333333333333,-0.153086739271467,-0.145769666100736,-0.144224933923495,-0.142543859649123,-0.136303921087501,-0.13569416498994,-0.131371555273994,-0.12863707165109,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.122463343108504,-0.116914817516823,-0.114285714285714,-0.111111111111111,-0.110645779254369,-0.0684425324240511,-0.0639194139194139,-0.0480869984994668,-0.0458580900214735,-0.0342926836785576,-0.0342926836785576,-0.0210938847020217,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,-0.00375847560215454,-0.00164395363904382,0.0108172370255736,0.0476884931777445,0.0480319069309895,0.051194986684238,0.0517016317016317,0.0550682261208577,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0874933309354674,0.0897435897435897,0.0937435897435897,0.0953829340058848,0.1,0.1,0.1,0.115149965624199,0.127735191637631,0.158599033816425
"Destcompl",0.0600488730332054,0.0281840068150672,0.0312381940071855,0.028606615059817,0.0210204081632653,0.0625641025641026,0.0531757597040851,0.0540196415606252,0.0990573621424994,0.0534731934731935,0.0139974937343358,0.0134126984126984,-0.11982880823179,0.0449802631010685,0.0496782496782497,0.0523809523809524,-0.111877394636015,0.0219950989181758,-0.0380276010791088,-0.111877394636015,0.0523809523809524,-0.185626117497308,-0.205970553287013,-0.0608585293188055,0.214153143496234,-0.233267590388518,0.195751985962439,0.195751985962439,0.00185341010655424,0.00295231120545534,0.00295231120545534,0.00295231120545534,0.0497767942749715,-0.207306802785759,-0.0887065716616701,-0.185991445960855,-0.185758339602481,-0.185787468398386,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,0.0834860947904426,0.0834860947904426,0.0856905036080779,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0198626890558775,0.116540607071248,-0.125422561945314
"AXIN2",0.112857766745355,0.0664032514362547,0.0647530864197531,0.0647530864197531,0.0783333333333333,0.153333333333333,0.112535836025457,0.117363422232353,0.158731196858821,0.131382113821138,0.0181159420289855,0.0220841959972395,-0.153439770611902,0.101497584541063,0.104830917874396,0.109178743961353,-0.152930402930403,0.0330109303740135,-0.0355173734686919,-0.157692307692308,0.122222222222222,-0.220035634166069,-0.254003816764404,-0.0772774023545412,0.249122579502833,-0.276913904316508,0.247392212519144,0.247392212519144,0.0667622309742845,0.069649370081896,0.069649370081896,0.069649370081896,0.0615998797463326,-0.261409159531881,-0.170421160202625,-0.239735999711547,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,0.156140350877193,0.147211779448622,0.143833401070243,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.151144688644689,-0.181657312221828
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.1,0.119607843137255,0.0666666666666667,0.104658385093168,0.0666666666666667,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.0866666666666667,0.0666666666666667,0.05,0.0656410256410257,0.222941176470588,0,0.1,0.153259803921569,-0.262745098039216,0.0939393939393939,-0.334703389830508,0.340258620689655,0.304208512673362,0.304208512673362,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.306262626262626,-0.0729623824451411,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,0.05,0.00714285714285715,-0.00119047619047619,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.0666666666666667,0.164052287581699,0.119607843137255,0.11735679779158,0.0666666666666667,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.136666666666667,0.0866666666666667,0.0954545454545455,0.0592580469176214,0.24484593837535,0.05,0.0666666666666667,0.16437091503268,-0.300840336134454,0.127272727272727,-0.366766881894001,0.368334330468835,0.338861978019897,0.338861978019897,0.173449819968676,0.150615174299385,0.150615174299385,0.150615174299385,-0.437673688755514,-0.342200126262626,-0.0929623824451411,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,0.00714285714285715,-0.00119047619047619,0.00469187675070028,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.141428571428571
"HEY1",0.384267101342117,0.369034737620103,0.33830303030303,0.307636363636364,0.263636363636364,0.2,0.362897623904295,0.328877005347594,0.327105367432579,0.281818181818182,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.26,0.266666666666667,0.0673338426279603,0.408967320261438,0.233333333333333,0.2,0.354196538094589,-0.262962962962963,0.28138936535163,-0.592081001654172,0.464655606347439,0.34796181630547,0.34796181630547,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.670729336848855,-0.356316646316646,-0.348106210167198,0.395148917516182,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.0709090909090909,-0.0709090909090909,-0.0740018744142455,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.321078128220985
"FOXC2",0.384267101342117,0.369034737620103,0.33830303030303,0.307636363636364,0.263636363636364,0.2,0.362897623904295,0.328877005347594,0.327105367432579,0.281818181818182,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.26,0.266666666666667,0.0673338426279603,0.408967320261438,0.233333333333333,0.2,0.354196538094589,-0.262962962962963,0.28138936535163,-0.592081001654172,0.464655606347439,0.34796181630547,0.34796181630547,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.670729336848855,-0.356316646316646,-0.348106210167198,0.395148917516182,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.0709090909090909,-0.0709090909090909,-0.0740018744142455,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.321078128220985
"DSH",0.230448694512342,0.258101297783164,0.240331262939959,0.203188405797101,0.146666666666667,0.0666666666666667,0.19187183645388,0.164052287581699,0.131559696342305,0.119607843137255,0.0763983808235878,0.0631908336537765,0.13107412081289,0.176609195402299,0.161666666666667,0.136666666666667,0.10974025974026,0.062766818847446,0.261867214971095,0.0954545454545455,0.0866666666666667,0.179099597203222,-0.33287917108591,0.156541019955654,-0.394446504979984,0.392199289723783,0.363271426838794,0.363271426838794,0.195578671509292,0.173449819968676,0.173449819968676,0.173449819968676,-0.46480274933497,-0.368419638457748,-0.11036377455651,0.366164681043837,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.00119047619047619,0.00469187675070028,0.00678977884860238,-0.0666666666666667,-0.05,0.2,0.00458801214003092,-0.119417679095098,-0.158911088911089
"RAF",0.28815207780725,0.314259012016021,0.262857142857143,0.22,0.2,0.17,0.223411592076302,0.187241379310345,0.210211309279946,0.17,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.110714285714286,0.0857142857142857,0.14,0.137359659310879,0.369004753416518,0.1,0.1,0.258543536260005,-0.32778574844572,0.0613968253968254,-0.47362909127615,0.623721513085038,0.36578574844572,0.36578574844572,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.539455190405927,-0.374078590708692,-0.164381402679275,0.376479025193368,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.133333333333333,-0.160606060606061,-0.175990675990676,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.217717086834734
"cateninnuc",0.387882914899308,0.372940260662893,0.352634583806998,0.326197802197802,0.295428571428571,0.297101449275362,0.371768772171695,0.350667854740502,0.32694253815016,0.324085576259489,0.110442928603911,0.102666666666667,0.217111984256758,0.345354166666667,0.328166666666667,0.304166666666667,0.18792349726776,0.0898092490631962,0.320112624391479,0.163333333333333,0.270833333333333,0.247415260334695,-0.292716032484716,0.258280430599359,-0.407171933620679,0.46216560680258,0.372798988616083,0.372798988616083,0.388205768205768,0.372717552717553,0.372717552717553,0.372717552717553,-0.488265803447486,-0.380342315913185,-0.337676055719007,0.180442337855362,0.254260396145447,0.267711048156384,0.238054862548609,0.253297306558176,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395148917516182,0.0245448838669178,0.0198937210762201,0.0176209938034928,-0.233333333333333,-0.133333333333333,0.160606060606061,0.319274317478747,-0.204693683603163,-0.34140817743051
"SNAI2",0.420858044203517,0.407945876232321,0.373784385549091,0.333613445378151,0.276470588235294,0.2,0.39226285108638,0.349019607843137,0.362473217970086,0.288235294117647,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.326724137931034,0.275,0.301176470588235,0.0633363471971067,0.445384856912723,0.26,0.2,0.401762028014479,-0.284038461538462,0.323799864773496,-0.637105914173758,0.710577686340421,0.373279001468429,0.373279001468429,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.806707580274138,-0.381633478426564,-0.386470390385003,0.449229572098264,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.128070175438597,-0.126315789473684,-0.127614490772385,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.348653846153846
"SHH",0.35,0.44,0.4,0.3,0.2,0,0.3,0.2,0.283333333333333,0.1,0.1,0.0666666666666667,0.253333333333333,0.15,0.1,0,0.3,0.0666666666666667,0.2,0.2,0,0.162857142857143,-0.3,0.25,-0.299068100358423,0.36727969348659,0.375,0.375,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.383333333333333,-0.271794871794872,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,-0.1,0,0,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.0666666666666667,0.192441566790651,0.148179271708683,0.171892109500805,0.0952380952380952,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.252941176470588,0.2,0.1,0.0710187333938721,0.276816119652898,0.05,0.166666666666667,0.183245614035088,-0.336842105263158,0.163461538461538,-0.396875422177051,0.395363646725939,0.375508463573364,0.375508463573364,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.472077970556085,-0.376039526859199,-0.18481240981241,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,0.025,0.00961538461538461,0.00961538461538461,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.0666666666666667,0.192441566790651,0.148179271708683,0.171892109500805,0.0952380952380952,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.252941176470588,0.2,0.1,0.0710187333938721,0.276816119652898,0.05,0.166666666666667,0.183245614035088,-0.336842105263158,0.163461538461538,-0.396875422177051,0.395363646725939,0.375508463573364,0.375508463573364,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.472077970556085,-0.376039526859199,-0.18481240981241,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,0.025,0.00961538461538461,0.00961538461538461,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"SOSGRB2",0.364420024420024,0.387407840386564,0.33989010989011,0.301428571428571,0.271428571428571,0.276190476190476,0.356370656370656,0.323037323037323,0.347203269367448,0.30952380952381,0.259196932100158,0.252903225806452,0.298701026608003,0.338011695906433,0.304678362573099,0.288888888888889,0.233333333333333,0.240340909090909,0.399942028985507,0.2,0.3,0.357215265481102,-0.358508771929824,-0.0272222222222222,-0.493212472212472,0.644944031640764,0.395651629072682,0.395651629072682,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,-0.560669310970911,-0.405701455637125,-0.31585308255715,0.399689084711946,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.0272727272727273,-0.058041958041958,-0.0763518171968876,-0.2,-0.2,0,-0.0356106235300866,-0.268468468468469,-0.375584795321637
"RAS",0.343015873015873,0.365789167152009,0.315294117647059,0.28,0.26,0.26,0.315727554179567,0.286315789473684,0.30204523107178,0.26,0.158750773036487,0.156709956709957,0.192870056497175,0.212222222222222,0.173333333333333,0.166666666666667,0.116666666666667,0.153162055335968,0.373115111838516,0.1,0.2,0.258624088310664,-0.356428571428571,0.0125541125541125,-0.400410502033264,0.57634173186284,0.396634756995582,0.396634756995582,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,-0.470171713832656,-0.406061538461538,-0.216989664082687,0.410022792164208,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,0.05,0.0236842105263158,-0.000844091360476662,-0.2,-0.1,0,-0.0340659026705538,-0.160666666666667,-0.388849056603774
"MEK",0.329593519248692,0.357324705446678,0.314259012016021,0.262857142857143,0.22,0.17,0.170078258742969,0.223411592076302,0.23457028363892,0.187241379310345,0.16521219576448,0.156725110893631,0.227544412300439,0.185580595874714,0.156168831168831,0.110714285714286,0.184,0.137359659310879,0.401605486017251,0.14,0.0857142857142857,0.279035339538693,-0.363079866092779,0.0902857142857143,-0.509970554690784,0.657784773425671,0.402293684953656,0.402293684953656,0.129801864801865,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.579710199513395,-0.41092069597185,-0.192145530443403,0.398597984301175,0.352867132867133,0.376479025193368,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.160606060606061,-0.175990675990676,-0.178180457012574,-0.1,-0.1,0.1,0.0423733795998244,-0.208590163934426,-0.249296034203155
"AKT",0.277606332905434,0.297645644330977,0.273778574844572,0.233941176470588,0.177941176470588,0.0952380952380952,0.221555490841284,0.192441566790651,0.192694114513336,0.148179271708683,0.0923497091765999,0.0798917967186875,0.14889338731444,0.195210018739431,0.276018099547511,0.252941176470588,0.115384615384615,0.0792894100856014,0.299751899469412,0.1,0.2,0.202450912048333,-0.370175438596491,0.196794871794872,-0.428577766723433,0.42360485275609,0.404275586861036,0.404275586861036,0.243100424469627,0.21635343651782,0.21635343651782,0.21635343651782,-0.504199182677297,-0.405451291565081,-0.205376925941442,0.400873571167032,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,0.00961538461538461,0.00961538461538461,0.00839587242026266,-0.166666666666667,-0.05,0.2,-0.00412094672695625,-0.132051282051282,-0.18846294370591
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.3,0.415,0.385,0.368474215842637,0.325,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.266666666666667,0.2,0.15,0.193567251461988,0.351941391941392,0.1,0.2,0.188531468531469,-0.277777777777778,-0.00238095238095239,-0.144450549450549,0.439156399156399,0.420634920634921,0.420634920634921,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.283107697318424,-0.431699604743083,-0.223809523809524,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,0,0.0142857142857143,-0.0120300751879699,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.423703703703704
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.1,0.252190476190476,0.178857142857143,0.290507492225049,0.142857142857143,0.18578795379538,0.172916666666667,0.2557343550447,0.321042471042471,0.264285714285714,0.314285714285714,0.18,0.170175438596491,0.532941176470588,0.12,0.3,0.287413308341143,-0.363369963369963,0.301890756302521,-0.569256032607988,0.660347091652491,0.425418546365915,0.425418546365915,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,-0.682863893582049,-0.428840579710145,-0.224505494505495,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.0272727272727273,-0.0510822510822511,-0.059018759018759,-0.2,-0.1,0.1,0.139265491747074,-0.228148148148148,-0.277322404371585
