"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","AXIN2","cMet","Frizzled","SRC","DSH","STAT","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0589009042586042,0.0266833669020318,0.0301038900408648,0.0279648526077097,0.0210204081632653,0.0984259799353865,0.0538115468987261,0.0625641025641026,0.0540256796610388,0.0534731934731935,0.00962204462204462,0.0138631981467275,0.0133903849079568,-0.120991977969349,0.0464811379097094,-0.0402539349390787,0.0505627705627706,0.0523809523809524,-0.111877394636015,-0.111877394636015,-0.188021522155968,0.0523809523809524,-0.0601423984668947,-0.0560773578164882,-0.0549784567175871,-0.0615227986225714,-0.205174353785216,0.195020160168216,0.195020160168216,-0.236510940971905,0.217176301264076,0.00380240326562001,0.00542841952578261,0.00542841952578261,0.00542841952578261,0.0521318463982705,-0.0955389772780332,-0.206590252789759,-0.190439480025421,-0.189494451262971,-0.18996504670966,-0.186268644811358,-0.18883987090094,-0.18883987090094,-0.185786435786436,-0.181746031746032,-0.181746031746032,-0.181746031746032,-0.181746031746032,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0126131981201175,0.117085727969349,-0.124879493564238
"AXIN2",0.0620455583466545,0.0301038900408648,0.0279648526077097,0.0210204081632653,0.0271428571428571,0.102265421471163,0.0540256796610388,0.0933333333333333,0.0534731934731935,0.0625641025641026,0.0131934731934732,0.0133903849079568,0.0169047619047619,-0.117085727969349,0.0505627705627706,-0.0366269919338973,0.0523809523809524,0.0523809523809524,-0.111877394636015,-0.122222222222222,-0.184795715704355,0.0666666666666667,-0.0560773578164882,-0.0549784567175871,-0.0576811594202899,-0.0671965574878196,-0.204868543387663,0.196588314571111,0.196588314571111,-0.23451297280394,0.216089725729551,0.00542841952578261,0.00782493368700265,0.00782493368700265,0.00782493368700265,0.0501679815121746,-0.097342584492462,-0.207813206693804,-0.18996504670966,-0.186268644811358,-0.18883987090094,-0.181746031746032,-0.185786435786436,-0.185786435786436,-0.181746031746032,-0.181746031746032,-0.181746031746032,-0.188888888888889,-0.188888888888889,-0.1,0.133333333333333,-0.2,0.0882151366413792,0.111877394636015,-0.129544807965861
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.104658385093168,0.119607843137255,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,0.340258620689655,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.0715709728867624,-0.306262626262626,0.329604010025063,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.286842105263158,0.25,0.3,0.2,0.2,0.1,-0.1,0,0,-0.0273991882691804,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.118258385093168,0.164052287581699,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.24484593837535,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.16437091503268,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,0.368739633347883,-0.36718746626363,0.172837396521607,0.150615174299385,0.150615174299385,0.150615174299385,-0.437673688755514,-0.0895833952470108,-0.342200126262626,0.350757856178909,0.308270676691729,0.329604010025063,0.286842105263158,0.308270676691729,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,-0.1,0,0.1,-0.0140658549358471,-0.10974025974026,-0.141428571428571
"HEY1",0.388185830819086,0.372732112651711,0.340068796068796,0.307636363636364,0.263636363636364,0.332213642213642,0.363613847452857,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105372549019608,0.0906666666666667,0.326177536231884,0.338706199460916,0.414448595544486,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.358829844337091,0.2,0.377033492822966,0.342296650717703,0.305454545454545,0.28138936535163,-0.265618448637317,0.35189507154213,0.35189507154213,0.471205542898801,-0.598491379809351,0.39937749779855,0.373508771929825,0.373508771929825,0.373508771929825,-0.675313445551772,-0.338987238512426,-0.360217391304348,0.406502313046431,0.360385216033316,0.38546335200747,0.329411764705882,0.359768907563025,0.359768907563025,0.329411764705882,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,-0.1,-0.2,0.233333333333333,0.331597606728179,-0.297916666666667,-0.325153793574846
"FOXC2",0.388185830819086,0.372732112651711,0.340068796068796,0.307636363636364,0.263636363636364,0.332213642213642,0.363613847452857,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105372549019608,0.0906666666666667,0.326177536231884,0.338706199460916,0.414448595544486,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.358829844337091,0.2,0.377033492822966,0.342296650717703,0.305454545454545,0.28138936535163,-0.265618448637317,0.35189507154213,0.35189507154213,0.471205542898801,-0.598491379809351,0.39937749779855,0.373508771929825,0.373508771929825,0.373508771929825,-0.675313445551772,-0.338987238512426,-0.360217391304348,0.406502313046431,0.360385216033316,0.38546335200747,0.329411764705882,0.359768907563025,0.359768907563025,0.329411764705882,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,-0.1,-0.2,0.233333333333333,0.331597606728179,-0.297916666666667,-0.325153793574846
"DSH",0.230956881977051,0.258513081121777,0.240331262939959,0.203188405797101,0.146666666666667,0.133214396823373,0.19187183645388,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0763983808235878,0.0631908336537765,0.13107412081289,0.176609195402299,0.262703081232493,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.179546012308944,0.0866666666666667,0.239751425045543,0.222268907563025,0.192857142857143,0.156541019955654,-0.33287917108591,0.363763163790648,0.363763163790648,0.393329797282309,-0.395471489932269,0.194428305612516,0.172837396521607,0.172837396521607,0.172837396521607,-0.465314533825937,-0.105525424232518,-0.368805630849782,0.369309892378004,0.329323308270677,0.350757856178909,0.308270676691729,0.329604010025063,0.329604010025063,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,-0.0666666666666667,-0.05,0.2,-0.00208196772537376,-0.119417679095098,-0.159738430583501
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.22073762506942,0.227666911225238,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.374004753416518,0.110714285714286,0.0857142857142857,0.14,0.1,0.258543536260005,0.1,0.21041181041181,0.156565656565657,0.111111111111111,0.0613968253968254,-0.332663797226208,0.372663797226208,0.372663797226208,0.624385964912281,-0.474936280818634,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.543314330360812,-0.163442579269917,-0.380952950808151,0.378142405447561,0.32,0.351288185498712,0.27,0.318421052631579,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,-0.1,-0.1,0,0.0194388304144402,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.283333333333333,0.3,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.2,0.1,0,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.266666666666667,-0.383333333333333,0.245238095238095,0.25,0.196666666666667,0.2,0.15,0.15,0.1,0.2,0.1,0.2,0.1,0,-0.2,0,0.261212121212121,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.172727385336081,0.192441566790651,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.395726435390614,-0.397252128896725,0.215871622630243,0.18621645021645,0.18621645021645,0.18621645021645,-0.472077970556085,-0.182114807114807,-0.376039526859199,0.383073099703534,0.332612411742847,0.35874877537921,0.303381642512077,0.332612411742847,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,-0.2,0,0.1,-0.0241288405486459,-0.115384615384615,-0.165481577246283
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.172727385336081,0.192441566790651,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.395726435390614,-0.397252128896725,0.215871622630243,0.18621645021645,0.18621645021645,0.18621645021645,-0.472077970556085,-0.182114807114807,-0.376039526859199,0.383073099703534,0.332612411742847,0.35874877537921,0.303381642512077,0.332612411742847,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,-0.2,0,0.1,-0.0241288405486459,-0.115384615384615,-0.165481577246283
"SNAI2",0.424132004708042,0.410865771595995,0.374992755722979,0.333613445378151,0.276470588235294,0.367590273636785,0.392855224281493,0.2,0.349019607843137,0.288235294117647,0.116169379144063,0.112267809757093,0.0934272300469483,0.366366802039965,0.368187552565181,0.449803614206397,0.326724137931034,0.275,0.301176470588235,0.26,0.405249379776234,0.2,0.414912280701754,0.376754385964912,0.332894736842105,0.323799864773496,-0.285905550146056,0.376801801801802,0.376801801801802,0.715757988152165,-0.642207492563871,0.440711570444286,0.411187760920476,0.411187760920476,0.411187760920476,-0.810223988878824,-0.378276225502841,-0.385020526885736,0.459117461125011,0.407694982613015,0.435407783705656,0.375454545454545,0.407322677322677,0.407322677322677,0.375454545454545,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,-0.1,-0.2,0.26,0.376189123470636,-0.335870348139256,-0.352615498254096
"cateninnuc",0.395647329012188,0.381290955949812,0.35890289624832,0.330759183673469,0.297959183673469,0.336489663743988,0.373242272393146,0.297101449275362,0.35046049781281,0.324970301734379,0.124609848128058,0.111693787077334,0.103431678815226,0.221984851093131,0.344162020478294,0.330529754934411,0.325794673539519,0.302083333333333,0.19,0.163333333333333,0.256474112087583,0.270833333333333,0.379271860080314,0.359081836327345,0.333333333333333,0.262328836880612,-0.297697165361783,0.379882172837304,0.379882172837304,0.474438236849261,-0.419482925808952,0.390397591038249,0.373131403987889,0.373131403987889,0.373131403987889,-0.498107413154877,-0.330036994251427,-0.387067465950438,0.19698663267518,0.267092616303884,0.282499829156118,0.248910798122066,0.26616202331555,0.26616202331555,0.247904761904762,0.226183525394793,0.225177489177489,0.196606060606061,0.196606060606061,-0.233333333333333,-0.133333333333333,0.160606060606061,0.308875044357729,-0.208471337579618,-0.348348165650335
"RAS",0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.306489675516224,0.315727554179567,0.26,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.192870056497175,0.212222222222222,0.375242771412984,0.173333333333333,0.166666666666667,0.116666666666667,0.1,0.258624088310664,0.2,0.277259185700099,0.226315789473684,0.2,0.0125541125541125,-0.356428571428571,0.398696612665685,0.398696612665685,0.57634173186284,-0.400410502033264,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,-0.47119473173547,-0.216493055555556,-0.407661538461538,0.410392995615148,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,-0.2,-0.1,0,-0.036004478156856,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.370573870573871,0.39267243394903,0.343736263736264,0.301428571428571,0.271428571428571,0.356393745557925,0.359400959400959,0.276190476190476,0.323037323037323,0.30952380952381,0.261647727272727,0.259196932100158,0.252903225806452,0.298701026608003,0.338011695906433,0.403942028985507,0.304678362573099,0.288888888888889,0.233333333333333,0.2,0.357215265481102,0.3,0.394031320791884,0.347552447552448,0.309090909090909,-0.0272222222222222,-0.362017543859649,0.400588972431078,0.400588972431078,0.645446544203578,-0.494195273195273,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,-0.563557925110508,-0.315163507989595,-0.410651126415904,0.400953016773763,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,-0.2,-0.2,0,-0.0381541496220395,-0.268468468468469,-0.381834795321637
"AKT",0.278068809852519,0.298020999086996,0.273778574844572,0.233941176470588,0.177941176470588,0.194246372677853,0.221555490841284,0.0952380952380952,0.192441566790651,0.148179271708683,0.0875742731867506,0.0923497091765999,0.0798917967186875,0.14889338731444,0.195210018739431,0.300508427345206,0.276018099547511,0.252941176470588,0.115384615384615,0.1,0.202846942938742,0.2,0.2592749500696,0.236104218362283,0.203846153846154,0.196794871794872,-0.370175438596491,0.404718085566492,0.404718085566492,0.424615324279503,-0.429493684679734,0.242213086044877,0.215871622630243,0.215871622630243,0.215871622630243,-0.504652002446746,-0.201361669039493,-0.405798239995928,0.403760063013449,0.35845510837206,0.383073099703534,0.332612411742847,0.35874877537921,0.35874877537921,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,-0.166666666666667,-0.05,0.2,-0.0100173422908062,-0.132051282051282,-0.189231577246283
"MEK",0.33744792537896,0.363955769087088,0.320890075656431,0.267619047619048,0.22,0.245898915392,0.174333577891905,0.17,0.227666911225238,0.187241379310345,0.163218245169465,0.165950203144554,0.156725110893631,0.227544412300439,0.185580595874714,0.406605486017251,0.156168831168831,0.110714285714286,0.184,0.14,0.279035339538693,0.0857142857142857,0.247638087784073,0.21041181041181,0.156565656565657,0.0925079365079365,-0.369918699186992,0.410759035321446,0.410759035321446,0.659507916131793,-0.512833591332081,0.129388050713929,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.584662235643144,-0.189387163652789,-0.419033446164188,0.402345032089212,0.352867132867133,0.378142405447561,0.32,0.351288185498712,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,-0.1,-0.1,0.1,0.0374716172996861,-0.208590163934426,-0.257629367536488
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.373019670388091,0.415,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.351941391941392,0.266666666666667,0.2,0.15,0.1,0.188531468531469,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.420634920634921,0.420634920634921,0.439156399156399,-0.144450549450549,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.283107697318424,-0.223809523809524,-0.431699604743083,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.1,-0.1,0.1,-0.157654776999835,-0.15,-0.423703703703704
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.293091168091168,0.252190476190476,0.1,0.178857142857143,0.142857142857143,0.181940144478844,0.18578795379538,0.172916666666667,0.2557343550447,0.321042471042471,0.532941176470588,0.264285714285714,0.314285714285714,0.18,0.12,0.287413308341143,0.3,0.362914862914863,0.307359307359307,0.245454545454545,0.301890756302521,-0.363369963369963,0.425418546365915,0.425418546365915,0.660746007804831,-0.569672288495818,0.380219072994298,0.334119782214156,0.334119782214156,0.334119782214156,-0.682863893582049,-0.221306818181818,-0.428840579710145,0.441954156954157,0.376239316239316,0.410330225330225,0.331623931623932,0.376239316239316,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,-0.2,-0.1,0.1,0.133066410567066,-0.228148148148148,-0.277322404371585
"Csn",0.253408429994954,0.279596679832344,0.252802421459138,0.206648575305292,0.145454545454545,0.163375769751509,0.244680735930736,0.106666666666667,0.209264069264069,0.161212121212121,0.0753737541528239,0.0823617387046469,0.0687370600414079,0.139396839132429,0.205766666666667,0.295079862198559,0.184166666666667,0.155,0.108513708513709,0.0873015873015873,0.187152064866351,0.105,0.263672438672439,0.238672438672439,0.201010101010101,0.171982013144241,-0.399880772821949,0.437031633815566,0.437031633815566,0.439235968462865,-0.443194915110398,0.236473729817674,0.208706739526412,0.208706739526412,0.208706739526412,-0.516864451477672,-0.145127328740693,-0.444881466416248,0.42268823335894,0.374827075999096,0.400418556726848,0.348511286525412,0.375297000811126,0.375297000811126,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,-0.18,-0.0428571428571429,0.2,0.0441368287251805,-0.124642740771773,-0.179751126680612
