"","FOXC2","TGF","TGFR","CDC42","PAK1","SOSGRB2","MEK","SNAI1","HEY1","TWIST1","AKT","SHH","IKK","SMAD","NFB","Csn","ILK","SMO","FUS","Jagged","NOTCH","NOTCHic","Csl","KLF4","cateninmemb","ZEB2","ZEB1","SNAI2","RAS","RAF","PI3K","DELTA","GSK3","Ecadherin","miR200","GLI","cateninnuc","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","RKIP","TrCP","SUFU","LIV1","Destcompl","Patched","ERK","cfos","EGR1"
"SOSGRB2",-0.211611721611722,-0.23082612423038,-0.20032967032967,-0.165714285714286,-0.135714285714286,0.0266666666666667,0.12971022971023,-0.174513148542999,-0.127272727272727,-0.202086956521739,-0.0318713450292398,-0.263125916614289,-0.0152046783625731,-0.223496503496504,0.0111111111111111,0,-0.22,-0.233333333333333,-0.2,-0.309788741940677,-0.0771299123411799,-0.0475524475524476,-0.00909090909090909,0.241315789473684,0.401219804219804,-0.261315789473684,-0.261315789473684,-0.541855056733727,0.0891931044473417,0.119962335216573,0.119962335216573,0.119962335216573,0.104887498351734,0.443333374962014,0.277189604934534,-0.265993788819876,-0.305122116122462,-0.287340089353819,-0.229761904761905,-0.264182194616977,-0.227950310559006,-0.171428571428571,-0.171428571428571,-0.1,-0.1,-0.284832233223322,0.231907894736842,0,0.2,0,-0.0562553777318878,0.246846846846847,-0.150922350922351,-0.16984126984127,-0.180952380952381
"ZEB2",-0.223094017094017,-0.214091939806226,-0.207742733457019,-0.20025974025974,-0.194805194805195,-0.187435897435897,-0.157161442157715,-0.140452824803354,-0.120190615835777,-0.117296842023051,-0.114267912772586,-0.113737725688945,-0.113333333333333,-0.111659072634682,-0.111111111111111,-0.111111111111111,-0.11043956043956,-0.108571428571429,-0.1,-0.0985246200364916,-0.0925430853299706,-0.0887179487179487,-0.0820512820512821,-0.063954212387318,-0.0482153719986268,-0.0356762495052843,-0.0356762495052843,-0.0279877540617763,-0.0227126264171232,-0.0173593073593074,-0.0173593073593074,-0.0173593073593074,-0.0123587655178406,-0.00592306430353777,-0.000789872574902863,0.0480319069309895,0.0488198266330216,0.0515470993602943,0.0517016317016317,0.0550682261208577,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0874933309354674,0.0976811594202898,0.1,0.1,0.1,0.110095888063558,0.111010452961672,0.149844368986984,0.153070175438596,0.158333333333333
"cMet",0.014409282700422,0.00612293144208038,0.0188888888888889,0.0466666666666667,0.0466666666666667,0.311428571428571,0.285,-0.0148793915966084,-0.102717578259374,-0.0221031403053875,-0.0120833333333333,-0.168181818181818,0.00666666666666667,-0.151595547309833,0,0,-0.147959183673469,-0.15,-0.15,-0.183304955913652,-0.0344424892017277,-0.0195488721804511,-0.0142857142857143,0.0396825396825397,0.217141618760836,0.0471861471861472,0.0471861471861472,-0.364326136150954,0.151536388140162,0.162857142857143,0.162857142857143,0.162857142857143,0.0999807987711213,0.202461700152186,-0.0674980786122091,-0.174848484848485,-0.193728005012987,-0.185253428741801,-0.156666666666667,-0.172945736434109,-0.156666666666667,-0.15,-0.05,-0.1,0,-0.197460317460317,0.125925925925926,0,0.1,0.1,-0.00349429698169194,0.168181818181818,-0.305,-0.315,-0.275
"CD44",0.0283333333333333,0.0188888888888889,0.0466666666666667,0.0466666666666667,0.0666666666666667,0.304761904761905,0.305,-0.0131844763423711,-0.104678362573099,-0.00974358974358975,0.00666666666666667,-0.168181818181818,0,-0.147959183673469,0,0,-0.15,-0.15,-0.1,-0.176783216783217,-0.0195488721804511,-0.0142857142857143,0,0.0301587301587302,0.203974358974359,0.0603174603174603,0.0603174603174603,-0.348997668997669,0.162857142857143,0.171428571428571,0.171428571428571,0.171428571428571,0.0886904761904762,0.186940071653458,-0.076873078612209,-0.156666666666667,-0.185253428741801,-0.172945736434109,-0.15,-0.156666666666667,-0.05,-0.1,0,0,0.1,-0.18,0.111111111111111,-0.1,0.1,0.1,0.0066408381534432,0.15,-0.315,-0.275,-0.3
"RAS",0.0958730158730159,0.102597553873034,0.0976470588235294,0.08,0.06,0.148917748917749,0.191119711042312,0.0168928220255654,0.000197628458498024,0.0682815057283142,0.0922222222222222,-0.0890282485875706,0.0866666666666667,-0.0963512677798392,0.0666666666666667,0.1,-0.1004329004329,-0.0833333333333333,-0.1,-0.058876404494382,0.121449851042701,0.115789473684211,0.1,-0.0957142857142857,-0.0622527714746323,0.0988070692194404,0.0988070692194404,-0.134900706938483,0.0796153846153846,0.177692307692308,0.177692307692308,0.177692307692308,0.0375839793281654,-0.0405842020602707,-0.113292307692308,0.110049019607843,0.115220223797943,0.113803793203042,0.105882352941176,0.112265331664581,0.105882352941176,0.1,0.1,0.1,0.1,0.136337285902503,0.0614465408805031,-0.1,0.1,0,-0.0294471242145661,0.0873333333333333,-0.181315789473684,-0.155,-0.18
"Destcompl",0.0459712163458392,0.0168124745360939,0.0190784843883107,0.0217100633356791,0.0210204081632653,-0.0332232378588183,0.0456015741884179,0.0856733698692557,-0.00209551132628056,-0.046833132667606,0.0371673728837429,-0.129239199254139,0.0391807957025348,0.0012155388471178,0.0436853002070394,0.0523809523809524,0.000396825396825398,-0.128527640941434,-0.125670498084291,-0.19226629892213,-0.0647621839841061,-0.0625577751664708,-0.0603838621229926,-0.191863741085473,0.220652087073979,0.17978903278857,0.17978903278857,-0.244795897622578,0.00222811845468452,0.00379797716740037,0.00379797716740037,0.00379797716740037,-0.0823585858167131,0.0607780658783806,-0.191452788236364,-0.18724256965814,-0.191256590205333,-0.189471786533737,-0.183346465762036,-0.18659507420497,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.239593018681242,-0.0841129899359007,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0193938128422612,0.12904577565646,-0.0485551606863082,-0.0534731934731935,-0.0625641025641026
"AXIN2",0.101270836891446,0.0570279776256878,0.0603283076586911,0.0647530864197531,0.0783333333333333,-0.0208808987490614,0.109087560163388,0.14120984517657,-0.00217263046877651,-0.0434036048843351,0.0923671497584541,-0.167664985287936,0.0990338164251208,-0.000764895330112722,0.109178743961353,0.122222222222222,-0.000368069933287325,-0.162454212454212,-0.157692307692308,-0.228597906206602,-0.0592618370249949,-0.0558834586466165,-0.0505263157894737,-0.248927674632424,0.251780766252007,0.236308657208529,0.236308657208529,-0.287415041769771,0.0672871653574866,0.069649370081896,0.069649370081896,0.069649370081896,-0.163328922920456,0.0691865699089228,-0.251166405634976,-0.237208142308837,-0.242403221880551,-0.239593018681242,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.134888829808185,-0.133333333333333,0.15,-0.233333333333333,0.161933937362314,0.166025641025641,-0.117363422232353,-0.131382113821138,-0.153333333333333
"Wnt",0.155303643724696,0.185797101449275,0.146666666666667,0.1,0.1,0.209090909090909,0.119607843137255,0.0578674948240166,0.0256410256410256,0.202941176470588,0.111666666666667,0.0733766233766234,0.0866666666666667,0.0168554959252634,0.0666666666666667,0.1,0.0145299145299145,0.05,0,0.129730392156863,0.176190476190476,0.142857142857143,0.1,-0.262745098039216,-0.331313559322034,0.284696317551411,0.284696317551411,0.303534482758621,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.033307210031348,-0.386267843093177,-0.291717171717172,0.286842105263158,0.3235024647712,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.015,-0.1,0,0,-0.0122557947664191,-0.0590909090909091,-0.0666666666666667,-0.0666666666666667,-0.1
"Frizzled",0.178559457678185,0.211511387163561,0.185797101449275,0.146666666666667,0.1,0.242424242424242,0.149237472766885,0.0785024154589372,0.0277686852154937,0.221036414565826,0.136666666666667,0.086279849183075,0.111666666666667,0.0233975520000297,0.0866666666666667,0.0666666666666667,0.0168554959252634,0.0590909090909091,0.05,0.142861705288176,0.205602240896359,0.176190476190476,0.142857142857143,-0.281792717086835,-0.355758003766478,0.307468594779134,0.307468594779134,0.325931959099315,0.176599426267889,0.150615174299385,0.150615174299385,0.150615174299385,-0.053307210031348,-0.413540570365905,-0.312029671717172,0.308270676691729,0.337788179056914,0.3235024647712,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.0292857142857143,-0.1,0,0.1,0.000211048734907111,-0.0733766233766234,-0.119607843137255,-0.0666666666666667,-0.0666666666666667
"DSH",0.198039977158704,0.231372014341261,0.211511387163561,0.185797101449275,0.146666666666667,0.283887657058389,0.174049502842073,0.095024154589372,0.0365406150400551,0.238766911019727,0.153908045977012,0.0979362909008664,0.136666666666667,0.0267937784151241,0.111666666666667,0.0866666666666667,0.0233975520000297,0.0733766233766234,0.0590909090909091,0.15448961226492,0.224483359777477,0.205602240896359,0.176190476190476,-0.302181066601398,-0.376606060303581,0.327941035724016,0.327941035724016,0.342346394489303,0.196487381449962,0.176599426267889,0.176599426267889,0.176599426267889,-0.0642120824211392,-0.435050666941849,-0.333980891229367,0.323303356430291,0.350878116723877,0.337788179056914,0.308270676691729,0.3235024647712,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.361210693927797,-0.0411738261738262,-0.0666666666666667,-0.05,0.2,0.00975303346773154,-0.086279849183075,-0.149237472766885,-0.119607843137255,-0.0666666666666667
"PI3K",0.223537746806039,0.248022477283596,0.217941176470588,0.177941176470588,0.125,0.268076923076923,0.17932681269229,0.13664653784219,0.0422022668415565,0.256146126780482,0.252488687782805,0.101495726495726,0.229411764705882,0.0375734293717487,0.2,0.166666666666667,0.0335734293717487,0.0666666666666667,0.05,0.163947368421053,0.220719602977668,0.188461538461538,0.15,-0.320175438596491,-0.387437361915629,0.348052404368924,0.348052404368924,0.356307467603581,0.219093162545217,0.18621645021645,0.18621645021645,0.18621645021645,-0.14522607022607,-0.451322627160034,-0.349411259247325,0.332612411742847,0.371866882009024,0.353516366545106,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.0676147382029735,-0.2,0,0.1,-0.0118656458849738,-0.0820512820512821,-0.148179271708683,-0.0952380952380952,-0.0666666666666667
"ILK",0.223537746806039,0.248022477283596,0.217941176470588,0.177941176470588,0.125,0.268076923076923,0.17932681269229,0.13664653784219,0.0422022668415565,0.256146126780482,0.252488687782805,0.101495726495726,0.229411764705882,0.0375734293717487,0.2,0.166666666666667,0.0335734293717487,0.0666666666666667,0.05,0.163947368421053,0.220719602977668,0.188461538461538,0.15,-0.320175438596491,-0.387437361915629,0.348052404368924,0.348052404368924,0.356307467603581,0.219093162545217,0.18621645021645,0.18621645021645,0.18621645021645,-0.14522607022607,-0.451322627160034,-0.349411259247325,0.332612411742847,0.371866882009024,0.353516366545106,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.0676147382029735,-0.2,0,0.1,-0.0118656458849738,-0.0820512820512821,-0.148179271708683,-0.0952380952380952,-0.0666666666666667
"HEY1",0.387715377204185,0.37170140428677,0.340969696969697,0.307636363636364,0.263636363636364,0.385806174957118,0.364959479574398,0.322674438773968,0.0813598166539343,0.410653594771242,0.336190476190476,0.307795698924731,0.302857142857143,0.0587826086956522,0.26,0.2,0.0573333333333333,0.266666666666667,0.233333333333333,0.344687656171914,0.374255413604301,0.342296650717703,0.305454545454545,-0.266666666666667,-0.592429433709922,0.351883384932921,0.351883384932921,0.45276036706373,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.331743321174056,-0.670399806405718,-0.36045177045177,0.353897196408636,0.395148917516182,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.260265924551639,-0.1,-0.2,0.233333333333333,0.344112548015846,-0.291666666666667,-0.328877005347594,-0.281818181818182,-0.2
"FOXC2",0.387715377204185,0.37170140428677,0.340969696969697,0.307636363636364,0.263636363636364,0.385806174957118,0.364959479574398,0.322674438773968,0.0813598166539343,0.410653594771242,0.336190476190476,0.307795698924731,0.302857142857143,0.0587826086956522,0.26,0.2,0.0573333333333333,0.266666666666667,0.233333333333333,0.344687656171914,0.374255413604301,0.342296650717703,0.305454545454545,-0.266666666666667,-0.592429433709922,0.351883384932921,0.351883384932921,0.45276036706373,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.331743321174056,-0.670399806405718,-0.36045177045177,0.353897196408636,0.395148917516182,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.260265924551639,-0.1,-0.2,0.233333333333333,0.344112548015846,-0.291666666666667,-0.328877005347594,-0.281818181818182,-0.2
"SRC",0.295088702147526,0.298174603174603,0.278174603174603,0.263888888888889,0.288888888888889,0.311428571428571,0.27812083095102,0.166923302868757,0.0291625289639192,0.159180245042314,0.108974358974359,-0.0118736383442266,0.0923076923076923,-0.00577287814129919,0.1,0.1,-0.00307017543859649,-0.0333333333333333,-0.0333333333333333,0.0175358739120207,0.115714285714286,0.0942857142857143,0.08,-0.243087855297158,-0.0261285735668313,0.354080563042827,0.354080563042827,0.0046194841153083,0.208863731179125,0.195227367542762,0.195227367542762,0.195227367542762,0.0730735930735931,-0.147258792405851,-0.368522910262041,-0.00524590163934426,0.00888352488982036,0.0032906837265094,-0.02,-0.00524590163934426,-0.02,-0.05,-0.05,-0.1,0,-0.0574631306047856,-0.0403714565004888,-0.1,0.0333333333333333,0,-0.0516857779901258,0.0148148148148148,-0.268686868686869,-0.290909090909091,-0.3
"cateninnuc",0.377896786273835,0.364931488428251,0.348774283188076,0.328659340659341,0.299428571428571,0.410221544195981,0.368742005006035,0.310485466167437,0.0702828156766441,0.313596831895286,0.328168560606061,0.186413906974051,0.314106060606061,0.0467248434451709,0.298106060606061,0.270833333333333,0.0441327561327561,0.164808743169399,0.153333333333333,0.229742726178807,0.365399183000681,0.348581001182499,0.328813559322034,-0.289942817167016,-0.404290143979634,0.364411986910952,0.364411986910952,0.440348922550815,0.38949796949797,0.373168003168003,0.373168003168003,0.373168003168003,-0.315623206711546,-0.480090991953515,-0.372501130009864,0.254260396145447,0.177109650079981,0.266366761375204,0.238054862548609,0.253297306558176,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395148917516182,-0.241997215357017,-0.233333333333333,-0.133333333333333,0.160606060606061,0.323625417943385,-0.176609985405424,-0.351310812345485,-0.327260179434092,-0.297101449275362
"RKIP",0.286811081638668,0.313413440142412,0.267619047619048,0.22,0.2,0.140761904761905,0.0276669112252384,0.197212283433025,0.135656213704994,0.36592394533571,0.144047619047619,0.189311475409836,0.110714285714286,0.130794430534196,0.0857142857142857,0.1,0.127824133504493,0.14,0.1,0.245866682836123,0.202719502719503,0.156565656565657,0.111111111111111,-0.332663797226208,-0.47362909127615,0.364663797226208,0.364663797226208,0.607129451535816,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.141292356185973,-0.536644885956278,-0.374751400420554,0.32,0.375461213488534,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.173459383753501,-0.1,-0.1,0,0.0278187233081386,-0.168,0.0127586206896552,0.03,0.03
"AKT",0.248349776881227,0.273702235591753,0.248022477283596,0.217941176470588,0.177941176470588,0.312521367521368,0.205909091173303,0.155443530323393,0.0489691841347896,0.279693527392103,0.173700808994927,0.114127305443095,0.252488687782805,0.0412771330754524,0.229411764705882,0.2,0.0375734293717487,0.0820512820512821,0.0666666666666667,0.177854653189265,0.245109846880107,0.220719602977668,0.188461538461538,-0.343252361673414,-0.413227372109309,0.373394870122349,0.373394870122349,0.37731249272921,0.243912439653651,0.219093162545217,0.219093162545217,0.219093162545217,-0.16014542506478,-0.477989293826701,-0.375079708445186,0.353282802804299,0.387713035855178,0.371866882009024,0.332612411742847,0.353516366545106,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.386028193226749,-0.0856271605632219,-0.166666666666667,-0.05,0.2,0.0011202929074166,-0.101495726495726,-0.17932681269229,-0.148179271708683,-0.0952380952380952
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.3,0.283333333333333,0.0666666666666667,0.2,0.15,0.253333333333333,0.1,0.0833333333333333,0,0,0.0666666666666667,0.3,0.2,0.162857142857143,0.233333333333333,0.2,0.1,-0.3,-0.299068100358423,0.375,0.375,0.360383141762452,0.303846153846154,0.25,0.25,0.25,-0.256410256410256,-0.341666666666667,-0.383333333333333,0.25,0.241111111111111,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,-0.22,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.2,-0.1,0
"SNAI2",0.423902047963757,0.410276395954145,0.375493787258493,0.333613445378151,0.276470588235294,0.410243407707911,0.393614202437732,0.361356563182725,0.0926461723930078,0.44707977216696,0.366483174075613,0.352915476049575,0.326724137931034,0.0713082321681284,0.275,0.2,0.0670020120724346,0.301176470588235,0.26,0.394918854270611,0.413118022328549,0.376754385964912,0.332894736842105,-0.286538461538462,-0.637322833913454,0.376826725403818,0.376826725403818,0.701337478448503,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.373055034747077,-0.806662733615214,-0.385174565562869,0.402974962071897,0.449229572098264,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.296923076923077,-0.1,-0.2,0.26,0.387209467269387,-0.331788715486194,-0.349019607843137,-0.288235294117647,-0.2
