"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","TWIST1","HEY1","SMAD","SHH","ILK","AKT","IKK","SMO","NFB","Jagged","FUS","NOTCH","NOTCHic","Csn","Csl","SNAI2","SOSGRB2","ZEB2","ZEB1","RAS","KLF4","RAF","PI3K","DELTA","cateninmemb","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","miR200","Ecadherin","STAT","GSK3","AXIN2","LIV1","Destcompl","TrCP","SUFU","Patched","RKIP"
"Destcompl",0.0758756982465598,0.0481137025044063,0.0512903225806452,0.0484331797235023,0.0371428571428571,0.068626346578246,0.112027504016563,0.0678856058375053,0.0653333333333333,0.0636939890710382,-0.0143605497463311,0.0135495368547568,0.0178979707332848,-0.101419100332387,0.0162205513784461,0.0590277689846207,0.0625297145099125,-0.094047619047619,0.0635198135198135,-0.154918136373038,-0.094047619047619,-0.0374453075803965,-0.0340861344537815,0.058974358974359,-0.0334325396825397,-0.197123265106642,-0.0429382853433486,0.205647506999921,0.205647506999921,0.0256495307662299,-0.213443356869514,0.0248845034438255,0.0248845034438255,0.0248845034438255,0.179459147398858,-0.132675199668773,-0.135781968022483,-0.133226670257009,-0.135483460559796,-0.13474358974359,-0.131666666666667,-0.13474358974359,-0.131666666666667,-0.131666666666667,-0.217116697328027,0.025687189772315,-0.131666666666667,-0.107117050149545,-0.200335303087637,-0.141666666666667,0.000191405324811494,-0.0666666666666667,0.108333333333333,0.0988668961560528,-0.136713880851165
"AXIN2",0.12743354197299,0.0846912252572851,0.0811892797319933,0.0766666666666667,0.0833333333333333,0.123676173587508,0.169012127437188,0.124422442244224,0.153333333333333,0.133333333333333,-0.0130331791201356,0.0200620139531395,0.0203294527599588,-0.137570968685982,0.0230209641471224,0.112532510736104,0.113131313131313,-0.14,0.113131313131313,-0.193698361939568,-0.15,-0.0333189033189033,-0.0341125541125541,0.122222222222222,-0.0371428571428571,-0.246784581583529,-0.0634485582761445,0.255116440093748,0.255116440093748,0.0869049562932017,-0.259040166927491,0.0880696817507725,0.0880696817507725,0.0880696817507725,0.218841805033401,-0.199480602232936,-0.200613297378003,-0.200335303087637,-0.199687371452077,-0.200152487731147,-0.203216783216783,-0.199687371452077,-0.203216783216783,-0.212307692307692,-0.268834031044553,0.0399468661615999,-0.212307692307692,-0.185764106158803,0.213096152673617,-0.22,0.176417364428957,-0.133333333333333,0.15,0.136078431372549,-0.190367203219316
"Wnt",0.174017094017094,0.199047619047619,0.146666666666667,0.1,0.1,0.119607843137255,0.0976190476190476,0.0666666666666667,0.1,0.0666666666666667,0.20952380952381,0.0656410256410257,0.0566487775790101,0.100717703349282,0.058974358974359,0.136666666666667,0.0866666666666667,0.05,0.0666666666666667,0.13037037037037,0,0.188311688311688,0.142857142857143,0.1,0.1,0.314071696094168,0.0939393939393939,0.304208512673362,0.304208512673362,0.131523960935726,-0.262745098039216,0.112605042016807,0.112605042016807,0.112605042016807,-0.315654761904762,0.276145363408521,0.247619047619048,0.258145363408521,0.233333333333333,0.247619047619048,0.3,0.233333333333333,0.2,0.2,-0.306262626262626,-0.393121510673235,0.1,-0.0548039215686275,0.285990338164251,0,-0.0528075450363632,-0.1,0,-0.0954545454545455,-0.12
"HEY1",0.34623330074943,0.328525860104807,0.298701298701299,0.271428571428571,0.242857142857143,0.327101449275362,0.301423558897243,0.297101449275362,0.2,0.266666666666667,0.277505285412262,0.10390977443609,0.0957575757575758,0.184173669467787,0.0866666666666667,0.304166666666667,0.270833333333333,0.133333333333333,0.233333333333333,0.209053356282272,0.1,0.329411764705882,0.3,0.2,0.266666666666667,0.415547671996894,0.227142857142857,0.328018575851393,0.328018575851393,0.347120743034056,-0.238888888888889,0.329473684210526,0.329473684210526,0.329473684210526,-0.570202708714579,0.232436083801238,0.204591836734694,0.218423344947735,0.182142857142857,0.20297619047619,0.158333333333333,0.182142857142857,0.158333333333333,0.133333333333333,-0.333356511661596,-0.642417567223361,0.133333333333333,-0.304164961906584,0.343843947217441,0.1,0.285374534739454,-0.1,-0.1,-0.162745098039216,-0.304714285714286
"FOXC2",0.34623330074943,0.328525860104807,0.298701298701299,0.271428571428571,0.242857142857143,0.327101449275362,0.301423558897243,0.297101449275362,0.2,0.266666666666667,0.277505285412262,0.10390977443609,0.0957575757575758,0.184173669467787,0.0866666666666667,0.304166666666667,0.270833333333333,0.133333333333333,0.233333333333333,0.209053356282272,0.1,0.329411764705882,0.3,0.2,0.266666666666667,0.415547671996894,0.227142857142857,0.328018575851393,0.328018575851393,0.347120743034056,-0.238888888888889,0.329473684210526,0.329473684210526,0.329473684210526,-0.570202708714579,0.232436083801238,0.204591836734694,0.218423344947735,0.182142857142857,0.20297619047619,0.158333333333333,0.182142857142857,0.158333333333333,0.133333333333333,-0.333356511661596,-0.642417567223361,0.133333333333333,-0.304164961906584,0.343843947217441,0.1,0.285374534739454,-0.1,-0.1,-0.162745098039216,-0.304714285714286
"Frizzled",0.203887223887224,0.226520146520147,0.199047619047619,0.146666666666667,0.1,0.161915535444947,0.102882205513784,0.119607843137255,0.0666666666666667,0.0666666666666667,0.222776821572002,0.0635133660665576,0.0631908336537765,0.102472089314195,0.0566487775790101,0.156666666666667,0.136666666666667,0.0954545454545455,0.0866666666666667,0.134074074074074,0.05,0.206493506493507,0.188311688311688,0.0666666666666667,0.142857142857143,0.337148619171091,0.12297165200391,0.33616727555996,0.33616727555996,0.145249451131804,-0.300840336134454,0.131523960935726,0.131523960935726,0.131523960935726,-0.345254761904762,0.294292081555239,0.258145363408521,0.276145363408521,0.247619047619048,0.258145363408521,0.233333333333333,0.247619047619048,0.233333333333333,0.3,-0.340133594004562,-0.423202811486243,0.2,-0.0680392156862745,0.304023125049497,0.1,-0.0425601952130416,-0.1,0,-0.100717703349282,-0.135384615384615
"SNAI2",0.389346308030519,0.372117237953304,0.340969696969697,0.307636363636364,0.263636363636364,0.365047218113551,0.334985428600141,0.328877005347594,0.2,0.281818181818182,0.409147835121581,0.111306340718105,0.105159420289855,0.322407031778229,0.0906666666666667,0.340112044817927,0.302857142857143,0.266666666666667,0.26,0.347974937343358,0.233333333333333,0.375155542132286,0.342597402597403,0.2,0.305454545454545,0.672545251772434,0.280181818181818,0.354821380607037,0.354821380607037,0.39685855597815,-0.266666666666667,0.374587813620072,0.374587813620072,0.374587813620072,-0.61951540558074,0.37805977992842,0.344761904761905,0.362290549159189,0.320952380952381,0.343843947217441,0.295238095238095,0.320952380952381,0.295238095238095,0.266666666666667,-0.362845733501471,-0.78436725787874,0.266666666666667,-0.343333613393176,0.397328671328671,0.233333333333333,0.330898254266284,-0.1,-0.2,-0.297701149425287,-0.329029424681599
"DSH",0.212516665511589,0.235456316732912,0.226520146520147,0.199047619047619,0.146666666666667,0.181915535444947,0.113620460547342,0.161915535444947,0.0666666666666667,0.119607843137255,0.234192346686158,0.072285295891119,0.0754437980806539,0.110058296210746,0.0631908336537765,0.164166666666667,0.156666666666667,0.100717703349282,0.136666666666667,0.146151368760064,0.0954545454545455,0.214968082764693,0.206493506493507,0.0866666666666667,0.188311688311688,0.357553340924885,0.14351959720939,0.356335342786851,0.356335342786851,0.162465568347921,-0.330133265427383,0.145249451131804,0.145249451131804,0.145249451131804,-0.370413997573552,0.306830307854934,0.275792422232051,0.294292081555239,0.258145363408521,0.276145363408521,0.247619047619048,0.258145363408521,0.247619047619048,0.233333333333333,-0.362211516082484,-0.445872303011667,0.233333333333333,-0.08147205150717,0.322035547409745,0.2,-0.0332232533997804,-0.0666666666666667,-0.05,-0.102472089314195,-0.146834997064005
"cateninnuc",0.353778997879998,0.328908485847496,0.314197742045843,0.290990990990991,0.260990990990991,0.341694213169458,0.288441515203827,0.325444213169458,0.275789473684211,0.301715399610136,0.279599860233663,0.113947962299217,0.103125558503746,0.105506960861571,0.0956425653064675,0.296427925483813,0.285087719298246,0.0858156028368794,0.266666666666667,0.131356639379995,0.0666666666666667,0.313349901625764,0.301187739463602,0.233333333333333,0.282222222222222,0.415394177073782,0.213565806954422,0.358674516998707,0.358674516998707,0.324902630517802,-0.285618677651476,0.31336416897934,0.31336416897934,0.31336416897934,-0.379401432740089,0.0581819866284161,0.13692514915896,0.147877536979704,0.124565598597162,0.135396333972185,0.110840108401084,0.122614379084967,0.108888888888889,0.0888888888888889,-0.366244931176481,-0.463581190754665,0.0888888888888889,-0.292665618531316,0.324525329042018,0.0666666666666667,0.264723510219953,-0.2,-0.0333333333333333,-0.0974822695035461,-0.31379315812645
"RAF",0.289138962303519,0.311236559139785,0.265,0.22,0.2,0.226371814092954,0.210781499202552,0.187241379310345,0.17,0.17,0.352750544662309,0.159581881533101,0.156725110893631,0.198030303030303,0.153754813863928,0.154464285714286,0.110714285714286,0.14,0.0857142857142857,0.233229270729271,0.1,0.200634920634921,0.153968253968254,0.1,0.111111111111111,0.597761127761128,0.0587301587301587,0.371439307430289,0.371439307430289,0.0720916087937365,-0.332663797226208,0.0401767151767152,0.0401767151767152,0.0401767151767152,-0.459198530614673,0.329083226667768,0.29047619047619,0.30891861761427,0.257142857142857,0.287179487179487,0.2,0.253846153846154,0.2,0.1,-0.380025159805282,-0.531517997680628,0.1,-0.142327334455426,0.316428571428571,0,-0.0124494132411638,-0.1,-0.1,-0.181666666666667,-0.223809523809524
"PI3K",0.245909645909646,0.260956211009394,0.230115089514067,0.177941176470588,0.125,0.190552153064616,0.158829431438127,0.148179271708683,0.0666666666666667,0.0952380952380952,0.255382916053019,0.0747923182995325,0.0798917967186875,0.117424242424242,0.0694917967186875,0.271860095389507,0.252941176470588,0.1,0.2,0.15595192915876,0.05,0.222222222222222,0.2,0.166666666666667,0.15,0.368735915243427,0.159514170040486,0.373189622993654,0.373189622993654,0.18993894993895,-0.336842105263158,0.168571428571429,0.168571428571429,0.168571428571429,-0.379241400054228,0.331952475300284,0.290450725744843,0.311818247112365,0.272268907563025,0.290450725744843,0.242857142857143,0.272268907563025,0.242857142857143,0.2,-0.374312800132472,-0.459700402135381,0.2,-0.161491573560539,0.327501304121022,0.1,-0.0528140061215775,-0.2,0,-0.108333333333333,-0.160885989010989
"ILK",0.245909645909646,0.260956211009394,0.230115089514067,0.177941176470588,0.125,0.190552153064616,0.158829431438127,0.148179271708683,0.0666666666666667,0.0952380952380952,0.255382916053019,0.0747923182995325,0.0798917967186875,0.117424242424242,0.0694917967186875,0.271860095389507,0.252941176470588,0.1,0.2,0.15595192915876,0.05,0.222222222222222,0.2,0.166666666666667,0.15,0.368735915243427,0.159514170040486,0.373189622993654,0.373189622993654,0.18993894993895,-0.336842105263158,0.168571428571429,0.168571428571429,0.168571428571429,-0.379241400054228,0.331952475300284,0.290450725744843,0.311818247112365,0.272268907563025,0.290450725744843,0.242857142857143,0.272268907563025,0.242857142857143,0.2,-0.374312800132472,-0.459700402135381,0.2,-0.161491573560539,0.327501304121022,0.1,-0.0528140061215775,-0.2,0,-0.108333333333333,-0.160885989010989
"SHH",0.342857142857143,0.425,0.4,0.3,0.2,0.3,0.27,0.2,0,0.1,0.183333333333333,0.0666666666666667,0.1,0.233333333333333,0.0666666666666667,0.15,0.1,0.3,0,0.142857142857143,0.2,0.22,0.2,0,0.1,0.352380952380952,0.25,0.375,0.375,0.283333333333333,-0.3,0.233333333333333,0.233333333333333,0.233333333333333,-0.292995169082126,0.138888888888889,0.15,0.105555555555556,0.1,0.05,0.2,0,0.1,0.2,-0.383333333333333,-0.336134453781513,0.1,-0.253333333333333,0.233333333333333,0,0.243076923076923,0,-0.2,-0.333333333333333,-0.26
"AKT",0.260447090843567,0.276085362300907,0.260956211009394,0.230115089514067,0.177941176470588,0.212774375286838,0.175930880713489,0.190552153064616,0.0952380952380952,0.148179271708683,0.272378963483849,0.0875742731867506,0.0914707440871085,0.129850277927201,0.0798917967186875,0.183948007477419,0.271860095389507,0.108333333333333,0.252941176470588,0.171654408497603,0.1,0.236296296296296,0.222222222222222,0.2,0.2,0.39293416597229,0.184514170040486,0.39800714124183,0.39800714124183,0.211322597737692,-0.367815556590592,0.18993894993895,0.18993894993895,0.18993894993895,-0.408167019888939,0.345973639321448,0.311459129106188,0.331952475300284,0.290450725744843,0.311818247112365,0.272268907563025,0.290450725744843,0.272268907563025,0.242857142857143,-0.399880981950654,-0.487305520965363,0.242857142857143,-0.177335729404695,0.350905559440171,0.2,-0.0421207041239276,-0.166666666666667,-0.05,-0.117424242424242,-0.177892791732077
"RAS",0.343456790123457,0.364767801857585,0.315294117647059,0.28,0.26,0.315727554179567,0.303115264797508,0.286315789473684,0.26,0.26,0.362777777777778,0.161857707509881,0.158750773036487,0.189238095238095,0.156709956709957,0.212222222222222,0.173333333333333,0.116666666666667,0.166666666666667,0.243238095238095,0.1,0.274315789473684,0.226315789473684,0.2,0.2,0.557681422351234,0.0125541125541125,0.398696612665685,0.398696612665685,0.140153256704981,-0.356428571428571,0.202222222222222,0.202222222222222,0.202222222222222,-0.388357677056668,0.366426586513923,0.318487394957983,0.344155844155844,0.271428571428571,0.316883116883117,0.2,0.271428571428571,0.2,0.1,-0.407661538461538,-0.464908998200613,0.1,-0.203214285714286,0.33663967611336,0,-0.0611480605206325,-0.2,-0.1,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.364918516753379,0.384735658042745,0.341428571428571,0.301428571428571,0.271428571428571,0.358421938421938,0.34936476426799,0.323037323037323,0.276190476190476,0.30952380952381,0.386298204719257,0.261647727272727,0.259196932100158,0.291666666666667,0.252903225806452,0.336593256190121,0.304678362573099,0.233333333333333,0.288888888888889,0.337955927051672,0.2,0.385715909090909,0.345090909090909,0.3,0.309090909090909,0.625259527902394,-0.0292857142857143,0.399698703279939,0.399698703279939,0.315334338863751,-0.362017543859649,0.276872800402212,0.276872800402212,0.276872800402212,-0.482651730005672,0.358760263017594,0.310666666666667,0.336705882352941,0.266666666666667,0.308705882352941,0.2,0.264705882352941,0.2,0.1,-0.40998443917247,-0.555101743883935,0.1,-0.298443083344676,0.330666666666667,0,-0.0663255718954248,-0.2,-0.2,-0.266666666666667,-0.380198948948949
"MEK",0.322123255497237,0.344276206716878,0.311236559139785,0.265,0.22,0.168189995911135,0.227386665254212,0.226371814092954,0.17,0.187241379310345,0.376195520738864,0.163218245169465,0.16540435617665,0.208979208139792,0.156725110893631,0.177541208791209,0.154464285714286,0.181666666666667,0.110714285714286,0.245146369174867,0.14,0.226950710108605,0.200634920634921,0.0857142857142857,0.153968253968254,0.62585885900022,0.0831204026325977,0.405616522620163,0.405616522620163,0.097830005418209,-0.368663797226208,0.0720916087937365,0.0720916087937365,0.0720916087937365,-0.49263956454036,0.347366215538992,0.312215320910973,0.329083226667768,0.29047619047619,0.30891861761427,0.257142857142857,0.287179487179487,0.253846153846154,0.2,-0.414665682681099,-0.56653446310324,0.2,-0.162580499012388,0.347509652509653,0.1,0.00102364065105176,-0.1,-0.1,-0.198030303030303,-0.248989379924632
"IKK",0.480683760683761,0.508616780045351,0.455555555555556,0.4,0.35,0.244611528822055,0.275787930005965,0.176190476190476,0.1,0.142857142857143,0.50292475610934,0.181940144478844,0.184495614035088,0.235589569160998,0.172916666666667,0.311255411255411,0.25974025974026,0.175555555555556,0.314285714285714,0.25112676056338,0.12,0.340941176470588,0.292941176470588,0.3,0.24,0.637236975708818,0.288177339901478,0.418925518925519,0.418925518925519,0.350707070707071,-0.360875160875161,0.313333333333333,0.313333333333333,0.313333333333333,-0.556472670368961,0.389896722047598,0.341176470588235,0.364705882352941,0.307843137254902,0.341176470588235,0.266666666666667,0.307843137254902,0.266666666666667,0.2,-0.42296918767507,-0.667917508032954,0.2,-0.197670995670996,0.377979797979798,0.1,0.0966571622655295,-0.2,-0.1,-0.217222222222222,-0.268055555555556
"CD44",0.38258064516129,0.379411764705882,0.35,0.3,0.2,0.415,0.378863826232247,0.385,0.3,0.325,0.364583333333333,0.204093567251462,0.197619047619048,0.183333333333333,0.183333333333333,0.26,0.266666666666667,0.15,0.2,0.2,0.1,0.253968253968254,0.242857142857143,0.2,0.2,0.463823178016726,-0.00238095238095239,0.420634920634921,0.420634920634921,0.216294458229942,-0.277777777777778,0.174358974358974,0.174358974358974,0.174358974358974,-0.167188032005448,0.182659176029963,0.0833333333333333,0.143333333333333,0,0.0833333333333333,-0.1,0.1,0,0,-0.431699604743083,-0.292110347279839,0.1,-0.233506493506494,0.025,0.1,-0.149957805907173,-0.1,-0.1,-0.15,-0.423703703703704
"Csn",0.233762933545196,0.255266659569938,0.23919523099851,0.202831594634873,0.145454545454545,0.234643447275026,0.141332834713321,0.207158067158067,0.106666666666667,0.161212121212121,0.264369409556575,0.0753737541528239,0.0814055236532677,0.117037037037037,0.0687370600414079,0.19271878072763,0.179444444444444,0.100634920634921,0.155,0.151078730039263,0.0873015873015873,0.237409257409257,0.223123543123543,0.105,0.196969696969697,0.403611749108966,0.158590122414521,0.429468239412138,0.429468239412138,0.20112234701587,-0.397373103087389,0.178957398562262,0.178957398562262,0.178957398562262,-0.420120530392167,0.361332424740197,0.323540813540813,0.345531788472965,0.301919191919192,0.324141414141414,0.285555555555556,0.301919191919192,0.285555555555556,0.255555555555556,-0.438277288378824,-0.497274284561837,0.255555555555556,-0.116720334262037,0.366095972992525,0.2,0.00718892603516607,-0.18,-0.0428571428571429,-0.107777777777778,-0.166006887848993
