"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","SMO","FUS","Jagged","NOTCH","TrCP","TWIST1","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","SUFU","LIV1","Csn","Destcompl","NFB","Patched","RKIP"
"ZEB2",-0.222783216783217,-0.213634302205731,-0.207285095856524,-0.198441558441558,-0.185714285714286,-0.159954518475575,-0.158333333333333,-0.157320175435599,-0.156295981890209,-0.153070175438596,-0.145117302052786,-0.137523433282623,-0.13569416498994,-0.131371555273994,-0.126767912772586,-0.125833333333333,-0.122857142857143,-0.114285714285714,-0.111204438472246,-0.100235393022278,-0.1,-0.0985189849600704,-0.0964102564102564,-0.0897435897435897,-0.0639194139194139,-0.055409950970417,-0.0467891193785861,-0.0467891193785861,-0.0454688488588452,-0.0430394491088665,-0.0183140521149086,-0.0125324675324675,-0.0125324675324675,-0.0125324675324675,-0.000273514556434709,0.00332472180743776,0.0101847247107189,0.046150714316022,0.047114475738329,0.0499169480822557,0.0517016317016317,0.0541423001949318,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0868998591253784,0.1,0.1,0.111111111111111,0.112928767206723,0.123611111111111,0.127735191637631,0.17280193236715
"Destcompl",0.0550811355582862,0.0241757102114893,0.0274269417385829,0.0258479943701619,0.0210204081632653,0.0516609226009516,0.0625641025641026,0.0942097959589964,0.0529267453857618,0.0534731934731935,0.00964317733548503,0.0135296574770259,0.0134126984126984,-0.11982880823179,0.0449802631010685,0.0496782496782497,-0.111877394636015,-0.111877394636015,-0.185626117497308,-0.0598730284697872,0.0666666666666667,-0.0427675669955453,-0.0560654132393263,-0.0549784567175871,-0.0622669800230309,-0.203149190846705,0.191661050174001,0.191661050174001,0.215402883871607,-0.23437593625118,0.00143057712558173,0.00252947822448283,0.00252947822448283,0.00252947822448283,0.0524383662804657,-0.0881894189646489,-0.203434245489915,-0.186963343161751,-0.185758339602481,-0.186198427302496,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,0.122222222222222,-0.188888888888889,-0.0523809523809524,-0.0198259090530786,-0.0523809523809524,0.116540607071248,-0.120927546640674
"AXIN2",0.109039321334403,0.0633132079186286,0.0629831749153283,0.0647530864197531,0.0783333333333333,0.111846180853043,0.153333333333333,0.154153480194687,0.117363422232353,0.131382113821138,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.153439770611902,0.101497584541063,0.104830917874396,-0.152930402930403,-0.157692307692308,-0.220035634166069,-0.0536633814265393,0.133333333333333,-0.0401325984760738,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,-0.252988588338008,0.245175501457021,0.245175501457021,0.249477819289689,-0.277561539966977,0.0664997637826834,0.069649370081896,0.069649370081896,0.069649370081896,0.0631943915129757,-0.169672553736627,-0.2593606087525,-0.239995403083791,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,0.15,-0.233333333333333,-0.122222222222222,0.159807840778651,-0.109178743961353,0.151144688644689,-0.178657587931781
"PI3K",0.0494843205574913,0.0719890004782401,0.0484117647058824,0.00441176470588235,-0.025,0.125462644074023,0.0666666666666667,0.0664291465378422,0.0910364145658263,0.0380952380952381,0.0490633303063936,0.042128531412565,0.041328531412565,0.091025641025641,0.22579185520362,0.207843137254902,0.0833333333333333,0.05,0.12640350877193,0.179590570719603,0.2,0.0669449818416319,0.163461538461538,0.125,0.0876923076923077,-0.249122807017544,0.276999772789977,0.276999772789977,-0.251289445625674,0.186744031415251,0.102678052541066,0.0944588744588745,0.0944588744588745,0.0944588744588745,-0.273867130264902,-0.0667748917748918,-0.279714289550355,0.274601474112068,0.254069119286511,0.263673639060522,0.246376811594203,0.254069119286511,0.246376811594203,0.233333333333333,0.233333333333333,0.2,0.2,0.289714285714286,0,0.1,-0.166666666666667,-0.0365978998671729,-0.166666666666667,-0.091025641025641,-0.0906916612798966
"ILK",0.0494843205574913,0.0719890004782401,0.0484117647058824,0.00441176470588235,-0.025,0.125462644074023,0.0666666666666667,0.0664291465378422,0.0910364145658263,0.0380952380952381,0.0490633303063936,0.042128531412565,0.041328531412565,0.091025641025641,0.22579185520362,0.207843137254902,0.0833333333333333,0.05,0.12640350877193,0.179590570719603,0.2,0.0669449818416319,0.163461538461538,0.125,0.0876923076923077,-0.249122807017544,0.276999772789977,0.276999772789977,-0.251289445625674,0.186744031415251,0.102678052541066,0.0944588744588745,0.0944588744588745,0.0944588744588745,-0.273867130264902,-0.0667748917748918,-0.279714289550355,0.274601474112068,0.254069119286511,0.263673639060522,0.246376811594203,0.254069119286511,0.246376811594203,0.233333333333333,0.233333333333333,0.2,0.2,0.289714285714286,0,0.1,-0.166666666666667,-0.0365978998671729,-0.166666666666667,-0.091025641025641,-0.0906916612798966
"AKT",0.0562512378507244,0.0789376409616238,0.0719890004782401,0.0484117647058824,0.00441176470588235,0.143184163061365,0.0380952380952381,0.071692304432579,0.125462644074023,0.0910364145658263,0.0513189694041379,0.0525662418502755,0.042128531412565,0.0941835357624831,0.132862562274327,0.22579185520362,0.091025641025641,0.0833333333333333,0.132363773672592,0.186907643890335,0.166666666666667,0.0727553793951487,0.179590570719603,0.163461538461538,0.105470085470085,-0.272199730094467,0.290013471420114,0.290013471420114,-0.266885775900904,0.199507850510728,0.114003353745886,0.102678052541066,0.102678052541066,0.102678052541066,-0.288412584810357,-0.0772587627426337,-0.295757070299018,0.284447627958222,0.263566325990421,0.274601474112068,0.254069119286511,0.263673639060522,0.254069119286511,0.246376811594203,0.246376811594203,0.233333333333333,0.233333333333333,0.300905621454358,-0.05,0.2,-0.166666666666667,-0.0295672960623755,-0.207843137254902,-0.091025641025641,-0.0975239594165425
"Wnt",0.171093117408907,0.198840579710145,0.146666666666667,0.1,0.1,0.119607843137255,0.1,0.104658385093168,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.0866666666666667,0.05,0,0.153259803921569,0.192857142857143,0.1,0.211176470588235,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,-0.334703389830508,0.338534482758621,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.401256041362257,-0.0695141065830721,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,0,0,-0.1,-0.0233176107971793,-0.0666666666666667,-0.0954545454545455,-0.12
"Frizzled",0.208302419734488,0.235983436853002,0.198840579710145,0.146666666666667,0.1,0.164052287581699,0.0666666666666667,0.115769496204279,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.136666666666667,0.0954545454545455,0.05,0.16437091503268,0.222268907563025,0.1,0.234985994397759,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,-0.36613196125908,0.365979277711302,0.17187501681907,0.150615174299385,0.150615174299385,0.150615174299385,-0.435521775627991,-0.0895141065830721,-0.342200126262626,0.348324287540042,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,0,0.1,-0.0666666666666667,-0.00766774342317397,-0.0866666666666667,-0.10974025974026,-0.141428571428571
"HEY1",0.38894994510542,0.372677014042868,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.2,0.33671420000923,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.266666666666667,0.233333333333333,0.354196538094589,0.376317269274404,0.1,0.407986928104575,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,-0.592777865765671,0.464655606347439,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.67324068547381,-0.347529841291117,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.2,0.233333333333333,-0.2,0.341987979717644,-0.26,-0.297916666666667,-0.328674500103071
"FOXC2",0.38894994510542,0.372677014042868,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.2,0.33671420000923,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.266666666666667,0.233333333333333,0.354196538094589,0.376317269274404,0.1,0.407986928104575,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,-0.592777865765671,0.464655606347439,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.67324068547381,-0.347529841291117,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.2,0.233333333333333,-0.2,0.341987979717644,-0.26,-0.297916666666667,-0.328674500103071
"RAS",0.240476190476191,0.26808386721025,0.223529411764706,0.2,0.22,0.273622291021672,0.26,0.236283185840708,0.244210526315789,0.26,0.153162055335968,0.145145330859617,0.147186147186147,0.181480225988701,0.193333333333333,0.16,0.116666666666667,0.1,0.239109008476247,0.259185700099305,0.2,0.211347517730496,0.215789473684211,0.2,-0.0341991341991342,-0.321428571428571,0.355449189985272,0.355449189985272,-0.341902198312821,0.469895013557441,0.0908974358974359,0.15051282051282,0.15051282051282,0.15051282051282,-0.389932879607706,-0.15125322997416,-0.365876923076923,0.362535567585435,0.310539215686275,0.340155964186002,0.264705882352941,0.309386733416771,0.264705882352941,0.2,0.2,0.1,0.1,0.32635046113307,-0.1,0,-0.2,-0.0341373428582731,-0.166666666666667,-0.152666666666667,-0.342622641509434
"DSH",0.225185536617605,0.253753471696208,0.235983436853002,0.198840579710145,0.146666666666667,0.19187183645388,0.0666666666666667,0.131711525189786,0.164052287581699,0.119607843137255,0.072285295891119,0.0756436638424557,0.0631908336537765,0.13107412081289,0.176609195402299,0.161666666666667,0.10974025974026,0.0954545454545455,0.179099597203222,0.239751425045543,0.0666666666666667,0.250588831277192,0.222268907563025,0.192857142857143,0.15410199556541,-0.33287917108591,0.362484025263991,0.362484025263991,-0.393104870564145,0.38961140809547,0.194003868359686,0.17187501681907,0.17187501681907,0.17187501681907,-0.462475243582337,-0.107843572940381,-0.367809882360187,0.36497611300754,0.328532114600226,0.348324287540042,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.05,0.2,-0.0866666666666667,0.00511851611881076,-0.136666666666667,-0.119417679095098,-0.157512487512488
"RAF",0.290450928381963,0.316128170894526,0.262857142857143,0.22,0.2,0.227666911225238,0.17,0.217485592549095,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.110714285714286,0.14,0.1,0.258543536260005,0.21041181041181,0.1,0.362240047534165,0.156565656565657,0.111111111111111,0.0613968253968254,-0.332663797226208,0.372663797226208,0.372663797226208,-0.474282686047392,0.621967127120126,0.0928543678543678,0.050974025974026,0.050974025974026,0.050974025974026,-0.541150568345899,-0.160677698975571,-0.380952950808151,0.376987931045786,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,0,-0.1,0.023291198012306,-0.0857142857142857,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0,0.283333333333333,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.1,0.3,0.2,0.162857142857143,0.233333333333333,0,0.2,0.2,0.1,0.25,-0.3,0.375,0.375,-0.299068100358423,0.36727969348659,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,-0.2,0,0,0.272987012987013,0,-0.333333333333333,-0.26
"SNAI2",0.424698860712761,0.410897513966568,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.2,0.37146790711633,0.349019607843137,0.288235294117647,0.116169379144063,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.326724137931034,0.301176470588235,0.26,0.401762028014479,0.41441672362725,0.1,0.4447637389003,0.376754385964912,0.332894736842105,0.323799864773496,-0.286538461538462,0.378588839941263,0.378588839941263,-0.63753975365315,0.710577686340421,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.808627937207547,-0.386109379554679,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.2,0.26,-0.2,0.385743987724154,-0.275,-0.335870348139256,-0.355166666666667
"cateninnuc",0.391737399212809,0.375928866796507,0.356059871163319,0.330197802197802,0.299428571428571,0.375402090942628,0.297101449275362,0.336713457497171,0.353842457915105,0.327260179434092,0.124481847142868,0.111443052627227,0.103393939393939,0.217547714104253,0.345354166666667,0.328166666666667,0.18792349726776,0.163333333333333,0.248185478563194,0.375258358118035,0.233333333333333,0.316873496912151,0.356621994481671,0.332203389830509,0.259545915638429,-0.301618152507832,0.382410758675679,0.382410758675679,-0.409634228078613,0.462717960308824,0.388092018092018,0.372267102267102,0.372267102267102,0.372267102267102,-0.492211626005655,-0.336797405892845,-0.389800969732381,0.182054382884448,0.255050909979439,0.26910215974167,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.133333333333333,0.160606060606061,-0.270833333333333,0.320176292187693,-0.304166666666667,-0.204693683603163,-0.34940817743051
"SOSGRB2",0.325250305250305,0.349725664406515,0.303626373626374,0.272857142857143,0.242857142857143,0.347279747279747,0.276190476190476,0.338012793176972,0.323037323037323,0.30952380952381,0.258522727272727,0.255971125648545,0.249677419354839,0.296375445212655,0.333845029239766,0.304678362573099,0.233333333333333,0.2,0.354161830366599,0.391214419383433,0.2,0.314927536231884,0.347552447552448,0.309090909090909,-0.0397222222222222,-0.355,0.390714285714286,0.390714285714286,-0.48220124020124,0.622012389483896,0.319636389975373,0.274764595103578,0.274764595103578,0.274764595103578,-0.54342113578935,-0.293630860334928,-0.400751784858347,0.390285552604597,0.328623188405797,0.363325705568268,0.275,0.327536231884058,0.273913043478261,0.2,0.2,0.1,0.1,0.343626237623762,-0.2,0,-0.3,-0.0335541788561923,-0.288888888888889,-0.268468468468469,-0.369334795321637
"MEK",0.330090568021603,0.357734010310584,0.316128170894526,0.262857142857143,0.22,0.174333577891905,0.17,0.24312661819012,0.227666911225238,0.187241379310345,0.163218245169465,0.16521219576448,0.156725110893631,0.227544412300439,0.185580595874714,0.156168831168831,0.184,0.14,0.279035339538693,0.247638087784073,0.1,0.394108179402297,0.21041181041181,0.156565656565657,0.0902857142857143,-0.369918699186992,0.409171733734144,0.409171733734144,-0.511111954340075,0.656273696463192,0.128092463092463,0.0928543678543678,0.0928543678543678,0.0928543678543678,-0.581769876178321,-0.1889332272311,-0.417795056071308,0.39929276375954,0.352867132867133,0.376987931045786,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,0.1,-0.0857142857142857,0.0433748800206742,-0.110714285714286,-0.208590163934426,-0.25499778858912
"CD44",0.352083333333333,0.347222222222222,0.325,0.3,0.2,0.415,0.3,0.354837852206273,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.266666666666667,0.15,0.1,0.188531468531469,0.24812030075188,0.1,0.27956043956044,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.420634920634921,0.420634920634921,-0.140604395604396,0.423687423687424,0.192380952380952,0.166666666666667,0.166666666666667,0.166666666666667,-0.27125230702421,-0.198809523809524,-0.431699604743083,0.129200954084675,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,0.1,-0.2,-0.155003819709702,-0.2,-0.15,-0.423703703703704
"Csn",0.249397155200098,0.276308993610315,0.249817346832272,0.203663500678426,0.145454545454545,0.244680735930736,0.106666666666667,0.162389966685476,0.209264069264069,0.161212121212121,0.0753737541528239,0.0818475998871662,0.0687370600414079,0.139396839132429,0.205766666666667,0.184166666666667,0.108513708513709,0.0873015873015873,0.186845221450699,0.263672438672439,-0.02,0.285984883902135,0.238672438672439,0.201010101010101,0.170287097890003,-0.399880772821949,0.436138957816377,0.436138957816377,-0.44147263908754,0.436580844012581,0.236197339956005,0.207982368746792,0.207982368746792,0.207982368746792,-0.514960693434409,-0.147371968877076,-0.444186733221515,0.419032832211022,0.37427547866515,0.398527720966284,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.0428571428571429,0.2,-0.105,0.0507945909029267,-0.155,-0.124642740771773,-0.178146483457669
