"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0546286709217537,0.0238168996997032,0.0267198026026061,0.0259155130583702,0.0210204081632653,0.119183903663458,0.133333333333333,0.0932104844769745,0.120299145299145,0.122222222222222,0.00706227493037199,0.0110707676868742,0.0106999395039322,-0.121571913404583,0.0432170608064904,-0.0414151491347851,0.0473549918409732,0.0501587301587302,-0.115079365079365,-0.115079365079365,-0.186955098803583,0.0523809523809524,-0.060884729309963,-0.0574224075177023,-0.0563112964065912,-0.0661283643892339,-0.200564339143434,0.189415523271455,0.189415523271455,-0.236174330329949,0.216308487762802,0.0017436895231427,0.00302779867242039,0.00302779867242039,0.0537291014867299,-0.0872598289215499,-0.201081428814124,-0.187663115902511,-0.186139761851422,-0.186864764112657,-0.183346465762036,-0.18548545376783,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238894302737101,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0199135699290545,0.118783068783069,-0.110281829424271
"AXIN2",0.108385430208635,0.0627998679464341,0.0629673721340388,0.0647530864197531,0.0783333333333333,0.156258166019413,0.2,0.151779644705632,0.163006632277082,0.178260869565217,0.0144363643791684,0.0142629155077288,0.0175824175824176,-0.156349274928195,0.0992963910201762,-0.0385156728938361,0.103296391020176,0.109178743961353,-0.155253283302064,-0.157692307692308,-0.221757681631778,0.122222222222222,-0.0549472315505956,-0.0532290184921764,-0.0505263157894737,-0.0747649969078541,-0.251968153611989,0.243109253813479,0.243109253813479,-0.279433058779923,0.249952780656264,0.0666417156383082,0.0694529606182279,0.0694529606182279,0.0642104630152552,-0.168741482408566,-0.257425717814752,-0.240502299260352,-0.237208142308837,-0.238894302737101,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.160158655509398,0.154335852109403,-0.167297945718998
"Wnt",0.174017094017094,0.201212121212121,0.146666666666667,0.1,0.1,0.14,0.1,0.0990058479532164,0.1,0.1,0.058974358974359,0.0506410256410256,0.0506410256410256,0.104285714285714,0.133333333333333,0.22030959752322,0.0866666666666667,0.0666666666666667,0.05,0,0.149583333333333,0.1,0.190683229813665,0.142857142857143,0.1,0.12,-0.262745098039216,0.301206636500754,0.301206636500754,0.336923076923077,-0.334123931623932,0.156187929717341,0.12436974789916,0.12436974789916,-0.40009074941452,-0.0737012987012987,-0.304067085953878,0.327733763940051,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0199097195543603,-0.09,-0.102380952380952
"Frizzled",0.208956853053239,0.23650623885918,0.201212121212121,0.146666666666667,0.1,0.181935483870968,0.1,0.116079018684924,0.14,0.1,0.058974358974359,0.0577117327117327,0.0506410256410256,0.11576112412178,0.16,0.241463443677066,0.133333333333333,0.0866666666666667,0.09,0.05,0.161828231292517,0.0666666666666667,0.221295474711624,0.190683229813665,0.142857142857143,0.157931034482759,-0.297745098039216,0.333859697725244,0.333859697725244,0.364610373340015,-0.364868268193511,0.180381478104438,0.156187929717341,0.156187929717341,-0.434219627696143,-0.0944560156824308,-0.337400419287212,0.346574343650196,0.308270676691729,0.327733763940051,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00539359052210228,-0.104285714285714,-0.123949579831933
"HEY1",0.389351179673321,0.372989401403195,0.340969696969697,0.307636363636364,0.263636363636364,0.289978213507625,0.1,0.333564366323779,0.252941176470588,0.2,0.104885444743935,0.0955200501253133,0.0827380952380952,0.320973650005908,0.338706199460916,0.411925192519252,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.352079384912,0.2,0.375629984051037,0.342296650717703,0.305454545454545,0.322261904761905,-0.266666666666667,0.353725490196078,0.353725490196078,0.462817788477018,-0.592660505579354,0.401873888476171,0.376500754147813,0.376500754147813,-0.672793373147922,-0.345203827946308,-0.361945701357466,0.395445557923643,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342783616367228,-0.295698924731183,-0.317440206851972
"FOXC2",0.389351179673321,0.372989401403195,0.340969696969697,0.307636363636364,0.263636363636364,0.289978213507625,0.1,0.333564366323779,0.252941176470588,0.2,0.104885444743935,0.0955200501253133,0.0827380952380952,0.320973650005908,0.338706199460916,0.411925192519252,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.352079384912,0.2,0.375629984051037,0.342296650717703,0.305454545454545,0.322261904761905,-0.266666666666667,0.353725490196078,0.353725490196078,0.462817788477018,-0.592660505579354,0.401873888476171,0.376500754147813,0.376500754147813,-0.672793373147922,-0.345203827946308,-0.361945701357466,0.395445557923643,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342783616367228,-0.295698924731183,-0.317440206851972
"DSH",0.227899584330772,0.255940867834445,0.23650623885918,0.201212121212121,0.146666666666667,0.209435483870968,0.1,0.133048715654621,0.181935483870968,0.14,0.0684083212385099,0.0689117327117327,0.0577117327117327,0.128019188637909,0.176279069767442,0.259874996023636,0.16,0.133333333333333,0.104285714285714,0.09,0.176344360324775,0.0866666666666667,0.239605333866553,0.221295474711624,0.190683229813665,0.194917335852622,-0.327745098039216,0.359062949757764,0.359062949757764,0.387245103878937,-0.391398880438409,0.202700318684148,0.180381478104438,0.180381478104438,-0.46106647454299,-0.110523161965404,-0.36404618731229,0.363271258350741,0.327475974704974,0.346574343650196,0.308270676691729,0.327733763940051,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.363939843761714,-0.0666666666666667,-0.05,0.2,0.00673056078730606,-0.11576112412178,-0.142746572313136
"PI3K",0.250881009025339,0.270441176470588,0.232107843137255,0.177941176470588,0.125,0.216190476190476,0.1,0.170313509586894,0.173333333333333,0.133333333333333,0.0712971342383107,0.0752958079783637,0.0649509803921569,0.12914901999409,0.274324324324324,0.274032533123442,0.25,0.2,0.0954545454545455,0.05,0.181361848574238,0.166666666666667,0.235333333333333,0.202,0.15,0.198095238095238,-0.3343058733791,0.371326232247285,0.371326232247285,0.392695351512623,-0.395409143296197,0.222230436230436,0.190761904761905,0.190761904761905,-0.469481746979955,-0.183722527472527,-0.371976610959662,0.379522044907177,0.332612411742847,0.357183840314275,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0166034740453345,-0.110839160839161,-0.156965871902758
"ILK",0.250881009025339,0.270441176470588,0.232107843137255,0.177941176470588,0.125,0.216190476190476,0.1,0.170313509586894,0.173333333333333,0.133333333333333,0.0712971342383107,0.0752958079783637,0.0649509803921569,0.12914901999409,0.274324324324324,0.274032533123442,0.25,0.2,0.0954545454545455,0.05,0.181361848574238,0.166666666666667,0.235333333333333,0.202,0.15,0.198095238095238,-0.3343058733791,0.371326232247285,0.371326232247285,0.392695351512623,-0.395409143296197,0.222230436230436,0.190761904761905,0.190761904761905,-0.469481746979955,-0.183722527472527,-0.371976610959662,0.379522044907177,0.332612411742847,0.357183840314275,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0166034740453345,-0.110839160839161,-0.156965871902758
"RAS",0.307636097917428,0.326754385964912,0.272368421052632,0.225,0.2,0.273333333333333,0.2,0.242307692307692,0.24,0.2,0.162809364548495,0.0612525879917184,0.0576811594202899,0.0997198879551821,0.239035087719298,0.351248751248751,0.191666666666667,0.166666666666667,0.0333333333333333,0,0.157349896480331,0.2,0.293333333333333,0.24,0.2,0.183333333333333,-0.329130434782609,0.373574879227053,0.373574879227053,0.37754972875226,-0.379776579352851,0.204616977225673,0.261283643892339,0.261283643892339,-0.452607267130348,-0.170319634703196,-0.381318681318681,0.384561272061272,0.320779220779221,0.356676656676657,0.263636363636364,0.320779220779221,0.263636363636364,0.2,0.2,0.1,0.1,0.333333333333333,-0.2,0,0,-0.0166876436517592,-0.0761904761904762,-0.224941724941725
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0,0.283333333333333,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.2,0.1,0,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.303846153846154,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"SNAI2",0.424990065372035,0.411118787258493,0.375493787258493,0.333613445378151,0.276470588235294,0.316730769230769,0.1,0.369161137392562,0.269230769230769,0.2,0.110934946060804,0.1032806555458,0.0868627450980392,0.362567357878403,0.368187552565181,0.44790275353342,0.326724137931034,0.275,0.301176470588235,0.26,0.400175850087846,0.2,0.414009287925697,0.376754385964912,0.332894736842105,0.361850848212629,-0.286538461538462,0.378111111111111,0.378111111111111,0.709110185515471,-0.637471215494354,0.442898024936304,0.413268395306674,0.413268395306674,-0.80833522987685,-0.383997098422355,-0.386215773766785,0.449418177528942,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.386333062759151,-0.334509803921569,-0.346938775510204
"cateninnuc",0.392146546686809,0.37626399739059,0.356043002915452,0.330678571428571,0.299428571428571,0.306882857295354,0.227272727272727,0.333585049032619,0.284061280531869,0.257002457002457,0.114090414090414,0.0981175223346192,0.0907793928382164,0.211853502230016,0.342926147643105,0.322864585671166,0.325794673539519,0.302083333333333,0.182982456140351,0.159649122807018,0.24479900722686,0.270833333333333,0.373915527443379,0.355294837788207,0.331034482758621,0.313648326066484,-0.299033816425121,0.37963032556235,0.37963032556235,0.459967710929026,-0.408763071837946,0.390637836996175,0.374330675650187,0.374330675650187,-0.491020705212202,-0.334521058182956,-0.386986351123969,0.18116883180213,0.254721529215275,0.268411171634999,0.238054862548609,0.253760533017419,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395445557923643,-0.233333333333333,-0.133333333333333,0.160606060606061,0.32101857062804,-0.199438152342883,-0.332288505886637
"SOSGRB2",0.351550387596899,0.375745419479267,0.321647058823529,0.277647058823529,0.26,0.329355365157079,0.233333333333333,0.313116854951598,0.299122807017544,0.283333333333333,0.263383838383838,0.160771730187285,0.156706689536878,0.20616091954023,0.34509350298824,0.387915027612676,0.301503759398496,0.285714285714286,0.133333333333333,0.1,0.259537006462569,0.3,0.402905982905983,0.34957264957265,0.311111111111111,0.084981684981685,-0.345588235294118,0.386764705882353,0.386764705882353,0.640840034010522,-0.48507499234772,0.283233406837912,0.237519121123627,0.237519121123627,-0.555106490315448,-0.242693059628543,-0.396009557945042,0.388703020935637,0.325108225108225,0.360651629072682,0.272727272727273,0.323809523809524,0.271428571428571,0.2,0.2,0.1,0.1,0.341290322580645,-0.2,-0.1,0,-0.00995141480909981,-0.17816091954023,-0.341902834008097
"AKT",0.275308489941369,0.29582343946753,0.270441176470588,0.232107843137255,0.177941176470588,0.244025527736868,0.133333333333333,0.193350158801553,0.216190476190476,0.173333333333333,0.0842003600447623,0.0859341058507042,0.0752958079783637,0.146276091817295,0.19473248758963,0.298256135607914,0.274324324324324,0.25,0.110839160839161,0.0954545454545455,0.20026219221685,0.2,0.259259713701432,0.235333333333333,0.202,0.238835978835979,-0.365884820747521,0.400903697036017,0.400903697036017,0.419911846357984,-0.426186345368736,0.249412481118217,0.222230436230436,0.222230436230436,-0.501419731476079,-0.203224602161324,-0.401839624658292,0.398521263046348,0.356906197053581,0.379522044907177,0.332612411742847,0.357183840314275,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388406926406926,-0.166666666666667,-0.05,0.2,-0.00190993920066617,-0.12914901999409,-0.181469183161036
"CD44",0.345454545454545,0.34,0.333333333333333,0.3,0.2,0.39,0.2,0.330924369747899,0.35,0.3,0.187426900584795,0.153333333333333,0.133333333333333,0.127272727272727,0.240909090909091,0.327272727272727,0.25,0.2,0.1,0.1,0.135198135198135,0.2,0.226666666666667,0.22,0.2,0.108333333333333,-0.271428571428571,0.404761904761905,0.404761904761905,0.401460387002556,-0.138801054018445,0.145454545454545,0.1,0.1,-0.270695212874955,-0.113533834586466,-0.41672514619883,0.122985658409387,0.0233333333333333,0.0823076923076923,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.135833333333333,-0.1,-0.388070175438597
"MEK",0.340981018089452,0.366988704190559,0.32295885344429,0.267619047619048,0.22,0.243967405143876,0.253333333333333,0.252491044062202,0.29825311942959,0.270980392156863,0.166675303160564,0.170014135709672,0.160850789096126,0.232153092996211,0.189965580019343,0.408930079703274,0.159101382488479,0.110714285714286,0.187826086956522,0.14,0.282162769528361,0.0857142857142857,0.250911521227311,0.212565656565657,0.156565656565657,0.102905982905983,-0.371439307430289,0.413354854136777,0.413354854136777,0.665477958583871,-0.51334319039504,0.135709633346289,0.100018315018315,0.100018315018315,-0.587062685649829,-0.201194704935114,-0.42156480409096,0.401074605275661,0.352867132867133,0.377766334598969,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0436790794017682,-0.212416250890948,-0.268840579710145
"IKK",0.497015218458517,0.528541512687854,0.469191919191919,0.405555555555556,0.35,0.248642533936652,0.1,0.291666666666667,0.179411764705882,0.15,0.17843137254902,0.181239995998399,0.168995098039216,0.253740053050398,0.31984126984127,0.532150216018611,0.264285714285714,0.314285714285714,0.18,0.12,0.286144809398226,0.3,0.362198017036727,0.307359307359307,0.245454545454545,0.323387096774194,-0.363369963369963,0.424561403508772,0.424561403508772,0.659408119769799,-0.569112064406182,0.382569098803346,0.33609022556391,0.33609022556391,-0.682293477666612,-0.224159370185262,-0.428215579710145,0.439233666521802,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.140361599407318,-0.226153846153846,-0.272835497835498
"Csn",0.251703777846893,0.278263428043726,0.250552584670232,0.205454545454545,0.145454545454545,0.257150927001248,0.142424242424242,0.163848981042057,0.224364041755346,0.180885780885781,0.0731101348280564,0.0777476582030662,0.0659197012138188,0.137891276293461,0.205841514726508,0.293559251079696,0.183260869565217,0.152826086956522,0.105245734657499,0.0840336134453781,0.185602727270463,0.105,0.264010791141226,0.238406926406926,0.19974025974026,0.197857884586857,-0.396778478352249,0.434348508634223,0.434348508634223,0.435990795008023,-0.440563375218488,0.243111572385142,0.214624342522666,0.214624342522666,-0.514526397078336,-0.150039735205014,-0.442151583878393,0.41803310088099,0.373621418684002,0.397448448018627,0.348511286525412,0.374071824642004,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.406679131054131,-0.18,-0.0428571428571429,0.2,0.0523247975633827,-0.122637039005325,-0.17151483987217
"cMet",0.373454545454545,0.375555555555556,0.34,0.333333333333333,0.3,0.393703703703704,0.3,0.371349901662793,0.39,0.35,0.206345819503714,0.162028985507246,0.153333333333333,0.163272727272727,0.253409090909091,0.369441401971522,0.240909090909091,0.25,0.1,0.1,0.175738675738676,0.2,0.258581560283688,0.226666666666667,0.22,0.116666666666667,-0.304761904761905,0.438095238095238,0.438095238095238,0.446914932457101,-0.185414599835178,0.191966173361522,0.145454545454545,0.145454545454545,-0.315622749106839,-0.148079289131921,-0.448304093567251,0.152732493852425,0.0833333333333333,0.122985658409387,0.0233333333333333,0.0823076923076923,0.0233333333333333,-0.05,0.05,-0.1,0,0.0393220338983051,-0.2,-0.1,0.1,-0.106510025062657,-0.127272727272727,-0.420070175438596
"STAT",0.218786639400136,0.21176467189053,0.194856459330144,0.165909090909091,0.140909090909091,0.206682808716707,0.22,0.149076077186438,0.191428571428571,0.186666666666667,0.06,0.0664923747276688,0.062962962962963,0.0637707641196013,0.0427602905569007,0.0802251471666764,0.0342857142857143,0.02,0.045,0.025,0.0680954681658907,0,0.0330241149201743,0.0204027556968733,-0.00392156862745098,-0.0088796871405567,-0.326728064963359,0.442935269858347,0.442935269858347,0.105752652085211,-0.0628629869659736,-0.0306607477129548,-0.044194582299421,-0.044194582299421,-0.205749494246299,0.0416493916178459,-0.458532927961468,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0635332413002316,-0.0566279069767442,-0.174996549344375
