"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","SMAD","ILK","HEY1","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Csn","SOSGRB2","KLF4","SNAI2","cateninmemb","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","Jagged","CD44","cMet","Frizzled","SRC","NOTCH","DSH","NOTCHic","STAT","AXIN2","Csl","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0567823472967623,0.0255486015404687,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0516609226009516,0.0625641025641026,0.0950022673846452,0.0529267453857618,0.0534731934731935,0.0137635756056809,0.0134126984126984,0.00914533852033852,-0.11982880823179,0.0449802631010685,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.0399976931704091,-0.111877394636015,0.0523809523809524,-0.0615627546709182,-0.203149190846705,-0.23371230255266,0.215009252685094,0.19212826136018,0.19212826136018,0.00185341010655424,0.00295231120545534,0.00295231120545534,0.00295231120545534,0.0516851374026141,-0.203799660707691,-0.0887065716616701,-0.186622379297913,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.071819114629141,-0.181746031746032,-0.0694444444444444,-0.181746031746032,-0.238655152327198,-0.0694444444444444,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.019968257807527,0.116540607071248,-0.121699941971659
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.111846180853043,0.153333333333333,0.15471044951336,0.117363422232353,0.131382113821138,0.0181159420289855,0.0220841959972395,0.0186899478125152,-0.153439770611902,0.101497584541063,0.104830917874396,0.109178743961353,-0.152930402930403,-0.0370946197518206,-0.157692307692308,0.122222222222222,-0.0772774023545412,-0.252988588338008,-0.2770272187641,0.249359406027404,0.245175501457021,0.245175501457021,0.0667622309742845,0.069649370081896,0.069649370081896,0.069649370081896,0.0626921145380067,-0.2593606087525,-0.170421160202625,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.0672909514479702,-0.24,-0.0650883082761641,-0.24,0.182032686545068,-0.0592059553349876,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.151144688644689,-0.178657587931781
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.119607843137255,0.1,0.104658385093168,0.0666666666666667,0.0666666666666667,0.0566487775790101,0.058974358974359,0.0656410256410257,0.10974025974026,0.136666666666667,0.0866666666666667,0.0666666666666667,0.05,0.222941176470588,0,0.1,0.0939393939393939,-0.262745098039216,0.340258620689655,-0.334703389830508,0.304208512673362,0.304208512673362,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.306262626262626,-0.0729623824451411,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.286842105263158,0.25,0.3,0.2,0.21,0.2,0.15,0.1,0.31030303030303,0.1,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.164052287581699,0.0666666666666667,0.119174514125426,0.119607843137255,0.0666666666666667,0.0631908336537765,0.0566487775790101,0.0634188034188034,0.119417679095098,0.161666666666667,0.136666666666667,0.0866666666666667,0.0954545454545455,0.24484593837535,0.05,0.0666666666666667,0.127272727272727,-0.300840336134454,0.368334330468835,-0.366766881894001,0.338861978019897,0.338861978019897,0.173449819968676,0.150615174299385,0.150615174299385,0.150615174299385,-0.437673688755514,-0.342200126262626,-0.0929623824451411,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.308270676691729,0.286842105263158,0.25,0.25,0.252105263157895,0.3,0.21,0.2,0.340535588442565,0.15,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.141428571428571
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.2,0.33671420000923,0.328877005347594,0.281818181818182,0.105159420289855,0.0906666666666667,0.111306340718105,0.324798387096774,0.33989417989418,0.302857142857143,0.26,0.266666666666667,0.412614379084967,0.233333333333333,0.2,0.28138936535163,-0.266666666666667,0.4649781869926,-0.592777865765671,0.354514963880289,0.354514963880289,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673504886266412,-0.362568172568173,-0.348106210167198,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.37710088691796,0.266666666666667,0.342954545454545,0.266666666666667,0.40259545543053,0.305454545454545,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.2,0.33671420000923,0.328877005347594,0.281818181818182,0.105159420289855,0.0906666666666667,0.111306340718105,0.324798387096774,0.33989417989418,0.302857142857143,0.26,0.266666666666667,0.412614379084967,0.233333333333333,0.2,0.28138936535163,-0.266666666666667,0.4649781869926,-0.592777865765671,0.354514963880289,0.354514963880289,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673504886266412,-0.362568172568173,-0.348106210167198,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.37710088691796,0.266666666666667,0.342954545454545,0.266666666666667,0.40259545543053,0.305454545454545,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"DSH",0.231469507760229,0.258927754168029,0.240331262939959,0.203188405797101,0.146666666666667,0.19187183645388,0.0666666666666667,0.134963987809636,0.164052287581699,0.119607843137255,0.0763983808235878,0.0631908336537765,0.0715269115269115,0.13107412081289,0.176609195402299,0.161666666666667,0.136666666666667,0.10974025974026,0.262703081232493,0.0954545454545455,0.0866666666666667,0.156541019955654,-0.33287917108591,0.392199289723783,-0.394446504979984,0.364258803416722,0.364258803416722,0.195578671509292,0.173449819968676,0.173449819968676,0.173449819968676,-0.465250781266527,-0.369193991293301,-0.11036377455651,0.366164681043837,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.278105263157895,0.25,0.252105263157895,0.25,0.364586221353958,0.21,-0.0666666666666667,-0.05,0.2,0.00458801214003092,-0.119417679095098,-0.160577507598784
"RAF",0.29367237413749,0.319171652093879,0.266341463414634,0.22,0.2,0.226371814092954,0.17,0.217228853139595,0.187241379310345,0.17,0.156785116894231,0.153754813863928,0.151248548199768,0.208590163934426,0.156168831168831,0.110714285714286,0.0857142857142857,0.14,0.372722702134467,0.1,0.1,0.0613968253968254,-0.331078431372549,0.624195488721805,-0.47456648377701,0.370472370766488,0.370472370766488,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.542367270040342,-0.378718918876399,-0.164381402679275,0.377119387544748,0.32,0.351288185498712,0.27,0.318421052631579,0.318421052631579,0.268421052631579,0.2,0.2,0.16017316017316,0.1,0.0904761904761905,0.1,0.337271448663854,0.0333333333333333,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.22315186944343
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0,0.283333333333333,0.2,0.1,0.1,0.0666666666666667,0.0666666666666667,0.253333333333333,0.15,0.1,0,0.3,0.2,0.2,0,0.25,-0.3,0.36727969348659,-0.299068100358423,0.375,0.375,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.383333333333333,-0.271794871794872,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.15,0.1,0.2,0.1,0.233333333333333,0.2,0.2,0.1,0.276190476190476,0.1,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.0666666666666667,0.173574425619741,0.148179271708683,0.0952380952380952,0.0798917967186875,0.0694917967186875,0.0748663101604278,0.132051282051282,0.276018099547511,0.252941176470588,0.2,0.1,0.276816119652898,0.05,0.166666666666667,0.163461538461538,-0.336842105263158,0.395363646725939,-0.396875422177051,0.375508463573364,0.375508463573364,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.472077970556085,-0.376039526859199,-0.18481240981241,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.269166666666667,0.2,0.2225,0.2,0.358952380952381,0.16,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.0666666666666667,0.173574425619741,0.148179271708683,0.0952380952380952,0.0798917967186875,0.0694917967186875,0.0748663101604278,0.132051282051282,0.276018099547511,0.252941176470588,0.2,0.1,0.276816119652898,0.05,0.166666666666667,0.163461538461538,-0.336842105263158,0.395363646725939,-0.396875422177051,0.375508463573364,0.375508463573364,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.472077970556085,-0.376039526859199,-0.18481240981241,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.269166666666667,0.2,0.2225,0.2,0.358952380952381,0.16,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.2,0.37146790711633,0.349019607843137,0.288235294117647,0.112087517128288,0.0934272300469483,0.116169379144063,0.365447812927988,0.36889281262983,0.326724137931034,0.275,0.301176470588235,0.448322008191805,0.26,0.2,0.323799864773496,-0.286538461538462,0.710777486540221,-0.63753975365315,0.378588839941263,0.378588839941263,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.808795441395151,-0.386587993124707,-0.386470390385003,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.416338640719446,0.305454545454545,0.377992776057792,0.305454545454545,0.447100565604419,0.332894736842105,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.355166666666667
"cateninnuc",0.395207420994306,0.378697062812708,0.358173045345459,0.331736263736264,0.299428571428571,0.375402090942628,0.297101449275362,0.337985951715459,0.353842457915105,0.327260179434092,0.111715903923271,0.103393939393939,0.12400753176789,0.217547714104253,0.345354166666667,0.328166666666667,0.304166666666667,0.18792349726776,0.324932174627243,0.163333333333333,0.270833333333333,0.260300632619561,-0.301618152507832,0.463909871183732,-0.410140467636894,0.382946233909949,0.382946233909949,0.388710818710819,0.372717552717553,0.372717552717553,0.372717552717553,-0.493488325080049,-0.390226954822903,-0.338072618838637,0.182479914887107,0.255050909979439,0.269251524939579,0.238054862548609,0.254090957351827,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.378570172528202,0.191375291375291,0.357547445255474,0.191375291375291,0.395647049521164,0.332,-0.233333333333333,-0.133333333333333,0.160606060606061,0.319969982474823,-0.204693683603163,-0.350273978296311
"RAS",0.344765729585007,0.367294117647059,0.315294117647059,0.28,0.26,0.315727554179567,0.26,0.305277554304103,0.286315789473684,0.26,0.158750773036487,0.156709956709957,0.159090909090909,0.192870056497175,0.212222222222222,0.173333333333333,0.166666666666667,0.116666666666667,0.374739454094293,0.1,0.2,0.0125541125541125,-0.356428571428571,0.57634173186284,-0.400410502033264,0.398095238095238,0.398095238095238,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,-0.470955413922729,-0.407171215880893,-0.216989664082687,0.410022792164208,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.338172715894869,0.276470588235294,0.2,0.2,0.3125,0.1,0.25,0.1,0.349934123847167,0.2,-0.2,-0.1,0,-0.0340659026705538,-0.160666666666667,-0.391461538461538
"SOSGRB2",0.368572423744838,0.391176470588235,0.342605042016807,0.301428571428571,0.271428571428571,0.358421938421938,0.276190476190476,0.35302305836089,0.323037323037323,0.30952380952381,0.259286204529856,0.252903225806452,0.253035714285714,0.298701026608003,0.338011695906433,0.304678362573099,0.288888888888889,0.233333333333333,0.402880804495711,0.2,0.3,-0.0272222222222222,-0.360952380952381,0.645316169407684,-0.49394532627866,0.399081877355259,0.399081877355259,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,-0.562901759098015,-0.409109248913718,-0.31585308255715,0.400185262455145,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.330434782608696,0.273913043478261,0.2,0.2,0.335853658536585,0.1,0.27,0.1,0.345606435643564,0.22,-0.2,-0.2,0,-0.0356106235300866,-0.268468468468469,-0.379617053386154
"AKT",0.278534790412839,0.298398635634846,0.273778574844572,0.233941176470588,0.177941176470588,0.221555490841284,0.0952380952380952,0.195796647841963,0.192441566790651,0.148179271708683,0.0923497091765999,0.0798917967186875,0.0871740024681201,0.14889338731444,0.195210018739431,0.276018099547511,0.252941176470588,0.115384615384615,0.300508427345206,0.1,0.2,0.196794871794872,-0.370175438596491,0.42360485275609,-0.428577766723433,0.405163635987158,0.405163635987158,0.243100424469627,0.21635343651782,0.21635343651782,0.21635343651782,-0.504600766908669,-0.406147053740919,-0.205376925941442,0.400873571167032,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.301340579710145,0.255555555555556,0.269166666666667,0.255555555555556,0.388916279869348,0.2225,-0.166666666666667,-0.05,0.2,-0.00412094672695625,-0.132051282051282,-0.190009879133076
"MEK",0.335113815578932,0.362237345524536,0.319171652093879,0.266341463414634,0.22,0.17303848075962,0.17,0.243544642613279,0.226371814092954,0.187241379310345,0.165740340774828,0.156785116894231,0.155170116827219,0.227795461947671,0.185580595874714,0.156168831168831,0.110714285714286,0.184,0.405323434735199,0.14,0.0857142857142857,0.0917339040485108,-0.367712094738886,0.658749823276139,-0.51174439788744,0.408072370766488,0.408072370766488,0.129801864801865,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.583392911065983,-0.416413622926244,-0.192145530443403,0.399808463175,0.352867132867133,0.377119387544748,0.32,0.351288185498712,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.212256493506494,0.2,0.16017316017316,0.2,0.379613791006196,0.0904761904761905,-0.1,-0.1,0.1,0.0426242501909492,-0.208590163934426,-0.254730816811851
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.415,0.3,0.371222630218958,0.385,0.325,0.197619047619048,0.183333333333333,0.2,0.177272727272727,0.26,0.266666666666667,0.2,0.15,0.351941391941392,0.1,0.2,-0.00238095238095239,-0.277777777777778,0.439156399156399,-0.144450549450549,0.420634920634921,0.420634920634921,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.283107697318424,-0.431699604743083,-0.223809523809524,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.0233333333333333,0.05,-0.1,0,0.133333333333333,0,0.133333333333333,0.1,-0.02,0.1,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.423703703703704
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.252190476190476,0.1,0.293091168091168,0.178857142857143,0.142857142857143,0.18578795379538,0.172916666666667,0.1792663476874,0.2557343550447,0.321042471042471,0.264285714285714,0.314285714285714,0.18,0.532941176470588,0.12,0.3,0.301890756302521,-0.363369963369963,0.660347091652491,-0.569256032607988,0.425418546365915,0.425418546365915,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,-0.682863893582049,-0.428840579710145,-0.224505494505495,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.409206349206349,0.2,0.344761904761905,0.2,0.403095238095238,0.271428571428571,-0.2,-0.1,0.1,0.139265491747074,-0.228148148148148,-0.277322404371585
"Csn",0.253944304837609,0.280031337121789,0.252802421459138,0.206648575305292,0.145454545454545,0.244680735930736,0.106666666666667,0.164961414128514,0.209264069264069,0.161212121212121,0.0823617387046469,0.0687370600414079,0.0745051635111876,0.139396839132429,0.205766666666667,0.184166666666667,0.155,0.108513708513709,0.295200629425649,0.0873015873015873,0.105,0.171982013144241,-0.399880772821949,0.438332543420922,-0.442370015831975,0.437564857769626,0.437564857769626,0.237302312331696,0.209087341122483,0.209087341122483,0.209087341122483,-0.516908169956015,-0.445305994718135,-0.149229914302437,0.419835433947705,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.321111111111111,0.266666666666667,0.285,0.266666666666667,0.407069759206799,0.231428571428571,-0.18,-0.0428571428571429,0.2,0.0504276184258625,-0.124642740771773,-0.180641718252332
