"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Csn","Jagged","MEK","NOTCH","ERK","cfos","NOTCHic","EGR1","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ZEB2",-0.237313131313131,-0.225446299732014,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.160945653142025,-0.142771260997067,-0.135695486238255,-0.133256461848011,-0.129841621792841,-0.126767912772586,-0.126396682801797,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.111111111111111,-0.110759256908,-0.106253191988626,-0.100235393022278,-0.100155631013016,-0.0969298245614035,-0.0964102564102564,-0.0916666666666667,-0.0897435897435897,-0.0812820512820513,-0.0523565158559132,-0.0499387256777987,-0.0499387256777987,-0.0483211432394,-0.0417047103756056,-0.0223786812758975,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0.00561803050345223,0.0098416500396239,0.0134607188607293,0.04316698703652,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.11282750964596,0.125296167247387,0.170080515297907
"CD44",0.106666666666667,0.0911111111111111,0.0966666666666667,0.0466666666666667,0.0666666666666667,0.0711589580010633,-0.0497076023391813,-0.0590702947845805,-0.0611111111111111,-0.0790909090909091,0.06,0.0517948717948718,0.0666666666666667,0,-0.05,-0.1,0,-0.106107226107226,0.055,0.0270676691729323,0.005,0.025,0.0428571428571429,0,0,0.121428571428571,-0.0142857142857143,0.123809523809524,0.123809523809524,-0.221982461982462,0.171391941391941,0.151428571428571,0.171428571428571,0.171428571428571,0.171428571428571,0.124121702312452,-0.00773809523809524,-0.14074659639877,-0.151264162194395,-0.156666666666667,-0.154341085271318,-0.15,-0.156666666666667,-0.05,-0.1,0,0,0.1,-0.18,-0.1,0.1,0.1,-0.0274418858452472,0.07,-0.0488888888888889
"cMet",0.090210970464135,0.0762174940898345,0.0911111111111111,0.0966666666666667,0.0466666666666667,0.0728538732553006,-0.0477468180254558,-0.053615749330035,-0.0590702947845805,-0.0790909090909091,0.0475,0.0461768942667819,0.06,0.0666666666666667,-0.07,-0.05,0,-0.103933313063748,0.0495454545454545,0.0164293713005919,0.055,0.005,0.0270676691729323,0.025,0.0428571428571429,0.148095238095238,-0.0238095238095238,0.124819624819625,0.124819624819625,-0.221982461982462,0.166765606872368,0.149541778975741,0.151428571428571,0.151428571428571,0.151428571428571,0.122849437681409,-0.00289938556067588,-0.14230909639877,-0.147309359934508,-0.156666666666667,-0.151264162194395,-0.156666666666667,-0.154341085271318,-0.156666666666667,-0.15,-0.05,-0.1,0,-0.184761904761905,0,0.1,0.1,-0.0287932371965985,0.0790909090909091,-0.0340740740740741
"Destcompl",0.0567905372676879,0.0255550205563169,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0961353279353432,0.0114183252644791,0.0166040100250627,0.0153174603174603,-0.118668266645717,0.0449802631010685,-0.039990931865969,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.111877394636015,0.0523809523809524,-0.184921064618342,0.0875300130456802,-0.0598730284697872,0.0892177767587603,0.0886713286713287,-0.0560654132393263,0.0856410256410256,-0.0549784567175871,-0.0702048987978155,-0.203149190846705,0.192133863412772,0.192133863412772,-0.232709841018775,0.215009252685094,0.00185341010655424,0.00295231120545534,0.00295231120545534,0.00295231120545534,0.0515285831911303,-0.0901959787975787,-0.203803589903581,-0.186622379297913,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0201266109350012,0.116540607071248,-0.126412592554592
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.1547184519461,0.0187481889307447,0.0193064182194617,0.0220841959972395,-0.153439770611902,0.101497584541063,-0.0370946197518206,0.104830917874396,0.109178743961353,-0.152930402930403,-0.157692307692308,0.122222222222222,-0.220035634166069,0.145081680723349,-0.0536633814265393,0.145081680723349,0.146016260162602,-0.052312030075188,0.153333333333333,-0.0505263157894737,-0.0809137659909048,-0.252988588338008,0.245175501457021,0.245175501457021,-0.276687275421324,0.249359406027404,0.0667622309742845,0.069649370081896,0.069649370081896,0.069649370081896,0.0626921145380067,-0.171036544818009,-0.2593606087525,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.151144688644689,-0.180593071802749
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.104658385093168,0.0656410256410257,0.0519976147883125,0.058974358974359,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,0,0.1,0.153259803921569,0.0729411764705882,0.192857142857143,0.02,0,0.142857142857143,0.1,0.1,0.112121212121212,-0.262745098039216,0.304208512673362,0.304208512673362,0.338534482758621,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.0695141065830721,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.111666666666667
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.115769496204279,0.0592580469176214,0.0604088297415835,0.0519976147883125,0.116191872643486,0.161666666666667,0.24484593837535,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.0666666666666667,0.162350713012478,0.0988671023965142,0.222268907563025,0.0729411764705882,0.02,0.192857142857143,0,0.142857142857143,0.139393939393939,-0.300840336134454,0.338861978019897,0.338861978019897,0.366610192537801,-0.366766881894001,0.173449819968676,0.150615174299385,0.150615174299385,0.150615174299385,-0.437207488289314,-0.0907262277951933,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00766774342317397,-0.10974025974026,-0.136666666666667
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.334997461811805,0.107669977081742,0.0968115942028986,0.0866666666666667,0.322647849462366,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.2,0.352984416882468,0.234513479243619,0.376317269274404,0.210802139037433,0.187272727272727,0.342296650717703,0.16,0.305454545454545,0.30180102915952,-0.266666666666667,0.354514963880289,0.354514963880289,0.462836800582168,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.67324068547381,-0.344826715942057,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342234893297891,-0.297916666666667,-0.316996495567924
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.334997461811805,0.107669977081742,0.0968115942028986,0.0866666666666667,0.322647849462366,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.2,0.352984416882468,0.234513479243619,0.376317269274404,0.210802139037433,0.187272727272727,0.342296650717703,0.16,0.305454545454545,0.30180102915952,-0.266666666666667,0.354514963880289,0.354514963880289,0.462836800582168,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.67324068547381,-0.344826715942057,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342234893297891,-0.297916666666667,-0.316996495567924
"DSH",0.229582893646541,0.257404433671666,0.240331262939959,0.203188405797101,0.146666666666667,0.132291235334714,0.0697843627070951,0.0736163769113948,0.0604088297415835,0.129075308226308,0.174310344827586,0.261157995112939,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.0866666666666667,0.17785458898147,0.113152816682228,0.238352823646941,0.0988671023965142,0.0729411764705882,0.222268907563025,0.02,0.192857142857143,0.168662232076866,-0.33287917108591,0.362484025263991,0.362484025263991,0.390475151792748,-0.394210933719678,0.195578671509292,0.173449819968676,0.173449819968676,0.173449819968676,-0.464160956243659,-0.108591657029532,-0.367809882360187,0.365808492263784,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00511851611881076,-0.116191872643486,-0.152750582750583
"SHH",0.35,0.44,0.4,0.3,0.2,0.283333333333333,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.2,0.1,0,0.3,0.2,0,0.162857142857143,0.12,0.233333333333333,0.1,0.1,0.2,0,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.170503220611916,0.0710187333938721,0.0758101640656263,0.0654101640656262,0.129273504273504,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.166666666666667,0.181491228070175,0.102824080451853,0.236104218362283,0.0815126050420168,0.0285714285714286,0.203846153846154,0,0.15,0.178846153846154,-0.336842105263158,0.375508463573364,0.375508463573364,0.393332025854555,-0.396875422177051,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.471674744749634,-0.181782106782107,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0187976530388127,-0.115384615384615,-0.157789269553975
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.170503220611916,0.0710187333938721,0.0758101640656263,0.0654101640656262,0.129273504273504,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.166666666666667,0.181491228070175,0.102824080451853,0.236104218362283,0.0815126050420168,0.0285714285714286,0.203846153846154,0,0.15,0.178846153846154,-0.336842105263158,0.375508463573364,0.375508463573364,0.393332025854555,-0.396875422177051,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.471674744749634,-0.181782106782107,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0187976530388127,-0.115384615384615,-0.157789269553975
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.370375010941466,0.113637733574442,0.105442864523665,0.0906103286384976,0.364039362223763,0.36889281262983,0.448322008191805,0.326724137931034,0.275,0.301176470588235,0.26,0.2,0.400983817897747,0.26293057763646,0.41441672362725,0.237254901960784,0.207843137254902,0.376754385964912,0.166666666666667,0.332894736842105,0.338877620013523,-0.286538461538462,0.378588839941263,0.378588839941263,0.709253551158018,-0.63753975365315,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.808627937207547,-0.384060163488825,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385896426748544,-0.335870348139256,-0.345987179487179
"cateninnuc",0.39184030723375,0.376019253245876,0.357023620058103,0.331736263736264,0.299428571428571,0.33228288133227,0.114301118443566,0.100183188344171,0.0924069264069264,0.211348823682478,0.341791666666667,0.322642834144213,0.326166666666667,0.304166666666667,0.184644808743169,0.163333333333333,0.270833333333333,0.244588992039895,0.226114209928896,0.37318647651127,0.213270173231648,0.195548654244306,0.355459203783997,0.171739130434783,0.332203389830509,0.291019208694194,-0.300194664963348,0.379590589108521,0.379590589108521,0.459501932477728,-0.40933062276552,0.388879168879169,0.372717552717553,0.372717552717553,0.372717552717553,-0.491120629928219,-0.333706110883695,-0.387160596628198,0.181628850881789,0.255050909979439,0.268952794543761,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.320876494988504,-0.198930523028884,-0.329241766504794
"AKT",0.276854453206186,0.297041414723726,0.273778574844572,0.233941176470588,0.177941176470588,0.192307731890112,0.0838006882810902,0.0882680765235387,0.0758101640656263,0.146115609536662,0.193189816719228,0.299140278674305,0.276018099547511,0.252941176470588,0.115384615384615,0.1,0.2,0.20069652608342,0.119279776654385,0.258055437874478,0.102824080451853,0.0815126050420168,0.236104218362283,0.0285714285714286,0.203846153846154,0.212179487179487,-0.370175438596491,0.403590655354186,0.403590655354186,0.42137222685958,-0.428373893125064,0.243100424469627,0.21635343651782,0.21635343651782,0.21635343651782,-0.503492926567816,-0.202749848717591,-0.404916532206793,0.40056587885934,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00349575064013613,-0.129273504273504,-0.179528399988758
"RAS",0.365873015873016,0.38547466511357,0.327058823529412,0.28,0.26,0.329164208456244,0.1800395256917,0.178973407544836,0.174891774891775,0.209536723163842,0.225555555555556,0.387626841243863,0.186666666666667,0.166666666666667,0.133333333333333,0.1,0.2,0.271957421643998,0.413070175438596,0.287785501489573,0.379736842105263,0.385,0.236842105263158,0.36,0.2,-0.0632034632034632,-0.366428571428571,0.414882179675994,0.414882179675994,0.603882050675639,-0.406722830016964,0.151794871794872,0.205641025641026,0.205641025641026,0.205641025641026,-0.484944192872582,-0.239095607235142,-0.423353846153846,0.416499148668893,0.338970588235294,0.382788100510253,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0400654813445511,-0.177333333333333,-0.466169811320755
"RAF",0.343442381373416,0.361842456608812,0.308571428571429,0.246666666666667,0.2,0.273512686750608,0.20267131242741,0.19981454178794,0.196844244758237,0.24848087431694,0.18474025974026,0.404554367201426,0.139285714285714,0.114285714285714,0.173333333333333,0.133333333333333,0.1,0.292145686797639,0.331584739545121,0.232634032634033,0.274137931034483,0.25,0.178787878787879,0.35,0.133333333333333,-0.051047619047619,-0.370827355332377,0.418827355332377,0.418827355332377,0.69249723145072,-0.500312917959977,0.0934371184371184,0.0464285714285714,0.0464285714285714,0.0464285714285714,-0.58644831492767,-0.210677698975571,-0.425754631502767,0.400196529063544,0.327692307692308,0.367372101582628,0.27,0.326113360323887,0.268421052631579,0.2,0.2,0.1,0.1,0.342334739803094,-0.1,-0.1,0,0.0104042313789627,-0.217333333333333,-0.33452380952381
"IKK",0.493766233766234,0.525991919191919,0.469191919191919,0.405555555555556,0.35,0.284626802374894,0.17141382868937,0.170716446644664,0.161805555555556,0.248326947637292,0.315637065637066,0.529607843137255,0.264285714285714,0.314285714285714,0.18,0.12,0.3,0.282867853795689,0.110380952380952,0.35974025974026,0.0637142857142857,0.0357142857142857,0.307359307359307,0.05,0.245454545454545,0.342226890756303,-0.363369963369963,0.421418546365915,0.421418546365915,0.653528964097054,-0.568697373390111,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,-0.680067589282468,-0.21507326007326,-0.425763656633222,0.438686573623282,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.140959195040542,-0.220740740740741,-0.247540983606557
"Csn",0.251247804550747,0.27786208733026,0.252802421459138,0.206648575305292,0.145454545454545,0.160180021934095,0.0708222591362126,0.0773539747294917,0.0637292960662526,0.135915435994759,0.202566666666667,0.293027894654823,0.184166666666667,0.155,0.108513708513709,0.0873015873015873,0.105,0.184642267730351,0.124207251082251,0.261749361749362,0.104415584415584,0.0745454545454545,0.238672438672439,0.02,0.201010101010101,0.194567047157846,-0.399880772821949,0.435063688999173,0.435063688999173,0.435411253369306,-0.442053058621199,0.237302312331696,0.209087341122483,0.209087341122483,0.209087341122483,-0.515290813441343,-0.145723032706863,-0.443355132389914,0.419354375619382,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0512922823342393,-0.120341665502956,-0.167186493069588
