"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","miR200","KLF4","EGR1","ERK","HEY1","cfos","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","ZEB2","ZEB1","Frizzled","cMet","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0553823933338675,0.0240105920910874,0.0282417582417582,0.0271428571428571,0.0207598784194529,0.0511115619100263,0.0932228725412149,-0.176817050183457,-0.190319385761665,0.0625641025641026,0.0526366163762573,0.0183062849100585,0.0531891025641026,0.0232222791670888,0.0227586006508601,-0.118455098934551,0.0414751914751915,0.046969696969697,0.05,-0.107936507936508,-0.0421972276489448,-0.107936507936508,0.05,-0.186278226705702,-0.0619550734585934,-0.0570718462823726,-0.0553174603174603,-0.0616468184684934,0.221547173080304,-0.236823691639846,-0.000271766579711519,0.00148823342028848,0.00148823342028848,0.00148823342028848,0.0619815668966093,-0.0869949769970131,-0.190787986191654,-0.189519122822831,-0.190068178140467,-0.186268644811358,-0.188863358863359,0.173524155902694,0.173524155902694,-0.181746031746032,-0.185786435786436,-0.181746031746032,-0.181746031746032,-0.181746031746032,-0.241802379554276,-0.0666666666666667,0.119047619047619,-0.188888888888889,-0.0221345464515252,0.113888888888889,-0.120713276796775
"Wnt",0.186565656565657,0.212937062937063,0.153846153846154,0.1,0.1,0.126666666666667,0.125238095238095,-0.15,-0.15,0.1,0.0666666666666667,0.125714285714286,0.0666666666666667,0.116017316017316,0.119047619047619,0.165454545454545,0.15,0.1,0.0666666666666667,0.1,0.228717948717949,0,0.1,0.194509803921569,0.21,0.16,0.1,0.0939393939393939,-0.328323586744639,0.337621275121275,0.149029550620738,0.118796992481203,0.118796992481203,0.118796992481203,-0.400839458826036,-0.0722727272727273,0.321851851851852,0.283333333333333,0.301851851851852,0.25,0.283333333333333,0.190740740740741,0.190740740740741,0.3,0.25,0.2,0.2,0.1,0.30846394984326,-0.1,0,0,-0.0267690058479532,-0.145454545454545,-0.136666666666667
"AXIN2",0.109816381285044,0.0638426575447557,0.063500191791331,0.0644092827004219,0.0783333333333333,0.111501993941018,0.153434347213813,-0.223039215686275,-0.233578521776138,0.153333333333333,0.117096399535424,0.0246829268292683,0.131382113821138,0.0237353630820662,0.0288900022573239,-0.154774720893142,0.0996625867357575,0.103321123321123,0.107936507936508,-0.153827751196172,-0.0383448057968203,-0.159090909090909,0.122222222222222,-0.221212121212121,-0.0547550776583035,-0.052962962962963,-0.0511111111111111,-0.0772848386809959,0.255083407570569,-0.279099961704908,0.0657127728485344,0.0692889317889318,0.0692889317889318,0.0692889317889318,0.0723604641873175,-0.169587187643518,-0.243584910748572,-0.239352624087897,-0.241802379554276,-0.23680485338726,-0.2390412751125,0.222194145263739,0.222194145263739,-0.237674418604651,-0.23680485338726,-0.237674418604651,-0.24,-0.24,0.18046217376427,-0.133333333333333,0.15,-0.233333333333333,0.158223853379131,0.151744417862839,-0.17821368370357
"Frizzled",0.225806162894771,0.25108139283397,0.212937062937063,0.153846153846154,0.1,0.171111111111111,0.13952380952381,-0.190740740740741,-0.185714285714286,0.0666666666666667,0.126666666666667,0.123011583011583,0.0666666666666667,0.125108225108225,0.116017316017316,0.175258467023173,0.180769230769231,0.15,0.1,0.145454545454545,0.250367433254031,0.1,0.0666666666666667,0.204854631507776,0.241818181818182,0.21,0.16,0.129423264907136,-0.361195559062978,0.364954608454608,0.170341026030574,0.149029550620738,0.149029550620738,0.149029550620738,-0.43715524829972,-0.0907912457912458,0.342260015117158,0.301851851851852,0.321851851851852,0.283333333333333,0.301851851851852,0.228240740740741,0.228240740740741,0.25,0.283333333333333,0.25,0.3,0.2,0.336174793216754,-0.1,0,0.1,-0.0125628777142485,-0.165454545454545,-0.160666666666667
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.29,-0.2,-0.2,0,0.2,0.133333333333333,0.1,0.166666666666667,0.133333333333333,0.266666666666667,0.15,0.1,0,0.3,0.2,0.2,0,0.18,0.233333333333333,0.2,0.1,0.25,-0.297777777777778,0.36727969348659,0.303846153846154,0.25,0.25,0.25,-0.339047619047619,-0.271794871794872,0.23952380952381,0.25,0.196666666666667,0.2,0.15,0.25,0.25,0.2,0.1,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"DSH",0.243509512177067,0.26895211526743,0.25108139283397,0.212937062937063,0.153846153846154,0.200143369175627,0.155757575757576,-0.228240740740741,-0.219047619047619,0.0666666666666667,0.171111111111111,0.135206704962803,0.126666666666667,0.143824802648332,0.125108225108225,0.188235566259814,0.196558704453441,0.180769230769231,0.15,0.165454545454545,0.268014492077561,0.145454545454545,0.1,0.22098366376584,0.258741258741259,0.241818181818182,0.21,0.159293394777266,-0.38943390103189,0.388835205469534,0.191748650664005,0.170341026030574,0.170341026030574,0.170341026030574,-0.464789443130734,-0.107828282828283,0.359929918029779,0.321570161711007,0.342260015117158,0.301851851851852,0.321851851851852,0.251132307005801,0.251132307005801,0.283333333333333,0.301851851851852,0.283333333333333,0.25,0.25,0.359044748373705,-0.0666666666666667,-0.1,0.2,-0.000113078517461326,-0.175258467023173,-0.180351706036745
"PI3K",0.266891173342786,0.284202898550725,0.243333333333333,0.185,0.125,0.199500390320062,0.19457729468599,-0.248787878787879,-0.244509803921569,0.0666666666666667,0.155238095238095,0.138927738927739,0.0952380952380952,0.14745044429255,0.133766233766234,0.189298245614035,0.296880570409982,0.269607843137255,0.216666666666667,0.15,0.282784043441938,0.1,0.166666666666667,0.226341828597468,0.255058275058275,0.22051282051282,0.166666666666667,0.164777327935223,-0.393760821469796,0.393291344834045,0.213988341951868,0.184910327767471,0.184910327767471,0.184910327767471,-0.474192613834752,-0.183346134152586,0.376811916329989,0.327994227994228,0.353295432813505,0.301010101010101,0.327994227994228,0.28489898989899,0.28489898989899,0.255555555555556,0.301010101010101,0.255555555555556,0.2,0.2,0.355690317364059,-0.2,0,0.1,-0.0226603133077953,-0.17,-0.184709913742172
"ILK",0.266891173342786,0.284202898550725,0.243333333333333,0.185,0.125,0.199500390320062,0.19457729468599,-0.248787878787879,-0.244509803921569,0.0666666666666667,0.155238095238095,0.138927738927739,0.0952380952380952,0.14745044429255,0.133766233766234,0.189298245614035,0.296880570409982,0.269607843137255,0.216666666666667,0.15,0.282784043441938,0.1,0.166666666666667,0.226341828597468,0.255058275058275,0.22051282051282,0.166666666666667,0.164777327935223,-0.393760821469796,0.393291344834045,0.213988341951868,0.184910327767471,0.184910327767471,0.184910327767471,-0.474192613834752,-0.183346134152586,0.376811916329989,0.327994227994228,0.353295432813505,0.301010101010101,0.327994227994228,0.28489898989899,0.28489898989899,0.255555555555556,0.301010101010101,0.255555555555556,0.2,0.2,0.355690317364059,-0.2,0,0.1,-0.0226603133077953,-0.17,-0.184709913742172
"STAT",0.21725487905398,0.209635005517358,0.194126984126984,0.165555555555556,0.138888888888889,0.203043775649795,0.136522478724314,-0.292211518753843,-0.1953119232189,0.2,0.186764705882353,0.122355631789594,0.175,0.131029359112066,0.126029359112066,0.0695319386495857,0.0456470588235294,0.0376470588235294,0.02,0.0522727272727273,0.0783566975624237,0.025,0,0.0793843056569545,0.0319479965899403,0.021078431372549,-0.00392156862745098,-0.00546434697378094,-0.0467281739079176,0.0965689406870978,-0.0379679577084907,-0.049430408301376,-0.049430408301376,-0.049430408301376,-0.184324348002921,0.0476305644090879,0.0196754345759985,0.000567933595456532,0.0103456054038566,-0.00952380952380952,0.000756564307966177,0.307026333568658,0.307026333568658,-0.0238095238095238,-0.00952380952380952,-0.0238095238095238,-0.0571428571428571,-0.0571428571428571,-0.0521372448104306,0,0,0,-0.0716237843856387,-0.0640374331550802,-0.159539647344525
"AKT",0.291057840009453,0.308955373798249,0.284202898550725,0.243333333333333,0.185,0.229701732601942,0.217781714575493,-0.28489898989899,-0.276942236354001,0.0952380952380952,0.199500390320062,0.155759422096056,0.155238095238095,0.165324840427815,0.14745044429255,0.208285587386187,0.218309141838554,0.296880570409982,0.269607843137255,0.17,0.307108367766263,0.15,0.216666666666667,0.247414625532334,0.278867798867799,0.255058275058275,0.22051282051282,0.198894974994046,-0.425983043692018,0.421649553789269,0.240304131425552,0.213988341951868,0.213988341951868,0.213988341951868,-0.507241290179756,-0.203771666067479,0.396512664459664,0.352994227994228,0.376811916329989,0.327994227994228,0.353295432813505,0.315107323232323,0.315107323232323,0.301010101010101,0.327994227994228,0.301010101010101,0.255555555555556,0.255555555555556,0.384967883903983,-0.166666666666667,-0.1,0.2,-0.00785511850260054,-0.189298245614035,-0.210951048493945
"IKK",0.508142937990137,0.537539026629936,0.475555555555556,0.405555555555556,0.35,0.259344947735192,0.316534391534392,-0.268589743589744,-0.262037037037037,0.1,0.178857142857143,0.255023923444976,0.142857142857143,0.26021645021645,0.243333333333333,0.3029307568438,0.346042471042471,0.289285714285714,0.314285714285714,0.22,0.538003874555196,0.12,0.3,0.312212486308872,0.377480689245395,0.32192513368984,0.245454545454545,0.301890756302521,-0.566770710059172,0.65927187225064,0.379834067928442,0.334119782214156,0.334119782214156,0.334119782214156,-0.685234685948972,-0.224493006993007,0.43591899969464,0.374481074481074,0.406272981995525,0.331623931623932,0.374481074481074,0.322875457875458,0.322875457875458,0.277777777777778,0.331623931623932,0.277777777777778,0.2,0.2,0.402170596393897,-0.2,-0.1,0.1,0.137349086841173,-0.268148148148148,-0.296370023419204
"Csn",0.271939948717442,0.295455577911916,0.268522244578583,0.220634920634921,0.155555555555556,0.258885281385281,0.198385434203728,-0.295619846437637,-0.287481971512009,0.106666666666667,0.221385281385281,0.141523845007452,0.173333333333333,0.153959732888481,0.133807641633729,0.209182291592047,0.240651629072682,0.216842105263158,0.18,0.17487922705314,0.305737738217229,0.144444444444444,0.13,0.23627631181751,0.293522588522589,0.268522588522588,0.226984126984127,0.176666666666667,-0.438052431888825,0.435077659936115,0.232877714868285,0.205530776092774,0.205530776092774,0.205530776092774,-0.519699092402596,-0.14685708406596,0.412735121240682,0.366397093295827,0.391316111869865,0.341397093295827,0.366887289374259,0.32557765234481,0.32557765234481,0.314814814814815,0.341397093295827,0.314814814814815,0.266666666666667,0.266666666666667,0.400905802609759,-0.18,-0.1,0.2,0.0443087848970202,-0.192687446231222,-0.212371318469584
"HEY1",0.391028394863195,0.37430303030303,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.339057991237367,-0.303088803088803,-0.236666666666667,0.2,0.328877005347594,0.127315541601256,0.281818181818182,0.124242424242424,0.106060606060606,0.33111658456486,0.342857142857143,0.302857142857143,0.26,0.266666666666667,0.413222222222222,0.233333333333333,0.2,0.357478807765928,0.377780521685445,0.342296650717703,0.305454545454545,0.28138936535163,-0.591376519234775,0.464749561875156,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.671076630802658,-0.348106210167198,0.394419398634258,0.353897196408636,0.375826433810137,0.326310989512084,0.353267511251214,0.343629343629344,0.343629343629344,0.296078431372549,0.326310989512084,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341774069437728,-0.302380952380952,-0.330324521813883
"FOXC2",0.391028394863195,0.37430303030303,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.339057991237367,-0.303088803088803,-0.236666666666667,0.2,0.328877005347594,0.127315541601256,0.281818181818182,0.124242424242424,0.106060606060606,0.33111658456486,0.342857142857143,0.302857142857143,0.26,0.266666666666667,0.413222222222222,0.233333333333333,0.2,0.357478807765928,0.377780521685445,0.342296650717703,0.305454545454545,0.28138936535163,-0.591376519234775,0.464749561875156,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.671076630802658,-0.348106210167198,0.394419398634258,0.353897196408636,0.375826433810137,0.326310989512084,0.353267511251214,0.343629343629344,0.343629343629344,0.296078431372549,0.326310989512084,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341774069437728,-0.302380952380952,-0.330324521813883
"Jagged",0.337777777777778,0.354037267080745,0.271428571428571,0.2,0.2,0.32,0.336666666666667,-0.3,-0.3,0.1,0.22,0.233333333333333,0.2,0.141025641025641,0.133333333333333,0.205555555555556,0.155555555555556,0.1,0,0.1,0.316666666666667,0,0,0.213636363636364,0.271428571428571,0.2,0.1,0.12,-0.430521091811414,0.437904761904762,0.251428571428571,0.18,0.18,0.18,-0.52218867524763,-0.239316239316239,0.344404619673437,0.266666666666667,0.308602150537634,0.2,0.266666666666667,0.35,0.35,0.1,0.2,0.1,0,0,0.278947368421053,0,0,0,0.296361502347418,-0.15,-0.302564102564103
"DELTA",0.337777777777778,0.354037267080745,0.271428571428571,0.2,0.2,0.32,0.336666666666667,-0.3,-0.3,0.1,0.22,0.233333333333333,0.2,0.141025641025641,0.133333333333333,0.205555555555556,0.155555555555556,0.1,0,0.1,0.316666666666667,0,0,0.213636363636364,0.271428571428571,0.2,0.1,0.12,-0.430521091811414,0.437904761904762,0.251428571428571,0.18,0.18,0.18,-0.52218867524763,-0.239316239316239,0.344404619673437,0.266666666666667,0.308602150537634,0.2,0.266666666666667,0.35,0.35,0.1,0.2,0.1,0,0,0.278947368421053,0,0,0,0.296361502347418,-0.15,-0.302564102564103
"SMO",0.437301587301587,0.52989898989899,0.485454545454545,0.44,0.4,0.395781637717122,0.374040747028862,-0.316666666666667,-0.286666666666667,0.2,0.353846153846154,0.21025641025641,0.3,0.217647058823529,0.2,0.34702380952381,0.254,0.21,0.15,0.266666666666667,0.287283582089552,0.333333333333333,0.1,0.261166272655634,0.333888888888889,0.288888888888889,0.233333333333333,0.255263157894737,-0.395653235653236,0.457391756769385,0.381713800904977,0.347596153846154,0.347596153846154,0.347596153846154,-0.443185665621585,-0.335128205128205,0.298968730393849,0.342857142857143,0.272197076850542,0.3,0.23952380952381,0.36025641025641,0.36025641025641,0.25,0.196666666666667,0.15,0.2,0.1,0.365504670767829,0,-0.3,0.1,0.317431457431457,-0.304166666666667,-0.36
"SNAI2",0.426095702495428,0.411971774679877,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.373485228903709,-0.321992481203007,-0.263309914129586,0.2,0.349019607843137,0.129089026915114,0.288235294117647,0.128464362449035,0.105657344905175,0.370772430184195,0.371027935399389,0.326724137931034,0.275,0.301176470588235,0.448736086866753,0.26,0.2,0.404394228062959,0.415421052631579,0.376754385964912,0.332894736842105,0.323799864773496,-0.636591945479751,0.710642286405021,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.806975517197558,-0.386470390385003,0.448679271558879,0.402974962071897,0.427647215264899,0.373563197366014,0.40259545543053,0.366902660843726,0.366902660843726,0.341168831168831,0.373563197366014,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385614821833258,-0.338954248366013,-0.356335616438356
"RAF",0.304528727445394,0.329067222511725,0.272631578947368,0.22,0.2,0.231427425821973,0.235830875122911,-0.328666666666667,-0.328666666666667,0.17,0.187241379310345,0.189541595925297,0.17,0.186985397244452,0.182637571157495,0.243904518329071,0.167434715821813,0.119047619047619,0.0857142857142857,0.166666666666667,0.379539043687651,0.1,0.1,0.285864197530864,0.222666666666667,0.166666666666667,0.111111111111111,0.0613968253968254,-0.470988083416087,0.622783251231527,0.0935827216261999,0.050974025974026,0.050974025974026,0.050974025974026,-0.543068079945156,-0.164444444444444,0.37226124064568,0.318,0.346855835240275,0.27,0.316421052631579,0.367797101449275,0.367797101449275,0.2,0.268421052631579,0.2,0.1,0.1,0.336219336219336,-0.1,-0.1,0,0.0201145060901158,-0.214492753623188,-0.234557823129252
"SRC",0.413127510040161,0.403991596638655,0.372619047619048,0.347619047619048,0.333333333333333,0.331753859348199,0.307667546447239,-0.336489028213166,-0.238787878787879,0.3,0.314772727272727,0.200641025641026,0.327272727272727,0.189696796234713,0.18367269984917,0.10544474393531,0.171025641025641,0.157692307692308,0.15,0.0533333333333333,0.26047597626545,0.0333333333333333,0.15,0.128965053763441,0.170340136054422,0.143809523809524,0.12,0.00909090909090909,-0.101412651906723,0.203833475419153,0.216384933980439,0.190400682011935,0.190400682011935,0.190400682011935,-0.263423691673048,-0.150572267238934,0.0735272347793172,0.02957181088314,0.0550620069615714,-0.00263157894736842,0.02957181088314,0.367832311795256,0.367832311795256,-0.05,-0.00263157894736842,-0.05,-0.1,0,-0.0312291453864487,-0.1,-0.0333333333333333,0,-0.0841457368600057,-0.0771428571428571,-0.40465367965368
"cateninnuc",0.39757857475079,0.380383210277947,0.359662489557226,0.332761904761905,0.299428571428571,0.376191892881935,0.342520585659133,-0.350843870706571,-0.241892614847839,0.297101449275362,0.35453290670682,0.157731694828469,0.327260179434092,0.146889491500264,0.136168929110106,0.229825443174081,0.352057582537878,0.333254163734459,0.308764367816092,0.196257062146893,0.325505440381158,0.170833333333333,0.270833333333333,0.253947094967019,0.378482106129165,0.359251336898396,0.334545454545455,0.26053774676689,-0.406987110500091,0.462662228228046,0.387896635158867,0.372348631760396,0.372348631760396,0.372348631760396,-0.489752492061336,-0.337476706667147,0.179848997212893,0.253350573086444,0.267044464634989,0.237182908415785,0.252387976085371,0.375796251658952,0.375796251658952,0.217402688635565,0.236155511155511,0.216375291375291,0.191375291375291,0.191375291375291,0.394419398634258,-0.233333333333333,-0.133333333333333,0.160606060606061,0.318747486978702,-0.215681522578547,-0.354043173840407
