"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","TWIST1","EGR1","cfos","HEY1","SHH","SMAD","AKT","ILK","IKK","SMO","Jagged","NFB","FUS","NOTCH","NOTCHic","Csn","Csl","SNAI2","SOSGRB2","RAS","ZEB2","ZEB1","RAF","PI3K","DELTA","KLF4","cateninnuc","TCFLEF","GLI","CD44","Wnt","cMet","Frizzled","SRC","miR200","cateninmemb","DSH","AXIN2","GSK3","STAT","LIV1","Destcompl","Ecadherin","TrCP","SUFU","Patched","RKIP"
"Destcompl",0.0526219087425984,0.020286228955267,0.025377878649768,0.0259155130583702,0.0210204081632653,0.0495905664642281,0.0910845375565953,0.0523742923742924,-0.0469260370758446,0.0625641025641026,0.0534731934731935,0.00964317733548503,-0.123800875313603,0.0135304840428515,0.0426221397649969,0.0134126984126984,0.0487445887445888,-0.113326669998334,-0.19223787738603,0.0523809523809524,-0.111877394636015,-0.0652346918517258,-0.0596446297399246,0.0523809523809524,-0.0563112964065912,-0.243085017023135,-0.0641676687217484,-0.00493699815050391,0.190404292541389,0.190404292541389,-0.00272206787979021,-0.00272206787979021,-0.00272206787979021,-0.202535778418676,-0.198376611919046,-0.197206695484506,-0.196480089111668,-0.195798244780281,-0.193305485937065,-0.192804232804233,-0.188042328042328,-0.188042328042328,-0.202260637996074,0.234800622822221,-0.185185185185185,-0.248682094597394,-0.0834251622045069,-0.185185185185185,-0.188888888888889,-0.0262216931519059,0.0849142915068552,-0.0666666666666667,0.122222222222222,0.119642459472018,-0.119148468218423
"AXIN2",0.108747313292768,0.0619606607246428,0.0629673721340388,0.0647530864197531,0.0783333333333333,0.111481069291177,0.15264267843233,0.117363422232353,-0.0419685288496484,0.153333333333333,0.131382113821138,0.0187481889307447,-0.155683987079336,0.0181159420289855,0.100920303349256,0.0220841959972395,0.104830917874396,-0.152930402930403,-0.22528629275395,0.109178743961353,-0.157692307692308,-0.056321801997331,-0.0532290184921764,0.122222222222222,-0.0505263157894737,-0.284554747638704,-0.0778908539436025,0.0621320278436661,0.244781823197445,0.244781823197445,0.0668553746722761,0.0668553746722761,0.0668553746722761,-0.252988588338008,-0.250774144806599,-0.248682094597394,-0.245759224219489,-0.245440199335548,-0.241785714285714,-0.241785714285714,-0.24,-0.24,-0.259051022220934,0.2680683884376,-0.24,0.174876698907696,-0.166870011965706,-0.24,-0.233333333333333,0.154616853428991,0.0957854187579507,-0.133333333333333,0.15,0.152029502029502,-0.177987290487291
"Wnt",0.175218295218295,0.201212121212121,0.146666666666667,0.1,0.1,0.119607843137255,0.101298701298701,0.0666666666666667,0.217368421052632,0.1,0.0666666666666667,0.0656410256410257,0.105454545454545,0.0566487775790101,0.136666666666667,0.058974358974359,0.0866666666666667,0.05,0.144166666666667,0.0666666666666667,0,0.190683229813665,0.142857142857143,0.1,0.1,0.33006435006435,0.0939393939393939,0.142702284165699,0.304208512673362,0.304208512673362,0.115873015873016,0.115873015873016,0.115873015873016,-0.262745098039216,0.3109370063815,0.290636254501801,0.272268907563025,0.272268907563025,0.242857142857143,0.242857142857143,0.3,0.2,-0.306262626262626,-0.323809523809524,0.2,0.300740740740741,-0.0651731601731602,0.1,0,-0.0349896480331263,-0.397607107847959,-0.1,0,-0.0954545454545455,-0.12
"Frizzled",0.20936463668171,0.234545454545455,0.201212121212121,0.146666666666667,0.1,0.163004069552349,0.112042502951594,0.119607843137255,0.236118421052632,0.0666666666666667,0.0666666666666667,0.0635133660665576,0.112121212121212,0.0631908336537765,0.159247311827957,0.0566487775790101,0.136666666666667,0.0954545454545455,0.15286231884058,0.0866666666666667,0.05,0.215683229813665,0.190683229813665,0.0666666666666667,0.142857142857143,0.356637776637777,0.125189393939394,0.162360403823818,0.337541846006695,0.337541846006695,0.142702284165699,0.142702284165699,0.142702284165699,-0.300840336134454,0.33038906117602,0.3109370063815,0.290636254501801,0.290636254501801,0.272268907563025,0.272268907563025,0.242857142857143,0.242857142857143,-0.341183261183261,-0.354920634920635,0.3,0.327056530214425,-0.0828202189966896,0.2,0.1,-0.0212066568307803,-0.430191377510881,-0.1,0,-0.105454545454545,-0.138518518518519
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.328877005347594,0.411925192519252,0.2,0.281818181818182,0.111306340718105,0.324798387096774,0.105159420289855,0.33989417989418,0.0906666666666667,0.302857142857143,0.266666666666667,0.353289306267112,0.26,0.233333333333333,0.376317269274404,0.342296650717703,0.2,0.305454545454545,0.463367776259293,0.28138936535163,0.40034188034188,0.354514963880289,0.354514963880289,0.375897435897436,0.375897435897436,0.375897435897436,-0.266666666666667,0.390885002393411,0.373207583038572,0.352626778985768,0.351974706326243,0.326310989512084,0.326310989512084,0.296078431372549,0.296078431372549,-0.362568172568173,-0.587289249359937,0.266666666666667,0.401824066931232,-0.347641773797487,0.266666666666667,0.233333333333333,0.340471700233408,-0.665604514671722,-0.1,-0.2,-0.297916666666667,-0.328674500103071
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.328877005347594,0.411925192519252,0.2,0.281818181818182,0.111306340718105,0.324798387096774,0.105159420289855,0.33989417989418,0.0906666666666667,0.302857142857143,0.266666666666667,0.353289306267112,0.26,0.233333333333333,0.376317269274404,0.342296650717703,0.2,0.305454545454545,0.463367776259293,0.28138936535163,0.40034188034188,0.354514963880289,0.354514963880289,0.375897435897436,0.375897435897436,0.375897435897436,-0.266666666666667,0.390885002393411,0.373207583038572,0.352626778985768,0.351974706326243,0.326310989512084,0.326310989512084,0.296078431372549,0.296078431372549,-0.362568172568173,-0.587289249359937,0.266666666666667,0.401824066931232,-0.347641773797487,0.266666666666667,0.233333333333333,0.340471700233408,-0.665604514671722,-0.1,-0.2,-0.297916666666667,-0.328674500103071
"DSH",0.223650350967424,0.249583048530417,0.234545454545455,0.201212121212121,0.146666666666667,0.187413518371247,0.126152932399447,0.163004069552349,0.251948536882747,0.0666666666666667,0.119607843137255,0.072285295891119,0.122377622377622,0.0759321463950892,0.171152073732719,0.0631908336537765,0.159247311827957,0.105454545454545,0.167028985507246,0.136666666666667,0.0954545454545455,0.229968944099379,0.215683229813665,0.0866666666666667,0.190683229813665,0.379412645747724,0.15083041958042,0.182975788439203,0.360618769083618,0.360618769083618,0.162360403823818,0.162360403823818,0.162360403823818,-0.331533405441384,0.346178534860231,0.33038906117602,0.310636254501801,0.3109370063815,0.290636254501801,0.290636254501801,0.272268907563025,0.272268907563025,-0.365948151465393,-0.380856834643242,0.242857142857143,0.349544568491937,-0.0990638738190246,0.242857142857143,0.2,-0.00933499907676957,-0.454979513104101,-0.0666666666666667,-0.05,-0.112121212121212,-0.154460547504026
"RAF",0.294816490698844,0.319075358298659,0.267619047619048,0.22,0.2,0.227666911225238,0.218551384719621,0.187241379310345,0.368686735612498,0.17,0.17,0.159581881533101,0.206033898305085,0.156725110893631,0.156168831168831,0.153754813863928,0.110714285714286,0.14,0.251587301587302,0.0857142857142857,0.1,0.208565656565657,0.156565656565657,0.1,0.111111111111111,0.61703798109938,0.0613968253968254,0.0888095238095238,0.372663797226208,0.372663797226208,0.0488095238095238,0.0488095238095238,0.0488095238095238,-0.332663797226208,0.364002600178949,0.339074233416771,0.311347517730496,0.309386733416771,0.266666666666667,0.264705882352941,0.2,0.2,-0.380952950808151,-0.466315478514515,0.1,0.331555555555555,-0.158693710932517,0.1,0,0.0134486832830681,-0.53752287633371,-0.1,-0.1,-0.184,-0.226050420168067
"PI3K",0.251369047619048,0.268859979889392,0.232107843137255,0.177941176470588,0.125,0.191512605042017,0.167584273718149,0.148179271708683,0.269692124637466,0.0666666666666667,0.0952380952380952,0.0747923182995325,0.126285714285714,0.0798917967186875,0.273993808049536,0.0694917967186875,0.252941176470588,0.1,0.174718259824015,0.2,0.05,0.230813559322034,0.202,0.166666666666667,0.15,0.38716447025243,0.161538461538462,0.207475117706657,0.374369563996604,0.374369563996604,0.179533941236069,0.179533941236069,0.179533941236069,-0.336842105263158,0.36781932535251,0.345284114084905,0.320443349753695,0.320443349753695,0.292857142857143,0.292857142857143,0.25,0.25,-0.375187990391224,-0.389431848210983,0.2,0.349191919191919,-0.176527938613421,0.2,0.1,-0.030017780595536,-0.468671281667108,-0.2,0,-0.112,-0.163253413253413
"ILK",0.251369047619048,0.268859979889392,0.232107843137255,0.177941176470588,0.125,0.191512605042017,0.167584273718149,0.148179271708683,0.269692124637466,0.0666666666666667,0.0952380952380952,0.0747923182995325,0.126285714285714,0.0798917967186875,0.273993808049536,0.0694917967186875,0.252941176470588,0.1,0.174718259824015,0.2,0.05,0.230813559322034,0.202,0.166666666666667,0.15,0.38716447025243,0.161538461538462,0.207475117706657,0.374369563996604,0.374369563996604,0.179533941236069,0.179533941236069,0.179533941236069,-0.336842105263158,0.36781932535251,0.345284114084905,0.320443349753695,0.320443349753695,0.292857142857143,0.292857142857143,0.25,0.25,-0.375187990391224,-0.389431848210983,0.2,0.349191919191919,-0.176527938613421,0.2,0.1,-0.030017780595536,-0.468671281667108,-0.2,0,-0.112,-0.163253413253413
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0.2,0.2,0,0.1,0.0666666666666667,0.253333333333333,0.1,0.15,0.0666666666666667,0.1,0.3,0.162857142857143,0,0.2,0.233333333333333,0.2,0,0.1,0.365555555555556,0.25,0.303846153846154,0.375,0.375,0.25,0.25,0.25,-0.3,0.234033613445378,0.192857142857143,0.25,0.15,0.2,0.1,0.2,0.1,-0.383333333333333,-0.293620689655172,0.2,0.276190476190476,-0.271794871794872,0.1,0,0.270802139037433,-0.334623655913978,0,-0.2,-0.333333333333333,-0.26
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.37146790711633,0.349019607843137,0.44790275353342,0.2,0.288235294117647,0.116169379144063,0.365447812927988,0.112087517128288,0.36889281262983,0.0934272300469483,0.326724137931034,0.301176470588235,0.40120049600868,0.275,0.26,0.41441672362725,0.376754385964912,0.2,0.332894736842105,0.709697483617823,0.323799864773496,0.441726690335076,0.378588839941263,0.378588839941263,0.412827607766268,0.412827607766268,0.412827607766268,-0.286538461538462,0.445837595604092,0.425773646763164,0.402211846014663,0.401824066931232,0.373563197366014,0.373563197366014,0.341168831168831,0.341168831168831,-0.386587993124707,-0.633484213859148,0.305454545454545,0.446651802969354,-0.386190476190476,0.305454545454545,0.26,0.384701967637798,-0.802747936915113,-0.1,-0.2,-0.335870348139256,-0.355166666666667
"cateninnuc",0.393679563866286,0.37660812471703,0.357317659085101,0.331736263736264,0.299428571428571,0.375040614597133,0.336301407320996,0.353842457915105,0.321458311224765,0.297101449275362,0.327260179434092,0.124481847142868,0.215541040835764,0.111715903923271,0.344702099737533,0.103393939393939,0.328166666666667,0.18792349726776,0.24409914426771,0.304166666666667,0.163333333333333,0.373053817761496,0.355732801595214,0.270833333333333,0.332203389830509,0.459065924329382,0.259657831844757,0.385292498134134,0.382541204190353,0.382541204190353,0.370464911927237,0.370464911927237,0.370464911927237,-0.301618152507832,0.173980821546727,0.262032616720359,0.24921862506284,0.248196138732937,0.233754707537066,0.232668188422378,0.215318953347122,0.214232434232434,-0.389908035503795,-0.399414612165109,0.191375291375291,0.390885002393411,-0.335275387025424,0.191375291375291,0.160606060606061,0.315691062288985,-0.479727690317266,-0.233333333333333,-0.133333333333333,-0.203646767708011,-0.349578312971825
"RAS",0.344765729585007,0.36680926916221,0.315294117647059,0.28,0.26,0.315727554179567,0.305405405405405,0.286315789473684,0.371263552138774,0.26,0.26,0.161857707509881,0.191701149425287,0.158750773036487,0.212222222222222,0.156709956709957,0.173333333333333,0.116666666666667,0.253732303732304,0.166666666666667,0.1,0.276315789473684,0.226315789473684,0.2,0.2,0.570758908610571,0.0125541125541125,0.149459362692445,0.398696612665685,0.398696612665685,0.204561403508772,0.204561403508772,0.204561403508772,-0.356428571428571,0.398279019830744,0.370073891625616,0.333139534883721,0.332142857142857,0.275,0.275,0.2,0.2,-0.407661538461538,-0.392877271617813,0.1,0.346031746031746,-0.212575757575758,0.1,0,-0.0422932418324123,-0.467128426521885,-0.2,-0.1,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.369592822636301,0.391181519210716,0.343736263736264,0.301428571428571,0.271428571428571,0.359400959400959,0.354883873316345,0.323037323037323,0.399469696969697,0.276190476190476,0.30952380952381,0.261647727272727,0.297039897039897,0.259196932100158,0.338011695906433,0.252903225806452,0.304678362573099,0.233333333333333,0.351917647058824,0.288888888888889,0.2,0.392479983784332,0.347552447552448,0.3,0.309090909090909,0.639536890920414,-0.0272222222222222,0.328805120910384,0.400588972431078,0.400588972431078,0.284210526315789,0.284210526315789,0.284210526315789,-0.362017543859649,0.388452155055571,0.360280112044818,0.325108225108225,0.323809523809524,0.272727272727273,0.271428571428571,0.2,0.2,-0.410651126415904,-0.486696542893726,0.1,0.341290322580645,-0.311271329896183,0.1,0,-0.0438401534064185,-0.558137381317632,-0.2,-0.2,-0.268468468468469,-0.381834795321637
"AKT",0.272003968253968,0.290795463760359,0.268859979889392,0.232107843137255,0.177941176470588,0.217828394515701,0.188636905297097,0.191512605042017,0.291546429273227,0.0952380952380952,0.148179271708683,0.0875742731867506,0.142132708821233,0.0919192881276222,0.190660474716202,0.0798917967186875,0.273993808049536,0.112,0.193157976136072,0.252941176470588,0.1,0.251592780101255,0.230813559322034,0.2,0.202,0.414457535129387,0.191771019677996,0.232934435291959,0.402088862242218,0.402088862242218,0.207475117706657,0.207475117706657,0.207475117706657,-0.369016018306636,0.385840526765938,0.36781932535251,0.344971651640487,0.345284114084905,0.320443349753695,0.320443349753695,0.292857142857143,0.292857142857143,-0.403407168473416,-0.419515082455929,0.25,0.377936858463174,-0.196002774499636,0.25,0.2,-0.0158893402285635,-0.499169019223669,-0.166666666666667,-0.05,-0.126285714285714,-0.185048285048285
"MEK",0.333783626849078,0.359075358298659,0.319075358298659,0.267619047619048,0.22,0.173429623089645,0.241218051386288,0.227666911225238,0.398607995455018,0.17,0.187241379310345,0.163218245169465,0.222250114521301,0.165950203144554,0.183879674542325,0.156725110893631,0.156168831168831,0.184,0.269491231718306,0.110714285714286,0.14,0.24241181041181,0.208565656565657,0.0857142857142857,0.156565656565657,0.650015284170141,0.0909422799422799,0.12123273200065,0.409760571419756,0.409760571419756,0.0888095238095238,0.0888095238095238,0.0888095238095238,-0.369918699186992,0.385943528448991,0.364002600178949,0.341035017730496,0.339074233416771,0.311347517730496,0.309386733416771,0.266666666666667,0.264705882352941,-0.41825702604326,-0.502360359299929,0.2,0.370555555555556,-0.184153028517819,0.2,0.1,0.0317973071362792,-0.576916815727649,-0.1,-0.1,-0.206033898305085,-0.255780149897797
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.415,0.373019670388091,0.385,0.349924585218703,0.3,0.325,0.204093567251462,0.177272727272727,0.197619047619048,0.26,0.183333333333333,0.266666666666667,0.15,0.186826923076923,0.2,0.1,0.24812030075188,0.242857142857143,0.2,0.2,0.435998844709733,-0.00238095238095239,0.201960784313725,0.420634920634921,0.420634920634921,0.166666666666667,0.166666666666667,0.166666666666667,-0.277777777777778,0.122283272283272,0.0804029304029304,0.0214285714285714,0.0214285714285714,-0.05,0.05,-0.1,0,-0.431699604743083,-0.134206723617663,0,-0.0221052631578947,-0.222391084093212,0.1,0.1,-0.164516129032258,-0.267061895512922,-0.1,-0.1,-0.15,-0.423703703703704
"IKK",0.497015218458517,0.527869605142332,0.469191919191919,0.405555555555556,0.35,0.252190476190476,0.291637503645378,0.178857142857143,0.52947151595201,0.1,0.142857142857143,0.181940144478844,0.253148148148148,0.18578795379538,0.321042471042471,0.172916666666667,0.264285714285714,0.18,0.281889400921659,0.314285714285714,0.12,0.361457668015045,0.307359307359307,0.3,0.245454545454545,0.655406045201964,0.301890756302521,0.376636444051305,0.425418546365915,0.425418546365915,0.332518796992481,0.332518796992481,0.332518796992481,-0.363369963369963,0.428948810462244,0.400049727893437,0.368761384335155,0.368761384335155,0.327777777777778,0.327777777777778,0.277777777777778,0.277777777777778,-0.428840579710145,-0.562253086419753,0.2,0.398367129946077,-0.220364357864358,0.2,0.1,0.132644406458443,-0.680314070261465,-0.2,-0.1,-0.228148148148148,-0.277322404371585
"Csn",0.243906275499855,0.268278811484616,0.245851370851371,0.204184704184704,0.145454545454545,0.238989898989899,0.153233537961255,0.207878787878788,0.281036723735657,0.106666666666667,0.161212121212121,0.0753737541528239,0.128344282675562,0.081734407521514,0.198734015345269,0.0687370600414079,0.181086956521739,0.103430619559652,0.171441402831064,0.155,0.0873015873015873,0.251425008757237,0.230790088122317,0.105,0.198395721925134,0.422987855239036,0.164642166344294,0.220933538810618,0.432957794728865,0.432957794728865,0.195120089786756,0.195120089786756,0.195120089786756,-0.398231432996534,0.396901689708141,0.377761904761905,0.354204081632653,0.354714285714286,0.329714285714286,0.329714285714286,0.304,0.304,-0.441209955119933,-0.425400289494249,0.26,0.389958196273537,-0.134017598751298,0.26,0.2,0.0315744707575012,-0.500767510109108,-0.18,-0.0428571428571429,-0.11579017012145,-0.172661078127399
