"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","NFB","IKK","AKT","SMO","TWIST1","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","TCFLEF","GLI","Wnt","CD44","Frizzled","cMet","DSH","SRC","STAT","AXIN2","TrCP","SUFU","LIV1","Patched","Destcompl","RKIP"
"Wnt",0.128620689655172,0.140909090909091,0.0772727272727273,0.05,0.1,0.0888888888888889,0.1,0.0849673202614379,0.0555555555555556,0.0666666666666667,0.0656410256410257,0.0508662508662509,0.058974358974359,0.0909803921568628,0.0666666666666667,0.0666666666666667,0.10952380952381,0.0333333333333333,0.127922077922078,0,0.1,0.134280936454849,0.142222222222222,0.0866666666666667,0.0666666666666667,-0.0333333333333333,-0.253333333333333,0.286666666666667,0.286666666666667,-0.369814814814815,0.396120169082126,0.0578461538461538,0.0138461538461538,0.0138461538461538,0.0138461538461538,-0.378856209150327,-0.0563492063492063,-0.288888888888889,0.369814814814815,0.328148148148148,0.28,0.2,0.28,0.2,0.2,0.1,0.1,0,0.286666666666667,-0.1,0,0,-0.0733333333333333,-0.0363987363987364,-0.0961904761904762
"Frizzled",0.173781979977753,0.190909090909091,0.140909090909091,0.0772727272727273,0.05,0.126984126984127,0.0666666666666667,0.100876411170529,0.0888888888888889,0.0555555555555556,0.0556410256410257,0.0530401639097291,0.0508662508662509,0.101618690029203,0.0666666666666667,0.10952380952381,0.132600732600733,0.0733333333333333,0.162297077922078,0.0333333333333333,0.0666666666666667,0.149905936454849,0.181111111111111,0.142222222222222,0.0866666666666667,5.55111512312578e-18,-0.286666666666667,0.318373983739837,0.318373983739837,-0.413564814814815,0.44294097833068,0.0911794871794872,0.0578461538461538,0.0578461538461538,0.0578461538461538,-0.42112425038744,-0.0862461135657012,-0.320964360587002,0.413564814814815,0.369814814814815,0.328148148148148,0.28,0.328148148148148,0.2,0.28,0.2,0.2,0.1,0.348571428571429,-0.1,0,0,-0.0909803921568628,-0.00746472624645212,-0.117120708748616
"DSH",0.197466190504069,0.218283392585069,0.190909090909091,0.140909090909091,0.0772727272727273,0.157418909592823,0.0555555555555556,0.119297463802108,0.126984126984127,0.0888888888888889,0.0587338091461803,0.0650018863977674,0.0530401639097291,0.11422373204601,0.10952380952381,0.132600732600733,0.145503958407184,0.0909803921568628,0.189126346214761,0.0733333333333333,0.0666666666666667,0.169418131576801,0.204706616729089,0.181111111111111,0.142222222222222,0.0454545454545455,-0.316787148594378,0.343116251781075,0.343116251781075,-0.456421957671958,0.486251635927052,0.127220096316543,0.0911794871794872,0.0911794871794872,0.0911794871794872,-0.456809460699516,-0.114279586369048,-0.347154836777478,0.456245227185949,0.413564814814815,0.368688688688689,0.328148148148148,0.369814814814815,0.28,0.328148148148148,0.2,0.28,0.2,0.397694235588972,-0.0666666666666667,-0.0333333333333333,0.1,-0.101618690029203,0.0186716373899115,-0.135120708748616
"PI3K",0.233583333333333,0.250623700623701,0.200623700623701,0.138461538461538,0.1,0.161852433281005,0.0666666666666667,0.154981684981685,0.123076923076923,0.0897435897435898,0.0685576997597458,0.0723981262695353,0.065125398996808,0.11482683982684,0.186666666666667,0.233333333333333,0.254545454545455,0.0787878787878788,0.202876869965478,0.0333333333333333,0.166666666666667,0.168008658008658,0.199130434782609,0.16,0.1,0.0425806451612903,-0.325840336134454,0.359173669467787,0.359173669467787,-0.449763700351936,0.473455901374653,0.199848484848485,0.156666666666667,0.156666666666667,0.156666666666667,-0.468362193362193,-0.175057247968166,-0.35983645983646,0.449763700351936,0.396772247360483,0.343438914027149,0.284615384615385,0.343438914027149,0.2,0.284615384615385,0.1,0.2,0.1,0.359285004965243,-0.2,0,0,-0.096969696969697,-0.0248248008675816,-0.142593638245812
"ILK",0.233583333333333,0.250623700623701,0.200623700623701,0.138461538461538,0.1,0.161852433281005,0.0666666666666667,0.154981684981685,0.123076923076923,0.0897435897435898,0.0685576997597458,0.0723981262695353,0.065125398996808,0.11482683982684,0.186666666666667,0.233333333333333,0.254545454545455,0.0787878787878788,0.202876869965478,0.0333333333333333,0.166666666666667,0.168008658008658,0.199130434782609,0.16,0.1,0.0425806451612903,-0.325840336134454,0.359173669467787,0.359173669467787,-0.449763700351936,0.473455901374653,0.199848484848485,0.156666666666667,0.156666666666667,0.156666666666667,-0.468362193362193,-0.175057247968166,-0.35983645983646,0.449763700351936,0.396772247360483,0.343438914027149,0.284615384615385,0.343438914027149,0.2,0.284615384615385,0.1,0.2,0.1,0.359285004965243,-0.2,0,0,-0.096969696969697,-0.0248248008675816,-0.142593638245812
"RAF",0.283982683982684,0.308493223024115,0.249797570850202,0.207692307692308,0.2,0.217619047619048,0.17,0.214315851444831,0.184285714285714,0.17,0.159581881533101,0.154807445442875,0.153754813863928,0.203571428571429,0.0857142857142857,0.105714285714286,0.147649769585253,0.133333333333333,0.359632719601074,0.1,0.1,0.26781288886552,0.2,0.14,0.1,0.0415584415584416,-0.329411764705882,0.36625386996904,0.36625386996904,-0.518311381290105,0.671569865319865,0.102665104912296,0.0431145431145431,0.0431145431145431,0.0431145431145431,-0.547392120816778,-0.163939393939394,-0.374908890530877,0.518485958485958,0.457802197802198,0.388571428571429,0.3,0.388571428571429,0.2,0.3,0.1,0.2,0.1,0.392727272727273,-0.1,-0.1,0,-0.175,0.0461956355575938,-0.216558441558442
"SHH",0.371428571428571,0.475,0.4,0.3,0.2,0.3,0,0.31,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.283333333333333,0,0.1,0.15,0.3,0.271428571428571,0.2,0,0.216666666666667,0.26,0.2,0.1,0.25,-0.3,0.375,0.375,-0.4,0.5,0.381818181818182,0.3,0.3,0.3,-0.3875,-0.323636363636364,-0.383333333333333,0.5,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.4,0,-0.2,0,-0.333333333333333,0.357555555555556,-0.26
"AKT",0.263637978142077,0.285185912605267,0.250623700623701,0.200623700623701,0.138461538461538,0.192886916039625,0.0897435897435898,0.182057497256053,0.161852433281005,0.123076923076923,0.0771783894149182,0.08360144577161,0.0723981262695353,0.134271284271284,0.233333333333333,0.254545454545455,0.172353673723537,0.096969696969697,0.239560287050905,0.0787878787878788,0.186666666666667,0.196008658008658,0.229971556277936,0.199130434782609,0.16,0.0909677419354839,-0.357799099021052,0.388738886859091,0.388738886859091,-0.499593051887772,0.525307753226505,0.243291107799305,0.199848484848485,0.199848484848485,0.199848484848485,-0.510898669232003,-0.2083905813015,-0.38956618956619,0.499423564297514,0.449763700351936,0.395612827070628,0.343438914027149,0.396772247360483,0.284615384615385,0.343438914027149,0.2,0.284615384615385,0.2,0.418725564405803,-0.166666666666667,-0.0333333333333333,0.1,-0.11482683982684,0.00624165971974451,-0.166731569280295
"RAS",0.31982905982906,0.333809523809524,0.281428571428571,0.26,0.26,0.302222222222222,0.26,0.291927437641723,0.282222222222222,0.26,0.161857707509881,0.156709956709957,0.156709956709957,0.181554677206851,0.166666666666667,0.166666666666667,0.2,0.109090909090909,0.337162162162162,0.1,0.2,0.229301329301329,0.230277777777778,0.179166666666667,0.166666666666667,-0.0126984126984127,-0.353007518796992,0.39078529657477,0.39078529657477,-0.435327669902913,0.615577703028481,0.119731881022204,0.161290322580645,0.161290322580645,0.161290322580645,-0.468663940013633,-0.201472754050074,-0.40048275862069,0.435501207729469,0.37125,0.293939393939394,0.2,0.29375,0.1,0.2,0,0.1,0,0.295652173913043,-0.2,-0.1,0,-0.148221343873518,-0.0535257521185909,-0.380072463768116
"SOSGRB2",0.357652471360318,0.378433402346446,0.328433402346446,0.293650793650794,0.271428571428571,0.350634920634921,0.276190476190476,0.346820316838766,0.320634920634921,0.30952380952381,0.261647727272727,0.258012714857547,0.252903225806452,0.290346868321552,0.288888888888889,0.3,0.328888888888889,0.227272727272727,0.404913205888816,0.2,0.3,0.355567458734591,0.377975766215253,0.330434782608696,0.3,-0.04125,-0.359848484848485,0.395186830713146,0.395186830713146,-0.531978562847067,0.68521792285592,0.32843537414966,0.26843537414966,0.26843537414966,0.26843537414966,-0.565549591573046,-0.30919698045714,-0.405753903264549,0.532067270665931,0.467099117799689,0.391489361702128,0.3,0.391489361702128,0.2,0.3,0.1,0.2,0.1,0.394202898550725,-0.2,-0.2,0,-0.258701298701299,-0.0304196486662329,-0.372989045383412
"Destcompl",0.338191460902458,0.358985838453187,0.323224249049213,0.275256769374416,0.23015873015873,0.294796380090498,0.22,0.303850707545314,0.264796380090498,0.235384615384615,0.0694372294372294,0.0683618512385636,0.060964590964591,0.108930443677279,0.227272727272727,0.252272727272727,0.270454545454545,0.0783333333333333,0.37318462553217,0.0533333333333333,0.2,0.164806775849477,0.321797549429128,0.291534391534392,0.251851851851852,0.126009219922263,-0.36903708082796,0.397156398880965,0.397156398880965,-0.487425590741933,0.512252015005501,0.351798142494532,0.315290205986595,0.315290205986595,0.315290205986595,-0.494946547835892,-0.318004453341822,-0.4081066895976,0.487314390435572,0.443445869575901,0.396847290640394,0.348571428571429,0.397694235588972,0.286666666666667,0.348571428571429,0.2,0.286666666666667,0.2,0.418966908797417,-0.2,-0.02,0.1,-0.094789029535865,0.212050502158421,-0.321963380587508
"MEK",0.333982683982684,0.364547034683308,0.308493223024115,0.249797570850202,0.207692307692308,0.163413440142412,0.17,0.247389781405921,0.217619047619048,0.184285714285714,0.160552755319509,0.162619945442875,0.154807445442875,0.228186813186813,0.105714285714286,0.147649769585253,0.178419000354484,0.175,0.410357357282233,0.133333333333333,0.0857142857142857,0.302221491016058,0.248672566371681,0.2,0.14,0.0740584415584416,-0.364828431372549,0.404782008497179,0.404782008497179,-0.575239594979587,0.733149757599937,0.157928262807033,0.102665104912296,0.102665104912296,0.102665104912296,-0.600254073678731,-0.206234475906607,-0.412701532671345,0.575485958485958,0.518485958485958,0.457802197802198,0.388571428571429,0.457802197802198,0.3,0.388571428571429,0.2,0.3,0.2,0.470809464508095,-0.1,-0.1,0.1,-0.203571428571429,0.0853260703402025,-0.250865010901507
"AXIN2",0.368980813237106,0.382457987855313,0.340018963465069,0.305872622001654,0.28974358974359,0.320448357715438,0.255555555555556,0.354234607658019,0.295662032929114,0.277294685990338,0.070033017829628,0.065636105188344,0.0619047619047619,0.0877851193640667,0.247619047619048,0.26984126984127,0.293650793650794,0.0415584415584416,0.395306936771025,0.0142857142857143,0.233333333333333,0.135156889809064,0.323809523809524,0.286666666666667,0.253333333333333,0.125652173913043,-0.386542875881292,0.417220166717945,0.417220166717945,-0.46886338912868,0.48570202583403,0.39464343786295,0.35664343786295,0.35664343786295,0.35664343786295,-0.487425590741933,-0.373578316963273,-0.428092857045018,0.46886338912868,0.418966908797417,0.361904761904762,0.29047619047619,0.361904761904762,0.2,0.29047619047619,0.1,0.2,0.1,0.971364317841079,-0.2,0,0,-0.0674843674843675,0.372009985559036,-0.362196098920237
"CD44",0.376129032258064,0.367647058823529,0.35,0.3,0.2,0.415,0.3,0.369340016708438,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.173809523809524,0.2,0.266666666666667,0.26,0.15,0.339247311827957,0.1,0.2,0.174597701149425,0.242857142857143,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.420634920634921,0.420634920634921,-0.142274356467905,0.430493827160494,0.185641025641026,0.158974358974359,0.158974358974359,0.158974358974359,-0.279101454501743,-0.209390919158361,-0.431699604743083,0.142274356467905,0.0711632453567937,-0.00303030303030304,-0.0666666666666667,-0.00303030303030304,-0.1,0.0333333333333333,0,0,0.1,-0.0533333333333333,-0.1,-0.1,0.1,-0.15,-0.186049759930161,-0.423703703703704
"IKK",0.506894718185041,0.546852425180599,0.468421052631579,0.4,0.35,0.250549450549451,0.1,0.307574211502783,0.176190476190476,0.142857142857143,0.181940144478844,0.184495614035088,0.172916666666667,0.267555555555556,0.314285714285714,0.25974025974026,0.318563789152024,0.175555555555556,0.583291925465839,0.12,0.3,0.335511335511335,0.37974358974359,0.306666666666667,0.24,0.297142857142857,-0.360875160875161,0.424219150025602,0.424219150025602,-0.655972483814273,0.769563314645282,0.430301418439716,0.355301418439716,0.355301418439716,0.355301418439716,-0.715373232758351,-0.262591245684771,-0.426997245179063,0.655972483814273,0.577762367082755,0.495238095238095,0.4,0.495238095238095,0.3,0.4,0.2,0.3,0.2,0.497183098591549,-0.2,-0.1,0.1,-0.227555555555556,0.207567139066848,-0.276785714285714
"HEY1",0.527455342096394,0.54011938887083,0.466396761133603,0.389473684210526,0.3,0.444805194805195,0.2,0.454461595315254,0.378571428571429,0.3,0.121533613445378,0.121561771561772,0.0984848484848485,0.472878787878788,0.3,0.366666666666667,0.429457364341085,0.36,0.646339527546556,0.3,0.2,0.61537847125476,0.553162393162393,0.477777777777778,0.4,0.357978279030911,-0.306884057971014,0.426607054148038,0.426607054148038,-0.890901685878607,0.793978901273885,0.604759327043701,0.535434173669468,0.535434173669468,0.535434173669468,-0.869920596617025,-0.48982072982073,-0.431421356421356,0.890925196850394,0.798425196850394,0.7,0.6,0.7,0.5,0.6,0.4,0.5,0.4,0.7,-0.1,-0.2,0.3,-0.418333333333333,0.517311108928421,-0.411309186945859
"FOXC2",0.527455342096394,0.54011938887083,0.466396761133603,0.389473684210526,0.3,0.444805194805195,0.2,0.454461595315254,0.378571428571429,0.3,0.121533613445378,0.121561771561772,0.0984848484848485,0.472878787878788,0.3,0.366666666666667,0.429457364341085,0.36,0.646339527546556,0.3,0.2,0.61537847125476,0.553162393162393,0.477777777777778,0.4,0.357978279030911,-0.306884057971014,0.426607054148038,0.426607054148038,-0.890901685878607,0.793978901273885,0.604759327043701,0.535434173669468,0.535434173669468,0.535434173669468,-0.869920596617025,-0.48982072982073,-0.431421356421356,0.890925196850394,0.798425196850394,0.7,0.6,0.7,0.5,0.6,0.4,0.5,0.4,0.7,-0.1,-0.2,0.3,-0.418333333333333,0.517311108928421,-0.411309186945859
"Csn",0.241477408354646,0.265812580041829,0.22534435261708,0.166666666666667,0.1,0.22579185520362,0.1,0.16378424979276,0.18579185520362,0.141176470588235,0.067115975422427,0.0754789879967017,0.0625660750837888,0.13710261341093,0.13974025974026,0.168311688311688,0.191544011544012,0.0986477349560514,0.238317774099152,0.0745098039215686,0.0942857142857143,0.201829671073881,0.257360803426377,0.220874316939891,0.173333333333333,0.0661111111111111,-0.39203007518797,0.428335774180588,0.428335774180588,-0.51745455388088,0.544880662194809,0.189666085946574,0.142642276422764,0.142642276422764,0.142642276422764,-0.533939310138303,-0.172056459487073,-0.435201646823287,0.517194075547941,0.463796017295514,0.406937463615418,0.352738990332975,0.408644502143999,0.289473684210526,0.352738990332975,0.2,0.289473684210526,0.2,0.430389251903129,-0.18,-0.0333333333333333,0.1,-0.118128254436571,0.0888877693184792,-0.167882039992662
"STAT",0.212170642596175,0.205984330307176,0.187379679144385,0.160909090909091,0.140909090909091,0.200718816067653,0.2,0.141569862380137,0.189090909090909,0.18,0.0586666666666667,0.0638946399815965,0.0615136876006441,0.0572857142857143,0.02,0.03,0.0354545454545455,0.0392857142857143,0.0799407850214302,0.025,0,0.0699313943810874,0.0268322762508809,0.0128787878787879,-0.00833333333333333,-0.0139810148833939,-0.324410774410774,0.43847465034965,0.43847465034965,-0.0723385260277619,0.113639449127161,-0.0353837492281428,-0.0532581453634085,-0.0532581453634085,-0.0532581453634085,-0.203747428878036,0.0477460622316412,-0.454319925914129,0.0722386296240324,0.0490626639587964,0.0248777627707803,0.000827129859387921,0.0255024545347126,-0.0282051282051282,0.000827129859387921,-0.0666666666666667,-0.0282051282051282,-0.0666666666666667,-0.040493762003196,0,0,0,-0.0492857142857143,-0.0625484449329656,-0.164055644729802
"ERK",0.374930959844753,0.410132620268894,0.364547034683308,0.308493223024115,0.249797570850202,0.204589910730647,0.184285714285714,0.279563694449399,0.163413440142412,0.217619047619048,0.170697682855741,0.17402934141603,0.162619945442875,0.252106121544162,0.147649769585253,0.178419000354484,0.207766826441441,0.203571428571429,0.455811902736779,0.175,0.105714285714286,0.335282715505854,0.291218020917136,0.248672566371681,0.2,0.116070275877968,-0.400421651711532,0.440393519288546,0.440393519288546,-0.629766757957454,0.7903332568887,0.207059384450003,0.157928262807033,0.157928262807033,0.157928262807033,-0.649047639362377,-0.244121073844751,-0.449280114034349,0.629764033352269,0.575485958485958,0.516968864468864,0.457802197802198,0.518485958485958,0.388571428571429,0.457802197802198,0.3,0.388571428571429,0.3,0.538177885560726,-0.0857142857142857,-0.133333333333333,0.2,-0.228186813186813,0.119485362375601,-0.283975378794484
"SNAI2",0.54484392419175,0.555417052627704,0.477838577291382,0.394117647058824,0.3,0.459917355371901,0.2,0.477506978770919,0.386363636363636,0.3,0.123412698412698,0.125347985347985,0.098974358974359,0.492278773857721,0.3,0.376,0.443647058823529,0.371428571428571,0.659143459915612,0.3,0.2,0.631249884611834,0.565153538050734,0.485714285714286,0.4,0.389692602816638,-0.318571428571429,0.440973565441651,0.440973565441651,-0.894254044236221,0.996123623184775,0.622505582466205,0.549843711962608,0.549843711962608,0.549843711962608,-0.978293527658582,-0.51611976475486,-0.445467382893035,0.894263010309977,0.799086757990868,0.7,0.6,0.7,0.5,0.6,0.4,0.5,0.4,0.7,-0.1,-0.2,0.3,-0.434586466165414,0.549086536829502,-0.427642660369933
"cMet",0.396676977463544,0.393837535014006,0.367647058823529,0.35,0.3,0.418703703703704,0.325,0.395945521295594,0.415,0.385,0.21781905744754,0.21034632034632,0.197619047619048,0.197142857142857,0.266666666666667,0.26,0.269677419354839,0.15,0.38058064516129,0.15,0.2,0.212097701149425,0.266666666666667,0.242857142857143,0.242857142857143,0.00796387520525451,-0.320634920634921,0.456717394861725,0.456717394861725,-0.203313317506866,0.489927789424645,0.224966868337655,0.185641025641026,0.185641025641026,0.185641025641026,-0.3271240533718,-0.242724252491694,-0.466620239663718,0.203481253019629,0.142274356467905,0.071969696969697,-0.00303030303030304,0.0711632453567937,-0.0666666666666667,-0.00303030303030304,-0.1,0.0333333333333333,0,0.0118840579710145,-0.2,-0.1,0.1,-0.173809523809524,-0.146842711472012,-0.450626780626781
