"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","Jagged","ILK","SHH","NOTCH","AKT","TWIST1","NOTCHic","IKK","NFB","Csl","SMO","FUS","Csn","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ERK",0.366092865344655,0.393432353109126,0.363955769087088,0.320890075656431,0.267619047619048,0.20970962246015,0.268509638002723,0.187241379310345,0.174333577891905,0.227666911225238,0.171538263001678,0.177500355120237,0.165950203144554,0.165950203144554,0.244935716648265,0.210351238076548,0.210351238076548,0.432335666823927,0.185580595874714,0.185580595874714,0.156168831168831,0.156168831168831,0.208590163934426,0.184,0.110714285714286,0.123575897672985,-0.404802420117224,0.442512589823815,0.442512589823815,0.688124147751646,-0.544787964800055,0.158074692084593,0.129801864801865,0.129801864801865,0.129801864801865,-0.618660173078689,-0.214034722087363,-0.452202979333721,0.420336830702416,0.378681669207985,0.400545164035749,0.352867132867133,0.377496836898203,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.411646311331399,-0.0857142857142857,-0.14,0.2,0.0586129095214099,-0.227544412300439,-0.284800235883827
"STAT",0.219506172839506,0.212332187485483,0.194856459330144,0.165909090909091,0.140909090909091,0.207893738140417,0.149593661193914,0.2,0.191764705882353,0.18,0.0618485277908991,0.0649619634627131,0.0615136876006441,0.0615136876006441,0.0628225972422309,0.0427602905569007,0.0427602905569007,0.0807739019155156,0.0342857142857143,0.0342857142857143,0.02,0.02,0.045,0.025,0,-0.0069376026272578,-0.326728064963359,0.443639693639694,0.443639693639694,0.104995176821802,-0.0628629869659736,-0.0307617464785255,-0.044194582299421,-0.044194582299421,-0.044194582299421,-0.205893305237568,0.0427236315086783,-0.459086768911876,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0634173280695643,-0.0566279069767442,-0.172402628192102
"cMet",0.405332278481013,0.406264775413712,0.372222222222222,0.35,0.3,0.420454545454546,0.4052230602186,0.325,0.415,0.385,0.21781905744754,0.21034632034632,0.197619047619048,0.197619047619048,0.205397727272727,0.2725,0.2725,0.393514425649257,0.26,0.26,0.266666666666667,0.266666666666667,0.15,0.15,0.2,0.0109523809523809,-0.320634920634921,0.458008658008658,0.458008658008658,0.48879143565275,-0.196763716710336,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,-0.332217112076693,-0.259293394777266,-0.467637104743083,0.166176182246344,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.2,-0.1,0.1,-0.127328695606007,-0.177272727272727,-0.453333333333333
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0666666666666667,0.121794871794872,0.188888888888889,0.0888888888888889,0.293,0.133333333333333,0.0333333333333333,0,0.1,0.0333333333333333,0,0,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0666666666666667,0.121794871794872,0.188888888888889,0.0888888888888889,0.293,0.133333333333333,0.0333333333333333,0,0.1,0.0333333333333333,0,0,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"NFB",0.543406637806638,0.574588744588745,0.529191919191919,0.469191919191919,0.405555555555556,0.306438842203548,0.322731057287844,0.142857142857143,0.252190476190476,0.178857142857143,0.192229310650363,0.199542600635528,0.18578795379538,0.18578795379538,0.281035559863977,0.358820248820249,0.358820248820249,0.567973023604346,0.321042471042471,0.321042471042471,0.264285714285714,0.264285714285714,0.228148148148148,0.18,0.314285714285714,0.336627598407784,-0.41529304029304,0.474649315596684,0.474649315596684,0.698964977831352,-0.61265624380123,0.415424526100359,0.380598655453593,0.380598655453593,0.380598655453593,-0.730773861427708,-0.252348631760396,-0.479143610013175,0.465961828028842,0.409947181407856,0.439530455479823,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.2,0.159531272477971,-0.2557343550447,-0.315386920500617
"SRC",0.40859943977591,0.400551948051948,0.369642857142857,0.345833333333333,0.333333333333333,0.333142748237088,0.309226233003323,0.3,0.316161616161616,0.327272727272727,0.128981106612686,0.113934329065908,0.109429824561404,0.109429824561404,0.0953812636165577,0.168803418803419,0.168803418803419,0.258834154351396,0.157692307692308,0.157692307692308,0.15,0.15,0.0533333333333333,0.0333333333333333,0.15,0.00857142857142857,-0.354328165374677,0.481079664570231,0.481079664570231,0.207151486620042,-0.109673701541685,0.219246027231008,0.191973299958281,0.191973299958281,0.191973299958281,-0.273239538239538,-0.152380952380952,-0.493078612209047,0.0811660123422667,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.079581541646759,-0.0718518518518519,-0.405408927989573
"SMO",0.430350877192982,0.524132420091324,0.481666666666667,0.44,0.4,0.393240093240093,0.361428571428571,0.2,0.353846153846154,0.3,0.123809523809524,0.134285714285714,0.12,0.12,0.324166666666667,0.236857142857143,0.236857142857143,0.284024322830293,0.192857142857143,0.192857142857143,0.15,0.15,0.253333333333333,0.333333333333333,0.1,0.255263157894737,-0.413888888888889,0.481609195402299,0.481609195402299,0.458517788724685,-0.399283850088736,0.382479874776386,0.347596153846154,0.347596153846154,0.347596153846154,-0.445705357250274,-0.335225292506846,-0.491758241758242,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319191970819878,-0.290833333333333,-0.351428571428571
"TWIST1",0.535713121168645,0.523023994006427,0.485092959523669,0.440438871473354,0.381818181818182,0.476830663615561,0.477355637805242,0.28,0.431830663615561,0.371304347826087,0.231913919413919,0.238087695064439,0.21981526981527,0.21981526981527,0.458591118009162,0.460917613459986,0.460917613459986,0.464789052159715,0.416849816849817,0.416849816849817,0.369230769230769,0.369230769230769,0.391555555555556,0.355555555555556,0.3,0.315754268614681,-0.403917319014039,0.487072368421053,0.487072368421053,0.731186619470955,-0.658547729532138,0.452050268226609,0.42054341891154,0.42054341891154,0.42054341891154,-0.827064363816798,-0.402797009911764,-0.495194586623904,0.470445071651422,0.418854803675856,0.446553304236338,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.2,-0.3,0.266666666666667,0.396894060148204,-0.428541856925419,-0.460313229612182
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.350952380952381,0.299871794871795,0.2,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.0714285714285714,0.151206636500754,0.133333333333333,0.133333333333333,0.342152542372881,0.188888888888889,0.0888888888888889,0.0333333333333333,0.133333333333333,0.0833333333333333,0.0333333333333333,0,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.572694963214488,-0.277307558342041,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"FUS",0.47074822818636,0.56530889067956,0.524132420091324,0.481666666666667,0.44,0.430449395565675,0.390952380952381,0.3,0.393240093240093,0.353846153846154,0.140227434257285,0.145396825396825,0.134285714285714,0.134285714285714,0.349419191919192,0.271472527472527,0.271472527472527,0.320149977280555,0.236857142857143,0.236857142857143,0.192857142857143,0.192857142857143,0.290833333333333,0.253333333333333,0.15,0.274493927125506,-0.460555555555555,0.526053639846743,0.526053639846743,0.494129299516052,-0.437601607098081,0.412610879143199,0.382479874776386,0.382479874776386,0.382479874776386,-0.488483899203506,-0.359640008225909,-0.535758241758242,0.326072005450343,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.33714817519944,-0.324166666666667,-0.391634756995582
"TGF",0.534673913043478,0.55047619047619,0.593333333333333,0.526666666666667,0.46,0.474670008354219,0.442803560076287,0.333333333333333,0.423558897243108,0.376190476190476,0.231850419084462,0.22603128054741,0.211515151515151,0.211515151515151,0.265617816091954,0.341791979949875,0.341791979949875,0.465185185185185,0.315476190476191,0.315476190476191,0.258333333333333,0.258333333333333,0.203333333333333,0.153333333333333,0.233333333333333,0.181578947368421,-0.507068395626748,0.559795668354021,0.559795668354021,0.51086636890726,-0.514243894589953,0.397619047619048,0.34047619047619,0.34047619047619,0.34047619047619,-0.597978803812028,-0.375373528406796,-0.567284583232859,0.427072763383588,0.342264150943396,0.388316782522344,0.28,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.2,-0.133333333333333,0,0.180510097044069,-0.234367816091954,-0.411688311688312
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.389064112011791,0.31874265861527,0.32,0.336521739130435,0.28,0.0797864225781846,0.0933521078682369,0.0788359788359788,0.0788359788359788,0.159543721909313,0.157675438596491,0.157675438596491,0.362155844155844,0.120833333333333,0.120833333333333,0.0833333333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.0333333333333333,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.310213744588745,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.389064112011791,0.31874265861527,0.22,0.336521739130435,0.28,0.0797864225781846,0.0933521078682369,0.0788359788359788,0.0788359788359788,0.159543721909313,0.157675438596491,0.157675438596491,0.362155844155844,0.120833333333333,0.120833333333333,0.0833333333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.0333333333333333,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.310213744588745,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.408095238095238,0.331422597010832,0.22,0.350952380952381,0.286666666666667,0.182125603864734,0.0979753340184995,0.0814285714285714,0.0814285714285714,0.173787281662044,0.172868217054264,0.172868217054264,0.380517322247095,0.133333333333333,0.133333333333333,0.0888888888888889,0.188888888888889,0.121794871794872,0.0833333333333333,0.0333333333333333,0.221913875598086,-0.515648723257419,0.570966183574879,0.570966183574879,0.528976296340436,-0.529869037189696,0.344338609915821,0.303451910408432,0.303451910408432,0.303451910408432,-0.622465254179266,-0.308712517019727,-0.581865225333433,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.35217916982403,-0.151206636500754,-0.331283545659456
"TCFLEF",0.612809645641809,0.601123158713353,0.573298538139997,0.542166462668299,0.502631578947368,0.525045439966308,0.432460486300582,0.429323308270677,0.4977097998279,0.470786722904823,0.192315639121815,0.185130907089733,0.175227994468374,0.175227994468374,0.283082540672592,0.311506924015211,0.311506924015211,0.428391628744357,0.291064935064935,0.291064935064935,0.271064935064935,0.271064935064935,0.241666666666667,0.216666666666667,0.235064935064935,0.197777486123643,-0.436075268817204,0.572333303101946,0.572333303101946,0.482872180978917,-0.434510214632272,0.408368916241393,0.38480034100837,0.38480034100837,0.38480034100837,-0.602714093584325,-0.357835287455459,-0.583706168219263,0.207581401623177,0.268020296309444,0.188017131470672,0.239944586530264,0.264063643098578,0.236268115942029,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.599685268979387,-0.171428571428571,-0.183333333333333,0.133333333333333,0.320682779041331,-0.26232782369146,-0.435298303229338
"PAK1",0.43872482709009,0.459788607846625,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.346935429699607,0.28,0.389064112011791,0.336521739130435,0.0964530892448512,0.108190817545656,0.0933521078682369,0.0933521078682369,0.182543721909313,0.187305068226121,0.187305068226121,0.394580912275735,0.157675438596491,0.157675438596491,0.120833333333333,0.120833333333333,0.138556067588326,0.10952380952381,0.0833333333333333,0.225728822882288,-0.55255945875618,0.601141337161801,0.601141337161801,0.571153759850055,-0.570888002215292,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652436363695621,-0.336759199134199,-0.612938740150235,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.354234654234654
"LIV1",0.43872482709009,0.459788607846625,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.346935429699607,0.28,0.389064112011791,0.336521739130435,0.0964530892448512,0.108190817545656,0.0933521078682369,0.0933521078682369,0.182543721909313,0.187305068226121,0.187305068226121,0.394580912275735,0.157675438596491,0.157675438596491,0.120833333333333,0.120833333333333,0.138556067588326,0.10952380952381,0.0833333333333333,0.225728822882288,-0.55255945875618,0.601141337161801,0.601141337161801,0.571153759850055,-0.570888002215292,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652436363695621,-0.336759199134199,-0.612938740150235,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.354234654234654
"EGR1",0.43872482709009,0.459788607846625,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.346935429699607,0.28,0.389064112011791,0.336521739130435,0.0964530892448512,0.108190817545656,0.0933521078682369,0.0933521078682369,0.182543721909313,0.187305068226121,0.187305068226121,0.394580912275735,0.157675438596491,0.157675438596491,0.120833333333333,0.120833333333333,0.138556067588326,0.10952380952381,0.0833333333333333,0.225728822882288,-0.55255945875618,0.601141337161801,0.601141337161801,0.571153759850055,-0.570888002215292,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652436363695621,-0.336759199134199,-0.612938740150235,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.354234654234654
"ZEB1",0.464417013491766,0.494814033923051,0.459636168310403,0.417799433616525,0.364176245210728,0.365026895714038,0.345837355129455,0.216666666666667,0.322549019607843,0.276666666666667,0.179258021390374,0.179112471047187,0.166552084573757,0.166552084573757,0.271016185510115,0.284706438226714,0.284706438226714,0.470339389847988,0.251849295369572,0.251849295369572,0.220701754385965,0.220701754385965,0.223106060606061,0.195833333333333,0.173333333333333,0.293879142300195,-0.552509623779399,0.604625756324914,0.604625756324914,0.526961157370102,-0.643114352592388,0.451834544262583,0.420181000955496,0.420181000955496,0.420181000955496,-0.64653518807741,-0.38573549056942,-0.623742032655205,0.497064187812727,0.450872070264829,0.475418742171199,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.266666666666667,0.398927810504824,-0.248596256684492,-0.332183548392891
"TGFR",0.580525441427758,0.599412360688956,0.55047619047619,0.593333333333333,0.526666666666667,0.518505624792575,0.479895548206851,0.376190476190476,0.474670008354219,0.423558897243108,0.247001934235977,0.239198540333886,0.22603128054741,0.22603128054741,0.294431375413988,0.374350119484758,0.374350119484758,0.508245683405826,0.341791979949875,0.341791979949875,0.315476190476191,0.315476190476191,0.234367816091954,0.203333333333333,0.258333333333333,0.224788823911631,-0.557068395626748,0.607720196655907,0.607720196655907,0.558320072610964,-0.56528315555993,0.443233082706767,0.397619047619048,0.397619047619048,0.397619047619048,-0.651300779961942,-0.410825851145183,-0.615671680007053,0.458693666837972,0.388070602556299,0.427072763383588,0.342264150943396,0.388316782522344,0.342264150943396,0.28,0.28,0.2,0.2,0.410591093852896,-0.233333333333333,-0.153333333333333,0.1,0.208131064786004,-0.265617816091954,-0.453116883116883
"Csl",0.455965820227028,0.476146550742798,0.441294614524119,0.396071684587814,0.331555555555555,0.457008281573499,0.360364712779295,0.286666666666667,0.408095238095238,0.350952380952381,0.201044522783653,0.114086445129611,0.0979753340184995,0.0979753340184995,0.197925212696527,0.204651162790698,0.204651162790698,0.412943626101971,0.172868217054264,0.172868217054264,0.133333333333333,0.133333333333333,0.151206636500754,0.121794871794872,0.0888888888888889,0.251995176411094,-0.559934437543133,0.612632850241546,0.612632850241546,0.563950196415008,-0.56885986287777,0.378897433445233,0.344338609915821,0.344338609915821,0.344338609915821,-0.663957095671107,-0.33478026370603,-0.624097172817022,0.435280419257704,0.382427250169186,0.411438223717395,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.371009151542494,-0.173787281662044,-0.367097499147828
"SMAD",0.497692716640085,0.51596066679406,0.47836066679406,0.431991951710262,0.371428571428571,0.471651257594618,0.39632707267481,0.314285714285714,0.422612796056157,0.369124423963134,0.224600686669652,0.118864696946889,0.204578982661174,0.204578982661174,0.301602406693723,0.31081045751634,0.31081045751634,0.432809039400676,0.276143790849673,0.276143790849673,0.238888888888889,0.238888888888889,0.250833333333333,0.220833333333333,0.205555555555556,0.25790446613428,-0.575333164186459,0.627399811928114,0.627399811928114,0.575909344683299,-0.580314753423626,0.462767511275211,0.427241195485737,0.427241195485737,0.427241195485737,-0.674531514729329,-0.372763221184274,-0.637517198248906,0.448880776133312,0.394422483990829,0.424362032465632,0.35989010989011,0.395189712248536,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428696207957508,-0.15,-0.183333333333333,0.2,0.280991130003331,-0.277438837920489,-0.389795021502339
"SNAI1",0.468903855223082,0.490487695992522,0.459788607846625,0.424446142093201,0.378991596638655,0.47502665882827,0.272788212464419,0.336521739130435,0.438397445345124,0.389064112011791,0.11240400949025,0.119411532712117,0.108190817545656,0.108190817545656,0.204485469482129,0.217166179337232,0.217166179337232,0.423108203727846,0.187305068226121,0.187305068226121,0.157675438596491,0.157675438596491,0.159543721909313,0.138556067588326,0.120833333333333,0.247238256844552,-0.58943445875618,0.63554727775586,0.63554727775586,0.600932431882248,-0.603483923404369,0.408647625134787,0.380240400175838,0.380240400175838,0.380240400175838,-0.687735085323589,-0.358871410355321,-0.648590914063279,0.470909176789915,0.426375191209496,0.451177771831237,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0833333333333333,-0.10952380952381,0.28,0.400632968572885,-0.182543721909313,-0.385458282926637
"GLI",0.499008872198934,0.616723053567556,0.577572110171329,0.530402298850575,0.468333333333333,0.556203750209275,0.408787444024173,0.402857142857143,0.509242424242424,0.461190476190476,0.151626555653304,0.158369988985897,0.144856475472383,0.144856475472383,0.324973091900828,0.239155739050006,0.239155739050006,0.42794454229232,0.206343239050006,0.206343239050006,0.175730994152047,0.175730994152047,0.273339598997494,0.247023809523809,0.138888888888889,0.233301153124162,-0.586816816816817,0.636578368177367,0.636578368177367,0.591063581491758,-0.591363051192571,0.472441926015313,0.434620143837095,0.434620143837095,0.434620143837095,-0.67580372715888,-0.425251671566259,-0.647281552297032,0.473749037220735,0.41538939803787,0.447628296037233,0.478368121442125,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.0833333333333333,-0.20952380952381,0.2,0.347422393620632,-0.299870211242392,-0.408420480326192
