"","FOXC2","TGF","TGFR","CDC42","PAK1","HEY1","MEK","SMAD","ERK","EGR1","SNAI1","cfos","SHH","SMO","FUS","Jagged","TWIST1","NOTCH","NOTCHic","GSK3","Csl","KLF4","SOSGRB2","cateninmemb","SNAI2","ZEB2","ZEB1","Ecadherin","miR200","TrCP","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","RAS","STAT","RAF","PI3K","DELTA","AKT","IKK","AXIN2","Destcompl","SUFU","NFB","LIV1","Csn","Patched","RKIP"
"Destcompl",0.0566396631805245,0.0254348846323109,0.028814606302291,0.0272273047149894,0.0210204081632653,0.00964317733548503,0.0516501496410809,0.0137652248521814,0.0529267453857618,0.0625641025641026,0.0945986876532556,0.0534731934731935,-0.11982880823179,-0.111877394636015,-0.111877394636015,-0.185626117497308,-0.0402524294626079,-0.0598883508650808,-0.0560654132393263,-0.087910652826273,-0.0549784567175871,-0.203143681154238,-0.0615627546709182,0.215010534218377,-0.233715543245176,0.191991067881265,0.191991067881265,0.0517165674807939,-0.203691470076104,-0.05,-0.18665054067899,-0.185758339602481,-0.186062756370275,-0.183346465762036,-0.185102536891537,-0.180376168732333,-0.182863730921388,-0.180376168732333,-0.181746031746032,0.0014102985036448,-0.181746031746032,0.0026882537752103,0.0026882537752103,0.0026882537752103,0.00525235633931286,0.00752508361204014,-0.238655152327198,-0.0198243744738535,0.122222222222222,0.00897435897435898,-0.188888888888889,0.0166666666666667,0.116540607071248,-0.121421291448517
"AXIN2",0.11054205357484,0.0645303823231698,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.0187481889307447,0.111846180853043,0.0181159420289855,0.117363422232353,0.153333333333333,0.154544805680423,0.131382113821138,-0.153439770611902,-0.152930402930403,-0.157692307692308,-0.220035634166069,-0.0371003073060301,-0.0536633814265393,-0.052312030075188,-0.169669184731568,-0.0505263157894737,-0.252988588338008,-0.0772774023545412,0.249359406027404,-0.2770272187641,0.24517321262993,0.24517321262993,0.0626933072129053,-0.259359188630795,-0.133333333333333,-0.239910020349699,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.237674418604651,-0.235950280673617,-0.237674418604651,-0.24,0.066576488226464,-0.24,0.069622845842358,0.069622845842358,0.069622845842358,0.0734555984555985,0.0797619047619048,0.182032686545068,0.159758949269859,0.15,0.094047619047619,-0.233333333333333,0.119047619047619,0.151144688644689,-0.178636641136641
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.0656410256410257,0.119607843137255,0.0566487775790101,0.0666666666666667,0.1,0.105844155844156,0.0666666666666667,0.10974025974026,0.05,0,0.153259803921569,0.222941176470588,0.192857142857143,0.142857142857143,-0.075,0.1,-0.262745098039216,0.0939393939393939,-0.334703389830508,0.340258620689655,0.304208512673362,0.304208512673362,-0.402475553557379,-0.306262626262626,-0.1,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.3,0.25,0.2,0.2,0.152130325814536,0.1,0.118796992481203,0.118796992481203,0.118796992481203,0.0714285714285714,0,0.31030303030303,-0.023061856321476,0,0,0,0.1,-0.0954545454545455,-0.12
"Frizzled",0.214451513398882,0.241052483467004,0.203188405797101,0.146666666666667,0.1,0.0635133660665576,0.164052287581699,0.0631908336537765,0.119607843137255,0.0666666666666667,0.119665294055538,0.0666666666666667,0.119417679095098,0.0954545454545455,0.05,0.16437091503268,0.245713453698311,0.222268907563025,0.192857142857143,-0.0944805194805195,0.142857142857143,-0.300840336134454,0.127272727272727,-0.366766881894001,0.368334330468835,0.339562048026897,0.339562048026897,-0.437838551215459,-0.342770562770563,-0.1,0.348896171796137,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.174710970975827,0.2,0.152130325814536,0.152130325814536,0.152130325814536,0.118796992481203,0.0714285714285714,0.340535588442565,-0.00747045847201359,0,0,0.1,0,-0.10974025974026,-0.142222222222222
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.111306340718105,0.364959479574398,0.105159420289855,0.328877005347594,0.2,0.33671420000923,0.281818181818182,0.324798387096774,0.266666666666667,0.233333333333333,0.354196538094589,0.412614379084967,0.376317269274404,0.342296650717703,-0.347869577784056,0.305454545454545,-0.266666666666667,0.28138936535163,-0.592777865765671,0.4649781869926,0.354514963880289,0.354514963880289,-0.673504886266412,-0.362568172568173,-0.1,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.296078431372549,0.326310989512084,0.296078431372549,0.266666666666667,0.400897435897436,0.266666666666667,0.375897435897436,0.375897435897436,0.375897435897436,0.345128205128205,0.306666666666667,0.40259545543053,0.341987979717644,-0.2,0.26,0.233333333333333,0.2,-0.297916666666667,-0.328674500103071
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.111306340718105,0.364959479574398,0.105159420289855,0.328877005347594,0.2,0.33671420000923,0.281818181818182,0.324798387096774,0.266666666666667,0.233333333333333,0.354196538094589,0.412614379084967,0.376317269274404,0.342296650717703,-0.347869577784056,0.305454545454545,-0.266666666666667,0.28138936535163,-0.592777865765671,0.4649781869926,0.354514963880289,0.354514963880289,-0.673504886266412,-0.362568172568173,-0.1,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.296078431372549,0.326310989512084,0.296078431372549,0.266666666666667,0.400897435897436,0.266666666666667,0.375897435897436,0.375897435897436,0.375897435897436,0.345128205128205,0.306666666666667,0.40259545543053,0.341987979717644,-0.2,0.26,0.233333333333333,0.2,-0.297916666666667,-0.328674500103071
"DSH",0.232308656256025,0.259623912038433,0.241052483467004,0.203188405797101,0.146666666666667,0.072285295891119,0.192734458124335,0.0766007953396002,0.164052287581699,0.0666666666666667,0.135234156330987,0.119607843137255,0.13107412081289,0.10974025974026,0.0954545454545455,0.179099597203222,0.263104758046137,0.239999404016926,0.222268907563025,-0.113215312667867,0.192857142857143,-0.333513603461186,0.156541019955654,-0.394577532781574,0.392367155791227,0.364863252846174,0.364863252846174,-0.465498125683544,-0.369873366508881,0,0.36627968434094,0.328532114600226,0.348896171796137,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.196676288894902,0.25,0.174710970975827,0.174710970975827,0.174710970975827,0.152130325814536,0.118796992481203,0.364586221353958,0.0059275997804136,-0.05,0.0714285714285714,0.2,0,-0.119417679095098,-0.160793650793651
"RAF",0.286456908344733,0.31400269541779,0.259285714285714,0.214285714285714,0.2,0.15970695970696,0.221536643026005,0.155920708364317,0.181111111111111,0.17,0.215404907195525,0.17,0.209423728813559,0.14,0.1,0.258400167084378,0.367182130584192,0.207814407814408,0.153968253968254,-0.147415690239695,0.111111111111111,-0.326666666666667,0.0587301587301587,-0.472985583224115,0.622187902187902,0.366872852233677,0.366872852233677,-0.540672849403994,-0.375443510737628,0,0.374876387425071,0.319019607843137,0.349355554091737,0.27,0.317440660474716,0.2,0.268421052631579,0.2,0.1,0.0901501168943029,0.1,0.0438538205980066,0.0438538205980066,0.0438538205980066,-0.0142857142857143,-0.0857142857142857,0.336752136752137,0.0388284703801945,-0.1,-0.1,0,0,-0.184,-0.222358974358974
"SHH",0.35,0.44,0.4,0.3,0.2,0.0666666666666667,0.3,0.1,0.2,0,0.283333333333333,0.1,0.253333333333333,0.3,0.2,0.162857142857143,0.2,0.233333333333333,0.2,-0.271794871794872,0.1,-0.3,0.25,-0.299068100358423,0.36727969348659,0.375,0.375,-0.341666666666667,-0.383333333333333,0,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.2,0.1,0.1,0.2,0.303846153846154,0.1,0.25,0.25,0.25,0.2,0.1,0.276190476190476,0.272987012987013,-0.2,0,0,0,-0.333333333333333,-0.26
"PI3K",0.255825452132072,0.274437044239183,0.233941176470588,0.177941176470588,0.125,0.0747923182995325,0.192441566790651,0.0798917967186875,0.148179271708683,0.0666666666666667,0.174012191940037,0.0952380952380952,0.132051282051282,0.1,0.05,0.183245614035088,0.277705255523973,0.236104218362283,0.203846153846154,-0.186366082128794,0.15,-0.336842105263158,0.163461538461538,-0.396875422177051,0.395363646725939,0.376139475501029,0.376139475501029,-0.472239587377295,-0.376557853404923,-0.2,0.381431585690981,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.255555555555556,0.303381642512077,0.255555555555556,0.2,0.21778638028638,0.2,0.18771645021645,0.18771645021645,0.18771645021645,0.25021645021645,0.204761904761905,0.358952380952381,-0.0184989104418962,0,0.133333333333333,0.1,0.1,-0.115384615384615,-0.166283716283716
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.116169379144063,0.393614202437732,0.112087517128288,0.349019607843137,0.2,0.37146790711633,0.288235294117647,0.365447812927988,0.301176470588235,0.26,0.401762028014479,0.448322008191805,0.41441672362725,0.376754385964912,-0.386354445300812,0.332894736842105,-0.286538461538462,0.323799864773496,-0.63753975365315,0.710777486540221,0.378588839941263,0.378588839941263,-0.808795441395151,-0.386587993124707,-0.1,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.341168831168831,0.373563197366014,0.341168831168831,0.305454545454545,0.442051352058506,0.305454545454545,0.412827607766268,0.412827607766268,0.412827607766268,0.376683029453015,0.331521739130435,0.447100565604419,0.385743987724154,-0.2,0.275,0.26,0.2,-0.335870348139256,-0.355166666666667
"cateninnuc",0.395101292646747,0.37861260578502,0.358173045345459,0.331736263736264,0.299428571428571,0.124481847142868,0.375402090942628,0.111715903923271,0.353842457915105,0.297101449275362,0.337711483753787,0.327260179434092,0.217547714104253,0.18792349726776,0.163333333333333,0.248185478563194,0.324731582689071,0.375258358118035,0.356621994481671,-0.337318795306572,0.332203389830509,-0.301618152507832,0.260300632619561,-0.410140467636894,0.463909871183732,0.382876860600246,0.382876860600246,-0.493471835272016,-0.390176274924673,-0.233333333333333,0.182446545686467,0.255050909979439,0.269251524939579,0.238054862548609,0.254090957351827,0.217402688635565,0.237027465288335,0.216375291375291,0.191375291375291,0.388374823498739,0.191375291375291,0.372513924431733,0.372513924431733,0.372513924431733,0.354249084249084,0.332820512820513,0.395647049521164,0.32034970509232,-0.133333333333333,0.306666666666667,0.160606060606061,0.273333333333333,-0.204693683603163,-0.350103096546482
"RAS",0.341590505560228,0.364848484848485,0.313333333333333,0.28,0.26,0.161857707509881,0.312846401718582,0.15879329004329,0.286315789473684,0.26,0.304274322169059,0.26,0.192870056497175,0.116666666666667,0.1,0.258624088310664,0.372470768640981,0.276315789473684,0.226315789473684,-0.214893267651888,0.2,-0.354761904761905,0.0125541125541125,-0.40004292736966,0.575784186141397,0.396428571428571,0.396428571428571,-0.470415421068495,-0.405466284074605,-0.2,0.409172517127228,0.338970588235294,0.379257987212698,0.276470588235294,0.338172715894869,0.2,0.276470588235294,0.2,0.1,0.152326551336452,0.1,0.201831501831502,0.201831501831502,0.201831501831502,0.142857142857143,0.1,0.349934123847167,-0.0284237017246726,-0.1,0.1,0,0.2,-0.160666666666667,-0.389622641509434
"SOSGRB2",0.363656014478592,0.38738464867204,0.337744360902256,0.297744360902256,0.271428571428571,0.262151759530792,0.354458874458874,0.259047619047619,0.318095238095238,0.276190476190476,0.350574940982584,0.30952380952381,0.299420849420849,0.233333333333333,0.2,0.357274902885683,0.397253731343284,0.391569782330346,0.345090909090909,-0.296663790624101,0.309090909090909,-0.358416149068323,-0.0292857142857143,-0.4929334482327,0.643960601339325,0.39665144318597,0.39665144318597,-0.561742249882307,-0.407044692063443,-0.1,0.398591796402847,0.330882352941176,0.369157098547097,0.275,0.329795396419437,0.2,0.273913043478261,0.2,0.1,0.326268051080081,0.1,0.276608187134503,0.276608187134503,0.276608187134503,0.222222222222222,0.166666666666667,0.34525,-0.02261223803974,-0.2,0.166666666666667,0,0.2,-0.268468468468469,-0.377672893481717
"AKT",0.279377575684196,0.299128402263875,0.274437044239183,0.233941176470588,0.177941176470588,0.0875742731867506,0.222311696660781,0.0925197830668103,0.192441566790651,0.0952380952380952,0.195976016229442,0.148179271708683,0.14889338731444,0.115384615384615,0.1,0.202450912048333,0.301069741505282,0.25956100848574,0.236104218362283,-0.208399980433879,0.203846153846154,-0.370755148741419,0.196794871794872,-0.428707561378689,0.423776184643027,0.405756200239705,0.405756200239705,-0.50485990823291,-0.406803085012552,-0.1,0.400998484376209,0.357752076547316,0.381431585690981,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.244337248772733,0.255555555555556,0.21778638028638,0.21778638028638,0.21778638028638,0.18771645021645,0.25021645021645,0.388916279869348,-0.00270059111416511,-0.05,0.204761904761905,0.2,0.133333333333333,-0.132051282051282,-0.190334349195109
"MEK",0.329997578201193,0.358618080033174,0.31400269541779,0.259285714285714,0.214285714285714,0.162510698024717,0.170254591743953,0.163966685375812,0.221536643026005,0.17,0.240404907195525,0.181111111111111,0.227544534182687,0.184,0.14,0.278065439050905,0.401040398300728,0.246160272476062,0.207814407814408,-0.175029631258462,0.153968253968254,-0.364040404040404,0.0912882982650425,-0.509814547019371,0.656267504177952,0.406368650553005,0.406368650553005,-0.582003683518333,-0.414659197012138,0,0.397512490576933,0.350934501460159,0.374876387425071,0.319019607843137,0.349355554091737,0.27,0.317440660474716,0.268421052631579,0.2,0.12481678356097,0.2,0.0901501168943029,0.0901501168943029,0.0901501168943029,0.0438538205980066,-0.0142857142857143,0.378304648167662,0.0591324877526158,-0.1,-0.0857142857142857,0.1,-0.1,-0.209423728813559,-0.254733075078399
"CD44",0.376129032258064,0.37,0.35,0.3,0.2,0.204093567251462,0.415,0.197619047619048,0.385,0.3,0.367171717171717,0.325,0.177272727272727,0.15,0.1,0.188531468531469,0.347785547785548,0.24812030075188,0.242857142857143,-0.201550387596899,0.2,-0.277777777777778,-0.00238095238095239,-0.144450549450549,0.439156399156399,0.419241192411924,0.419241192411924,-0.282825136612022,-0.430756843800322,-0.1,0.131860465116279,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,-0.1,0.05,0,0,0.196117216117216,0.1,0.158974358974359,0.158974358974359,0.158974358974359,0.166666666666667,0.2,-0.02,-0.153733208372384,-0.1,0.1,0.1,0.1,-0.15,-0.42
"IKK",0.497414965986395,0.528869338546758,0.469191919191919,0.405555555555556,0.35,0.181940144478844,0.252190476190476,0.18578795379538,0.178857142857143,0.1,0.294088297925024,0.142857142857143,0.2557343550447,0.18,0.12,0.287413308341143,0.532150216018611,0.362914862914863,0.307359307359307,-0.226889624274514,0.245454545454545,-0.363369963369963,0.301890756302521,-0.569256032607988,0.660347091652491,0.424994303941672,0.424994303941672,-0.682772518658195,-0.428530502190765,-0.2,0.439382374731212,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.277777777777778,0.331623931623932,0.277777777777778,0.2,0.381159420289855,0.2,0.333333333333333,0.333333333333333,0.333333333333333,0.278947368421053,0.2,0.403095238095238,0.140584744513622,-0.1,0.233333333333333,0.1,0.2,-0.228148148148148,-0.276666666666667
"ERK",0.359088487292102,0.388285229092509,0.358618080033174,0.31400269541779,0.259285714285714,0.173148995897057,0.20719152868089,0.176208338793936,0.170254591743953,0.181111111111111,0.262708828764152,0.221536643026005,0.243962444630448,0.209423728813559,0.184,0.296515051454006,0.426222348810189,0.274114162965976,0.246160272476062,-0.198212342456891,0.207814407814408,-0.400105977810896,0.12266084728465,-0.541886448627697,0.684892039493937,0.438594564174267,0.438594564174267,-0.615978042492692,-0.448597020846335,0.1,0.417154708823803,0.376062706588364,0.397512490576933,0.350934501460159,0.374876387425071,0.319019607843137,0.349355554091737,0.317440660474716,0.27,0.152891029500645,0.268421052631579,0.12481678356097,0.12481678356097,0.12481678356097,0.0901501168943029,0.0438538205980066,0.409647931749751,0.0752262377526158,-0.14,-0.0142857142857143,0.2,-0.0857142857142857,-0.227544534182687,-0.281846777702306
"Csn",0.255605928926239,0.281424403765331,0.254016996357923,0.206648575305292,0.145454545454545,0.0753737541528239,0.2462205910032,0.0826478211962635,0.209264069264069,0.106666666666667,0.166199675853635,0.161212121212121,0.139396839132429,0.108513708513709,0.0873015873015873,0.186845221450699,0.296350898568383,0.26416263475087,0.238672438672439,-0.157093808093808,0.201010101010101,-0.400915996754923,0.171982013144241,-0.442584353722516,0.438614956449977,0.43868526729165,0.43868526729165,-0.517349169138484,-0.446503172766851,-0.1,0.420048409805645,0.37427547866515,0.399005353407828,0.348511286525412,0.374733508747634,0.318390804597701,0.348511286525412,0.318390804597701,0.266666666666667,0.240417178404178,0.266666666666667,0.212130325814536,0.212130325814536,0.212130325814536,0.180701754385965,0.133333333333333,0.407069759206799,0.0525264449203145,-0.0428571428571429,0.0777777777777778,0.2,0,-0.124642740771773,-0.181397815382587
"STAT",0.219808429118774,0.212638820638821,0.195638820638821,0.165909090909091,0.140909090909091,0.0586666666666667,0.208618638466623,0.06504309936535,0.191764705882353,0.2,0.148484743796729,0.18,0.0628225972422309,0.045,0.025,0.0675142417782127,0.0806869055760404,0.0332740428255862,0.0204027556968733,0.0414568980745451,-0.00392156862745098,-0.327441077441077,-0.0069376026272578,-0.0629698232139863,0.105128690753691,0.44364233327648,0.44364233327648,-0.205877625155474,-0.459293812500763,0,0.0325667388167388,0.0111440030557678,0.022470584970585,-0.00146103896103896,0.0113594738594739,-0.0196428571428571,-0.00146103896103896,-0.0196428571428571,-0.0571428571428571,-0.0305128205128205,-0.0571428571428571,-0.0435897435897436,-0.0435897435897436,-0.0435897435897436,-0.0569230769230769,-0.0769230769230769,-0.0431294196000078,-0.0620427931512287,0,-0.1,0,-0.1,-0.0566279069767442,-0.171582181259601
