"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","ERK","SNAI1","cfos","EGR1","HEY1","SMAD","ILK","AKT","SHH","TWIST1","IKK","NFB","SMO","SOSGRB2","FUS","Jagged","Csn","NOTCH","LIV1","NOTCHic","Csl","STAT","SRC","cMet","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","DSH","AXIN2","TrCP","SUFU","Destcompl","Patched","RKIP"
"FOXC2",0.38894994510542,0.372677014042868,0.340969696969697,0.307636363636364,0.263636363636364,0.280883179888638,0.253048128342246,0.33184024213838,0.223636363636364,0.16,0.107669977081742,0.0997101449275362,0.0866666666666667,0.313439153439153,0.322647849462366,0.411633986928105,0.283809523809524,0.26,0.266666666666667,-0.0344625500285878,0.233333333333333,0.352984416882468,0.2,0.361667242144725,-0.233333333333333,0.33177033492823,0.305454545454545,-0.266666666666667,-0.296078431372549,-0.326310989512084,-0.314814814814815,0.353199174406605,0.353199174406605,0.46348196187249,-0.59312629782142,0.357187028657617,0.335128205128205,0.335128205128205,0.335128205128205,-0.673967958201083,-0.344826715942057,-0.361509971509972,0.395896115523654,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.296078431372549,0.266666666666667,0.40259545543053,-0.1,-0.2,0.342234893297891,-0.297916666666667,-0.319037311894455
"DSH",0.231314495378143,0.258798161894662,0.240331262939959,0.203188405797101,0.146666666666667,0.163677166773142,0.144880174291939,0.134306418219462,0.107843137254902,0.0666666666666667,0.072285295891119,0.0756436638424557,0.0631908336537765,0.172011494252874,0.13107412081289,0.262576434829251,0.161666666666667,0.136666666666667,0.10974025974026,-0.0186991869918699,0.0954545454545455,0.179099597203222,0.0866666666666667,0.23695422224834,-0.2,0.222268907563025,0.192857142857143,-0.25,-0.286842105263158,-0.308270676691729,-0.341524570993446,0.364058828413597,0.364058828413597,0.391966460853003,-0.394446504979984,0.175706757102871,0.158059698279342,0.158059698279342,0.158059698279342,-0.465329527210299,-0.10989973743354,-0.369029394555309,0.366164681043837,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.00458801214003092,-0.119417679095098,-0.158911088911089
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.219156272927366,0.187241379310345,0.22073762506942,0.17,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.156168831168831,0.208590163934426,0.374004753416518,0.110714285714286,0.0857142857142857,0.14,-0.031047619047619,0.1,0.258543536260005,0.1,0.21041181041181,0,0.156565656565657,0.111111111111111,-0.1,-0.2,-0.268421052631579,-0.332663797226208,0.372663797226208,0.372663797226208,0.624385964912281,-0.474936280818634,0.0877261627261627,0.050974025974026,0.050974025974026,0.050974025974026,-0.543314330360812,-0.164381402679275,-0.380952950808151,0.377496836898203,0.32,0.351288185498712,0.27,0.318421052631579,0.2,0.1,0.337271448663854,-0.1,-0.1,0.0227081076332972,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.26,0.2,0.283333333333333,0.1,0,0.0666666666666667,0.1,0.0666666666666667,0.15,0.253333333333333,0.2,0.1,0,0.3,0.15,0.2,0.162857142857143,0,0.233333333333333,0,0.2,0.1,-0.1,-0.1,-0.1,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.273076923076923,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.2,0.2,0.276190476190476,0,-0.2,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.174119483859117,0.136414565826331,0.173280998389694,0.0952380952380952,0.0666666666666667,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.276018099547511,0.132051282051282,0.276816119652898,0.252941176470588,0.2,0.1,0.00769230769230769,0.05,0.183245614035088,0.166666666666667,0.236104218362283,-0.1,0.203846153846154,0.15,-0.2,-0.255555555555556,-0.303381642512077,-0.341008771929825,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.202873984463026,0.17821645021645,0.17821645021645,0.17821645021645,-0.472077970556085,-0.18481240981241,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.255555555555556,0.2,0.358952380952381,-0.2,0,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.174119483859117,0.136414565826331,0.173280998389694,0.0952380952380952,0.0666666666666667,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.276018099547511,0.132051282051282,0.276816119652898,0.252941176470588,0.2,0.1,0.00769230769230769,0.05,0.183245614035088,0.166666666666667,0.236104218362283,-0.1,0.203846153846154,0.15,-0.2,-0.255555555555556,-0.303381642512077,-0.341008771929825,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.202873984463026,0.17821645021645,0.17821645021645,0.17821645021645,-0.472077970556085,-0.18481240981241,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.255555555555556,0.2,0.358952380952381,-0.2,0,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"cateninnuc",0.389736405670832,0.374342760286443,0.354910445875963,0.330197802197802,0.299428571428571,0.294268305124995,0.278213259253435,0.32915268680948,0.256694271911663,0.229710144927536,0.116569682625614,0.104001370162352,0.0962251082251082,0.316791666666667,0.213397565884673,0.32131007440368,0.301166666666667,0.279166666666667,0.184644808743169,0.0152396761282945,0.163333333333333,0.246059580275189,0.245833333333333,0.358371661696455,-0.160606060606061,0.340644388969182,0.317388575015694,-0.191375291375291,-0.216375291375291,-0.237027465288335,-0.351618152507832,0.376869650347978,0.376869650347978,0.460877108694403,-0.409890846855156,0.34036936036936,0.326732996732997,0.326732996732997,0.326732996732997,-0.492033902375925,-0.333612704543651,-0.384398268115035,0.181970442917665,0.255446166896435,0.269349619940587,0.238054862548609,0.254487782748652,0.217402688635565,0.191375291375291,0.395896115523654,-0.233333333333333,-0.133333333333333,0.321139413815441,-0.201414995078573,-0.332582842302445
"SNAI2",0.424698860712761,0.410897513966568,0.375493787258493,0.333613445378151,0.276470588235294,0.304981452040275,0.272549019607843,0.367778355368107,0.231372549019608,0.166666666666667,0.113637733574442,0.107356740121751,0.0906103286384976,0.345461154964686,0.364039362223763,0.447700890179382,0.312931034482759,0.275,0.301176470588235,-0.0681203515889114,0.26,0.400983817897747,0.2,0.402204374572796,-0.26,0.369736842105263,0.332894736842105,-0.305454545454545,-0.341168831168831,-0.373563197366014,-0.334423076923077,0.37770778267254,0.37770778267254,0.709653151557618,-0.637756673392847,0.399961696195915,0.37530416194934,0.37530416194934,0.37530416194934,-0.809253107299041,-0.384060163488825,-0.385881279343788,0.449695410607581,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.341168831168831,0.305454545454545,0.447100565604419,-0.1,-0.2,0.385896426748544,-0.335870348139256,-0.347320512820513
"RAS",0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.311805985552116,0.286315789473684,0.306489675516224,0.26,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.212222222222222,0.192870056497175,0.375242771412984,0.173333333333333,0.166666666666667,0.116666666666667,-0.041991341991342,0.1,0.258624088310664,0.2,0.277259185700099,0,0.226315789473684,0.2,-0.1,-0.2,-0.276470588235294,-0.356428571428571,0.398696612665685,0.398696612665685,0.57634173186284,-0.400410502033264,0.149871794871795,0.205641025641026,0.205641025641026,0.205641025641026,-0.47119473173547,-0.216989664082687,-0.407661538461538,0.410022792164208,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.2,0.1,0.349934123847167,-0.2,-0.1,-0.0340659026705538,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.370573870573871,0.39267243394903,0.343736263736264,0.301428571428571,0.271428571428571,0.353340353340353,0.323037323037323,0.356393745557925,0.30952380952381,0.276190476190476,0.261647727272727,0.259196932100158,0.252903225806452,0.338011695906433,0.298701026608003,0.403942028985507,0.304678362573099,0.288888888888889,0.233333333333333,-0.0911111111111111,0.2,0.357215265481102,0.3,0.394031320791884,0,0.347552447552448,0.309090909090909,-0.1,-0.2,-0.273913043478261,-0.362017543859649,0.400588972431078,0.400588972431078,0.645446544203578,-0.494195273195273,0.328183398522382,0.285875706214689,0.285875706214689,0.285875706214689,-0.563557925110508,-0.31585308255715,-0.410651126415904,0.400453903067587,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.2,0.1,0.345606435643564,-0.2,-0.2,-0.0356106235300866,-0.268468468468469,-0.381834795321637
"AKT",0.278358212604682,0.298249873938228,0.273778574844572,0.233941176470588,0.177941176470588,0.194372648416079,0.174119483859117,0.19508550966789,0.136414565826331,0.0952380952380952,0.0875742731867506,0.0916763085031993,0.0798917967186875,0.191169614699026,0.14889338731444,0.300363520264519,0.276018099547511,0.252941176470588,0.115384615384615,0.0188034188034188,0.1,0.202450912048333,0.2,0.256835925679356,-0.2,0.236104218362283,0.203846153846154,-0.255555555555556,-0.303381642512077,-0.332612411742847,-0.377760908681961,0.404960518367885,0.404960518367885,0.423403847730964,-0.428577766723433,0.224801695306399,0.202873984463026,0.202873984463026,0.202873984463026,-0.504653728131843,-0.20497370013499,-0.40598605092337,0.400873571167032,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,-0.00412094672695625,-0.132051282051282,-0.18846294370591
"MEK",0.33744792537896,0.363955769087088,0.320890075656431,0.267619047619048,0.22,0.155822939594033,0.219156272927366,0.246378650710445,0.187241379310345,0.17,0.163218245169465,0.165950203144554,0.156725110893631,0.185580595874714,0.227544412300439,0.406605486017251,0.156168831168831,0.110714285714286,0.184,-0.0288253968253968,0.14,0.279035339538693,0.0857142857142857,0.247638087784073,-0.1,0.21041181041181,0.156565656565657,-0.2,-0.268421052631579,-0.318421052631579,-0.373840267814443,0.410759035321446,0.410759035321446,0.659179152260213,-0.51249725642839,0.11534521034521,0.0877261627261627,0.0877261627261627,0.0877261627261627,-0.584662235643144,-0.192145530443403,-0.419033446164188,0.400545164035749,0.352867132867133,0.377496836898203,0.32,0.351288185498712,0.27,0.2,0.379613791006196,-0.1,-0.1,0.0427917896416654,-0.208590163934426,-0.257629367536488
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.226412698412698,0.170857142857143,0.293560927339553,0.142857142857143,0.1,0.181940144478844,0.18578795379538,0.172916666666667,0.321042471042471,0.2557343550447,0.532941176470588,0.264285714285714,0.314285714285714,0.18,0.132142857142857,0.12,0.287413308341143,0.3,0.362914862914863,-0.1,0.307359307359307,0.245454545454545,-0.2,-0.277777777777778,-0.331623931623932,-0.368498168498168,0.425418546365915,0.425418546365915,0.660347091652491,-0.569256032607988,0.362434498095652,0.327223230490018,0.327223230490018,0.327223230490018,-0.682863893582049,-0.224505494505495,-0.428840579710145,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.277777777777778,0.2,0.403095238095238,-0.2,-0.1,0.139265491747074,-0.228148148148148,-0.277322404371585
"Csn",0.253628756931699,0.279771395206155,0.252802421459138,0.206648575305292,0.145454545454545,0.217380952380952,0.192380952380952,0.164202297122742,0.152121212121212,0.106666666666667,0.0753737541528239,0.0818475998871662,0.0687370600414079,0.202566666666667,0.139396839132429,0.294960261804582,0.184166666666667,0.155,0.108513708513709,-0.0243998616395711,0.0873015873015873,0.186845221450699,0.105,0.261749361749362,-0.2,0.238672438672439,0.201010101010101,-0.266666666666667,-0.318390804597701,-0.348511286525412,-0.406976944624004,0.437214226633582,0.437214226633582,0.438175063105962,-0.442370015831975,0.217973066479428,0.195900129819159,0.195900129819159,0.195900129819159,-0.516861999130285,-0.148908887015118,-0.445018334053115,0.419835433947705,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.318390804597701,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.0504276184258625,-0.124642740771773,-0.179131705132546
