"","FOXC2","SNAI1","HEY1","TWIST1","EGR1","ILK","SHH","SMAD","AKT","SMO","MEK","NFB","IKK","Csn","Jagged","ERK","cfos","FUS","NOTCH","NOTCHic","Csl","KLF4","cateninmemb","SNAI2","ZEB2","ZEB1","Ecadherin","miR200","PAK1","RAS","GSK3","RAF","PI3K","DELTA","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","SUFU","AXIN2","TrCP","LIV1","Patched","Destcompl","RKIP","SOSGRB2"
"Destcompl",0.0542518276281163,0.0926278270988482,0.000892584448109462,-0.0415046353624701,0.0414141414141414,0.00700250368188513,-0.122021714880643,0.00625062398263701,0.0389119132293504,-0.116571428571429,0.0360256702361965,0.0411507191994997,0.0411507191994997,0.0435897435897436,-0.187526758511898,0.0352737905369484,0.03264221158958,-0.121333333333333,-0.0627423481580943,-0.0603969323798427,-0.0609749670619236,-0.19908331296996,0.216487860865287,-0.234944692047021,0.18838619073831,0.18838619073831,0.0538330606728248,-0.199899566914653,0,5.30516798459404e-05,-0.0878250912760931,0.00121007647323437,0.00121007647323437,0.00121007647323437,-0.18769673698218,-0.186139761851422,-0.186868579632283,-0.183346465762036,-0.18548545376783,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,0.133333333333333,-0.238894302737101,-0.0666666666666667,-0.188888888888889,0.118924369747899,-0.020105050735681,-0.117300627776,-0.156336996336996
"AXIN2",0.106805041853222,0.150705885540863,0.00860055990328943,-0.0391349712204331,0.145714285714286,0.0130553656869446,-0.159963963963964,0.0105801181621922,0.0930364114413194,-0.163963963963964,0.0973176797600761,0.104040404040404,0.0961038961038961,0.122222222222222,-0.223317917861381,0.101807475678443,0.117936507936508,-0.166666666666667,-0.0583623672363782,-0.0572870984191739,-0.0535135135135135,-0.250058479532164,0.250189294735862,-0.277757584645552,0.241431743594965,0.241431743594965,0.0646380467147197,-0.255659283147625,0,0.0641149073040189,-0.169524082580212,0.0661781810316668,0.0661781810316668,0.0661781810316668,-0.240505099428438,-0.237208142308837,-0.238894302737101,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.15,0.182032686545068,-0.133333333333333,-0.233333333333333,0.159963963963964,0.159718208582233,-0.173074340970682,-0.228082218959565
"Wnt",0.167619047619048,0.0946912736386421,0.0333333333333333,0.217368421052632,0.1,0.025,0.0933333333333333,0.0191176470588235,0.10952380952381,0.0333333333333333,0.046031746031746,0.0666666666666667,0.0666666666666667,0.1,0.143413978494624,-0.0111111111111111,0,0,0.178787878787879,0.133333333333333,0.1,-0.258333333333333,-0.333534482758621,0.339078947368421,0.295175438596491,0.295175438596491,-0.398363471971067,-0.297488820089439,0,0.145994832041344,-0.0701298701298701,0.111111111111111,0.111111111111111,0.111111111111111,0.327733763940051,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0,0.31030303030303,-0.1,0,-0.0733333333333333,-0.0233176107971793,-0.105714285714286,0.1
"Frizzled",0.204204413472706,0.10872636135794,0.0280701754385965,0.23969851814001,0,0.0191176470588235,0.102767295597484,0.0179411764705882,0.136190476190476,0.0733333333333333,0.0948689553340716,0.0666666666666667,0.10952380952381,0.0666666666666667,0.154525089605735,0.046031746031746,-0.0111111111111111,0.0333333333333333,0.209400123685838,0.178787878787879,0.133333333333333,-0.291666666666667,-0.363827642367741,0.365530560271647,0.32780701754386,0.32780701754386,-0.432019646305207,-0.330822153422773,0,0.169723645600666,-0.0886483886483886,0.145994832041344,0.145994832041344,0.145994832041344,0.346180365881799,0.308270676691729,0.327733763940051,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0,0.340535588442565,-0.1,0.1,-0.0933333333333333,-0.0080361094566967,-0.126469002695418,0.129411764705882
"HEY1",0.384381408065619,0.324200186688851,0.0612587412587413,0.408678566486786,0.2,0.0219114219114219,0.2967131242741,0.0284534779861883,0.326008771929825,0.253333333333333,0.347046070460705,0.26,0.296842105263158,0.2,0.33977873977874,0.317777777777778,0.277777777777778,0.233333333333333,0.368458208458208,0.338787878787879,0.305454545454545,-0.264529914529915,-0.592305954279639,0.464519452179027,0.349144657863145,0.349144657863145,-0.671304150377738,-0.357753835239869,0,0.39317344931138,-0.347171921260198,0.369801801801802,0.369801801801802,0.369801801801802,0.395243057607236,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,-0.2,0.40259545543053,-0.1,0.233333333333333,-0.274761904761905,0.341987979717644,-0.319964349376114,0.165034965034965
"FOXC2",0.384381408065619,0.324200186688851,0.0612587412587413,0.408678566486786,0.2,0.0219114219114219,0.2967131242741,0.0284534779861883,0.326008771929825,0.253333333333333,0.347046070460705,0.26,0.296842105263158,0.2,0.33977873977874,0.317777777777778,0.277777777777778,0.233333333333333,0.368458208458208,0.338787878787879,0.305454545454545,-0.264529914529915,-0.592305954279639,0.464519452179027,0.349144657863145,0.349144657863145,-0.671304150377738,-0.357753835239869,0,0.39317344931138,-0.347171921260198,0.369801801801802,0.369801801801802,0.369801801801802,0.395243057607236,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,-0.2,0.40259545543053,-0.1,0.233333333333333,-0.274761904761905,0.341987979717644,-0.319964349376114,0.165034965034965
"DSH",0.222176763703121,0.122187899819479,0.0291690765374976,0.25655245072428,-0.0111111111111111,0.0179411764705882,0.110568714037201,0.0218627450980392,0.153073593073593,0.0933333333333333,0.122302583652656,0.10952380952381,0.136190476190476,0.0666666666666667,0.166490901571547,0.0948689553340716,0.046031746031746,0.0733333333333333,0.228197116167041,0.209400123685838,0.178787878787879,-0.321563573883162,-0.389888248428347,0.388057377911695,0.351738641475484,0.351738641475484,-0.45830641101109,-0.356480048159615,0,0.189961740838761,-0.106183933672085,0.169723645600666,0.169723645600666,0.169723645600666,0.362162101041616,0.327475974704974,0.346180365881799,0.308270676691729,0.327733763940051,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,-0.0333333333333333,0.363939843761714,-0.0666666666666667,0.2,-0.102767295597484,0.00445178986566535,-0.145219002695418,0.126381461675579
"PI3K",0.244664421260166,0.158347338935574,0.0285714285714286,0.270685948798124,0,0.0197368421052632,0.108087431693989,0.0217776584317938,0.251746031746032,0.0733333333333333,0.117287784679089,0.186666666666667,0.22952380952381,0.166666666666667,0.169219786495629,0.0738095238095238,0.0166666666666667,0.0333333333333333,0.222886619644173,0.190683229813665,0.142857142857143,-0.328030303030303,-0.394261388766033,0.392823957810146,0.363911830761429,0.363911830761429,-0.466783816018282,-0.364633126843536,0,0.209145880574452,-0.180555555555556,0.178775510204082,0.178775510204082,0.178775510204082,0.378868050840591,0.332612411742847,0.357183840314275,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0,0.358952380952381,-0.2,0.1,-0.0933333333333333,-0.0190803423206219,-0.145887445887446,0.114285714285714
"ILK",0.244664421260166,0.158347338935574,0.0285714285714286,0.270685948798124,0,0.0197368421052632,0.108087431693989,0.0217776584317938,0.251746031746032,0.0733333333333333,0.117287784679089,0.186666666666667,0.22952380952381,0.166666666666667,0.169219786495629,0.0738095238095238,0.0166666666666667,0.0333333333333333,0.222886619644173,0.190683229813665,0.142857142857143,-0.328030303030303,-0.394261388766033,0.392823957810146,0.363911830761429,0.363911830761429,-0.466783816018282,-0.364633126843536,0,0.209145880574452,-0.180555555555556,0.178775510204082,0.178775510204082,0.178775510204082,0.378868050840591,0.332612411742847,0.357183840314275,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0,0.358952380952381,-0.2,0.1,-0.0933333333333333,-0.0190803423206219,-0.145887445887446,0.114285714285714
"RAF",0.287986425339367,0.206167212647771,0.127960927960928,0.368686735612498,0.17,0.115064102564103,0.186787365177196,0.112564102564103,0.135714285714286,0.125,0.114277673545966,0.0857142857142857,0.1,0.1,0.247527472527472,0.0776923076923077,0.07,0.1,0.200047281323877,0.151111111111111,0.111111111111111,-0.329411764705882,-0.474191788761325,0.62361636414268,0.364895635673624,0.364895635673624,-0.540378960777732,-0.373870639164757,0,0.0872340049487451,-0.162476344958097,0.0428861788617886,0.0428861788617886,0.0428861788617886,0.376738056964007,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,-0.1,0.337271448663854,-0.1,0,-0.161363636363636,0.0227081076332972,-0.211255411255411,-0.0357142857142857
"cateninnuc",0.383671105593181,0.320149991090511,0.0716191834261818,0.317441988453997,0.273809523809524,0.0338822732884623,0.184509851700802,0.0360328109228709,0.322205656613125,0.158730158730159,0.340439175048913,0.286042692939245,0.306921813818366,0.261904761904762,0.230715363398908,0.320767043901372,0.296886446886447,0.136507936507937,0.36231432523665,0.344638780442461,0.321939393939394,-0.290906362545018,-0.406649725145775,0.460892265520039,0.369706464493477,0.369706464493477,-0.487019201467291,-0.377463320423724,0,0.377757078175366,-0.335026463846409,0.362837007127409,0.362837007127409,0.362837007127409,0.179629518542829,0.25438952390319,0.267562007994306,0.238054862548609,0.253427465288335,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,-0.114285714285714,0.395243057607236,-0.233333333333333,0.160606060606061,-0.173623775751435,0.319827874934566,-0.333105721099667,0.0416978788770141
"SHH",0.342857142857143,0.253333333333333,0,0.192857142857143,0,0,0.2,0.0111111111111111,0.133333333333333,0.3,0.3,0,0.1,0,0.133333333333333,0.2,0.1,0.2,0.22,0.2,0.1,-0.3,-0.299068100358423,0.36727969348659,0.371428571428571,0.371428571428571,-0.339705882352941,-0.381818181818182,0,0.283333333333333,-0.271794871794872,0.233333333333333,0.233333333333333,0.233333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,-0.2,0.276190476190476,0,0,-0.3,0.272987012987013,-0.25,0
"SNAI2",0.421592225571059,0.361405883912006,0.0615770609318996,0.445531705574726,0.2,0.0177777777777778,0.342114728682171,0.0258523119392685,0.359148148148148,0.293333333333333,0.380804899387577,0.275,0.323148148148148,0.2,0.389611522198732,0.342222222222222,0.286666666666667,0.26,0.408959494002753,0.374712918660287,0.332894736842105,-0.28525641025641,-0.63726470509432,0.710506543841997,0.374943185404962,0.374943185404962,-0.807334483013435,-0.383393450876038,0,0.435920986953079,-0.385908526256352,0.408605072463768,0.408605072463768,0.408605072463768,0.449295844035727,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,-0.2,0.447100565604419,-0.1,0.26,-0.318914728682171,0.385743987724154,-0.349071428571429,0.22047423620611
"TWIST1",0.528172191191059,0.367705128554185,0.0617391304347826,0.449989093593745,0.2,0.0160323886639676,0.347404118880257,0.0250323886639676,0.366170212765957,0.3,0.388112762443973,0.28,0.33,0.2,0.393375628657759,0.349259259259259,0.29,0.266666666666667,0.41482350982351,0.380757575757576,0.338333333333333,-0.2925,-0.641197413144985,0.714817064144523,0.381449024861003,0.381449024861003,-0.812412540365806,-0.390155403478757,0,0.442600226317716,-0.393016738967238,0.415153009427121,0.415153009427121,0.415153009427121,0.453228137097013,0.406201326380354,0.431560417577114,0.37663610898905,0.405893750910448,0.37663610898905,0.344817927170868,0.344817927170868,0.309523809523809,0.309523809523809,-0.2,0.45241388757676,-0.1,0.266666666666667,-0.324528301886792,0.392947180039895,-0.355042496008251,0.226984126984127
"AKT",0.267555987525226,0.177675070028011,0.0333333333333333,0.293266593959414,0.0166666666666667,0.0217776584317938,0.120970867276811,0.0252864303616183,0.171286261631089,0.0933333333333333,0.145107333551269,0.22952380952381,0.251746031746032,0.186666666666667,0.185703302979145,0.117287784679089,0.0738095238095238,0.0733333333333333,0.246570830170489,0.222886619644173,0.190683229813665,-0.358305532388101,-0.424229843024708,0.419628081521486,0.391252654731466,0.391252654731466,-0.497620469404736,-0.392540103587722,0,0.234081613222267,-0.201131687242798,0.209145880574452,0.209145880574452,0.209145880574452,0.396877529513577,0.356906197053581,0.378868050840591,0.332612411742847,0.357183840314275,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,-0.0333333333333333,0.388406926406926,-0.166666666666667,0.2,-0.108087431693989,-0.00412235912734463,-0.169498556998557,0.122393822393822
"RAS",0.338106185002737,0.290173342242836,0.12991452991453,0.370701754385965,0.26,0.120608108108108,0.168720538720539,0.119431637519873,0.193333333333333,0.109090909090909,0.268441558441558,0.166666666666667,0.166666666666667,0.2,0.245454545454545,0.245714285714286,0.245714285714286,0.1,0.266903073286052,0.222222222222222,0.2,-0.354761904761905,-0.40004292736966,0.575971401248842,0.392539682539683,0.392539682539683,-0.468865668176013,-0.402297637003519,0,0.143273066802479,-0.215988626421697,0.195798319327731,0.195798319327731,0.195798319327731,0.40962570734786,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,-0.1,0.349934123847167,-0.2,0,-0.139090909090909,-0.0340659026705538,-0.380434782608696,-0.187878787878788
"SOSGRB2",0.363332893074732,0.341197207076737,0.22702589807853,0.399469696969697,0.276190476190476,0.213146853146853,0.27385500575374,0.214001554001554,0.318580765639589,0.22,0.320779220779221,0.288888888888889,0.294771241830065,0.3,0.344313144612684,0.293506493506493,0.29047619047619,0.2,0.383962703962704,0.342424242424242,0.309090909090909,-0.359848484848485,-0.49369289849935,0.644921074214037,0.39469696969697,0.39469696969697,-0.56133305389704,-0.405386706202125,0,0.323177411700902,-0.314458777937039,0.276868686868687,0.276868686868687,0.276868686868687,0.399914551394823,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,-0.2,0.345606435643564,-0.2,0,-0.247272727272727,-0.0356106235300866,-0.370130718954248,-0.201587301587302
"IKK",0.448674242424242,0.174073849878935,0.0325714285714286,0.518139534883721,0.1,0.0230769230769231,0.143454545454545,0.0216276477146042,0.193333333333333,0.07,0.16963963963964,0.2,0.14,0.2,0.278470380194518,0.0966666666666667,0.0666666666666667,0.02,0.351466165413534,0.297894736842105,0.24,-0.340392156862745,-0.56311768573307,0.654846867034285,0.397789661319073,0.397789661319073,-0.674528117203775,-0.40113142554319,0,0.343039421219221,-0.219747621564482,0.297854236034036,0.297854236034036,0.297854236034036,0.432586337638969,0.374481074481074,0.405475226527858,0.331623931623932,0.374481074481074,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0,0.402170596393897,-0.2,0.1,-0.115454545454545,0.139498512460961,-0.156666666666667,0.116666666666667
"MEK",0.327609066848801,0.231079493349525,0.12683733245531,0.400776287851304,0.07,0.112564102564103,0.204969183359014,0.113507498790518,0.163214285714286,0.161363636363636,0.0626647703201598,0.1,0.135714285714286,0.0857142857142857,0.267706844724782,0.114277673545966,0.0776923076923077,0.125,0.236410917687513,0.200047281323877,0.151111111111111,-0.362043343653251,-0.510351389758831,0.657115123447891,0.400189753320683,0.400189753320683,-0.580115307293739,-0.408739060217388,0,0.123288426717453,-0.188792134431781,0.0872340049487451,0.0872340049487451,0.0872340049487451,0.39847718739879,0.352867132867133,0.376738056964007,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,-0.1,0.379613791006196,-0.1,0.1,-0.186787365177196,0.0429612721902592,-0.240422077922078,-0.0112698412698413
"STAT",0.189904462582481,0.101633504110568,0.0120807453416149,0.0652327594432858,0.08,0.0180392156862745,0.0249874686716792,0.0149622926093514,-0.0117948717948718,0.000952380952380955,0.0609873417721519,-0.0333333333333333,-0.0233333333333333,-0.0333333333333333,0.0447289156626506,0.042,0.03,-0.019047619047619,0.00347222222222222,-0.0111111111111111,-0.0333333333333333,-0.304126984126984,-0.0552933625149925,0.0983323161457055,0.416108944884678,0.416108944884678,-0.192371525566715,-0.431834753848473,0,-0.0684901865406591,0.0498965034667348,-0.0816375968992248,-0.0816375968992248,-0.0816375968992248,0.0263302504334928,0.00965007215007215,0.0185811729427179,-0.00146103896103896,0.009843308865048,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,0.0333333333333333,-0.044031284031284,0,0,-0.0176190476190476,-0.0637531797359989,-0.114945250827604,-0.125
"CD44",0.376129032258064,0.359444444444444,0.179166666666667,0.349924585218703,0.3,0.156666666666667,0.154678362573099,0.161212121212121,0.252380952380952,0.15,0.398202614379085,0.2,0.266666666666667,0.2,0.176666666666667,0.380555555555556,0.325,0.1,0.242857142857143,0.242857142857143,0.2,-0.277777777777778,-0.144450549450549,0.439156399156399,0.419241192411924,0.419241192411924,-0.28253878314446,-0.430756843800322,0,0.190224358974359,-0.223809523809524,0.158974358974359,0.158974358974359,0.158974358974359,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.1,-0.02,-0.1,0.1,-0.138888888888889,-0.159085452362763,-0.42,-0.233333333333333
"Csn",0.239676074251357,0.143971634496412,0.0264925373134328,0.286773357206993,-0.00769230769230769,0.0182769230769231,0.110494157740993,0.0213277705345502,0.172525252525253,0.0825,0.133593710795439,0.12,0.148888888888889,0.08,0.170369557253994,0.0977912416596365,0.0452488687782805,0.0575,0.247596041637492,0.221171171171171,0.183333333333333,-0.385386706202125,-0.436706533830058,0.433136027927958,0.420926058814825,0.420926058814825,-0.50825910005663,-0.428577324973877,0,0.229518076197268,-0.143680270489403,0.203029369831765,0.203029369831765,0.203029369831765,0.41459054959572,0.372955730969856,0.395510375574588,0.348511286525412,0.373398164353466,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,-0.02,0.406284025787966,-0.18,0.2,-0.0989556962025316,0.0503830863485996,-0.155573311617426,0.14904347826087
