"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","ERK","cfos","EGR1","HEY1","SMAD","AKT","TWIST1","IKK","ILK","SHH","NFB","SMO","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","ZEB2","ZEB1","SOSGRB2","RAS","SNAI2","RAF","PI3K","DELTA","cateninmemb","KLF4","Ecadherin","cateninnuc","miR200","TCFLEF","GLI","CD44","Wnt","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","GSK3","RKIP"
"miR200",-0.0924612000341224,-0.124825156920556,-0.109301691216585,-0.0900709219858156,-0.0666666666666667,-0.0615207801435052,-0.0824665831244779,-0.0628237259816207,-0.0365079365079365,-0.0142857142857143,-0.0133712660028449,-0.0151915927938233,-0.0562547892720306,-0.211957485176356,-0.0436111111111111,-0.00961538461538462,-0.0690158978952082,-0.0311111111111111,-0.0458333333333333,-0.111307181266525,-0.0325,-0.02,-0.120209281164695,-0.104285714285714,-0.0842857142857143,-0.346411028245178,-0.346411028245178,-0.110909090909091,-0.251027873733554,-0.308801779440494,-0.233185550082102,-0.233185550082102,-0.233185550082102,0.400755604599962,0.331712852365026,0.430942831634422,-0.327082997684771,0.280330267558528,-0.317856065016442,-0.303254237288136,-0.306041719024881,-0.288,-0.290434782608696,-0.268,-0.270434782608696,-0.24,-0.24,-0.338863398723411,0,0.02,-0.2,-0.362078861127798,0.057521645021645,0.0475274725274725,0.0466076696165192
"ZEB2",-0.261450770369176,-0.245124025219844,-0.236280487804878,-0.220833333333333,-0.2,-0.194350375609366,-0.188026709896557,-0.17621568627451,-0.16421568627451,-0.158333333333333,-0.147398921832884,-0.142342572346996,-0.142251694665488,-0.142129176444295,-0.138803418803419,-0.13822272215973,-0.133739495798319,-0.131111111111111,-0.122857142857143,-0.115033639881401,-0.114285714285714,-0.111111111111111,-0.110676741401379,-0.104503901895206,-0.0943589743589744,-0.0740335089931562,-0.0740335089931562,-0.0737574705995759,-0.0636086970362589,-0.0560145678889363,-0.0547747747747748,-0.0547747747747748,-0.0547747747747748,-0.035136279265082,-0.0325194805194805,0.016403659973847,0.0355613635354989,0.0377583269094703,0.0419197450383891,0.0426839826839827,0.0496410256410256,0.0503030303030303,0.0573333333333333,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0836856368563686,0.1,0.1,0.1,0.118482091720359,0.127857142857143,0.205169561621175,0.207830851638901
"SHH",0.333333333333333,0.425,0.4,0.3,0.2,0.276190476190476,0.3,0.2,0.1,0,0.0666666666666667,0.106666666666667,0.133333333333333,0.176190476190476,0.1,0.0666666666666667,0.253333333333333,0,0.3,0.162857142857143,0.2,0,0.22,0.2,0.1,0.366666666666667,0.366666666666667,0.25,0.208333333333333,0.363703703703704,0.133333333333333,0.133333333333333,0.133333333333333,-0.29639846743295,-0.3,-0.335833333333333,0.232251082251082,-0.377777777777778,0.192857142857143,0.25,0.15,0.2,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.346296296296296,-0.333333333333333,-0.2,-0.25
"HEY1",0.37357910906298,0.352748226950355,0.319414893617021,0.2875,0.25,0.369230769230769,0.358419633990637,0.318796992481203,0.271428571428571,0.2,0.153333333333333,0.148467569493942,0.32816091954023,0.377634470792365,0.283333333333333,0.130434782608696,0.33247311827957,0.233333333333333,0.273333333333333,0.345992907801418,0.233333333333333,0.2,0.35140056022409,0.319047619047619,0.283333333333333,0.3781328320802,0.3781328320802,0.273324714501185,0.379794352628998,0.441620570897196,0.356959706959707,0.356959706959707,0.356959706959707,-0.568734901008995,-0.221645021645022,-0.650047419019911,0.364009979746131,-0.384047619047619,0.350297605164191,0.335151753008896,0.334331218609569,0.31474358974359,0.31474358974359,0.291666666666667,0.291666666666667,0.266666666666667,0.266666666666667,0.388759992563674,-0.1,-0.2,0.233333333333333,0.443954763553806,-0.306666666666667,-0.327950310559006,-0.363846153846154
"FOXC2",0.37357910906298,0.352748226950355,0.319414893617021,0.2875,0.25,0.369230769230769,0.358419633990637,0.318796992481203,0.271428571428571,0.2,0.153333333333333,0.148467569493942,0.32816091954023,0.377634470792365,0.283333333333333,0.130434782608696,0.33247311827957,0.233333333333333,0.273333333333333,0.345992907801418,0.233333333333333,0.2,0.35140056022409,0.319047619047619,0.283333333333333,0.3781328320802,0.3781328320802,0.273324714501185,0.379794352628998,0.441620570897196,0.356959706959707,0.356959706959707,0.356959706959707,-0.568734901008995,-0.221645021645022,-0.650047419019911,0.364009979746131,-0.384047619047619,0.350297605164191,0.335151753008896,0.334331218609569,0.31474358974359,0.31474358974359,0.291666666666667,0.291666666666667,0.266666666666667,0.266666666666667,0.388759992563674,-0.1,-0.2,0.233333333333333,0.443954763553806,-0.306666666666667,-0.327950310559006,-0.363846153846154
"SNAI2",0.413262322472849,0.396106983332129,0.36042859137233,0.320954907161804,0.269230769230769,0.40569386809842,0.388806133625411,0.341818181818182,0.281818181818182,0.2,0.162857142857143,0.162142857142857,0.36076726342711,0.421252695902229,0.312941176470588,0.137142857142857,0.375821274435136,0.26,0.306666666666667,0.396960172444043,0.26,0.2,0.398051948051948,0.362337662337662,0.321428571428571,0.399206349206349,0.399206349206349,0.321738709052142,0.426752777353729,0.69321736277847,0.398114279701147,0.398114279701147,0.398114279701147,-0.61949885389709,-0.240909090909091,-0.791900643636339,0.423178950174651,-0.405627705627706,0.407463234458935,0.389231337767923,0.388759992563674,0.366060606060606,0.366060606060606,0.338787878787879,0.338787878787879,0.305454545454545,0.305454545454545,0.437574296412969,-0.1,-0.2,0.26,0.490493608031335,-0.345128205128205,-0.346524064171123,-0.385238095238095
"cateninnuc",0.370707747170707,0.348770619825458,0.331740052139868,0.308242784380306,0.274032258064516,0.270801462694579,0.365498168202868,0.345900178253119,0.318627450980392,0.283333333333333,0.163980848153215,0.154562596968612,0.233515404366184,0.274202766456288,0.218471156578573,0.141637426900585,0.220348221308486,0.196732026143791,0.192481203007519,0.230437754554534,0.171428571428571,0.155555555555556,0.320246102840384,0.306072874493927,0.286842105263158,0.42577955288334,0.42577955288334,0.238528138528139,0.269538548119193,0.424679193081919,0.254777633358279,0.254777633358279,0.254777633358279,-0.371291907159034,-0.275,-0.455695836756351,0.13970117965081,-0.428833038232015,0.229468417244135,0.219346405002287,0.218011242605648,0.207191708869691,0.205789020383425,0.193716531564726,0.192313843078461,0.175072463768116,0.175072463768116,0.364009979746131,-0.1,-0.142857142857143,0.153333333333333,0.420460460868762,-0.207945120533292,-0.363586956521739,-0.29924726189094
"RAF",0.420723362658847,0.447459948636419,0.38981288981289,0.338461538461538,0.3,0.326164874551971,0.338031189083821,0.295925925925926,0.27,0.17,0.165204678362573,0.168401055201197,0.181481481481481,0.459285714285714,0.133333333333333,0.159967320261438,0.218735177865613,0.1,0.14,0.272899159663866,0.1,0.1,0.237380952380952,0.177380952380952,0.125,0.438462332301342,0.438462332301342,0.0821428571428571,0.230773607160203,0.6503259157996,0.181477832512315,0.181477832512315,0.181477832512315,-0.503072787427626,-0.393725490196078,-0.5815447408412,0.407421221362108,-0.447591706539075,0.376961451247166,0.33813104189044,0.336961451247166,0.278947368421053,0.277777777777778,0.2,0.2,0.1,0.1,0.352615384615385,-0.1,-0.1,0,0.0570886453440692,-0.187826086956522,-0.236842105263158,-0.337925407925408
"CD44",0.412169312169312,0.401935483870968,0.36,0.3,0.2,0.434393939393939,0.429444444444444,0.385,0.325,0.3,0.204093567251462,0.19822695035461,0.266666666666667,0.381720430107527,0.266666666666667,0.183333333333333,0.177272727272727,0.2,0.15,0.188531468531469,0.1,0.2,0.253968253968254,0.242857142857143,0.2,0.450397456279809,0.450397456279809,-0.00238095238095239,0.286666666666667,0.442447037498584,0.22,0.22,0.22,-0.147731092436975,-0.288235294117647,-0.293611111111111,0.143225806451613,-0.458256029684601,0.09,0.0233333333333333,0.0233333333333333,-0.05,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.184487015751384,-0.15,-0.436190476190476,-0.45951690821256
"Jagged",0.309523809523809,0.329468599033816,0.255555555555556,0.2,0.2,0.234509803921569,0.286666666666667,0.22,0.2,0.1,0.166666666666667,0.0714285714285714,0.0888888888888889,0.290217391304348,0.0333333333333333,0.0666666666666667,0.121794871794872,0,0.0333333333333333,0.166493506493506,0,0,0.231428571428571,0.16,0.1,0.457936507936508,0.457936507936508,0.12,0.235,0.43868778280543,0.175,0.175,0.175,-0.431991951710262,-0.405555555555556,-0.512323666308629,0.349516775359472,-0.469264069264069,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.1,0.1,0,0,0.28,0,0,0,0.333913043478261,-0.0833333333333333,-0.15,-0.23030303030303
"DELTA",0.309523809523809,0.329468599033816,0.255555555555556,0.2,0.2,0.234509803921569,0.286666666666667,0.22,0.2,0.1,0.166666666666667,0.0714285714285714,0.0888888888888889,0.290217391304348,0.0333333333333333,0.0666666666666667,0.121794871794872,0,0.0333333333333333,0.166493506493506,0,0,0.231428571428571,0.16,0.1,0.457936507936508,0.457936507936508,0.12,0.235,0.43868778280543,0.175,0.175,0.175,-0.431991951710262,-0.405555555555556,-0.512323666308629,0.349516775359472,-0.469264069264069,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.1,0.1,0,0,0.28,0,0,0,0.333913043478261,-0.0833333333333333,-0.15,-0.23030303030303
"SOSGRB2",0.441501501501502,0.463238843405423,0.407486631016043,0.352941176470588,0.3,0.435585394187397,0.42206158621253,0.374891774891775,0.347619047619048,0.276190476190476,0.266570972886762,0.269656614571869,0.369411764705882,0.469835441316469,0.329411764705882,0.257792207792208,0.306373626373626,0.3,0.233333333333333,0.369274509803922,0.2,0.3,0.424838709677419,0.37,0.32,0.467499718563548,0.467499718563548,-0.0111827956989247,0.441292517006803,0.671317130234527,0.386190476190476,0.386190476190476,0.386190476190476,-0.52204635099055,-0.4193515704154,-0.602946606362598,0.433606055862513,-0.477299981729699,0.397104975948907,0.34876254180602,0.347972027972028,0.282608695652174,0.281818181818182,0.2,0.2,0.1,0.1,0.360013440860215,-0.2,-0.2,0,-0.0191337119994284,-0.27047619047619,-0.480128205128205,-0.457905982905983
"Wnt",0.358119658119658,0.383333333333333,0.313636363636364,0.25,0.2,0.269230769230769,0.305,0.225,0.2,0.1,0.0833333333333333,0.0873015873015873,0.213636363636364,0.38474801061008,0.15,0.0761904761904762,0.138888888888889,0.1,0.05,0.192142857142857,0,0.1,0.266666666666667,0.2,0.133333333333333,0.475174825174825,0.475174825174825,0.20952380952381,0.41,0.412824260138838,0.35,0.35,0.35,-0.412400502723083,-0.413636363636364,-0.514299159663866,0.409320420958352,-0.486227106227106,0.374837662337662,0.333928571428571,0.333928571428571,0.271428571428571,0.271428571428571,0.3,0.2,0.2,0.1,0.349230769230769,-0.1,0,0,0.00567621920563097,-0.105555555555556,-0.366666666666667,-0.281428571428571
"MEK",0.465239491691105,0.495499164322694,0.447459948636419,0.38981288981289,0.338461538461538,0.354308587126822,0.289838417999483,0.338031189083821,0.295925925925926,0.27,0.175094788252683,0.180438092238234,0.210712250712251,0.495778605280975,0.181481481481481,0.168401055201197,0.24600790513834,0.133333333333333,0.187826086956522,0.300598690180297,0.14,0.1,0.279486215538847,0.237380952380952,0.177380952380952,0.479841642646169,0.479841642646169,0.113850174216028,0.272819061705657,0.691147833607819,0.230773607160203,0.230773607160203,0.230773607160203,-0.546796925358661,-0.434751131221719,-0.629644632263567,0.432339610915971,-0.48856086953467,0.407421221362108,0.37813104189044,0.376961451247166,0.33813104189044,0.336961451247166,0.278947368421053,0.277777777777778,0.2,0.2,0.402859287054409,-0.1,-0.1,0.1,0.0966631134291756,-0.218735177865613,-0.276127819548872,-0.369297956945016
"STAT",0.250147492625369,0.2380892331712,0.220140515222482,0.185714285714286,0.15,0.183390100113971,0.239075630252101,0.221428571428571,0.2,0.2,0.0595238095238095,0.0701293532338308,0.0622222222222222,0.10154865967366,0.0555555555555556,0.0626666666666667,0.0659329860288894,0.0333333333333333,0.045,0.0723580272896278,0.025,0,0.0472147950089127,0.033578431372549,0.00416666666666667,0.484271799628942,0.484271799628942,0.000955566172957478,0.0220697312902509,0.114351038917112,0.00561403508771929,0.00561403508771929,0.00561403508771929,-0.0733398139957737,-0.362463768115942,-0.221798195670105,0.0430358998033743,-0.499863945578231,0.0310574341236973,0.0170768490994929,0.017358803986711,0.0012873754152824,0.0012873754152824,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0385894048300966,0,0,0,-0.0557632265321488,-0.0571951219512195,-0.145833333333333,-0.20755980861244
"SMO",0.424908424908425,0.517592592592593,0.469444444444444,0.425,0.4,0.379365079365079,0.390909090909091,0.345454545454545,0.3,0.2,0.137121212121212,0.138294573643411,0.222222222222222,0.265201465201465,0.166666666666667,0.126666666666667,0.32952380952381,0.133333333333333,0.253333333333333,0.237857142857143,0.333333333333333,0.1,0.31,0.26,0.22,0.485923423423423,0.485923423423423,0.236666666666667,0.293115942028985,0.447092778397126,0.258333333333333,0.258333333333333,0.258333333333333,-0.388410636055288,-0.405357142857143,-0.436522350198821,0.286912485227092,-0.495672514619883,0.262588160902768,0.336060606060606,0.232251082251082,0.296666666666667,0.192857142857143,0.25,0.15,0.2,0.1,0.35978835978836,0,-0.3,0.1,0.413338991165078,-0.296190476190476,-0.322222222222222,-0.367460317460317
"RAS",0.462878787878788,0.482404181184669,0.421428571428571,0.371428571428571,0.3,0.471268656716418,0.391428571428571,0.353333333333333,0.293333333333333,0.26,0.170866970866971,0.175023923444976,0.26974358974359,0.497459893048128,0.223076923076923,0.165933014354067,0.205669224211424,0.2,0.116666666666667,0.277948717948718,0.1,0.2,0.33537936913896,0.274509803921569,0.233333333333333,0.497622141372141,0.497622141372141,0.0373669467787115,0.397941160236242,0.616203879622557,0.434006734006734,0.434006734006734,0.434006734006734,-0.442101249430442,-0.440865384615385,-0.530147249952252,0.459158373689532,-0.503571428571429,0.419026794742164,0.364772727272727,0.364244186046512,0.2875,0.2875,0.2,0.2,0.1,0.1,0.37172619047619,-0.2,-0.1,0,-0.0356105181536216,-0.164492753623188,-0.476190476190476,-0.480701754385965
"IKK",0.588031968031968,0.601152882205514,0.539047619047619,0.473333333333333,0.4,0.404356060606061,0.322857142857143,0.242857142857143,0.2,0.1,0.193028322440087,0.204454954954955,0.35047619047619,0.577951635846373,0.293333333333333,0.182833333333333,0.268,0.333333333333333,0.18,0.300754395916052,0.12,0.3,0.386911618669315,0.328421052631579,0.26,0.497643097643098,0.497643097643098,0.330541871921182,0.492375168690958,0.679071844231419,0.435964912280702,0.435964912280702,0.435964912280702,-0.590853658536585,-0.427922077922078,-0.716500048345729,0.457091229461788,-0.506452455590387,0.425704368147919,0.388597449908925,0.388597449908925,0.337777777777778,0.337777777777778,0.277777777777778,0.277777777777778,0.2,0.2,0.412945054945055,-0.2,-0.1,0.1,0.208178387091277,-0.232,-0.409803921568627,-0.392057416267943
"TWIST1",0.529217449217449,0.512628749323033,0.47248790425261,0.428851540616246,0.376470588235294,0.509883116883117,0.465636849781235,0.418529411764706,0.361666666666667,0.275,0.268761723600433,0.263523674689319,0.448412698412698,0.445009500875983,0.398412698412698,0.242051282051282,0.466838428064372,0.355555555555556,0.394685990338164,0.407517489432463,0.355555555555556,0.3,0.405286404416839,0.365286404416839,0.325603864734299,0.506037735849057,0.506037735849057,0.31280193236715,0.439817903783444,0.716788178485649,0.407385471351012,0.407385471351012,0.407385471351012,-0.644311496358753,-0.384064112011791,-0.815309388235724,0.448595352234879,-0.512302796528447,0.429461778227658,0.407502057405821,0.406412776412776,0.379250936329588,0.378484848484848,0.346666666666667,0.346666666666667,0.309523809523809,0.309523809523809,0.453218328257305,-0.2,-0.3,0.266666666666667,0.499179153863068,-0.435669596895541,-0.432212885154062,-0.48567977915804
"cMet",0.455919312169312,0.451302572478563,0.401935483870968,0.36,0.3,0.468540280857354,0.452848699763593,0.429444444444444,0.385,0.325,0.218379281537176,0.213378465506125,0.295238095238095,0.43496718335428,0.266666666666667,0.19822695035461,0.206304985337243,0.266666666666667,0.15,0.227857311228098,0.15,0.2,0.298154300479882,0.253968253968254,0.242857142857143,0.506495017255419,0.506495017255419,0.0148604269293924,0.335962441314554,0.498935587116904,0.286666666666667,0.286666666666667,0.286666666666667,-0.207432584974288,-0.350397456279809,-0.352839761248852,0.184689221085759,-0.513396216600489,0.143225806451613,0.0907751937984496,0.09,0.0233333333333333,0.0233333333333333,-0.05,0.05,-0.1,0,0.0445161290322581,-0.2,-0.1,0.1,-0.14139078144176,-0.177272727272727,-0.464190476190476,-0.503702954724188
"NOTCH",0.364523809523809,0.387959165071552,0.329468599033816,0.255555555555556,0.2,0.264509803921569,0.345,0.286666666666667,0.22,0.2,0.171014492753623,0.0821428571428571,0.126388888888889,0.33252508361204,0.0888888888888889,0.0714285714285714,0.151206636500754,0.0333333333333333,0.0833333333333333,0.196123136123136,0.0333333333333333,0,0.183152709359606,0.231428571428571,0.16,0.509047619047619,0.509047619047619,0.167368421052632,0.280454545454545,0.486795890913538,0.235,0.235,0.235,-0.482794090747695,-0.457936507936508,-0.569770474819267,0.378576604419301,-0.518416611636951,0.349516775359472,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.381104054714216,-0.121794871794872,-0.192857142857143,-0.266666666666667
