"","FOXC2","TGF","TGFR","CDC42","GSK3","PAK1","HEY1","SMAD","ILK","SMO","SHH","MEK","FUS","ERK","AKT","EGR1","IKK","cfos","NFB","Jagged","SNAI1","TWIST1","Csn","KLF4","NOTCH","NOTCHic","Csl","cateninmemb","SOSGRB2","SNAI2","miR200","Ecadherin","ZEB2","ZEB1","GLI","cateninnuc","Wnt","TCFLEF","Frizzled","CD44","cMet","DSH","SRC","RAS","RAF","PI3K","DELTA","STAT","Destcompl","AXIN2","TrCP","SUFU","LIV1","Patched","RKIP"
"PI3K",-0.040150987224158,-0.0634763271162123,-0.0366470588235294,0.00735294117647059,0.031036556036556,0.025,-0.0490633303063936,-0.040528531412565,-0.041328531412565,-0.0833333333333333,-0.091025641025641,-0.101933232309317,-0.05,-0.0675070028011205,-0.014027149321267,-0.0666666666666667,0.00392156862745098,-0.0380952380952381,0.0333333333333333,-0.124649122807018,-0.0530032206119163,-0.0669449818416319,0.0333333333333333,0.234429824561404,-0.171898263027295,-0.155769230769231,-0.125,0.246211058388775,-0.0826923076923077,-0.183634243427963,0.264823579167841,0.267812463660255,-0.262218137851567,-0.262218137851567,-0.250992196209588,-0.268439921761454,-0.246376811594203,-0.258336828977949,-0.233333333333333,-0.250992196209588,-0.246376811594203,-0.2,-0.233333333333333,-0.0834764869833363,-0.0738874458874459,-0.0738874458874459,-0.0738874458874459,-0.2,0.0288090531622269,-0.287714285714286,0,0,-0.1,0.091025641025641,0.071574014221073
"ILK",-0.040150987224158,-0.0634763271162123,-0.0366470588235294,0.00735294117647059,0.031036556036556,0.025,-0.0490633303063936,-0.040528531412565,-0.041328531412565,-0.0833333333333333,-0.091025641025641,-0.101933232309317,-0.05,-0.0675070028011205,-0.014027149321267,-0.0666666666666667,0.00392156862745098,-0.0380952380952381,0.0333333333333333,-0.124649122807018,-0.0530032206119163,-0.0669449818416319,0.0333333333333333,0.234429824561404,-0.171898263027295,-0.155769230769231,-0.125,0.246211058388775,-0.0826923076923077,-0.183634243427963,0.264823579167841,0.267812463660255,-0.262218137851567,-0.262218137851567,-0.250992196209588,-0.268439921761454,-0.246376811594203,-0.258336828977949,-0.233333333333333,-0.250992196209588,-0.246376811594203,-0.2,-0.233333333333333,-0.0834764869833363,-0.0738874458874459,-0.0738874458874459,-0.0738874458874459,-0.2,0.0288090531622269,-0.287714285714286,0,0,-0.1,0.091025641025641,0.071574014221073
"ZEB2",-0.19779020979021,-0.189303923589638,-0.185071119356834,-0.173506493506493,-0.170517594939527,-0.157142857142857,-0.137609970674487,-0.131470134125579,-0.129031109735335,-0.122857142857143,-0.122857142857143,-0.118058373707676,-0.114285714285714,-0.109521788341822,-0.108990134994808,-0.108333333333333,-0.108055555555556,-0.103070175438596,-0.101388888888889,-0.100019938679157,-0.0983847902055291,-0.0968490255907783,-0.0888888888888889,-0.0835709154913655,-0.0826649852879361,-0.081025641025641,-0.0743589743589744,-0.0612470714819392,-0.0596336996336996,-0.0303884995090028,-0.0218893994263971,-0.0179670461023546,-0.0174640646103233,-0.0174640646103233,0.0616616411111824,0.0624341352028528,0.0634965034965035,0.065680888449606,0.0660606060606061,0.0688499025341131,0.0707017543859649,0.0727272727272727,0.0733333333333333,0.0775703347330756,0.0790692640692641,0.0790692640692641,0.0790692640692641,0.08,0.0813154704013159,0.0998638121163074,0.1,0.1,0.1,0.122857142857143,0.129774557165862
"RAS",0.0819047619047619,0.0751077460687245,0.0741176470588235,0.08,-0.105490956072351,0.06,0.113438735177866,0.118800247371676,0.114718614718615,0.0833333333333333,0.109367231638418,0.105433436532508,0.1,0.111315789473684,0.121111111111111,0.06,0.126666666666667,0.085,0.133333333333333,0.101632170313424,0.119036381514258,0.166535733769776,0.1,-0.0528571428571429,0.100397219463754,0.0947368421052632,0.1,-0.0852465545677827,-0.0528138528138528,0.292809784842293,-0.0454769230769231,-0.152136167598352,0.0600736377025037,0.0600736377025037,-0.0372549019607843,-0.00284854324606564,-0.0705882352941176,-0.0155964186001733,-0.1,-0.0386733416770964,-0.0705882352941176,-0.1,-0.1,0.012051282051282,0.0928205128205128,0.0928205128205128,0.0928205128205128,-0.1,0.0689327485839114,-0.0742819499341238,-0.1,-0.1,0,-0.0873333333333333,-0.140339622641509
"Destcompl",0.053265545252546,0.0224612022667506,0.0249242564539427,0.0217663617171006,-0.0824603582385185,0.0169387755102041,0.00905146135915367,0.0124269005847953,0.0127777777777778,-0.111877394636015,-0.120602502622506,0.0477100211816958,-0.111877394636015,0.0468661393251557,0.0426458598329039,0.0625641025641026,0.0453304235912932,0.0474125874125874,0.0480331262939959,-0.186954223335776,0.0907086156542661,-0.0425653425263846,0.0523809523809524,-0.197792691141193,-0.0617741279660771,-0.058768115942029,-0.0576811594202899,0.217365343950208,-0.0628002768916211,-0.235796324294568,-0.199001342631492,0.0544345137041269,0.187589496791624,0.187589496791624,-0.187490553640212,-0.188688639823609,-0.184336564771937,-0.188076707136204,-0.180376168732333,-0.186843830423875,-0.18385875579701,-0.181746031746032,-0.180376168732333,-0.00240737446331241,-0.000523544008053385,-0.000523544008053385,-0.000523544008053385,-0.181746031746032,-0.0191088191189785,-0.23998946691923,-0.0666666666666667,0.122222222222222,-0.188888888888889,0.116540607071248,-0.117532166050403
"AXIN2",0.105732448659849,0.0606191823705478,0.0596290833606468,0.0622839506172839,-0.164689608636977,0.0783333333333333,0.0187481889307447,0.0177191166321601,0.0220841959972395,-0.152930402930403,-0.153439770611902,0.106728552751206,-0.157692307692308,0.113625104475344,0.097487922705314,0.153333333333333,0.101932367149758,0.131382113821138,0.109178743961353,-0.220430891083065,0.150251680453084,-0.0401325984760738,0.122222222222222,-0.248218405457819,-0.0561247713879293,-0.0540977443609023,-0.0505263157894737,0.250833460153724,-0.0784895235666624,-0.278322490065037,-0.254039962023705,0.0650105650775391,0.239874495663116,0.239874495663116,-0.237837073126447,-0.241675588838815,-0.235950280673617,-0.23998946691923,-0.237674418604651,-0.237527567739863,-0.235950280673617,-0.24,-0.237674418604651,0.0626324762219648,0.0644697465631722,0.0644697465631722,0.0644697465631722,-0.24,0.161463260753895,0.181633484948262,-0.133333333333333,0.15,-0.233333333333333,0.151144688644689,-0.17347660404112
"Wnt",0.155708502024292,0.185507246376812,0.133333333333333,0.1,-0.0411442006269592,0.1,0.0656410256410257,0.0566487775790101,0.058974358974359,0.05,0.10974025974026,0.096078431372549,0,0.0666666666666667,0.124166666666667,0.1,0.0866666666666667,0.0666666666666667,0.0666666666666667,0.153259803921569,0.0883540372670808,0.211176470588235,0.1,-0.250980392156863,0.18452380952381,0.142857142857143,0.1,-0.331313559322034,0.0939393939393939,0.336810344827586,-0.288989898989899,-0.3955912105204,0.287565758010521,0.287565758010521,0.286842105263158,0.322580042822287,0.25,0.304699248120301,0.3,0.286842105263158,0.25,0.2,0.2,0.131134654818865,0.0902255639097744,0.0902255639097744,0.0902255639097744,0.1,-0.0116082130792821,0.31030303030303,-0.1,0,0,-0.0954545454545455,-0.095
"SOSGRB2",0.285164835164835,0.301744213233575,0.261318681318681,0.222857142857143,-0.106960837199266,0.192857142857143,0.242897727272727,0.242852846078653,0.236559139784946,0.233333333333333,0.276262308820448,0.296852696852697,0.2,0.260489060489061,0.233845029239766,0.219047619047619,0.204678362573099,0.252380952380952,0.188888888888889,0.321916064423753,0.24234328358209,0.310231884057971,0.2,-0.271842105263158,0.277888308874224,0.23986013986014,0.209090909090909,-0.427796497796498,-0.0402777777777778,0.580967323426469,-0.317740419788592,-0.487700604511515,0.301842105263158,0.301842105263158,0.271790890269151,0.324406185469493,0.229761904761905,0.300505611855726,0.171428571428571,0.269979296066253,0.227950310559006,0.1,0.171428571428571,0.109495871360278,0.072316384180791,0.072316384180791,0.072316384180791,0.1,0.0687690013193369,0.288792629262926,-0.2,-0.2,0,-0.257657657657658,-0.317690058479532
"Frizzled",0.197568967140571,0.226459627329193,0.185507246376812,0.133333333333333,-0.0502351097178683,0.1,0.0635133660665576,0.0613216747752718,0.0566487775790101,0.0954545454545455,0.119417679095098,0.140522875816993,0.05,0.096078431372549,0.149166666666667,0.0666666666666667,0.124166666666667,0.0666666666666667,0.0866666666666667,0.162350713012478,0.102639751552795,0.234985994397759,0.0666666666666667,-0.284313725490196,0.213935574229692,0.18452380952381,0.142857142857143,-0.360202448210923,0.121212121212121,0.362362395300772,-0.324927398989899,-0.428458343387533,0.322219223357056,0.322219223357056,0.304699248120301,0.341151471393716,0.286842105263158,0.322580042822287,0.25,0.304699248120301,0.286842105263158,0.3,0.25,0.15239449733855,0.131134654818865,0.131134654818865,0.131134654818865,0.2,0.00138913440082404,0.338210007047216,-0.1,0,0.1,-0.10974025974026,-0.123571428571429
"CD44",0.278333333333333,0.272777777777778,0.245,0.22,-0.0648809523809524,0.2,0.204093567251462,0.189455782312925,0.183333333333333,0.15,0.177272727272727,0.335,0.1,0.305,0.193333333333333,0.3,0.2,0.325,0.2,0.176410256410256,0.259303561935141,0.27956043956044,0.2,-0.198412698412698,0.190977443609023,0.185714285714286,0.2,-0.102362637362637,-0.030952380952381,0.40013764013764,-0.341563460693895,-0.226217023124525,0.326984126984127,0.326984126984127,-0.00333333333333333,0.0731604054859869,-0.05,0.0408527131782946,-0.1,-0.00333333333333333,0.05,0,0,0.0180952380952381,-0.019047619047619,-0.019047619047619,-0.019047619047619,0.1,-0.0428898832260177,-0.04,-0.1,-0.1,0.1,-0.15,-0.351111111111111
"HEY1",0.383032533440882,0.368059127864006,0.33830303030303,0.307636363636364,-0.322436110605804,0.263636363636364,0.111306340718105,0.105159420289855,0.0906666666666667,0.266666666666667,0.324798387096774,0.360835768234192,0.233333333333333,0.328877005347594,0.336190476190476,0.2,0.302857142857143,0.281818181818182,0.26,0.354196538094589,0.323948147759154,0.407986928104575,0.2,-0.262962962962963,0.374255413604301,0.342296650717703,0.305454545454545,-0.592081001654172,0.28138936535163,0.464333025702278,-0.355258445258445,-0.671456609576128,0.346646026831785,0.346646026831785,0.353897196408636,0.393981889190131,0.326310989512084,0.375675538007067,0.296078431372549,0.353267511251214,0.326310989512084,0.266666666666667,0.296078431372549,0.390452488687783,0.366923076923077,0.366923076923077,0.366923076923077,0.266666666666667,0.34659980974303,0.40259545543053,-0.1,-0.2,0.233333333333333,-0.297916666666667,-0.319037311894455
"FOXC2",0.383032533440882,0.368059127864006,0.33830303030303,0.307636363636364,-0.322436110605804,0.263636363636364,0.111306340718105,0.105159420289855,0.0906666666666667,0.266666666666667,0.324798387096774,0.360835768234192,0.233333333333333,0.328877005347594,0.336190476190476,0.2,0.302857142857143,0.281818181818182,0.26,0.354196538094589,0.323948147759154,0.407986928104575,0.2,-0.262962962962963,0.374255413604301,0.342296650717703,0.305454545454545,-0.592081001654172,0.28138936535163,0.464333025702278,-0.355258445258445,-0.671456609576128,0.346646026831785,0.346646026831785,0.353897196408636,0.393981889190131,0.326310989512084,0.375675538007067,0.296078431372549,0.353267511251214,0.326310989512084,0.266666666666667,0.296078431372549,0.390452488687783,0.366923076923077,0.366923076923077,0.366923076923077,0.266666666666667,0.34659980974303,0.40259545543053,-0.1,-0.2,0.233333333333333,-0.297916666666667,-0.319037311894455
"DSH",0.216183685755289,0.244926526283896,0.226459627329193,0.185507246376812,-0.0611399821076595,0.133333333333333,0.0705309099262067,0.0722650710016869,0.0613216747752718,0.10974025974026,0.128620133082828,0.172853702884663,0.0954545454545455,0.140522875816993,0.168706896551724,0.0666666666666667,0.149166666666667,0.096078431372549,0.124166666666667,0.174753813787672,0.112204968944099,0.251298051135348,0.0866666666666667,-0.316352560441652,0.232816693110811,0.213935574229692,0.18452380952381,-0.385997501214456,0.152919438285292,0.38436472358948,-0.351756667282582,-0.45470944084144,0.347416073750757,0.347416073750757,0.32234630694383,0.35744710808116,0.304699248120301,0.341151471393716,0.286842105263158,0.322580042822287,0.304699248120301,0.25,0.286842105263158,0.167800659803536,0.15239449733855,0.15239449733855,0.15239449733855,0.25,0.0143662336374653,0.359728994388988,-0.0666666666666667,-0.05,0.2,-0.119417679095098,-0.139655344655345
"RAF",0.27736516357206,0.304663996439697,0.24952380952381,0.206666666666667,-0.127226162332545,0.2,0.159581881533101,0.154744912873829,0.153754813863928,0.14,0.208590163934426,0.213873807776963,0.1,0.173448275862069,0.143668831168831,0.17,0.0982142857142857,0.17,0.0857142857142857,0.256392998625596,0.208244976738681,0.362240047534165,0.1,-0.316021042563367,0.201320901320901,0.147474747474747,0.111111111111111,-0.468064703358821,0.0533968253968254,0.618219385673486,-0.362764484309021,-0.533433213807597,0.354021042563367,0.354021042563367,0.316153846153846,0.368817856845177,0.27,0.344644828855355,0.2,0.314574898785425,0.268421052631579,0.1,0.2,0.0758186258186258,0.0305194805194805,0.0305194805194805,0.0305194805194805,0.1,0.037275746535548,0.334739803094233,-0.1,-0.1,0,-0.184,-0.215686274509804
"cMet",0.307447257383966,0.304692671394799,0.272777777777778,0.245,-0.0842357910906298,0.22,0.209975920192638,0.191273964131107,0.189455782312925,0.15,0.192897727272727,0.340454545454545,0.15,0.335,0.212083333333333,0.325,0.193333333333333,0.305,0.2,0.200323299888517,0.279642544985988,0.316639091245833,0.2,-0.226984126984127,0.218637018077108,0.190977443609023,0.185714285714286,-0.1390174416331,-0.00428571428571429,0.433714282473406,-0.371250960693895,-0.264639414982031,0.362337662337662,0.362337662337662,0.0421212121212121,0.0980191625481338,-0.00333333333333333,0.0731604054859869,-0.05,0.0408527131782946,-0.00333333333333333,-0.1,0.05,0.0426235399820305,0.0180952380952381,0.0180952380952381,0.0180952380952381,0,-0.0212682616043961,0.00285714285714285,-0.2,-0.1,0.1,-0.177272727272727,-0.373333333333333
"cateninnuc",0.384139669074095,0.369735383423984,0.350521409624858,0.324659340659341,-0.303710722857505,0.295428571428571,0.123819595487239,0.109897226011824,0.102666666666667,0.18792349726776,0.216676254409264,0.366062523427471,0.163333333333333,0.344961605996279,0.337293560606061,0.297101449275362,0.320106060606061,0.320910973084886,0.298106060606061,0.246423226807549,0.320931896485193,0.317091124768517,0.270833333333333,-0.290081211789397,0.37025119145734,0.352069373275522,0.328813559322034,-0.406311257160665,0.258280430599359,0.460565434640448,-0.376515024673717,-0.487762477071609,0.368739361769865,0.368739361769865,0.252778182706712,0.17810749193148,0.23696790602687,0.265928535842001,0.217402688635565,0.251813524639612,0.235940508766596,0.191375291375291,0.216375291375291,0.372859757859758,0.359055044055044,0.359055044055044,0.359055044055044,0.191375291375291,0.325690329255718,0.393981889190131,-0.233333333333333,-0.133333333333333,0.160606060606061,-0.204693683603163,-0.336450769247295
"SRC",0.19265639589169,0.178102453102453,0.159920634920635,0.136111111111111,-0.03004329004329,0.111111111111111,0.101183382985766,0.0927098150782361,0.0864035087719298,0.0533333333333333,0.0658605664488018,0.210920526014866,0.0333333333333333,0.193939393939394,0.128632478632479,0.166666666666667,0.123076923076923,0.193939393939394,0.1,0.0697471183251,0.111827368150957,0.171522041177214,0.1,-0.251550387596899,0.118095238095238,0.103809523809524,0.08,-0.0406320161652447,-0.0271428571428571,0.139611301480962,-0.371790367442541,-0.190889638683756,0.368867924528302,0.368867924528302,-0.0236885245901639,0.00914554536127383,-0.045,-0.00539584166333467,-0.075,-0.0236885245901639,-0.045,-0.1,-0.075,0.024333067849964,0.0106967042136003,0.0106967042136003,0.0106967042136003,0,0.0148861283643892,-0.0799226486463513,-0.1,-0.0333333333333333,0,-0.057037037037037,-0.205637015314435
"SNAI2",0.420061231454513,0.407324758219899,0.373784385549091,0.333613445378151,-0.362833188541869,0.276470588235294,0.116169379144063,0.112087517128288,0.0934272300469483,0.301176470588235,0.365447812927988,0.390911499735029,0.26,0.349019607843137,0.366483174075613,0.2,0.326724137931034,0.288235294117647,0.275,0.401762028014479,0.359876562396726,0.4447637389003,0.2,-0.284038461538462,0.413118022328549,0.376754385964912,0.332894736842105,-0.637105914173758,0.323799864773496,0.710377886140621,-0.380926764645645,-0.807332750365633,0.372397944199706,0.372397944199706,0.402974962071897,0.448351362454927,0.373563197366014,0.427543909038778,0.341168831168831,0.40259545543053,0.373563197366014,0.305454545454545,0.341168831168831,0.432927982752737,0.40598734348333,0.40598734348333,0.40598734348333,0.305454545454545,0.389604245836132,0.447100565604419,-0.1,-0.2,0.26,-0.335870348139256,-0.347320512820513
"SHH",0.35,0.44,0.4,0.3,-0.256410256410256,0.2,0.0666666666666667,0.1,0.0666666666666667,0.3,0.253333333333333,0.3,0.2,0.2,0.15,0,0.1,0.1,0,0.162857142857143,0.283333333333333,0.2,0,-0.3,0.233333333333333,0.2,0.1,-0.299068100358423,0.25,0.36727969348659,-0.383333333333333,-0.341666666666667,0.375,0.375,0.25,0.241111111111111,0.2,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.303846153846154,0.25,0.25,0.25,0.1,0.272987012987013,0.276190476190476,0,-0.2,0,-0.333333333333333,-0.26
"MEK",0.320608406815303,0.348459616877654,0.304663996439697,0.24952380952381,-0.144179479285862,0.206666666666667,0.161400063351283,0.16175598298453,0.154744912873829,0.184,0.224930033215472,0.162207141110296,0.14,0.213873807776963,0.175433537051184,0.17,0.143668831168831,0.173448275862069,0.0982142857142857,0.274425785510842,0.230039848533553,0.394840780134898,0.0857142857142857,-0.351315160210426,0.238547178693164,0.201320901320901,0.147474747474747,-0.503186654578333,0.0867301587301587,0.650579482997087,-0.400844979665058,-0.573323924190111,0.392909931452256,0.392909931452256,0.346223776223776,0.390750942347036,0.316153846153846,0.368817856845177,0.27,0.344644828855355,0.314574898785425,0.2,0.268421052631579,0.106612276612277,0.0758186258186258,0.0758186258186258,0.0758186258186258,0.2,0.0561041984183932,0.374379442733873,-0.1,-0.1,0.1,-0.208590163934426,-0.247265221878225
