"","FOXC2","TGF","TGFR","CDC42","PAK1","KLF4","miR200","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","cateninmemb","SOSGRB2","SNAI2","Ecadherin","RAS","RAF","PI3K","DELTA","GSK3","GLI","Wnt","cateninnuc","TCFLEF","Frizzled","CD44","cMet","DSH","SRC","STAT","ZEB2","ZEB1","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Frizzled",0.211239996233876,0.236521739130435,0.203188405797101,0.146666666666667,0.1,-0.0507002801120448,0.0397443181818182,0.164052287581699,0.115769496204279,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.116191872643486,0.161666666666667,0.136666666666667,0.0866666666666667,0.0954545454545455,0.236036414565826,0.05,0.0666666666666667,0.154080510992276,0.218347338935574,0.192857142857143,0.142857142857143,-0.333677697067528,0.127272727272727,0.353745512890243,-0.386979123682507,0.164179955974403,0.14606971975393,0.14606971975393,0.14606971975393,-0.0858777429467085,0.290601503759398,0.276315789473684,0.325253033245365,0.307157795150127,0.25,0.290601503759398,0.276315789473684,0.3,0.25,0.2,0.0662428796681677,0.0662428796681677,0.326892177589852,-0.1,0,0.1,-0.0198107300146506,-0.10974025974026,-0.141428571428571
"DSH",0.225525710519591,0.250807453416149,0.236521739130435,0.203188405797101,0.146666666666667,-0.0613798917625302,0.0360857815964523,0.190368077055384,0.128812974465148,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0763983808235878,0.0631908336537765,0.125394326631216,0.174310344827586,0.161666666666667,0.136666666666667,0.10974025974026,0.250220811728947,0.0954545454545455,0.0866666666666667,0.16648361176747,0.231634052222288,0.218347338935574,0.192857142857143,-0.357352608728305,0.15410199556541,0.37458369682505,-0.408313627633341,0.182947462977204,0.164179955974403,0.164179955974403,0.164179955974403,-0.100494912320258,0.306941373040444,0.290601503759398,0.340302009202622,0.325253033245365,0.276315789473684,0.307157795150127,0.290601503759398,0.25,0.276315789473684,0.25,0.0709672891169866,0.0709672891169866,0.345879519362004,-0.0666666666666667,-0.05,0.2,-0.00893286741923076,-0.116191872643486,-0.157512487512488
"Destcompl",0.0549090591695193,0.0229260342975666,0.0277536205044631,0.0272273047149894,0.0210204081632653,-0.0842820880677453,0.037352244121523,0.0512389816726816,0.0930263640063337,0.0625641025641026,0.0529267453857618,0.0534731934731935,0.00964317733548503,0.0137635756056809,0.0134126984126984,-0.122025619247915,0.0443091221614712,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.0442371281843714,-0.111877394636015,0.0523809523809524,-0.190174477315883,-0.062563191404352,-0.0571523697610654,-0.0549784567175871,0.227200872714189,-0.0622669800230309,-0.239592056542242,0.0697303489510453,-0.00221740429312648,0.000137383775947303,0.000137383775947303,0.000137383775947303,-0.0854938788301916,-0.19295259271524,-0.189056488819136,-0.194505648122804,-0.193689737872932,-0.18311589475973,-0.192319874859233,-0.188588531575651,-0.181746031746032,-0.18311589475973,-0.181746031746032,0.0737332790038618,0.0737332790038618,-0.244778682272315,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0242100643218811,0.1175768765013,-0.120927546640674
"SHH",0.35,0.44,0.4,0.3,0.2,-0.1,0.05,0.3,0.283333333333333,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.1,0,0.3,0.2,0.2,0,0.162857142857143,0.233333333333333,0.2,0.1,-0.292616487455197,0.25,0.36727969348659,-0.323611111111111,0.303846153846154,0.25,0.25,0.25,-0.271794871794872,0.25,0.2,0.235555555555556,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.1,0.075,0.075,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.253049941927991,0.270526542324247,0.233941176470588,0.177941176470588,0.125,-0.0763157894736842,0.0431244209932734,0.192441566790651,0.170503220611916,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.129273504273504,0.276018099547511,0.252941176470588,0.2,0.1,0.269189605041351,0.05,0.166666666666667,0.174736842105263,0.23287841191067,0.203846153846154,0.15,-0.367858998580446,0.163461538461538,0.382945783213314,-0.42728697350978,0.208243847476724,0.18221645021645,0.18221645021645,0.18221645021645,-0.178607503607504,0.317762913415087,0.294685990338164,0.360621553988213,0.339796811720172,0.255555555555556,0.317762913415087,0.294685990338164,0.2,0.255555555555556,0.2,0.0883632763685347,0.0883632763685347,0.347238095238095,-0.2,0,0.1,-0.0294091284657944,-0.115384615384615,-0.165481577246283
"ILK",0.253049941927991,0.270526542324247,0.233941176470588,0.177941176470588,0.125,-0.0763157894736842,0.0431244209932734,0.192441566790651,0.170503220611916,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.129273504273504,0.276018099547511,0.252941176470588,0.2,0.1,0.269189605041351,0.05,0.166666666666667,0.174736842105263,0.23287841191067,0.203846153846154,0.15,-0.367858998580446,0.163461538461538,0.382945783213314,-0.42728697350978,0.208243847476724,0.18221645021645,0.18221645021645,0.18221645021645,-0.178607503607504,0.317762913415087,0.294685990338164,0.360621553988213,0.339796811720172,0.255555555555556,0.317762913415087,0.294685990338164,0.2,0.255555555555556,0.2,0.0883632763685347,0.0883632763685347,0.347238095238095,-0.2,0,0.1,-0.0294091284657944,-0.115384615384615,-0.165481577246283
"ZEB2",-0.234270396270396,-0.220608809180238,-0.216376004947434,-0.207532467532468,-0.194805194805195,-0.185052586358332,-0.182115078812359,-0.163613055060941,-0.159155943969766,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.128023439974659,-0.126767912772586,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.117875017528538,-0.114285714285714,-0.111111111111111,-0.103258416332788,-0.0953829340058848,-0.0937435897435897,-0.0897435897435897,-0.0702842365640481,-0.066996336996337,-0.0360259925291706,-0.0337809511699285,-0.0121730303957285,-0.00896103896103896,-0.00896103896103896,-0.00896103896103896,0.00374776712260279,0.0616616411111824,0.0634965034965035,0.0635654686581299,0.0660330011256624,0.0660606060606061,0.0688499025341131,0.0707017543859649,0.0727272727272727,0.0733333333333333,0.08,0.092182349688597,0.092182349688597,0.0998638121163074,0.1,0.1,0.1,0.124932358533015,0.125296167247387,0.176376811594203
"STAT",0.21054533060668,0.200704412546518,0.189593301435407,0.165909090909091,0.140909090909091,0.00431768667062785,0.0507679756226236,0.205743200506009,0.139449689737976,0.2,0.191764705882353,0.18,0.0586666666666667,0.0649619634627131,0.0615136876006441,0.0546316114426837,0.0393704600484261,0.0342857142857143,0.02,0.045,0.0623366887984579,0.025,0,0.0492460303591608,0.0217934667963223,0.0149973502914679,-0.00392156862745098,-0.0123702853742768,-0.0103858784893268,0.0803931759518588,-0.130762999238578,-0.0486872399787662,-0.0568961952026468,-0.0568961952026468,-0.0568961952026468,0.0570850022251891,-0.0171695951107716,-0.023051948051948,-0.00365063424539742,-0.0104444363908086,-0.0321428571428571,-0.0170690420690421,-0.023051948051948,-0.0571428571428571,-0.0321428571428571,-0.0571428571428571,0.0930159584005738,0.0930159584005738,-0.0668797868797869,0,0,0,-0.0833828567315755,-0.0519767441860465,-0.167073680823681
"AKT",0.27335069380769,0.291372463774398,0.270526542324247,0.233941176470588,0.177941176470588,-0.0840080971659919,0.044193939709851,0.220289668056473,0.190302719358783,0.0952380952380952,0.192441566790651,0.148179271708683,0.0875742731867506,0.0923497091765999,0.0798917967186875,0.144010346378767,0.193189816719228,0.276018099547511,0.252941176470588,0.115384615384615,0.289678901677437,0.1,0.2,0.191955385151621,0.252390607032621,0.23287841191067,0.203846153846154,-0.395279997561078,0.19457264957265,0.40817191386658,-0.453499094721901,0.232099269163471,0.208243847476724,0.208243847476724,0.208243847476724,-0.196752664897826,0.339550622912294,0.317762913415087,0.37754463091129,0.360621553988213,0.294685990338164,0.339796811720172,0.317762913415087,0.255555555555556,0.294685990338164,0.255555555555556,0.0986372489712744,0.0986372489712744,0.372869864191164,-0.166666666666667,-0.05,0.2,-0.0162577637015264,-0.129273504273504,-0.187220707681066
"Csn",0.245717245870582,0.268915266450264,0.247674216330933,0.206648575305292,0.145454545454545,-0.0904302233713998,0.050222178340719,0.242597402597403,0.156203878792941,0.106666666666667,0.209264069264069,0.161212121212121,0.0753737541528239,0.0823617387046469,0.0687370600414079,0.131817075339021,0.202566666666667,0.184166666666667,0.155,0.108513708513709,0.277818295153499,0.0873015873015873,0.105,0.169776101574769,0.252708402708403,0.233477633477634,0.201010101010101,-0.391207942654196,0.168592182635766,0.413554496694195,-0.440777692310863,0.219124697957355,0.195900129819159,0.195900129819159,0.195900129819159,-0.134950176588561,0.344730283882103,0.325079628860269,0.383156903688041,0.365658406995317,0.304597701149425,0.345079628860269,0.325079628860269,0.266666666666667,0.304597701149425,0.266666666666667,0.100411910669975,0.100411910669975,0.381440431224426,-0.18,-0.0428571428571429,0.2,0.0303957259144893,-0.120341665502956,-0.176176040107916
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,-0.095970695970696,0.0699108138238573,0.252190476190476,0.293560927339553,0.1,0.178857142857143,0.142857142857143,0.181940144478844,0.18578795379538,0.172916666666667,0.2557343550447,0.321042471042471,0.264285714285714,0.314285714285714,0.18,0.529607843137255,0.12,0.3,0.283289597000937,0.362914862914863,0.307359307359307,0.245454545454545,-0.549916526676303,0.301890756302521,0.654118243949026,-0.649805298917888,0.377781754045142,0.334119782214156,0.334119782214156,0.334119782214156,-0.222307692307692,0.37008547008547,0.331623931623932,0.425481307888517,0.398899029407504,0.277777777777778,0.37008547008547,0.331623931623932,0.2,0.277777777777778,0.2,0.117749373433584,0.117749373433584,0.399285714285714,-0.2,-0.1,0.1,0.134072216085647,-0.228148148148148,-0.277322404371585
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,-0.105555555555556,0.0721212121212121,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0,0.0333333333333333,0.285,0,0,0.156969696969697,0.231428571428571,0.16,0.1,-0.385439912200476,0.12,0.422171945701357,-0.440561403508772,0.243636363636364,0.18,0.18,0.18,-0.229501915708812,0.253846153846154,0.2,0.314652014652015,0.287179487179487,0.1,0.253846153846154,0.2,0,0.1,0,0.118599033816425,0.118599033816425,0.27,0,0,0,0.284432432432432,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,-0.105555555555556,0.0721212121212121,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0,0.0333333333333333,0.285,0,0,0.156969696969697,0.231428571428571,0.16,0.1,-0.385439912200476,0.12,0.422171945701357,-0.440561403508772,0.243636363636364,0.18,0.18,0.18,-0.229501915708812,0.253846153846154,0.2,0.314652014652015,0.287179487179487,0.1,0.253846153846154,0.2,0,0.1,0,0.118599033816425,0.118599033816425,0.27,0,0,0,0.284432432432432,-0.0833333333333333,-0.235897435897436
"AXIN2",0.110132217509267,0.0638681306675407,0.0638681306675407,0.0647530864197531,0.0783333333333333,-0.132522335282922,0.0708038745834224,0.111846180853043,0.154153480194687,0.153333333333333,0.117363422232353,0.131382113821138,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.15409550831682,0.101497584541063,0.104830917874396,0.109178743961353,-0.152930402930403,-0.0393441349425122,-0.157692307692308,0.122222222222222,-0.222697742915134,-0.054339057102215,-0.052312030075188,-0.0505263157894737,0.260095410516793,-0.0772774023545412,-0.280995964425391,0.0797652520338914,0.0647578534937879,0.0689573285594047,0.0689573285594047,0.0689573285594047,-0.168852040916114,-0.241448003510312,-0.237674418604651,-0.246983610936388,-0.244778682272315,-0.237674418604651,-0.241144450150392,-0.237674418604651,-0.24,-0.237674418604651,-0.24,0.124171339824587,0.124171339824587,0.178949722039297,-0.133333333333333,0.15,-0.233333333333333,0.156789605591599,0.151144688644689,-0.178657587931781
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,-0.108333333333333,0.0697106690777577,0.393240093240093,0.363364055299539,0.2,0.353846153846154,0.3,0.128937728937729,0.134285714285714,0.12,0.324166666666667,0.236857142857143,0.192857142857143,0.15,0.253333333333333,0.281917211328976,0.333333333333333,0.1,0.235740740740741,0.323787878787879,0.278787878787879,0.233333333333333,-0.3804805651251,0.255263157894737,0.452993979200876,-0.41167760342652,0.380154293381038,0.347596153846154,0.347596153846154,0.347596153846154,-0.33328354493403,0.338888888888889,0.3,0.288960913610888,0.265652642934196,0.25,0.235555555555556,0.196666666666667,0.2,0.15,0.1,0.125141242937853,0.125141242937853,0.363024331989849,0,-0.3,0.1,0.314668587226727,-0.290833333333333,-0.352857142857143
"SRC",0.406377217553688,0.396915584415584,0.369642857142857,0.345833333333333,0.333333333333333,-0.0227390180878553,0.0687834870443566,0.333142748237088,0.305209791429629,0.3,0.316161616161616,0.327272727272727,0.126804038397881,0.113934329065908,0.109429824561404,0.0924400871459695,0.168803418803419,0.157692307692308,0.15,0.0533333333333333,0.250257673361122,0.0333333333333333,0.15,0.101677840508116,0.165238095238095,0.143809523809524,0.12,-0.0721800628648406,0.00857142857142857,0.192693926019812,-0.214375477463713,0.210445253536618,0.187717980809345,0.187717980809345,0.187717980809345,-0.145108225108225,0.0178688524590164,-0.01,0.0531419468006981,0.0386005597760896,-0.05,0.0178688524590164,-0.01,-0.1,-0.05,0,0.131955675351902,0.131955675351902,-0.0401419524841685,-0.1,-0.0333333333333333,0,-0.0923176461219939,-0.0718518518518519,-0.405408927989573
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,-0.120946915351506,0.0538602219778174,0.227666911225238,0.22073762506942,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.110714285714286,0.0857142857142857,0.14,0.369964349376114,0.1,0.1,0.254242460991188,0.21041181041181,0.156565656565657,0.111111111111111,-0.449213919802155,0.0613968253968254,0.616226030191758,-0.502770962398081,0.0911449661449661,0.050974025974026,0.050974025974026,0.050974025974026,-0.161544523246651,0.312307692307692,0.27,0.358231369541132,0.336602870813397,0.2,0.310728744939271,0.268421052631579,0.1,0.2,0.1,0.134946915351506,0.134946915351506,0.332208157524613,-0.1,-0.1,0,0.0152651304424209,-0.184,-0.226050420168067
"NFB",0.542029745376359,0.572229893875463,0.529191919191919,0.469191919191919,0.405555555555556,-0.109432234432234,0.074442535878238,0.306438842203548,0.321780105421745,0.142857142857143,0.252190476190476,0.178857142857143,0.198011573050273,0.199542600635528,0.18578795379538,0.27862592130976,0.358820248820249,0.321042471042471,0.264285714285714,0.228148148148148,0.562306255835668,0.18,0.314285714285714,0.30631117973475,0.400979379043895,0.362914862914863,0.307359307359307,-0.58909287303322,0.336627598407784,0.689484097607562,-0.691378332625754,0.409622550065043,0.377781754045142,0.377781754045142,0.377781754045142,-0.247797888386124,0.399298953231537,0.37008547008547,0.449402876515968,0.425481307888517,0.331623931623932,0.398899029407504,0.37008547008547,0.277777777777778,0.331623931623932,0.277777777777778,0.138055886843546,0.138055886843546,0.435455927051672,-0.3,-0.12,0.2,0.152012415421195,-0.2557343550447,-0.315783942833123
"NOTCH",0.372040816326531,0.389620071684588,0.331555555555555,0.255555555555556,0.2,-0.118599033816425,0.0835497835497836,0.350952380952381,0.293717948717949,0.2,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.145324283559578,0.133333333333333,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.327372881355932,0.0333333333333333,0,0.179191919191919,0.179815668202765,0.231428571428571,0.16,-0.427848289163826,0.167368421052632,0.462912686442098,-0.488948500282966,0.28566534914361,0.243636363636364,0.243636363636364,0.243636363636364,-0.263592824799721,0.287179487179487,0.253846153846154,0.341182626896913,0.314652014652015,0.2,0.287179487179487,0.253846153846154,0.1,0.2,0.1,0.148228663446055,0.148228663446055,0.317169811320755,0,0,0,0.306862338974489,-0.121794871794872,-0.28762157382847
"FUS",0.470852994555354,0.564271612037569,0.52490990990991,0.481666666666667,0.44,-0.116530054644809,0.0806017581866686,0.431171127722852,0.390722545865577,0.3,0.393240093240093,0.353846153846154,0.144879757923236,0.145253456221198,0.134285714285714,0.34739898989899,0.271472527472527,0.236857142857143,0.192857142857143,0.290833333333333,0.315948624941541,0.253333333333333,0.15,0.259837126282909,0.360151515151515,0.323787878787879,0.278787878787879,-0.413441458979849,0.274493927125506,0.485130424443246,-0.447841986988163,0.407665210411605,0.380154293381038,0.380154293381038,0.380154293381038,-0.355691571689883,0.36965811965812,0.338888888888889,0.308797870132627,0.288960913610888,0.3,0.265652642934196,0.235555555555556,0.25,0.196666666666667,0.15,0.149067623305951,0.149067623305951,0.397185822673079,-0.1,-0.333333333333333,0.1,0.329997054380011,-0.324166666666667,-0.393063328424153
"cfos",0.391279633804741,0.40751209574739,0.371148459383754,0.314285714285714,0.242857142857143,-0.13831746031746,0.0715983363042187,0.385674281503316,0.305576195955943,0.32,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.148153837401149,0.152412280701754,0.120833333333333,0.0833333333333333,0.10952380952381,0.335064935064935,0.0761904761904762,0.0333333333333333,0.182916666666667,0.195128205128205,0.162820512820513,0.116666666666667,-0.454106573725183,0.1875,0.496320346320346,-0.500645019094068,0.313373452361975,0.280446623093682,0.280446623093682,0.280446623093682,-0.28525974025974,0.319649122807018,0.293333333333333,0.368695527210379,0.346102934617786,0.26,0.32036036036036,0.293333333333333,0.2,0.26,0.2,0.149404281486606,0.149404281486606,0.355435139573071,0,-0.0333333333333333,0.1,0.329350260159389,-0.1321044546851,-0.313123543123543
