"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","TWIST1","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","KLF4","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","Destcompl","TrCP","SUFU","LIV1","Patched","RKIP"
"Destcompl",0.0518472292850088,0.00997223081590278,0.0139270330757898,0.0157320872274143,0.0166666666666667,0.0476269538478101,0.0973922928334501,0.0550453514739229,0.0845238095238095,0.066156462585034,0.0105478937986678,0.0143125933088895,0.0159203103506901,-0.134945122023916,0.04733915979199,0.0558297258297258,-0.0621961583144073,0.0653535353535354,-0.129333333333333,-0.129333333333333,-0.214907973259986,0.0709090909090909,-0.0795578574734198,-0.074795952711515,-0.0711988304093567,-0.0843105393816294,0.228676983355095,0.228676983355095,-0.24523425499232,-0.280058961466129,0.250381621842166,-0.0199391719391719,-0.0173937173937174,-0.0173937173937174,-0.0173937173937174,0.064763816299858,-0.242479363828315,-0.0856657827719832,-0.238947752355485,-0.238455228981545,-0.238108698198353,-0.237402597402597,-0.237508698198353,-0.236712942230184,-0.237402597402597,-0.237402597402597,-0.242857142857143,-0.242857142857143,-0.302322926727345,-0.04764660955425,-0.08,0.133333333333333,-0.247619047619048,0.132073059360731,-0.13597618920912
"AXIN2",0.118444522688032,0.0567491469907208,0.0607850214301827,0.0684773291224904,0.0878321678321678,0.127420914510297,0.179063465766495,0.140264951207545,0.167692307692308,0.155927601809955,0.0220572381547991,0.0221840780006957,0.0263077893409019,-0.172536688395779,0.114701960919303,0.122615629984051,-0.0553477997692971,0.128070175438597,-0.169369369369369,-0.166666666666667,-0.258336931856669,0.133333333333333,-0.070869952131143,-0.0660241371531694,-0.0592059553349876,-0.0967624259005928,0.294435328870757,0.294435328870757,-0.304419203201931,-0.33058375195096,0.291274063480907,0.060398470464135,0.068210970464135,0.068210970464135,0.068210970464135,0.0747474187715102,-0.309850548819546,-0.207052624758943,-0.302819821137283,-0.302424242424242,-0.302322926727345,-0.302424242424242,-0.301995057874886,-0.302424242424242,-0.302424242424242,-0.302424242424242,-0.293333333333333,-0.293333333333333,0.117981041806394,0.175508288066933,-0.133333333333333,0.15,-0.26,0.170444638186574,-0.215182251376942
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.295454545454545,0.2,0,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.1,0.2,0,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,0.375,0.375,-0.3,0.365555555555556,-0.297777777777778,0.316666666666667,0.25,0.25,0.25,-0.341666666666667,-0.383333333333333,-0.323636363636364,0.234033613445378,0.25,0.192857142857143,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0.351709401709402,0,-0.2,0,-0.333333333333333,-0.26
"HEY1",0.414229559748428,0.389723320158103,0.352766798418972,0.313636363636364,0.263636363636364,0.382512626262626,0.385269841269841,0.338068181818182,0.2,0.281818181818182,0.112335500237831,0.107945736434109,0.0916666666666667,0.320698924731183,0.354,0.31,0.42112077294686,0.26,0.266666666666667,0.233333333333333,0.345715432470399,0.2,0.37989898989899,0.344343434343434,0.305454545454545,0.281907308377897,0.389294720252167,0.389294720252167,-0.287372549019608,0.457874646963831,-0.589119796909879,0.434193817878028,0.403492063492063,0.403492063492063,0.403492063492063,-0.678157527689547,-0.39612685560054,-0.449455342784295,0.382070669842596,0.341666666666667,0.362777591786631,0.316666666666667,0.340938511326861,0.316666666666667,0.291666666666667,0.291666666666667,0.266666666666667,0.266666666666667,0.393028440684279,0.456915311344176,-0.1,-0.2,0.233333333333333,-0.295698924731183,-0.366412966878083
"FOXC2",0.414229559748428,0.389723320158103,0.352766798418972,0.313636363636364,0.263636363636364,0.382512626262626,0.385269841269841,0.338068181818182,0.2,0.281818181818182,0.112335500237831,0.107945736434109,0.0916666666666667,0.320698924731183,0.354,0.31,0.42112077294686,0.26,0.266666666666667,0.233333333333333,0.345715432470399,0.2,0.37989898989899,0.344343434343434,0.305454545454545,0.281907308377897,0.389294720252167,0.389294720252167,-0.287372549019608,0.457874646963831,-0.589119796909879,0.434193817878028,0.403492063492063,0.403492063492063,0.403492063492063,-0.678157527689547,-0.39612685560054,-0.449455342784295,0.382070669842596,0.341666666666667,0.362777591786631,0.316666666666667,0.340938511326861,0.316666666666667,0.291666666666667,0.291666666666667,0.266666666666667,0.266666666666667,0.393028440684279,0.456915311344176,-0.1,-0.2,0.233333333333333,-0.295698924731183,-0.366412966878083
"SNAI2",0.446300620986147,0.425535251794731,0.384718925264119,0.337446197991392,0.276470588235294,0.408100218504668,0.417864457161582,0.355582232893157,0.2,0.288235294117647,0.116991341991342,0.114404918752745,0.0942028985507246,0.362450980392157,0.380860805860806,0.332142857142857,0.456132103808723,0.275,0.301176470588235,0.26,0.394693165969317,0.2,0.417659627124237,0.378349282296651,0.332894736842105,0.324313725490196,0.409228904711407,0.409228904711407,-0.303,0.705133793897078,-0.634512941878671,0.473240015623474,0.437240015623474,0.437240015623474,0.437240015623474,-0.812790093963477,-0.415701905098792,-0.484936131386861,0.437363216295157,0.393461877216787,0.416462315394256,0.367146087743103,0.393028440684279,0.367146087743103,0.338787878787879,0.338787878787879,0.305454545454545,0.305454545454545,0.440214893956081,0.50003395794728,-0.1,-0.2,0.26,-0.334509803921569,-0.389564676616915
"cateninnuc",0.431763670376327,0.404144590231547,0.380033918294788,0.350304188565058,0.314652014652015,0.404247110725842,0.39815661332962,0.378841705320437,0.309523809523809,0.347454844006568,0.130082593802082,0.118859860996871,0.1089072543618,0.213697519661222,0.367820672478207,0.347272727272727,0.339260416122118,0.32,0.182456140350877,0.159649122807018,0.240526023836693,0.28,0.38225221775256,0.361827814569536,0.336,0.258084940580557,0.438124988615872,0.438124988615872,-0.346873126873127,0.458347936301831,-0.410870360527093,0.433263119763476,0.412388802823585,0.412388802823585,0.412388802823585,-0.505078666331301,-0.445633314533693,-0.459645896903932,0.171207315582293,0.241205545509343,0.256520035188758,0.223586497890295,0.240099370982116,0.222396021699819,0.203333333333333,0.202142857142857,0.178333333333333,0.178333333333333,0.382070669842596,0.451369490256482,-0.233333333333333,-0.133333333333333,0.153333333333333,-0.199697519661222,-0.402490429507017
"STAT",0.217645951035782,0.211497030607583,0.193909090909091,0.165909090909091,0.140909090909091,0.206050420168067,0.147371455704789,0.191764705882353,0.2,0.18,0.0586666666666667,0.0650020596936674,0.0615136876006441,0.0637707641196013,0.0411822660098522,0.0342857142857143,0.0814067331816325,0.02,0.045,0.025,0.0698440693744561,0,0.0332740428255862,0.0204027556968733,-0.00392156862745098,-0.0069376026272578,0.441217984469518,0.441217984469518,-0.325586712900146,0.108509614940789,-0.0656926555322277,-0.0298021332133308,-0.0458515159293802,-0.0458515159293802,-0.0458515159293802,-0.2066059830988,-0.456840374590924,0.0379014423076923,0.0369812472057599,0.0153224631345806,0.0270595761874832,0.0012873754152824,0.0155730897009967,0.0012873754152824,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0396943772057872,-0.0495088016294142,0,0,0,-0.0566279069767442,-0.168461538461538
"RAF",0.415882352941176,0.437748917748918,0.375844155844156,0.327272727272727,0.3,0.333617463617464,0.346808510638298,0.293076923076923,0.17,0.27,0.165204678362573,0.166140159767611,0.159967320261438,0.20955710955711,0.176719576719577,0.128571428571429,0.46344298245614,0.1,0.133333333333333,0.1,0.261223973395026,0.1,0.223558897243108,0.161654135338346,0.114285714285714,0.0619047619047619,0.441873638344227,0.441873638344227,-0.393725490196078,0.650509944495837,-0.50989010989011,0.243058943089431,0.182083333333333,0.182083333333333,0.182083333333333,-0.578882802404629,-0.450116959064327,-0.378814409484724,0.426989322552221,0.3525,0.394785932721713,0.2875,0.351666666666667,0.286666666666667,0.2,0.2,0.1,0.1,0.364246682279469,0.426975638740345,-0.1,-0.1,0,-0.178787878787879,-0.344304993252362
"CD44",0.404761904761905,0.393333333333333,0.36,0.3,0.2,0.429444444444444,0.420833333333333,0.385,0.3,0.325,0.204093567251462,0.19822695035461,0.183333333333333,0.173809523809524,0.266666666666667,0.266666666666667,0.368234064785789,0.2,0.15,0.1,0.176666666666667,0.2,0.248739495798319,0.242857142857143,0.2,-0.00238095238095239,0.446130030959752,0.446130030959752,-0.288235294117647,0.431290322580645,-0.141862170087977,0.252,0.2,0.2,0.2,-0.289457588723886,-0.454909090909091,-0.375268817204301,0.120854472630174,-1.11022302462516e-17,0.0657142857142857,-0.0666666666666667,-1.11022302462516e-17,0.0333333333333333,-0.1,0,0,0.1,-0.05,-0.00525210084033614,-0.1,-0.1,0.1,-0.15,-0.454444444444445
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.22,0.1,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0.293,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,0.46207729468599,0.46207729468599,-0.405555555555556,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.472121212121212,-0.254700854700855,0.348776223776224,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0.34633431085044,0,0,0,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.22,0.1,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0.293,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,0.46207729468599,0.46207729468599,-0.405555555555556,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.472121212121212,-0.254700854700855,0.348776223776224,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0.34633431085044,0,0,0,-0.0833333333333333,-0.235897435897436
"SOSGRB2",0.436276083467095,0.453676012461059,0.396666666666667,0.346666666666667,0.3,0.417717086834734,0.449559192097892,0.372619047619048,0.276190476190476,0.347619047619048,0.266570972886762,0.268137035378415,0.257792207792208,0.294852635948526,0.363461538461538,0.325,0.467894736842105,0.3,0.227272727272727,0.2,0.351544281263907,0.3,0.407539682539683,0.353968253968254,0.311111111111111,-0.0255026455026455,0.4693515704154,0.4693515704154,-0.4193515704154,0.671172000514106,-0.528892967238106,0.445491154996512,0.381005173688101,0.381005173688101,0.381005173688101,-0.600145721129737,-0.478630380360171,-0.58985536270583,0.453736738211008,0.361965811965812,0.414833343955133,0.288888888888889,0.36131221719457,0.288235294117647,0.2,0.2,0.1,0.1,0.369971014492754,0.438146374378724,-0.2,-0.2,0,-0.260606060606061,-0.461737400530504
"Wnt",0.315584415584416,0.326923076923077,0.25,0.2,0.2,0.285714285714286,0.273776223776224,0.214285714285714,0.1,0.2,0.0833333333333333,0.0805383022774327,0.0761904761904762,0.116666666666667,0.193333333333333,0.133333333333333,0.285024154589372,0.1,0.0333333333333333,0,0.158080808080808,0.1,0.221428571428571,0.15,0.1,0.0666666666666667,0.47,0.47,-0.41,0.446469622331691,-0.435203366058906,0.336470588235294,0.26,0.26,0.26,-0.50908039329092,-0.48030303030303,-0.452380952380952,0.365985985985986,0.28,0.328148148148148,0.2,0.28,0.2,0.2,0.1,0.1,0,0.286666666666667,0.354166666666667,-0.1,0,0,-0.0833333333333333,-0.271428571428571
"MEK",0.468823529411765,0.492987012987013,0.437748917748918,0.375844155844156,0.327272727272727,0.290435645435645,0.388249952079739,0.333617463617464,0.27,0.293076923076923,0.172022860180755,0.176454061112902,0.166140159767611,0.235176944267853,0.212013694366636,0.176719576719577,0.5069836523126,0.128571428571429,0.178787878787879,0.133333333333333,0.288592394447658,0.1,0.269855193539404,0.223558897243108,0.161654135338346,0.093483709273183,0.490358486829075,0.490358486829075,-0.440066953610713,0.693864374875584,-0.555542283803153,0.296269952263743,0.243058943089431,0.243058943089431,0.243058943089431,-0.63009108779013,-0.497773209064327,-0.433576314246629,0.454009524572423,0.395619266055046,0.426989322552221,0.3525,0.394785932721713,0.351666666666667,0.2875,0.286666666666667,0.2,0.2,0.418364329338293,0.473546035852258,-0.1,-0.1,0.1,-0.20955710955711,-0.385971659919028
"RAS",0.447431693989071,0.460774270399047,0.399130434782609,0.36,0.3,0.382055137844612,0.475844155844156,0.35047619047619,0.26,0.293333333333333,0.170866970866971,0.17278232942256,0.165933014354067,0.192373583862946,0.259523809523809,0.216666666666667,0.492451535426317,0.2,0.109090909090909,0.1,0.237308422128156,0.2,0.288571428571429,0.228571428571429,0.2,0.0103785103785104,0.495618477854448,0.495618477854448,-0.439454094292804,0.626257246376812,-0.454842105263158,0.40615873015873,0.431555555555556,0.431555555555556,0.431555555555556,-0.528438879533973,-0.5016670991178,-0.571532091097309,0.392939903234021,0.288235294117647,0.349242424242424,0.2,0.287878787878788,0.2,0.1,0.1,0,0,0.291489361702128,0.36667117177997,-0.2,-0.1,0,-0.151948051948052,-0.477368421052632
"cMet",0.44014652014652,0.433593073593074,0.393333333333333,0.36,0.3,0.446111111111111,0.454166666666667,0.429444444444444,0.325,0.385,0.218379281537176,0.213078435503125,0.19822695035461,0.199233252623083,0.288095238095238,0.266666666666667,0.416179270265241,0.266666666666667,0.15,0.15,0.213252032520325,0.2,0.283739495798319,0.248739495798319,0.242857142857143,0.0119047619047619,0.497292821657427,0.497292821657427,-0.346130030959752,0.486268677559,-0.200878563530599,0.297679012345679,0.252,0.252,0.252,-0.344690146863421,-0.504909090909091,-0.42094782954998,0.163014751375818,0.0666666666666667,0.120854472630174,-1.11022302462516e-17,0.0657142857142857,-1.11022302462516e-17,-0.0666666666666667,0.0333333333333333,-0.1,0,0.0107843137254902,0.0489378432937421,-0.2,-0.1,0.1,-0.173809523809524,-0.493574879227053
"SMO",0.44551656920078,0.535652173913044,0.487826086956522,0.44,0.4,0.402233250620347,0.393124629331526,0.353846153846154,0.2,0.3,0.128937728937729,0.134754098360656,0.12,0.322261904761905,0.242857142857143,0.192857142857143,0.290875,0.15,0.253333333333333,0.333333333333333,0.234652014652015,0.1,0.32615629984051,0.278787878787879,0.233333333333333,0.255263157894737,0.497360248447205,0.497360248447205,-0.420772946859903,0.454316239316239,-0.397141212270746,0.409724137931034,0.368390804597701,0.368390804597701,0.368390804597701,-0.448435897435897,-0.506296296296296,-0.42198695818949,0.294793107116264,0.337843137254902,0.267366946778712,0.296666666666667,0.234033613445378,0.192857142857143,0.25,0.15,0.2,0.1,0.360865800865801,0.43311453076028,0,-0.3,0.1,-0.290833333333333,-0.372669683257919
"SRC",0.42724358974359,0.413675307961022,0.383063063063063,0.353333333333333,0.333333333333333,0.352272727272727,0.333305570015617,0.327272727272727,0.3,0.327272727272727,0.127321981424149,0.115742533591504,0.109973302822273,0.0905929487179487,0.181818181818182,0.166666666666667,0.267179487179487,0.15,0.0533333333333333,0.0333333333333333,0.104390330924984,0.15,0.171805985552116,0.146315789473684,0.12,0.00909090909090909,0.504864253393665,0.504864253393665,-0.372941176470588,0.20339093779053,-0.109911403367592,0.248809523809524,0.220238095238095,0.220238095238095,0.220238095238095,-0.278772315633379,-0.516421025172819,-0.193401946950923,0.0794345549086928,0.0254834054834055,0.0565178882420262,-0.0126984126984127,0.0254834054834055,-0.0126984126984127,-0.0571428571428571,-0.0571428571428571,-0.1,0,-0.0402696500286862,-0.0354318095039745,-0.1,-0.0333333333333333,0,-0.0687179487179487,-0.428095238095238
"IKK",0.597446287942503,0.606303831303831,0.538996138996139,0.471428571428571,0.4,0.328311688311688,0.438076563958917,0.245454545454545,0.1,0.2,0.191751183231913,0.200462962962963,0.181944444444444,0.260249433106576,0.354623655913978,0.293333333333333,0.587963607171528,0.333333333333333,0.175555555555556,0.12,0.291655969191271,0.3,0.384486373165618,0.322222222222222,0.255555555555556,0.326455026455026,0.509534913848944,0.509534913848944,-0.435416666666667,0.682377893279274,-0.595264930001772,0.512469418960245,0.449166666666667,0.449166666666667,0.449166666666667,-0.719273025887845,-0.516854257689303,-0.523631436314363,0.46244549568079,0.391363636363636,0.429825174825175,0.338636363636364,0.391363636363636,0.338636363636364,0.275,0.275,0.2,0.2,0.413472130425204,0.475068765268112,-0.2,-0.1,0.1,-0.225555555555556,-0.407064935064935
"TWIST1",0.555752870541302,0.53714228612361,0.493221690590112,0.443221690590112,0.381818181818182,0.48880079163832,0.521913817625716,0.436169212690952,0.28,0.371304347826087,0.243962359479601,0.239579842455574,0.220269497627988,0.456238095238095,0.470450281425891,0.420450281425891,0.473313850609355,0.369230769230769,0.391555555555556,0.355555555555556,0.404102791858738,0.3,0.422580954874749,0.380292397660819,0.335555555555555,0.316155606407323,0.513442728442728,0.513442728442728,-0.416777546777547,0.726047254583215,-0.655916051525903,0.482917527170231,0.444272108843537,0.444272108843537,0.444272108843537,-0.831162171262277,-0.519779195044377,-0.500883977698172,0.459231535109492,0.410131004366812,0.43578782650022,0.38,0.409075497733097,0.379250936329588,0.346666666666667,0.346666666666667,0.309523809523809,0.309523809523809,0.454912606439833,0.515665555063259,-0.2,-0.3,0.266666666666667,-0.427666666666667,-0.491334268349696
