"","FOXC2","TGF","SNAI1","TWIST1","HEY1","SHH","Csn","ILK","SMAD","SMO","Jagged","KLF4","AKT","NFB","FUS","IKK","NOTCH","EGR1","NOTCHic","Csl","cateninmemb","MEK","SNAI2","cfos","ERK","miR200","ZEB2","ZEB1","Ecadherin","GSK3","RAS","RAF","PI3K","DELTA","GLI","cateninnuc","Wnt","TCFLEF","CD44","cMet","Frizzled","SRC","DSH","SUFU","STAT","AXIN2","Patched","TrCP","LIV1","Destcompl","RKIP","PAK1","CDC42","TGFR","SOSGRB2"
"ZEB2",-0.206770784770785,-0.200835566549852,-0.118763161485444,-0.106260572592999,-0.0975366568914956,-0.0911767500791891,-0.0888888888888889,-0.0857142857142857,-0.0838850174216028,-0.0835714285714286,-0.0819053018546734,-0.080040228955456,-0.0769704049844237,-0.0763888888888889,-0.075,-0.0741666666666667,-0.0678923917612442,-0.0666666666666667,-0.062974358974359,-0.058974358974359,-0.0513521041803028,-0.0432226317169793,-0.0412058196454482,-0.0403508771929825,-0.0371250707413696,-0.0178222559180495,-0.0176349979252049,-0.0176349979252049,-0.0117627785047934,0.0024267569933025,0.0226197892043716,0.0266883116883117,0.0266883116883117,0.0266883116883117,0.0480319069309895,0.0504331428942252,0.0517016317016317,0.052251324712407,0.0550682261208577,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.075,0.08,0.0874933309354674,0.0884494773519164,0.1,0.1,0.114078192494079,0.126135265700483,0.185714285714286,0.187532467532468,0.195015460729746,0.206355311355311
"TWIST1",0.318982424177473,0.365182140111348,0.135401510259722,0.34328411608732,-0.152244365803688,0.162861641586252,0,-0.170602420602421,-0.174232783638724,0.153333333333333,0.238162343059686,-8.3385449239104e-05,0.105823554976097,0.0538461538461538,0.133333333333333,0.0871794871794872,0.239672095898511,-0.0733333333333333,0.218917378917379,0.188148148148148,-0.57887533757315,0.0479350387649851,0.665430450876407,0.000579710144927537,0.0295270785659802,-0.0351406211787723,0.0537836081695731,0.0537836081695731,-0.694423261285026,-0.351553226158819,0.306884662916132,0.28907644373805,0.28907644373805,0.28907644373805,0.380206850459482,0.415416309906963,0.359406850459482,0.399717632506158,0.38118777033158,0.360705842620736,0.337301587301587,0.337301587301587,0.309523809523809,-0.1,0.309523809523809,0.432272942111652,-0.157442922374429,0.1,0.266666666666667,0.380285177796981,-0.0888055279359627,-0.266060606060606,-0.314336468129572,-0.343086468129572,-0.0366269631715856
"Destcompl",0.0518886875851971,0.0215407978073262,0.0908581139569096,-0.0430547056583457,-0.00755603370987986,-0.126750865950893,0.0380952380952381,-0.00142857142857143,-0.0024812030075188,-0.125528188286809,-0.191109140428523,-0.195575558308136,0.0371212556505816,0.0337474120082816,-0.134099616858238,0.0364501147109843,-0.0648041009555343,0.0425641025641026,-0.0642028985507246,-0.0663768115942029,0.217827821952555,0.044375115788272,-0.236042031483585,0.0365034965034965,0.0414215292903817,-0.196912891274879,0.185538118731921,0.185538118731921,0.0556239708219579,-0.0870923073454723,-0.000196960292765351,0.000744954934864162,0.000744954934864162,0.000744954934864162,-0.186500454630311,-0.188700509669019,-0.183346465762036,-0.187629627466062,-0.185848805548254,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,0.144444444444444,-0.181746031746032,-0.23912408550422,0.125010053571783,-0.0666666666666667,-0.188888888888889,-0.0202321796866507,-0.114575070340832,-0.0169387755102041,-0.020387051372273,-0.0230186303196415,-0.0806749884419788
"AXIN2",0.103823225954373,0.0590741606117347,0.148112373466979,-0.0410375758516394,-0.00445164086137717,-0.165424698252567,0.122222222222222,-0.000690131124913733,-0.000293305728088336,-0.173076923076923,-0.227054725532986,-0.247203177031423,0.0881159420289855,0.10048309178744,-0.173076923076923,0.0903381642512077,-0.0618222922170291,0.14,-0.0611466165413534,-0.0557894736842105,0.250951873416009,0.0970830746012906,-0.278435804512629,0.113170731707317,0.099152040118532,-0.252298630906382,0.238047648148751,0.238047648148751,0.0663244616671334,-0.168718819065501,0.063419877796768,0.0644697465631722,0.0644697465631722,0.0644697465631722,-0.237208142308837,-0.241069610796049,-0.235950280673617,-0.23912408550422,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,0.15,-0.24,0.182032686545068,0.16771978021978,-0.133333333333333,-0.233333333333333,0.159719384343445,-0.168767478041672,-0.0783333333333333,-0.0622839506172839,-0.0587441276084344,-0.137318486406845
"Wnt",0.145182186234818,0.176811594202899,0.0606107660455486,0.201176470588235,-0.00564102564102564,0.0510822510822511,0.1,-0.0145299145299145,-0.021506658715961,0,0.107745098039216,-0.250980392156863,0.0716666666666667,0.0666666666666667,0,0.0466666666666667,0.147619047619048,0.1,0.114285714285714,0.1,-0.331313559322034,0.0211764705882353,0.336810344827586,0,-0.02,-0.281717171717172,0.277809660449546,0.277809660449546,-0.388706867483421,-0.0660658307210031,0.116062884483937,0.0796992481203007,0.0796992481203007,0.0796992481203007,0.286842105263158,0.326151471393716,0.25,0.308270676691729,0.286842105263158,0.25,0.3,0.2,0.2,0,0.1,0.31030303030303,-0.0272727272727273,-0.1,0,-0.0233176107971793,-0.07,-0.1,-0.1,-0.133333333333333,-0.0545454545454545
"Frizzled",0.177740325769702,0.210144927536232,0.0717218771566598,0.223081232492997,-0.0120240043644299,0.0575338639854769,0.0666666666666667,-0.021506658715961,-0.0280487147907274,0.0272727272727273,0.116836007130125,-0.274789915966387,0.0966666666666667,0.0466666666666667,0,0.0716666666666667,0.17703081232493,0,0.147619047619048,0.114285714285714,-0.358297686306161,0.0545098039215686,0.360469650821277,-0.02,0.0211764705882353,-0.308279671717172,0.304542333716872,0.304542333716872,-0.418310597087151,-0.0824294670846395,0.137322727003622,0.116062884483937,0.116062884483937,0.116062884483937,0.308270676691729,0.342341947584192,0.286842105263158,0.326151471393716,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0,0.2,0.340535588442565,-0.0510822510822511,-0.1,0.1,-0.00819824740195381,-0.0878571428571429,-0.1,-0.133333333333333,-0.176811594202899,-0.0515151515151515
"IKK",0.367243867243867,0.428933333333333,0.111252473847894,0.462287581699346,-0.128070175438597,-0.00993614303959132,0.1,-0.133333333333333,-0.144224422442244,-0.06,0.140924711027804,-0.275824175824176,0.0321106821106821,0.0857142857142857,-0.08,0.00238095238095238,0.20981240981241,0.05,0.17012987012987,0.127272727272727,-0.541299631467229,0.0416825396825397,0.636271674575462,-0.0214285714285714,-0.00942857142857143,-0.313266443701226,0.311197994987469,0.311197994987469,-0.626115878058209,-0.198168498168498,0.27690072680487,0.236055656382335,0.236055656382335,0.236055656382335,0.37008547008547,0.418158129743626,0.331623931623932,0.396639142401854,0.37008547008547,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.1,0.2,0.399285714285714,0.0340740740740741,-0.2,0.1,0.137008155403959,-0.0857012750455373,-0.3,-0.333333333333333,-0.383333333333333,-0.175210084033613
"DSH",0.193757641787018,0.227218098267939,0.0807073844030366,0.237265629656118,-0.0172871622591667,0.0606013486480536,0.0466666666666667,-0.0280487147907274,-0.0329543751680859,0.0510822510822511,0.124587945114621,-0.299061760626581,0.111609195402299,0.0716666666666667,0.0272727272727273,0.0966666666666667,0.194513329807447,-0.02,0.17703081232493,0.147619047619048,-0.38126588418602,0.0748105558012679,0.380609348143745,0.0211764705882353,0.0545098039215686,-0.329011379034245,0.323439971512148,0.323439971512148,-0.441049842038863,-0.0993668220730386,0.15384933764788,0.137322727003622,0.137322727003622,0.137322727003622,0.325917735515259,0.356144262811263,0.308270676691729,0.342341947584192,0.326151471393716,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0,0.25,0.362898457640877,-0.0575338639854769,-0.0666666666666667,0.2,0.00363381366674848,-0.102542457542458,-0.133333333333333,-0.176811594202899,-0.210144927536232,-0.0759053954175905
"HEY1",0.37341141807264,0.360514412416851,0.300575810668665,0.401398692810458,-0.0183498854087089,0.251411290322581,0.2,-0.0573333333333333,-0.0616811594202899,0.233333333333333,0.314527281813639,-0.259259259259259,0.298624338624339,0.26,0.233333333333333,0.283809523809524,0.353419819464312,0.2,0.33177033492823,0.305454545454545,-0.591384137542674,0.282386019074921,0.463687864411955,0.245454545454545,0.268983957219251,-0.345832315832316,0.336145510835913,0.336145510835913,-0.666368582675683,-0.345800734662875,0.377801659125189,0.357948717948718,0.357948717948718,0.357948717948718,0.353897196408636,0.394650785511201,0.326310989512084,0.376344434328137,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,-0.2,0.266666666666667,0.40259545543053,-0.239583333333333,-0.1,0.233333333333333,0.341987979717644,-0.301236858379716,-0.263636363636364,-0.307636363636364,-0.335636363636364,-0.0495425957690109
"FOXC2",0.37341141807264,0.360514412416851,0.300575810668665,0.401398692810458,-0.0183498854087089,0.251411290322581,0.2,-0.0573333333333333,-0.0616811594202899,0.233333333333333,0.314527281813639,-0.259259259259259,0.298624338624339,0.26,0.233333333333333,0.283809523809524,0.353419819464312,0.2,0.33177033492823,0.305454545454545,-0.591384137542674,0.282386019074921,0.463687864411955,0.245454545454545,0.268983957219251,-0.345832315832316,0.336145510835913,0.336145510835913,-0.666368582675683,-0.345800734662875,0.377801659125189,0.357948717948718,0.357948717948718,0.357948717948718,0.353897196408636,0.394650785511201,0.326310989512084,0.376344434328137,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,-0.2,0.266666666666667,0.40259545543053,-0.239583333333333,-0.1,0.233333333333333,0.341987979717644,-0.301236858379716,-0.263636363636364,-0.307636363636364,-0.335636363636364,-0.0495425957690109
"PI3K",0.214204413472706,0.239509803921569,0.112934782608696,0.251022186018622,-0.0277940335653987,0.0480769230769231,0.166666666666667,-0.0376550620248099,-0.0432550620248099,0.0166666666666667,0.121929824561404,-0.309649122807018,0.202262443438914,0.166666666666667,0,0.184313725490196,0.184801488833747,0,0.155769230769231,0.125,-0.38852728017176,0.0624879459980714,0.38752682007751,0,0.0411764705882353,-0.339150588740753,0.33752608857945,0.33752608857945,-0.451725852966486,-0.173460798460798,0.169490600723477,0.143463203463203,0.143463203463203,0.143463203463203,0.332612411742847,0.374951511282715,0.303381642512077,0.355776253550756,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0,0.2,0.358952380952381,-0.0397435897435897,-0.2,0.1,-0.0192574231537553,-0.100888817065288,-0.125,-0.166176470588235,-0.206176470588235,-0.0819230769230769
"ILK",0.214204413472706,0.239509803921569,0.112934782608696,0.251022186018622,-0.0277940335653987,0.0480769230769231,0.166666666666667,-0.0376550620248099,-0.0432550620248099,0.0166666666666667,0.121929824561404,-0.309649122807018,0.202262443438914,0.166666666666667,0,0.184313725490196,0.184801488833747,0,0.155769230769231,0.125,-0.38852728017176,0.0624879459980714,0.38752682007751,0,0.0411764705882353,-0.339150588740753,0.33752608857945,0.33752608857945,-0.451725852966486,-0.173460798460798,0.169490600723477,0.143463203463203,0.143463203463203,0.143463203463203,0.332612411742847,0.374951511282715,0.303381642512077,0.355776253550756,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0,0.2,0.358952380952381,-0.0397435897435897,-0.2,0.1,-0.0192574231537553,-0.100888817065288,-0.125,-0.166176470588235,-0.206176470588235,-0.0819230769230769
"cateninnuc",0.361949061867095,0.352363748784469,0.286152665419973,0.303259358632363,-0.0118124676210747,0.129713570072046,0.245833333333333,-0.0486782106782107,-0.0520888518787564,0.113642987249545,0.198586944657531,-0.269715910819114,0.279080492424242,0.254924242424242,0.0988888888888889,0.268924242424242,0.336979358690041,0.21304347826087,0.322433904144586,0.303829252981795,-0.400862356941689,0.247289357931206,0.456116291084676,0.220979986197378,0.234904036830289,-0.350358015919858,0.341638581765098,0.341638581765098,-0.473966488544975,-0.330669951070691,0.356249171249171,0.343622908622909,0.343622908622909,0.343622908622909,0.253469882311455,0.175741102085763,0.238054862548609,0.265274380185735,0.252503655764525,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,-0.0888888888888889,0.191375291375291,0.394650785511201,-0.12295975743588,-0.233333333333333,0.160606060606061,0.31940389133415,-0.297977107259986,-0.291428571428571,-0.314505494505494,-0.335769862321586,-0.117548548698883
"NFB",0.400311596327533,0.463110548523207,0.129608638231455,0.489271708683473,-0.135213032581454,-0.00150240809983229,0.0857142857142857,-0.144224422442244,-0.151287619468267,-0.0340740740740741,0.153874351315574,-0.302747252747253,0.060999570999571,0.00238095238095238,-0.06,0.0321106821106821,0.242715635618861,-0.0214285714285714,0.20981240981241,0.17012987012987,-0.573506600844209,0.0724014939309057,0.664726959128307,-0.00942857142857143,0.0416825396825397,-0.34438426847464,0.342998761270994,0.342998761270994,-0.660947338732367,-0.220521439344969,0.303766398446661,0.27690072680487,0.27690072680487,0.27690072680487,0.395928166714684,0.436903227782842,0.37008547008547,0.418158129743626,0.396639142401854,0.37008547008547,0.331623931623932,0.331623931623932,0.277777777777778,0.08,0.277777777777778,0.43403748733536,0.00993614303959132,-0.1,0.2,0.153785564041833,-0.112624351968614,-0.333333333333333,-0.383333333333333,-0.428933333333333,-0.186789031402034
"RAF",0.268803418803419,0.298282153983089,0.173530348965304,0.353903743315508,0.086566008517228,0.144590163934426,0.1,0.0721758664955071,0.0652451734262001,0.1,0.214182634004366,-0.322907699665232,0.100865800865801,0.0857142857142857,0.1,0.0857142857142857,0.172999222999223,0.17,0.138383838383838,0.111111111111111,-0.472321901733667,0.08995597945708,0.621728157603311,0.07,0.066551724137931,-0.359452292624737,0.348907699665232,0.348907699665232,-0.531848977851509,-0.158707643814027,0.0523559773559774,0.00876623376623377,0.00876623376623377,0.00876623376623377,0.32,0.375461213488534,0.27,0.351288185498712,0.318421052631579,0.268421052631579,0.2,0.2,0.1,-0.1,0.1,0.337271448663854,-0.12,-0.1,0,0.0227081076332972,-0.181932773109244,-0.2,-0.22,-0.258095238095238,-0.23231746031746
"SHH",0.325,0.42,0.2,0.175,-0.0666666666666667,0.146666666666667,0,-0.0666666666666667,-0.0833333333333333,0.3,0.0942857142857143,-0.3,0.1,0,0.2,0.1,0.2,0,0.2,0.1,-0.299068100358423,0.16,0.36727969348659,0.1,0.1,-0.366666666666667,0.35,0.35,-0.330555555555556,-0.271794871794872,0.238461538461538,0.2,0.2,0.2,0.25,0.241111111111111,0.2,0.196666666666667,0.15,0.1,0.2,0.1,0.2,-0.2,0.1,0.276190476190476,-0.266666666666667,0,0,0.272987012987013,-0.22,-0.2,-0.3,-0.4,-0.2
"AKT",0.233753285653157,0.26095995497897,0.125716737495914,0.270288241064494,-0.0315534320616393,0.0543927125506073,0.166666666666667,-0.0432550620248099,-0.0476321664019143,0.0397435897435897,0.133188102707099,-0.332726045883941,0.117413958590429,0.184313725490196,0.0166666666666667,0.202262443438914,0.20553319615082,0,0.184801488833747,0.155769230769231,-0.414928911160547,0.0814752877702233,0.411546920580023,0.0411764705882353,0.0624879459980714,-0.360540963072303,0.35807403378493,0.35807403378493,-0.477937974178607,-0.193218862976928,0.189972528434321,0.169490600723477,0.169490600723477,0.169490600723477,0.355517439675807,0.390489972821176,0.332612411742847,0.374951511282715,0.355776253550756,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0,0.255555555555556,0.387472236548049,-0.0480769230769231,-0.166666666666667,0.2,-0.00494807658634417,-0.118901239425536,-0.166176470588235,-0.206176470588235,-0.239509803921569,-0.0997008547008547
"SNAI2",0.413033163949253,0.401888648435963,0.340359666093245,0.439963233583951,-0.0238848704038577,0.299118746089985,0.2,-0.0670020120724346,-0.0732221077662145,0.277647058823529,0.366837112353746,-0.281538461538462,0.335822600747819,0.275,0.26,0.312931034482759,0.39700956937799,0.2,0.369736842105263,0.332894736842105,-0.636672074694365,0.323582405935347,0.70997828574102,0.264705882352941,0.301960784313725,-0.373852108604746,0.364444933920705,0.364444933920705,-0.803614694027497,-0.385026347063704,0.422434750433269,0.399147079200392,0.399147079200392,0.399147079200392,0.402974962071897,0.448919013092053,0.373563197366014,0.427956280172798,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,-0.2,0.305454545454545,0.447100565604419,-0.287851140456182,-0.1,0.26,0.385743987724154,-0.334141025641026,-0.276470588235294,-0.333613445378151,-0.37207498383969,-0.00324543610547666
"STAT",0.160110429447853,0.165005749716848,0.0670034070527051,0.0433032401548144,-0.0346666666666667,-0.00575632846264663,-0.05,-0.0281803542673108,-0.0327780554167361,-0.03,0.0138712589848437,-0.271618142206378,-0.0533736884584342,-0.07,-0.05,-0.0652380952380952,-0.0273022880104548,-0.0333333333333333,-0.0418653948065713,-0.0607843137254902,-0.0448253696849187,-0.0691714104996837,0.089192852992459,-0.0933333333333333,-0.0874509803921569,-0.393331956720925,0.377057557826789,0.377057557826789,-0.171932648011999,0.0595927903871829,-0.0954883615421651,-0.107428660049628,-0.107428660049628,-0.107428660049628,0.00778265851795264,0.0188211312566486,-0.00146103896103896,0.0139343612924055,0.00794067044067044,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,0.05,-0.0571428571428571,-0.0452684570331629,0.0137209302325581,0,0,-0.0646783621174836,-0.0713223938223938,-0.122727272727273,-0.128977272727273,-0.15002990430622,-0.206568144499179
"MEK",0.303037653037653,0.335508431355351,0.193402143837099,0.384306673718438,0.0811114630626826,0.157008464588021,0.0857142857142857,0.0652451734262001,0.0589721106955728,0.12,0.230576076627317,-0.346437111429938,0.123218742042271,0.0857142857142857,0.1,0.100865800865801,0.20584593832769,0.07,0.172999222999223,0.138383838383838,-0.505492633440984,0.0182893127904133,0.652628400912313,0.066551724137931,0.08995597945708,-0.3870064721913,0.37747912823666,0.37747912823666,-0.567368103534569,-0.182540567646951,0.0844194694194694,0.0523559773559774,0.0523559773559774,0.0523559773559774,0.352867132867133,0.395163815719017,0.32,0.375461213488534,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,-0.1,0.2,0.379613791006196,-0.144590163934426,-0.1,0.1,0.0427917896416654,-0.20561698363556,-0.22,-0.258095238095238,-0.298282153983089,-0.234539682539683
