"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","ERK","cfos","SNAI1","HEY1","SMAD","ILK","SHH","NFB","IKK","AKT","SMO","FUS","Csn","TWIST1","Jagged","cateninmemb","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","Ecadherin","ZEB2","ZEB1","SNAI2","GSK3","RAS","RAF","PI3K","DELTA","miR200","GLI","Wnt","cateninnuc","TCFLEF","CD44","Frizzled","cMet","DSH","SRC","TrCP","SUFU","STAT","LIV1","AXIN2","Patched","Destcompl","RKIP"
"DSH",0.213879788102554,0.237605413321214,0.224016563146998,0.194492753623188,0.146666666666667,0.0666666666666667,0.180649335757695,0.160348583877996,0.119607843137255,0.119109730848861,0.072285295891119,0.0748889468613236,0.0631908336537765,0.117097510972437,0.136666666666667,0.155416666666667,0.165761494252874,0.10021645021645,0.0954545454545455,0.0866666666666667,0.235842124083676,0.156739107905319,-0.305513470246057,0.219379150261503,0.20609243697479,0.18452380952381,0.143163340724316,-0.328995675940279,-0.3417106548318,0.356161424499978,0.356161424499978,0.352167526488938,-0.0874916902443105,0.166755244463004,0.149108185639474,0.149108185639474,0.149108185639474,-0.361636101872382,0.285512801611873,0.269172932330827,0.309957269347642,0.299538747531079,0.285729223721556,0.251315789473684,0.269172932330827,0.225,0.251315789473684,-0.0666666666666667,-0.05,0.225,0.2,0.321031034513519,-0.106668063119676,-0.0252583731136741,-0.148971028971029
"PI3K",0.233293844367015,0.244770444763271,0.217941176470588,0.177941176470588,0.125,0.0666666666666667,0.18588418974147,0.148179271708683,0.0952380952380952,0.150132850241546,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.111111111111111,0.2,0.252941176470588,0.265761689291101,0.1,0.05,0.166666666666667,0.236062179682992,0.148684210526316,-0.266911919058397,0.207816377171216,0.188461538461538,0.15,0.153461538461538,-0.336842105263158,-0.301912621810824,0.368551941834234,0.368551941834234,0.335370038844412,-0.149675324675325,0.17395244025381,0.152034632034632,0.152034632034632,0.152034632034632,-0.370634121453794,0.26462281679673,0.241545893719807,0.297600858616288,0.282136941090515,0.26462281679673,0.211111111111111,0.241545893719807,0.2,0.211111111111111,-0.2,0,0.2,0.1,0.290761904761905,-0.1,-0.0662110800832523,-0.15371687136393
"ILK",0.233293844367015,0.244770444763271,0.217941176470588,0.177941176470588,0.125,0.0666666666666667,0.18588418974147,0.148179271708683,0.0952380952380952,0.150132850241546,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.111111111111111,0.2,0.252941176470588,0.265761689291101,0.1,0.05,0.166666666666667,0.236062179682992,0.148684210526316,-0.266911919058397,0.207816377171216,0.188461538461538,0.15,0.153461538461538,-0.336842105263158,-0.301912621810824,0.368551941834234,0.368551941834234,0.335370038844412,-0.149675324675325,0.17395244025381,0.152034632034632,0.152034632034632,0.152034632034632,-0.370634121453794,0.26462281679673,0.241545893719807,0.297600858616288,0.282136941090515,0.26462281679673,0.211111111111111,0.241545893719807,0.2,0.211111111111111,-0.2,0,0.2,0.1,0.290761904761905,-0.1,-0.0662110800832523,-0.15371687136393
"cateninnuc",0.373846994535519,0.353199543517267,0.337697360111153,0.317582417582418,0.291428571428571,0.297101449275362,0.360852502284341,0.344338740816451,0.324085576259489,0.318898768475066,0.12249509217598,0.108897101988507,0.101939393939394,0.197056478725172,0.298106060606061,0.318106060606061,0.331387310606061,0.174644808743169,0.153333333333333,0.270833333333333,0.292362124188617,0.217349633301667,-0.309077467393496,0.350257336205306,0.336620972568943,0.318016321406152,0.243260111768937,-0.29492502357271,-0.309739286719971,0.371266069909613,0.371266069909613,0.421452302316273,-0.314441910328401,0.357869947869948,0.346422136422136,0.346422136422136,0.346422136422136,-0.379144294050846,0.21008804080573,0.197439819461856,0.127297319493722,0.218929465309795,0.208996679648854,0.183309384679248,0.196298266950441,0.165501165501166,0.182167832167832,-0.233333333333333,-0.133333333333333,0.165501165501166,0.142424242424242,0.353047054296935,-0.187688287004039,0.291464186848175,-0.336375965638993
"RAF",0.291408782788093,0.313413440142412,0.267619047619048,0.22,0.2,0.17,0.227666911225238,0.187241379310345,0.17,0.214233560028769,0.159581881533101,0.156725110893631,0.153754813863928,0.202032786885246,0.0857142857142857,0.110714285714286,0.156168831168831,0.14,0.1,0.1,0.357944147355912,0.241565607567305,-0.412715572715573,0.202719502719503,0.156565656565657,0.111111111111111,0.0613968253968254,-0.332663797226208,-0.451697677663361,0.372663797226208,0.372663797226208,0.598305064988051,-0.149881796690307,0.0769258519258519,0.0418831168831169,0.0418831168831169,0.0418831168831169,-0.380952950808151,0.288461538461538,0.25,0.332695562104964,0.313102686786897,0.28582995951417,0.2,0.247368421052632,0.1,0.2,-0.1,-0.1,0.1,0,0.309798406000938,-0.184,-0.000699164683294931,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0,0.3,0.2,0.1,0.283333333333333,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0,0.1,0.15,0.3,0.2,0,0.2,0.162857142857143,-0.241720430107527,0.233333333333333,0.2,0.1,0.25,-0.3,-0.239444444444444,0.375,0.375,0.353486590038314,-0.271794871794872,0.303846153846154,0.25,0.25,0.25,-0.383333333333333,0.25,0.2,0.203333333333333,0.17,0.15,0.2,0.1,0.2,0.1,0,-0.2,0.1,0,0.276190476190476,-0.333333333333333,0.261558441558442,-0.26
"NFB",0.357671306117521,0.354878660017901,0.328929292929293,0.292929292929293,0.261111111111111,0.114285714285714,0.174338001867414,0.143619047619048,0.110285714285714,0.184840782955914,0.167864514226743,0.168219677451016,0.16338696369637,0.179685485235963,0.202380952380952,0.242921492921493,0.256254826254826,0.160740740740741,0.12,0.285714285714286,0.231456582633053,0.125194678371642,-0.132857958498057,0.194467253176931,0.175757575757576,0.142424242424242,0.196895179124281,-0.346978021978022,-0.236179348572128,0.375734393454902,0.375734393454902,0.402190718066192,-0.0195421245421245,0.175220177327112,0.159299779317161,0.159299779317161,0.159299779317161,-0.384964012300148,0.0705166618649765,0.0547863247863248,0.0950720835438076,0.0835426717791017,0.0700405620744604,0.0286324786324786,0.0547863247863248,0.00555555555555556,0.0286324786324786,-0.3,-0.08,0.00555555555555556,-0.05,0.0403343465045593,-0.167637292464879,-0.0925837311912854,-0.20708280790248
"SNAI2",0.419264418705509,0.403130884460808,0.37207498383969,0.333613445378151,0.276470588235294,0.2,0.39226285108638,0.349019607843137,0.288235294117647,0.364635251707315,0.116169379144063,0.112087517128288,0.0934272300469483,0.357140828162251,0.275,0.326724137931034,0.366483174075613,0.301176470588235,0.26,0.2,0.432374919514172,0.383132255009015,-0.57887526333259,0.40571314650262,0.373245614035088,0.332894736842105,0.321501014198783,-0.286538461538462,-0.705529996900072,0.376826725403818,0.376826725403818,0.688032604648723,-0.375709423557485,0.428526816443665,0.404782524206222,0.404782524206222,0.404782524206222,-0.385174565562869,0.378825250971067,0.357969635997805,0.411142908024911,0.395925516720563,0.378399743524687,0.334025974025974,0.357969635997805,0.305454545454545,0.334025974025974,-0.1,-0.2,0.305454545454545,0.26,0.428170848596428,-0.331788715486194,0.369309293771242,-0.3525
"AKT",0.247579558652729,0.260782529355416,0.244770444763271,0.217941176470588,0.177941176470588,0.0952380952380952,0.202339885944002,0.18588418974147,0.148179271708683,0.168428589589917,0.0875742731867506,0.0896561064829972,0.0798917967186875,0.125847953216374,0.252941176470588,0.265761689291101,0.176872800402212,0.1,0.1,0.2,0.251658509958222,0.163253746950157,-0.285566353309162,0.223670035707801,0.207816377171216,0.188461538461538,0.173461538461538,-0.363337831758884,-0.321912621810824,0.391154681560261,0.391154681560261,0.355169033819287,-0.164191453707583,0.19250665712128,0.17395244025381,0.17395244025381,0.17395244025381,-0.393094014501922,0.28194125255092,0.26462281679673,0.308677781693211,0.297600858616288,0.282136941090515,0.241545893719807,0.26462281679673,0.211111111111111,0.241545893719807,-0.166666666666667,-0.05,0.211111111111111,0.2,0.311339522090425,-0.111111111111111,-0.056368234756536,-0.170487057699334
"RAS",0.340634920634921,0.359848573092603,0.315294117647059,0.28,0.26,0.26,0.315727554179567,0.286315789473684,0.26,0.299410029498525,0.161857707509881,0.158750773036487,0.156709956709957,0.186090395480226,0.166666666666667,0.173333333333333,0.212222222222222,0.116666666666667,0.1,0.2,0.354348063284234,0.236861817465011,-0.318082095431347,0.269712015888779,0.226315789473684,0.2,0.0125541125541125,-0.356428571428571,-0.361476620512061,0.398696612665685,0.398696612665685,0.539531265634057,-0.197248062015504,0.13,0.195384615384615,0.195384615384615,0.195384615384615,-0.407661538461538,0.294607843137255,0.252941176470588,0.349187148568528,0.325674400693174,0.293366708385482,0.2,0.252941176470588,0.1,0.2,-0.2,-0.1,0.1,0,0.311462450592885,-0.160666666666667,-0.0669761256970559,-0.392622641509434
