"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","ERK","cfos","SNAI1","HEY1","SMAD","ILK","SHH","NFB","IKK","AKT","SMO","FUS","Csn","TWIST1","Jagged","cateninmemb","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","Ecadherin","ZEB2","ZEB1","SNAI2","GSK3","RAS","RAF","PI3K","DELTA","miR200","GLI","Wnt","cateninnuc","TCFLEF","CD44","Frizzled","cMet","DSH","SRC","TrCP","SUFU","STAT","LIV1","AXIN2","Patched","Destcompl","RKIP"
"SMO",0.42448275862069,0.514099099099099,0.481666666666667,0.44,0.4,0.2,0.393240093240093,0.353846153846154,0.3,0.35384024577573,0.128937728937729,0.134285714285714,0.12,0.313055555555556,0.15,0.192857142857143,0.236857142857143,0.253333333333333,0.333333333333333,0.1,0.264161220043573,0.217354497354497,-0.31361902773428,0.313787878787879,0.278787878787879,0.233333333333333,0.255263157894737,-0.413888888888889,-0.314305620240668,0.482485875706215,0.482485875706215,0.424534209085933,-0.317934492691774,0.360677549194991,0.335096153846154,0.335096153846154,0.335096153846154,-0.492374924653406,0.308333333333333,0.275,0.249847677446042,0.229546925566343,0.203333333333333,0.25,0.17,0.2,0.15,0,-0.3,0.1,0.1,0.334497686221824,-0.290833333333333,0.292770640212501,-0.352857142857143
"NOTCH",0.353877551020408,0.367168458781362,0.315555555555556,0.255555555555556,0.2,0.2,0.343809523809524,0.286666666666667,0.22,0.273974358974359,0.171014492753623,0.0814285714285714,0.0714285714285714,0.129939668174962,0.0333333333333333,0.0888888888888889,0.122222222222222,0.0833333333333333,0.0333333333333333,0,0.298983050847458,0.164713804713805,-0.383659807488434,0.159078341013825,0.217142857142857,0.16,0.156842105263158,-0.46207729468599,-0.43106168647425,0.513929146537842,0.513929146537842,0.428998778998779,-0.234474050853361,0.256574440052701,0.214545454545455,0.214545454545455,0.214545454545455,-0.523549783549784,0.253240093240093,0.213846153846154,0.30397792683507,0.280712620712621,0.253240093240093,0.16,0.213846153846154,0.1,0.16,0,0,0.1,0,0.278598382749326,-0.106410256410256,0.27029091040306,-0.273828470380194
"FUS",0.457377495462795,0.547077822503354,0.514099099099099,0.481666666666667,0.44,0.3,0.426573426573427,0.393240093240093,0.353846153846154,0.377425151436107,0.144879757923236,0.145253456221198,0.134285714285714,0.334267676767677,0.192857142857143,0.236857142857143,0.26378021978022,0.290833333333333,0.253333333333333,0.15,0.291909911143049,0.239041244342449,-0.341365768888842,0.343333333333333,0.313787878787879,0.278787878787879,0.266801619433198,-0.461429872495446,-0.341976853117381,0.522363176319712,0.522363176319712,0.452361857200834,-0.336998037842276,0.383821653998485,0.360677549194991,0.360677549194991,0.360677549194991,-0.532968984059346,0.33525641025641,0.308333333333333,0.266967242663434,0.249847677446042,0.229546925566343,0.275,0.203333333333333,0.25,0.17,-0.1,-0.333333333333333,0.15,0.1,0.36244799678083,-0.313055555555556,0.305471370139508,-0.384815905743741
"TCFLEF",0.536824139731516,0.51004925800939,0.491837337479589,0.475014907573047,0.456410256410256,0.421428571428571,0.459998340799735,0.447073170731707,0.438501742160279,0.365493397815574,0.189550670853554,0.170259633091071,0.165861927546138,0.212526363405049,0.236883116883117,0.243334729786343,0.252030381960256,0.184285714285714,0.17,0.216883116883117,0.290618011446595,0.188188004656327,-0.0435478521546292,0.30586868893899,0.291582974653276,0.279818268770923,0.115820666359589,-0.405778902470079,-0.18267014765733,0.526265240120503,0.526265240120503,0.307047237013431,-0.266177158713624,0.292885654276288,0.280139267942517,0.280139267942517,0.280139267942517,-0.538869938628975,0.0768730502234339,0.0607239819004525,-0.00487391873941184,-0.0155268397016111,0.0713001935171746,0.0376470588235294,0.0555769230769231,0.0176470588235294,0.0325,-0.171428571428571,-0.15,0.0125,0,0.410381929181929,-0.197188940092166,0.21006772663691,-0.378916287826606
"cfos",0.365949306551889,0.379106187929717,0.344257703081232,0.295238095238095,0.242857142857143,0.32,0.363419307295505,0.327826086956522,0.28,0.28415803605677,0.0813593203398301,0.090126301416624,0.0788359788359788,0.133956306536952,0.0833333333333333,0.108333333333333,0.134649122807018,0.0928571428571428,0.0761904761904762,0.0333333333333333,0.302493506493506,0.168645833333333,-0.399113045773548,0.170769230769231,0.138461538461538,0.1,0.163888888888889,-0.501936507936508,-0.452006073303512,0.54385833429417,0.54385833429417,0.452652700097956,-0.247597402597403,0.2753892342845,0.243681917211329,0.243681917211329,0.243681917211329,-0.556472285884051,0.279688109161793,0.250740740740741,0.322010624485872,0.304232846708094,0.28047047047047,0.21,0.250740740740741,0.15,0.21,0,-0.0333333333333333,0.15,0.1,0.303825944170772,-0.115437788018433,0.279014687479418,-0.294405594405594
"CDC42",0.365949306551889,0.379106187929717,0.344257703081232,0.295238095238095,0.342857142857143,0.22,0.363419307295505,0.327826086956522,0.28,0.28415803605677,0.0813593203398301,0.090126301416624,0.0788359788359788,0.133956306536952,0.0833333333333333,0.108333333333333,0.134649122807018,0.0928571428571428,0.0761904761904762,0.0333333333333333,0.302493506493506,0.168645833333333,-0.399113045773548,0.170769230769231,0.138461538461538,0.1,0.163888888888889,-0.501936507936508,-0.452006073303512,0.54385833429417,0.54385833429417,0.452652700097956,-0.247597402597403,0.2753892342845,0.243681917211329,0.243681917211329,0.243681917211329,-0.556472285884051,0.279688109161793,0.250740740740741,0.322010624485872,0.304232846708094,0.28047047047047,0.21,0.250740740740741,0.15,0.21,0,-0.0333333333333333,0.15,0.1,0.303825944170772,-0.115437788018433,0.279014687479418,-0.294405594405594
"NOTCHic",0.38936142198815,0.403474191265438,0.367168458781362,0.315555555555556,0.255555555555556,0.22,0.386666666666667,0.343809523809524,0.286666666666667,0.302016687016687,0.184860646599777,0.0950976361767729,0.0814285714285714,0.150369775701844,0.0888888888888889,0.122222222222222,0.152454780361757,0.106410256410256,0.0833333333333333,0.0333333333333333,0.328542799275131,0.185243606038308,-0.413882931220685,0.193288867329614,0.159078341013825,0.217142857142857,0.197751196172249,-0.508505866114562,-0.463680369475782,0.556151368760064,0.556151368760064,0.460862506453689,-0.259267439283113,0.288594144486198,0.256574440052701,0.256574440052701,0.256574440052701,-0.568058454070015,0.280121813670201,0.253240093240093,0.321840522254917,0.30397792683507,0.280712620712621,0.213846153846154,0.253240093240093,0.16,0.213846153846154,0,-0.0333333333333333,0.16,0.1,0.313320604971548,-0.129939668174962,0.286957577069727,-0.309039737985828
"TGF",0.520263975155279,0.530238095238095,0.583809523809524,0.526666666666667,0.46,0.333333333333333,0.470225563909774,0.423558897243108,0.376190476190476,0.426846789574062,0.231850419084462,0.22603128054741,0.211515151515151,0.252471264367816,0.258333333333333,0.315476190476191,0.336528822055138,0.203333333333333,0.153333333333333,0.233333333333333,0.434444444444445,0.293544428080511,-0.4092896695602,0.367816091954023,0.333333333333333,0.273333333333333,0.176315789473684,-0.507068395626748,-0.455988263461809,0.556159304717657,0.556159304717657,0.460567613649701,-0.345168204268009,0.361904761904762,0.313690476190476,0.313690476190476,0.313690476190476,-0.564506805455081,0.286145552560647,0.231428571428571,0.343823839186302,0.315594174114532,0.281383647798742,0.171428571428571,0.226666666666667,0.1,0.166666666666667,-0.2,-0.133333333333333,0.1,0,0.297310405643739,-0.227471264367816,0.130399922941319,-0.405627705627706
"PAK1",0.394225168620855,0.407521488476165,0.379106187929717,0.344257703081232,0.295238095238095,0.28,0.400752640628838,0.363419307295505,0.327826086956522,0.306831067083023,0.0960652026927713,0.10173920464243,0.090126301416624,0.151956306536952,0.108333333333333,0.134649122807018,0.158723196881092,0.115437788018433,0.0928571428571428,0.0833333333333333,0.328036984754376,0.187664238241309,-0.424021470681973,0.197142857142857,0.170769230769231,0.138461538461538,0.188641364136414,-0.538002081707,-0.477265588874446,0.577620392171983,0.577620392171983,0.477788323967757,-0.267233766233766,0.301752870648136,0.2753892342845,0.2753892342845,0.2753892342845,-0.590482438168314,0.303590548186184,0.279688109161793,0.33690717621001,0.322010624485872,0.304232846708094,0.250740740740741,0.28047047047047,0.21,0.250740740740741,-0.0333333333333333,-0.0761904761904762,0.21,0.15,0.332127830963225,-0.133956306536952,0.292097394246335,-0.323687362361396
"LIV1",0.394225168620855,0.407521488476165,0.379106187929717,0.344257703081232,0.295238095238095,0.28,0.400752640628838,0.363419307295505,0.327826086956522,0.306831067083023,0.0960652026927713,0.10173920464243,0.090126301416624,0.151956306536952,0.108333333333333,0.134649122807018,0.158723196881092,0.115437788018433,0.0928571428571428,0.0833333333333333,0.328036984754376,0.187664238241309,-0.424021470681973,0.197142857142857,0.170769230769231,0.138461538461538,0.188641364136414,-0.538002081707,-0.477265588874446,0.577620392171983,0.577620392171983,0.477788323967757,-0.267233766233766,0.301752870648136,0.2753892342845,0.2753892342845,0.2753892342845,-0.590482438168314,0.303590548186184,0.279688109161793,0.33690717621001,0.322010624485872,0.304232846708094,0.250740740740741,0.28047047047047,0.21,0.250740740740741,-0.0333333333333333,-0.0761904761904762,0.21,0.15,0.332127830963225,-0.133956306536952,0.292097394246335,-0.323687362361396
"EGR1",0.394225168620855,0.407521488476165,0.379106187929717,0.344257703081232,0.295238095238095,0.28,0.400752640628838,0.363419307295505,0.327826086956522,0.306831067083023,0.0960652026927713,0.10173920464243,0.090126301416624,0.151956306536952,0.108333333333333,0.134649122807018,0.158723196881092,0.115437788018433,0.0928571428571428,0.0833333333333333,0.328036984754376,0.187664238241309,-0.424021470681973,0.197142857142857,0.170769230769231,0.138461538461538,0.188641364136414,-0.538002081707,-0.477265588874446,0.577620392171983,0.577620392171983,0.477788323967757,-0.267233766233766,0.301752870648136,0.2753892342845,0.2753892342845,0.2753892342845,-0.590482438168314,0.303590548186184,0.279688109161793,0.33690717621001,0.322010624485872,0.304232846708094,0.250740740740741,0.28047047047047,0.21,0.250740740740741,-0.0333333333333333,-0.0761904761904762,0.21,0.15,0.332127830963225,-0.133956306536952,0.292097394246335,-0.323687362361396
"Csl",0.418097054172058,0.431818862467253,0.403474191265438,0.367168458781362,0.315555555555556,0.286666666666667,0.425797101449275,0.386666666666667,0.343809523809524,0.32573210203645,0.202507705423306,0.108430969510106,0.0950976361767729,0.169335292943223,0.122222222222222,0.152454780361757,0.179586563307494,0.129939668174962,0.106410256410256,0.0888888888888889,0.354502167220955,0.205035272704975,-0.43911228901885,0.220561594602342,0.193288867329614,0.159078341013825,0.221328431944607,-0.54707729468599,-0.489843160173456,0.592062970970009,0.592062970970009,0.486142148511854,-0.278855068149093,0.314697085662669,0.288594144486198,0.288594144486198,0.288594144486198,-0.60444189633581,0.303508910444394,0.280121813670201,0.336877686348685,0.321840522254917,0.30397792683507,0.253240093240093,0.280712620712621,0.213846153846154,0.253240093240093,-0.0333333333333333,-0.0833333333333333,0.213846153846154,0.16,0.340827031706767,-0.150369775701844,0.299571836667533,-0.34083697300887
"TGFR",0.558255241530825,0.571372847011145,0.530238095238095,0.583809523809524,0.526666666666667,0.376190476190476,0.505842002265939,0.470225563909774,0.423558897243108,0.460180122907396,0.248268329532223,0.237775052789402,0.22603128054741,0.2790249366842,0.315476190476191,0.336528822055138,0.362110217403975,0.227471264367816,0.203333333333333,0.258333333333333,0.467540529853697,0.31890674692109,-0.445086436303849,0.404506739436037,0.367816091954023,0.333333333333333,0.209649122807018,-0.553496967055319,-0.491422675727567,0.598800814151619,0.598800814151619,0.498067613649701,-0.373285563681211,0.398162071846282,0.361904761904762,0.361904761904762,0.361904761904762,-0.607615309853908,0.320339100947744,0.286145552560647,0.365701607122529,0.343823839186302,0.315594174114532,0.231428571428571,0.281383647798742,0.171428571428571,0.226666666666667,-0.233333333333333,-0.153333333333333,0.166666666666667,0.1,0.339799676030005,-0.252471264367816,0.150762826167125,-0.43991341991342
"ZEB1",0.45140507361773,0.478357901934227,0.448042941304306,0.41200233216725,0.364176245210728,0.216666666666667,0.357641012352077,0.320196078431373,0.276666666666667,0.33477344541533,0.185035508532918,0.178090546112219,0.166552084573757,0.260413931020483,0.220701754385965,0.248570606844981,0.27714203541641,0.218560606060606,0.195833333333333,0.173333333333333,0.44511835286821,0.310838359670098,-0.569091209848087,0.344457948468644,0.314705882352941,0.283333333333333,0.284249512670565,-0.550482353019713,-0.532615432075838,0.599556110761684,0.599556110761684,0.491261986512066,-0.364771519376909,0.426338567459796,0.400984236751135,0.400984236751135,0.400984236751135,-0.619151311258168,0.412813604968496,0.391164120432413,0.443684027591145,0.42861553444046,0.409998513163865,0.360394889663182,0.388470735386087,0.323809523809524,0.357098186366479,-0.133333333333333,-0.158333333333333,0.32051282051282,0.266666666666667,0.445642568523479,-0.240129233511586,0.370338085272933,-0.324681185996466
"SNAI1",0.418240416397221,0.431513423960036,0.407521488476165,0.379106187929717,0.344257703081232,0.327826086956522,0.429900622691618,0.400752640628838,0.363419307295505,0.226404020819678,0.109755678883247,0.109980287053255,0.10173920464243,0.168461160905884,0.134649122807018,0.158723196881092,0.181639863547758,0.133956306536952,0.115437788018433,0.108333333333333,0.348036984754376,0.203193650006015,-0.444090555310643,0.220408163265306,0.197142857142857,0.170769230769231,0.206377213193017,-0.568843203202327,-0.498129272537297,0.6057876738448,0.6057876738448,0.498204012871545,-0.282481290986241,0.321457304145673,0.301752870648136,0.301752870648136,0.301752870648136,-0.619781189369083,0.321689268478688,0.303590548186184,0.348936086896639,0.33690717621001,0.322010624485872,0.279688109161793,0.304232846708094,0.250740740740741,0.28047047047047,-0.0833333333333333,-0.0928571428571428,0.250740740740741,0.21,0.353806152641546,-0.151956306536952,0.302294762667388,-0.347955144788174
"SMAD",0.463465924888829,0.475265002286415,0.444986117824264,0.406438631790744,0.357142857142857,0.314285714285714,0.444917891560802,0.404533276176187,0.362672811059908,0.365921166646973,0.225664649566778,0.114059502141694,0.202154740236932,0.276319588918068,0.229365079365079,0.258776844070962,0.289443510737628,0.233333333333333,0.208333333333333,0.205555555555556,0.377484701272355,0.310105851138109,-0.446726196208542,0.325949644225506,0.296584564860427,0.260952380952381,0.231529133392487,-0.56448496615224,-0.49595734905978,0.610014206684152,0.610014206684152,0.498884862539279,-0.32182507133635,0.401975972085832,0.375660182612148,0.375660182612148,0.375660182612148,-0.620905597707512,0.319637476831721,0.295177045177045,0.348237686999124,0.332533532997098,0.313401918343095,0.268253968253968,0.289038281979458,0.223809523809524,0.261587301587302,-0.15,-0.183333333333333,0.217142857142857,0.16,0.348631011490992,-0.258103975535168,0.213505065800615,-0.368139731278992
"GLI",0.46031916494668,0.570542602727493,0.538307308609846,0.499942528735632,0.451666666666667,0.402857142857143,0.524938652507713,0.487922077922078,0.452857142857143,0.37600816479334,0.151224468796625,0.153135640713574,0.142324829902763,0.300230846074622,0.165204678362573,0.18765365795441,0.21577865795441,0.255576441102757,0.234523809523809,0.138888888888889,0.369523305406158,0.231338081779442,-0.443063636321353,0.248086712138436,0.217610521662246,0.185110521662246,0.20306133394629,-0.575062205062205,-0.499725313380679,0.617512374125277,0.617512374125277,0.500968134923608,-0.366535138293129,0.399478822813768,0.371161991130599,0.371161991130599,0.371161991130599,-0.629021989362547,0.329313254471315,0.402504743833017,0.357482322133974,0.340686147597214,0.319257576168643,0.368387096774194,0.292533438237608,0.32,0.258387096774194,-0.0833333333333333,-0.20952380952381,0.21,0.15,0.344465579710145,-0.280066237021124,0.262675000958184,-0.384675281686205
