"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","cfos","EGR1","HEY1","SMAD","ILK","IKK","AKT","TWIST1","NFB","SHH","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","SNAI2","RAS","KLF4","cateninmemb","RAF","PI3K","DELTA","Ecadherin","miR200","cateninnuc","TCFLEF","GLI","CD44","Wnt","cMet","Frizzled","SRC","DSH","GSK3","STAT","AXIN2","TrCP","SUFU","LIV1","Patched","RKIP","Destcompl"
"Destcompl",0.0568375646394467,0.0113928142044356,0.0175783812147449,0.0200577200577201,0.0190476190476191,0.0536618963047721,0.106125587644878,0.0615656763735007,0.0696301925025329,0.0845238095238095,0.0104998139038488,0.0148492451831524,0.0159245140003567,0.0603596403596404,0.0506822210048017,-0.0656579852638281,0.0680519480519481,-0.140187486374537,-0.131151515151515,-0.129333333333333,-0.223956996406614,0.0709090909090909,-0.082702537838189,-0.0759501262626263,-0.0712626262626263,-0.0854421768707483,0.239636849268939,0.239636849268939,-0.292954229429269,-0.0190508029216008,-0.255541225718068,0.259904942763241,-0.0154363450902755,-0.0154363450902755,-0.0154363450902755,0.0675282376235555,-0.253503315497543,-0.257299703219296,-0.254895611147685,-0.253669050154673,-0.252599692780338,-0.250793650793651,-0.250019047619048,-0.247619047619048,-0.247619047619048,-0.247619047619048,-0.100577410004582,-0.247619047619048,-0.316994378591082,-0.08,0.133333333333333,-0.247619047619048,0.136187486374537,-0.144391463291286,-0.0354885679991927
"Wnt",0.170909090909091,0.202857142857143,0.142857142857143,0.1,0.1,0.113333333333333,0.0862914862914863,0.0666666666666667,0.0666666666666667,0.1,0.0656410256410257,0.0565353345841151,0.058974358974359,0.0866666666666667,0.133333333333333,0.238823529411765,0.0666666666666667,0.115454545454545,0.05,0,0.174367816091954,0.1,0.197402597402597,0.142857142857143,0.1,0.0939393939393939,0.293468468468468,0.293468468468468,0.38495990836197,0.151264367816092,-0.258333333333333,-0.369782723900371,0.113333333333333,0.113333333333333,0.113333333333333,-0.41161985472155,-0.296233918128655,0.41865515848074,0.378114617940199,0.333928571428571,0.333928571428571,0.271428571428571,0.271428571428571,0.3,0.2,0.2,-0.00166666666666666,0.1,0.349230769230769,-0.1,0,0,-0.0954545454545455,-0.105714285714286,-0.12
"AXIN2",0.124102182539683,0.0595692814444344,0.0635493809469219,0.0697993809469219,0.0878321678321678,0.13210345245735,0.189606458594132,0.142347354896375,0.155927601809955,0.167692307692308,0.0219970153303487,0.0222418951998814,0.026263342921061,0.124366471734893,0.118305865674287,-0.0567481171773874,0.128070175438597,-0.175439386308952,-0.169369369369369,-0.166666666666667,-0.265180239727345,0.133333333333333,-0.0717901761565481,-0.0661826995210341,-0.0592059553349876,-0.0968967114404817,0.303479651061759,0.303479651061759,-0.340965637466547,0.0631601142082554,-0.310113145181795,0.299180500403437,0.0731103629644743,0.0731103629644743,0.0731103629644743,0.0764375727816588,-0.318471382765353,-0.319530888967716,-0.316994378591082,-0.314557535959975,-0.314093024625898,-0.310711382113821,-0.310711382113821,-0.305833333333333,-0.305833333333333,-0.293333333333333,-0.225627945081509,-0.293333333333333,0.107448863248267,-0.133333333333333,0.15,-0.26,0.171543282412848,-0.224918114143921,0.187749046166751
"Frizzled",0.211207598371777,0.247435456110155,0.202857142857143,0.142857142857143,0.1,0.153758865248227,0.0989351644524058,0.113333333333333,0.0666666666666667,0.0666666666666667,0.0634188034188034,0.0626577835637069,0.0565353345841151,0.133333333333333,0.154761904761905,0.270469099032018,0.0866666666666667,0.131244019138756,0.0954545454545455,0.05,0.195796387520525,0.0666666666666667,0.233766233766234,0.197402597402597,0.142857142857143,0.129423264907136,0.323588950396179,0.323588950396179,0.430198003600065,0.183764367816092,-0.289912280701754,-0.414610310107268,0.151264367816092,0.151264367816092,0.151264367816092,-0.454633553351687,-0.327075039623982,0.456634252557395,0.41865515848074,0.378114617940199,0.378114617940199,0.333928571428571,0.333928571428571,0.271428571428571,0.271428571428571,0.3,-0.029535519125683,0.2,0.402853957636566,-0.1,0,0.1,-0.115454545454545,-0.121993355481728,-0.0905882352941177
"DSH",0.232894345359729,0.273751245583839,0.247435456110155,0.202857142857143,0.142857142857143,0.181914205054052,0.119483109657885,0.153758865248227,0.113333333333333,0.0666666666666667,0.071990231990232,0.0766849328849739,0.0626577835637069,0.154761904761905,0.169047619047619,0.298547916766008,0.133333333333333,0.148974515592657,0.115454545454545,0.0954545454545455,0.220198301396124,0.0866666666666667,0.259429950580393,0.233766233766234,0.197402597402597,0.16745143392122,0.346269362767313,0.346269362767313,0.470482363789639,0.220907224958949,-0.316971104231166,-0.455407856119537,0.183764367816092,0.183764367816092,0.183764367816092,-0.490817763878002,-0.351185711560741,0.491557113707465,0.456634252557395,0.417937626789757,0.41865515848074,0.378114617940199,0.378114617940199,0.333928571428571,0.333928571428571,0.271428571428571,-0.0588588273963597,0.271428571428571,0.448409513192122,-0.0666666666666667,-0.05,0.2,-0.131244019138756,-0.139640414305257,-0.0696580027359781
"PI3K",0.252698412698413,0.280090909090909,0.234090909090909,0.175,0.125,0.182645502645503,0.150857142857143,0.141904761904762,0.0952380952380952,0.0666666666666667,0.0748663101604278,0.0799234675528318,0.069578639966625,0.25,0.27,0.3015273556231,0.2,0.142388059701493,0.1,0.05,0.212595452595453,0.166666666666667,0.246515151515152,0.208333333333333,0.15,0.164777327935223,0.362451550387597,0.362451550387597,0.455213809925884,0.225405861269239,-0.328030303030303,-0.443444837990293,0.18562091503268,0.18562091503268,0.18562091503268,-0.488616716616717,-0.363659890833804,0.491068882098294,0.446426024955437,0.397941176470588,0.397941176470588,0.345,0.345,0.275,0.275,0.2,-0.102972582972583,0.2,0.416987339961376,-0.2,0,0.1,-0.12,-0.147066942719117,-0.133953755967097
"ILK",0.252698412698413,0.280090909090909,0.234090909090909,0.175,0.125,0.182645502645503,0.150857142857143,0.141904761904762,0.0952380952380952,0.0666666666666667,0.0748663101604278,0.0799234675528318,0.069578639966625,0.25,0.27,0.3015273556231,0.2,0.142388059701493,0.1,0.05,0.212595452595453,0.166666666666667,0.246515151515152,0.208333333333333,0.15,0.164777327935223,0.362451550387597,0.362451550387597,0.455213809925884,0.225405861269239,-0.328030303030303,-0.443444837990293,0.18562091503268,0.18562091503268,0.18562091503268,-0.488616716616717,-0.363659890833804,0.491068882098294,0.446426024955437,0.397941176470588,0.397941176470588,0.345,0.345,0.275,0.275,0.2,-0.102972582972583,0.2,0.416987339961376,-0.2,0,0.1,-0.12,-0.147066942719117,-0.133953755967097
"RAF",0.289653092006033,0.319838709677419,0.265,0.22,0.2,0.222125100240577,0.196134172732638,0.187241379310345,0.17,0.17,0.159581881533101,0.156847597369083,0.153754813863928,0.110714285714286,0.152649769585253,0.389101504055437,0.0857142857142857,0.212813559322034,0.14,0.1,0.278874883286648,0.1,0.21489898989899,0.156565656565657,0.111111111111111,0.0613968253968254,0.362745098039216,0.362745098039216,0.667820994794679,0.0946078431372549,-0.329411764705882,-0.510354603529794,0.0446078431372549,0.0446078431372549,0.0446078431372549,-0.552308195069676,-0.372246707540825,0.477946445035695,0.42622230710466,0.366161616161616,0.365508021390374,0.288888888888889,0.288235294117647,0.2,0.2,0.1,-0.0550769230769231,0.1,0.374608695652174,-0.1,-0.1,0,-0.184,-0.209775495822007,-0.121666666666667
"SHH",0.36,0.466666666666667,0.4,0.3,0.2,0.3,0.304761904761905,0.2,0.1,0,0.0666666666666667,0.106666666666667,0.0666666666666667,0.1,0.133333333333333,0.266666666666667,0,0.283333333333333,0.3,0.2,0.216666666666667,0,0.25,0.2,0.1,0.25,0.366666666666667,0.366666666666667,0.49,0.3,-0.3,-0.391304347826087,0.2,0.2,0.2,-0.385714285714286,-0.377777777777778,0.462608695652174,0.38,0.4,0.3,0.3,0.2,0.2,0.1,0.2,-0.2,0.1,0.4,0,-0.2,0,-0.333333333333333,-0.25,0.233333333333333
"AKT",0.279502536409753,0.312335807050093,0.280090909090909,0.234090909090909,0.175,0.211216931216931,0.17770539188438,0.182645502645503,0.141904761904762,0.0952380952380952,0.0877695359668794,0.0930708779113976,0.0799234675528318,0.27,0.188518518518519,0.336821473270159,0.25,0.165741353114666,0.12,0.1,0.243240613885775,0.2,0.278333333333333,0.246515151515152,0.208333333333333,0.206549479833957,0.389000222953969,0.389000222953969,0.502059447509777,0.267341345140207,-0.356601731601732,-0.489850066748463,0.225405861269239,0.225405861269239,0.225405861269239,-0.530462010186148,-0.390372219600927,0.531021035208342,0.491068882098294,0.445702370500439,0.446426024955437,0.397941176470588,0.397941176470588,0.345,0.345,0.275,-0.13323574086732,0.275,0.470258367998759,-0.166666666666667,-0.05,0.2,-0.142388059701493,-0.168806073153899,-0.111062189702037
"SOSGRB2",0.364267967174944,0.390634920634921,0.341428571428571,0.301428571428571,0.271428571428571,0.355295387553452,0.334591795011585,0.323037323037323,0.30952380952381,0.276190476190476,0.261647727272727,0.259378045950337,0.252903225806452,0.304678362573099,0.335113145181795,0.415507246376812,0.288888888888889,0.301801801801802,0.233333333333333,0.2,0.372862423657988,0.3,0.396806178895731,0.347552447552448,0.309090909090909,-0.0272222222222222,0.393181818181818,0.393181818181818,0.682739050178815,0.329990167158309,-0.359848484848485,-0.524678260306357,0.277777777777778,0.277777777777778,0.277777777777778,-0.570904418997652,-0.404258886653253,0.492770562770563,0.436709956709957,0.370909090909091,0.370476190476191,0.290909090909091,0.29047619047619,0.2,0.2,0.1,-0.216565977742448,0.1,0.377777777777778,-0.2,-0.2,0,-0.268468468468469,-0.369121061359867,-0.203377814845705
"RAS",0.340703587600139,0.366021505376344,0.313333333333333,0.28,0.26,0.312846401718582,0.288373743347132,0.286315789473684,0.26,0.26,0.161857707509881,0.15879329004329,0.156709956709957,0.173333333333333,0.21047619047619,0.384208494208494,0.166666666666667,0.195149425287356,0.116666666666667,0.1,0.271042471042471,0.2,0.279256965944272,0.226315789473684,0.2,0.0125541125541125,0.393223443223443,0.393223443223443,0.60890820409537,0.1504329004329,-0.354761904761905,-0.426873684210526,0.2004329004329,0.2004329004329,0.2004329004329,-0.477025193534628,-0.402848122299767,0.493413946291305,0.436376909254268,0.368895348837209,0.368452380952381,0.2875,0.2875,0.2,0.2,0.1,-0.121154401154401,0.1,0.374603174603175,-0.2,-0.1,0,-0.160666666666667,-0.383333333333333,-0.195210727969349
"MEK",0.332510234863176,0.369610399175136,0.319838709677419,0.265,0.22,0.163301570828813,0.220304788846382,0.222125100240577,0.187241379310345,0.17,0.163355466438761,0.166084545160247,0.156847597369083,0.152649769585253,0.177983102918587,0.433177333439324,0.110714285714286,0.239054694073807,0.184,0.14,0.312846175152677,0.0857142857142857,0.25943680502504,0.21489898989899,0.156565656565657,0.0939549649317091,0.394802514307158,0.394802514307158,0.723140143730849,0.143325791855204,-0.359846547314578,-0.563209654774303,0.0946078431372549,0.0946078431372549,0.0946078431372549,-0.602149464910946,-0.403864354599649,0.523768547461571,0.477946445035695,0.426875901875902,0.42622230710466,0.366161616161616,0.365508021390374,0.288888888888889,0.288235294117647,0.2,-0.0888797399783315,0.2,0.443669469132837,-0.1,-0.1,0.1,-0.212813559322034,-0.235395330532751,-0.0853482587064677
"IKK",0.498800742636359,0.544075928243638,0.469607843137255,0.402941176470588,0.35,0.243880160759956,0.277443609022556,0.173291925465839,0.142857142857143,0.1,0.182675438596491,0.186969696969697,0.173333333333333,0.25974025974026,0.314578969417679,0.578809523809524,0.314285714285714,0.275022624434389,0.18,0.12,0.339961515277971,0.3,0.383106367316894,0.313875598086124,0.245454545454545,0.304464285714286,0.408374958374958,0.408374958374958,0.751046501633144,0.418869770580297,-0.350582750582751,-0.642081409564523,0.346369770580297,0.346369770580297,0.346369770580297,-0.712502787068005,-0.412526792093356,0.60689171455722,0.543255350920856,0.474149659863946,0.474149659863946,0.39047619047619,0.39047619047619,0.3,0.3,0.2,-0.0886939571150097,0.2,0.482069454287739,-0.2,-0.1,0.1,-0.233846153846154,-0.259300699300699,-0.0221771467207573
"Csn",0.254274142703665,0.293846509477577,0.258571428571429,0.206190476190476,0.142857142857143,0.234559148162576,0.145330888297348,0.20078431372549,0.156666666666667,0.106666666666667,0.075388198757764,0.0830292598967298,0.0685714285714286,0.178407482305359,0.198015325442614,0.332074526021174,0.152826086956522,0.156001132877637,0.112301587301587,0.0873015873015873,0.227854681697318,0.105,0.28252745845208,0.248395721925134,0.20427807486631,0.180932117527862,0.421331035923141,0.421331035923141,0.519174560902697,0.266122193669663,-0.387264367816092,-0.503998644250453,0.221138374899437,0.221138374899437,0.221138374899437,-0.542568129238683,-0.429557440655389,0.554810158816029,0.51235205825737,0.464741258741259,0.465931734931735,0.414741258741259,0.414741258741259,0.357818181818182,0.357818181818182,0.281818181818182,-0.0809985889503962,0.281818181818182,0.489157509157509,-0.18,-0.0428571428571429,0.2,-0.134140667761357,-0.158020717463849,-0.0500237428220124
"ERK",0.366633457611991,0.409310773706971,0.369610399175136,0.319838709677419,0.265,0.197796344347976,0.24850991705151,0.163301570828813,0.222125100240577,0.187241379310345,0.175532588209979,0.177997902560969,0.166084545160247,0.177983102918587,0.202276888229321,0.472829170963502,0.152649769585253,0.264262450306494,0.212813559322034,0.184,0.344942650106294,0.110714285714286,0.29784510952331,0.25943680502504,0.21489898989899,0.132843853820598,0.423166903541113,0.423166903541113,0.772233251348745,0.188372520827166,-0.388218640337834,-0.611283158034529,0.143325791855204,0.143325791855204,0.143325791855204,-0.646627076851245,-0.433276119305531,0.565130945281734,0.523768547461571,0.477551577551578,0.477946445035695,0.426875901875902,0.42622230710466,0.366161616161616,0.365508021390374,0.288888888888889,-0.122614679737368,0.288235294117647,0.502055881022433,-0.0857142857142857,-0.14,0.2,-0.239054694073807,-0.261379582501255,-0.0567223045079944
"CD44",0.38258064516129,0.375714285714286,0.35,0.3,0.2,0.415,0.378632478632479,0.385,0.325,0.3,0.204093567251462,0.197619047619048,0.183333333333333,0.266666666666667,0.26,0.353846153846154,0.2,0.177272727272727,0.15,0.1,0.186826923076923,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,0.424119241192412,0.424119241192412,0.441992896414149,0.212290008841733,-0.277777777777778,-0.148187759952466,0.174358974358974,0.174358974358974,0.174358974358974,-0.283599911386797,-0.434460547504026,0.161779448621554,0.0951127819548872,0.0214285714285714,0.0214285714285714,-0.05,0.05,-0.1,0,0,-0.202020202020202,0.1,-0.0221052631578947,-0.1,-0.1,0.1,-0.15,-0.427692307692308,-0.293191865605659
"Jagged",0.309523809523809,0.329468599033816,0.255555555555556,0.2,0.2,0.286666666666667,0.234509803921569,0.22,0.2,0.1,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0333333333333333,0.0888888888888889,0.305952380952381,0,0.121794871794872,0.0333333333333333,0,0.181531100478469,0,0.231428571428571,0.16,0.1,0.12,0.457936507936508,0.457936507936508,0.478107344632768,0.259615384615385,-0.405555555555556,-0.462740384615385,0.175,0.175,0.175,-0.519357969391564,-0.469264069264069,0.457749712973594,0.384615384615385,0.3,0.3,0.2,0.2,0.1,0.1,0,-0.142857142857143,0,0.3,0,0,0,-0.0833333333333333,-0.23030303030303,0.1
"DELTA",0.309523809523809,0.329468599033816,0.255555555555556,0.2,0.2,0.286666666666667,0.234509803921569,0.22,0.2,0.1,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0333333333333333,0.0888888888888889,0.305952380952381,0,0.121794871794872,0.0333333333333333,0,0.181531100478469,0,0.231428571428571,0.16,0.1,0.12,0.457936507936508,0.457936507936508,0.478107344632768,0.259615384615385,-0.405555555555556,-0.462740384615385,0.175,0.175,0.175,-0.519357969391564,-0.469264069264069,0.457749712973594,0.384615384615385,0.3,0.3,0.2,0.2,0.1,0.1,0,-0.142857142857143,0,0.3,0,0,0,-0.0833333333333333,-0.23030303030303,0.1
"NFB",0.560246525768889,0.610587556150615,0.544075928243638,0.469607843137255,0.402941176470588,0.302141030325174,0.317828224407172,0.243880160759956,0.173291925465839,0.142857142857143,0.199847155768208,0.201523687580026,0.186969696969697,0.314578969417679,0.355755440005914,0.63746336996337,0.25974025974026,0.31370875582125,0.233846153846154,0.18,0.385933079259014,0.314285714285714,0.442080726291253,0.383106367316894,0.313875598086124,0.349464285714286,0.45948606948607,0.45948606948607,0.819724662552684,0.478316775188592,-0.39626176292843,-0.709989719020111,0.418869770580297,0.418869770580297,0.418869770580297,-0.778957139509618,-0.463388861058873,0.665421898284254,0.60689171455722,0.543504498573623,0.543255350920856,0.474149659863946,0.474149659863946,0.39047619047619,0.39047619047619,0.3,-0.133899436567065,0.3,0.558768483413953,-0.3,-0.12,0.2,-0.275022624434389,-0.301874956726442,0.017108567564957
"cMet",0.410358422939068,0.410598006644518,0.375714285714286,0.35,0.3,0.424433962264151,0.403632478632479,0.415,0.385,0.325,0.21781905744754,0.210582010582011,0.197619047619048,0.26,0.276129032258064,0.400681596884129,0.266666666666667,0.204256854256854,0.15,0.15,0.227056808134394,0.2,0.281453634085213,0.24812030075188,0.242857142857143,0.0109523809523809,0.463904187428971,0.463904187428971,0.502648634119067,0.252290008841733,-0.324119241192412,-0.209906509952466,0.212290008841733,0.212290008841733,0.212290008841733,-0.335878731762132,-0.473303522710637,0.219180170643215,0.161779448621554,0.0957875457875458,0.0951127819548872,0.0214285714285714,0.0214285714285714,-0.05,0.05,-0.1,-0.211111111111111,0,0.0463157894736842,-0.2,-0.1,0.1,-0.177272727272727,-0.458304552590267,-0.283858532272325
"HEY1",0.562393162393162,0.560416666666667,0.483333333333333,0.4,0.3,0.466958698372966,0.525642934875995,0.388235294117647,0.3,0.2,0.17,0.173891625615764,0.142857142857143,0.381818181818182,0.458741258741259,0.637189126662811,0.3,0.501666666666667,0.375,0.3,0.603814935064935,0.2,0.556952380952381,0.480952380952381,0.4,0.37051282051282,0.473050847457627,0.473050847457627,0.730660844323847,0.633309842612168,-0.277489177489178,-0.839603654659244,0.5656330749354,0.5656330749354,0.5656330749354,-0.859082945845662,-0.475783783783784,0.761589940028426,0.695659340659341,0.626929824561403,0.626428571428571,0.555,0.555,0.48,0.48,0.4,-0.394081281037803,0.4,0.645351473922902,-0.1,-0.2,0.3,-0.441666666666667,-0.4675,0.38960840746555
