"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","KLF4","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","AXIN2","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0616371324692388,0.0276117042499381,0.0322826172011058,0.0308898595409387,0.0229761904761905,0.102780495604096,0.0576899688502827,0.0625641025641026,0.0585868298368298,0.0563141025641026,0.00970577737864972,0.0143565537207858,0.0134955451106997,-0.123741906786255,0.0487040561568301,-0.0414029573552534,0.0536685951639223,0.0546031746031746,-0.113326669998334,-0.111877394636015,0.0523809523809524,-0.192076735270609,-0.0614815240729702,-0.0565982968967494,-0.0549033816425121,-0.0623000761614623,0.200426739180213,0.200426739180213,-0.210788357805967,-0.241744321887201,0.22101335747272,0.00551063089274472,0.00780339985218034,0.00780339985218034,0.00780339985218034,0,0.0532494928983649,-0.212110532354213,-0.104922819361662,-0.196922953589274,-0.196299497913113,-0.196440684085728,-0.193305485937065,-0.195615477784152,-0.188042328042328,-0.192804232804233,-0.188042328042328,-0.185185185185185,-0.185185185185185,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.00250067180089593,0.119709648721738,-0.129679568549651
"AXIN2",0.11535863302576,0.0673280166216366,0.0662899543378995,0.0658333333333333,0.0783333333333333,0.163474614196723,0.115798314465097,0.153333333333333,0.119001161440186,0.131382113821138,0.0186899478125152,0.0181793111592918,0.0220332665345453,-0.155708431795388,0.104523281776479,-0.037540402881213,0.106237567490764,0.109178743961353,-0.152930402930403,-0.157692307692308,0.122222222222222,-0.225303020756626,-0.0540866578864011,-0.0523444976076555,-0.0505263157894737,-0.0772848386809959,0.251675839216737,0.251675839216737,-0.257013888888889,-0.284062208630858,0.25497075861516,0.0715394113164743,0.0751159492277762,0.0751159492277762,0.0751159492277762,1,0.063806420207659,-0.26552537815126,-0.186595581644527,-0.250257665821564,-0.245759224219489,-0.248569110474472,-0.241785714285714,-0.245440199335548,-0.24,-0.241785714285714,-0.24,-0.24,-0.24,-0.133333333333333,0.15,-0.233333333333333,0.175830765536428,0.152029502029502,-0.186355298648706
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.103015873015873,0.119607843137255,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,0,0.1,0.153259803921569,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,0.304208512673362,0.304208512673362,-0.262745098039216,0.341413043478261,-0.335833333333333,0.149029550620738,0.118796992481203,0.118796992481203,0.118796992481203,0,-0.402475553557379,-0.306262626262626,-0.0636243386243386,0.334287992709045,0.286842105263158,0.310478468899522,0.25,0.286842105263158,0.3,0.25,0.2,0.2,0.1,-0.1,0,0,-0.0387144168962351,-0.0954545454545455,-0.12
"Frizzled",0.212826863538938,0.239726867335563,0.203188405797101,0.146666666666667,0.1,0.114491282851939,0.164052287581699,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.245271273557967,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.0666666666666667,0.165504701880752,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,0.338208512673362,0.338208512673362,-0.300840336134454,0.371541248606466,-0.369595391211147,0.170341026030574,0.149029550620738,0.149029550620738,0.149029550620738,0,-0.438156304731088,-0.341695697128768,-0.0798405548405548,0.35767107728616,0.310478468899522,0.334287992709045,0.286842105263158,0.310478468899522,0.25,0.286842105263158,0.25,0.3,0.2,-0.1,0,0.1,-0.0256709386353655,-0.10974025974026,-0.14
"HEY1",0.386692329935661,0.37485257985258,0.338636363636364,0.30530303030303,0.263636363636364,0.328453596678263,0.358901515151515,0.2,0.325568181818182,0.281818181818182,0.112335500237831,0.106395348837209,0.0916666666666667,0.33396871945259,0.336,0.422952274778362,0.3,0.26,0.266666666666667,0.233333333333333,0.2,0.372791068580542,0.382121212121212,0.344343434343434,0.305454545454545,0.281907308377897,0.346886733416771,0.346886733416771,-0.259607843137255,0.488283094736115,-0.613657686180654,0.403980463980464,0.374065934065934,0.374065934065934,0.374065934065934,0,-0.682849504129869,-0.355087719298246,-0.329488017429194,0.431244753100976,0.379404761904762,0.40735347985348,0.344166666666667,0.378782051282051,0.304166666666667,0.344166666666667,0.304166666666667,0.266666666666667,0.266666666666667,-0.1,-0.2,0.233333333333333,0.319736656907187,-0.302150537634409,-0.319623824451411
"FOXC2",0.386692329935661,0.37485257985258,0.338636363636364,0.30530303030303,0.263636363636364,0.328453596678263,0.358901515151515,0.2,0.325568181818182,0.281818181818182,0.112335500237831,0.106395348837209,0.0916666666666667,0.33396871945259,0.336,0.422952274778362,0.3,0.26,0.266666666666667,0.233333333333333,0.2,0.372791068580542,0.382121212121212,0.344343434343434,0.305454545454545,0.281907308377897,0.346886733416771,0.346886733416771,-0.259607843137255,0.488283094736115,-0.613657686180654,0.403980463980464,0.374065934065934,0.374065934065934,0.374065934065934,0,-0.682849504129869,-0.355087719298246,-0.329488017429194,0.431244753100976,0.379404761904762,0.40735347985348,0.344166666666667,0.378782051282051,0.304166666666667,0.344166666666667,0.304166666666667,0.266666666666667,0.266666666666667,-0.1,-0.2,0.233333333333333,0.319736656907187,-0.302150537634409,-0.319623824451411
"DSH",0.229271307983382,0.257584010192706,0.239726867335563,0.203188405797101,0.146666666666667,0.128864371536954,0.190769844833608,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.076498818444651,0.0631908336537765,0.131763358107444,0.17562015503876,0.263519448740449,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.0866666666666667,0.182040134951618,0.239999404016926,0.222268907563025,0.192857142857143,0.156541019955654,0.361903291789828,0.361903291789828,-0.332212885154062,0.39792014548896,-0.399305536138683,0.192364835554383,0.170341026030574,0.170341026030574,0.170341026030574,0,-0.466320297600963,-0.367161535638085,-0.0957980016490655,0.377934979265425,0.333968401785428,0.35767107728616,0.310478468899522,0.334287992709045,0.286842105263158,0.310478468899522,0.286842105263158,0.25,0.25,-0.0666666666666667,-0.05,0.2,-0.0128269019381178,-0.119417679095098,-0.156546762589928
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.219662572996585,0.227666911225238,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.374004753416518,0.110714285714286,0.0857142857142857,0.14,0.1,0.1,0.258543536260005,0.21041181041181,0.156565656565657,0.111111111111111,0.0613968253968254,0.372663797226208,0.372663797226208,-0.332663797226208,0.625341531085238,-0.475882273250694,0.0935827216261999,0.050974025974026,0.050974025974026,0.050974025974026,0,-0.543314330360812,-0.380952950808151,-0.15712141971684,0.38267674213031,0.32,0.353172825681224,0.27,0.318421052631579,0.2,0.268421052631579,0.2,0.1,0.1,-0.1,-0.1,0,0.00916295058405757,-0.184,-0.226050420168067
"SNAI2",0.423221306277743,0.412691415774848,0.374386331029086,0.332568149210904,0.276470588235294,0.364373635326295,0.389865010752502,0.2,0.347418967587035,0.288235294117647,0.116991341991342,0.113394817742644,0.0942028985507246,0.3725,0.366025641025641,0.457256336213069,0.325,0.275,0.301176470588235,0.26,0.2,0.417651515151515,0.419038937469065,0.378349282296651,0.332894736842105,0.324313725490196,0.372858951938732,0.372858951938732,-0.281666666666667,0.730733655420181,-0.655793315646686,0.444227234699817,0.411242941506099,0.411242941506099,0.411242941506099,0,-0.816699777433257,-0.381126044498138,-0.369954090060548,0.482080298959807,0.423703095983554,0.455143679241497,0.386493793657973,0.423335898921131,0.346195286195286,0.386493793657973,0.346195286195286,0.305454545454545,0.305454545454545,-0.1,-0.2,0.26,0.366564047535463,-0.338676470588235,-0.348055555555556
"PI3K",0.254423679301728,0.27328543876567,0.233941176470588,0.177941176470588,0.125,0.169621469588656,0.192441566790651,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.277253278122843,0.252941176470588,0.2,0.1,0.05,0.166666666666667,0.184285825182425,0.236104218362283,0.203846153846154,0.15,0.163461538461538,0.374944008958567,0.374944008958567,-0.336842105263158,0.398252290562472,-0.399420831441577,0.213988341951868,0.184910327767471,0.184910327767471,0.184910327767471,0,-0.472523727279242,-0.375616655007756,-0.173851939338763,0.389564783994128,0.334631642512077,0.362955341934043,0.303381642512077,0.334631642512077,0.255555555555556,0.303381642512077,0.255555555555556,0.2,0.2,-0.2,0,0.1,-0.0347306001939942,-0.115384615384615,-0.164384123339347
"ILK",0.254423679301728,0.27328543876567,0.233941176470588,0.177941176470588,0.125,0.169621469588656,0.192441566790651,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.277253278122843,0.252941176470588,0.2,0.1,0.05,0.166666666666667,0.184285825182425,0.236104218362283,0.203846153846154,0.15,0.163461538461538,0.374944008958567,0.374944008958567,-0.336842105263158,0.398252290562472,-0.399420831441577,0.213988341951868,0.184910327767471,0.184910327767471,0.184910327767471,0,-0.472523727279242,-0.375616655007756,-0.173851939338763,0.389564783994128,0.334631642512077,0.362955341934043,0.303381642512077,0.334631642512077,0.255555555555556,0.303381642512077,0.255555555555556,0.2,0.2,-0.2,0,0.1,-0.0347306001939942,-0.115384615384615,-0.164384123339347
"SHH",0.35,0.44,0.4,0.3,0.2,0.277272727272727,0.3,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.2,0.1,0,0.3,0.2,0,0.162857142857143,0.233333333333333,0.2,0.1,0.25,0.375,0.375,-0.3,0.372698412698413,-0.304444444444444,0.3,0.25,0.25,0.25,0,-0.341666666666667,-0.383333333333333,-0.247272727272727,0.260084033613445,0.25,0.207142857142857,0.2,0.15,0.2,0.1,0.1,0.2,0.1,0,-0.2,0,0.23968253968254,-0.333333333333333,-0.26
"cateninnuc",0.400123403876601,0.390109190474685,0.365427256632446,0.332753989305713,0.294822954822955,0.333249015154591,0.375646725688454,0.29047619047619,0.348997649171303,0.318062397372742,0.125461367386762,0.113214582554093,0.103897812367758,0.233463796477495,0.348625601926164,0.345202248031254,0.328089887640449,0.3,0.2,0.170175438596491,0.266666666666667,0.273504331191135,0.3913952611557,0.369115468409586,0.339703703703704,0.270512894813098,0.37973456034189,0.37973456034189,-0.29418273238149,0.49914922051411,-0.441275099914244,0.400877881512782,0.381908809347834,0.381908809347834,0.381908809347834,0,-0.512415374321685,-0.386458188956864,-0.318135890793387,0.229191856157515,0.292918590562269,0.311497754191504,0.271999050332384,0.291957524306447,0.247307692307692,0.270941358024691,0.24625,0.215,0.215,-0.233333333333333,-0.133333333333333,0.173333333333333,0.293812287475221,-0.219178082191781,-0.347253059783903
"RAS",0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.305952380952381,0.315727554179567,0.26,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.192870056497175,0.212222222222222,0.375242771412984,0.173333333333333,0.166666666666667,0.116666666666667,0.1,0.2,0.258624088310664,0.277259185700099,0.226315789473684,0.2,0.0125541125541125,0.398696612665685,0.398696612665685,-0.356428571428571,0.576889845549639,-0.400952018278751,0.153213841175006,0.205641025641026,0.205641025641026,0.205641025641026,0,-0.47119473173547,-0.407661538461538,-0.212575757575758,0.413373216308156,0.338970588235294,0.380808374809597,0.276470588235294,0.338172715894869,0.2,0.276470588235294,0.2,0.1,0.1,-0.2,-0.1,0,-0.0436502231441609,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.370573870573871,0.39267243394903,0.343736263736264,0.301428571428571,0.271428571428571,0.355647905053048,0.359400959400959,0.276190476190476,0.323037323037323,0.30952380952381,0.261647727272727,0.259196932100158,0.252903225806452,0.298701026608003,0.338011695906433,0.403942028985507,0.304678362573099,0.288888888888889,0.233333333333333,0.2,0.3,0.357215265481102,0.394031320791884,0.347552447552448,0.309090909090909,-0.0272222222222222,0.400588972431078,0.400588972431078,-0.362017543859649,0.646195237163326,-0.494932980599647,0.332628952967936,0.285875706214689,0.285875706214689,0.285875706214689,0,-0.563557925110508,-0.410651126415904,-0.310134893299072,0.404736644310823,0.331521739130435,0.371924144310823,0.275,0.330434782608696,0.2,0.273913043478261,0.2,0.1,0.1,-0.2,-0.2,0,-0.0468831417624521,-0.268468468468469,-0.381834795321637
"AKT",0.27673137160942,0.297359512839744,0.27328543876567,0.233941176470588,0.177941176470588,0.190674101167603,0.220646694995779,0.0952380952380952,0.192441566790651,0.148179271708683,0.0875742731867506,0.0924341696000434,0.0798917967186875,0.1495115995116,0.194385446486287,0.301391209157326,0.276018099547511,0.252941176470588,0.115384615384615,0.1,0.2,0.205091194309942,0.25956100848574,0.236104218362283,0.203846153846154,0.196794871794872,0.403167005474246,0.403167005474246,-0.369600725952813,0.428902445361233,-0.4331017490641,0.240705899203776,0.213988341951868,0.213988341951868,0.213988341951868,0,-0.505601240709787,-0.404421002833843,-0.192472628993935,0.412292056721401,0.362631642512077,0.389564783994128,0.334631642512077,0.362955341934043,0.303381642512077,0.334631642512077,0.303381642512077,0.255555555555556,0.255555555555556,-0.166666666666667,-0.05,0.2,-0.0203883647835095,-0.132051282051282,-0.18667711696992
"MEK",0.336915574846609,0.36353713447996,0.320890075656431,0.267619047619048,0.22,0.242841380943605,0.174333577891905,0.17,0.227666911225238,0.187241379310345,0.163218245169465,0.165950203144554,0.156725110893631,0.227544412300439,0.185580595874714,0.407090255275254,0.156168831168831,0.110714285714286,0.184,0.14,0.0857142857142857,0.28003113956579,0.247638087784073,0.21041181041181,0.156565656565657,0.0925079365079365,0.410263797226207,0.410263797226207,-0.369918699186992,0.662131654542028,-0.515141532509954,0.127576120966134,0.0935827216261999,0.0935827216261999,0.0935827216261999,0,-0.585072572119054,-0.418647654857995,-0.180618687476402,0.409491843776003,0.354751773049645,0.38267674213031,0.32,0.353172825681224,0.27,0.318421052631579,0.268421052631579,0.2,0.2,-0.1,-0.1,0.1,0.0260747152899399,-0.208590163934426,-0.256717086834734
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.373019670388091,0.415,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.351941391941392,0.266666666666667,0.2,0.15,0.1,0.2,0.188531468531469,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,0.420634920634921,0.420634920634921,-0.277777777777778,0.439156399156399,-0.144450549450549,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,0,-0.283107697318424,-0.431699604743083,-0.226646403242148,0.131860465116279,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,-0.1,0.05,0,0,0.1,-0.1,-0.1,0.1,-0.152635046113307,-0.15,-0.423703703703704
"IKK",0.497414965986395,0.528869338546758,0.469191919191919,0.405555555555556,0.35,0.289930817610063,0.252190476190476,0.1,0.178857142857143,0.142857142857143,0.181940144478844,0.18578795379538,0.172916666666667,0.2557343550447,0.321042471042471,0.533845131272848,0.264285714285714,0.314285714285714,0.18,0.12,0.3,0.288787878787879,0.362914862914863,0.307359307359307,0.245454545454545,0.301890756302521,0.424994303941672,0.424994303941672,-0.363369963369963,0.664340989033727,-0.572991912667485,0.378518518518519,0.333333333333333,0.333333333333333,0.333333333333333,0,-0.683439666151884,-0.428530502190765,-0.212006263817244,0.45176561644389,0.378498931623932,0.416510627530364,0.331623931623932,0.378498931623932,0.277777777777778,0.331623931623932,0.277777777777778,0.2,0.2,-0.2,-0.1,0.1,0.121164992423108,-0.228148148148148,-0.276666666666667
"Csn",0.252228798947724,0.278975708183402,0.252455026918195,0.206648575305292,0.145454545454545,0.159530659140397,0.244000911369332,0.106666666666667,0.209264069264069,0.161212121212121,0.0753737541528239,0.0824321504806843,0.0687370600414079,0.139869078220333,0.205134408602151,0.295966479000841,0.184166666666667,0.155,0.108513708513709,0.0873015873015873,0.105,0.189196962251865,0.263915157119041,0.238672438672439,0.201010101010101,0.171982013144241,0.435709967083162,0.435709967083162,-0.399476576055523,0.44346204980235,-0.446760843223863,0.234741427605525,0.206952380952381,0.206952380952381,0.206952380952381,0,-0.517755780545806,-0.443739508117359,-0.13562185019412,0.431488494414667,0.3786695502423,0.406948228086196,0.350098121670872,0.379189030761781,0.318390804597701,0.350098121670872,0.318390804597701,0.266666666666667,0.266666666666667,-0.18,-0.0428571428571429,0.2,0.0331460787894054,-0.124642740771773,-0.177377745711079
"ERK",0.364761459259919,0.392750617626028,0.36353713447996,0.320890075656431,0.267619047619048,0.264156849883922,0.208981465215849,0.187241379310345,0.174333577891905,0.227666911225238,0.175163637660932,0.177570998251587,0.165950203144554,0.245505577348983,0.209654669948788,0.433766432165411,0.185580595874714,0.156168831168831,0.208590163934426,0.184,0.110714285714286,0.301132056996983,0.275929404310684,0.247638087784073,0.21041181041181,0.123575897672985,0.440921903165212,0.440921903165212,-0.404293699186992,0.693766670753237,-0.549635650157012,0.155548148938162,0.127576120966134,0.127576120966134,0.127576120966134,0,-0.61991420107833,-0.450817230917845,-0.200077584458713,0.432839861397148,0.383800616237306,0.409491843776003,0.354751773049645,0.38267674213031,0.32,0.353172825681224,0.318421052631579,0.27,0.268421052631579,-0.0857142857142857,-0.14,0.2,0.0409279884276375,-0.227544412300439,-0.28221851949949
