"","TGF","FOXC2","TGFR","SNAI2","CDC42","cateninnuc","AXIN2","TWIST1","MEK","TCFLEF","RAS","PAK1","GLI","CD44","SNAI1","RAF","PI3K","DELTA","ERK","Wnt","NOTCH","cMet","Destcompl","Jagged","NOTCHic","Frizzled","SRC","cfos","Csl","SOSGRB2","DSH","AKT","STAT","SHH","IKK","EGR1","SMO","NFB","HEY1","SMAD","FUS","ILK","LIV1","Csn","ZEB2","ZEB1","KLF4","miR200","TrCP","SUFU","Patched","RKIP","GSK3","cateninmemb","Ecadherin"
"AXIN2",0.0638681306675407,0.110132217509267,0.0638681306675407,-0.280995964425391,0.0647530864197531,-0.247070078727136,0.178949722039297,-0.0393441349425122,0.111846180853043,-0.244778682272315,0.0647578534937879,0.0783333333333333,-0.241448003510312,-0.241144450150392,0.154153480194687,0.0689573285594047,0.0689573285594047,0.0689573285594047,0.117363422232353,-0.237674418604651,-0.054339057102215,-0.237674418604651,0.156789605591599,-0.222697742915134,-0.052312030075188,-0.237674418604651,-0.237674418604651,0.131382113821138,-0.0505263157894737,-0.0772774023545412,-0.24,0.101497584541063,-0.24,-0.15409550831682,0.104830917874396,0.153333333333333,-0.152930402930403,0.109178743961353,0.0187481889307447,0.0181159420289855,-0.157692307692308,0.0220841959972395,-0.233333333333333,0.122222222222222,0.245175501457021,0.245175501457021,-0.252988588338008,-0.2593606087525,-0.133333333333333,0.15,0.151144688644689,-0.178657587931781,-0.168852040916114,0.260213823779079,0.0801798481671243
"Wnt",0.203188405797101,0.176356275303644,0.146666666666667,0.330086206896552,0.1,0.307157795150127,0.303636363636364,0.217941176470588,0.119607843137255,0.290601503759398,0.14606971975393,0.1,0.276315789473684,0.276315789473684,0.104658385093168,0.118796992481203,0.118796992481203,0.118796992481203,0.0666666666666667,0.25,0.192857142857143,0.25,-0.031747069537197,0.147009803921569,0.142857142857143,0.3,0.2,0.0666666666666667,0.1,0.0939393939393939,0.2,0.136666666666667,0.1,0.10974025974026,0.0866666666666667,0.1,0.05,0.0666666666666667,0.0656410256410257,0.0566487775790101,0,0.058974358974359,0,0.1,0.304208512673362,0.304208512673362,-0.262745098039216,-0.306262626262626,-0.1,0,-0.0954545454545455,-0.12,-0.0695141065830721,-0.305423728813559,-0.357841594544978
"Frizzled",0.236521739130435,0.211239996233876,0.203188405797101,0.353745512890243,0.146666666666667,0.325253033245365,0.326892177589852,0.236036414565826,0.164052287581699,0.307157795150127,0.164179955974403,0.1,0.290601503759398,0.290601503759398,0.115769496204279,0.14606971975393,0.14606971975393,0.14606971975393,0.119607843137255,0.276315789473684,0.218347338935574,0.276315789473684,-0.0198107300146506,0.154080510992276,0.192857142857143,0.25,0.25,0.0666666666666667,0.142857142857143,0.127272727272727,0.3,0.161666666666667,0.2,0.116191872643486,0.136666666666667,0.0666666666666667,0.0954545454545455,0.0866666666666667,0.0635133660665576,0.0631908336537765,0.05,0.0566487775790101,0.1,0.0666666666666667,0.338861978019897,0.338861978019897,-0.300840336134454,-0.342200126262626,-0.1,0,-0.10974025974026,-0.141428571428571,-0.0858777429467085,-0.333677697067528,-0.386979123682507
"KLF4",0.373652623798965,0.390184513006655,0.340969696969697,0.464333025702278,0.307636363636364,0.392814860864079,0.40259545543053,0.412614379084967,0.364959479574398,0.375006641685997,0.400897435897436,0.263636363636364,0.353897196408636,0.353267511251214,0.33671420000923,0.375897435897436,0.375897435897436,0.375897435897436,0.328877005347594,0.326310989512084,0.376317269274404,0.326310989512084,0.341494152557151,0.354196538094589,0.342296650717703,0.296078431372549,0.296078431372549,0.281818181818182,0.305454545454545,0.28138936535163,0.266666666666667,0.33989417989418,0.266666666666667,0.324798387096774,0.302857142857143,0.2,0.266666666666667,0.26,0.111306340718105,0.105159420289855,0.233333333333333,0.0906666666666667,0.233333333333333,0.2,0.354514963880289,0.354514963880289,-0.266666666666667,-0.362568172568173,-0.1,-0.2,-0.297916666666667,-0.328674500103071,-0.348106210167198,-0.588835421579324,-0.663464989806489
"HEY1",0.373652623798965,0.390184513006655,0.340969696969697,0.464333025702278,0.307636363636364,0.392814860864079,0.40259545543053,0.412614379084967,0.364959479574398,0.375006641685997,0.400897435897436,0.263636363636364,0.353897196408636,0.353267511251214,0.33671420000923,0.375897435897436,0.375897435897436,0.375897435897436,0.328877005347594,0.326310989512084,0.376317269274404,0.326310989512084,0.341494152557151,0.354196538094589,0.342296650717703,0.296078431372549,0.296078431372549,0.281818181818182,0.305454545454545,0.28138936535163,0.266666666666667,0.33989417989418,0.266666666666667,0.324798387096774,0.302857142857143,0.2,0.266666666666667,0.26,0.111306340718105,0.105159420289855,0.233333333333333,0.0906666666666667,0.233333333333333,0.2,0.354514963880289,0.354514963880289,-0.266666666666667,-0.362568172568173,-0.1,-0.2,-0.297916666666667,-0.328674500103071,-0.348106210167198,-0.588835421579324,-0.663464989806489
"FOXC2",0.373652623798965,0.390184513006655,0.340969696969697,0.464333025702278,0.307636363636364,0.392814860864079,0.40259545543053,0.412614379084967,0.364959479574398,0.375006641685997,0.400897435897436,0.263636363636364,0.353897196408636,0.353267511251214,0.33671420000923,0.375897435897436,0.375897435897436,0.375897435897436,0.328877005347594,0.326310989512084,0.376317269274404,0.326310989512084,0.341494152557151,0.354196538094589,0.342296650717703,0.296078431372549,0.296078431372549,0.281818181818182,0.305454545454545,0.28138936535163,0.266666666666667,0.33989417989418,0.266666666666667,0.324798387096774,0.302857142857143,0.2,0.266666666666667,0.26,0.111306340718105,0.105159420289855,0.233333333333333,0.0906666666666667,0.233333333333333,0.2,0.354514963880289,0.354514963880289,-0.266666666666667,-0.362568172568173,-0.1,-0.2,-0.297916666666667,-0.328674500103071,-0.348106210167198,-0.588835421579324,-0.663464989806489
"DSH",0.250807453416149,0.225525710519591,0.236521739130435,0.37458369682505,0.203188405797101,0.340302009202622,0.345879519362004,0.250220811728947,0.190368077055384,0.325253033245365,0.182947462977204,0.146666666666667,0.306941373040444,0.307157795150127,0.128812974465148,0.164179955974403,0.164179955974403,0.164179955974403,0.164052287581699,0.290601503759398,0.231634052222288,0.290601503759398,-0.00893286741923076,0.16648361176747,0.218347338935574,0.276315789473684,0.276315789473684,0.119607843137255,0.192857142857143,0.15410199556541,0.25,0.174310344827586,0.25,0.125394326631216,0.161666666666667,0.0666666666666667,0.10974025974026,0.136666666666667,0.072285295891119,0.0763983808235878,0.0954545454545455,0.0631908336537765,0.2,0.0866666666666667,0.362484025263991,0.362484025263991,-0.33287917108591,-0.367809882360187,-0.0666666666666667,-0.05,-0.116191872643486,-0.157512487512488,-0.100494912320258,-0.357352608728305,-0.408489220258451
"RAF",0.320890075656431,0.296006483937518,0.267619047619048,0.616226030191758,0.22,0.358231369541132,0.332208157524613,0.369964349376114,0.227666911225238,0.336602870813397,0.0911449661449661,0.2,0.312307692307692,0.310728744939271,0.22073762506942,0.050974025974026,0.050974025974026,0.050974025974026,0.187241379310345,0.27,0.21041181041181,0.268421052631579,0.0152651304424209,0.254242460991188,0.156565656565657,0.2,0.2,0.17,0.111111111111111,0.0613968253968254,0.1,0.156168831168831,0.1,0.208590163934426,0.110714285714286,0.17,0.14,0.0857142857142857,0.159581881533101,0.156725110893631,0.1,0.153754813863928,0,0.1,0.372663797226208,0.372663797226208,-0.332663797226208,-0.380952950808151,-0.1,-0.1,-0.184,-0.226050420168067,-0.161544523246651,-0.449213919802155,-0.502770962398081
"SHH",0.44,0.35,0.4,0.36727969348659,0.3,0.235555555555556,0.276190476190476,0.2,0.3,0.196666666666667,0.303846153846154,0.2,0.25,0.15,0.283333333333333,0.25,0.25,0.25,0.2,0.2,0.233333333333333,0.1,0.272987012987013,0.162857142857143,0.2,0.2,0.1,0.1,0.1,0.25,0.2,0.15,0.1,0.253333333333333,0.1,0,0.3,0,0.0666666666666667,0.1,0.2,0.0666666666666667,0,0,0.375,0.375,-0.3,-0.383333333333333,0,-0.2,-0.333333333333333,-0.26,-0.271794871794872,-0.292616487455197,-0.323611111111111
"PI3K",0.270526542324247,0.253049941927991,0.233941176470588,0.382945783213314,0.177941176470588,0.360621553988213,0.347238095238095,0.269189605041351,0.192441566790651,0.339796811720172,0.208243847476724,0.125,0.317762913415087,0.317762913415087,0.170503220611916,0.18221645021645,0.18221645021645,0.18221645021645,0.148179271708683,0.294685990338164,0.23287841191067,0.294685990338164,-0.0294091284657944,0.174736842105263,0.203846153846154,0.255555555555556,0.255555555555556,0.0952380952380952,0.15,0.163461538461538,0.2,0.276018099547511,0.2,0.129273504273504,0.252941176470588,0.0666666666666667,0.1,0.2,0.0747923182995325,0.0798917967186875,0.05,0.0694917967186875,0.1,0.166666666666667,0.375508463573364,0.375508463573364,-0.336842105263158,-0.376039526859199,-0.2,0,-0.115384615384615,-0.165481577246283,-0.178607503607504,-0.367858998580446,-0.42728697350978
"ILK",0.270526542324247,0.253049941927991,0.233941176470588,0.382945783213314,0.177941176470588,0.360621553988213,0.347238095238095,0.269189605041351,0.192441566790651,0.339796811720172,0.208243847476724,0.125,0.317762913415087,0.317762913415087,0.170503220611916,0.18221645021645,0.18221645021645,0.18221645021645,0.148179271708683,0.294685990338164,0.23287841191067,0.294685990338164,-0.0294091284657944,0.174736842105263,0.203846153846154,0.255555555555556,0.255555555555556,0.0952380952380952,0.15,0.163461538461538,0.2,0.276018099547511,0.2,0.129273504273504,0.252941176470588,0.0666666666666667,0.1,0.2,0.0747923182995325,0.0798917967186875,0.05,0.0694917967186875,0.1,0.166666666666667,0.375508463573364,0.375508463573364,-0.336842105263158,-0.376039526859199,-0.2,0,-0.115384615384615,-0.165481577246283,-0.178607503607504,-0.367858998580446,-0.42728697350978
"SNAI2",0.41151863197899,0.425495673461765,0.375493787258493,0.710377886140621,0.333613445378151,0.44747315281159,0.447100565604419,0.448322008191805,0.393614202437732,0.427131537904757,0.442051352058506,0.276470588235294,0.402974962071897,0.40259545543053,0.37146790711633,0.412827607766268,0.412827607766268,0.412827607766268,0.349019607843137,0.373563197366014,0.41441672362725,0.373563197366014,0.385439109675373,0.401762028014479,0.376754385964912,0.341168831168831,0.341168831168831,0.288235294117647,0.332894736842105,0.323799864773496,0.305454545454545,0.36889281262983,0.305454545454545,0.365447812927988,0.326724137931034,0.2,0.301176470588235,0.275,0.116169379144063,0.112087517128288,0.26,0.0934272300469483,0.26,0.2,0.378588839941263,0.378588839941263,-0.286538461538462,-0.386587993124707,-0.1,-0.2,-0.335870348139256,-0.355166666666667,-0.386470390385003,-0.634654970448223,-0.800565234792457
"cateninnuc",0.377823700367293,0.394660972906875,0.358173045345459,0.460421342421428,0.331736263736264,0.175788980892538,0.392814860864079,0.322860462000579,0.375402090942628,0.26399665832971,0.386799816799817,0.299428571428571,0.251295969267976,0.250329742721047,0.337341782284819,0.371816651816652,0.371816651816652,0.371816651816652,0.353842457915105,0.235880949505131,0.374349267208944,0.234853552244857,0.317364429850518,0.245687932689902,0.356621994481671,0.217402688635565,0.216375291375291,0.327260179434092,0.332203389830509,0.260300632619561,0.191375291375291,0.345354166666667,0.191375291375291,0.216676254409264,0.328166666666667,0.297101449275362,0.18792349726776,0.304166666666667,0.124481847142868,0.111715903923271,0.163333333333333,0.103393939393939,0.160606060606061,0.270833333333333,0.382946233909949,0.382946233909949,-0.301618152507832,-0.390226954822903,-0.233333333333333,-0.133333333333333,-0.204693683603163,-0.350273978296311,-0.336563929093116,-0.400271212458707,-0.475426031553343
"RAS",0.367769365171811,0.345396825396825,0.315294117647059,0.569900314148941,0.28,0.392409442943361,0.34703557312253,0.373115111838516,0.315727554179567,0.367763550592086,0.151794871794872,0.26,0.334803921568627,0.333917396745932,0.306489675516224,0.205641025641026,0.205641025641026,0.205641025641026,0.286315789473684,0.276470588235294,0.277259185700099,0.276470588235294,-0.0399756905570859,0.256376897299428,0.226315789473684,0.2,0.2,0.26,0.2,0.0125541125541125,0.1,0.212222222222222,0.1,0.192870056497175,0.173333333333333,0.26,0.116666666666667,0.166666666666667,0.161857707509881,0.158750773036487,0.1,0.156709956709957,0,0.2,0.398696612665685,0.398696612665685,-0.356428571428571,-0.407661538461538,-0.2,-0.1,-0.160666666666667,-0.392622641509434,-0.215439276485788,-0.377439068538901,-0.43196461720393
"SOSGRB2",0.39267243394903,0.370573870573871,0.343736263736264,0.638741879942676,0.301428571428571,0.382987283655143,0.34164603960396,0.40104347826087,0.359400959400959,0.358321891685736,0.330747501086484,0.271428571428571,0.325724637681159,0.32463768115942,0.356393745557925,0.285875706214689,0.285875706214689,0.285875706214689,0.323037323037323,0.275,0.394031320791884,0.273913043478261,-0.0417541444387082,0.354161830366599,0.347552447552448,0.2,0.2,0.30952380952381,0.309090909090909,-0.0272222222222222,0.1,0.338011695906433,0.1,0.298701026608003,0.304678362573099,0.276190476190476,0.233333333333333,0.288888888888889,0.261647727272727,0.259196932100158,0.2,0.252903225806452,0,0.3,0.400588972431078,0.400588972431078,-0.362017543859649,-0.410651126415904,-0.2,-0.2,-0.268468468468469,-0.381834795321637,-0.313702544922741,-0.471190008190008,-0.526071802914184
"AKT",0.291372463774398,0.27335069380769,0.270526542324247,0.40817191386658,0.233941176470588,0.37754463091129,0.372869864191164,0.289678901677437,0.220289668056473,0.360621553988213,0.232099269163471,0.177941176470588,0.339550622912294,0.339796811720172,0.190302719358783,0.208243847476724,0.208243847476724,0.208243847476724,0.192441566790651,0.317762913415087,0.252390607032621,0.317762913415087,-0.0162577637015264,0.191955385151621,0.23287841191067,0.294685990338164,0.294685990338164,0.148179271708683,0.203846153846154,0.19457264957265,0.255555555555556,0.193189816719228,0.255555555555556,0.144010346378767,0.276018099547511,0.0952380952380952,0.115384615384615,0.252941176470588,0.0875742731867506,0.0923497091765999,0.1,0.0798917967186875,0.2,0.2,0.403590655354186,0.403590655354186,-0.370175438596491,-0.404916532206793,-0.166666666666667,-0.05,-0.129273504273504,-0.187220707681066,-0.196752664897826,-0.395279997561078,-0.453650609873416
"MEK",0.361036061057891,0.335646123577158,0.320890075656431,0.646639655495895,0.267619047619048,0.378305718983512,0.368244193560649,0.398902078313843,0.174333577891905,0.358231369541132,0.121938616938617,0.22,0.338181818181818,0.336602870813397,0.243814548146343,0.0911449661449661,0.0911449661449661,0.0911449661449661,0.227666911225238,0.312307692307692,0.244718379754876,0.310728744939271,0.032001532116061,0.270635903614138,0.21041181041181,0.27,0.268421052631579,0.187241379310345,0.156565656565657,0.0925079365079365,0.2,0.185580595874714,0.2,0.224930033215472,0.156168831168831,0.17,0.184,0.110714285714286,0.163218245169465,0.165950203144554,0.14,0.156725110893631,0.1,0.0857142857142857,0.410759035321446,0.410759035321446,-0.369918699186992,-0.419033446164188,-0.1,-0.1,-0.208590163934426,-0.257629367536488,-0.185868847570975,-0.481652944192399,-0.537743639993709
"IKK",0.529191919191919,0.497806637806638,0.469191919191919,0.654118243949026,0.405555555555556,0.425481307888517,0.399285714285714,0.529607843137255,0.252190476190476,0.398899029407504,0.377781754045142,0.35,0.37008547008547,0.37008547008547,0.293560927339553,0.334119782214156,0.334119782214156,0.334119782214156,0.178857142857143,0.331623931623932,0.362914862914863,0.331623931623932,0.134072216085647,0.283289597000937,0.307359307359307,0.277777777777778,0.277777777777778,0.142857142857143,0.245454545454545,0.301890756302521,0.2,0.321042471042471,0.2,0.2557343550447,0.264285714285714,0.1,0.18,0.314285714285714,0.181940144478844,0.18578795379538,0.12,0.172916666666667,0.1,0.3,0.425418546365915,0.425418546365915,-0.363369963369963,-0.428840579710145,-0.2,-0.1,-0.228148148148148,-0.277322404371585,-0.222307692307692,-0.549916526676303,-0.649805298917888
"CD44",0.419444444444444,0.410833333333333,0.375,0.544903984903985,0.3,0.401800834824091,0.29,0.417802197802198,0.425,0.354108527131783,0.282857142857143,0.2,0.286666666666667,0.286666666666667,0.407708665603402,0.228571428571429,0.228571428571429,0.228571428571429,0.385,0.2,0.297744360902256,0.3,-0.0469114918694751,0.24997668997669,0.271428571428571,0.1,0.2,0.325,0.2,0.0119047619047619,0,0.273333333333333,0.1,0.206363636363636,0.266666666666667,0.3,0.15,0.2,0.204093567251462,0.197619047619048,0.1,0.183333333333333,0.1,0.2,0.43015873015873,0.43015873015873,-0.277777777777778,-0.43897233201581,-0.1,-0.1,-0.17,-0.438518518518519,-0.289880952380952,-0.461648351648352,-0.528638584301379
"Csn",0.268915266450264,0.245717245870582,0.247674216330933,0.413554496694195,0.206648575305292,0.383156903688041,0.381440431224426,0.277818295153499,0.242597402597403,0.365658406995317,0.219124697957355,0.145454545454545,0.344730283882103,0.345079628860269,0.156203878792941,0.195900129819159,0.195900129819159,0.195900129819159,0.209264069264069,0.325079628860269,0.252708402708403,0.325079628860269,0.0303957259144893,0.169776101574769,0.233477633477634,0.304597701149425,0.304597701149425,0.161212121212121,0.201010101010101,0.168592182635766,0.266666666666667,0.202566666666667,0.266666666666667,0.131817075339021,0.184166666666667,0.106666666666667,0.108513708513709,0.155,0.0753737541528239,0.0823617387046469,0.0873015873015873,0.0687370600414079,0.2,0.105,0.435063688999173,0.435063688999173,-0.399880772821949,-0.443355132389914,-0.18,-0.0428571428571429,-0.120341665502956,-0.176176040107916,-0.134950176588561,-0.391207942654196,-0.44089596552198
